time,Oklahoma City,pts.away,score,pts.home,Milwaukee
0:56.0,,,26-15,,Shooting foul by A. Abrines (drawn by G. Antetokounmpo)
0:56.0,,,26-16,1,G. Antetokounmpo makes free throw 1 of 2
0:56.0,,,26-17,1,G. Antetokounmpo makes free throw 2 of 2
0:46.0,R. Felton makes 3-pt shot from 27 ft (assist by J. Grant),3,29-17,,
0:37.0,,,29-20,3,M. Teletovic makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
0:24.0,C. Anthony makes 2-pt shot from 15 ft,2,31-20,,
0:11.0,Def 3 sec tech foul by R. Felton,,31-20,,
0:11.0,,,31-21,1,M. Dellavedova makes free throw 1 of 1
0:11.0,A. Roberson enters the game for A. Abrines,,31-21,,
0:01.0,,,31-23,2,G. Antetokounmpo makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,C. Anthony misses 2-pt shot from 15 ft (block by J. Henson),,31-23,,
11:47.0,Offensive rebound by Team,,31-23,,
11:41.0,Offensive charge foul by A. Roberson (drawn by M. Teletovic),,31-23,,
11:41.0,Turnover by A. Roberson (offensive foul),,31-23,,
11:41.0,A. Abrines enters the game for A. Roberson,,31-23,,
11:20.0,,,31-23,,R. Vaughn misses 2-pt shot from 8 ft
11:20.0,Defensive rebound by P. Patterson,,31-23,,
11:01.0,C. Anthony makes 2-pt shot from 16 ft,2,33-23,,
10:48.0,,,33-23,,Offensive charge foul by G. Antetokounmpo (drawn by J. Grant)
10:48.0,,,33-23,,Turnover by G. Antetokounmpo (offensive foul)
10:48.0,,,33-23,,K. Middleton enters the game for G. Antetokounmpo
10:29.0,R. Felton misses 2-pt shot from 6 ft (block by J. Henson),,33-23,,
10:25.0,,,33-23,,Defensive rebound by K. Middleton
10:15.0,,,33-23,,R. Vaughn misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by C. Anthony,,33-23,,
10:07.0,,,33-23,,Personal foul by M. Dellavedova (drawn by C. Anthony)
10:03.0,Turnover by J. Grant (traveling),,33-23,,
9:45.0,,,33-23,,Turnover by M. Dellavedova (out of bounds lost ball)
9:32.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton),2,35-23,,
9:11.0,,,35-23,,M. Teletovic misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by J. Grant,,35-23,,
9:04.0,,,35-23,,Personal foul by K. Middleton (drawn by P. Patterson)
9:04.0,,,35-23,,D. Wilson enters the game for M. Teletovic
8:48.0,J. Grant makes 2-pt shot at rim (assist by C. Anthony),2,37-23,,
8:31.0,,,37-25,2,R. Vaughn makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:12.0,P. Patterson makes 3-pt shot from 22 ft (assist by R. Felton),3,40-25,,
7:53.0,,,40-25,,Shooting foul by J. Grant (drawn by J. Henson)
7:53.0,S. Adams enters the game for R. Felton,,40-25,,
7:53.0,R. Westbrook enters the game for C. Anthony,,40-25,,
7:53.0,P. George enters the game for J. Grant,,40-25,,
7:53.0,,,40-26,1,J. Henson makes free throw 1 of 2
7:53.0,,,40-26,,J. Henson misses free throw 2 of 2
7:53.0,Defensive rebound by R. Westbrook,,40-26,,
7:53.0,Violation by P. George (lane),,40-26,,
7:37.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,42-26,,
7:31.0,,,42-26,,Turnover by J. Henson (bad pass)
7:31.0,,,42-26,,T. Maker enters the game for M. Dellavedova
7:31.0,,,42-26,,M. Brogdon enters the game for J. Henson
7:13.0,R. Westbrook misses 2-pt shot from 15 ft,,42-26,,
7:10.0,,,42-26,,Defensive rebound by T. Maker
7:03.0,,,42-26,,K. Middleton misses 3-pt shot from 26 ft
7:00.0,Defensive rebound by S. Adams,,42-26,,
6:57.0,P. George misses 3-pt shot from 23 ft,,42-26,,
6:53.0,,,42-26,,Defensive rebound by D. Wilson
6:47.0,,,42-26,,D. Wilson misses 3-pt shot from 27 ft
6:43.0,Defensive rebound by R. Westbrook,,42-26,,
6:29.0,S. Adams misses 2-pt shot from 1 ft,,42-26,,
6:26.0,,,42-26,,Defensive rebound by K. Middleton
6:26.0,,,42-26,,Shooting foul by A. Abrines (drawn by K. Middleton)
6:26.0,,,42-26,,Milwaukee full timeout
6:26.0,,,42-26,,T. Snell enters the game for R. Vaughn
6:26.0,,,42-27,1,K. Middleton makes free throw 1 of 2
6:26.0,,,42-28,1,K. Middleton makes free throw 2 of 2
6:11.0,P. George misses 3-pt shot from 23 ft,,42-28,,
6:08.0,Offensive rebound by P. Patterson,,42-28,,
6:02.0,R. Westbrook makes 2-pt shot at rim,2,44-28,,
6:02.0,Shooting foul by T. Maker (drawn by R. Westbrook),,44-28,,
6:02.0,R. Westbrook makes free throw 1 of 1,1,45-28,,
5:55.0,Personal foul by A. Abrines (drawn by T. Snell),,45-28,,
5:45.0,,,45-28,,T. Maker misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by P. George,,45-28,,
5:38.0,Turnover by P. George (bad pass),,45-28,,
5:38.0,A. Roberson enters the game for A. Abrines,,45-28,,
5:14.0,,,45-28,,T. Maker misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by R. Westbrook,,45-28,,
5:08.0,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook),3,48-28,,
4:56.0,Personal foul by P. George (drawn by K. Middleton),,48-28,,
4:52.0,,,48-28,,M. Brogdon misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by S. Adams,,48-28,,
4:29.0,P. George makes 2-pt shot from 20 ft,2,50-28,,
4:02.0,,,50-30,2,K. Middleton makes 2-pt shot from 12 ft (assist by M. Brogdon)
3:48.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,52-30,,
3:34.0,,,52-32,2,K. Middleton makes 2-pt shot from 13 ft (assist by T. Snell)
3:26.0,Oklahoma City full timeout,,52-32,,
3:26.0,,,52-32,,G. Antetokounmpo enters the game for D. Wilson
3:26.0,C. Anthony enters the game for P. Patterson,,52-32,,
3:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,54-32,,
3:02.0,,,54-32,,K. Middleton misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by C. Anthony,,54-32,,
2:41.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,56-32,,
2:20.0,,,56-35,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon)
1:55.0,C. Anthony misses 2-pt shot from 19 ft,,56-35,,
1:51.0,,,56-35,,Defensive rebound by K. Middleton
1:35.0,,,56-38,3,T. Maker makes 3-pt shot from 26 ft (assist by M. Brogdon)
1:21.0,R. Westbrook misses 3-pt shot from 27 ft,,56-38,,
1:21.0,Offensive rebound by Team,,56-38,,
1:21.0,,,56-38,,Personal foul by T. Maker (drawn by S. Adams)
1:12.0,Turnover by R. Westbrook (bad pass; steal by K. Middleton),,56-38,,
1:11.0,,,56-40,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:11.0,Violation by A. Roberson (def goaltending),,56-40,,
1:11.0,,,56-40,,Shooting foul by C. Anthony (drawn by G. Antetokounmpo)
1:11.0,,,56-40,,G. Antetokounmpo misses free throw 1 of 1
1:05.0,Defensive rebound by S. Adams,,56-40,,
1:04.0,R. Westbrook makes 2-pt shot from 1 ft,2,58-40,,
0:53.0,,,58-40,,Shooting foul by C. Anthony (drawn by M. Brogdon)
0:53.0,,,58-41,1,M. Brogdon makes free throw 1 of 2
0:53.0,,,58-42,1,M. Brogdon makes free throw 2 of 2
0:39.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,60-42,,
0:19.0,,,60-42,,T. Maker misses 2-pt shot from 7 ft
0:16.0,Defensive rebound by R. Westbrook,,60-42,,
0:00.0,P. George misses 3-pt shot from 27 ft,,60-42,,
0:00.0,Offensive rebound by Team,,60-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,63-42,,
11:25.0,Personal foul by C. Anthony (drawn by T. Maker),,63-42,,
11:17.0,Def 3 sec tech foul by S. Adams,,63-42,,
11:17.0,,,63-43,1,K. Middleton makes technical free throw
11:02.0,,,63-43,,T. Maker misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by A. Roberson,,63-43,,
10:53.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,66-43,,
10:38.0,,,66-45,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by K. Middleton)
10:20.0,Turnover by P. George (bad pass; steal by M. Brogdon),,66-45,,
10:05.0,,,66-47,2,K. Middleton makes 2-pt shot from 1 ft (assist by T. Snell)
10:05.0,Oklahoma City full timeout,,66-47,,
9:37.0,A. Roberson misses 3-pt shot from 23 ft,,66-47,,
9:34.0,Offensive rebound by R. Westbrook,,66-47,,
9:22.0,S. Adams misses 2-pt shot from 2 ft,,66-47,,
9:20.0,,,66-47,,Defensive rebound by K. Middleton
9:16.0,,,66-47,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by P. George)
9:15.0,Defensive rebound by R. Westbrook,,66-47,,
9:15.0,,,66-47,,Personal foul by K. Middleton (drawn by R. Westbrook)
8:59.0,C. Anthony misses 2-pt shot from 20 ft,,66-47,,
8:56.0,,,66-47,,Defensive rebound by T. Snell
8:47.0,,,66-47,,Turnover by G. Antetokounmpo (bad pass; steal by C. Anthony)
8:37.0,Turnover by R. Westbrook (out of bounds lost ball),,66-47,,
8:24.0,,,66-49,2,T. Maker makes 2-pt shot from 2 ft (assist by T. Snell)
8:24.0,,,66-49,,Shooting foul by S. Adams (drawn by T. Maker)
8:24.0,,,66-50,1,T. Maker makes free throw 1 of 1
8:15.0,Shooting foul by K. Middleton (drawn by A. Roberson),,66-50,,
8:15.0,A. Roberson makes free throw 1 of 2,1,67-50,,
8:15.0,A. Roberson makes free throw 2 of 2,1,68-50,,
7:57.0,,,68-50,,T. Maker misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by A. Roberson,,68-50,,
7:39.0,P. George makes 2-pt shot from 17 ft,2,70-50,,
7:17.0,,,70-53,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by K. Middleton)
7:08.0,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams),2,72-53,,
6:51.0,,,72-53,,G. Antetokounmpo misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by S. Adams,,72-53,,
6:39.0,A. Roberson makes 3-pt shot from 26 ft (assist by S. Adams),3,75-53,,
6:38.0,,,75-53,,Milwaukee full timeout
6:38.0,,,75-53,,J. Henson enters the game for T. Maker
6:22.0,,,75-53,,M. Brogdon misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by P. George,,75-53,,
6:15.0,Turnover by R. Westbrook (bad pass),,75-53,,
5:56.0,J. Grant enters the game for C. Anthony,,75-53,,
5:54.0,,,75-53,,J. Henson misses 2-pt shot from 17 ft
5:51.0,Defensive rebound by R. Westbrook,,75-53,,
5:41.0,R. Westbrook misses 2-pt shot from 16 ft,,75-53,,
5:37.0,,,75-53,,Defensive rebound by J. Henson
5:30.0,,,75-53,,Shooting foul by R. Westbrook (drawn by J. Henson)
5:30.0,,,75-53,,J. Henson misses free throw 1 of 2
5:30.0,,,75-53,,Offensive rebound by Team
5:30.0,,,75-53,,J. Henson misses free throw 2 of 2
5:27.0,Defensive rebound by R. Westbrook,,75-53,,
5:13.0,A. Roberson misses 3-pt shot from 23 ft,,75-53,,
5:09.0,Offensive rebound by S. Adams,,75-53,,
4:59.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,77-53,,
4:42.0,,,77-53,,K. Middleton misses 2-pt shot from 8 ft
4:39.0,Defensive rebound by R. Westbrook,,77-53,,
4:39.0,Shooting foul by M. Brogdon (drawn by R. Westbrook),,77-53,,
4:28.0,Turnover by R. Westbrook (bad pass; steal by T. Snell),,77-53,,
4:26.0,,,77-53,,Shooting foul by A. Roberson (drawn by G. Antetokounmpo)
4:26.0,,,77-54,1,G. Antetokounmpo makes free throw 1 of 2
4:26.0,,,77-55,1,G. Antetokounmpo makes free throw 2 of 2
4:14.0,A. Roberson misses 3-pt shot from 23 ft,,77-55,,
4:11.0,,,77-55,,Defensive rebound by G. Antetokounmpo
4:05.0,,,77-55,,Turnover by G. Antetokounmpo (lost ball; steal by J. Grant)
3:56.0,P. George misses 3-pt shot from 27 ft,,77-55,,
3:56.0,,,77-55,,Defensive rebound by Team
3:56.0,,,77-55,,M. Dellavedova enters the game for M. Brogdon
3:56.0,A. Abrines enters the game for A. Roberson,,77-55,,
3:45.0,,,77-55,,Turnover by K. Middleton (bad pass)
3:32.0,R. Westbrook misses 2-pt shot from 15 ft,,77-55,,
3:28.0,,,77-55,,Defensive rebound by M. Dellavedova
3:17.0,,,77-55,,T. Snell misses 3-pt shot from 27 ft
3:15.0,,,77-55,,Offensive rebound by G. Antetokounmpo
3:12.0,,,77-55,,K. Middleton misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by S. Adams,,77-55,,
3:00.0,P. George misses 2-pt shot from 1 ft,,77-55,,
2:57.0,,,77-55,,Defensive rebound by T. Snell
2:56.0,,,77-55,,Turnover by K. Middleton (traveling)
2:46.0,R. Westbrook misses 2-pt shot from 4 ft (block by J. Henson),,77-55,,
2:41.0,,,77-55,,Defensive rebound by J. Henson
2:28.0,,,77-58,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by T. Snell)
2:28.0,Oklahoma City full timeout,,77-58,,
2:28.0,R. Felton enters the game for R. Westbrook,,77-58,,
2:28.0,P. Patterson enters the game for S. Adams,,77-58,,
2:16.0,R. Felton makes 3-pt shot from 25 ft,3,80-58,,
1:59.0,,,80-58,,Shooting foul by R. Felton (drawn by G. Antetokounmpo)
1:59.0,,,80-59,1,G. Antetokounmpo makes free throw 1 of 2
1:59.0,,,80-60,1,G. Antetokounmpo makes free throw 2 of 2
1:44.0,P. George makes 3-pt shot from 22 ft (assist by R. Felton),3,83-60,,
1:21.0,,,83-60,,K. Middleton misses 3-pt shot from 23 ft
1:15.0,,,83-60,,Offensive rebound by G. Antetokounmpo
1:15.0,,,83-62,2,G. Antetokounmpo makes 2-pt shot at rim
0:56.0,P. George misses 2-pt shot from 12 ft,,83-62,,
0:54.0,Turnover by Team (shot clock),,83-62,,
0:54.0,C. Anthony enters the game for P. George,,83-62,,
0:54.0,R. Felton misses 3-pt shot from 27 ft,,83-62,,
0:54.0,Offensive rebound by Team,,83-62,,
0:54.0,Offensive rebound by J. Grant,,83-62,,
0:38.0,,,83-62,,T. Snell misses 2-pt shot from 15 ft
0:32.0,Defensive rebound by C. Anthony,,83-62,,
0:32.0,Shooting foul by M. Dellavedova (drawn by R. Felton),,83-62,,
0:32.0,R. Felton makes free throw 1 of 2,1,84-62,,
0:32.0,R. Felton makes free throw 2 of 2,1,85-62,,
0:14.0,,,85-64,2,G. Antetokounmpo makes 2-pt shot from 13 ft (assist by M. Dellavedova)
0:00.0,C. Anthony misses 2-pt shot from 14 ft,,85-64,,
0:00.0,,,85-64,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by P. Patterson (drawn by J. Henson),,85-64,,
11:40.0,,,85-64,,M. Dellavedova misses 2-pt shot from 11 ft
11:39.0,Defensive rebound by Team,,85-64,,
11:14.0,A. Abrines misses 2-pt shot from 17 ft,,85-64,,
11:11.0,,,85-64,,Defensive rebound by J. Henson
10:59.0,,,85-64,,J. Henson misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by C. Anthony,,85-64,,
10:49.0,P. Patterson makes 3-pt shot from 26 ft (assist by R. Felton),3,88-64,,
10:32.0,,,88-64,,G. Antetokounmpo misses 2-pt shot from 19 ft
10:28.0,Defensive rebound by A. Abrines,,88-64,,
10:19.0,C. Anthony misses 2-pt shot from 14 ft (block by G. Antetokounmpo),,88-64,,
10:19.0,,,88-64,,Defensive rebound by G. Antetokounmpo
10:12.0,C. Anthony makes 2-pt shot from 14 ft (assist by P. Patterson),2,90-64,,
9:53.0,,,90-64,,Turnover by M. Teletovic (bad pass; steal by J. Grant)
9:52.0,Shooting foul by G. Antetokounmpo (drawn by J. Grant),,90-64,,
9:52.0,J. Grant makes free throw 1 of 2,1,91-64,,
9:52.0,,,91-64,,S. Brown enters the game for T. Snell
9:52.0,,,91-64,,R. Vaughn enters the game for G. Antetokounmpo
9:52.0,J. Grant makes free throw 2 of 2,1,92-64,,
9:27.0,,,92-64,,M. Teletovic misses 2-pt shot from 16 ft (block by C. Anthony)
9:21.0,Defensive rebound by P. Patterson,,92-64,,
9:06.0,J. Grant misses 3-pt shot from 23 ft,,92-64,,
9:03.0,Offensive rebound by J. Grant,,92-64,,
9:00.0,J. Grant misses 2-pt shot from 1 ft,,92-64,,
9:00.0,,,92-64,,Defensive rebound by J. Henson
8:42.0,,,92-66,2,M. Teletovic makes 2-pt shot from 7 ft (assist by M. Dellavedova)
8:31.0,,,92-66,,Personal foul by M. Teletovic (drawn by C. Anthony)
8:26.0,,,92-66,,Personal foul by S. Brown (drawn by C. Anthony)
8:17.0,Shooting foul by S. Brown (drawn by C. Anthony),,92-66,,
8:17.0,C. Anthony makes free throw 1 of 2,1,93-66,,
8:17.0,C. Anthony makes free throw 2 of 2,1,94-66,,
7:58.0,,,94-69,3,M. Teletovic makes 3-pt shot from 25 ft (assist by S. Brown)
7:44.0,C. Anthony misses 3-pt shot from 27 ft,,94-69,,
7:41.0,,,94-69,,Defensive rebound by S. Brown
7:35.0,,,94-72,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by M. Teletovic)
7:12.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Felton),3,97-72,,
6:53.0,,,97-72,,M. Teletovic misses 3-pt shot from 27 ft
6:52.0,,,97-72,,Offensive rebound by Team
6:52.0,,,97-72,,Milwaukee full timeout
6:52.0,,,97-72,,D. Liggins enters the game for M. Dellavedova
6:52.0,,,97-72,,D. Wilson enters the game for J. Henson
6:49.0,,,97-72,,M. Teletovic misses 3-pt shot from 25 ft
6:46.0,,,97-72,,Offensive rebound by D. Liggins
6:42.0,,,97-72,,S. Brown misses 3-pt shot from 25 ft
6:42.0,,,97-72,,Offensive rebound by Team
6:42.0,Loose ball foul by R. Felton (drawn by D. Liggins),,97-72,,
6:25.0,,,97-74,2,D. Wilson makes 2-pt shot from 1 ft
6:02.0,Turnover by A. Abrines (bad pass; steal by R. Vaughn),,97-74,,
6:02.0,Personal foul by A. Abrines (drawn by R. Vaughn),,97-74,,
6:02.0,J. Huestis enters the game for C. Anthony,,97-74,,
5:45.0,,,97-74,,R. Vaughn misses 2-pt shot from 7 ft (block by J. Huestis)
5:45.0,,,97-74,,Offensive rebound by Team
5:36.0,,,97-76,2,S. Brown makes 2-pt shot from 14 ft
5:16.0,J. Grant misses 2-pt shot from 2 ft,,97-76,,
5:14.0,,,97-76,,Defensive rebound by S. Brown
5:08.0,,,97-79,3,R. Vaughn makes 3-pt shot from 23 ft (assist by M. Teletovic)
5:08.0,Oklahoma City full timeout,,97-79,,
4:58.0,,,97-79,,Personal foul by M. Teletovic (drawn by R. Felton)
4:58.0,R. Felton misses free throw 1 of 2,,97-79,,
4:58.0,Offensive rebound by Team,,97-79,,
4:58.0,R. Felton makes free throw 2 of 2,1,98-79,,
4:39.0,,,98-79,,D. Wilson misses 2-pt shot from 20 ft
4:36.0,Defensive rebound by J. Huestis,,98-79,,
4:27.0,Turnover by J. Huestis (bad pass; steal by R. Vaughn),,98-79,,
4:20.0,,,98-79,,M. Teletovic misses 2-pt shot from 3 ft
4:13.0,Defensive rebound by R. Felton,,98-79,,
4:10.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton),2,100-79,,
4:10.0,Shooting foul by D. Wilson (drawn by J. Grant),,100-79,,
4:10.0,J. Grant makes free throw 1 of 1,1,101-79,,
3:59.0,,,101-79,,Turnover by S. Brown (traveling)
3:47.0,Turnover by R. Felton (lost ball; steal by M. Teletovic),,101-79,,
3:43.0,,,101-81,2,D. Wilson makes 2-pt shot from 1 ft (assist by M. Teletovic)
3:27.0,Turnover by J. Grant (bad pass; steal by S. Brown),,101-81,,
3:21.0,,,101-83,2,R. Vaughn makes 2-pt shot from 12 ft (assist by M. Teletovic)
2:59.0,A. Abrines makes 3-pt shot from 22 ft (assist by J. Grant),3,104-83,,
