time,Chicago,pts.away,score,pts.home,Sacramento
2:38.0,Shooting foul by D. Fox (drawn by J. Grant),,22-9,,
2:38.0,Chicago full timeout,,22-9,,
2:38.0,,,22-9,,G. Hill enters the game for D. Fox
2:38.0,,,22-9,,K. Koufos enters the game for Z. Randolph
2:38.0,P. Zipser enters the game for B. Portis,,22-9,,
2:38.0,J. Grant makes free throw 1 of 2,1,23-9,,
2:38.0,J. Grant makes free throw 2 of 2,1,24-9,,
2:23.0,,,24-9,,Turnover by V. Carter (bad pass; steal by J. Holiday)
2:15.0,Shooting foul by B. Hield (drawn by J. Grant),,24-9,,
2:15.0,J. Grant makes free throw 1 of 2,1,25-9,,
2:15.0,,,25-9,,G. Temple enters the game for J. Jackson
2:15.0,J. Grant makes free throw 2 of 2,1,26-9,,
2:03.0,,,26-9,,B. Hield misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by D. Valentine,,26-9,,
1:42.0,D. Valentine misses 2-pt shot from 7 ft,,26-9,,
1:39.0,,,26-9,,Defensive rebound by K. Koufos
1:30.0,Personal foul by D. Valentine (drawn by V. Carter),,26-9,,
1:30.0,R. Arcidiacono enters the game for J. Grant,,26-9,,
1:25.0,,,26-9,,Offensive foul by G. Hill (drawn by D. Valentine)
1:25.0,,,26-9,,Turnover by G. Hill (offensive foul)
1:17.0,Turnover by D. Valentine (bad pass),,26-9,,
0:58.0,,,26-9,,B. Hield misses 2-pt shot from 20 ft
0:54.0,Defensive rebound by R. Arcidiacono,,26-9,,
0:44.0,J. Holiday makes 2-pt shot from 19 ft (assist by R. Lopez),2,28-9,,
0:32.0,,,28-9,,Turnover by G. Hill (bad pass)
0:23.0,R. Lopez misses 2-pt shot from 21 ft,,28-9,,
0:19.0,,,28-9,,Defensive rebound by G. Hill
0:01.0,,,28-9,,G. Hill misses 2-pt shot from 11 ft
0:01.0,,,28-9,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by C. Felicio (drawn by G. Hill),,28-9,,
11:33.0,,,28-11,2,V. Carter makes 2-pt shot from 18 ft (assist by G. Hill)
11:20.0,Offensive foul by C. Felicio (drawn by G. Hill),,28-11,,
11:20.0,Turnover by C. Felicio (offensive foul),,28-11,,
11:08.0,,,28-11,,V. Carter misses 2-pt shot from 10 ft
11:04.0,,,28-11,,Offensive rebound by K. Koufos
10:48.0,,,28-11,,B. Hield misses 2-pt shot from 15 ft
10:44.0,Defensive rebound by C. Felicio,,28-11,,
10:36.0,D. Valentine makes 2-pt shot from 2 ft (assist by P. Zipser),2,30-11,,
10:08.0,,,30-11,,K. Koufos misses 2-pt shot from 6 ft
10:04.0,Defensive rebound by D. Valentine,,30-11,,
9:58.0,P. Zipser misses 2-pt shot from 20 ft,,30-11,,
9:55.0,,,30-11,,Defensive rebound by K. Koufos
9:48.0,,,30-11,,G. Temple misses 2-pt shot from 16 ft
9:45.0,Defensive rebound by P. Zipser,,30-11,,
9:38.0,D. Valentine makes 2-pt shot from 12 ft,2,32-11,,
9:23.0,,,32-13,2,G. Temple makes 2-pt shot from 1 ft
9:08.0,D. Nwaba misses 2-pt shot from 8 ft (block by B. Hield),,32-13,,
9:05.0,,,32-13,,Defensive rebound by G. Hill
8:55.0,,,32-13,,Turnover by G. Temple (lost ball; steal by P. Zipser)
8:46.0,P. Zipser misses 3-pt shot from 25 ft,,32-13,,
8:41.0,Offensive rebound by C. Felicio,,32-13,,
8:30.0,Shooting foul by K. Koufos (drawn by C. Felicio),,32-13,,
8:30.0,C. Felicio misses free throw 1 of 2,,32-13,,
8:30.0,Offensive rebound by Team,,32-13,,
8:30.0,,,32-13,,J. Sampson enters the game for V. Carter
8:30.0,C. Felicio makes free throw 2 of 2,1,33-13,,
8:17.0,,,33-16,3,G. Hill makes 3-pt shot from 25 ft (assist by B. Hield)
8:02.0,D. Valentine makes 3-pt shot from 25 ft (assist by P. Zipser),3,36-16,,
7:38.0,,,36-18,2,G. Temple makes 2-pt shot from 1 ft (assist by G. Hill)
7:21.0,P. Zipser misses 2-pt shot from 21 ft,,36-18,,
7:17.0,,,36-18,,Defensive rebound by K. Koufos
7:08.0,,,36-21,3,G. Temple makes 3-pt shot from 24 ft (assist by G. Hill)
6:55.0,Chicago full timeout,,36-21,,
6:55.0,,,36-21,,W. Cauley-Stein enters the game for K. Koufos
6:55.0,Z. LaVine enters the game for R. Arcidiacono,,36-21,,
6:48.0,Z. LaVine makes 3-pt shot from 22 ft (assist by C. Felicio),3,39-21,,
6:27.0,,,39-21,,G. Hill misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by C. Felicio,,39-21,,
6:10.0,Turnover by D. Valentine (out of bounds lost ball),,39-21,,
5:59.0,,,39-21,,W. Cauley-Stein misses 2-pt shot from 4 ft
5:57.0,,,39-21,,Offensive rebound by Team
5:57.0,Loose ball foul by P. Zipser (drawn by W. Cauley-Stein),,39-21,,
5:57.0,J. Holiday enters the game for D. Nwaba,,39-21,,
5:57.0,J. Grant enters the game for D. Valentine,,39-21,,
5:51.0,,,39-21,,G. Hill misses 2-pt shot from 20 ft
5:47.0,,,39-21,,Offensive rebound by J. Sampson
5:46.0,,,39-21,,J. Sampson misses 2-pt shot from 2 ft (block by P. Zipser)
5:46.0,,,39-21,,Offensive rebound by J. Sampson
5:42.0,,,39-23,2,J. Sampson makes 2-pt shot at rim
5:30.0,Shooting foul by W. Cauley-Stein (drawn by J. Holiday),,39-23,,
5:30.0,J. Holiday makes free throw 1 of 2,1,40-23,,
5:30.0,B. Portis enters the game for C. Felicio,,40-23,,
5:30.0,R. Lopez enters the game for P. Zipser,,40-23,,
5:30.0,J. Holiday makes free throw 2 of 2,1,41-23,,
5:16.0,,,41-23,,Shooting foul by R. Lopez (drawn by W. Cauley-Stein)
5:16.0,,,41-23,,W. Cauley-Stein misses free throw 1 of 2
5:16.0,,,41-23,,Offensive rebound by Team
5:16.0,,,41-24,1,W. Cauley-Stein makes free throw 2 of 2
4:53.0,R. Lopez misses 2-pt shot from 7 ft,,41-24,,
4:51.0,,,41-24,,Defensive rebound by G. Temple
4:49.0,,,41-27,3,G. Temple makes 3-pt shot from 25 ft
4:34.0,Shooting foul by J. Sampson (drawn by B. Portis),,41-27,,
4:34.0,B. Portis makes free throw 1 of 2,1,42-27,,
4:34.0,,,42-27,,B. Bogdanovic enters the game for B. Hield
4:34.0,B. Portis makes free throw 2 of 2,1,43-27,,
4:21.0,Personal foul by R. Lopez,,43-27,,
4:21.0,Technical foul by R. Lopez,,43-27,,
4:21.0,,,43-28,1,B. Bogdanovic makes technical free throw
4:21.0,Technical foul by R. Lopez,,43-28,,
4:21.0,,,43-29,1,B. Bogdanovic makes technical free throw
4:21.0,P. Zipser enters the game for R. Lopez,,43-29,,
4:17.0,,,43-29,,Offensive foul by W. Cauley-Stein (drawn by J. Holiday)
4:17.0,,,43-29,,Turnover by W. Cauley-Stein (offensive foul)
4:17.0,,,43-29,,Z. Randolph enters the game for W. Cauley-Stein
4:12.0,Turnover by B. Portis (traveling),,43-29,,
3:50.0,,,43-32,3,B. Bogdanovic makes 3-pt shot from 24 ft
3:36.0,P. Zipser makes 3-pt shot from 25 ft (assist by J. Holiday),3,46-32,,
3:17.0,Personal foul by J. Holiday (drawn by B. Bogdanovic),,46-32,,
3:17.0,,,46-32,,D. Fox enters the game for G. Hill
3:17.0,,,46-33,1,B. Bogdanovic makes free throw 1 of 2
3:17.0,,,46-34,1,B. Bogdanovic makes free throw 2 of 2
3:09.0,,,46-34,,Personal foul by G. Temple (drawn by B. Portis)
2:57.0,Turnover by J. Grant (bad pass; steal by B. Bogdanovic),,46-34,,
2:49.0,Personal foul by Z. LaVine (drawn by G. Temple),,46-34,,
2:49.0,,,46-34,,Sacramento full timeout
2:49.0,,,46-35,1,G. Temple makes free throw 1 of 2
2:49.0,,,46-36,1,G. Temple makes free throw 2 of 2
2:33.0,Z. LaVine makes 2-pt shot from 4 ft,2,48-36,,
2:16.0,,,48-38,2,J. Sampson makes 2-pt shot from 1 ft (assist by G. Temple)
2:01.0,Z. LaVine misses 3-pt shot from 25 ft,,48-38,,
1:57.0,,,48-38,,Defensive rebound by Z. Randolph
1:51.0,,,48-38,,D. Fox misses 2-pt shot from 5 ft
1:48.0,Defensive rebound by P. Zipser,,48-38,,
1:38.0,B. Portis makes 2-pt shot from 19 ft,2,50-38,,
1:17.0,,,50-38,,D. Fox misses 2-pt shot from 12 ft
1:12.0,Defensive rebound by B. Portis,,50-38,,
1:10.0,Z. LaVine makes 2-pt shot from 2 ft,2,52-38,,
0:54.0,,,52-40,2,J. Sampson makes 2-pt shot from 5 ft (assist by G. Temple)
0:37.0,Z. LaVine misses 3-pt shot from 25 ft,,52-40,,
0:33.0,,,52-40,,Defensive rebound by D. Fox
0:30.0,,,52-40,,Turnover by G. Temple (lost ball; steal by Z. LaVine)
0:15.0,Z. LaVine makes 2-pt shot from 2 ft,2,54-40,,
0:15.0,Shooting foul by J. Sampson (drawn by Z. LaVine),,54-40,,
0:15.0,D. Nwaba enters the game for B. Portis,,54-40,,
0:15.0,Z. LaVine makes free throw 1 of 1,1,55-40,,
0:02.0,,,55-40,,Shooting foul by P. Zipser (drawn by D. Fox)
0:02.0,,,55-41,1,D. Fox makes free throw 1 of 2
0:02.0,B. Portis enters the game for P. Zipser,,55-41,,
0:02.0,,,55-41,,D. Fox misses free throw 2 of 2
0:00.0,Defensive rebound by J. Grant,,55-41,,
0:00.0,J. Grant misses 3-pt shot from 59 ft,,55-41,,
0:00.0,Offensive rebound by Team,,55-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,55-44,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Fox)
11:26.0,B. Portis makes 3-pt shot from 22 ft (assist by J. Grant),3,58-44,,
11:12.0,,,58-44,,Z. Randolph misses 2-pt shot from 19 ft
11:09.0,,,58-44,,Offensive rebound by Team
10:59.0,Violation by B. Portis (kicked ball),,58-44,,
10:53.0,,,58-44,,Shooting foul by Z. LaVine (drawn by B. Bogdanovic)
10:53.0,,,58-45,1,B. Bogdanovic makes free throw 1 of 2
10:53.0,,,58-46,1,B. Bogdanovic makes free throw 2 of 2
10:39.0,B. Portis misses 3-pt shot from 25 ft,,58-46,,
10:36.0,,,58-46,,Defensive rebound by J. Jackson
10:27.0,,,58-48,2,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by B. Bogdanovic)
10:06.0,Z. LaVine misses 2-pt shot from 2 ft (block by Z. Randolph),,58-48,,
10:05.0,Offensive rebound by C. Felicio,,58-48,,
10:03.0,C. Felicio misses 2-pt shot from 3 ft (block by Z. Randolph),,58-48,,
10:03.0,,,58-48,,Defensive rebound by J. Jackson
9:54.0,,,58-50,2,D. Fox makes 2-pt shot from 2 ft
9:44.0,J. Grant misses 3-pt shot from 24 ft,,58-50,,
9:41.0,Offensive rebound by B. Portis,,58-50,,
9:40.0,B. Portis misses 2-pt shot from 3 ft,,58-50,,
9:38.0,,,58-50,,Defensive rebound by Z. Randolph
9:24.0,,,58-50,,Shooting foul by J. Holiday (drawn by J. Jackson)
9:24.0,,,58-51,1,J. Jackson makes free throw 1 of 2
9:24.0,,,58-51,,J. Jackson misses free throw 2 of 2
9:21.0,Defensive rebound by B. Portis,,58-51,,
9:01.0,B. Portis misses 2-pt shot from 16 ft,,58-51,,
8:58.0,,,58-51,,Defensive rebound by B. Bogdanovic
8:47.0,,,58-53,2,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph)
8:47.0,Chicago full timeout,,58-53,,
8:39.0,Turnover by J. Grant (bad pass; steal by B. Bogdanovic),,58-53,,
8:34.0,,,58-55,2,D. Fox makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
8:12.0,Z. LaVine makes 3-pt shot from 25 ft,3,61-55,,
7:55.0,,,61-55,,B. Bogdanovic misses 2-pt shot from 3 ft
7:54.0,,,61-55,,Offensive rebound by Z. Randolph
7:54.0,,,61-55,,Z. Randolph misses 2-pt shot at rim
7:54.0,,,61-55,,Offensive rebound by Z. Randolph
7:54.0,,,61-57,2,Z. Randolph makes 2-pt shot at rim
7:54.0,,,61-57,,Shooting foul by J. Grant (drawn by Z. Randolph)
7:54.0,,,61-57,,G. Hill enters the game for D. Fox
7:54.0,,,61-58,1,Z. Randolph makes free throw 1 of 1
7:38.0,,,61-58,,Personal foul by W. Cauley-Stein (drawn by J. Grant)
7:38.0,,,61-58,,J. Sampson enters the game for W. Cauley-Stein
7:25.0,Z. LaVine misses 2-pt shot from 3 ft,,61-58,,
7:25.0,,,61-58,,Defensive rebound by Team
7:25.0,Loose ball foul by C. Felicio (drawn by B. Bogdanovic),,61-58,,
7:08.0,,,61-60,2,Z. Randolph makes 2-pt shot from 15 ft
6:57.0,Shooting foul by J. Jackson (drawn by J. Holiday),,61-60,,
6:57.0,J. Holiday makes free throw 1 of 3,1,62-60,,
6:57.0,J. Holiday makes free throw 2 of 3,1,63-60,,
6:57.0,P. Zipser enters the game for C. Felicio,,63-60,,
6:57.0,J. Holiday misses free throw 3 of 3,,63-60,,
6:54.0,,,63-60,,Defensive rebound by J. Sampson
6:41.0,,,63-63,3,G. Hill makes 3-pt shot from 24 ft (assist by Z. Randolph)
6:25.0,J. Holiday makes 3-pt shot from 23 ft (assist by B. Portis),3,66-63,,
6:07.0,,,66-65,2,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph)
5:49.0,J. Holiday misses 2-pt shot from 3 ft,,66-65,,
5:47.0,,,66-65,,Defensive rebound by J. Sampson
5:35.0,,,66-65,,B. Bogdanovic misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by Z. LaVine,,66-65,,
5:24.0,B. Portis makes 2-pt shot from 9 ft (assist by Z. LaVine),2,68-65,,
5:05.0,,,68-67,2,Z. Randolph makes 2-pt shot from 1 ft
4:42.0,,,68-67,,Personal foul by G. Hill (drawn by B. Portis)
4:41.0,Turnover by P. Zipser (traveling),,68-67,,
4:20.0,,,68-67,,Z. Randolph misses 2-pt shot from 23 ft
4:16.0,,,68-67,,Offensive rebound by G. Hill
4:06.0,,,68-67,,B. Bogdanovic misses 2-pt shot from 15 ft
3:56.0,,,68-67,,Offensive rebound by G. Hill
3:56.0,,,68-69,2,G. Hill makes 2-pt shot at rim
3:47.0,Shooting foul by G. Hill (drawn by J. Grant),,68-69,,
3:47.0,J. Grant makes free throw 1 of 2,1,69-69,,
3:47.0,D. Valentine enters the game for Z. LaVine,,69-69,,
3:47.0,J. Grant makes free throw 2 of 2,1,70-69,,
3:31.0,,,70-69,,Z. Randolph misses 2-pt shot from 14 ft
3:29.0,Defensive rebound by J. Grant,,70-69,,
3:16.0,B. Portis misses 2-pt shot from 2 ft,,70-69,,
3:11.0,Offensive rebound by B. Portis,,70-69,,
3:11.0,B. Portis makes 2-pt shot at rim,2,72-69,,
3:11.0,,,72-69,,Sacramento full timeout
3:01.0,,,72-69,,G. Hill misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by J. Holiday,,72-69,,
2:50.0,B. Portis misses 2-pt shot from 3 ft,,72-69,,
2:47.0,,,72-69,,Defensive rebound by J. Sampson
2:44.0,,,72-69,,B. Bogdanovic misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by D. Valentine,,72-69,,
2:38.0,P. Zipser misses 3-pt shot from 25 ft,,72-69,,
2:34.0,,,72-69,,Defensive rebound by B. Bogdanovic
2:26.0,,,72-69,,Z. Randolph misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by D. Valentine,,72-69,,
2:02.0,B. Portis makes 2-pt shot from 20 ft (assist by J. Holiday),2,74-69,,
1:49.0,Personal foul by D. Valentine (drawn by J. Jackson),,74-69,,
1:49.0,,,74-70,1,J. Jackson makes free throw 1 of 2
1:49.0,,,74-70,,G. Temple enters the game for B. Bogdanovic
1:49.0,,,74-70,,K. Koufos enters the game for Z. Randolph
1:49.0,,,74-71,1,J. Jackson makes free throw 2 of 2
1:40.0,J. Holiday misses 3-pt shot from 25 ft,,74-71,,
1:36.0,,,74-71,,Defensive rebound by J. Sampson
1:23.0,,,74-71,,Turnover by J. Jackson (bad pass; steal by B. Portis)
1:13.0,B. Portis misses 2-pt shot from 1 ft (block by J. Sampson),,74-71,,
1:09.0,,,74-71,,Defensive rebound by J. Jackson
1:01.0,,,74-74,3,J. Sampson makes 3-pt shot from 25 ft (assist by G. Hill)
0:44.0,J. Grant makes 3-pt shot from 25 ft (assist by B. Portis),3,77-74,,
0:29.0,,,77-74,,G. Temple misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by B. Portis,,77-74,,
0:07.0,D. Valentine makes 2-pt shot from 11 ft (assist by J. Grant),2,79-74,,
0:01.0,,,79-76,2,G. Hill makes 2-pt shot from 8 ft
0:01.0,,,79-76,,Shooting foul by J. Grant (drawn by G. Hill)
0:01.0,,,79-77,1,G. Hill makes free throw 1 of 1
0:00.0,Turnover by J. Grant (bad pass; steal by J. Jackson),,79-77,,
0:00.0,,,79-77,,J. Jackson misses 3-pt shot from 36 ft
0:00.0,,,79-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,P. Zipser misses 3-pt shot from 25 ft,,79-77,,
11:33.0,Offensive rebound by C. Felicio,,79-77,,
11:30.0,Z. LaVine makes 3-pt shot from 25 ft (assist by C. Felicio),3,82-77,,
11:14.0,,,82-77,,G. Temple misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by P. Zipser,,82-77,,
11:00.0,P. Zipser misses 2-pt shot from 9 ft,,82-77,,
10:57.0,,,82-77,,Defensive rebound by K. Koufos
10:38.0,,,82-77,,G. Temple misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by D. Valentine,,82-77,,
10:15.0,P. Zipser makes 2-pt shot from 15 ft (assist by D. Valentine),2,84-77,,
9:51.0,,,84-77,,Shooting foul by P. Zipser (drawn by K. Koufos)
9:51.0,,,84-77,,K. Koufos misses free throw 1 of 2
9:51.0,,,84-77,,Offensive rebound by Team
9:51.0,,,84-77,,V. Carter enters the game for J. Sampson
9:51.0,J. Grant enters the game for Z. LaVine,,84-77,,
9:51.0,,,84-78,1,K. Koufos makes free throw 2 of 2
9:36.0,Turnover by P. Zipser (turnover),,84-78,,
9:24.0,,,84-78,,Turnover by V. Carter (bad pass; steal by D. Valentine)
9:18.0,Turnover by D. Valentine (bad pass; steal by G. Temple),,84-78,,
9:11.0,,,84-80,2,K. Koufos makes 2-pt shot from 2 ft (assist by G. Hill)
9:11.0,,,84-80,,Shooting foul by J. Grant (drawn by K. Koufos)
9:11.0,,,84-80,,K. Koufos misses free throw 1 of 1
9:08.0,Defensive rebound by D. Nwaba,,84-80,,
9:00.0,D. Valentine misses 3-pt shot from 25 ft,,84-80,,
8:55.0,,,84-80,,Defensive rebound by V. Carter
8:39.0,,,84-82,2,V. Carter makes 2-pt shot from 14 ft
8:25.0,D. Valentine misses 3-pt shot from 25 ft,,84-82,,
8:23.0,,,84-82,,Defensive rebound by B. Hield
8:04.0,,,84-82,,G. Hill misses 2-pt shot from 21 ft
8:00.0,Defensive rebound by C. Felicio,,84-82,,
7:54.0,D. Nwaba misses 2-pt shot from 3 ft (block by K. Koufos),,84-82,,
7:50.0,Offensive rebound by C. Felicio,,84-82,,
7:46.0,P. Zipser makes 3-pt shot from 26 ft (assist by D. Valentine),3,87-82,,
7:20.0,,,87-82,,B. Hield misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by P. Zipser,,87-82,,
7:07.0,P. Zipser misses 3-pt shot from 25 ft,,87-82,,
7:06.0,,,87-82,,Defensive rebound by Team
7:06.0,,,87-82,,Sacramento full timeout
7:06.0,,,87-82,,B. Bogdanovic enters the game for G. Hill
7:06.0,Z. LaVine enters the game for J. Grant,,87-82,,
6:50.0,,,87-84,2,B. Hield makes 2-pt shot from 19 ft (assist by B. Bogdanovic)
6:34.0,Z. LaVine misses 2-pt shot from 13 ft,,87-84,,
6:32.0,,,87-84,,Defensive rebound by B. Bogdanovic
6:18.0,,,87-86,2,K. Koufos makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
6:04.0,D. Valentine misses 3-pt shot from 24 ft,,87-86,,
6:00.0,,,87-86,,Defensive rebound by K. Koufos
5:46.0,,,87-89,3,B. Hield makes 3-pt shot from 25 ft (assist by V. Carter)
5:45.0,Chicago full timeout,,87-89,,
5:45.0,B. Portis enters the game for C. Felicio,,87-89,,
5:45.0,J. Holiday enters the game for D. Nwaba,,87-89,,
5:25.0,Turnover by Z. LaVine (out of bounds lost ball),,87-89,,
5:04.0,,,87-89,,B. Hield misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by B. Portis,,87-89,,
4:58.0,Shooting foul by V. Carter (drawn by P. Zipser),,87-89,,
4:58.0,P. Zipser makes free throw 1 of 2,1,88-89,,
4:58.0,,,88-89,,W. Cauley-Stein enters the game for V. Carter
4:58.0,,,88-89,,Z. Randolph enters the game for K. Koufos
4:58.0,J. Grant enters the game for D. Valentine,,88-89,,
4:58.0,P. Zipser makes free throw 2 of 2,1,89-89,,
4:45.0,,,89-91,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple)
4:24.0,J. Holiday makes 2-pt shot from 18 ft (assist by J. Grant),2,91-91,,
4:01.0,,,91-93,2,Z. Randolph makes 2-pt shot from 2 ft
3:44.0,B. Portis misses 2-pt shot from 5 ft,,91-93,,
3:42.0,,,91-93,,Defensive rebound by Z. Randolph
3:22.0,,,91-93,,B. Hield misses 3-pt shot from 23 ft
3:18.0,Defensive rebound by B. Portis,,91-93,,
3:04.0,Z. LaVine misses 2-pt shot from 5 ft,,91-93,,
3:02.0,Offensive rebound by Z. LaVine,,91-93,,
2:59.0,Z. LaVine makes 2-pt shot from 2 ft,2,93-93,,
2:42.0,,,93-93,,W. Cauley-Stein misses 2-pt shot from 1 ft
2:39.0,Defensive rebound by B. Portis,,93-93,,
2:28.0,Z. LaVine misses 2-pt shot from 22 ft,,93-93,,
2:26.0,,,93-93,,Defensive rebound by B. Hield
2:08.0,,,93-93,,Z. Randolph misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by J. Holiday,,93-93,,
1:54.0,B. Portis misses 2-pt shot from 20 ft,,93-93,,
1:49.0,,,93-93,,Defensive rebound by W. Cauley-Stein
