time,New York,pts.away,score,pts.home,Indiana
0:11.0,,,62-66,,L. Stephenson misses 3-pt shot from 27 ft
0:08.0,,,62-66,,Offensive rebound by M. Turner
0:08.0,,,62-66,,Shooting foul by E. Kanter (drawn by M. Turner)
0:08.0,,,62-67,1,M. Turner makes free throw 1 of 2
0:08.0,,,62-67,,B. Bogdanovic enters the game for L. Stephenson
0:08.0,,,62-68,1,M. Turner makes free throw 2 of 2
0:02.0,T. Burke misses 3-pt shot from 29 ft,,62-68,,
0:02.0,,,62-68,,Defensive rebound by B. Bogdanovic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,62-70,2,M. Turner makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
11:50.0,,,62-70,,Shooting foul by E. Kanter (drawn by M. Turner)
11:50.0,,,62-71,1,M. Turner makes free throw 1 of 1
11:33.0,J. Jack misses 3-pt shot from 28 ft,,62-71,,
11:29.0,Offensive rebound by E. Kanter,,62-71,,
11:29.0,E. Kanter makes 2-pt shot at rim,2,64-71,,
11:07.0,,,64-71,,V. Oladipo misses 2-pt shot from 17 ft
11:05.0,,,64-71,,Offensive rebound by T. Young
10:56.0,,,64-71,,V. Oladipo misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by E. Kanter,,64-71,,
10:35.0,M. Beasley misses 2-pt shot at rim,,64-71,,
10:32.0,,,64-71,,Defensive rebound by C. Joseph
10:28.0,,,64-71,,Turnover by C. Joseph (lost ball; steal by C. Lee)
10:24.0,T. Hardaway misses 2-pt shot from 1 ft,,64-71,,
10:22.0,,,64-71,,Defensive rebound by V. Oladipo
10:20.0,,,64-71,,Turnover by V. Oladipo (lost ball; steal by T. Hardaway)
10:02.0,T. Hardaway misses 3-pt shot from 27 ft,,64-71,,
10:00.0,,,64-71,,Defensive rebound by C. Joseph
9:47.0,,,64-73,2,T. Young makes 2-pt shot from 4 ft (assist by C. Joseph)
9:30.0,T. Hardaway misses 3-pt shot from 23 ft,,64-73,,
9:27.0,Offensive rebound by E. Kanter,,64-73,,
9:27.0,Shooting foul by M. Turner (drawn by E. Kanter),,64-73,,
9:27.0,E. Kanter makes free throw 1 of 2,1,65-73,,
9:27.0,E. Kanter makes free throw 2 of 2,1,66-73,,
9:19.0,,,66-75,2,V. Oladipo makes 2-pt shot from 18 ft (assist by T. Young)
9:10.0,Turnover by E. Kanter (bad pass; steal by V. Oladipo),,66-75,,
9:06.0,,,66-77,2,V. Oladipo makes 2-pt shot from 1 ft
9:06.0,New York full timeout,,66-77,,
8:52.0,Turnover by C. Lee (lost ball; steal by V. Oladipo),,66-77,,
8:44.0,,,66-80,3,T. Young makes 3-pt shot from 26 ft (assist by V. Oladipo)
8:21.0,T. Hardaway misses 2-pt shot from 21 ft,,66-80,,
8:19.0,,,66-80,,Defensive rebound by V. Oladipo
8:11.0,,,66-82,2,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo)
8:01.0,Turnover by E. Kanter (bad pass; steal by V. Oladipo),,66-82,,
7:56.0,,,66-82,,Shooting foul by C. Lee (drawn by V. Oladipo)
7:56.0,,,66-83,1,V. Oladipo makes free throw 1 of 2
7:56.0,E. Mudiay enters the game for E. Kanter,,66-83,,
7:56.0,F. Ntilikina enters the game for T. Hardaway,,66-83,,
7:56.0,L. Thomas enters the game for C. Lee,,66-83,,
7:56.0,K. O'Quinn enters the game for J. Jack,,66-83,,
7:56.0,,,66-83,,V. Oladipo misses free throw 2 of 2
7:53.0,Defensive rebound by E. Mudiay,,66-83,,
7:41.0,L. Thomas misses 3-pt shot from 23 ft,,66-83,,
7:38.0,,,66-83,,Defensive rebound by C. Joseph
7:33.0,Personal foul by E. Mudiay (drawn by B. Bogdanovic),,66-83,,
7:28.0,,,66-83,,Shooting foul by E. Mudiay (drawn by C. Joseph)
7:28.0,,,66-83,,C. Joseph misses free throw 1 of 2
7:28.0,,,66-83,,Offensive rebound by Team
7:28.0,,,66-83,,C. Joseph misses free throw 2 of 2
7:25.0,Defensive rebound by M. Beasley,,66-83,,
7:18.0,Shooting foul by C. Joseph (drawn by F. Ntilikina),,66-83,,
7:18.0,F. Ntilikina makes free throw 1 of 2,1,67-83,,
7:18.0,,,67-83,,J. Young enters the game for C. Joseph
7:18.0,F. Ntilikina makes free throw 2 of 2,1,68-83,,
7:01.0,,,68-83,,V. Oladipo misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by M. Beasley,,68-83,,
6:45.0,L. Thomas misses 3-pt shot from 25 ft,,68-83,,
6:40.0,,,68-83,,Defensive rebound by V. Oladipo
6:24.0,,,68-86,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Young)
6:06.0,Shooting foul by M. Turner (drawn by K. O'Quinn),,68-86,,
6:06.0,K. O'Quinn makes free throw 1 of 2,1,69-86,,
6:06.0,K. O'Quinn makes free throw 2 of 2,1,70-86,,
5:57.0,,,70-86,,Turnover by T. Young (traveling)
5:50.0,,,70-86,,Loose ball foul by V. Oladipo (drawn by F. Ntilikina)
5:31.0,K. O'Quinn misses 3-pt shot from 29 ft,,70-86,,
5:30.0,,,70-86,,Defensive rebound by V. Oladipo
5:22.0,,,70-86,,B. Bogdanovic misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by K. O'Quinn,,70-86,,
5:16.0,M. Beasley misses 3-pt shot from 23 ft,,70-86,,
5:13.0,,,70-86,,Defensive rebound by V. Oladipo
4:52.0,,,70-88,2,V. Oladipo makes 2-pt shot from 1 ft (assist by T. Young)
4:38.0,Turnover by E. Mudiay (bad pass),,70-88,,
4:38.0,,,70-88,,L. Stephenson enters the game for T. Young
4:38.0,,,70-88,,D. Sabonis enters the game for B. Bogdanovic
4:31.0,,,70-88,,J. Young misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by M. Beasley,,70-88,,
4:18.0,F. Ntilikina misses 2-pt shot from 19 ft,,70-88,,
4:14.0,,,70-88,,Defensive rebound by V. Oladipo
4:10.0,,,70-90,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
3:58.0,E. Mudiay makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,72-90,,
3:58.0,Shooting foul by D. Sabonis (drawn by E. Mudiay),,72-90,,
3:58.0,D. Dotson enters the game for L. Thomas,,72-90,,
3:58.0,E. Mudiay makes free throw 1 of 1,1,73-90,,
3:43.0,,,73-90,,M. Turner misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by M. Beasley,,73-90,,
3:34.0,M. Beasley makes 2-pt shot from 17 ft (assist by E. Mudiay),2,75-90,,
3:33.0,,,75-90,,Indiana full timeout
3:33.0,,,75-90,,A. Jefferson enters the game for M. Turner
3:17.0,,,75-90,,D. Sabonis misses 2-pt shot from 1 ft
3:14.0,,,75-90,,Offensive rebound by A. Jefferson
3:14.0,,,75-92,2,A. Jefferson makes 2-pt shot at rim
2:56.0,M. Beasley makes 2-pt shot from 1 ft (assist by E. Mudiay),2,77-92,,
2:31.0,,,77-92,,D. Sabonis misses 2-pt shot from 2 ft (block by K. O'Quinn)
2:28.0,Defensive rebound by K. O'Quinn,,77-92,,
2:24.0,E. Mudiay misses 3-pt shot from 26 ft,,77-92,,
2:21.0,Offensive rebound by K. O'Quinn,,77-92,,
2:14.0,E. Mudiay misses 2-pt shot from 4 ft (block by A. Jefferson),,77-92,,
2:12.0,,,77-92,,Defensive rebound by J. Young
1:59.0,,,77-94,2,J. Young makes 2-pt shot from 13 ft
1:43.0,F. Ntilikina misses 2-pt shot from 12 ft,,77-94,,
1:40.0,Offensive rebound by M. Beasley,,77-94,,
1:40.0,M. Beasley makes 2-pt shot at rim,2,79-94,,
1:23.0,,,79-94,,Turnover by L. Stephenson (bad pass)
1:08.0,M. Beasley misses 2-pt shot from 7 ft (block by V. Oladipo),,79-94,,
1:08.0,Offensive rebound by Team,,79-94,,
1:06.0,D. Dotson makes 2-pt shot from 18 ft (assist by E. Mudiay),2,81-94,,
0:48.0,,,81-94,,L. Stephenson misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by K. O'Quinn,,81-94,,
0:36.0,F. Ntilikina makes 3-pt shot from 23 ft (assist by M. Beasley),3,84-94,,
0:26.0,,,84-94,,V. Oladipo misses 2-pt shot from 20 ft
0:23.0,Defensive rebound by M. Beasley,,84-94,,
0:04.0,F. Ntilikina misses 2-pt shot from 21 ft,,84-94,,
0:01.0,,,84-94,,Defensive rebound by L. Stephenson
0:00.0,,,84-94,,L. Stephenson misses 3-pt shot from 75 ft
0:00.0,,,84-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,E. Mudiay misses 3-pt shot from 25 ft,,84-94,,
11:38.0,Offensive rebound by K. O'Quinn,,84-94,,
11:33.0,Shooting foul by J. Young (drawn by F. Ntilikina),,84-94,,
11:33.0,F. Ntilikina makes free throw 1 of 2,1,85-94,,
11:33.0,F. Ntilikina makes free throw 2 of 2,1,86-94,,
11:25.0,Personal foul by K. O'Quinn (drawn by A. Jefferson),,86-94,,
11:18.0,,,86-96,2,B. Bogdanovic makes 2-pt shot from 16 ft
10:56.0,D. Dotson misses 2-pt shot from 18 ft,,86-96,,
10:54.0,,,86-96,,Defensive rebound by D. Sabonis
10:47.0,,,86-98,2,L. Stephenson makes 2-pt shot from 15 ft
10:26.0,K. O'Quinn makes 2-pt shot from 8 ft,2,88-98,,
10:26.0,,,88-98,,Violation by L. Stephenson (def goaltending)
10:12.0,,,88-101,3,J. Young makes 3-pt shot from 27 ft (assist by D. Sabonis)
9:53.0,D. Dotson misses 3-pt shot from 23 ft,,88-101,,
9:49.0,Offensive rebound by D. Dotson,,88-101,,
9:44.0,Shooting foul by A. Jefferson (drawn by K. O'Quinn),,88-101,,
9:44.0,K. O'Quinn misses free throw 1 of 2,,88-101,,
9:44.0,Offensive rebound by Team,,88-101,,
9:44.0,,,88-101,,T. Young enters the game for A. Jefferson
9:44.0,K. O'Quinn misses free throw 2 of 2,,88-101,,
9:42.0,,,88-101,,Defensive rebound by D. Sabonis
9:21.0,,,88-101,,D. Sabonis misses 2-pt shot at rim (block by K. O'Quinn)
9:19.0,Defensive rebound by F. Ntilikina,,88-101,,
9:17.0,Turnover by F. Ntilikina (lost ball; steal by L. Stephenson),,88-101,,
9:13.0,,,88-101,,Turnover by B. Bogdanovic (bad pass; steal by L. Kornet)
9:07.0,L. Kornet misses 3-pt shot from 29 ft,,88-101,,
9:04.0,Offensive rebound by K. O'Quinn,,88-101,,
9:04.0,K. O'Quinn makes 2-pt shot from 2 ft,2,90-101,,
9:04.0,Shooting foul by J. Young (drawn by K. O'Quinn),,90-101,,
9:04.0,K. O'Quinn makes free throw 1 of 1,1,91-101,,
8:48.0,,,91-101,,D. Sabonis misses 2-pt shot from 3 ft
8:46.0,Defensive rebound by L. Kornet,,91-101,,
8:37.0,K. O'Quinn makes 3-pt shot from 22 ft (assist by E. Mudiay),3,94-101,,
8:36.0,,,94-101,,Indiana full timeout
8:36.0,,,94-101,,V. Oladipo enters the game for J. Young
8:36.0,,,94-101,,C. Joseph enters the game for B. Bogdanovic
8:36.0,T. Hardaway enters the game for F. Ntilikina,,94-101,,
8:24.0,,,94-103,2,L. Stephenson makes 2-pt shot from 4 ft (assist by V. Oladipo)
8:09.0,L. Kornet misses 3-pt shot from 27 ft,,94-103,,
8:07.0,,,94-103,,Defensive rebound by L. Stephenson
8:01.0,,,94-103,,Offensive foul by D. Sabonis (drawn by D. Dotson)
8:01.0,,,94-103,,Turnover by D. Sabonis (offensive foul)
7:45.0,T. Hardaway makes 2-pt shot at rim (assist by L. Kornet),2,96-103,,
7:29.0,,,96-106,3,L. Stephenson makes 3-pt shot from 26 ft (assist by V. Oladipo)
7:16.0,E. Mudiay misses 2-pt shot from 1 ft,,96-106,,
7:14.0,,,96-106,,Defensive rebound by D. Sabonis
7:08.0,,,96-109,3,T. Young makes 3-pt shot from 23 ft (assist by L. Stephenson)
7:06.0,Technical foul by K. O'Quinn,,96-109,,
7:06.0,New York full timeout,,96-109,,
7:06.0,E. Kanter enters the game for E. Mudiay,,96-109,,
7:06.0,M. Beasley enters the game for L. Kornet,,96-109,,
7:06.0,F. Ntilikina enters the game for K. O'Quinn,,96-109,,
7:06.0,,,96-110,1,V. Oladipo makes technical free throw
6:48.0,D. Dotson misses 3-pt shot from 26 ft,,96-110,,
6:44.0,,,96-110,,Defensive rebound by D. Sabonis
