time,Sacramento,pts.away,score,pts.home,Phoenix
3:57.0,,,35-37,,Shooting foul by N. Hayes (drawn by J. Jackson)
3:57.0,,,35-38,1,J. Jackson makes free throw 1 of 2
3:57.0,,,35-39,1,J. Jackson makes free throw 2 of 2
3:45.0,D. Fox misses 2-pt shot from 14 ft,,35-39,,
3:42.0,,,35-39,,Defensive rebound by M. Chriss
3:30.0,Violation by N. Hayes (kicked ball),,35-39,,
3:30.0,,,35-39,,D. Bender enters the game for A. Williams
3:26.0,,,35-39,,Shooting foul by V. Carter (drawn by D. Reed)
3:26.0,,,35-39,,D. Reed misses free throw 1 of 2
3:26.0,,,35-39,,Offensive rebound by Team
3:26.0,W. Cauley-Stein enters the game for V. Carter,,35-39,,
3:26.0,,,35-40,1,D. Reed makes free throw 2 of 2
3:10.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Bogdanovic),2,37-40,,
3:10.0,Shooting foul by D. Reed (drawn by W. Cauley-Stein),,37-40,,
3:10.0,W. Cauley-Stein misses free throw 1 of 1,,37-40,,
3:08.0,,,37-40,,Defensive rebound by M. Chriss
3:07.0,,,37-40,,Turnover by M. Chriss (bad pass)
2:56.0,W. Cauley-Stein misses 2-pt shot at rim,,37-40,,
2:55.0,,,37-40,,Defensive rebound by D. Bender
2:36.0,,,37-43,3,J. Jackson makes 3-pt shot from 25 ft (assist by T. Ulis)
2:23.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,37-43,,
2:20.0,Offensive rebound by D. Fox,,37-43,,
2:19.0,D. Fox misses 2-pt shot from 1 ft,,37-43,,
2:13.0,,,37-43,,Defensive rebound by M. Chriss
2:13.0,,,37-43,,D. Reed misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by B. Bogdanovic,,37-43,,
2:06.0,B. Bogdanovic misses 2-pt shot at rim (block by M. Chriss),,37-43,,
2:06.0,Offensive rebound by Team,,37-43,,
1:55.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,37-43,,
1:53.0,Offensive rebound by N. Hayes,,37-43,,
1:51.0,B. Bogdanovic misses 3-pt shot from 31 ft,,37-43,,
1:49.0,,,37-43,,Defensive rebound by M. Chriss
1:44.0,,,37-43,,Shooting foul by W. Cauley-Stein (drawn by J. Jackson)
1:44.0,,,37-43,,J. Jackson misses free throw 1 of 2
1:44.0,,,37-43,,Offensive rebound by Team
1:44.0,,,37-44,1,J. Jackson makes free throw 2 of 2
1:28.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,37-44,,
1:24.0,,,37-44,,Defensive rebound by D. Bender
1:03.0,,,37-46,2,J. Jackson makes 2-pt shot from 20 ft
0:50.0,Shooting foul by D. Reed (drawn by B. Bogdanovic),,37-46,,
0:50.0,B. Bogdanovic makes free throw 1 of 2,1,38-46,,
0:50.0,,,38-46,,D. House enters the game for J. Jackson
0:50.0,B. Hield enters the game for N. Hayes,,38-46,,
0:50.0,B. Bogdanovic misses free throw 2 of 2,,38-46,,
0:48.0,Offensive rebound by J. Jackson,,38-46,,
0:42.0,B. Hield misses 2-pt shot from 19 ft,,38-46,,
0:40.0,Offensive rebound by B. Hield,,38-46,,
0:31.0,D. Fox misses 2-pt shot from 18 ft,,38-46,,
0:27.0,,,38-46,,Defensive rebound by M. Chriss
0:11.0,,,38-46,,D. House misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by B. Bogdanovic,,38-46,,
0:01.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by B. Bogdanovic),2,40-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,40-48,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
11:28.0,B. Bogdanovic misses 3-pt shot from 25 ft,,40-48,,
11:26.0,,,40-48,,Defensive rebound by D. House
11:15.0,,,40-51,3,D. Bender makes 3-pt shot from 26 ft (assist by T. Ulis)
10:59.0,B. Bogdanovic misses 2-pt shot from 2 ft,,40-51,,
10:53.0,Offensive rebound by W. Cauley-Stein,,40-51,,
10:53.0,W. Cauley-Stein makes 2-pt shot at rim,2,42-51,,
10:44.0,,,42-54,3,D. House makes 3-pt shot from 24 ft
10:29.0,V. Carter misses 3-pt shot from 24 ft,,42-54,,
10:28.0,,,42-54,,Defensive rebound by D. Bender
10:18.0,,,42-56,2,T. Ulis makes 2-pt shot from 12 ft
10:10.0,Shooting foul by D. Bender (drawn by D. Fox),,42-56,,
10:10.0,D. Fox makes free throw 1 of 2,1,43-56,,
10:10.0,D. Fox makes free throw 2 of 2,1,44-56,,
9:55.0,,,44-56,,J. Jackson misses 2-pt shot from 12 ft
9:51.0,Defensive rebound by W. Cauley-Stein,,44-56,,
9:49.0,Shooting foul by D. House (drawn by W. Cauley-Stein),,44-56,,
9:49.0,W. Cauley-Stein misses free throw 1 of 2,,44-56,,
9:49.0,Offensive rebound by Team,,44-56,,
9:49.0,W. Cauley-Stein makes free throw 2 of 2,1,45-56,,
9:29.0,,,45-59,3,J. Jackson makes 3-pt shot from 24 ft (assist by D. House)
9:10.0,Turnover by D. Fox (traveling),,45-59,,
9:00.0,,,45-59,,Offensive foul by M. Chriss (drawn by D. Fox)
9:00.0,,,45-59,,Turnover by M. Chriss (offensive foul)
8:51.0,D. Fox misses 2-pt shot at rim,,45-59,,
8:49.0,Offensive rebound by D. Fox,,45-59,,
8:33.0,B. Bogdanovic makes 2-pt shot from 11 ft,2,47-59,,
8:14.0,,,47-59,,D. Bender misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by J. Jackson,,47-59,,
8:03.0,B. Bogdanovic misses 2-pt shot from 13 ft,,47-59,,
8:01.0,,,47-59,,Defensive rebound by D. Bender
7:51.0,,,47-59,,M. Chriss misses 2-pt shot from 22 ft
7:47.0,Defensive rebound by D. Fox,,47-59,,
7:43.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,49-59,,
7:43.0,Shooting foul by M. Chriss (drawn by W. Cauley-Stein),,49-59,,
7:43.0,W. Cauley-Stein makes free throw 1 of 1,1,50-59,,
7:39.0,,,50-59,,Phoenix full timeout
7:39.0,,,50-59,,A. Len enters the game for M. Chriss
7:39.0,,,50-59,,S. Harrison enters the game for D. House
7:32.0,,,50-59,,J. Jackson misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by D. Fox,,50-59,,
7:20.0,,,50-59,,Personal foul by D. Bender (drawn by W. Cauley-Stein)
7:11.0,B. Bogdanovic misses 2-pt shot from 11 ft,,50-59,,
7:08.0,Offensive rebound by W. Cauley-Stein,,50-59,,
7:06.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by D. Bender),,50-59,,
7:02.0,,,50-59,,Defensive rebound by D. Bender
7:00.0,,,50-61,2,J. Jackson makes 2-pt shot from 1 ft (assist by T. Ulis)
6:47.0,Shooting foul by S. Harrison (drawn by V. Carter),,50-61,,
6:47.0,V. Carter makes free throw 1 of 2,1,51-61,,
6:47.0,V. Carter makes free throw 2 of 2,1,52-61,,
6:39.0,,,52-61,,T. Ulis misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by V. Carter,,52-61,,
6:26.0,D. Fox misses 2-pt shot from 19 ft,,52-61,,
6:23.0,,,52-61,,Defensive rebound by J. Jackson
6:19.0,,,52-61,,Offensive charge foul by J. Jackson (drawn by D. Fox)
6:19.0,,,52-61,,Turnover by J. Jackson (offensive foul)
6:09.0,Turnover by B. Bogdanovic (bad pass; steal by T. Ulis),,52-61,,
6:06.0,,,52-63,2,D. Bender makes 2-pt shot from 1 ft (assist by T. Ulis)
5:48.0,B. Bogdanovic misses 2-pt shot from 14 ft,,52-63,,
5:48.0,,,52-63,,Defensive rebound by A. Len
5:32.0,,,52-63,,Offensive foul by A. Len (drawn by D. Fox)
5:32.0,,,52-63,,Turnover by A. Len (offensive foul)
5:12.0,Turnover by B. Bogdanovic (traveling),,52-63,,
5:02.0,,,52-65,2,S. Harrison makes 2-pt shot at rim (assist by A. Len)
5:02.0,,,52-65,,Shooting foul by B. Bogdanovic (drawn by S. Harrison)
5:02.0,N. Hayes enters the game for W. Cauley-Stein,,52-65,,
5:02.0,,,52-65,,S. Harrison misses free throw 1 of 1
5:02.0,Defensive rebound by V. Carter,,52-65,,
4:50.0,J. Jackson makes 3-pt shot from 25 ft (assist by N. Hayes),3,55-65,,
4:22.0,,,55-65,,J. Jackson misses 2-pt shot from 19 ft
4:19.0,Defensive rebound by D. Fox,,55-65,,
4:13.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jackson),3,58-65,,
3:48.0,,,58-65,,S. Harrison misses 2-pt shot at rim
3:44.0,,,58-65,,Offensive rebound by A. Len
3:44.0,,,58-65,,A. Len misses 2-pt shot at rim
3:43.0,Defensive rebound by B. Bogdanovic,,58-65,,
3:37.0,V. Carter makes 3-pt shot from 25 ft (assist by D. Fox),3,61-65,,
3:11.0,,,61-65,,D. Bender misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by Team,,61-65,,
3:10.0,,,61-65,,A. Peters enters the game for D. Bender
3:10.0,B. Hield enters the game for V. Carter,,61-65,,
3:10.0,Sacramento full timeout,,61-65,,
2:48.0,Turnover by N. Hayes (bad pass; steal by J. Jackson),,61-65,,
2:41.0,,,61-67,2,A. Len makes 2-pt shot at rim (assist by T. Ulis)
2:22.0,J. Jackson makes 3-pt shot from 25 ft (assist by N. Hayes),3,64-67,,
2:06.0,Personal foul by N. Hayes (drawn by A. Len),,64-67,,
1:55.0,,,64-67,,J. Jackson misses 2-pt shot from 20 ft
1:51.0,Defensive rebound by B. Hield,,64-67,,
1:44.0,Turnover by B. Hield (lost ball; steal by S. Harrison),,64-67,,
1:39.0,,,64-69,2,S. Harrison makes 2-pt shot at rim
1:19.0,N. Hayes misses 3-pt shot from 26 ft,,64-69,,
1:17.0,,,64-69,,Defensive rebound by J. Jackson
1:00.0,,,64-69,,Shooting foul by B. Bogdanovic (drawn by J. Jackson)
1:00.0,,,64-69,,J. Jackson misses free throw 1 of 2
1:00.0,,,64-69,,Offensive rebound by Team
1:00.0,,,64-70,1,J. Jackson makes free throw 2 of 2
0:48.0,Shooting foul by A. Len (drawn by D. Fox),,64-70,,
0:48.0,D. Fox makes free throw 1 of 2,1,65-70,,
0:48.0,,,65-70,,D. House enters the game for J. Jackson
0:48.0,D. Fox makes free throw 2 of 2,1,66-70,,
0:36.0,,,66-70,,Shooting foul by D. Fox (drawn by T. Ulis)
0:36.0,,,66-71,1,T. Ulis makes free throw 1 of 2
0:36.0,,,66-72,1,T. Ulis makes free throw 2 of 2
0:26.0,D. Fox makes 3-pt shot from 25 ft (assist by J. Jackson),3,69-72,,
0:06.0,,,69-72,,Shooting foul by N. Hayes (drawn by T. Ulis)
0:06.0,,,69-73,1,T. Ulis makes free throw 1 of 2
0:06.0,,,69-73,,T. Ulis misses free throw 2 of 2
0:04.0,,,69-73,,Offensive rebound by A. Len
0:02.0,,,69-73,,D. House misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by J. Jackson,,69-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,W. Cauley-Stein misses 2-pt shot at rim (block by S. Harrison),,69-73,,
11:38.0,,,69-73,,Defensive rebound by D. Reed
11:28.0,,,69-73,,S. Harrison misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
11:28.0,,,69-73,,Offensive rebound by A. Len
11:28.0,,,69-73,,Shooting foul by J. Jackson (drawn by A. Len)
11:28.0,,,69-73,,A. Len misses free throw 1 of 2
11:28.0,,,69-73,,Offensive rebound by Team
11:28.0,,,69-74,1,A. Len makes free throw 2 of 2
11:17.0,B. Hield misses 2-pt shot from 19 ft,,69-74,,
11:15.0,,,69-74,,Defensive rebound by D. House
11:02.0,,,69-74,,Turnover by S. Harrison (bad pass; steal by B. Hield)
11:02.0,,,69-74,,Personal take foul by A. Peters (drawn by B. Hield)
10:43.0,N. Hayes misses 2-pt shot from 2 ft,,69-74,,
10:41.0,,,69-74,,Defensive rebound by A. Len
10:26.0,,,69-76,2,A. Len makes 2-pt shot at rim (assist by D. House)
10:06.0,B. Hield misses 2-pt shot from 21 ft,,69-76,,
10:03.0,,,69-76,,Defensive rebound by D. House
9:57.0,,,69-76,,Turnover by D. House (out of bounds lost ball)
9:57.0,,,69-76,,M. Chriss enters the game for A. Peters
9:57.0,D. Fox enters the game for N. Hayes,,69-76,,
9:46.0,D. Fox misses 2-pt shot from 12 ft,,69-76,,
9:45.0,,,69-76,,Defensive rebound by A. Len
9:39.0,,,69-78,2,D. House makes 2-pt shot at rim (assist by S. Harrison)
9:23.0,J. Jackson makes 2-pt shot from 13 ft,2,71-78,,
9:07.0,,,71-78,,Shooting foul by B. Hield (drawn by A. Len)
9:07.0,,,71-79,1,A. Len makes free throw 1 of 2
9:07.0,,,71-80,1,A. Len makes free throw 2 of 2
8:51.0,Turnover by W. Cauley-Stein (traveling),,71-80,,
8:31.0,,,71-82,2,M. Chriss makes 2-pt shot from 1 ft
8:17.0,F. Mason misses 2-pt shot from 12 ft,,71-82,,
8:16.0,,,71-82,,Defensive rebound by Team
8:03.0,,,71-82,,A. Len misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
8:03.0,,,71-82,,Offensive rebound by Team
7:59.0,,,71-82,,D. Reed misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by F. Mason,,71-82,,
7:52.0,,,71-82,,Personal foul by D. Reed (drawn by D. Fox)
7:46.0,F. Mason misses 2-pt shot from 1 ft,,71-82,,
7:44.0,,,71-82,,Defensive rebound by M. Chriss
7:37.0,,,71-82,,Turnover by S. Harrison (bad pass; steal by D. Fox)
7:31.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by J. Jackson),2,73-82,,
7:13.0,,,73-84,2,D. House makes 2-pt shot at rim
7:13.0,Sacramento full timeout,,73-84,,
7:13.0,,,73-84,,T. Ulis enters the game for S. Harrison
7:13.0,,,73-84,,J. Jackson enters the game for D. Reed
6:57.0,J. Jackson makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,76-84,,
6:41.0,,,76-84,,Shooting foul by W. Cauley-Stein (drawn by M. Chriss)
6:41.0,,,76-85,1,M. Chriss makes free throw 1 of 2
6:41.0,,,76-86,1,M. Chriss makes free throw 2 of 2
6:29.0,D. Fox makes 2-pt shot from 22 ft (assist by W. Cauley-Stein),2,78-86,,
6:12.0,,,78-86,,T. Ulis misses 2-pt shot from 6 ft (block by F. Mason)
6:12.0,,,78-86,,Offensive rebound by Team
6:12.0,B. Bogdanovic enters the game for F. Mason,,78-86,,
6:10.0,,,78-86,,Shooting foul by W. Cauley-Stein (drawn by A. Len)
6:10.0,,,78-86,,A. Len misses free throw 1 of 2
6:10.0,,,78-86,,Offensive rebound by Team
6:10.0,,,78-86,,A. Len misses free throw 2 of 2
6:07.0,Defensive rebound by J. Jackson,,78-86,,
5:52.0,J. Jackson makes 2-pt shot from 19 ft,2,80-86,,
5:33.0,,,80-86,,T. Ulis misses 2-pt shot from 13 ft
5:29.0,,,80-86,,Offensive rebound by A. Len
5:15.0,,,80-86,,J. Jackson misses 2-pt shot from 7 ft
5:12.0,,,80-86,,Offensive rebound by J. Jackson
5:11.0,,,80-88,2,J. Jackson makes 2-pt shot at rim
4:57.0,Shooting foul by J. Jackson (drawn by W. Cauley-Stein),,80-88,,
4:57.0,W. Cauley-Stein misses free throw 1 of 2,,80-88,,
4:57.0,Offensive rebound by Team,,80-88,,
4:57.0,W. Cauley-Stein misses free throw 2 of 2,,80-88,,
4:54.0,,,80-88,,Defensive rebound by M. Chriss
4:37.0,,,80-90,2,T. Ulis makes 2-pt shot from 11 ft
4:30.0,D. Fox misses 2-pt shot at rim,,80-90,,
4:26.0,,,80-90,,Defensive rebound by A. Len
4:19.0,,,80-90,,Shooting foul by J. Jackson (drawn by T. Ulis)
4:19.0,,,80-91,1,T. Ulis makes free throw 1 of 2
4:19.0,,,80-92,1,T. Ulis makes free throw 2 of 2
4:02.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox),3,83-92,,
3:59.0,,,83-92,,Phoenix full timeout
3:50.0,,,83-92,,Offensive foul by A. Len (drawn by D. Fox)
3:50.0,,,83-92,,Turnover by A. Len (offensive foul)
