time,Miami,pts.away,score,pts.home,Philadelphia
8:09.0,,,6-6,,J. Embiid misses 2-pt shot from 15 ft (block by H. Whiteside)
8:04.0,Defensive rebound by H. Whiteside,,6-6,,
7:58.0,H. Whiteside makes 2-pt shot from 18 ft (assist by T. Johnson),2,8-6,,
7:32.0,,,8-6,,J. Embiid misses 2-pt shot from 5 ft (block by H. Whiteside)
7:30.0,,,8-6,,Offensive rebound by J. Embiid
7:30.0,,,8-6,,Shooting foul by J. Johnson (drawn by J. Embiid)
7:30.0,,,8-7,1,J. Embiid makes free throw 1 of 2
7:30.0,,,8-7,,T. McConnell enters the game for J. Redick
7:30.0,,,8-8,1,J. Embiid makes free throw 2 of 2
7:14.0,Turnover by H. Whiteside (lost ball; steal by D. Saric),,8-8,,
7:00.0,,,8-8,,J. Embiid misses 3-pt shot from 26 ft
6:52.0,,,8-8,,Offensive rebound by J. Embiid
6:47.0,,,8-8,,R. Covington misses 3-pt shot from 28 ft
6:44.0,Defensive rebound by G. Dragic,,8-8,,
6:42.0,Shooting foul by T. McConnell (drawn by G. Dragic),,8-8,,
6:42.0,,,8-8,,Philadelphia full timeout
6:42.0,G. Dragic makes free throw 1 of 3,1,9-8,,
6:42.0,G. Dragic makes free throw 2 of 2,1,10-8,,
6:23.0,,,10-8,,Turnover by J. Embiid (lost ball; steal by J. Richardson)
6:19.0,J. Richardson misses 2-pt shot from 2 ft,,10-8,,
6:19.0,,,10-8,,Defensive rebound by Team
6:19.0,Loose ball foul by H. Whiteside (drawn by R. Covington),,10-8,,
6:19.0,,,10-8,,A. Johnson enters the game for J. Embiid
6:19.0,B. Adebayo enters the game for H. Whiteside,,10-8,,
6:02.0,,,10-8,,B. Simmons misses 2-pt shot from 9 ft
5:59.0,Defensive rebound by B. Adebayo,,10-8,,
5:56.0,G. Dragic makes 2-pt shot from 1 ft,2,12-8,,
5:44.0,,,12-11,3,D. Saric makes 3-pt shot from 25 ft (assist by R. Covington)
5:18.0,B. Adebayo misses 2-pt shot from 9 ft,,12-11,,
5:16.0,,,12-11,,Defensive rebound by D. Saric
5:09.0,,,12-13,2,T. McConnell makes 2-pt shot from 14 ft
5:00.0,Miami full timeout,,12-13,,
5:00.0,J. Winslow enters the game for J. Richardson,,12-13,,
5:00.0,W. Ellington enters the game for T. Johnson,,12-13,,
4:50.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,15-13,,
4:38.0,,,15-13,,R. Covington misses 3-pt shot from 26 ft
4:35.0,Defensive rebound by B. Adebayo,,15-13,,
4:24.0,G. Dragic misses 2-pt shot from 8 ft,,15-13,,
4:19.0,Offensive rebound by B. Adebayo,,15-13,,
4:19.0,B. Adebayo misses 2-pt shot at rim,,15-13,,
4:18.0,,,15-13,,Defensive rebound by A. Johnson
4:10.0,,,15-15,2,D. Saric makes 2-pt shot from 7 ft
3:54.0,,,15-15,,Personal foul by R. Covington (drawn by G. Dragic)
3:54.0,,,15-15,,J. Bayless enters the game for R. Covington
3:44.0,W. Ellington misses 3-pt shot from 26 ft,,15-15,,
3:42.0,,,15-15,,Defensive rebound by Team
3:32.0,,,15-15,,Turnover by D. Saric (bad pass)
3:16.0,Turnover by G. Dragic (lost ball; steal by A. Johnson),,15-15,,
3:07.0,,,15-18,3,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell)
2:51.0,W. Ellington misses 3-pt shot from 25 ft,,15-18,,
2:48.0,,,15-18,,Defensive rebound by T. McConnell
2:43.0,,,15-18,,T. McConnell misses 2-pt shot from 3 ft
2:41.0,Defensive rebound by J. Winslow,,15-18,,
2:40.0,,,15-18,,Violation by B. Simmons (kicked ball)
2:40.0,,,15-18,,J. Redick enters the game for A. Johnson
2:40.0,,,15-18,,J. Embiid enters the game for D. Saric
2:40.0,,,15-18,,T. Booker enters the game for B. Simmons
2:40.0,J. Richardson enters the game for G. Dragic,,15-18,,
2:40.0,K. Olynyk enters the game for J. Johnson,,15-18,,
2:31.0,J. Winslow misses 2-pt shot from 7 ft (block by J. Embiid),,15-18,,
2:28.0,,,15-18,,Defensive rebound by J. Embiid
2:19.0,Personal foul by B. Adebayo (drawn by J. Embiid),,15-18,,
2:08.0,,,15-18,,Shooting foul by W. Ellington (drawn by J. Redick)
2:08.0,,,15-19,1,J. Redick makes free throw 1 of 2
2:08.0,,,15-20,1,J. Redick makes free throw 2 of 2
1:55.0,J. Richardson makes 3-pt shot from 26 ft (assist by K. Olynyk),3,18-20,,
1:38.0,,,18-22,2,J. Redick makes 2-pt shot from 21 ft (assist by T. Booker)
1:25.0,J. Winslow misses 2-pt shot from 1 ft,,18-22,,
1:19.0,Offensive rebound by B. Adebayo,,18-22,,
1:19.0,B. Adebayo makes 2-pt shot at rim,2,20-22,,
1:17.0,,,20-22,,J. Redick misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by B. Adebayo,,20-22,,
1:07.0,B. Adebayo misses 2-pt shot from 18 ft,,20-22,,
1:02.0,,,20-22,,Defensive rebound by J. Embiid
0:48.0,,,20-24,2,J. Embiid makes 2-pt shot at rim
0:31.0,J. Richardson misses 2-pt shot from 11 ft,,20-24,,
0:29.0,Offensive rebound by J. Winslow,,20-24,,
0:13.0,W. Ellington makes 3-pt shot from 24 ft (assist by B. Adebayo),3,23-24,,
0:03.0,,,23-24,,J. Embiid misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by J. Richardson,,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by K. Olynyk (bad pass; steal by T. Booker),,23-24,,
11:41.0,,,23-24,,R. Covington misses 3-pt shot from 26 ft
11:37.0,Defensive rebound by J. Winslow,,23-24,,
11:22.0,W. Ellington misses 3-pt shot from 26 ft,,23-24,,
11:19.0,,,23-24,,Defensive rebound by J. Embiid
11:07.0,,,23-24,,J. Embiid misses 2-pt shot from 10 ft
11:06.0,Defensive rebound by K. Olynyk,,23-24,,
10:51.0,W. Ellington misses 2-pt shot from 21 ft,,23-24,,
10:47.0,Offensive rebound by J. Richardson,,23-24,,
10:39.0,,,23-24,,Personal foul by T. Booker (drawn by B. Adebayo)
10:33.0,J. Richardson misses 3-pt shot from 25 ft,,23-24,,
10:29.0,,,23-24,,Defensive rebound by R. Covington
10:13.0,,,23-24,,T. Booker misses 2-pt shot from 6 ft (block by K. Olynyk)
10:13.0,,,23-24,,Offensive rebound by Team
10:13.0,,,23-24,,D. Saric enters the game for T. Booker
10:10.0,,,23-24,,D. Saric misses 3-pt shot from 27 ft
10:05.0,Defensive rebound by B. Adebayo,,23-24,,
9:50.0,K. Olynyk makes 2-pt shot from 2 ft,2,25-24,,
9:32.0,,,25-26,2,J. Embiid makes 2-pt shot from 10 ft
9:14.0,W. Ellington makes 2-pt shot at rim (assist by B. Adebayo),2,27-26,,
9:14.0,,,27-26,,Philadelphia full timeout
9:14.0,T. Johnson enters the game for J. Richardson,,27-26,,
9:01.0,,,27-26,,Turnover by J. Embiid (traveling)
8:44.0,W. Ellington misses 2-pt shot from 7 ft,,27-26,,
8:39.0,Offensive rebound by B. Adebayo,,27-26,,
8:39.0,B. Adebayo misses 2-pt shot at rim,,27-26,,
8:39.0,Offensive rebound by B. Adebayo,,27-26,,
8:37.0,K. Olynyk misses 3-pt shot from 26 ft,,27-26,,
8:37.0,,,27-26,,Defensive rebound by Team
8:37.0,,,27-26,,B. Simmons enters the game for J. Embiid
8:37.0,,,27-26,,A. Johnson enters the game for T. McConnell
8:22.0,,,27-26,,D. Saric misses 3-pt shot from 24 ft
8:19.0,,,27-26,,Offensive rebound by B. Simmons
8:16.0,,,27-28,2,A. Johnson makes 2-pt shot from 2 ft (assist by J. Anderson)
8:05.0,,,27-28,,Personal foul by J. Anderson (drawn by T. Johnson)
8:05.0,H. Whiteside enters the game for B. Adebayo,,27-28,,
8:02.0,Turnover by K. Olynyk (lost ball; steal by D. Saric),,27-28,,
7:57.0,,,27-30,2,B. Simmons makes 2-pt shot at rim (assist by D. Saric)
7:40.0,Turnover by T. Johnson (bad pass; steal by J. Anderson),,27-30,,
7:35.0,,,27-30,,D. Saric misses 2-pt shot from 2 ft
7:33.0,Defensive rebound by J. Winslow,,27-30,,
7:29.0,W. Ellington misses 3-pt shot from 26 ft,,27-30,,
7:23.0,Offensive rebound by J. Winslow,,27-30,,
7:23.0,J. Winslow makes 2-pt shot at rim,2,29-30,,
7:12.0,,,29-32,2,D. Saric makes 2-pt shot from 1 ft (assist by R. Covington)
7:05.0,Miami full timeout,,29-32,,
7:05.0,,,29-32,,J. Redick enters the game for J. Anderson
7:05.0,G. Dragic enters the game for W. Ellington,,29-32,,
6:50.0,J. Winslow misses 2-pt shot from 14 ft,,29-32,,
6:47.0,,,29-32,,Defensive rebound by D. Saric
6:37.0,,,29-32,,J. Redick misses 2-pt shot from 2 ft
6:32.0,,,29-32,,Offensive rebound by A. Johnson
6:32.0,,,29-34,2,A. Johnson makes 2-pt shot at rim
6:10.0,K. Olynyk misses 3-pt shot from 26 ft,,29-34,,
6:08.0,,,29-34,,Defensive rebound by R. Covington
6:04.0,,,29-37,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
5:43.0,G. Dragic misses 2-pt shot from 10 ft,,29-37,,
5:41.0,,,29-37,,Defensive rebound by B. Simmons
5:40.0,,,29-37,,Shooting foul by J. Winslow (drawn by B. Simmons)
5:40.0,,,29-38,1,B. Simmons makes free throw 1 of 2
5:40.0,J. Johnson enters the game for K. Olynyk,,29-38,,
5:40.0,J. Richardson enters the game for J. Winslow,,29-38,,
5:40.0,,,29-39,1,B. Simmons makes free throw 2 of 2
5:22.0,T. Johnson misses 3-pt shot from 23 ft,,29-39,,
5:16.0,Jump ball: B. Simmons vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: B. Simmons vs. H. Whiteside (G. Dragic gains possession)
5:16.0,Defensive rebound by Team,,29-39,,
5:07.0,,,29-39,,Personal foul by A. Johnson (drawn by H. Whiteside)
4:57.0,J. Richardson makes 2-pt shot from 6 ft,2,31-39,,
4:35.0,,,31-39,,J. Redick misses 2-pt shot from 18 ft
4:33.0,,,31-39,,Offensive rebound by D. Saric
4:31.0,,,31-39,,J. Redick misses 3-pt shot from 22 ft
4:31.0,Defensive rebound by H. Whiteside,,31-39,,
4:20.0,J. Richardson makes 2-pt shot from 7 ft,2,33-39,,
4:03.0,,,33-41,2,R. Covington makes 2-pt shot at rim (assist by A. Johnson)
3:41.0,H. Whiteside misses 2-pt shot from 12 ft,,33-41,,
3:39.0,,,33-41,,Defensive rebound by B. Simmons
3:29.0,,,33-41,,Turnover by D. Saric (lost ball; steal by G. Dragic)
3:22.0,J. Richardson makes 3-pt shot from 23 ft (assist by T. Johnson),3,36-41,,
3:09.0,Personal foul by G. Dragic (drawn by R. Covington),,36-41,,
3:09.0,,,36-41,,T. Booker enters the game for A. Johnson
3:09.0,,,36-41,,J. Embiid enters the game for D. Saric
3:09.0,,,36-41,,J. Bayless enters the game for R. Covington
3:07.0,,,36-43,2,J. Bayless makes 2-pt shot from 1 ft (assist by J. Redick)
2:46.0,J. Richardson misses 3-pt shot from 25 ft (block by B. Simmons),,36-43,,
2:46.0,Offensive rebound by Team,,36-43,,
2:44.0,Offensive foul by G. Dragic (drawn by B. Simmons),,36-43,,
2:44.0,Turnover by G. Dragic (offensive foul),,36-43,,
2:34.0,,,36-43,,J. Redick misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by H. Whiteside,,36-43,,
2:21.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,39-43,,
2:02.0,,,39-45,2,J. Redick makes 2-pt shot from 20 ft (assist by J. Embiid)
1:46.0,T. Johnson misses 3-pt shot from 26 ft,,39-45,,
1:43.0,,,39-45,,Defensive rebound by J. Embiid
1:34.0,,,39-47,2,B. Simmons makes 2-pt shot from 3 ft
1:21.0,G. Dragic misses 2-pt shot from 19 ft,,39-47,,
1:19.0,Offensive rebound by H. Whiteside,,39-47,,
1:19.0,H. Whiteside misses 2-pt shot at rim,,39-47,,
1:19.0,Offensive rebound by Team,,39-47,,
1:19.0,B. Adebayo enters the game for G. Dragic,,39-47,,
1:19.0,W. Ellington enters the game for H. Whiteside,,39-47,,
1:12.0,Turnover by J. Johnson (out of bounds lost ball),,39-47,,
1:01.0,,,39-49,2,J. Redick makes 2-pt shot from 20 ft (assist by J. Embiid)
0:40.0,Shooting foul by B. Simmons (drawn by B. Adebayo),,39-49,,
0:40.0,B. Adebayo makes free throw 1 of 2,1,40-49,,
0:40.0,B. Adebayo makes free throw 2 of 2,1,41-49,,
0:33.0,,,41-49,,J. Embiid misses 3-pt shot from 27 ft
0:31.0,Defensive rebound by T. Johnson,,41-49,,
0:10.0,J. Johnson misses 3-pt shot from 28 ft,,41-49,,
0:07.0,,,41-49,,Defensive rebound by T. Booker
0:01.0,,,41-49,,J. Embiid misses 2-pt shot from 18 ft
0:00.0,,,41-49,,Offensive rebound by T. Booker
0:00.0,,,41-51,2,T. Booker makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,43-51,,
11:24.0,,,43-53,2,J. Embiid makes 2-pt shot at rim (assist by J. Redick)
11:05.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,46-53,,
10:53.0,,,46-53,,J. Redick misses 2-pt shot from 12 ft
10:51.0,Defensive rebound by J. Johnson,,46-53,,
10:45.0,G. Dragic misses 3-pt shot from 24 ft,,46-53,,
10:40.0,Offensive rebound by T. Johnson,,46-53,,
10:36.0,J. Johnson misses 2-pt shot from 15 ft,,46-53,,
10:34.0,Offensive rebound by Team,,46-53,,
10:32.0,H. Whiteside misses 2-pt shot from 19 ft,,46-53,,
10:29.0,,,46-53,,Defensive rebound by D. Saric
10:22.0,,,46-53,,B. Simmons misses 2-pt shot from 2 ft (block by H. Whiteside)
10:22.0,,,46-53,,Offensive rebound by Team
10:16.0,,,46-53,,Shooting foul by T. Johnson (drawn by B. Simmons)
10:16.0,,,46-54,1,B. Simmons makes free throw 1 of 2
10:16.0,,,46-55,1,B. Simmons makes free throw 2 of 2
10:04.0,Turnover by J. Johnson (lost ball; steal by B. Simmons),,46-55,,
9:54.0,,,46-57,2,R. Covington makes 2-pt shot from 1 ft (assist by D. Saric)
9:37.0,Jump ball: R. Covington vs. G. Dragic (J. Johnson gains possession),,,,Jump ball: R. Covington vs. G. Dragic (J. Johnson gains possession)
9:34.0,T. Johnson misses 3-pt shot from 28 ft,,46-57,,
9:32.0,Offensive rebound by H. Whiteside,,46-57,,
9:32.0,,,46-57,,Personal foul by R. Covington (drawn by H. Whiteside)
9:22.0,H. Whiteside misses 2-pt shot from 1 ft,,46-57,,
9:19.0,,,46-57,,Defensive rebound by B. Simmons
9:16.0,,,46-60,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
9:14.0,Miami full timeout,,46-60,,
8:56.0,J. Richardson misses 2-pt shot from 3 ft,,46-60,,
8:55.0,,,46-60,,Defensive rebound by Team
8:43.0,,,46-60,,J. Embiid misses 2-pt shot from 15 ft
8:39.0,,,46-60,,Offensive rebound by D. Saric
8:38.0,,,46-63,3,R. Covington makes 3-pt shot from 24 ft (assist by D. Saric)
8:25.0,G. Dragic misses 3-pt shot from 25 ft,,46-63,,
8:22.0,,,46-63,,Defensive rebound by D. Saric
8:11.0,,,46-65,2,B. Simmons makes 2-pt shot from 2 ft
7:48.0,J. Richardson misses 2-pt shot from 5 ft (block by J. Embiid),,46-65,,
7:45.0,,,46-65,,Defensive rebound by D. Saric
7:37.0,,,46-65,,J. Redick misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by H. Whiteside,,46-65,,
7:29.0,,,46-65,,Personal foul by D. Saric (drawn by H. Whiteside)
7:29.0,,,46-65,,T. McConnell enters the game for J. Redick
7:29.0,W. Ellington enters the game for T. Johnson,,46-65,,
7:13.0,G. Dragic misses 3-pt shot from 25 ft,,46-65,,
7:10.0,,,46-65,,Defensive rebound by T. McConnell
7:07.0,,,46-65,,Turnover by J. Embiid (out of bounds lost ball)
6:50.0,W. Ellington misses 3-pt shot from 25 ft,,46-65,,
6:47.0,,,46-65,,Defensive rebound by D. Saric
6:33.0,,,46-67,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
6:12.0,J. Johnson misses 3-pt shot from 25 ft,,46-67,,
6:10.0,,,46-67,,Defensive rebound by Team
6:10.0,,,46-67,,Philadelphia full timeout
6:10.0,,,46-67,,A. Johnson enters the game for J. Embiid
6:10.0,B. Adebayo enters the game for H. Whiteside,,46-67,,
5:57.0,,,46-69,2,B. Simmons makes 2-pt shot from 4 ft (assist by A. Johnson)
5:32.0,W. Ellington misses 3-pt shot from 25 ft,,46-69,,
5:30.0,,,46-69,,Defensive rebound by B. Simmons
5:26.0,,,46-72,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
5:09.0,Turnover by W. Ellington (bad pass; steal by T. McConnell),,46-72,,
5:05.0,,,46-72,,T. McConnell misses 2-pt shot from 2 ft (block by J. Richardson)
5:02.0,Defensive rebound by J. Richardson,,46-72,,
5:00.0,G. Dragic makes 2-pt shot at rim (assist by J. Richardson),2,48-72,,
4:39.0,,,48-72,,D. Saric misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by G. Dragic,,48-72,,
4:29.0,Shooting foul by A. Johnson (drawn by B. Adebayo),,48-72,,
4:29.0,B. Adebayo misses free throw 1 of 2,,48-72,,
4:29.0,Offensive rebound by Team,,48-72,,
4:29.0,K. Olynyk enters the game for G. Dragic,,48-72,,
4:29.0,J. Winslow enters the game for J. Johnson,,48-72,,
4:29.0,B. Adebayo misses free throw 2 of 2,,48-72,,
4:26.0,Offensive rebound by K. Olynyk,,48-72,,
4:25.0,K. Olynyk makes 2-pt shot at rim,2,50-72,,
4:08.0,,,50-72,,R. Covington misses 3-pt shot from 25 ft
4:05.0,,,50-72,,Offensive rebound by D. Saric
4:05.0,Personal foul by B. Adebayo (drawn by D. Saric),,50-72,,
4:05.0,,,50-72,,J. Anderson enters the game for R. Covington
3:41.0,,,50-74,2,J. Anderson makes 2-pt shot at rim (assist by B. Simmons)
3:30.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Richardson),3,53-74,,
3:07.0,,,53-74,,D. Saric misses 3-pt shot from 23 ft
3:03.0,Defensive rebound by J. Winslow,,53-74,,
3:00.0,Shooting foul by A. Johnson (drawn by B. Adebayo),,53-74,,
3:00.0,B. Adebayo misses free throw 1 of 2,,53-74,,
3:00.0,Offensive rebound by Team,,53-74,,
3:00.0,,,53-74,,J. Embiid enters the game for A. Johnson
3:00.0,,,53-74,,T. Booker enters the game for D. Saric
3:00.0,,,53-74,,J. Redick enters the game for B. Simmons
3:00.0,B. Adebayo makes free throw 2 of 2,1,54-74,,
2:46.0,,,54-77,3,J. Anderson makes 3-pt shot from 24 ft (assist by T. McConnell)
2:30.0,J. Richardson makes 2-pt shot from 13 ft,2,56-77,,
2:15.0,,,56-80,3,J. Anderson makes 3-pt shot from 25 ft (assist by T. Booker)
2:02.0,W. Ellington misses 3-pt shot from 25 ft,,56-80,,
2:00.0,,,56-80,,Defensive rebound by T. Booker
1:45.0,,,56-82,2,J. Redick makes 2-pt shot from 2 ft (assist by T. McConnell)
1:24.0,Turnover by K. Olynyk (bad pass; steal by T. Booker),,56-82,,
1:22.0,,,56-82,,Shooting foul by J. Richardson (drawn by J. Anderson)
1:22.0,,,56-83,1,J. Anderson makes free throw 1 of 2
1:22.0,T. Johnson enters the game for J. Richardson,,56-83,,
1:22.0,,,56-83,,J. Anderson misses free throw 2 of 2
1:18.0,Defensive rebound by B. Adebayo,,56-83,,
0:59.0,Shooting foul by J. Embiid (drawn by J. Winslow),,56-83,,
0:59.0,J. Winslow makes free throw 1 of 2,1,57-83,,
0:59.0,J. Winslow misses free throw 2 of 2,,57-83,,
0:56.0,,,57-83,,Defensive rebound by J. Anderson
0:45.0,,,57-83,,J. Redick misses 2-pt shot from 18 ft
0:45.0,Defensive rebound by Team,,57-83,,
0:43.0,Technical foul by K. Olynyk,,57-83,,
0:43.0,,,57-84,1,J. Redick makes technical free throw
0:43.0,Jump ball: T. Booker vs. J. Winslow (K. Olynyk gains possession),,,,Jump ball: T. Booker vs. J. Winslow (K. Olynyk gains possession)
0:30.0,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Adebayo),3,60-84,,
0:10.0,,,60-86,2,J. Embiid makes 2-pt shot from 1 ft
0:00.0,J. Winslow misses 3-pt shot from 26 ft,,60-86,,
0:00.0,Offensive rebound by Team,,60-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,60-88,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
11:26.0,B. Adebayo makes 2-pt shot from 10 ft (assist by T. Johnson),2,62-88,,
11:14.0,Personal foul by B. Adebayo (drawn by J. Embiid),,62-88,,
11:04.0,,,62-90,2,T. McConnell makes 2-pt shot from 11 ft
10:51.0,,,62-90,,Personal foul by J. Embiid (drawn by B. Adebayo)
10:51.0,,,62-90,,A. Johnson enters the game for J. Embiid
10:47.0,J. Winslow makes 2-pt shot from 1 ft,2,64-90,,
10:21.0,,,64-90,,T. McConnell misses 2-pt shot from 14 ft
10:19.0,Defensive rebound by J. Winslow,,64-90,,
10:15.0,Shooting foul by T. Booker (drawn by K. Olynyk),,64-90,,
10:15.0,K. Olynyk makes free throw 1 of 2,1,65-90,,
10:15.0,K. Olynyk misses free throw 2 of 2,,65-90,,
10:13.0,,,65-90,,Defensive rebound by T. Booker
9:53.0,,,65-90,,T. Booker misses 2-pt shot from 7 ft
9:50.0,Defensive rebound by K. Olynyk,,65-90,,
9:40.0,J. Winslow misses 2-pt shot from 3 ft,,65-90,,
9:38.0,Offensive rebound by J. Winslow,,65-90,,
9:37.0,J. Winslow misses 2-pt shot from 2 ft,,65-90,,
9:37.0,Offensive rebound by K. Olynyk,,65-90,,
9:35.0,K. Olynyk makes 2-pt shot at rim,2,67-90,,
9:25.0,,,67-90,,Philadelphia full timeout
9:11.0,,,67-90,,R. Covington misses 2-pt shot from 14 ft
9:08.0,Defensive rebound by J. Winslow,,67-90,,
8:53.0,,,67-90,,Personal foul by T. McConnell (drawn by K. Olynyk)
8:42.0,B. Adebayo makes 2-pt shot from 16 ft,2,69-90,,
8:16.0,,,69-90,,T. McConnell misses 2-pt shot from 14 ft
8:14.0,Defensive rebound by K. Olynyk,,69-90,,
8:11.0,Shooting foul by R. Covington (drawn by J. Winslow),,69-90,,
8:11.0,J. Winslow makes free throw 1 of 2,1,70-90,,
8:11.0,,,70-90,,D. Saric enters the game for T. McConnell
8:11.0,,,70-90,,B. Simmons enters the game for T. Booker
8:11.0,J. Winslow makes free throw 2 of 2,1,71-90,,
7:50.0,,,71-90,,A. Johnson misses 2-pt shot from 8 ft
7:47.0,Defensive rebound by B. Adebayo,,71-90,,
7:40.0,T. Johnson makes 3-pt shot from 24 ft,3,74-90,,
7:13.0,,,74-90,,B. Simmons misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by B. Adebayo,,74-90,,
6:53.0,J. Winslow misses 2-pt shot from 9 ft,,74-90,,
6:50.0,Offensive rebound by J. Winslow,,74-90,,
6:48.0,Shooting foul by A. Johnson (drawn by K. Olynyk),,74-90,,
6:48.0,K. Olynyk makes free throw 1 of 2,1,75-90,,
6:48.0,,,75-90,,J. Redick enters the game for J. Bayless
6:48.0,,,75-90,,J. Embiid enters the game for A. Johnson
6:48.0,K. Olynyk makes free throw 2 of 2,1,76-90,,
6:40.0,Violation by J. Winslow (kicked ball),,76-90,,
6:40.0,,,76-90,,J. Anderson enters the game for R. Covington
6:24.0,,,76-90,,D. Saric misses 3-pt shot from 27 ft
6:22.0,Defensive rebound by J. Winslow,,76-90,,
6:18.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Winslow),2,78-90,,
6:03.0,,,78-90,,Turnover by J. Embiid (traveling)
5:52.0,J. Winslow misses 2-pt shot from 5 ft (block by J. Embiid),,78-90,,
5:52.0,Offensive rebound by Team,,78-90,,
5:52.0,Miami full timeout,,78-90,,
5:47.0,,,78-90,,Personal foul by J. Redick (drawn by K. Olynyk)
5:47.0,K. Olynyk misses free throw 1 of 2,,78-90,,
5:47.0,Offensive rebound by Team,,78-90,,
5:47.0,K. Olynyk makes free throw 2 of 2,1,79-90,,
5:25.0,,,79-90,,Shooting foul by B. Adebayo (drawn by J. Embiid)
5:25.0,,,79-91,1,J. Embiid makes free throw 1 of 2
5:25.0,,,79-91,,J. Embiid misses free throw 2 of 2
5:22.0,Defensive rebound by B. Adebayo,,79-91,,
5:07.0,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Adebayo),3,82-91,,
4:47.0,,,82-93,2,J. Embiid makes 2-pt shot from 2 ft (assist by D. Saric)
4:37.0,,,82-93,,Personal foul by J. Embiid (drawn by B. Adebayo)
4:37.0,B. Adebayo misses free throw 1 of 2,,82-93,,
4:37.0,Offensive rebound by Team,,82-93,,
4:37.0,,,82-93,,R. Covington enters the game for J. Anderson
4:37.0,B. Adebayo misses free throw 2 of 2,,82-93,,
4:34.0,Offensive rebound by K. Olynyk,,82-93,,
4:25.0,W. Ellington misses 3-pt shot from 25 ft,,82-93,,
4:22.0,,,82-93,,Defensive rebound by J. Embiid
4:08.0,,,82-95,2,B. Simmons makes 2-pt shot from 4 ft (assist by J. Redick)
4:07.0,Miami full timeout,,82-95,,
