time,Toronto,pts.away,score,pts.home,Dallas
0:00.0,Offensive rebound by Team,,23-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by Team (shot clock),,23-31,,
11:26.0,,,23-31,,Turnover by J. Barea (traveling)
11:13.0,Offensive foul by D. Wright (drawn by J. Barea),,23-31,,
11:13.0,Turnover by D. Wright (offensive foul),,23-31,,
11:01.0,,,23-31,,Turnover by D. Harris (bad pass; steal by D. Wright)
10:57.0,D. Wright makes 2-pt shot from 3 ft,2,25-31,,
10:46.0,,,25-31,,J. Barea misses 2-pt shot from 15 ft
10:44.0,Defensive rebound by N. Powell,,25-31,,
10:40.0,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Siakam),2,27-31,,
10:40.0,Shooting foul by D. Nowitzki (drawn by J. Poeltl),,27-31,,
10:40.0,,,27-31,,Dallas full timeout
10:40.0,J. Poeltl makes free throw 1 of 1,1,28-31,,
10:23.0,Personal foul by N. Powell (drawn by D. Harris),,28-31,,
10:20.0,Personal foul by N. Powell (drawn by D. Harris),,28-31,,
10:05.0,,,28-31,,D. Powell misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by D. Wright,,28-31,,
9:56.0,D. Wright makes 3-pt shot from 26 ft (assist by F. VanVleet),3,31-31,,
9:37.0,,,31-33,2,D. Nowitzki makes 2-pt shot from 13 ft
9:18.0,F. VanVleet misses 2-pt shot from 13 ft,,31-33,,
9:15.0,,,31-33,,Defensive rebound by D. Powell
9:07.0,,,31-35,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
8:44.0,N. Powell misses 2-pt shot from 2 ft (block by D. Nowitzki),,31-35,,
8:42.0,,,31-35,,Defensive rebound by D. Nowitzki
8:30.0,,,31-37,2,J. Barea makes 2-pt shot from 14 ft
8:24.0,Toronto full timeout,,31-37,,
8:18.0,F. VanVleet makes 3-pt shot from 24 ft,3,34-37,,
8:01.0,,,34-37,,J. Barea misses 2-pt shot from 21 ft
7:58.0,Defensive rebound by P. Siakam,,34-37,,
7:57.0,Offensive charge foul by N. Powell (drawn by D. Harris),,34-37,,
7:57.0,Turnover by N. Powell (offensive foul),,34-37,,
7:57.0,O. Anunoby enters the game for N. Powell,,34-37,,
7:47.0,,,34-39,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
7:31.0,Shooting foul by D. Nowitzki (drawn by P. Siakam),,34-39,,
7:31.0,P. Siakam makes free throw 1 of 2,1,35-39,,
7:31.0,,,35-39,,D. Smith enters the game for D. Harris
7:31.0,J. Valanciunas enters the game for J. Poeltl,,35-39,,
7:31.0,P. Siakam makes free throw 2 of 2,1,36-39,,
7:21.0,,,36-39,,D. Powell misses 2-pt shot from 10 ft (block by D. Wright)
7:17.0,Defensive rebound by F. VanVleet,,36-39,,
7:06.0,P. Siakam misses 2-pt shot from 9 ft,,36-39,,
7:04.0,,,36-39,,Defensive rebound by D. Powell
6:50.0,,,36-39,,D. Nowitzki misses 2-pt shot from 11 ft (block by D. Wright)
6:50.0,,,36-39,,Offensive rebound by D. Nowitzki
6:47.0,,,36-39,,D. Powell misses 2-pt shot from 1 ft
6:47.0,,,36-39,,Offensive rebound by D. Nowitzki
6:47.0,,,36-41,2,D. Nowitzki makes 2-pt shot from 1 ft
6:47.0,,,36-41,,Shooting foul by D. Wright (drawn by D. Nowitzki)
6:47.0,S. Ibaka enters the game for P. Siakam,,36-41,,
6:47.0,K. Lowry enters the game for D. Wright,,36-41,,
6:47.0,,,36-42,1,D. Nowitzki makes free throw 1 of 1
6:29.0,S. Ibaka misses 2-pt shot from 6 ft,,36-42,,
6:27.0,Offensive rebound by J. Valanciunas,,36-42,,
6:25.0,J. Valanciunas misses 2-pt shot from 3 ft (block by D. Nowitzki),,36-42,,
6:25.0,Offensive rebound by F. VanVleet,,36-42,,
6:24.0,Turnover by S. Ibaka (traveling),,36-42,,
6:24.0,,,36-42,,S. Mejri enters the game for D. Powell
6:24.0,,,36-42,,H. Barnes enters the game for D. Nowitzki
6:11.0,,,36-45,3,J. Barea makes 3-pt shot from 25 ft (assist by S. Mejri)
5:54.0,K. Lowry misses 3-pt shot from 25 ft,,36-45,,
5:51.0,Offensive rebound by J. Valanciunas,,36-45,,
5:50.0,J. Valanciunas makes 2-pt shot from 1 ft,2,38-45,,
5:42.0,,,38-45,,D. Smith misses 3-pt shot from 24 ft
5:38.0,,,38-45,,Offensive rebound by S. Mejri
5:31.0,,,38-45,,J. Barea misses 2-pt shot from 1 ft (block by S. Ibaka)
5:29.0,Defensive rebound by F. VanVleet,,38-45,,
5:29.0,,,38-45,,Personal foul by D. Smith (drawn by F. VanVleet)
5:29.0,,,38-45,,W. Matthews enters the game for Y. Ferrell
5:29.0,D. DeRozan enters the game for F. VanVleet,,38-45,,
5:22.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,40-45,,
5:12.0,,,40-45,,J. Barea misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by K. Lowry,,40-45,,
5:02.0,Shooting foul by J. Barea (drawn by K. Lowry),,40-45,,
5:02.0,K. Lowry makes free throw 1 of 2,1,41-45,,
5:02.0,K. Lowry makes free throw 2 of 2,1,42-45,,
5:02.0,,,42-45,,Technical foul by J. Barea
5:02.0,D. DeRozan makes technical free throw,1,43-45,,
5:02.0,,,43-45,,D. Harris enters the game for J. Barea
4:46.0,,,43-45,,D. Smith misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by J. Valanciunas,,43-45,,
4:38.0,K. Lowry makes 3-pt shot from 24 ft,3,46-45,,
4:37.0,,,46-45,,Dallas full timeout
4:24.0,Personal foul by S. Ibaka (drawn by D. Harris),,46-45,,
4:18.0,,,46-45,,D. Smith misses 2-pt shot at rim
4:16.0,Defensive rebound by K. Lowry,,46-45,,
4:03.0,O. Anunoby misses 3-pt shot from 23 ft,,46-45,,
3:59.0,Offensive rebound by O. Anunoby,,46-45,,
3:58.0,S. Ibaka misses 3-pt shot from 24 ft,,46-45,,
3:57.0,,,46-45,,Defensive rebound by Team
3:57.0,Loose ball foul by K. Lowry (drawn by S. Mejri),,46-45,,
3:57.0,,,46-46,1,S. Mejri makes free throw 1 of 2
3:57.0,,,46-47,1,S. Mejri makes free throw 2 of 2
3:46.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,49-47,,
3:25.0,,,49-47,,Turnover by H. Barnes (traveling)
3:05.0,Shooting foul by H. Barnes (drawn by S. Ibaka),,49-47,,
3:05.0,S. Ibaka misses free throw 1 of 2,,49-47,,
3:05.0,Offensive rebound by Team,,49-47,,
3:05.0,,,49-47,,D. Nowitzki enters the game for S. Mejri
3:05.0,,,49-47,,M. Kleber enters the game for D. Harris
3:05.0,S. Ibaka makes free throw 2 of 2,1,50-47,,
2:42.0,,,50-49,2,W. Matthews makes 2-pt shot from 1 ft
2:31.0,D. DeRozan misses 2-pt shot from 16 ft,,50-49,,
2:29.0,,,50-49,,Defensive rebound by M. Kleber
2:23.0,,,50-49,,W. Matthews misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by J. Valanciunas,,50-49,,
2:16.0,O. Anunoby misses 3-pt shot from 25 ft,,50-49,,
2:12.0,,,50-49,,Defensive rebound by M. Kleber
2:10.0,Personal foul by S. Ibaka (drawn by D. Smith),,50-49,,
2:10.0,,,50-50,1,D. Smith makes free throw 2 of 2
2:10.0,,,50-50,,D. Smith misses free throw 1 of 2
2:10.0,,,50-50,,Offensive rebound by Team
2:10.0,D. Wright enters the game for O. Anunoby,,50-50,,
1:52.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry),2,52-50,,
1:39.0,,,52-50,,M. Kleber misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by D. DeRozan,,52-50,,
1:29.0,Shooting foul by D. Smith (drawn by D. DeRozan),,52-50,,
1:29.0,D. DeRozan misses free throw 1 of 2,,52-50,,
1:29.0,Offensive rebound by Team,,52-50,,
1:29.0,,,52-50,,Y. Ferrell enters the game for D. Smith
1:29.0,F. VanVleet enters the game for K. Lowry,,52-50,,
1:29.0,D. DeRozan makes free throw 2 of 2,1,53-50,,
1:25.0,,,53-50,,Turnover by D. Nowitzki (bad pass; steal by F. VanVleet)
1:16.0,D. DeRozan misses 2-pt shot from 5 ft,,53-50,,
1:15.0,Offensive rebound by S. Ibaka,,53-50,,
1:14.0,S. Ibaka misses 2-pt shot from 1 ft (block by M. Kleber),,53-50,,
1:14.0,,,53-50,,Defensive rebound by H. Barnes
0:55.0,,,53-50,,D. Nowitzki misses 2-pt shot from 12 ft
0:55.0,,,53-50,,Offensive rebound by M. Kleber
0:54.0,,,53-52,2,M. Kleber makes 2-pt shot at rim
0:54.0,,,53-52,,Shooting foul by J. Valanciunas (drawn by M. Kleber)
0:54.0,,,53-53,1,M. Kleber makes free throw 1 of 1
0:32.0,F. VanVleet misses 3-pt shot from 25 ft,,53-53,,
0:28.0,,,53-53,,Defensive rebound by H. Barnes
0:28.0,Personal foul by S. Ibaka (drawn by H. Barnes),,53-53,,
0:28.0,,,53-54,1,H. Barnes makes free throw 1 of 2
0:28.0,,,53-54,,S. Mejri enters the game for D. Nowitzki
0:28.0,C. Miles enters the game for S. Ibaka,,53-54,,
0:28.0,,,53-55,1,H. Barnes makes free throw 2 of 2
0:08.0,D. DeRozan misses 2-pt shot from 12 ft,,53-55,,
0:06.0,,,53-55,,Defensive rebound by Y. Ferrell
0:02.0,,,53-57,2,M. Kleber makes 2-pt shot from 2 ft (assist by Y. Ferrell)
0:00.0,F. VanVleet misses 3-pt shot from 56 ft,,53-57,,
0:00.0,Offensive rebound by Team,,53-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. DeRozan makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,55-57,,
11:31.0,,,55-57,,D. Nowitzki misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by J. Valanciunas,,55-57,,
11:20.0,D. DeRozan misses 3-pt shot from 26 ft,,55-57,,
11:16.0,,,55-57,,Defensive rebound by H. Barnes
11:09.0,,,55-57,,M. Kleber misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by J. Valanciunas,,55-57,,
10:55.0,S. Ibaka misses 3-pt shot from 25 ft,,55-57,,
10:52.0,,,55-57,,Defensive rebound by W. Matthews
10:46.0,,,55-57,,Shooting foul by J. Valanciunas (drawn by D. Smith)
10:46.0,,,55-58,1,D. Smith makes free throw 1 of 2
10:46.0,,,55-58,,D. Smith misses free throw 2 of 2
10:44.0,Defensive rebound by D. DeRozan,,55-58,,
10:31.0,Shooting foul by M. Kleber (drawn by J. Valanciunas),,55-58,,
10:31.0,J. Valanciunas makes free throw 1 of 2,1,56-58,,
10:31.0,J. Valanciunas makes free throw 2 of 2,1,57-58,,
10:14.0,,,57-58,,H. Barnes misses 2-pt shot from 16 ft
10:11.0,Defensive rebound by K. Lowry,,57-58,,
10:05.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,59-58,,
10:05.0,Shooting foul by M. Kleber (drawn by J. Valanciunas),,59-58,,
10:05.0,J. Valanciunas makes free throw 1 of 1,1,60-58,,
9:53.0,,,60-58,,Turnover by H. Barnes (lost ball; steal by O. Anunoby)
9:49.0,D. DeRozan misses 2-pt shot from 2 ft (block by M. Kleber),,60-58,,
9:47.0,,,60-58,,Defensive rebound by D. Smith
9:44.0,,,60-58,,W. Matthews misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by O. Anunoby,,60-58,,
9:29.0,S. Ibaka misses 2-pt shot from 14 ft,,60-58,,
9:27.0,,,60-58,,Defensive rebound by D. Nowitzki
9:27.0,Personal foul by J. Valanciunas (drawn by D. Nowitzki),,60-58,,
9:27.0,J. Poeltl enters the game for J. Valanciunas,,60-58,,
9:04.0,,,60-58,,W. Matthews misses 2-pt shot from 7 ft
9:02.0,Defensive rebound by O. Anunoby,,60-58,,
8:57.0,K. Lowry misses 3-pt shot from 26 ft,,60-58,,
8:55.0,,,60-58,,Defensive rebound by D. Nowitzki
8:50.0,,,60-60,2,D. Smith makes 2-pt shot at rim
8:35.0,K. Lowry makes 2-pt shot from 7 ft,2,62-60,,
8:17.0,,,62-62,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Smith)
8:04.0,,,62-62,,Personal foul by D. Smith (drawn by K. Lowry)
8:04.0,,,62-62,,Y. Ferrell enters the game for D. Smith
7:57.0,D. DeRozan misses 2-pt shot from 14 ft,,62-62,,
7:55.0,Offensive rebound by S. Ibaka,,62-62,,
7:54.0,S. Ibaka makes 2-pt shot from 13 ft,2,64-62,,
7:31.0,,,64-62,,Turnover by W. Matthews (bad pass; steal by D. DeRozan)
7:26.0,D. DeRozan misses 2-pt shot at rim,,64-62,,
7:24.0,,,64-62,,Defensive rebound by M. Kleber
7:20.0,,,64-62,,Y. Ferrell misses 2-pt shot from 23 ft
7:19.0,,,64-62,,Offensive rebound by H. Barnes
7:19.0,Personal take foul by D. DeRozan (drawn by H. Barnes),,64-62,,
7:19.0,,,64-62,,J. Barea enters the game for Y. Ferrell
7:07.0,,,64-62,,H. Barnes misses 2-pt shot from 14 ft
7:03.0,Defensive rebound by K. Lowry,,64-62,,
7:01.0,Shooting foul by D. Nowitzki (drawn by J. Poeltl),,64-62,,
7:01.0,J. Poeltl makes free throw 1 of 2,1,65-62,,
7:01.0,J. Poeltl makes free throw 2 of 2,1,66-62,,
6:52.0,,,66-64,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by H. Barnes)
6:39.0,K. Lowry misses 3-pt shot from 25 ft,,66-64,,
6:35.0,,,66-64,,Defensive rebound by M. Kleber
6:29.0,,,66-66,2,M. Kleber makes 2-pt shot at rim (assist by J. Barea)
6:17.0,Shooting foul by M. Kleber (drawn by K. Lowry),,66-66,,
6:17.0,,,66-66,,Dallas full timeout
6:17.0,,,66-66,,S. Mejri enters the game for D. Nowitzki
6:17.0,P. Siakam enters the game for J. Poeltl,,66-66,,
6:17.0,K. Lowry makes free throw 1 of 2,1,67-66,,
6:17.0,,,67-66,,D. Powell enters the game for S. Mejri
6:17.0,K. Lowry makes free throw 2 of 2,1,68-66,,
6:02.0,,,68-66,,H. Barnes misses 2-pt shot from 7 ft
5:59.0,,,68-66,,Offensive rebound by H. Barnes
5:58.0,,,68-66,,H. Barnes misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by S. Ibaka,,68-66,,
5:50.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,70-66,,
5:38.0,,,70-66,,Turnover by J. Barea (bad pass; steal by P. Siakam)
5:16.0,K. Lowry makes 3-pt shot from 26 ft,3,73-66,,
5:02.0,,,73-66,,J. Barea misses 3-pt shot from 24 ft
4:58.0,,,73-66,,Offensive rebound by M. Kleber
4:53.0,,,73-66,,J. Barea misses 3-pt shot from 24 ft
4:50.0,,,73-66,,Offensive rebound by W. Matthews
4:36.0,,,73-66,,D. Powell misses 2-pt shot from 8 ft (block by O. Anunoby)
4:33.0,Defensive rebound by K. Lowry,,73-66,,
4:22.0,Turnover by O. Anunoby (bad pass; steal by M. Kleber),,73-66,,
4:14.0,,,73-68,2,J. Barea makes 2-pt shot at rim (assist by W. Matthews)
4:04.0,K. Lowry misses 2-pt shot from 9 ft,,73-68,,
4:02.0,,,73-68,,Defensive rebound by H. Barnes
3:58.0,,,73-70,2,J. Barea makes 2-pt shot at rim
3:58.0,Shooting block foul by P. Siakam (drawn by J. Barea),,73-70,,
3:58.0,,,73-70,,J. Barea misses free throw 1 of 1
3:56.0,Defensive rebound by S. Ibaka,,73-70,,
3:56.0,Toronto full timeout,,73-70,,
3:56.0,C. Miles enters the game for O. Anunoby,,73-70,,
3:36.0,K. Lowry misses 2-pt shot from 8 ft,,73-70,,
3:34.0,,,73-70,,Defensive rebound by J. Barea
3:26.0,,,73-70,,Offensive charge foul by W. Matthews (drawn by K. Lowry)
3:26.0,,,73-70,,Turnover by W. Matthews (offensive foul)
3:26.0,D. Wright enters the game for K. Lowry,,73-70,,
3:14.0,S. Ibaka misses 3-pt shot from 25 ft,,73-70,,
3:11.0,,,73-70,,Defensive rebound by H. Barnes
3:04.0,,,73-72,2,J. Barea makes 2-pt shot from 15 ft
2:36.0,D. DeRozan misses 2-pt shot from 15 ft (block by W. Matthews),,73-72,,
2:36.0,Offensive rebound by Team,,73-72,,
2:36.0,Turnover by Team (shot clock),,73-72,,
2:36.0,J. Poeltl enters the game for S. Ibaka,,73-72,,
2:23.0,,,73-75,3,H. Barnes makes 3-pt shot from 24 ft (assist by M. Kleber)
2:08.0,D. DeRozan misses 2-pt shot from 11 ft,,73-75,,
2:08.0,Offensive rebound by J. Poeltl,,73-75,,
2:07.0,,,73-75,,Personal foul by J. Barea (drawn by J. Poeltl)
2:07.0,J. Poeltl misses free throw 1 of 2,,73-75,,
2:07.0,Offensive rebound by Team,,73-75,,
2:07.0,,,73-75,,D. Harris enters the game for M. Kleber
2:07.0,J. Poeltl misses free throw 2 of 2,,73-75,,
2:04.0,,,73-75,,Defensive rebound by D. Harris
1:56.0,,,73-77,2,W. Matthews makes 2-pt shot from 6 ft
1:56.0,,,73-77,,Shooting foul by D. Wright (drawn by W. Matthews)
1:56.0,,,73-78,1,W. Matthews makes free throw 1 of 1
1:36.0,D. DeRozan misses 2-pt shot from 16 ft,,73-78,,
1:33.0,,,73-78,,Defensive rebound by D. Harris
1:17.0,,,73-78,,J. Barea misses 2-pt shot from 8 ft
1:16.0,,,73-78,,Offensive rebound by D. Powell
1:16.0,Personal foul by C. Miles (drawn by D. Powell),,73-78,,
1:16.0,,,73-79,1,D. Powell makes free throw 1 of 2
1:16.0,,,73-79,,D. Nowitzki enters the game for H. Barnes
1:16.0,N. Powell enters the game for D. DeRozan,,73-79,,
1:16.0,,,73-80,1,D. Powell makes free throw 2 of 2
0:57.0,C. Miles misses 3-pt shot from 24 ft (block by D. Harris),,73-80,,
0:54.0,,,73-80,,Defensive rebound by W. Matthews
0:33.0,,,73-83,3,J. Barea makes 3-pt shot from 26 ft
0:16.0,D. Wright makes 2-pt shot from 2 ft,2,75-83,,
0:04.0,,,75-85,2,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea)
0:00.0,J. Poeltl makes 2-pt shot from 14 ft,2,77-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-85,,D. Nowitzki misses 2-pt shot from 20 ft
11:45.0,Defensive rebound by Team,,77-85,,
11:45.0,,,77-85,,Loose ball foul by D. Powell (drawn by D. Wright)
11:25.0,F. VanVleet makes 3-pt shot from 25 ft (assist by N. Powell),3,80-85,,
11:00.0,,,80-85,,D. Powell misses 2-pt shot at rim (block by J. Poeltl)
10:56.0,,,80-85,,Offensive rebound by D. Powell
10:55.0,,,80-87,2,D. Powell makes 2-pt shot from 1 ft
10:47.0,P. Siakam misses 3-pt shot from 23 ft,,80-87,,
10:43.0,,,80-87,,Defensive rebound by Y. Ferrell
10:37.0,,,80-89,2,D. Harris makes 2-pt shot from 1 ft (assist by Y. Ferrell)
10:16.0,N. Powell misses 3-pt shot from 25 ft,,80-89,,
10:14.0,Offensive rebound by J. Poeltl,,80-89,,
10:04.0,N. Powell makes 3-pt shot from 23 ft (assist by F. VanVleet),3,83-89,,
9:39.0,,,83-92,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
9:29.0,N. Powell misses 2-pt shot from 10 ft,,83-92,,
