time,Oklahoma City,pts.away,score,pts.home,Portland
0:19.0,Offensive foul by C. Anthony (drawn by E. Turner),,20-28,,
0:19.0,Turnover by C. Anthony (offensive foul),,20-28,,
0:19.0,,,20-28,,D. Lillard enters the game for C. Swanigan
0:19.0,A. Roberson enters the game for A. Abrines,,20-28,,
0:05.0,,,20-28,,Turnover by C. McCollum (bad pass; steal by P. Patterson)
0:00.0,R. Felton misses 3-pt shot from 27 ft,,20-28,,
0:00.0,Offensive rebound by Team,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,20-28,,Turnover by E. Davis (traveling)
11:27.0,,,20-28,,Personal foul by E. Turner (drawn by C. Anthony)
11:23.0,Offensive foul by C. Anthony (drawn by E. Davis),,20-28,,
11:23.0,Turnover by C. Anthony (offensive foul),,20-28,,
11:05.0,,,20-28,,E. Turner misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by P. Patterson,,20-28,,
10:55.0,R. Felton makes 2-pt shot at rim,2,22-28,,
10:41.0,,,22-28,,Offensive foul by E. Davis (drawn by A. Abrines)
10:41.0,,,22-28,,Turnover by E. Davis (offensive foul)
10:25.0,R. Felton makes 2-pt shot from 10 ft,2,24-28,,
10:05.0,,,24-28,,Turnover by C. McCollum (bad pass; steal by J. Grant)
10:01.0,J. Grant makes 2-pt shot at rim (assist by A. Abrines),2,26-28,,
9:35.0,,,26-30,2,C. Swanigan makes 2-pt shot from 2 ft
9:24.0,Shooting foul by E. Turner (drawn by C. Anthony),,26-30,,
9:24.0,C. Anthony makes free throw 1 of 2,1,27-30,,
9:24.0,C. Anthony makes free throw 2 of 2,1,28-30,,
9:11.0,,,28-32,2,C. Swanigan makes 2-pt shot from 9 ft (assist by C. McCollum)
8:49.0,J. Grant misses 3-pt shot from 23 ft,,28-32,,
8:47.0,,,28-32,,Defensive rebound by C. Swanigan
8:28.0,Personal foul by P. Patterson (drawn by E. Davis),,28-32,,
8:28.0,R. Westbrook enters the game for A. Abrines,,28-32,,
8:18.0,,,28-32,,E. Davis misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by J. Grant,,28-32,,
8:04.0,R. Felton misses 2-pt shot from 19 ft,,28-32,,
8:01.0,,,28-32,,Defensive rebound by C. Swanigan
7:49.0,,,28-32,,P. Connaughton misses 3-pt shot from 27 ft
7:47.0,,,28-32,,Offensive rebound by E. Davis
7:47.0,,,28-32,,Shooting foul by J. Grant (drawn by E. Davis)
7:47.0,,,28-32,,E. Davis misses free throw 1 of 2
7:47.0,,,28-32,,Offensive rebound by Team
7:47.0,P. George enters the game for J. Grant,,28-32,,
7:47.0,,,28-33,1,E. Davis makes free throw 2 of 2
7:38.0,R. Westbrook makes 3-pt shot from 24 ft,3,31-33,,
7:23.0,,,31-33,,C. Swanigan misses 3-pt shot from 24 ft
7:22.0,,,31-33,,Offensive rebound by E. Davis
7:20.0,,,31-35,2,E. Davis makes 2-pt shot at rim
7:11.0,P. Patterson misses 2-pt shot from 13 ft,,31-35,,
7:07.0,,,31-35,,Defensive rebound by C. McCollum
6:53.0,,,31-35,,C. McCollum misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by C. Anthony,,31-35,,
6:40.0,R. Westbrook makes 2-pt shot from 7 ft,2,33-35,,
6:38.0,,,33-35,,Portland full timeout
6:38.0,,,33-35,,J. Nurkic enters the game for C. McCollum
6:38.0,,,33-35,,D. Lillard enters the game for P. Connaughton
6:38.0,,,33-35,,N. Vonleh enters the game for E. Davis
6:38.0,,,33-35,,M. Harkless enters the game for C. Swanigan
6:38.0,S. Adams enters the game for R. Felton,,33-35,,
6:38.0,A. Roberson enters the game for C. Anthony,,33-35,,
6:13.0,,,33-35,,D. Lillard misses 2-pt shot from 2 ft (block by S. Adams)
6:10.0,Defensive rebound by S. Adams,,33-35,,
5:53.0,P. George misses 3-pt shot from 24 ft,,33-35,,
5:51.0,,,33-35,,Defensive rebound by J. Nurkic
5:42.0,,,33-35,,E. Turner misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by S. Adams,,33-35,,
5:30.0,R. Westbrook misses 2-pt shot from 1 ft (block by J. Nurkic),,33-35,,
5:28.0,,,33-35,,Defensive rebound by E. Turner
5:28.0,Personal foul by P. Patterson (drawn by E. Turner),,33-35,,
5:13.0,,,33-37,2,D. Lillard makes 2-pt shot from 9 ft
4:57.0,R. Westbrook makes 2-pt shot from 15 ft (assist by S. Adams),2,35-37,,
4:34.0,,,35-37,,Turnover by J. Nurkic (lost ball; steal by R. Westbrook)
4:28.0,Turnover by S. Adams (lost ball; steal by E. Turner),,35-37,,
4:22.0,,,35-37,,Turnover by E. Turner (lost ball; steal by A. Roberson)
4:18.0,A. Roberson makes 2-pt shot at rim,2,37-37,,
4:01.0,,,37-39,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
4:00.0,Oklahoma City full timeout,,37-39,,
4:00.0,C. Anthony enters the game for P. Patterson,,37-39,,
3:44.0,R. Westbrook makes 2-pt shot from 12 ft,2,39-39,,
3:29.0,,,39-39,,C. McCollum enters the game for E. Turner
3:25.0,,,39-39,,J. Nurkic misses 2-pt shot at rim
3:24.0,Defensive rebound by R. Westbrook,,39-39,,
3:24.0,,,39-39,,Personal foul by J. Nurkic (drawn by R. Westbrook)
3:16.0,Offensive foul by S. Adams (drawn by D. Lillard),,39-39,,
3:16.0,Turnover by S. Adams (offensive foul),,39-39,,
3:08.0,,,39-39,,Offensive foul by J. Nurkic (drawn by C. Anthony)
3:08.0,,,39-39,,Turnover by J. Nurkic (offensive foul)
2:56.0,P. George misses 2-pt shot from 1 ft (block by N. Vonleh),,39-39,,
2:53.0,,,39-39,,Defensive rebound by N. Vonleh
2:46.0,,,39-42,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
2:37.0,R. Westbrook misses 3-pt shot from 26 ft,,39-42,,
2:34.0,,,39-42,,Defensive rebound by J. Nurkic
2:19.0,,,39-44,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
1:57.0,R. Westbrook misses 3-pt shot from 29 ft,,39-44,,
1:55.0,,,39-44,,Defensive rebound by M. Harkless
1:54.0,,,39-44,,Turnover by M. Harkless (bad pass; steal by R. Westbrook)
1:50.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,41-44,,
1:32.0,,,41-46,2,D. Lillard makes 2-pt shot from 1 ft
1:22.0,P. George makes 2-pt shot from 14 ft,2,43-46,,
1:08.0,,,43-46,,Shooting foul by C. Anthony (drawn by J. Nurkic)
1:08.0,,,43-46,,J. Nurkic misses free throw 1 of 2
1:08.0,,,43-46,,Offensive rebound by Team
1:08.0,,,43-47,1,J. Nurkic makes free throw 2 of 2
0:56.0,J. Grant enters the game for C. Anthony,,43-47,,
0:51.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,46-47,,
0:30.0,,,46-49,2,D. Lillard makes 2-pt shot at rim
0:26.0,P. George misses 3-pt shot from 24 ft,,46-49,,
0:23.0,,,46-49,,Defensive rebound by N. Vonleh
0:08.0,Personal foul by P. George (drawn by D. Lillard),,46-49,,
0:08.0,,,46-50,1,D. Lillard makes free throw 1 of 1
0:08.0,,,46-50,,E. Davis enters the game for J. Nurkic
0:08.0,C. Anthony enters the game for A. Roberson,,46-50,,
0:08.0,A. Abrines enters the game for J. Grant,,46-50,,
0:08.0,,,46-50,,Violation by N. Vonleh (lane)
0:08.0,,,46-50,,Turnover by N. Vonleh (turnover)
0:03.0,A. Abrines misses 3-pt shot from 26 ft,,46-50,,
0:03.0,,,46-50,,Defensive rebound by N. Vonleh
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-50,,Turnover by J. Nurkic (bad pass)
11:29.0,P. George makes 2-pt shot from 14 ft,2,48-50,,
11:17.0,,,48-50,,C. McCollum misses 2-pt shot from 8 ft
11:14.0,Defensive rebound by C. Anthony,,48-50,,
11:09.0,R. Westbrook misses 2-pt shot from 11 ft,,48-50,,
11:05.0,,,48-50,,Defensive rebound by C. McCollum
10:50.0,,,48-52,2,J. Nurkic makes 2-pt shot from 18 ft (assist by M. Harkless)
10:32.0,P. George makes 2-pt shot at rim,2,50-52,,
10:21.0,,,50-52,,Offensive foul by J. Nurkic (drawn by A. Roberson)
10:21.0,,,50-52,,Turnover by J. Nurkic (offensive foul)
10:09.0,P. George misses 2-pt shot from 14 ft,,50-52,,
10:07.0,,,50-52,,Defensive rebound by D. Lillard
10:00.0,,,50-54,2,C. McCollum makes 2-pt shot from 1 ft
9:51.0,Turnover by P. George (out of bounds lost ball),,50-54,,
9:27.0,,,50-54,,N. Vonleh misses 2-pt shot from 15 ft
9:23.0,Defensive rebound by A. Roberson,,50-54,,
9:14.0,C. Anthony misses 3-pt shot from 24 ft,,50-54,,
9:12.0,,,50-54,,Defensive rebound by M. Harkless
9:04.0,,,50-54,,Shooting foul by R. Westbrook (drawn by D. Lillard)
9:04.0,,,50-55,1,D. Lillard makes free throw 1 of 3
9:04.0,,,50-56,1,D. Lillard makes free throw 2 of 3
9:04.0,,,50-57,1,D. Lillard makes free throw 3 of 3
8:50.0,R. Westbrook misses 3-pt shot from 25 ft,,50-57,,
8:50.0,,,50-57,,Defensive rebound by Team
8:50.0,Loose ball foul by S. Adams (drawn by J. Nurkic),,50-57,,
8:50.0,J. Grant enters the game for S. Adams,,50-57,,
8:31.0,,,50-57,,M. Harkless misses 3-pt shot from 25 ft
8:29.0,,,50-57,,Offensive rebound by N. Vonleh
8:29.0,,,50-57,,Shooting foul by J. Grant (drawn by N. Vonleh)
8:29.0,,,50-58,1,N. Vonleh makes free throw 1 of 2
8:29.0,,,50-58,,N. Vonleh misses free throw 2 of 2
8:27.0,,,50-58,,Offensive rebound by J. Nurkic
8:23.0,,,50-58,,D. Lillard misses 3-pt shot from 29 ft
8:21.0,Defensive rebound by C. Anthony,,50-58,,
8:13.0,P. George makes 3-pt shot from 24 ft (assist by J. Grant),3,53-58,,
7:58.0,P. Patterson enters the game for J. Grant,,53-58,,
7:56.0,,,53-58,,N. Vonleh misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by P. George,,53-58,,
7:44.0,P. Patterson misses 3-pt shot from 22 ft,,53-58,,
7:42.0,,,53-58,,Defensive rebound by N. Vonleh
7:34.0,,,53-60,2,D. Lillard makes 2-pt shot from 1 ft
7:19.0,Shooting foul by N. Vonleh (drawn by C. Anthony),,53-60,,
7:19.0,C. Anthony makes free throw 1 of 2,1,54-60,,
7:19.0,C. Anthony misses free throw 2 of 2,,54-60,,
7:17.0,,,54-60,,Defensive rebound by N. Vonleh
7:10.0,,,54-62,2,D. Lillard makes 2-pt shot at rim
6:57.0,P. George misses 3-pt shot from 22 ft,,54-62,,
6:56.0,,,54-62,,Defensive rebound by Team
6:56.0,,,54-62,,Portland full timeout
6:56.0,S. Adams enters the game for P. Patterson,,54-62,,
6:45.0,,,54-62,,J. Nurkic misses 2-pt shot from 22 ft
6:43.0,Defensive rebound by R. Westbrook,,54-62,,
6:35.0,Oklahoma City full timeout,,54-62,,
6:35.0,Technical foul by C. Anthony,,54-62,,
6:35.0,,,54-63,1,D. Lillard makes technical free throw
6:26.0,R. Westbrook misses 2-pt shot from 2 ft (block by J. Nurkic),,54-63,,
6:24.0,,,54-63,,Defensive rebound by D. Lillard
6:21.0,,,54-63,,D. Lillard misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by P. George,,54-63,,
6:13.0,,,54-63,,Defensive rebound by Team
6:13.0,R. Westbrook misses 2-pt shot at rim,,54-63,,
6:01.0,Personal foul by R. Westbrook (drawn by J. Nurkic),,54-63,,
5:47.0,,,54-63,,Turnover by Team (shot clock)
5:38.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook),3,57-63,,
5:19.0,,,57-66,3,C. McCollum makes 3-pt shot from 24 ft
5:03.0,S. Adams misses 2-pt shot from 2 ft,,57-66,,
5:00.0,,,57-66,,Defensive rebound by N. Vonleh
4:48.0,,,57-68,2,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic)
4:30.0,C. Anthony misses 3-pt shot from 24 ft (block by M. Harkless),,57-68,,
4:28.0,Offensive rebound by C. Anthony,,57-68,,
4:26.0,Technical foul by C. Anthony (drawn by J. Nurkic),,57-68,,
4:26.0,Turnover by C. Anthony (turnover),,57-68,,
4:26.0,,,57-68,,J. Nurkic misses flagrant free throw 1 of 2
4:26.0,,,57-68,,Offensive rebound by Team
4:26.0,,,57-69,1,J. Nurkic makes flagrant free throw 2 of 2
4:26.0,J. Grant enters the game for C. Anthony,,57-69,,
4:24.0,Personal foul by R. Westbrook (drawn by D. Lillard),,57-69,,
4:24.0,Turnover by R. Westbrook (turnover),,57-69,,
4:24.0,,,57-69,,E. Turner enters the game for C. McCollum
4:24.0,,,57-69,,P. Connaughton enters the game for M. Harkless
4:24.0,,,57-70,1,D. Lillard makes free throw 1 of 2
4:24.0,,,57-71,1,D. Lillard makes free throw 2 of 2
4:13.0,P. George misses 2-pt shot from 12 ft,,57-71,,
4:09.0,Offensive rebound by J. Grant,,57-71,,
4:05.0,Turnover by P. George (lost ball; steal by E. Turner),,57-71,,
3:56.0,,,57-71,,D. Lillard misses 2-pt shot from 21 ft
3:53.0,Defensive rebound by J. Grant,,57-71,,
3:41.0,Turnover by J. Grant (bad pass; steal by J. Nurkic),,57-71,,
3:22.0,,,57-71,,Turnover by N. Vonleh (lost ball; steal by P. George)
3:17.0,R. Westbrook misses 3-pt shot from 31 ft,,57-71,,
3:14.0,,,57-71,,Defensive rebound by N. Vonleh
3:02.0,,,57-71,,Shooting foul by A. Roberson (drawn by D. Lillard)
3:02.0,,,57-72,1,D. Lillard makes free throw 1 of 2
3:02.0,,,57-72,,C. Swanigan enters the game for N. Vonleh
3:02.0,,,57-72,,E. Davis enters the game for J. Nurkic
3:02.0,R. Felton enters the game for R. Westbrook,,57-72,,
3:02.0,A. Abrines enters the game for A. Roberson,,57-72,,
3:02.0,,,57-73,1,D. Lillard makes free throw 2 of 2
2:48.0,,,57-73,,Shooting block foul by C. Swanigan (drawn by P. George)
2:48.0,P. George misses free throw 1 of 2,,57-73,,
2:48.0,Offensive rebound by Team,,57-73,,
2:48.0,P. George makes free throw 2 of 2,1,58-73,,
2:28.0,,,58-75,2,D. Lillard makes 2-pt shot from 15 ft
2:12.0,R. Felton makes 3-pt shot from 26 ft,3,61-75,,
2:00.0,Personal foul by J. Grant (drawn by C. Swanigan),,61-75,,
2:00.0,,,61-75,,C. Swanigan misses free throw 1 of 2
2:00.0,,,61-75,,Offensive rebound by Team
2:00.0,,,61-76,1,C. Swanigan makes free throw 2 of 2
1:48.0,P. George makes 2-pt shot from 12 ft,2,63-76,,
1:27.0,,,63-78,2,E. Davis makes 2-pt shot from 1 ft (assist by E. Turner)
1:07.0,R. Felton makes 2-pt shot from 1 ft,2,65-78,,
0:43.0,,,65-78,,D. Lillard misses 3-pt shot from 32 ft
0:41.0,Defensive rebound by Team,,65-78,,
0:41.0,,,65-78,,C. McCollum enters the game for D. Lillard
0:32.0,R. Felton makes 2-pt shot from 9 ft,2,67-78,,
0:18.0,,,67-78,,E. Turner misses 2-pt shot from 14 ft
0:15.0,Defensive rebound by S. Adams,,67-78,,
0:07.0,,,67-78,,Personal take foul by E. Turner (drawn by P. George)
0:02.0,P. George misses 3-pt shot from 25 ft,,67-78,,
0:02.0,Offensive rebound by Team,,67-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Grant makes 2-pt shot from 15 ft (assist by R. Felton),2,69-78,,
11:29.0,,,69-78,,C. McCollum misses 2-pt shot from 19 ft
11:25.0,,,69-78,,Offensive rebound by E. Davis
11:25.0,,,69-78,,E. Davis misses 2-pt shot at rim
11:24.0,Defensive rebound by J. Grant,,69-78,,
11:18.0,R. Felton misses 3-pt shot from 25 ft,,69-78,,
11:15.0,,,69-78,,Defensive rebound by P. Connaughton
10:57.0,,,69-78,,E. Davis misses 2-pt shot from 3 ft
10:57.0,Defensive rebound by Team,,69-78,,
10:41.0,J. Grant misses 2-pt shot from 3 ft (block by E. Turner),,69-78,,
10:41.0,,,69-78,,Defensive rebound by E. Turner
10:34.0,,,69-78,,P. Connaughton misses 3-pt shot from 22 ft
10:31.0,Defensive rebound by P. Patterson,,69-78,,
10:26.0,,,69-78,,Personal foul by C. McCollum (drawn by P. Patterson)
10:26.0,A. Roberson enters the game for P. George,,69-78,,
10:11.0,A. Roberson misses 2-pt shot from 3 ft,,69-78,,
10:09.0,,,69-78,,Defensive rebound by E. Davis
9:51.0,,,69-78,,C. McCollum misses 2-pt shot from 6 ft
9:51.0,,,69-78,,Offensive rebound by Team
9:51.0,Loose ball foul by P. Patterson (drawn by E. Davis),,69-78,,
9:51.0,,,69-78,,M. Harkless enters the game for C. Swanigan
9:45.0,,,69-78,,Turnover by E. Turner (bad pass)
9:33.0,R. Felton makes 2-pt shot from 17 ft,2,71-78,,
9:33.0,,,71-78,,Portland full timeout
9:33.0,,,71-78,,J. Nurkic enters the game for E. Davis
9:33.0,R. Westbrook enters the game for A. Abrines,,71-78,,
9:08.0,,,71-78,,Turnover by Team (shot clock)
9:03.0,,,71-78,,Personal foul by C. McCollum (drawn by R. Felton)
9:03.0,,,71-78,,D. Lillard enters the game for P. Connaughton
8:53.0,J. Grant misses 2-pt shot from 18 ft,,71-78,,
8:49.0,,,71-78,,Defensive rebound by E. Turner
8:42.0,,,71-80,2,J. Nurkic makes 2-pt shot from 5 ft
8:23.0,R. Westbrook misses 3-pt shot from 24 ft,,71-80,,
8:21.0,,,71-80,,Defensive rebound by J. Nurkic
8:13.0,,,71-80,,D. Lillard misses 2-pt shot from 14 ft
8:11.0,Defensive rebound by R. Westbrook,,71-80,,
8:01.0,R. Felton makes 2-pt shot from 15 ft,2,73-80,,
7:43.0,,,73-80,,Turnover by C. McCollum (bad pass; steal by P. Patterson)
7:36.0,,,73-80,,Personal foul by E. Turner (drawn by P. Patterson)
7:28.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,75-80,,
7:15.0,Personal foul by P. Patterson (drawn by J. Nurkic),,75-80,,
7:15.0,P. George enters the game for A. Roberson,,75-80,,
7:08.0,,,75-82,2,J. Nurkic makes 2-pt shot from 10 ft
7:08.0,,,75-82,,Shooting foul by P. Patterson (drawn by J. Nurkic)
7:08.0,,,75-82,,P. Connaughton enters the game for C. McCollum
7:08.0,,,75-83,1,J. Nurkic makes free throw 1 of 1
6:54.0,J. Grant misses 3-pt shot from 22 ft,,75-83,,
6:49.0,,,75-83,,Defensive rebound by P. Connaughton
6:43.0,,,75-83,,Turnover by E. Turner (bad pass)
6:43.0,S. Adams enters the game for P. Patterson,,75-83,,
6:33.0,P. George misses 2-pt shot from 12 ft,,75-83,,
6:33.0,Offensive rebound by Team,,75-83,,
6:33.0,,,75-83,,Loose ball foul by J. Nurkic (drawn by S. Adams)
6:17.0,J. Grant makes 2-pt shot from 1 ft,2,77-83,,
6:01.0,,,77-85,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
6:01.0,Violation by J. Grant (def goaltending),,77-85,,
5:56.0,R. Westbrook misses 2-pt shot from 14 ft (block by D. Lillard),,77-85,,
5:56.0,Offensive rebound by Team,,77-85,,
5:56.0,Oklahoma City full timeout,,77-85,,
5:52.0,P. George misses 2-pt shot at rim,,77-85,,
5:49.0,,,77-85,,Defensive rebound by J. Nurkic
5:47.0,,,77-85,,Turnover by J. Nurkic (lost ball; steal by P. George)
5:42.0,P. George misses 3-pt shot from 24 ft,,77-85,,
5:38.0,Offensive rebound by J. Grant,,77-85,,
5:30.0,S. Adams makes 2-pt shot at rim (assist by J. Grant),2,79-85,,
5:11.0,,,79-85,,Turnover by M. Harkless (traveling)
5:11.0,,,79-85,,C. McCollum enters the game for P. Connaughton
5:04.0,Turnover by R. Westbrook (bad pass; steal by J. Nurkic),,79-85,,
5:00.0,,,79-87,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
4:48.0,,,79-87,,Personal foul by D. Lillard (drawn by R. Westbrook)
4:48.0,R. Westbrook misses free throw 1 of 2,,79-87,,
4:48.0,Offensive rebound by Team,,79-87,,
4:48.0,R. Westbrook misses free throw 2 of 2,,79-87,,
4:46.0,,,79-87,,Defensive rebound by C. McCollum
4:34.0,,,79-87,,D. Lillard misses 2-pt shot from 3 ft
4:32.0,Defensive rebound by R. Westbrook,,79-87,,
4:15.0,R. Westbrook makes 3-pt shot from 24 ft,3,82-87,,
3:56.0,,,82-87,,C. McCollum misses 2-pt shot from 2 ft (block by J. Grant)
3:53.0,,,82-87,,Offensive rebound by D. Lillard
3:52.0,,,82-87,,C. McCollum misses 3-pt shot from 22 ft
3:50.0,Defensive rebound by J. Grant,,82-87,,
3:41.0,R. Westbrook makes 2-pt shot from 8 ft,2,84-87,,
3:41.0,,,84-87,,Portland full timeout
3:41.0,Oklahoma City full timeout,,84-87,,
3:21.0,,,84-87,,E. Turner misses 3-pt shot from 23 ft
