time,Chicago,pts.away,score,pts.home,Oklahoma City
0:35.0,J. Grant makes free throw 1 of 2,1,31-53,,
0:35.0,C. Felicio enters the game for R. Lopez,,31-53,,
0:35.0,J. Grant makes free throw 2 of 2,1,32-53,,
0:28.0,,,32-56,3,R. Westbrook makes 3-pt shot from 24 ft
0:08.0,J. Grant misses 2-pt shot from 2 ft,,32-56,,
0:05.0,Offensive rebound by C. Felicio,,32-56,,
0:05.0,Shooting foul by A. Roberson (drawn by C. Felicio),,32-56,,
0:05.0,C. Felicio makes free throw 1 of 2,1,33-56,,
0:05.0,,,33-56,,A. Abrines enters the game for A. Roberson
0:05.0,P. Zipser enters the game for D. Valentine,,33-56,,
0:05.0,C. Felicio makes free throw 2 of 2,1,34-56,,
0:00.0,,,34-58,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,34-58,,P. George misses 3-pt shot from 22 ft
11:32.0,Defensive rebound by D. Valentine,,34-58,,
11:21.0,L. Markkanen makes 2-pt shot from 4 ft (assist by K. Dunn),2,36-58,,
11:21.0,Shooting foul by D. Johnson (drawn by L. Markkanen),,36-58,,
11:21.0,L. Markkanen makes free throw 1 of 1,1,37-58,,
11:06.0,,,37-58,,D. Johnson misses 2-pt shot from 11 ft
11:03.0,Defensive rebound by L. Markkanen,,37-58,,
10:47.0,L. Markkanen misses 2-pt shot from 13 ft,,37-58,,
10:45.0,Offensive rebound by Q. Pondexter,,37-58,,
10:45.0,Shooting foul by R. Westbrook (drawn by Q. Pondexter),,37-58,,
10:45.0,Q. Pondexter makes free throw 1 of 2,1,38-58,,
10:45.0,Q. Pondexter makes free throw 2 of 2,1,39-58,,
10:30.0,,,39-58,,P. George misses 2-pt shot from 14 ft
10:30.0,,,39-58,,Offensive rebound by Team
10:30.0,Personal foul by Q. Pondexter (drawn by D. Johnson),,39-58,,
10:16.0,,,39-58,,R. Westbrook misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by L. Markkanen,,39-58,,
9:53.0,R. Lopez misses 3-pt shot from 24 ft,,39-58,,
9:50.0,,,39-58,,Defensive rebound by P. George
9:41.0,,,39-58,,C. Anthony misses 2-pt shot from 11 ft
9:38.0,,,39-58,,Offensive rebound by A. Roberson
9:38.0,,,39-60,2,A. Roberson makes 2-pt shot at rim
9:16.0,L. Markkanen misses 3-pt shot from 22 ft,,39-60,,
9:11.0,,,39-60,,Defensive rebound by C. Anthony
9:07.0,,,39-60,,Shooting foul by L. Markkanen (drawn by C. Anthony)
9:07.0,,,39-61,1,C. Anthony makes free throw 1 of 2
9:07.0,,,39-62,1,C. Anthony makes free throw 2 of 2
8:55.0,K. Dunn misses 3-pt shot from 23 ft,,39-62,,
8:52.0,,,39-62,,Defensive rebound by P. George
8:41.0,,,39-62,,Turnover by P. George (bad pass; steal by K. Dunn)
8:21.0,D. Valentine misses 2-pt shot from 18 ft,,39-62,,
8:19.0,,,39-62,,Defensive rebound by R. Westbrook
8:14.0,,,39-62,,Shooting foul by R. Lopez (drawn by D. Johnson)
8:14.0,,,39-63,1,D. Johnson makes free throw 1 of 2
8:14.0,,,39-64,1,D. Johnson makes free throw 2 of 2
7:52.0,K. Dunn misses 2-pt shot at rim,,39-64,,
7:50.0,,,39-64,,Defensive rebound by A. Roberson
7:50.0,,,39-64,,Turnover by A. Roberson (bad pass; steal by Q. Pondexter)
7:46.0,Q. Pondexter misses 2-pt shot from 1 ft,,39-64,,
7:46.0,,,39-64,,Defensive rebound by Team
7:29.0,,,39-64,,R. Westbrook misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by L. Markkanen,,39-64,,
7:03.0,Q. Pondexter misses 2-pt shot from 6 ft,,39-64,,
7:01.0,,,39-64,,Defensive rebound by D. Johnson
6:55.0,,,39-64,,Turnover by R. Westbrook (lost ball; steal by D. Valentine)
6:49.0,L. Markkanen makes 2-pt shot at rim (assist by D. Valentine),2,41-64,,
6:29.0,,,41-64,,C. Anthony misses 2-pt shot from 12 ft
6:29.0,,,41-64,,Offensive rebound by A. Roberson
6:23.0,,,41-64,,Turnover by R. Westbrook (bad pass; steal by L. Markkanen)
6:05.0,D. Valentine makes 3-pt shot from 24 ft (assist by R. Lopez),3,44-64,,
6:04.0,,,44-64,,Oklahoma City full timeout
6:04.0,,,44-64,,J. Grant enters the game for D. Johnson
5:52.0,,,44-66,2,R. Westbrook makes 2-pt shot from 1 ft
5:30.0,K. Dunn misses 2-pt shot from 17 ft,,44-66,,
5:26.0,,,44-66,,Defensive rebound by C. Anthony
5:12.0,,,44-66,,R. Westbrook misses 2-pt shot from 12 ft
5:09.0,Defensive rebound by D. Valentine,,44-66,,
4:53.0,L. Markkanen makes 3-pt shot from 24 ft (assist by D. Valentine),3,47-66,,
4:36.0,,,47-66,,P. George misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by L. Markkanen,,47-66,,
4:27.0,Shooting foul by P. George (drawn by Q. Pondexter),,47-66,,
4:27.0,Q. Pondexter makes free throw 1 of 2,1,48-66,,
4:27.0,,,48-66,,J. Huestis enters the game for P. George
4:27.0,J. Grant enters the game for K. Dunn,,48-66,,
4:27.0,Q. Pondexter misses free throw 2 of 2,,48-66,,
4:24.0,,,48-66,,Defensive rebound by A. Roberson
4:10.0,Personal foul by Q. Pondexter (drawn by R. Westbrook),,48-66,,
4:07.0,Personal foul by Q. Pondexter (drawn by C. Anthony),,48-66,,
4:07.0,,,48-67,1,C. Anthony makes free throw 1 of 2
4:07.0,,,48-68,1,C. Anthony makes free throw 2 of 2
3:54.0,D. Valentine misses 3-pt shot from 24 ft,,48-68,,
3:52.0,,,48-68,,Defensive rebound by C. Anthony
3:47.0,,,48-68,,Shooting foul by D. Valentine (drawn by R. Westbrook)
3:47.0,,,48-69,1,R. Westbrook makes free throw 1 of 2
3:47.0,,,48-70,1,R. Westbrook makes free throw 2 of 2
3:31.0,Q. Pondexter misses 3-pt shot from 22 ft,,48-70,,
3:30.0,Offensive rebound by Team,,48-70,,
3:30.0,,,48-70,,A. Abrines enters the game for A. Roberson
3:29.0,,,48-70,,Personal foul by A. Abrines (drawn by L. Markkanen)
3:29.0,B. Portis enters the game for L. Markkanen,,48-70,,
3:16.0,J. Grant misses 2-pt shot from 17 ft,,48-70,,
3:14.0,,,48-70,,Defensive rebound by C. Anthony
3:08.0,Personal foul by Q. Pondexter (drawn by C. Anthony),,48-70,,
3:08.0,,,48-71,1,C. Anthony makes free throw 1 of 2
3:08.0,A. Blakeney enters the game for Q. Pondexter,,48-71,,
3:08.0,,,48-72,1,C. Anthony makes free throw 2 of 2
3:05.0,Chicago full timeout,,48-72,,
3:05.0,,,48-72,,R. Felton enters the game for R. Westbrook
3:05.0,,,48-72,,P. Patterson enters the game for C. Anthony
2:49.0,A. Blakeney misses 2-pt shot from 14 ft,,48-72,,
2:45.0,,,48-72,,Defensive rebound by J. Grant
2:35.0,,,48-72,,P. Patterson misses 3-pt shot from 25 ft
2:32.0,,,48-72,,Offensive rebound by P. Patterson
2:29.0,,,48-75,3,A. Abrines makes 3-pt shot from 26 ft (assist by J. Huestis)
2:06.0,D. Valentine misses 3-pt shot from 24 ft,,48-75,,
2:02.0,Offensive rebound by Team,,48-75,,
2:02.0,Turnover by J. Grant (bad pass),,48-75,,
1:50.0,,,48-75,,Offensive charge foul by J. Grant (drawn by J. Grant)
1:50.0,,,48-75,,Turnover by J. Grant (offensive foul)
1:50.0,P. Zipser enters the game for D. Valentine,,48-75,,
1:31.0,B. Portis makes 3-pt shot from 22 ft (assist by J. Grant),3,51-75,,
1:15.0,,,51-75,,J. Grant misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by B. Portis,,51-75,,
1:07.0,A. Blakeney makes 2-pt shot from 13 ft,2,53-75,,
1:07.0,Shooting foul by J. Grant (drawn by A. Blakeney),,53-75,,
1:07.0,,,53-75,,P. George enters the game for J. Huestis
1:07.0,A. Blakeney makes free throw 1 of 1,1,54-75,,
0:56.0,Personal foul by B. Portis (drawn by P. Patterson),,54-75,,
0:56.0,,,54-76,1,P. Patterson makes free throw 1 of 2
0:56.0,,,54-77,1,P. Patterson makes free throw 2 of 2
0:41.0,P. Zipser misses 3-pt shot from 25 ft,,54-77,,
0:37.0,,,54-77,,Defensive rebound by A. Abrines
0:32.0,,,54-77,,P. George misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by Team,,54-77,,
0:26.0,,,54-77,,Shooting block foul by R. Felton (drawn by J. Grant)
0:26.0,J. Grant makes free throw 1 of 2,1,55-77,,
0:26.0,C. Felicio enters the game for R. Lopez,,55-77,,
0:26.0,J. Grant makes free throw 2 of 2,1,56-77,,
0:06.0,,,56-77,,Offensive foul by P. George (drawn by J. Grant)
0:06.0,,,56-77,,Turnover by P. George (offensive foul)
0:03.0,Offensive foul by J. Grant (drawn by P. Patterson),,56-77,,
0:03.0,Turnover by J. Grant (offensive foul),,56-77,,
0:00.0,,,56-77,,P. George misses 3-pt shot from 46 ft
0:00.0,,,56-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Blakeney makes 3-pt shot from 24 ft,3,59-77,,
11:30.0,Personal foul by P. Zipser (drawn by P. Patterson),,59-77,,
11:16.0,,,59-77,,P. George misses 3-pt shot from 25 ft
11:12.0,,,59-77,,Offensive rebound by J. Grant
11:03.0,,,59-77,,A. Abrines misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by J. Grant,,59-77,,
10:52.0,J. Grant misses 3-pt shot from 24 ft,,59-77,,
10:48.0,,,59-77,,Defensive rebound by A. Abrines
10:40.0,,,59-80,3,R. Felton makes 3-pt shot from 24 ft
10:21.0,P. Zipser misses 2-pt shot from 16 ft,,59-80,,
10:20.0,,,59-80,,Defensive rebound by Team
10:09.0,,,59-80,,R. Felton misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by B. Portis,,59-80,,
9:53.0,B. Portis makes 2-pt shot from 1 ft,2,61-80,,
9:33.0,,,61-80,,Turnover by P. George (bad pass)
9:23.0,B. Portis misses 3-pt shot from 23 ft,,61-80,,
9:21.0,,,61-80,,Defensive rebound by R. Felton
8:58.0,,,61-80,,A. Abrines misses 3-pt shot from 22 ft
8:53.0,Defensive rebound by J. Grant,,61-80,,
8:39.0,A. Blakeney makes 2-pt shot from 18 ft (assist by B. Portis),2,63-80,,
8:23.0,,,63-80,,P. George misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by B. Portis,,63-80,,
8:01.0,A. Blakeney misses 2-pt shot from 9 ft,,63-80,,
7:59.0,,,63-80,,Defensive rebound by R. Felton
7:39.0,,,63-80,,P. Patterson misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by B. Portis,,63-80,,
7:31.0,Turnover by B. Portis (lost ball; steal by J. Grant),,63-80,,
7:27.0,,,63-80,,Shooting foul by P. Zipser (drawn by A. Abrines)
7:27.0,,,63-81,1,A. Abrines makes free throw 1 of 2
7:27.0,,,63-81,,R. Westbrook enters the game for R. Felton
7:27.0,,,63-81,,C. Anthony enters the game for P. Patterson
7:27.0,K. Dunn enters the game for J. Grant,,63-81,,
7:27.0,L. Markkanen enters the game for B. Portis,,63-81,,
7:27.0,,,63-81,,A. Abrines misses free throw 2 of 2
7:25.0,Defensive rebound by P. Zipser,,63-81,,
7:09.0,K. Dunn misses 2-pt shot from 10 ft,,63-81,,
7:05.0,,,63-81,,Defensive rebound by J. Grant
6:57.0,,,63-81,,Shooting foul by A. Blakeney (drawn by J. Grant)
6:57.0,,,63-81,,Oklahoma City full timeout
6:57.0,,,63-81,,R. Felton enters the game for P. George
6:57.0,,,63-81,,J. Grant misses free throw 1 of 2
6:57.0,,,63-81,,Offensive rebound by Team
6:57.0,,,63-82,1,J. Grant makes free throw 2 of 2
6:37.0,L. Markkanen misses 2-pt shot from 13 ft,,63-82,,
6:37.0,Offensive rebound by Team,,63-82,,
6:20.0,A. Blakeney misses 3-pt shot from 24 ft,,63-82,,
6:16.0,Offensive rebound by K. Dunn,,63-82,,
6:14.0,K. Dunn makes 3-pt shot from 25 ft (assist by L. Markkanen),3,66-82,,
5:45.0,,,66-82,,Shooting foul by L. Markkanen (drawn by C. Anthony)
5:45.0,,,66-83,1,C. Anthony makes free throw 1 of 2
5:45.0,,,66-83,,P. George enters the game for A. Abrines
5:45.0,,,66-84,1,C. Anthony makes free throw 2 of 2
5:30.0,K. Dunn misses 3-pt shot from 23 ft,,66-84,,
5:26.0,,,66-84,,Defensive rebound by C. Anthony
5:20.0,,,66-84,,C. Anthony misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by P. Zipser,,66-84,,
5:05.0,A. Blakeney misses 2-pt shot at rim,,66-84,,
5:02.0,,,66-84,,Defensive rebound by R. Westbrook
4:45.0,,,66-87,3,P. George makes 3-pt shot from 25 ft (assist by R. Felton)
4:44.0,Chicago full timeout,,66-87,,
4:33.0,,,66-87,,Personal foul by R. Westbrook (drawn by A. Blakeney)
4:22.0,C. Felicio makes 2-pt shot at rim (assist by P. Zipser),2,68-87,,
