time,Washington,pts.away,score,pts.home,Orlando
6:23.0,,,14-8,,E. Payton misses 2-pt shot from 3 ft
6:21.0,Defensive rebound by O. Porter,,14-8,,
6:05.0,M. Morris makes 2-pt shot from 9 ft,2,16-8,,
5:38.0,,,16-8,,E. Payton misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by M. Morris,,16-8,,
5:30.0,M. Morris makes 2-pt shot from 14 ft (assist by O. Porter),2,18-8,,
5:19.0,,,18-10,2,E. Payton makes 2-pt shot from 2 ft
5:04.0,,,18-10,,Personal foul by B. Biyombo (drawn by B. Beal)
4:57.0,T. Satoransky makes 3-pt shot from 23 ft (assist by B. Beal),3,21-10,,
4:44.0,,,21-13,3,J. Simmons makes 3-pt shot from 26 ft (assist by E. Payton)
4:21.0,M. Gortat misses 2-pt shot from 8 ft (block by B. Biyombo),,21-13,,
4:19.0,Offensive rebound by T. Satoransky,,21-13,,
4:19.0,Shooting foul by B. Biyombo (drawn by T. Satoransky),,21-13,,
4:19.0,T. Satoransky makes free throw 1 of 2,1,22-13,,
4:19.0,,,22-13,,K. Birch enters the game for B. Biyombo
4:19.0,K. Oubre enters the game for O. Porter,,22-13,,
4:19.0,T. Satoransky makes free throw 2 of 2,1,23-13,,
4:09.0,,,23-13,,Turnover by E. Payton (bad pass; steal by T. Satoransky)
4:04.0,Turnover by T. Satoransky (lost ball; steal by E. Payton),,23-13,,
3:57.0,Personal foul by M. Morris (drawn by E. Fournier),,23-13,,
3:54.0,Personal foul by K. Oubre (drawn by J. Simmons),,23-13,,
3:43.0,,,23-15,2,J. Simmons makes 2-pt shot from 2 ft
3:29.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal),2,25-15,,
3:17.0,,,25-15,,E. Fournier misses 3-pt shot from 27 ft
3:13.0,,,25-15,,Offensive rebound by M. Hezonja
3:12.0,,,25-17,2,M. Hezonja makes 2-pt shot at rim
3:00.0,K. Oubre misses 3-pt shot from 23 ft,,25-17,,
2:55.0,Offensive rebound by M. Gortat,,25-17,,
2:52.0,Turnover by M. Gortat (bad pass; steal by J. Simmons),,25-17,,
2:46.0,,,25-20,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
2:43.0,Washington full timeout,,25-20,,
2:43.0,,,25-20,,D. Augustin enters the game for E. Payton
2:43.0,,,25-20,,W. Iwundu enters the game for J. Simmons
2:43.0,I. Mahinmi enters the game for M. Gortat,,25-20,,
2:43.0,T. Frazier enters the game for T. Satoransky,,25-20,,
2:30.0,B. Beal makes 2-pt shot from 15 ft (assist by T. Frazier),2,27-20,,
2:12.0,,,27-20,,Shooting foul by K. Oubre (drawn by E. Fournier)
2:12.0,,,27-21,1,E. Fournier makes free throw 1 of 2
2:12.0,,,27-22,1,E. Fournier makes free throw 2 of 2
1:59.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Morris),2,29-22,,
1:37.0,,,29-22,,K. Birch misses 2-pt shot from 6 ft
1:34.0,,,29-22,,Offensive rebound by D. Augustin
1:32.0,,,29-22,,E. Fournier misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by B. Beal,,29-22,,
1:14.0,Turnover by T. Frazier (bad pass; steal by K. Birch),,29-22,,
1:00.0,,,29-25,3,M. Hezonja makes 3-pt shot from 27 ft (assist by E. Fournier)
0:46.0,B. Beal misses 2-pt shot from 4 ft,,29-25,,
0:46.0,,,29-25,,Defensive rebound by Team
0:46.0,,,29-25,,S. Mack enters the game for E. Fournier
0:31.0,,,29-25,,D. Augustin misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by B. Beal,,29-25,,
0:09.0,B. Beal makes 2-pt shot from 18 ft,2,31-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by T. Frazier (drawn by D. Augustin),,31-25,,
11:37.0,,,31-25,,Turnover by M. Hezonja (bad pass; steal by K. Oubre)
11:30.0,J. Smith makes 2-pt shot from 19 ft (assist by T. Frazier),2,33-25,,
11:13.0,,,33-25,,Shooting foul by J. Smith (drawn by W. Iwundu)
11:13.0,,,33-26,1,W. Iwundu makes free throw 1 of 2
11:13.0,,,33-27,1,W. Iwundu makes free throw 2 of 2
11:02.0,,,33-27,,Personal foul by K. Birch (drawn by I. Mahinmi)
10:59.0,Shooting foul by S. Mack (drawn by J. Meeks),,33-27,,
10:59.0,J. Meeks makes free throw 1 of 2,1,34-27,,
10:59.0,J. Meeks makes free throw 2 of 2,1,35-27,,
10:41.0,,,35-29,2,S. Mack makes 2-pt shot from 1 ft (assist by W. Iwundu)
10:27.0,J. Meeks misses 3-pt shot from 25 ft,,35-29,,
10:24.0,,,35-29,,Defensive rebound by S. Mack
10:09.0,,,35-29,,M. Hezonja misses 2-pt shot from 5 ft (block by I. Mahinmi)
10:06.0,Defensive rebound by I. Mahinmi,,35-29,,
10:04.0,J. Meeks misses 3-pt shot from 26 ft,,35-29,,
10:01.0,,,35-29,,Defensive rebound by S. Mack
9:55.0,,,35-29,,Turnover by S. Mack (lost ball; steal by T. Frazier)
9:40.0,J. Meeks misses 3-pt shot from 26 ft,,35-29,,
9:37.0,,,35-29,,Defensive rebound by W. Iwundu
9:26.0,,,35-29,,W. Iwundu misses 2-pt shot from 11 ft
9:23.0,Defensive rebound by I. Mahinmi,,35-29,,
9:20.0,K. Oubre misses 2-pt shot from 1 ft,,35-29,,
9:16.0,,,35-29,,Defensive rebound by S. Mack
9:07.0,,,35-29,,M. Hezonja misses 2-pt shot from 14 ft
9:05.0,,,35-29,,Offensive rebound by K. Birch
9:05.0,,,35-29,,K. Birch misses 2-pt shot from 2 ft (block by J. Meeks)
9:00.0,,,35-29,,Offensive rebound by M. Hezonja
8:59.0,,,35-32,3,M. Hezonja makes 3-pt shot from 25 ft
8:38.0,T. Frazier makes 3-pt shot from 26 ft (assist by J. Smith),3,38-32,,
8:21.0,,,38-35,3,D. Augustin makes 3-pt shot from 26 ft (assist by K. Birch)
8:20.0,Washington full timeout,,38-35,,
8:20.0,O. Porter enters the game for J. Meeks,,38-35,,
8:08.0,K. Oubre makes 2-pt shot from 19 ft (assist by J. Smith),2,40-35,,
7:45.0,Personal foul by O. Porter (drawn by K. Birch),,40-35,,
7:35.0,,,40-35,,Turnover by D. Augustin (turnover)
7:10.0,Turnover by Team (shot clock),,40-35,,
7:01.0,,,40-35,,S. Mack misses 3-pt shot from 27 ft
6:54.0,,,40-35,,Offensive rebound by K. Birch
6:54.0,,,40-37,2,K. Birch makes 2-pt shot at rim
6:41.0,M. Morris enters the game for T. Frazier,,40-37,,
6:41.0,B. Beal enters the game for I. Mahinmi,,40-37,,
6:34.0,Turnover by M. Morris (bad pass; steal by W. Iwundu),,40-37,,
6:29.0,,,40-39,2,W. Iwundu makes 2-pt shot from 1 ft
6:17.0,Turnover by B. Beal (lost ball; steal by S. Mack),,40-39,,
6:13.0,,,40-41,2,S. Mack makes 2-pt shot from 3 ft
6:05.0,B. Beal makes 2-pt shot from 2 ft,2,42-41,,
5:51.0,,,42-43,2,D. Augustin makes 2-pt shot from 1 ft
5:30.0,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal),2,44-43,,
5:23.0,,,44-43,,Offensive foul by K. Birch (drawn by K. Oubre)
5:23.0,,,44-43,,Turnover by K. Birch (offensive foul)
5:23.0,,,44-43,,J. Simmons enters the game for K. Birch
5:23.0,,,44-43,,B. Biyombo enters the game for W. Iwundu
5:14.0,B. Beal misses 2-pt shot from 6 ft,,44-43,,
5:11.0,,,44-43,,Defensive rebound by B. Biyombo
4:54.0,,,44-45,2,J. Simmons makes 2-pt shot from 5 ft (assist by D. Augustin)
4:40.0,Shooting foul by M. Hezonja (drawn by M. Morris),,44-45,,
4:40.0,M. Morris makes free throw 1 of 2,1,45-45,,
4:40.0,,,45-45,,E. Fournier enters the game for S. Mack
4:40.0,,,45-45,,E. Payton enters the game for D. Augustin
4:40.0,M. Gortat enters the game for J. Smith,,45-45,,
4:40.0,,,45-45,,Orlando full timeout
4:40.0,M. Morris makes free throw 2 of 2,1,46-45,,
4:21.0,,,46-47,2,B. Biyombo makes 2-pt shot from 5 ft (assist by E. Payton)
4:02.0,O. Porter misses 3-pt shot from 25 ft,,46-47,,
3:58.0,,,46-47,,Defensive rebound by B. Biyombo
3:45.0,,,46-47,,Turnover by B. Biyombo (turnover)
3:45.0,T. Satoransky enters the game for K. Oubre,,46-47,,
3:26.0,O. Porter misses 2-pt shot from 16 ft,,46-47,,
3:22.0,Offensive rebound by T. Satoransky,,46-47,,
3:22.0,Washington full timeout,,46-47,,
3:10.0,Turnover by B. Beal (bad pass; steal by M. Hezonja),,46-47,,
3:03.0,,,46-47,,M. Hezonja misses 2-pt shot from 15 ft
3:00.0,Defensive rebound by M. Gortat,,46-47,,
2:50.0,O. Porter makes 2-pt shot from 16 ft (assist by B. Beal),2,48-47,,
2:30.0,,,48-47,,M. Hezonja misses 3-pt shot from 26 ft
2:27.0,Defensive rebound by B. Beal,,48-47,,
2:21.0,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal),2,50-47,,
2:06.0,,,50-47,,E. Fournier misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by M. Morris,,50-47,,
1:47.0,O. Porter misses 3-pt shot from 23 ft,,50-47,,
1:44.0,Offensive rebound by M. Gortat,,50-47,,
1:41.0,Turnover by M. Gortat (bad pass; steal by E. Fournier),,50-47,,
1:35.0,,,50-47,,Turnover by M. Hezonja (lost ball; steal by M. Morris)
1:21.0,B. Beal makes 2-pt shot from 2 ft,2,52-47,,
1:21.0,,,52-47,,Orlando full timeout
1:21.0,,,52-47,,M. Speights enters the game for M. Hezonja
1:21.0,,,52-47,,W. Iwundu enters the game for B. Biyombo
0:59.0,,,52-47,,J. Simmons misses 2-pt shot from 7 ft (block by B. Beal)
0:53.0,Defensive rebound by B. Beal,,52-47,,
0:43.0,M. Morris makes 2-pt shot from 9 ft (assist by T. Satoransky),2,54-47,,
0:36.0,,,54-47,,Turnover by E. Payton (bad pass)
0:28.0,B. Beal misses 3-pt shot from 27 ft,,54-47,,
0:25.0,,,54-47,,Defensive rebound by J. Simmons
0:07.0,,,54-47,,Turnover by J. Simmons (lost ball; steal by T. Satoransky)
0:03.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal),2,56-47,,
0:00.0,,,56-47,,E. Payton misses 3-pt shot from 25 ft
0:00.0,,,56-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,56-47,,Turnover by M. Hezonja (lost ball; steal by M. Morris)
11:18.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,58-47,,
11:17.0,B. Beal makes technical free throw,1,59-47,,
11:06.0,,,59-47,,Shooting foul by M. Gortat (drawn by E. Fournier)
11:06.0,,,59-48,1,E. Fournier makes free throw 1 of 2
11:06.0,,,59-49,1,E. Fournier makes free throw 2 of 2
10:50.0,M. Morris makes 2-pt shot from 11 ft (assist by O. Porter),2,61-49,,
10:34.0,,,61-49,,E. Payton misses 2-pt shot from 7 ft
10:30.0,Defensive rebound by O. Porter,,61-49,,
10:27.0,T. Satoransky makes 3-pt shot from 23 ft (assist by B. Beal),3,64-49,,
10:07.0,,,64-51,2,E. Payton makes 2-pt shot from 3 ft (assist by J. Simmons)
9:48.0,T. Satoransky misses 2-pt shot from 3 ft,,64-51,,
9:42.0,Offensive rebound by M. Gortat,,64-51,,
9:42.0,M. Gortat misses 2-pt shot at rim,,64-51,,
9:41.0,,,64-51,,Defensive rebound by B. Biyombo
9:39.0,,,64-51,,E. Payton misses 3-pt shot from 25 ft
9:36.0,,,64-51,,Offensive rebound by B. Biyombo
9:35.0,,,64-54,3,J. Simmons makes 3-pt shot from 26 ft (assist by B. Biyombo)
9:15.0,B. Beal makes 2-pt shot from 20 ft,2,66-54,,
9:01.0,,,66-54,,M. Hezonja misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by M. Gortat,,66-54,,
8:55.0,T. Satoransky makes 3-pt shot from 22 ft (assist by O. Porter),3,69-54,,
8:55.0,,,69-54,,Orlando full timeout
8:55.0,,,69-54,,M. Speights enters the game for E. Payton
8:55.0,,,69-54,,S. Mack enters the game for J. Simmons
8:55.0,,,69-54,,W. Iwundu enters the game for M. Hezonja
8:55.0,,,69-54,,D. Augustin enters the game for B. Biyombo
8:35.0,,,69-54,,E. Fournier misses 2-pt shot from 3 ft (block by M. Gortat)
8:35.0,,,69-54,,Offensive rebound by Team
8:29.0,,,69-54,,Turnover by W. Iwundu (lost ball; steal by B. Beal)
8:24.0,B. Beal misses 3-pt shot from 25 ft,,69-54,,
8:21.0,,,69-54,,Defensive rebound by S. Mack
8:10.0,,,69-54,,Shooting foul by M. Gortat (drawn by M. Speights)
8:10.0,,,69-55,1,M. Speights makes free throw 1 of 2
8:10.0,,,69-56,1,M. Speights makes free throw 2 of 2
7:56.0,Shooting foul by M. Speights (drawn by O. Porter),,69-56,,
7:56.0,O. Porter makes free throw 1 of 2,1,70-56,,
7:56.0,O. Porter makes free throw 2 of 2,1,71-56,,
7:32.0,,,71-56,,M. Speights misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by M. Gortat,,71-56,,
7:11.0,M. Morris misses 2-pt shot from 9 ft,,71-56,,
7:10.0,Offensive rebound by M. Gortat,,71-56,,
7:10.0,M. Gortat makes 2-pt shot at rim,2,73-56,,
6:52.0,,,73-56,,E. Fournier misses 2-pt shot from 20 ft
6:48.0,Defensive rebound by B. Beal,,73-56,,
6:41.0,M. Gortat makes 2-pt shot from 3 ft (assist by O. Porter),2,75-56,,
6:36.0,,,75-56,,Offensive foul by M. Speights (drawn by M. Gortat)
6:36.0,,,75-56,,Turnover by M. Speights (offensive foul)
6:17.0,M. Morris misses 3-pt shot from 27 ft,,75-56,,
6:14.0,,,75-56,,Defensive rebound by D. Augustin
6:06.0,,,75-59,3,M. Speights makes 3-pt shot from 23 ft (assist by D. Augustin)
5:41.0,M. Gortat makes 2-pt shot from 3 ft (assist by T. Satoransky),2,77-59,,
5:33.0,,,77-59,,M. Speights misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by Team,,77-59,,
5:23.0,B. Beal misses 2-pt shot from 11 ft,,77-59,,
5:22.0,Offensive rebound by Team,,77-59,,
5:22.0,,,77-59,,Loose ball foul by M. Speights
5:22.0,,,77-59,,Technical foul by M. Speights
5:22.0,B. Beal makes technical free throw,1,78-59,,
5:09.0,O. Porter misses 2-pt shot from 11 ft,,78-59,,
5:09.0,,,78-59,,Defensive rebound by M. Speights
5:06.0,Personal foul by T. Satoransky (drawn by M. Speights),,78-59,,
4:53.0,,,78-59,,S. Mack misses 2-pt shot from 4 ft
4:53.0,,,78-59,,Offensive rebound by M. Speights
4:49.0,,,78-59,,M. Speights misses 2-pt shot at rim
4:47.0,Defensive rebound by B. Beal,,78-59,,
4:41.0,M. Gortat makes 2-pt shot from 1 ft (assist by T. Satoransky),2,80-59,,
4:41.0,,,80-59,,Orlando full timeout
4:41.0,,,80-59,,M. Hezonja enters the game for E. Fournier
4:41.0,,,80-59,,K. Birch enters the game for M. Speights
4:24.0,,,80-59,,M. Hezonja misses 2-pt shot from 11 ft
4:21.0,Defensive rebound by M. Gortat,,80-59,,
4:12.0,M. Morris makes 2-pt shot from 2 ft (assist by T. Satoransky),2,82-59,,
4:01.0,,,82-59,,Shooting foul by T. Satoransky (drawn by D. Augustin)
4:01.0,,,82-60,1,D. Augustin makes free throw 1 of 3
4:01.0,,,82-61,1,D. Augustin makes free throw 2 of 3
4:01.0,,,82-62,1,D. Augustin makes free throw 3 of 3
3:52.0,T. Satoransky makes 2-pt shot from 7 ft,2,84-62,,
3:38.0,,,84-62,,Turnover by D. Augustin (bad pass; steal by B. Beal)
3:36.0,,,84-62,,B. Biyombo enters the game for W. Iwundu
3:34.0,Offensive foul by M. Gortat (drawn by K. Birch),,84-62,,
3:34.0,Turnover by M. Gortat (offensive foul),,84-62,,
3:10.0,,,84-62,,D. Augustin misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by Team,,84-62,,
2:46.0,B. Beal makes 2-pt shot from 23 ft,2,86-62,,
2:22.0,,,86-64,2,S. Mack makes 2-pt shot from 2 ft
2:03.0,O. Porter misses 2-pt shot from 9 ft,,86-64,,
2:00.0,,,86-64,,Defensive rebound by K. Birch
1:56.0,,,86-64,,D. Augustin misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by B. Beal,,86-64,,
1:47.0,O. Porter misses 3-pt shot from 23 ft,,86-64,,
1:43.0,,,86-64,,Defensive rebound by K. Birch
1:26.0,,,86-66,2,B. Biyombo makes 2-pt shot from 1 ft (assist by K. Birch)
1:26.0,Washington full timeout,,86-66,,
1:26.0,,,86-66,,J. Simmons enters the game for M. Hezonja
1:26.0,K. Oubre enters the game for M. Morris,,86-66,,
1:26.0,I. Mahinmi enters the game for M. Gortat,,86-66,,
1:11.0,B. Beal misses 2-pt shot from 3 ft,,86-66,,
1:08.0,,,86-66,,Defensive rebound by S. Mack
0:49.0,,,86-69,3,S. Mack makes 3-pt shot from 26 ft
0:36.0,K. Oubre misses 3-pt shot from 23 ft,,86-69,,
0:32.0,,,86-69,,Defensive rebound by K. Birch
0:17.0,,,86-69,,Turnover by S. Mack (bad pass; steal by K. Oubre)
0:11.0,Shooting foul by K. Birch (drawn by I. Mahinmi),,86-69,,
0:11.0,I. Mahinmi misses free throw 1 of 2,,86-69,,
0:11.0,Offensive rebound by Team,,86-69,,
0:11.0,,,86-69,,E. Fournier enters the game for B. Biyombo
0:11.0,I. Mahinmi makes free throw 2 of 2,1,87-69,,
0:01.0,,,87-69,,J. Simmons misses 3-pt shot from 25 ft
0:01.0,,,87-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,K. Oubre misses 2-pt shot from 11 ft (block by E. Payton),,87-69,,
11:32.0,Offensive rebound by T. Frazier,,87-69,,
11:31.0,T. Frazier makes 2-pt shot from 19 ft,2,89-69,,
11:16.0,,,89-69,,E. Payton misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by O. Porter,,89-69,,
11:00.0,,,89-69,,Personal foul by D. Augustin (drawn by O. Porter)
10:55.0,Turnover by I. Mahinmi (lost ball; steal by D. Augustin),,89-69,,
10:52.0,,,89-69,,Shooting foul by T. Frazier (drawn by J. Simmons)
10:52.0,,,89-70,1,J. Simmons makes free throw 1 of 2
10:52.0,,,89-71,1,J. Simmons makes free throw 2 of 2
10:31.0,T. Frazier makes 2-pt shot from 2 ft (assist by J. Meeks),2,91-71,,
10:21.0,Personal foul by T. Frazier (drawn by D. Augustin),,91-71,,
10:10.0,,,91-73,2,E. Payton makes 2-pt shot from 3 ft
9:52.0,J. Meeks makes 2-pt shot from 20 ft (assist by O. Porter),2,93-73,,
9:39.0,Personal foul by I. Mahinmi (drawn by E. Payton),,93-73,,
9:30.0,,,93-75,2,E. Payton makes 2-pt shot from 6 ft
9:17.0,O. Porter makes 3-pt shot from 25 ft (assist by K. Oubre),3,96-75,,
9:06.0,,,96-75,,E. Payton misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by T. Frazier,,96-75,,
8:52.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Frazier),3,99-75,,
8:51.0,,,99-75,,Orlando full timeout
8:36.0,,,99-75,,E. Fournier misses 3-pt shot from 26 ft
8:33.0,,,99-75,,Offensive rebound by E. Payton
8:31.0,,,99-77,2,E. Payton makes 2-pt shot from 2 ft
8:13.0,K. Oubre misses 2-pt shot from 4 ft (block by E. Payton),,99-77,,
8:13.0,Offensive rebound by Team,,99-77,,
8:09.0,T. Frazier misses 3-pt shot from 26 ft,,99-77,,
8:05.0,Offensive rebound by I. Mahinmi,,99-77,,
7:56.0,Turnover by O. Porter (bad pass; steal by J. Simmons),,99-77,,
7:50.0,,,99-77,,Turnover by J. Simmons (lost ball; steal by K. Oubre)
7:46.0,K. Oubre makes 2-pt shot from 2 ft,2,101-77,,
7:39.0,,,101-79,2,E. Payton makes 2-pt shot at rim
7:25.0,J. Meeks makes 2-pt shot from 9 ft (assist by T. Frazier),2,103-79,,
7:10.0,,,103-79,,Shooting foul by O. Porter (drawn by J. Simmons)
7:10.0,,,103-79,,J. Simmons misses free throw 1 of 2
7:10.0,,,103-79,,Offensive rebound by Team
7:10.0,J. Smith enters the game for O. Porter,,103-79,,
7:10.0,,,103-80,1,J. Simmons makes free throw 2 of 2
6:53.0,T. Frazier misses 2-pt shot from 8 ft,,103-80,,
6:50.0,,,103-80,,Defensive rebound by K. Birch
6:41.0,,,103-80,,J. Simmons misses 2-pt shot from 6 ft (block by I. Mahinmi)
6:41.0,Defensive rebound by Team,,103-80,,
6:39.0,,,103-80,,Shooting foul by I. Mahinmi (drawn by D. Augustin)
6:39.0,,,103-80,,D. Augustin misses free throw 1 of 3
6:39.0,,,103-80,,Offensive rebound by Team
6:39.0,,,103-81,1,D. Augustin makes free throw 2 of 3
6:39.0,,,103-81,,M. Speights enters the game for E. Fournier
6:39.0,,,103-82,1,D. Augustin makes free throw 3 of 3
6:27.0,J. Smith misses 3-pt shot from 27 ft,,103-82,,
6:24.0,,,103-82,,Defensive rebound by J. Simmons
6:15.0,,,103-82,,M. Speights misses 3-pt shot from 26 ft
6:12.0,,,103-82,,Offensive rebound by K. Birch
6:10.0,,,103-84,2,K. Birch makes 2-pt shot from 3 ft
5:53.0,J. Smith misses 2-pt shot from 21 ft,,103-84,,
5:49.0,,,103-84,,Defensive rebound by E. Payton
5:44.0,,,103-84,,J. Simmons misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by J. Meeks,,103-84,,
5:34.0,K. Oubre misses 3-pt shot from 25 ft,,103-84,,
5:30.0,Offensive rebound by I. Mahinmi,,103-84,,
5:29.0,Shooting foul by M. Speights (drawn by K. Oubre),,103-84,,
5:29.0,K. Oubre makes free throw 1 of 2,1,104-84,,
5:29.0,,,104-84,,S. Mack enters the game for E. Payton
5:29.0,,,104-84,,W. Iwundu enters the game for D. Augustin
5:29.0,,,104-84,,M. Hezonja enters the game for J. Simmons
5:29.0,K. Oubre makes free throw 2 of 2,1,105-84,,
5:12.0,,,105-86,2,M. Speights makes 2-pt shot from 1 ft (assist by S. Mack)
4:51.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by T. Frazier),2,107-86,,
4:34.0,,,107-86,,Turnover by M. Speights (traveling)
4:22.0,J. Smith makes 2-pt shot from 22 ft (assist by T. Frazier),2,109-86,,
4:04.0,Personal foul by K. Oubre (drawn by M. Hezonja),,109-86,,
4:04.0,,,109-87,1,M. Hezonja makes free throw 1 of 2
4:04.0,,,109-88,1,M. Hezonja makes free throw 2 of 2
3:54.0,J. Smith misses 3-pt shot from 25 ft,,109-88,,
3:51.0,,,109-88,,Defensive rebound by S. Mack
3:41.0,,,109-88,,Turnover by M. Hezonja (lost ball; steal by T. Frazier)
3:37.0,T. Frazier makes 2-pt shot from 1 ft (assist by J. Meeks),2,111-88,,
3:24.0,,,111-88,,S. Mack misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by K. Oubre,,111-88,,
3:06.0,T. Frazier misses 2-pt shot from 16 ft,,111-88,,
3:03.0,,,111-88,,Defensive rebound by K. Birch
2:55.0,,,111-91,3,M. Speights makes 3-pt shot from 26 ft (assist by M. Hezonja)
2:54.0,Washington full timeout,,111-91,,
2:54.0,C. McCullough enters the game for I. Mahinmi,,111-91,,
2:40.0,C. McCullough makes 2-pt shot from 11 ft (assist by T. Frazier),2,113-91,,
2:29.0,Violation by C. McCullough (kicked ball),,113-91,,
2:22.0,,,113-94,3,M. Hezonja makes 3-pt shot from 25 ft (assist by S. Mack)
2:01.0,Shooting foul by M. Speights (drawn by J. Smith),,113-94,,
2:01.0,J. Smith makes free throw 1 of 2,1,114-94,,
2:01.0,J. Smith makes free throw 2 of 2,1,115-94,,
1:49.0,,,115-94,,Turnover by M. Hezonja (lost ball; steal by K. Oubre)
1:33.0,K. Oubre misses 2-pt shot from 15 ft (block by M. Hezonja),,115-94,,
1:29.0,,,115-94,,Defensive rebound by M. Hezonja
1:28.0,,,115-94,,Shooting foul by J. Smith (drawn by M. Hezonja)
1:28.0,,,115-95,1,M. Hezonja makes free throw 1 of 2
1:28.0,,,115-96,1,M. Hezonja makes free throw 2 of 2
1:16.0,Turnover by T. Frazier (bad pass; steal by M. Hezonja),,115-96,,
1:13.0,,,115-98,2,S. Mack makes 2-pt shot from 2 ft (assist by M. Hezonja)
