time,Miami,pts.away,score,pts.home,Houston
7:16.0,D. Jones makes 2-pt shot from 1 ft (assist by H. Whiteside),2,16-9,,
7:04.0,,,16-12,3,T. Ariza makes 3-pt shot from 27 ft (assist by C. Capela)
6:49.0,H. Whiteside makes 2-pt shot from 9 ft,2,18-12,,
6:40.0,,,18-12,,C. Capela misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by D. Jones,,18-12,,
6:31.0,,,18-12,,Personal foul by C. Paul (drawn by H. Whiteside)
6:31.0,,,18-12,,Houston full timeout
6:31.0,,,18-12,,N. Hilario enters the game for R. Anderson
6:31.0,,,18-12,,E. Gordon enters the game for C. Capela
6:31.0,,,18-12,,P. Tucker enters the game for C. Paul
6:27.0,W. Ellington makes 3-pt shot from 25 ft,3,21-12,,
6:03.0,,,21-12,,J. Harden misses 2-pt shot from 13 ft
6:00.0,Defensive rebound by H. Whiteside,,21-12,,
5:49.0,D. Jones misses 3-pt shot from 25 ft,,21-12,,
5:47.0,,,21-12,,Defensive rebound by T. Ariza
5:41.0,,,21-12,,E. Gordon misses 3-pt shot from 26 ft
5:37.0,Defensive rebound by H. Whiteside,,21-12,,
5:25.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,24-12,,
5:08.0,,,24-12,,E. Gordon misses 2-pt shot from 8 ft
5:04.0,,,24-12,,Offensive rebound by N. Hilario
5:04.0,,,24-12,,N. Hilario misses 2-pt shot at rim
5:03.0,Defensive rebound by H. Whiteside,,24-12,,
4:53.0,H. Whiteside misses 2-pt shot from 10 ft,,24-12,,
4:53.0,,,24-12,,Defensive rebound by N. Hilario
4:42.0,,,24-12,,J. Harden misses 2-pt shot from 5 ft
4:40.0,Defensive rebound by D. Jones,,24-12,,
4:32.0,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Jones),2,26-12,,
4:22.0,,,26-15,3,J. Harden makes 3-pt shot from 27 ft (assist by N. Hilario)
4:12.0,Miami full timeout,,26-15,,
4:12.0,,,26-15,,L. Mbah a Moute enters the game for T. Ariza
4:12.0,J. Winslow enters the game for J. Richardson,,26-15,,
3:55.0,D. Jones misses 2-pt shot from 3 ft,,26-15,,
3:53.0,,,26-15,,Defensive rebound by L. Mbah a Moute
3:51.0,Personal foul by J. Winslow (drawn by J. Harden),,26-15,,
3:42.0,,,26-17,2,J. Harden makes 2-pt shot from 2 ft (assist by N. Hilario)
3:42.0,,,26-17,,Shooting foul by D. Jones (drawn by J. Harden)
3:42.0,K. Olynyk enters the game for D. Jones,,26-17,,
3:42.0,D. Walton enters the game for J. Johnson,,26-17,,
3:42.0,,,26-18,1,J. Harden makes free throw 1 of 1
3:19.0,Turnover by H. Whiteside (lost ball; steal by P. Tucker),,26-18,,
3:14.0,,,26-21,3,J. Harden makes 3-pt shot from 27 ft
2:53.0,Turnover by K. Olynyk (lost ball; steal by J. Harden),,26-21,,
2:43.0,,,26-21,,Turnover by J. Harden (bad pass; steal by K. Olynyk)
2:39.0,K. Olynyk makes 2-pt shot from 2 ft,2,28-21,,
2:25.0,,,28-21,,E. Gordon misses 3-pt shot from 27 ft
2:25.0,Defensive rebound by J. Winslow,,28-21,,
2:11.0,,,28-21,,Personal foul by J. Harden (drawn by W. Ellington)
2:11.0,,,28-21,,C. Paul enters the game for J. Harden
2:11.0,J. Richardson enters the game for W. Ellington,,28-21,,
2:11.0,B. Adebayo enters the game for H. Whiteside,,28-21,,
1:59.0,K. Olynyk makes 2-pt shot from 2 ft,2,30-21,,
1:47.0,,,30-23,2,E. Gordon makes 2-pt shot from 8 ft
1:22.0,J. Winslow makes 3-pt shot from 25 ft (assist by D. Walton),3,33-23,,
1:10.0,,,33-23,,L. Mbah a Moute misses 2-pt shot from 3 ft
1:08.0,Defensive rebound by B. Adebayo,,33-23,,
0:49.0,J. Richardson misses 2-pt shot from 21 ft,,33-23,,
0:47.0,,,33-23,,Defensive rebound by C. Paul
0:42.0,,,33-23,,Houston full timeout
0:42.0,,,33-23,,C. Capela enters the game for N. Hilario
0:37.0,,,33-23,,C. Paul misses 2-pt shot from 11 ft
0:33.0,,,33-23,,Offensive rebound by Team
0:30.0,Personal foul by J. Richardson (drawn by E. Gordon),,33-23,,
0:30.0,,,33-24,1,E. Gordon makes free throw 1 of 2
0:30.0,W. Ellington enters the game for J. Richardson,,33-24,,
0:30.0,,,33-25,1,E. Gordon makes free throw 2 of 2
0:17.0,D. Walton misses 3-pt shot from 24 ft,,33-25,,
0:13.0,,,33-25,,Defensive rebound by P. Tucker
0:02.0,,,33-25,,Turnover by C. Paul (bad pass)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,33-27,2,E. Gordon makes 2-pt shot from 6 ft
11:27.0,W. Ellington misses 3-pt shot from 24 ft,,33-27,,
11:25.0,,,33-27,,Defensive rebound by C. Paul
11:10.0,,,33-29,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by C. Capela)
10:59.0,Shooting foul by E. Gordon (drawn by W. Ellington),,33-29,,
10:59.0,W. Ellington makes free throw 1 of 3,1,34-29,,
10:59.0,W. Ellington misses free throw 2 of 3,,34-29,,
10:59.0,Offensive rebound by Team,,34-29,,
10:59.0,W. Ellington makes free throw 3 of 3,1,35-29,,
10:48.0,,,35-29,,R. Anderson misses 3-pt shot from 29 ft
10:45.0,Defensive rebound by W. Ellington,,35-29,,
10:38.0,,,35-29,,Personal foul by E. Gordon (drawn by K. Olynyk)
10:26.0,K. Olynyk misses 3-pt shot from 26 ft,,35-29,,
10:23.0,,,35-29,,Defensive rebound by L. Mbah a Moute
10:18.0,,,35-29,,E. Gordon misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by W. Ellington,,35-29,,
10:03.0,Turnover by K. Olynyk (turnover),,35-29,,
9:56.0,,,35-29,,Shooting foul by B. Adebayo (drawn by C. Capela)
9:56.0,Technical foul by K. Olynyk,,35-29,,
9:56.0,,,35-30,1,C. Paul makes technical free throw
9:56.0,,,35-30,,C. Capela misses free throw 1 of 2
9:56.0,,,35-30,,Offensive rebound by Team
9:56.0,,,35-30,,J. Harden enters the game for E. Gordon
9:56.0,,,35-30,,C. Capela misses free throw 2 of 2
9:56.0,Defensive rebound by K. Olynyk,,35-30,,
9:33.0,B. Adebayo misses 2-pt shot from 3 ft,,35-30,,
9:31.0,,,35-30,,Defensive rebound by C. Capela
9:18.0,,,35-30,,J. Harden misses 3-pt shot from 27 ft
9:12.0,Defensive rebound by D. Walton,,35-30,,
9:08.0,J. Winslow misses 3-pt shot from 25 ft,,35-30,,
9:06.0,,,35-30,,Defensive rebound by C. Paul
9:01.0,Personal foul by J. Winslow (drawn by C. Capela),,35-30,,
9:01.0,,,35-30,,T. Ariza enters the game for C. Capela
9:01.0,J. Richardson enters the game for W. Ellington,,35-30,,
8:49.0,,,35-30,,Turnover by C. Paul (lost ball; steal by D. Walton)
8:45.0,B. Adebayo makes 2-pt shot at rim,2,37-30,,
8:20.0,,,37-30,,J. Harden misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by D. Walton,,37-30,,
7:55.0,Turnover by Team (shot clock),,37-30,,
7:41.0,,,37-30,,Offensive foul by L. Mbah a Moute (drawn by D. Walton)
7:41.0,,,37-30,,Turnover by L. Mbah a Moute (offensive foul)
7:41.0,,,37-30,,P. Tucker enters the game for L. Mbah a Moute
7:17.0,D. Walton misses 3-pt shot from 27 ft,,37-30,,
7:17.0,Offensive rebound by Team,,37-30,,
7:17.0,Turnover by Team (shot clock),,37-30,,
7:00.0,,,37-30,,J. Harden misses 3-pt shot from 27 ft
6:59.0,Defensive rebound by Team,,37-30,,
6:59.0,,,37-30,,Houston full timeout
6:59.0,J. Johnson enters the game for K. Olynyk,,37-30,,
6:59.0,H. Whiteside enters the game for B. Adebayo,,37-30,,
6:43.0,J. Richardson misses 2-pt shot from 5 ft (block by J. Harden),,37-30,,
6:43.0,Offensive rebound by Team,,37-30,,
6:37.0,D. Walton makes 3-pt shot from 27 ft,3,40-30,,
6:18.0,,,40-33,3,R. Anderson makes 3-pt shot from 29 ft (assist by C. Paul)
6:02.0,J. Richardson makes 2-pt shot from 19 ft (assist by J. Johnson),2,42-33,,
5:42.0,,,42-36,3,P. Tucker makes 3-pt shot from 24 ft (assist by C. Paul)
5:24.0,J. Johnson misses 2-pt shot from 1 ft,,42-36,,
5:19.0,,,42-36,,Defensive rebound by C. Paul
5:05.0,,,42-36,,C. Paul misses 3-pt shot from 27 ft
5:02.0,Defensive rebound by J. Winslow,,42-36,,
4:52.0,Turnover by H. Whiteside (bad pass; steal by J. Harden),,42-36,,
4:45.0,,,42-39,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
4:44.0,Miami full timeout,,42-39,,
4:44.0,,,42-39,,E. Gordon enters the game for C. Paul
4:44.0,W. Ellington enters the game for D. Walton,,42-39,,
4:33.0,,,42-39,,Personal foul by T. Ariza (drawn by J. Johnson)
4:26.0,W. Ellington misses 3-pt shot from 26 ft,,42-39,,
4:23.0,,,42-39,,Defensive rebound by E. Gordon
4:16.0,,,42-39,,T. Ariza misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by Team,,42-39,,
4:14.0,,,42-39,,Loose ball foul by R. Anderson (drawn by H. Whiteside)
4:02.0,Offensive foul by H. Whiteside (drawn by J. Harden),,42-39,,
4:02.0,Turnover by H. Whiteside (offensive foul),,42-39,,
3:48.0,,,42-39,,Turnover by J. Harden (bad pass)
3:42.0,J. Johnson makes 2-pt shot from 1 ft,2,44-39,,
3:28.0,,,44-41,2,J. Harden makes 2-pt shot from 3 ft
3:01.0,J. Johnson misses 2-pt shot from 9 ft,,44-41,,
2:57.0,,,44-41,,Defensive rebound by J. Harden
2:54.0,,,44-44,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
2:39.0,J. Johnson misses 3-pt shot from 26 ft,,44-44,,
2:36.0,,,44-44,,Defensive rebound by R. Anderson
2:29.0,,,44-44,,R. Anderson misses 3-pt shot from 27 ft
2:25.0,Defensive rebound by J. Johnson,,44-44,,
2:15.0,J. Johnson makes 2-pt shot from 3 ft,2,46-44,,
1:56.0,,,46-44,,J. Harden misses 2-pt shot from 4 ft
1:52.0,Defensive rebound by H. Whiteside,,46-44,,
1:47.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,48-44,,
1:31.0,,,48-44,,E. Gordon misses 2-pt shot from 22 ft
1:31.0,Defensive rebound by Team,,48-44,,
1:31.0,,,48-44,,L. Mbah a Moute enters the game for P. Tucker
1:31.0,,,48-44,,C. Paul enters the game for J. Harden
1:31.0,D. Jones enters the game for J. Richardson,,48-44,,
1:17.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Johnson),2,50-44,,
1:03.0,,,50-46,2,E. Gordon makes 2-pt shot from 3 ft
0:44.0,J. Johnson misses 2-pt shot from 4 ft,,50-46,,
0:40.0,Offensive rebound by H. Whiteside,,50-46,,
0:37.0,W. Ellington misses 3-pt shot from 26 ft,,50-46,,
0:34.0,Offensive rebound by D. Jones,,50-46,,
0:33.0,D. Jones misses 2-pt shot from 2 ft,,50-46,,
0:29.0,Offensive rebound by J. Winslow,,50-46,,
0:17.0,H. Whiteside misses 2-pt shot from 2 ft,,50-46,,
0:14.0,Offensive rebound by J. Johnson,,50-46,,
0:00.0,J. Johnson misses 2-pt shot from 11 ft,,50-46,,
0:00.0,Offensive rebound by Team,,50-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,50-46,,J. Harden misses 2-pt shot from 22 ft
11:45.0,Defensive rebound by W. Ellington,,50-46,,
11:32.0,D. Jones makes 2-pt shot from 6 ft,2,52-46,,
11:09.0,Personal foul by J. Johnson (drawn by C. Paul),,52-46,,
10:54.0,,,52-46,,R. Anderson misses 3-pt shot from 30 ft
10:51.0,Defensive rebound by H. Whiteside,,52-46,,
10:42.0,Turnover by H. Whiteside (lost ball; steal by C. Capela),,52-46,,
10:36.0,,,52-48,2,J. Harden makes 2-pt shot from 2 ft
10:15.0,W. Ellington misses 3-pt shot from 27 ft,,52-48,,
10:11.0,,,52-48,,Defensive rebound by T. Ariza
9:56.0,,,52-50,2,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul)
9:56.0,,,52-50,,Shooting foul by J. Johnson (drawn by C. Capela)
9:56.0,,,52-50,,C. Capela misses free throw 1 of 1
9:53.0,,,52-50,,Offensive rebound by T. Ariza
9:43.0,,,52-52,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
9:27.0,,,52-52,,Personal foul by C. Capela (drawn by H. Whiteside)
9:20.0,H. Whiteside misses 2-pt shot from 8 ft,,52-52,,
9:16.0,Offensive rebound by H. Whiteside,,52-52,,
9:11.0,J. Richardson makes 3-pt shot from 27 ft,3,55-52,,
9:05.0,,,55-52,,C. Paul misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by H. Whiteside,,55-52,,
8:47.0,J. Richardson misses 2-pt shot from 22 ft,,55-52,,
8:43.0,,,55-52,,Defensive rebound by C. Paul
8:34.0,,,55-55,3,J. Harden makes 3-pt shot from 26 ft
8:18.0,Turnover by J. Richardson (bad pass; steal by C. Paul),,55-55,,
8:17.0,Personal foul by H. Whiteside (drawn by C. Paul),,55-55,,
8:11.0,,,55-55,,Offensive charge foul by R. Anderson (drawn by D. Jones)
8:11.0,,,55-55,,Turnover by R. Anderson (offensive foul)
7:59.0,Turnover by J. Johnson (out of bounds lost ball),,55-55,,
7:50.0,,,55-57,2,C. Paul makes 2-pt shot from 11 ft
7:28.0,J. Richardson makes 2-pt shot from 3 ft,2,57-57,,
7:17.0,,,57-57,,C. Paul misses 2-pt shot from 9 ft
7:13.0,Defensive rebound by J. Johnson,,57-57,,
7:08.0,J. Richardson misses 3-pt shot from 27 ft,,57-57,,
7:05.0,,,57-57,,Defensive rebound by J. Harden
6:59.0,,,57-57,,J. Harden misses 3-pt shot from 25 ft
6:57.0,,,57-57,,Offensive rebound by C. Capela
6:55.0,,,57-57,,C. Capela misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by H. Whiteside,,57-57,,
6:52.0,Turnover by J. Johnson (turnover),,57-57,,
6:52.0,Loose ball foul by J. Johnson (drawn by J. Harden),,57-57,,
6:52.0,,,57-57,,Houston full timeout
6:52.0,,,57-57,,E. Gordon enters the game for T. Ariza
6:52.0,,,57-57,,L. Mbah a Moute enters the game for C. Paul
6:52.0,,,57-57,,N. Hilario enters the game for R. Anderson
6:52.0,,,57-57,,P. Tucker enters the game for C. Capela
6:32.0,,,57-57,,J. Harden misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by H. Whiteside,,57-57,,
6:09.0,J. Johnson misses 3-pt shot from 25 ft,,57-57,,
6:09.0,Offensive rebound by D. Jones,,57-57,,
6:04.0,W. Ellington misses 3-pt shot from 26 ft,,57-57,,
6:04.0,,,57-57,,Defensive rebound by E. Gordon
5:55.0,,,57-57,,J. Harden misses 3-pt shot from 25 ft
5:55.0,,,57-57,,Offensive rebound by N. Hilario
5:45.0,,,57-57,,Turnover by L. Mbah a Moute (bad pass; steal by D. Jones)
5:39.0,J. Richardson misses 2-pt shot from 18 ft,,57-57,,
5:29.0,,,57-57,,Defensive rebound by N. Hilario
5:26.0,,,57-57,,E. Gordon misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by H. Whiteside,,57-57,,
5:10.0,Turnover by H. Whiteside (turnover),,57-57,,
5:10.0,J. Winslow enters the game for J. Richardson,,57-57,,
5:02.0,,,57-57,,Shooting foul by H. Whiteside (drawn by N. Hilario)
5:02.0,,,57-58,1,N. Hilario makes free throw 1 of 2
5:02.0,,,57-59,1,N. Hilario makes free throw 2 of 2
4:41.0,H. Whiteside makes 2-pt shot from 7 ft,2,59-59,,
4:29.0,,,59-59,,J. Harden misses 2-pt shot from 7 ft
4:27.0,,,59-59,,Offensive rebound by N. Hilario
4:24.0,,,59-62,3,J. Harden makes 3-pt shot from 23 ft (assist by N. Hilario)
4:03.0,J. Winslow makes 2-pt shot from 3 ft,2,61-62,,
4:03.0,Shooting foul by N. Hilario (drawn by J. Winslow),,61-62,,
4:03.0,K. Olynyk enters the game for J. Johnson,,61-62,,
4:03.0,J. Winslow misses free throw 1 of 1,,61-62,,
4:00.0,,,61-62,,Defensive rebound by P. Tucker
3:56.0,,,61-62,,J. Harden misses 3-pt shot from 28 ft
3:55.0,Defensive rebound by Team,,61-62,,
3:43.0,K. Olynyk misses 3-pt shot from 27 ft,,61-62,,
3:43.0,,,61-62,,Defensive rebound by Team
3:21.0,Personal block foul by H. Whiteside (drawn by N. Hilario),,61-62,,
3:21.0,,,61-62,,N. Hilario misses free throw 1 of 2
3:21.0,,,61-62,,Offensive rebound by Team
3:21.0,B. Adebayo enters the game for H. Whiteside,,61-62,,
3:21.0,,,61-62,,N. Hilario misses free throw 2 of 2
3:18.0,Defensive rebound by J. Winslow,,61-62,,
3:10.0,K. Olynyk misses 3-pt shot from 26 ft,,61-62,,
3:07.0,,,61-62,,Defensive rebound by L. Mbah a Moute
3:01.0,,,61-62,,J. Harden misses 2-pt shot from 4 ft (block by D. Jones)
3:01.0,,,61-62,,Offensive rebound by Team
3:01.0,,,61-62,,C. Paul enters the game for J. Harden
3:01.0,,,61-62,,C. Capela enters the game for N. Hilario
2:55.0,,,61-62,,C. Paul misses 2-pt shot from 15 ft
2:52.0,Defensive rebound by K. Olynyk,,61-62,,
2:38.0,K. Olynyk misses 2-pt shot from 8 ft (block by L. Mbah a Moute),,61-62,,
2:36.0,,,61-62,,Defensive rebound by L. Mbah a Moute
2:26.0,,,61-62,,E. Gordon misses 3-pt shot from 27 ft
2:22.0,Defensive rebound by B. Adebayo,,61-62,,
2:18.0,Miami full timeout,,61-62,,
2:03.0,J. Winslow misses 2-pt shot from 7 ft,,61-62,,
2:01.0,Offensive rebound by B. Adebayo,,61-62,,
2:01.0,,,61-62,,Personal foul by C. Capela (drawn by B. Adebayo)
1:49.0,J. Winslow makes 2-pt shot from 3 ft (assist by K. Olynyk),2,63-62,,
1:32.0,,,63-64,2,E. Gordon makes 2-pt shot from 2 ft
1:28.0,Turnover by D. Jones (bad pass; steal by C. Paul),,63-64,,
1:20.0,,,63-67,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon)
0:59.0,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo),3,66-67,,
0:51.0,Personal foul by D. Jones (drawn by E. Gordon),,66-67,,
0:51.0,,,66-68,1,E. Gordon makes free throw 1 of 2
0:51.0,J. Richardson enters the game for D. Jones,,66-68,,
0:51.0,,,66-69,1,E. Gordon makes free throw 2 of 2
0:35.0,W. Ellington makes 2-pt shot from 20 ft (assist by B. Adebayo),2,68-69,,
0:30.0,,,68-71,2,C. Paul makes 2-pt shot from 16 ft
0:07.0,J. Richardson misses 3-pt shot from 25 ft,,68-71,,
0:02.0,,,68-71,,Defensive rebound by P. Tucker
0:00.0,,,68-71,,C. Paul misses 2-pt shot from 2 ft (block by J. Richardson)
0:00.0,,,68-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,B. Adebayo makes 2-pt shot from 4 ft (assist by J. Winslow),2,70-71,,
11:41.0,,,70-71,,Turnover by E. Gordon (traveling)
11:23.0,J. Richardson makes 3-pt shot from 26 ft,3,73-71,,
11:05.0,,,73-73,2,E. Gordon makes 2-pt shot from 9 ft
10:50.0,J. Richardson misses 2-pt shot from 20 ft,,73-73,,
10:47.0,,,73-73,,Defensive rebound by C. Capela
10:34.0,,,73-76,3,C. Paul makes 3-pt shot from 26 ft
10:18.0,K. Olynyk makes 2-pt shot from 5 ft (assist by J. Winslow),2,75-76,,
9:58.0,,,75-76,,E. Gordon misses 3-pt shot from 27 ft
9:53.0,Defensive rebound by B. Adebayo,,75-76,,
9:51.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Winslow),2,77-76,,
9:29.0,,,77-78,2,E. Gordon makes 2-pt shot from 1 ft (assist by R. Anderson)
9:12.0,K. Olynyk makes 2-pt shot from 1 ft,2,79-78,,
8:55.0,,,79-78,,E. Gordon misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by W. Ellington,,79-78,,
8:34.0,Turnover by K. Olynyk (bad pass),,79-78,,
8:34.0,,,79-78,,P. Tucker enters the game for C. Capela
8:34.0,D. Jones enters the game for W. Ellington,,79-78,,
8:17.0,,,79-81,3,C. Paul makes 3-pt shot from 26 ft
7:54.0,Turnover by J. Richardson (lost ball; steal by T. Ariza),,79-81,,
7:49.0,,,79-81,,P. Tucker misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by J. Richardson,,79-81,,
7:36.0,Miami full timeout,,79-81,,
7:36.0,,,79-81,,J. Harden enters the game for E. Gordon
7:25.0,J. Richardson makes 2-pt shot from 22 ft,2,81-81,,
7:09.0,,,81-81,,Turnover by J. Harden (bad pass; steal by J. Richardson)
7:09.0,,,81-81,,Personal foul by R. Anderson (drawn by J. Richardson)
6:58.0,K. Olynyk misses 3-pt shot from 27 ft,,81-81,,
6:55.0,,,81-81,,Defensive rebound by R. Anderson
6:55.0,,,81-81,,Turnover by J. Harden (out of bounds lost ball)
6:37.0,Shooting foul by P. Tucker (drawn by K. Olynyk),,81-81,,
6:37.0,K. Olynyk makes free throw 1 of 3,1,82-81,,
6:37.0,K. Olynyk makes free throw 2 of 2,1,83-81,,
6:26.0,,,83-81,,R. Anderson misses 2-pt shot from 11 ft
6:22.0,Defensive rebound by B. Adebayo,,83-81,,
6:09.0,J. Winslow misses 3-pt shot from 23 ft,,83-81,,
6:03.0,,,83-81,,Defensive rebound by T. Ariza
5:55.0,,,83-81,,C. Paul misses 2-pt shot from 3 ft
5:52.0,,,83-81,,Offensive rebound by C. Paul
5:49.0,,,83-84,3,P. Tucker makes 3-pt shot from 24 ft (assist by J. Harden)
5:31.0,Shooting foul by P. Tucker (drawn by B. Adebayo),,83-84,,
5:31.0,B. Adebayo misses free throw 1 of 2,,83-84,,
5:31.0,Offensive rebound by Team,,83-84,,
5:31.0,,,83-84,,C. Capela enters the game for T. Ariza
5:31.0,,,83-84,,L. Mbah a Moute enters the game for R. Anderson
5:31.0,W. Ellington enters the game for K. Olynyk,,83-84,,
5:31.0,J. Johnson enters the game for J. Winslow,,83-84,,
5:31.0,B. Adebayo makes free throw 2 of 2,1,84-84,,
5:17.0,,,84-86,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
5:15.0,Miami full timeout,,84-86,,
5:15.0,,,84-86,,E. Gordon enters the game for C. Paul
5:15.0,H. Whiteside enters the game for B. Adebayo,,84-86,,
5:02.0,H. Whiteside misses 2-pt shot from 6 ft,,84-86,,
4:57.0,Offensive rebound by D. Jones,,84-86,,
4:46.0,H. Whiteside makes 2-pt shot from 8 ft,2,86-86,,
4:25.0,,,86-86,,P. Tucker misses 2-pt shot from 5 ft
4:23.0,,,86-86,,Offensive rebound by C. Capela
4:23.0,,,86-88,2,C. Capela makes 2-pt shot at rim
4:09.0,J. Johnson makes 2-pt shot from 2 ft,2,88-88,,
4:09.0,,,88-88,,Houston full timeout
4:09.0,,,88-88,,C. Paul enters the game for P. Tucker
3:47.0,,,88-88,,J. Harden misses 2-pt shot from 7 ft
3:43.0,Defensive rebound by J. Richardson,,88-88,,
3:33.0,W. Ellington misses 3-pt shot from 31 ft,,88-88,,
3:31.0,,,88-88,,Defensive rebound by Team
3:06.0,,,88-91,3,J. Harden makes 3-pt shot from 29 ft (assist by C. Paul)
2:48.0,J. Johnson makes 2-pt shot from 3 ft,2,90-91,,
2:25.0,,,90-93,2,J. Harden makes 2-pt shot from 13 ft
2:04.0,Turnover by H. Whiteside (lost ball; steal by C. Paul),,90-93,,
2:04.0,Loose ball foul by H. Whiteside (drawn by C. Paul),,90-93,,
1:54.0,Personal foul by J. Johnson (drawn by J. Harden),,90-93,,
1:42.0,,,90-93,,J. Harden misses 3-pt shot from 27 ft (block by D. Jones)
1:42.0,Defensive rebound by H. Whiteside,,90-93,,
1:42.0,Turnover by H. Whiteside (lost ball; steal by L. Mbah a Moute),,90-93,,
1:17.0,,,90-93,,J. Harden misses 2-pt shot from 15 ft
1:12.0,Defensive rebound by J. Richardson,,90-93,,
1:01.0,W. Ellington misses 2-pt shot from 6 ft,,90-93,,
0:58.0,,,90-93,,Defensive rebound by L. Mbah a Moute
0:39.0,,,90-95,2,C. Paul makes 2-pt shot from 17 ft
0:38.0,Miami full timeout,,90-95,,
0:32.0,J. Johnson misses 3-pt shot from 25 ft,,90-95,,
0:32.0,Offensive rebound by H. Whiteside,,90-95,,
0:28.0,H. Whiteside misses 2-pt shot from 3 ft (block by J. Harden),,90-95,,
0:28.0,,,90-95,,Defensive rebound by C. Capela
0:18.0,,,90-97,2,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon)
0:18.0,Miami full timeout,,90-97,,
0:18.0,K. Olynyk enters the game for H. Whiteside,,90-97,,
0:15.0,J. Johnson misses 3-pt shot from 23 ft,,90-97,,
0:14.0,,,90-97,,Defensive rebound by C. Capela
0:14.0,Personal foul by J. Richardson (drawn by C. Capela),,90-97,,
