time,Phoenix,pts.away,score,pts.home,Milwaukee
3:52.0,J. Dudley enters the game for D. Booker,,18-20,,
3:52.0,T. Daniels enters the game for D. Bender,,18-20,,
3:25.0,A. Len makes 2-pt shot from 1 ft (assist by J. Dudley),2,20-20,,
3:15.0,,,20-22,2,K. Middleton makes 2-pt shot from 10 ft
3:09.0,T. Warren makes 2-pt shot from 1 ft,2,22-22,,
2:51.0,,,22-22,,M. Dellavedova misses 2-pt shot from 8 ft
2:48.0,Defensive rebound by A. Len,,22-22,,
2:36.0,J. Dudley makes 2-pt shot from 1 ft (assist by T. Warren),2,24-22,,
2:13.0,,,24-24,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:01.0,,,24-24,,Personal foul by M. Brogdon (drawn by T. Daniels)
2:01.0,,,24-24,,J. Terry enters the game for M. Brogdon
1:50.0,Turnover by A. Len (bad pass),,24-24,,
1:27.0,,,24-26,2,K. Middleton makes 2-pt shot from 13 ft
1:15.0,T. Daniels misses 3-pt shot from 26 ft,,24-26,,
1:15.0,Offensive rebound by Team,,24-26,,
1:15.0,,,24-26,,Loose ball foul by T. Maker (drawn by A. Len)
1:15.0,J. Jackson enters the game for T. Warren,,24-26,,
1:11.0,J. Jackson makes 2-pt shot at rim (assist by J. Dudley),2,26-26,,
0:52.0,,,26-28,2,K. Middleton makes 2-pt shot from 18 ft (assist by M. Dellavedova)
0:44.0,Turnover by J. Dudley (bad pass),,26-28,,
0:31.0,,,26-30,2,K. Middleton makes 2-pt shot from 12 ft
0:11.0,,,26-30,,Violation by T. Maker (kicked ball)
0:01.0,J. Jackson misses 3-pt shot from 26 ft,,26-30,,
0:01.0,Offensive rebound by Team,,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,I. Canaan makes 3-pt shot from 28 ft (assist by J. Dudley),3,29-30,,
11:25.0,,,29-30,,T. Maker misses 2-pt shot from 13 ft
11:22.0,Defensive rebound by J. Jackson,,29-30,,
11:08.0,A. Len misses 2-pt shot from 1 ft (block by T. Maker),,29-30,,
11:05.0,,,29-30,,Defensive rebound by M. Dellavedova
11:01.0,,,29-30,,S. Brown misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by Team,,29-30,,
10:50.0,J. Jackson misses 3-pt shot from 26 ft,,29-30,,
10:48.0,,,29-30,,Defensive rebound by Team
10:27.0,,,29-30,,S. Brown misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by A. Len,,29-30,,
10:07.0,J. Dudley makes 3-pt shot from 26 ft (assist by I. Canaan),3,32-30,,
9:52.0,,,32-30,,Shooting foul by A. Len (drawn by T. Maker)
9:52.0,,,32-31,1,T. Maker makes free throw 1 of 2
9:52.0,,,32-31,,T. Maker misses free throw 2 of 2
9:49.0,Defensive rebound by T. Daniels,,32-31,,
9:27.0,Turnover by Team (shot clock),,32-31,,
9:13.0,,,32-31,,Offensive foul by T. Maker (drawn by I. Canaan)
9:13.0,,,32-31,,Turnover by T. Maker (offensive foul)
8:59.0,Turnover by A. Len (bad pass),,32-31,,
8:59.0,,,32-31,,M. Plumlee enters the game for T. Maker
8:49.0,Personal foul by I. Canaan (drawn by M. Dellavedova),,32-31,,
8:49.0,,,32-31,,M. Brogdon enters the game for J. Terry
8:49.0,D. Booker enters the game for T. Daniels,,32-31,,
8:42.0,,,32-31,,Shooting foul by J. Jackson (drawn by M. Plumlee)
8:42.0,,,32-32,1,M. Plumlee makes free throw 1 of 2
8:42.0,G. Monroe enters the game for A. Len,,32-32,,
8:42.0,,,32-33,1,M. Plumlee makes free throw 2 of 2
8:21.0,G. Monroe makes 2-pt shot at rim (assist by J. Dudley),2,34-33,,
8:05.0,,,34-33,,Turnover by M. Dellavedova (bad pass; steal by J. Dudley)
8:01.0,D. Booker makes 2-pt shot at rim (assist by J. Dudley),2,36-33,,
7:51.0,,,36-35,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
7:51.0,Violation by J. Jackson (def goaltending),,36-35,,
7:37.0,,,36-35,,Personal foul by M. Plumlee (drawn by G. Monroe)
7:37.0,,,36-35,,E. Bledsoe enters the game for M. Dellavedova
7:31.0,,,36-35,,Def 3 sec tech foul by E. Bledsoe
7:31.0,D. Booker makes technical free throw,1,37-35,,
7:21.0,J. Jackson misses 2-pt shot from 1 ft,,37-35,,
7:18.0,,,37-35,,Defensive rebound by M. Brogdon
7:17.0,,,37-37,2,E. Bledsoe makes 2-pt shot at rim
7:17.0,,,37-37,,Shooting foul by J. Jackson (drawn by E. Bledsoe)
7:17.0,T. Warren enters the game for J. Jackson,,37-37,,
7:17.0,,,37-38,1,E. Bledsoe makes free throw 1 of 1
7:02.0,D. Booker misses 3-pt shot from 27 ft,,37-38,,
6:59.0,,,37-38,,Defensive rebound by M. Plumlee
6:47.0,,,37-38,,E. Bledsoe misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by Team,,37-38,,
6:45.0,,,37-38,,Loose ball foul by M. Plumlee (drawn by D. Booker)
6:45.0,,,37-38,,Milwaukee full timeout
6:45.0,,,37-38,,K. Middleton enters the game for T. Snell
6:45.0,D. Bender enters the game for J. Dudley,,37-38,,
6:35.0,Jump ball: M. Brogdon vs. D. Booker,,,,Jump ball: M. Brogdon vs. D. Booker
6:23.0,G. Monroe makes 2-pt shot at rim (assist by I. Canaan),2,39-38,,
6:08.0,,,39-41,3,M. Brogdon makes 3-pt shot from 22 ft (assist by E. Bledsoe)
5:52.0,Turnover by D. Booker (bad pass; steal by K. Middleton),,39-41,,
5:49.0,,,39-43,2,K. Middleton makes 2-pt shot from 1 ft
5:46.0,,,39-43,,Personal foul by M. Brogdon (drawn by D. Booker)
5:46.0,,,39-43,,J. Henson enters the game for M. Plumlee
5:39.0,I. Canaan misses 2-pt shot from 2 ft,,39-43,,
5:35.0,Offensive rebound by I. Canaan,,39-43,,
5:34.0,I. Canaan misses 2-pt shot from 1 ft,,39-43,,
5:34.0,,,39-43,,Defensive rebound by K. Middleton
5:24.0,,,39-43,,J. Henson misses 2-pt shot from 5 ft
5:23.0,,,39-43,,Offensive rebound by Team
5:23.0,T. Ulis enters the game for I. Canaan,,39-43,,
5:10.0,,,39-45,2,M. Brogdon makes 2-pt shot from 1 ft
4:52.0,Turnover by D. Booker (bad pass; steal by K. Middleton),,39-45,,
4:48.0,,,39-45,,K. Middleton misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by D. Bender,,39-45,,
4:31.0,G. Monroe makes 2-pt shot from 2 ft,2,41-45,,
4:15.0,,,41-45,,S. Brown misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by D. Booker,,41-45,,
4:07.0,G. Monroe makes 2-pt shot at rim (assist by D. Bender),2,43-45,,
4:07.0,,,43-45,,Milwaukee full timeout
3:54.0,,,43-45,,Shooting foul by T. Ulis (drawn by E. Bledsoe)
3:54.0,,,43-45,,E. Bledsoe misses free throw 1 of 2
3:54.0,,,43-45,,Offensive rebound by Team
3:54.0,,,43-46,1,E. Bledsoe makes free throw 2 of 2
3:41.0,Shooting foul by M. Brogdon (drawn by D. Booker),,43-46,,
3:41.0,D. Booker makes free throw 2 of 2,1,44-46,,
3:41.0,D. Booker makes free throw 1 of 2,1,45-46,,
3:41.0,,,45-46,,T. Snell enters the game for M. Brogdon
3:28.0,Def 3 sec tech foul by D. Booker,,45-46,,
3:28.0,,,45-47,1,K. Middleton makes technical free throw
3:26.0,,,45-47,,Shooting foul by T. Ulis (drawn by E. Bledsoe)
3:26.0,,,45-48,1,E. Bledsoe makes free throw 1 of 2
3:26.0,I. Canaan enters the game for T. Ulis,,45-48,,
3:26.0,,,45-48,,E. Bledsoe misses free throw 2 of 2
3:23.0,,,45-48,,Offensive rebound by K. Middleton
3:04.0,,,45-48,,J. Henson misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by G. Monroe,,45-48,,
2:59.0,,,45-48,,Personal foul by T. Snell (drawn by D. Booker)
2:59.0,,,45-48,,Milwaukee full timeout
2:59.0,,,45-48,,J. Terry enters the game for T. Snell
2:59.0,D. Booker makes free throw 1 of 2,1,46-48,,
2:59.0,D. Booker makes free throw 2 of 2,1,47-48,,
2:45.0,,,47-48,,K. Middleton misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by D. Booker,,47-48,,
2:30.0,Turnover by G. Monroe (bad pass; steal by J. Henson),,47-48,,
2:24.0,,,47-48,,Turnover by E. Bledsoe (bad pass; steal by G. Monroe)
2:19.0,,,47-48,,Personal foul by J. Terry (drawn by D. Booker)
2:19.0,D. Booker makes free throw 1 of 2,1,48-48,,
2:19.0,D. Booker makes free throw 2 of 2,1,49-48,,
2:04.0,,,49-48,,E. Bledsoe misses 2-pt shot from 4 ft
2:04.0,,,49-48,,Offensive rebound by E. Bledsoe
1:58.0,,,49-50,2,S. Brown makes 2-pt shot at rim (assist by E. Bledsoe)
1:32.0,D. Bender makes 2-pt shot from 1 ft (assist by I. Canaan),2,51-50,,
1:09.0,,,51-50,,Shooting foul by G. Monroe (drawn by E. Bledsoe)
1:09.0,,,51-50,,E. Bledsoe misses free throw 1 of 2
1:09.0,,,51-50,,Offensive rebound by Team
1:09.0,A. Len enters the game for G. Monroe,,51-50,,
1:09.0,,,51-51,1,E. Bledsoe makes free throw 2 of 2
1:01.0,,,51-51,,Violation by E. Bledsoe (kicked ball)
0:55.0,T. Warren misses 2-pt shot from 1 ft,,51-51,,
0:53.0,,,51-51,,Defensive rebound by J. Henson
0:44.0,,,51-51,,Turnover by J. Henson (traveling)
0:32.0,D. Booker misses 2-pt shot from 14 ft,,51-51,,
0:30.0,,,51-51,,Defensive rebound by E. Bledsoe
0:18.0,,,51-53,2,E. Bledsoe makes 2-pt shot from 1 ft
0:02.0,I. Canaan misses 2-pt shot from 1 ft,,51-53,,
0:01.0,Offensive rebound by A. Len,,51-53,,
0:01.0,,,51-53,,Personal foul by S. Brown (drawn by A. Len)
0:01.0,A. Len makes free throw 1 of 2,1,52-53,,
0:01.0,A. Len makes free throw 2 of 2,1,53-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by G. Monroe (lost ball; steal by E. Bledsoe),,53-53,,
11:46.0,,,53-55,2,E. Bledsoe makes 2-pt shot at rim
11:46.0,,,53-55,,Shooting foul by D. Bender (drawn by E. Bledsoe)
11:46.0,,,53-56,1,E. Bledsoe makes free throw 1 of 1
11:25.0,T. Warren misses 3-pt shot from 23 ft,,53-56,,
11:21.0,,,53-56,,Defensive rebound by J. Henson
11:07.0,,,53-58,2,K. Middleton makes 2-pt shot from 4 ft (assist by E. Bledsoe)
10:48.0,T. Warren makes 2-pt shot from 1 ft (assist by G. Monroe),2,55-58,,
10:48.0,Shooting foul by S. Brown (drawn by T. Warren),,55-58,,
10:48.0,T. Warren makes free throw 1 of 1,1,56-58,,
10:32.0,,,56-60,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
10:12.0,Turnover by G. Monroe (bad pass; steal by E. Bledsoe),,56-60,,
10:05.0,,,56-60,,E. Bledsoe misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by G. Monroe,,56-60,,
9:48.0,Turnover by G. Monroe (lost ball; steal by E. Bledsoe),,56-60,,
9:48.0,Personal foul by T. Ulis (drawn by E. Bledsoe),,56-60,,
9:34.0,,,56-60,,J. Henson misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by D. Bender,,56-60,,
9:15.0,Turnover by D. Bender (bad pass),,56-60,,
8:52.0,,,56-60,,E. Bledsoe misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by D. Bender,,56-60,,
8:39.0,T. Warren misses 2-pt shot from 3 ft,,56-60,,
8:37.0,,,56-60,,Defensive rebound by S. Brown
8:29.0,,,56-60,,Turnover by M. Brogdon (turnover)
8:29.0,J. Jackson enters the game for T. Warren,,56-60,,
8:13.0,D. Booker misses 2-pt shot from 11 ft,,56-60,,
8:11.0,,,56-60,,Defensive rebound by S. Brown
8:10.0,,,56-60,,Turnover by S. Brown (bad pass; steal by D. Booker)
8:06.0,G. Monroe makes 2-pt shot at rim (assist by D. Booker),2,58-60,,
7:49.0,Personal foul by J. Jackson (drawn by M. Brogdon),,58-60,,
7:44.0,,,58-63,3,M. Brogdon makes 3-pt shot from 25 ft (assist by E. Bledsoe)
7:30.0,D. Booker misses 2-pt shot from 2 ft (block by M. Brogdon),,58-63,,
7:30.0,Offensive rebound by Team,,58-63,,
7:27.0,G. Monroe misses 2-pt shot from 6 ft,,58-63,,
7:24.0,,,58-63,,Defensive rebound by E. Bledsoe
7:05.0,,,58-65,2,M. Brogdon makes 2-pt shot at rim
6:44.0,D. Booker misses 3-pt shot from 23 ft,,58-65,,
6:40.0,,,58-65,,Defensive rebound by K. Middleton
6:38.0,,,58-65,,Turnover by E. Bledsoe (bad pass; steal by T. Ulis)
6:33.0,J. Jackson makes 2-pt shot at rim (assist by T. Ulis),2,60-65,,
6:30.0,Technical foul by J. Jackson,,60-65,,
6:30.0,,,60-65,,K. Middleton misses technical free throw
6:30.0,,,60-65,,Offensive rebound by Team
6:30.0,,,60-65,,Milwaukee full timeout
6:30.0,,,60-65,,T. Snell enters the game for S. Brown
6:13.0,,,60-67,2,M. Brogdon makes 2-pt shot at rim
5:51.0,Shooting foul by J. Henson (drawn by D. Booker),,60-67,,
5:51.0,D. Booker makes free throw 1 of 2,1,61-67,,
5:51.0,D. Booker makes free throw 2 of 2,1,62-67,,
5:27.0,,,62-67,,Turnover by M. Brogdon (bad pass)
5:27.0,I. Canaan enters the game for T. Ulis,,62-67,,
5:08.0,,,62-67,,Personal foul by J. Henson (drawn by G. Monroe)
5:01.0,J. Jackson misses 3-pt shot from 26 ft,,62-67,,
4:58.0,,,62-67,,Defensive rebound by K. Middleton
4:40.0,,,62-67,,K. Middleton misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by I. Canaan,,62-67,,
4:28.0,Shooting foul by T. Snell (drawn by J. Jackson),,62-67,,
4:28.0,J. Jackson misses free throw 1 of 2,,62-67,,
4:28.0,Offensive rebound by Team,,62-67,,
4:28.0,,,62-67,,M. Dellavedova enters the game for E. Bledsoe
4:28.0,J. Jackson makes free throw 2 of 2,1,63-67,,
4:05.0,,,63-67,,Turnover by M. Brogdon (bad pass; steal by D. Booker)
4:01.0,D. Booker misses 3-pt shot from 25 ft,,63-67,,
4:01.0,Offensive rebound by Team,,63-67,,
4:01.0,,,63-67,,Loose ball foul by K. Middleton (drawn by J. Jackson)
4:01.0,J. Jackson misses free throw 1 of 2,,63-67,,
4:01.0,Offensive rebound by Team,,63-67,,
4:01.0,J. Jackson makes free throw 2 of 2,1,64-67,,
3:54.0,,,64-67,,Shooting foul by J. Jackson (drawn by K. Middleton)
3:54.0,,,64-68,1,K. Middleton makes free throw 1 of 2
3:54.0,T. Daniels enters the game for J. Jackson,,64-68,,
3:54.0,,,64-69,1,K. Middleton makes free throw 2 of 2
3:36.0,D. Booker misses 3-pt shot from 23 ft,,64-69,,
3:33.0,,,64-69,,Defensive rebound by M. Brogdon
3:27.0,,,64-69,,Turnover by K. Middleton (bad pass; steal by D. Booker)
3:23.0,D. Bender makes 2-pt shot from 1 ft (assist by D. Booker),2,66-69,,
3:09.0,,,66-72,3,K. Middleton makes 3-pt shot from 23 ft (assist by M. Dellavedova)
2:56.0,T. Daniels makes 3-pt shot from 29 ft (assist by G. Monroe),3,69-72,,
2:37.0,Personal foul by D. Booker (drawn by K. Middleton),,69-72,,
2:37.0,Phoenix full timeout,,69-72,,
2:37.0,,,69-72,,J. Terry enters the game for M. Brogdon
2:37.0,,,69-72,,T. Maker enters the game for J. Henson
2:37.0,J. Dudley enters the game for G. Monroe,,69-72,,
2:37.0,A. Len enters the game for D. Bender,,69-72,,
2:37.0,,,69-73,1,K. Middleton makes free throw 1 of 2
2:37.0,,,69-74,1,K. Middleton makes free throw 2 of 2
2:18.0,T. Daniels makes 3-pt shot from 26 ft (assist by J. Dudley),3,72-74,,
1:58.0,,,72-74,,T. Snell misses 3-pt shot from 22 ft
1:55.0,,,72-74,,Offensive rebound by T. Maker
1:55.0,,,72-76,2,T. Maker makes 2-pt shot from 3 ft
1:35.0,A. Len makes 2-pt shot at rim (assist by J. Dudley),2,74-76,,
1:17.0,,,74-76,,T. Snell misses 3-pt shot from 28 ft
1:14.0,Defensive rebound by J. Dudley,,74-76,,
1:07.0,I. Canaan misses 3-pt shot from 28 ft,,74-76,,
1:03.0,,,74-76,,Defensive rebound by J. Terry
0:55.0,,,74-76,,T. Maker misses 2-pt shot from 14 ft
0:53.0,Defensive rebound by J. Dudley,,74-76,,
0:36.0,D. Booker misses 2-pt shot from 1 ft,,74-76,,
0:35.0,Offensive rebound by A. Len,,74-76,,
0:35.0,A. Len makes 2-pt shot from 1 ft,2,76-76,,
0:35.0,Shooting foul by T. Maker (drawn by A. Len),,76-76,,
0:35.0,T. Warren enters the game for D. Booker,,76-76,,
0:35.0,,,76-76,,S. Brown enters the game for K. Middleton
0:35.0,A. Len makes free throw 1 of 1,1,77-76,,
0:22.0,,,77-76,,M. Dellavedova misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by T. Daniels,,77-76,,
0:18.0,T. Warren makes 2-pt shot from 1 ft (assist by T. Daniels),2,79-76,,
0:01.0,,,79-76,,M. Dellavedova misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by J. Dudley,,79-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,79-76,,J. Terry misses 3-pt shot from 26 ft
11:35.0,,,79-76,,Offensive rebound by Team
11:35.0,,,79-76,,Turnover by Team (shot clock)
11:24.0,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley),2,81-76,,
11:04.0,,,81-78,2,T. Snell makes 2-pt shot at rim (assist by M. Dellavedova)
10:43.0,T. Warren misses 2-pt shot from 6 ft,,81-78,,
10:40.0,,,81-78,,Defensive rebound by J. Terry
10:34.0,,,81-78,,Turnover by J. Terry (bad pass; steal by J. Dudley)
10:26.0,T. Warren makes 2-pt shot at rim (assist by J. Dudley),2,83-78,,
10:12.0,Personal foul by I. Canaan (drawn by M. Dellavedova),,83-78,,
10:12.0,,,83-78,,M. Brogdon enters the game for T. Snell
10:01.0,,,83-78,,J. Terry misses 2-pt shot from 8 ft
9:59.0,,,83-78,,Offensive rebound by J. Terry
9:56.0,,,83-78,,M. Brogdon misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by T. Daniels,,83-78,,
9:47.0,T. Daniels misses 3-pt shot from 26 ft,,83-78,,
9:45.0,,,83-78,,Defensive rebound by S. Brown
9:38.0,,,83-80,2,M. Brogdon makes 2-pt shot from 1 ft
9:22.0,,,83-80,,Personal foul by M. Dellavedova (drawn by T. Warren)
9:22.0,,,83-80,,E. Bledsoe enters the game for J. Terry
9:17.0,T. Warren misses 2-pt shot from 10 ft,,83-80,,
9:17.0,,,83-80,,Defensive rebound by Team
8:55.0,,,83-80,,Turnover by M. Brogdon (bad pass; steal by I. Canaan)
8:47.0,I. Canaan misses 2-pt shot from 2 ft (block by M. Plumlee),,83-80,,
8:43.0,,,83-80,,Defensive rebound by M. Brogdon
8:42.0,Personal foul by J. Dudley (drawn by E. Bledsoe),,83-80,,
8:35.0,Personal foul by A. Len (drawn by M. Dellavedova),,83-80,,
8:35.0,,,83-80,,K. Middleton enters the game for S. Brown
8:32.0,,,83-80,,Shooting foul by J. Dudley (drawn by M. Plumlee)
8:32.0,,,83-81,1,M. Plumlee makes free throw 1 of 2
8:32.0,,,83-82,1,M. Plumlee makes free throw 2 of 2
8:22.0,,,83-82,,Personal foul by M. Dellavedova (drawn by T. Warren)
8:15.0,T. Warren misses 2-pt shot from 15 ft,,83-82,,
8:12.0,,,83-82,,Defensive rebound by M. Plumlee
7:58.0,,,83-82,,E. Bledsoe misses 2-pt shot from 8 ft
7:55.0,Defensive rebound by I. Canaan,,83-82,,
7:49.0,Turnover by J. Dudley (bad pass; steal by M. Brogdon),,83-82,,
7:45.0,,,83-82,,Shooting foul by T. Daniels (drawn by M. Plumlee)
7:45.0,,,83-82,,M. Plumlee misses free throw 1 of 2
7:45.0,,,83-82,,Offensive rebound by Team
7:45.0,D. Booker enters the game for I. Canaan,,83-82,,
7:45.0,,,83-82,,M. Plumlee misses free throw 2 of 2
7:45.0,Defensive rebound by A. Len,,83-82,,
7:30.0,T. Warren misses 2-pt shot from 1 ft,,83-82,,
7:29.0,Offensive rebound by T. Warren,,83-82,,
7:28.0,T. Warren misses 2-pt shot from 1 ft,,83-82,,
7:27.0,,,83-82,,Defensive rebound by M. Dellavedova
7:12.0,,,83-85,3,M. Brogdon makes 3-pt shot from 26 ft
6:53.0,Turnover by T. Warren (bad pass),,83-85,,
6:53.0,,,83-85,,Milwaukee full timeout
6:53.0,,,83-85,,J. Henson enters the game for M. Plumlee
6:53.0,D. Bender enters the game for J. Dudley,,83-85,,
6:53.0,G. Monroe enters the game for A. Len,,83-85,,
6:39.0,Personal foul by D. Booker (drawn by E. Bledsoe),,83-85,,
6:39.0,,,83-86,1,E. Bledsoe makes free throw 1 of 2
6:39.0,,,83-86,,E. Bledsoe misses free throw 2 of 2
6:36.0,Defensive rebound by D. Booker,,83-86,,
6:16.0,Turnover by T. Daniels (bad pass; steal by J. Henson),,83-86,,
6:11.0,,,83-88,2,E. Bledsoe makes 2-pt shot at rim (assist by K. Middleton)
5:58.0,,,83-88,,Personal foul by M. Brogdon (drawn by D. Booker)
5:46.0,T. Daniels misses 3-pt shot from 23 ft,,83-88,,
5:42.0,Offensive rebound by T. Warren,,83-88,,
5:41.0,T. Warren makes 2-pt shot from 1 ft,2,85-88,,
5:33.0,Personal foul by T. Daniels (drawn by M. Brogdon),,85-88,,
5:33.0,,,85-89,1,M. Brogdon makes free throw 1 of 2
5:33.0,,,85-90,1,M. Brogdon makes free throw 2 of 2
5:21.0,D. Booker misses 2-pt shot from 11 ft,,85-90,,
5:18.0,,,85-90,,Defensive rebound by M. Dellavedova
5:03.0,,,85-92,2,K. Middleton makes 2-pt shot from 18 ft (assist by M. Dellavedova)
5:03.0,Phoenix full timeout,,85-92,,
4:58.0,Turnover by D. Booker (bad pass),,85-92,,
4:50.0,,,85-92,,Turnover by K. Middleton (bad pass; steal by T. Warren)
4:43.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,87-92,,
4:18.0,,,87-94,2,K. Middleton makes 2-pt shot from 12 ft
4:02.0,,,87-94,,Personal foul by J. Henson (drawn by G. Monroe)
3:56.0,G. Monroe makes 2-pt shot from 1 ft,2,89-94,,
3:32.0,,,89-96,2,M. Brogdon makes 2-pt shot at rim
3:17.0,T. Daniels makes 3-pt shot from 23 ft (assist by D. Booker),3,92-96,,
3:02.0,,,92-98,2,E. Bledsoe makes 2-pt shot at rim (assist by K. Middleton)
3:02.0,,,92-98,,Shooting foul by T. Daniels (drawn by E. Bledsoe)
3:02.0,Phoenix full timeout,,92-98,,
