time,Denver,pts.away,score,pts.home,Washington
5:18.0,,,14-11,,Personal foul by T. Satoransky (drawn by P. Millsap)
5:18.0,M. Plumlee enters the game for N. Jokic,,14-11,,
5:15.0,J. Murray makes 2-pt shot from 1 ft,2,16-11,,
5:15.0,Shooting foul by M. Morris (drawn by J. Murray),,16-11,,
5:15.0,J. Murray makes free throw 1 of 1,1,17-11,,
4:58.0,,,17-11,,M. Morris misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by Team,,17-11,,
4:56.0,D. Harris enters the game for W. Barton,,17-11,,
4:39.0,W. Chandler misses 3-pt shot from 23 ft,,17-11,,
4:36.0,,,17-11,,Defensive rebound by M. Morris
4:30.0,,,17-13,2,B. Beal makes 2-pt shot from 12 ft
4:10.0,D. Harris misses 3-pt shot from 25 ft,,17-13,,
4:07.0,Offensive rebound by Team,,17-13,,
4:07.0,,,17-13,,K. Oubre enters the game for O. Porter
4:07.0,,,17-13,,R. Sessions enters the game for T. Satoransky
3:56.0,J. Murray makes 2-pt shot from 10 ft,2,19-13,,
3:36.0,,,19-16,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat)
3:17.0,P. Millsap misses 2-pt shot from 12 ft,,19-16,,
3:15.0,,,19-16,,Defensive rebound by K. Oubre
3:06.0,,,19-16,,Turnover by M. Morris (bad pass)
3:06.0,,,19-16,,I. Mahinmi enters the game for M. Gortat
3:06.0,N. Jokic enters the game for P. Millsap,,19-16,,
2:49.0,N. Jokic misses 3-pt shot from 25 ft,,19-16,,
2:46.0,,,19-16,,Defensive rebound by M. Morris
2:35.0,Personal foul by J. Murray (drawn by R. Sessions),,19-16,,
2:35.0,Denver full timeout,,19-16,,
2:35.0,,,19-16,,M. Scott enters the game for M. Morris
2:35.0,W. Barton enters the game for W. Chandler,,19-16,,
2:35.0,T. Craig enters the game for J. Murray,,19-16,,
2:29.0,,,19-16,,B. Beal misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by W. Barton,,19-16,,
2:06.0,N. Jokic misses 2-pt shot from 11 ft,,19-16,,
2:04.0,,,19-16,,Defensive rebound by M. Scott
1:58.0,,,19-16,,I. Mahinmi misses 2-pt shot from 2 ft (block by M. Plumlee)
1:58.0,,,19-16,,Offensive rebound by Team
1:56.0,,,19-16,,M. Scott misses 2-pt shot at rim
1:54.0,Defensive rebound by M. Plumlee,,19-16,,
1:52.0,,,19-16,,Personal foul by B. Beal (drawn by T. Craig)
1:52.0,T. Craig makes clear path free throw 1 of 2,1,21-16,,
1:52.0,T. Craig makes clear path free throw 2 of 2,1,21-16,,
1:37.0,N. Jokic makes 2-pt shot from 4 ft,2,23-16,,
1:12.0,,,23-16,,B. Beal misses 2-pt shot from 16 ft
1:10.0,Defensive rebound by M. Plumlee,,23-16,,
1:02.0,N. Jokic misses 3-pt shot from 26 ft,,23-16,,
1:00.0,,,23-16,,Defensive rebound by M. Scott
0:49.0,,,23-16,,K. Oubre misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by N. Jokic,,23-16,,
0:34.0,D. Harris misses 2-pt shot from 17 ft,,23-16,,
0:31.0,,,23-16,,Defensive rebound by I. Mahinmi
0:13.0,,,23-16,,Offensive foul by I. Mahinmi (drawn by N. Jokic)
0:13.0,,,23-16,,Turnover by I. Mahinmi (offensive foul)
0:01.0,W. Barton misses 2-pt shot from 7 ft (block by K. Oubre),,23-16,,
0:00.0,Offensive rebound by M. Plumlee,,23-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,23-16,,R. Sessions misses 2-pt shot from 1 ft
11:36.0,,,23-16,,Offensive rebound by I. Mahinmi
11:36.0,,,23-18,2,I. Mahinmi makes 2-pt shot at rim
11:25.0,D. Harris misses 2-pt shot from 3 ft,,23-18,,
11:23.0,,,23-18,,Defensive rebound by M. Scott
11:21.0,,,23-18,,Shooting foul by T. Craig (drawn by R. Sessions)
11:21.0,,,23-18,,R. Sessions misses free throw 1 of 2
11:21.0,,,23-18,,Offensive rebound by Team
11:21.0,,,23-19,1,R. Sessions makes free throw 2 of 2
11:11.0,N. Jokic misses 2-pt shot from 20 ft,,23-19,,
11:07.0,,,23-19,,Defensive rebound by R. Sessions
11:00.0,,,23-21,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Sessions)
10:40.0,D. Harris misses 2-pt shot from 3 ft,,23-21,,
10:39.0,,,23-21,,Defensive rebound by M. Scott
10:39.0,Personal foul by M. Plumlee (drawn by M. Scott),,23-21,,
10:28.0,,,23-21,,K. Oubre misses 2-pt shot from 7 ft
10:24.0,Defensive rebound by D. Harris,,23-21,,
10:20.0,T. Craig makes 2-pt shot from 2 ft (assist by W. Barton),2,25-21,,
10:05.0,,,25-21,,M. Scott misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by N. Jokic,,25-21,,
9:58.0,T. Craig makes 2-pt shot from 1 ft (assist by M. Plumlee),2,27-21,,
9:57.0,,,27-21,,Washington full timeout
9:41.0,Personal foul by M. Plumlee (drawn by I. Mahinmi),,27-21,,
9:36.0,,,27-24,3,K. Oubre makes 3-pt shot from 25 ft (assist by R. Sessions)
9:17.0,T. Craig makes 3-pt shot from 26 ft (assist by M. Plumlee),3,30-24,,
8:54.0,,,30-26,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by K. Oubre)
8:46.0,,,30-26,,Personal foul by K. Oubre (drawn by W. Barton)
8:46.0,W. Chandler enters the game for W. Barton,,30-26,,
8:46.0,J. Murray enters the game for M. Plumlee,,30-26,,
8:39.0,D. Harris makes 2-pt shot from 12 ft,2,32-26,,
8:23.0,,,32-28,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by R. Sessions)
8:07.0,N. Jokic makes 2-pt shot from 3 ft (assist by D. Harris),2,34-28,,
7:53.0,Personal foul by D. Harris (drawn by R. Sessions),,34-28,,
7:53.0,P. Millsap enters the game for N. Jokic,,34-28,,
7:47.0,,,34-28,,Offensive foul by I. Mahinmi (drawn by J. Murray)
7:47.0,,,34-28,,Turnover by I. Mahinmi (offensive foul)
7:35.0,Turnover by P. Millsap (out of bounds lost ball),,34-28,,
7:35.0,,,34-28,,M. Morris enters the game for I. Mahinmi
7:27.0,,,34-30,2,R. Sessions makes 2-pt shot from 1 ft
7:16.0,J. Murray makes 2-pt shot from 2 ft (assist by T. Craig),2,36-30,,
7:16.0,Shooting foul by K. Oubre (drawn by J. Murray),,36-30,,
7:16.0,,,36-30,,B. Beal enters the game for R. Sessions
7:16.0,J. Murray makes free throw 1 of 1,1,37-30,,
6:52.0,,,37-30,,M. Morris misses 2-pt shot from 16 ft (block by P. Millsap)
6:49.0,Defensive rebound by J. Murray,,37-30,,
6:46.0,J. Murray misses 3-pt shot from 27 ft,,37-30,,
6:39.0,Offensive rebound by W. Chandler,,37-30,,
6:39.0,W. Chandler misses 2-pt shot at rim,,37-30,,
6:39.0,,,37-30,,Defensive rebound by K. Oubre
6:39.0,Personal foul by T. Craig (drawn by K. Oubre),,37-30,,
6:39.0,,,37-31,1,K. Oubre makes free throw 1 of 2
6:39.0,,,37-31,,O. Porter enters the game for M. Scott
6:39.0,,,37-31,,K. Oubre misses free throw 2 of 2
6:36.0,Defensive rebound by T. Craig,,37-31,,
6:30.0,Turnover by J. Murray (bad pass; steal by M. Morris),,37-31,,
6:28.0,,,37-31,,Shooting foul by P. Millsap (drawn by M. Morris)
6:28.0,,,37-32,1,M. Morris makes free throw 1 of 2
6:28.0,,,37-33,1,M. Morris makes free throw 2 of 2
6:12.0,J. Murray misses 2-pt shot from 3 ft,,37-33,,
6:10.0,,,37-33,,Defensive rebound by K. Oubre
6:05.0,,,37-33,,J. Meeks misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by T. Craig,,37-33,,
5:46.0,,,37-33,,M. Gortat enters the game for J. Meeks
5:46.0,N. Jokic enters the game for T. Craig,,37-33,,
5:39.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Murray),2,39-33,,
5:18.0,,,39-35,2,O. Porter makes 2-pt shot from 14 ft (assist by B. Beal)
5:03.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Chandler),3,42-35,,
4:52.0,,,42-35,,K. Oubre misses 2-pt shot from 17 ft
4:48.0,,,42-35,,Offensive rebound by M. Gortat
4:47.0,,,42-35,,Turnover by K. Oubre (lost ball; steal by P. Millsap)
4:40.0,W. Chandler misses 3-pt shot from 26 ft,,42-35,,
4:37.0,Offensive rebound by J. Murray,,42-35,,
4:34.0,J. Murray misses 3-pt shot from 25 ft,,42-35,,
4:31.0,Offensive rebound by Team,,42-35,,
4:31.0,W. Barton enters the game for D. Harris,,42-35,,
4:11.0,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray),3,45-35,,
3:43.0,,,45-35,,M. Morris misses 2-pt shot from 1 ft (block by N. Jokic)
3:41.0,Defensive rebound by W. Barton,,45-35,,
3:39.0,J. Murray makes 3-pt shot from 29 ft (assist by W. Barton),3,48-35,,
3:39.0,,,48-35,,Washington full timeout
3:39.0,,,48-35,,T. Satoransky enters the game for K. Oubre
3:21.0,,,48-37,2,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal)
3:00.0,J. Murray misses 3-pt shot from 25 ft,,48-37,,
2:59.0,,,48-37,,Defensive rebound by B. Beal
2:54.0,,,48-40,3,B. Beal makes 3-pt shot from 27 ft
2:38.0,N. Jokic misses 2-pt shot from 11 ft,,48-40,,
2:36.0,,,48-40,,Defensive rebound by M. Morris
2:27.0,,,48-42,2,M. Morris makes 2-pt shot from 15 ft (assist by B. Beal)
2:16.0,Denver full timeout,,48-42,,
2:04.0,N. Jokic makes 2-pt shot from 17 ft (assist by P. Millsap),2,50-42,,
1:48.0,Personal foul by W. Chandler (drawn by M. Gortat),,50-42,,
1:48.0,,,50-42,,M. Gortat misses free throw 1 of 2
1:48.0,,,50-42,,Offensive rebound by Team
1:48.0,,,50-43,1,M. Gortat makes free throw 2 of 2
1:28.0,W. Barton misses 2-pt shot from 6 ft,,50-43,,
1:25.0,,,50-43,,Defensive rebound by M. Morris
1:18.0,,,50-43,,B. Beal misses 2-pt shot from 4 ft (block by J. Murray)
1:18.0,Defensive rebound by J. Murray,,50-43,,
1:18.0,,,50-43,,Personal foul by B. Beal (drawn by J. Murray)
1:18.0,M. Plumlee enters the game for P. Millsap,,50-43,,
1:04.0,N. Jokic misses 2-pt shot from 4 ft,,50-43,,
1:01.0,Offensive rebound by J. Murray,,50-43,,
0:51.0,J. Murray misses 2-pt shot from 1 ft,,50-43,,
0:48.0,Offensive rebound by W. Chandler,,50-43,,
0:47.0,J. Murray misses 3-pt shot from 26 ft,,50-43,,
0:42.0,Offensive rebound by W. Chandler,,50-43,,
0:41.0,Turnover by W. Chandler (lost ball; steal by M. Morris),,50-43,,
0:35.0,,,50-43,,Turnover by B. Beal (bad pass)
0:31.0,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic),2,52-43,,
0:09.0,,,52-43,,Turnover by B. Beal (out of bounds lost ball)
0:02.0,W. Barton makes 3-pt shot from 26 ft,3,55-43,,
0:01.0,,,55-43,,B. Beal misses 3-pt shot from 50 ft (block by M. Plumlee)
0:01.0,,,55-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by P. Millsap (drawn by M. Morris),,55-43,,
11:34.0,,,55-45,2,M. Gortat makes 2-pt shot from 11 ft
11:14.0,N. Jokic misses 2-pt shot from 11 ft,,55-45,,
11:12.0,Offensive rebound by J. Murray,,55-45,,
11:09.0,J. Murray misses 2-pt shot from 12 ft,,55-45,,
11:05.0,,,55-45,,Defensive rebound by M. Morris
11:02.0,,,55-45,,Turnover by B. Beal (out of bounds lost ball)
10:46.0,W. Chandler misses 2-pt shot from 6 ft,,55-45,,
10:44.0,,,55-45,,Defensive rebound by M. Gortat
10:32.0,,,55-45,,O. Porter misses 2-pt shot from 5 ft (block by W. Chandler)
10:32.0,,,55-45,,Offensive rebound by O. Porter
10:32.0,,,55-45,,Turnover by O. Porter (step out of bounds)
10:17.0,N. Jokic makes 3-pt shot from 25 ft (assist by P. Millsap),3,58-45,,
9:58.0,,,58-47,2,M. Morris makes 2-pt shot from 14 ft (assist by T. Satoransky)
9:46.0,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray),3,61-47,,
9:23.0,,,61-50,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Morris)
9:07.0,W. Chandler misses 2-pt shot from 2 ft,,61-50,,
9:03.0,,,61-50,,Defensive rebound by M. Gortat
9:01.0,,,61-50,,B. Beal misses 3-pt shot from 27 ft
8:58.0,Defensive rebound by J. Murray,,61-50,,
8:39.0,N. Jokic misses 2-pt shot from 9 ft,,61-50,,
8:39.0,,,61-50,,Defensive rebound by O. Porter
8:39.0,Personal foul by N. Jokic (drawn by O. Porter),,61-50,,
8:21.0,,,61-53,3,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat)
8:20.0,Denver full timeout,,61-53,,
7:56.0,W. Barton makes 3-pt shot from 27 ft,3,64-53,,
7:38.0,,,64-53,,O. Porter misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by W. Barton,,64-53,,
7:29.0,,,64-53,,Personal foul by M. Gortat (drawn by N. Jokic)
7:17.0,P. Millsap misses 2-pt shot from 18 ft,,64-53,,
7:12.0,,,64-53,,Defensive rebound by T. Satoransky
6:56.0,,,64-53,,Shooting foul by W. Chandler (drawn by M. Morris)
6:56.0,,,64-54,1,M. Morris makes free throw 1 of 2
6:56.0,,,64-55,1,M. Morris makes free throw 2 of 2
6:43.0,W. Barton misses 3-pt shot from 26 ft,,64-55,,
6:40.0,,,64-55,,Defensive rebound by T. Satoransky
6:33.0,,,64-58,3,M. Morris makes 3-pt shot from 26 ft (assist by M. Gortat)
6:19.0,N. Jokic makes 2-pt shot from 12 ft (assist by W. Barton),2,66-58,,
6:04.0,,,66-60,2,M. Morris makes 2-pt shot from 14 ft
5:47.0,,,66-60,,Personal foul by O. Porter (drawn by N. Jokic)
5:36.0,J. Murray misses 3-pt shot from 26 ft,,66-60,,
5:32.0,,,66-60,,Defensive rebound by M. Gortat
5:21.0,,,66-60,,O. Porter misses 2-pt shot from 12 ft
5:15.0,Defensive rebound by N. Jokic,,66-60,,
5:04.0,Turnover by P. Millsap (palming),,66-60,,
5:04.0,M. Plumlee enters the game for N. Jokic,,66-60,,
5:04.0,D. Harris enters the game for J. Murray,,66-60,,
4:49.0,,,66-62,2,M. Morris makes 2-pt shot from 8 ft (assist by T. Satoransky)
4:34.0,D. Harris makes 2-pt shot from 2 ft,2,68-62,,
4:18.0,,,68-65,3,B. Beal makes 3-pt shot from 26 ft (assist by T. Satoransky)
4:03.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Harris),2,70-65,,
3:50.0,,,70-65,,Offensive foul by M. Morris (drawn by D. Harris)
3:50.0,,,70-65,,Turnover by M. Morris (offensive foul)
3:26.0,M. Plumlee misses 2-pt shot from 17 ft,,70-65,,
3:23.0,,,70-65,,Defensive rebound by T. Satoransky
3:12.0,,,70-65,,O. Porter misses 3-pt shot from 25 ft
3:07.0,,,70-65,,Offensive rebound by B. Beal
2:56.0,,,70-65,,M. Morris misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by W. Barton,,70-65,,
2:50.0,Turnover by W. Barton (bad pass),,70-65,,
2:50.0,,,70-65,,Washington full timeout
2:50.0,,,70-65,,K. Oubre enters the game for O. Porter
2:50.0,,,70-65,,R. Sessions enters the game for T. Satoransky
2:50.0,N. Jokic enters the game for P. Millsap,,70-65,,
2:50.0,Violation by W. Chandler (kicked ball),,70-65,,
2:41.0,,,70-67,2,M. Gortat makes 2-pt shot from 7 ft (assist by M. Morris)
2:24.0,N. Jokic makes 2-pt shot from 9 ft,2,72-67,,
2:05.0,,,72-70,3,K. Oubre makes 3-pt shot from 24 ft (assist by M. Morris)
1:43.0,Turnover by N. Jokic (bad pass),,72-70,,
1:43.0,J. Murray enters the game for W. Barton,,72-70,,
1:43.0,T. Craig enters the game for W. Chandler,,72-70,,
1:34.0,,,72-73,3,B. Beal makes 3-pt shot from 26 ft (assist by K. Oubre)
1:12.0,D. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,75-73,,
1:02.0,,,75-76,3,B. Beal makes 3-pt shot from 27 ft (assist by R. Sessions)
1:00.0,Denver full timeout,,75-76,,
1:00.0,,,75-76,,I. Mahinmi enters the game for M. Gortat
0:41.0,D. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,78-76,,
0:32.0,,,78-76,,Turnover by B. Beal (out of bounds lost ball)
0:23.0,N. Jokic misses 3-pt shot from 26 ft,,78-76,,
0:18.0,,,78-76,,Defensive rebound by B. Beal
0:01.0,,,78-76,,K. Oubre misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by Team,,78-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,N. Jokic makes 2-pt shot from 16 ft,2,80-76,,
11:28.0,,,80-76,,Offensive foul by I. Mahinmi (drawn by W. Chandler)
11:28.0,,,80-76,,Turnover by I. Mahinmi (offensive foul)
11:12.0,D. Harris misses 3-pt shot from 24 ft,,80-76,,
11:07.0,,,80-76,,Defensive rebound by I. Mahinmi
11:06.0,,,80-76,,Turnover by I. Mahinmi (lost ball; steal by J. Murray)
10:58.0,Jump ball: K. Oubre vs. J. Murray (M. Scott gains possession),,,,Jump ball: K. Oubre vs. J. Murray (M. Scott gains possession)
10:58.0,Turnover by J. Murray (turnover; steal by K. Oubre),,80-76,,
10:46.0,,,80-76,,R. Sessions misses 2-pt shot from 9 ft
10:41.0,,,80-76,,Offensive rebound by I. Mahinmi
10:41.0,,,80-76,,I. Mahinmi misses 2-pt shot at rim
10:40.0,Defensive rebound by N. Jokic,,80-76,,
10:32.0,D. Harris misses 2-pt shot from 6 ft,,80-76,,
10:29.0,,,80-76,,Defensive rebound by R. Sessions
10:21.0,,,80-79,3,K. Oubre makes 3-pt shot from 25 ft
10:07.0,J. Murray misses 2-pt shot from 5 ft,,80-79,,
10:04.0,,,80-79,,Defensive rebound by J. Meeks
9:55.0,,,80-79,,I. Mahinmi misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by N. Jokic,,80-79,,
9:42.0,W. Chandler makes 2-pt shot from 4 ft (assist by N. Jokic),2,82-79,,
9:28.0,,,82-79,,M. Scott misses 2-pt shot from 10 ft
9:25.0,Defensive rebound by T. Craig,,82-79,,
9:13.0,Shooting foul by I. Mahinmi (drawn by W. Chandler),,82-79,,
9:13.0,W. Chandler misses free throw 1 of 2,,82-79,,
9:13.0,Offensive rebound by Team,,82-79,,
9:13.0,W. Chandler makes free throw 2 of 2,1,83-79,,
8:59.0,,,83-79,,Turnover by M. Scott (bad pass)
8:59.0,M. Plumlee enters the game for N. Jokic,,83-79,,
8:46.0,W. Chandler misses 3-pt shot from 27 ft,,83-79,,
8:43.0,,,83-79,,Defensive rebound by I. Mahinmi
8:37.0,,,83-81,2,R. Sessions makes 2-pt shot from 2 ft (assist by I. Mahinmi)
8:19.0,T. Craig makes 2-pt shot from 1 ft (assist by M. Plumlee),2,85-81,,
8:17.0,,,85-81,,Washington full timeout
8:17.0,,,85-81,,B. Beal enters the game for J. Meeks
8:17.0,,,85-81,,O. Porter enters the game for M. Scott
8:17.0,W. Barton enters the game for J. Murray,,85-81,,
7:59.0,,,85-81,,K. Oubre misses 3-pt shot from 27 ft
7:54.0,Defensive rebound by T. Craig,,85-81,,
7:40.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Harris),2,87-81,,
7:24.0,,,87-81,,B. Beal misses 2-pt shot from 13 ft
7:22.0,Defensive rebound by M. Plumlee,,87-81,,
7:22.0,Turnover by M. Plumlee (out of bounds lost ball),,87-81,,
7:22.0,,,87-81,,M. Morris enters the game for R. Sessions
7:22.0,,,87-81,,T. Satoransky enters the game for I. Mahinmi
7:15.0,,,87-81,,Shooting foul by W. Chandler (drawn by K. Oubre)
7:15.0,,,87-81,,K. Oubre misses free throw 1 of 2
7:15.0,,,87-81,,Offensive rebound by Team
7:15.0,,,87-82,1,K. Oubre makes free throw 2 of 2
7:03.0,W. Barton misses 2-pt shot from 3 ft (block by M. Morris),,87-82,,
7:02.0,,,87-82,,Defensive rebound by T. Satoransky
6:56.0,,,87-84,2,T. Satoransky makes 2-pt shot from 1 ft (assist by O. Porter)
6:56.0,Violation by M. Plumlee (def goaltending),,87-84,,
6:38.0,W. Chandler misses 2-pt shot from 9 ft,,87-84,,
6:36.0,,,87-84,,Defensive rebound by O. Porter
6:29.0,,,87-86,2,M. Morris makes 2-pt shot from 16 ft (assist by T. Satoransky)
6:16.0,W. Barton makes 3-pt shot from 26 ft,3,90-86,,
5:55.0,N. Jokic enters the game for M. Plumlee,,90-86,,
5:55.0,J. Murray enters the game for D. Harris,,90-86,,
5:52.0,,,90-86,,M. Morris misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by W. Barton,,90-86,,
5:37.0,Shooting foul by M. Morris (drawn by W. Barton),,90-86,,
5:37.0,W. Barton makes free throw 1 of 2,1,91-86,,
5:37.0,W. Barton makes free throw 2 of 2,1,92-86,,
5:18.0,,,92-88,2,B. Beal makes 2-pt shot from 13 ft
5:00.0,T. Craig misses 2-pt shot from 1 ft,,92-88,,
4:58.0,,,92-88,,Defensive rebound by M. Morris
4:48.0,,,92-91,3,T. Satoransky makes 3-pt shot from 25 ft (assist by O. Porter)
4:48.0,Denver full timeout,,92-91,,
4:48.0,D. Harris enters the game for T. Craig,,92-91,,
4:36.0,Offensive foul by N. Jokic (drawn by T. Satoransky),,92-91,,
4:36.0,Turnover by N. Jokic (offensive foul),,92-91,,
4:21.0,,,92-93,2,O. Porter makes 2-pt shot from 9 ft (assist by B. Beal)
4:06.0,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic),3,95-93,,
3:49.0,,,95-93,,M. Morris misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by W. Chandler,,95-93,,
3:32.0,N. Jokic makes 2-pt shot from 2 ft,2,97-93,,
3:10.0,,,97-95,2,K. Oubre makes 2-pt shot from 2 ft (assist by M. Morris)
2:54.0,,,97-95,,Personal foul by M. Morris (drawn by J. Murray)
2:54.0,,,97-95,,M. Gortat enters the game for T. Satoransky
2:46.0,J. Murray misses 3-pt shot from 26 ft,,97-95,,
2:44.0,,,97-95,,Defensive rebound by K. Oubre
2:28.0,,,97-95,,B. Beal misses 2-pt shot from 19 ft
2:25.0,Defensive rebound by N. Jokic,,97-95,,
2:02.0,J. Murray misses 2-pt shot from 9 ft,,97-95,,
1:59.0,,,97-95,,Defensive rebound by M. Morris
1:39.0,,,97-95,,B. Beal misses 2-pt shot from 4 ft
1:37.0,Defensive rebound by N. Jokic,,97-95,,
1:22.0,W. Barton makes 3-pt shot from 26 ft (assist by D. Harris),3,100-95,,
1:21.0,,,100-95,,Washington full timeout
1:21.0,T. Craig enters the game for N. Jokic,,100-95,,
1:21.0,M. Plumlee enters the game for J. Murray,,100-95,,
1:14.0,,,100-95,,K. Oubre misses 3-pt shot from 23 ft (block by W. Barton)
1:11.0,Defensive rebound by T. Craig,,100-95,,
1:11.0,Denver full timeout,,100-95,,
1:11.0,,,100-95,,T. Satoransky enters the game for M. Gortat
1:11.0,J. Murray enters the game for T. Craig,,100-95,,
1:11.0,N. Jokic enters the game for M. Plumlee,,100-95,,
1:07.0,,,100-95,,Personal take foul by K. Oubre (drawn by J. Murray)
1:01.0,,,100-95,,Personal foul by K. Oubre (drawn by W. Barton)
1:01.0,W. Barton makes free throw 1 of 2,1,101-95,,
1:01.0,T. Craig enters the game for J. Murray,,101-95,,
1:01.0,M. Plumlee enters the game for N. Jokic,,101-95,,
1:01.0,W. Barton makes free throw 2 of 2,1,102-95,,
0:47.0,,,102-95,,T. Satoransky misses 2-pt shot from 2 ft (block by M. Plumlee)
0:46.0,,,102-95,,Offensive rebound by K. Oubre
0:46.0,,,102-97,2,K. Oubre makes 2-pt shot from 3 ft
0:46.0,Denver full timeout,,102-97,,
0:46.0,N. Jokic enters the game for T. Craig,,102-97,,
0:46.0,J. Murray enters the game for M. Plumlee,,102-97,,
0:41.0,,,102-97,,Personal foul by K. Oubre (drawn by J. Murray)
