time,Utah,pts.away,score,pts.home,San Antonio
6:37.0,J. Ingles makes 2-pt shot from 10 ft (assist by R. Rubio),2,8-12,,
6:22.0,,,8-14,2,L. Aldridge makes 2-pt shot from 6 ft (assist by D. Murray)
6:10.0,J. Ingles misses 3-pt shot from 24 ft,,8-14,,
6:07.0,,,8-14,,Defensive rebound by L. Aldridge
6:04.0,,,8-17,3,D. Green makes 3-pt shot from 27 ft (assist by K. Anderson)
6:02.0,Utah full timeout,,8-17,,
6:02.0,J. Crowder enters the game for D. Favors,,8-17,,
5:39.0,Turnover by D. Mitchell (lost ball; steal by K. Anderson),,8-17,,
5:34.0,,,8-17,,Turnover by K. Anderson (bad pass; steal by J. Ingles)
5:22.0,J. Crowder misses 3-pt shot from 26 ft,,8-17,,
5:18.0,,,8-17,,Defensive rebound by K. Anderson
5:12.0,,,8-19,2,D. Green makes 2-pt shot from 2 ft (assist by D. Murray)
4:53.0,J. Ingles misses 2-pt shot from 11 ft,,8-19,,
4:51.0,,,8-19,,Defensive rebound by L. Aldridge
4:46.0,,,8-19,,D. Green misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by Team,,8-19,,
4:44.0,,,8-19,,Loose ball foul by D. Green (drawn by D. Mitchell)
4:44.0,,,8-19,,T. Parker enters the game for D. Murray
4:44.0,,,8-19,,M. Ginobili enters the game for D. Green
4:44.0,J. Jerebko enters the game for J. Ingles,,8-19,,
4:30.0,D. Mitchell makes 2-pt shot from 10 ft,2,10-19,,
4:30.0,,,10-19,,San Antonio full timeout
4:11.0,,,10-19,,Turnover by L. Aldridge (lost ball; steal by R. Gobert)
4:07.0,R. Gobert makes 2-pt shot at rim (assist by J. Crowder),2,12-19,,
3:52.0,,,12-21,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
3:36.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,14-21,,
3:36.0,Shooting foul by M. Ginobili (drawn by R. Gobert),,14-21,,
3:36.0,,,14-21,,R. Gay enters the game for K. Anderson
3:36.0,,,14-21,,D. Bertans enters the game for P. Mills
3:36.0,R. O'Neale enters the game for R. Rubio,,14-21,,
3:36.0,R. Gobert misses free throw 1 of 1,,14-21,,
3:36.0,,,14-21,,Defensive rebound by M. Ginobili
3:20.0,,,14-23,2,M. Ginobili makes 2-pt shot from 13 ft
3:02.0,D. Mitchell misses 2-pt shot from 16 ft,,14-23,,
2:58.0,,,14-23,,Defensive rebound by M. Ginobili
2:49.0,,,14-23,,Shooting foul by J. Jerebko (drawn by L. Aldridge)
2:49.0,,,14-24,1,L. Aldridge makes free throw 1 of 2
2:49.0,D. Favors enters the game for R. Gobert,,14-24,,
2:49.0,,,14-25,1,L. Aldridge makes free throw 2 of 2
2:35.0,J. Jerebko makes 3-pt shot from 23 ft (assist by D. Mitchell),3,17-25,,
2:16.0,,,17-27,2,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker)
2:03.0,D. Mitchell misses 2-pt shot from 5 ft,,17-27,,
1:59.0,,,17-27,,Defensive rebound by D. Bertans
1:51.0,,,17-27,,Turnover by D. Bertans (bad pass; steal by D. Mitchell)
1:33.0,,,17-27,,Personal foul by T. Parker (drawn by D. Mitchell)
1:33.0,,,17-27,,P. Gasol enters the game for L. Aldridge
1:33.0,D. Exum enters the game for D. Mitchell,,17-27,,
1:26.0,J. Crowder makes 2-pt shot from 2 ft (assist by D. Exum),2,19-27,,
1:15.0,,,19-27,,P. Gasol misses 2-pt shot from 11 ft
1:11.0,,,19-27,,Offensive rebound by T. Parker
1:09.0,Violation by D. Favors (kicked ball),,19-27,,
0:59.0,,,19-27,,P. Gasol misses 2-pt shot from 2 ft
0:57.0,,,19-27,,Offensive rebound by R. Gay
0:53.0,,,19-29,2,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili)
0:34.0,J. Jerebko misses 3-pt shot from 22 ft,,19-29,,
0:30.0,,,19-29,,Defensive rebound by M. Ginobili
0:11.0,,,19-29,,R. Gay misses 2-pt shot from 18 ft
0:08.0,Defensive rebound by R. O'Neale,,19-29,,
0:01.0,R. O'Neale misses 2-pt shot from 2 ft,,19-29,,
0:01.0,Offensive rebound by D. Favors,,19-29,,
0:01.0,D. Favors makes 2-pt shot at rim,2,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,21-29,,D. Bertans misses 2-pt shot from 8 ft
11:44.0,Defensive rebound by J. Crowder,,21-29,,
11:33.0,Turnover by J. Crowder (lost ball; steal by P. Gasol),,21-29,,
11:22.0,,,21-29,,M. Ginobili misses 2-pt shot from 3 ft
11:22.0,Defensive rebound by Team,,21-29,,
11:21.0,,,21-29,,Loose ball foul by P. Gasol (drawn by D. Favors)
11:12.0,D. Exum makes 2-pt shot from 1 ft,2,23-29,,
10:59.0,,,23-29,,T. Parker misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by J. Crowder,,23-29,,
10:44.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Exum),2,25-29,,
10:44.0,,,25-29,,San Antonio full timeout
10:44.0,,,25-29,,D. Green enters the game for D. Bertans
10:29.0,,,25-31,2,R. Gay makes 2-pt shot from 1 ft (assist by T. Parker)
10:29.0,,,25-31,,Shooting foul by J. Jerebko (drawn by R. Gay)
10:29.0,,,25-32,1,R. Gay makes free throw 1 of 1
10:19.0,D. Favors makes 2-pt shot from 15 ft (assist by D. Exum),2,27-32,,
10:04.0,,,27-32,,P. Gasol misses 2-pt shot from 4 ft
10:02.0,Defensive rebound by D. Exum,,27-32,,
10:00.0,Turnover by D. Exum (bad pass),,27-32,,
10:00.0,R. O'Neale enters the game for J. Jerebko,,27-32,,
9:48.0,,,27-32,,M. Ginobili misses 2-pt shot from 10 ft
9:46.0,,,27-32,,Offensive rebound by P. Gasol
9:45.0,,,27-32,,Turnover by P. Gasol (bad pass)
9:45.0,,,27-32,,P. Mills enters the game for T. Parker
9:45.0,,,27-32,,D. Murray enters the game for M. Ginobili
9:33.0,Shooting foul by D. Murray (drawn by D. Favors),,27-32,,
9:33.0,D. Favors makes free throw 1 of 2,1,28-32,,
9:33.0,D. Favors misses free throw 2 of 2,,28-32,,
9:30.0,,,28-32,,Defensive rebound by P. Gasol
9:17.0,,,28-32,,R. Gay misses 2-pt shot from 9 ft
9:15.0,Defensive rebound by J. Ingles,,28-32,,
9:13.0,,,28-32,,Personal foul by P. Mills (drawn by J. Ingles)
9:13.0,,,28-32,,L. Aldridge enters the game for P. Gasol
9:13.0,R. Gobert enters the game for J. Crowder,,28-32,,
9:08.0,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum),3,31-32,,
8:53.0,,,31-32,,L. Aldridge misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by D. Exum,,31-32,,
8:42.0,D. Exum makes 2-pt shot from 1 ft,2,33-32,,
8:30.0,,,33-32,,Shooting foul by J. Ingles (drawn by P. Mills)
8:30.0,,,33-33,1,P. Mills makes free throw 1 of 3
8:30.0,,,33-34,1,P. Mills makes free throw 2 of 3
8:30.0,,,33-34,,K. Anderson enters the game for R. Gay
8:30.0,R. Rubio enters the game for J. Ingles,,33-34,,
8:30.0,D. Mitchell enters the game for D. Exum,,33-34,,
8:30.0,,,33-35,1,P. Mills makes free throw 3 of 3
8:11.0,D. Mitchell misses 2-pt shot from 2 ft (block by D. Green),,33-35,,
8:11.0,Offensive rebound by Team,,33-35,,
8:06.0,R. O'Neale makes 2-pt shot from 19 ft,2,35-35,,
7:54.0,,,35-35,,L. Aldridge misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by D. Favors,,35-35,,
7:44.0,,,35-35,,Def 3 sec tech foul by L. Aldridge
7:44.0,R. Rubio makes technical free throw,1,36-35,,
7:33.0,D. Mitchell misses 3-pt shot from 24 ft,,36-35,,
7:30.0,,,36-35,,Defensive rebound by D. Murray
7:20.0,,,36-37,2,L. Aldridge makes 2-pt shot from 3 ft (assist by D. Murray)
7:09.0,R. Rubio misses 2-pt shot from 12 ft,,36-37,,
7:06.0,,,36-37,,Defensive rebound by D. Murray
7:02.0,,,36-37,,P. Mills misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by R. O'Neale,,36-37,,
6:42.0,R. Rubio makes 2-pt shot from 11 ft,2,38-37,,
6:23.0,,,38-37,,D. Murray misses 2-pt shot from 6 ft
6:21.0,Defensive rebound by R. Gobert,,38-37,,
6:05.0,D. Mitchell misses 3-pt shot from 25 ft,,38-37,,
6:02.0,,,38-37,,Defensive rebound by D. Green
5:49.0,,,38-39,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
5:26.0,R. Rubio makes 3-pt shot from 25 ft,3,41-39,,
5:04.0,,,41-42,3,K. Anderson makes 3-pt shot from 23 ft (assist by D. Murray)
5:03.0,Utah full timeout,,41-42,,
5:03.0,J. Ingles enters the game for D. Favors,,41-42,,
5:03.0,J. Crowder enters the game for R. O'Neale,,41-42,,
4:53.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,43-42,,
4:53.0,Shooting foul by D. Green (drawn by D. Mitchell),,43-42,,
4:53.0,D. Mitchell misses free throw 1 of 1,,43-42,,
4:50.0,,,43-42,,Defensive rebound by K. Anderson
4:39.0,,,43-44,2,L. Aldridge makes 2-pt shot at rim
4:27.0,Offensive foul by R. Gobert (drawn by P. Mills),,43-44,,
4:27.0,Turnover by R. Gobert (offensive foul),,43-44,,
4:08.0,,,43-47,3,L. Aldridge makes 3-pt shot from 26 ft (assist by P. Mills)
3:49.0,J. Crowder misses 2-pt shot from 13 ft,,43-47,,
3:47.0,,,43-47,,Defensive rebound by K. Anderson
3:42.0,,,43-49,2,D. Murray makes 2-pt shot from 10 ft (assist by K. Anderson)
3:24.0,D. Mitchell makes 2-pt shot from 6 ft,2,45-49,,
3:04.0,,,45-49,,Turnover by L. Aldridge (out of bounds lost ball)
3:04.0,,,45-49,,M. Ginobili enters the game for K. Anderson
3:04.0,,,45-49,,D. Bertans enters the game for D. Green
2:52.0,D. Mitchell misses 2-pt shot from 15 ft,,45-49,,
2:48.0,,,45-49,,Defensive rebound by L. Aldridge
2:45.0,Personal foul by J. Crowder (drawn by M. Ginobili),,45-49,,
2:42.0,Personal foul by R. Gobert (drawn by P. Mills),,45-49,,
2:42.0,D. Favors enters the game for R. Gobert,,45-49,,
2:32.0,,,45-49,,L. Aldridge misses 2-pt shot from 2 ft (block by D. Favors)
2:28.0,Defensive rebound by D. Favors,,45-49,,
2:24.0,Turnover by R. Rubio (bad pass; steal by D. Bertans),,45-49,,
2:12.0,,,45-49,,D. Bertans misses 3-pt shot from 22 ft
2:09.0,,,45-49,,Offensive rebound by D. Bertans
2:06.0,,,45-49,,Turnover by D. Bertans (bad pass; steal by R. Rubio)
2:01.0,J. Crowder makes 2-pt shot from 2 ft (assist by J. Ingles),2,47-49,,
1:41.0,,,47-49,,M. Ginobili misses 3-pt shot from 23 ft
1:41.0,,,47-49,,Offensive rebound by L. Aldridge
1:28.0,,,47-51,2,L. Aldridge makes 2-pt shot from 3 ft
1:09.0,D. Favors makes 2-pt shot from 5 ft (assist by J. Ingles),2,49-51,,
0:44.0,,,49-54,3,D. Bertans makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:31.0,D. Mitchell misses 2-pt shot from 1 ft (block by L. Aldridge),,49-54,,
0:31.0,,,49-54,,Defensive rebound by Team
0:13.0,,,49-54,,Shooting foul by J. Ingles (drawn by M. Ginobili)
0:13.0,,,49-55,1,M. Ginobili makes free throw 1 of 2
0:13.0,,,49-55,,K. Anderson enters the game for P. Mills
0:13.0,,,49-55,,D. Green enters the game for D. Bertans
0:13.0,,,49-56,1,M. Ginobili makes free throw 2 of 2
0:01.0,D. Favors makes 2-pt shot at rim (assist by D. Mitchell),2,51-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,51-58,2,L. Aldridge makes 2-pt shot from 12 ft
11:25.0,J. Ingles misses 3-pt shot from 25 ft,,51-58,,
11:22.0,,,51-58,,Defensive rebound by K. Anderson
11:15.0,,,51-58,,K. Anderson misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by R. Gobert,,51-58,,
11:05.0,Shooting foul by L. Aldridge (drawn by J. Ingles),,51-58,,
11:05.0,J. Ingles makes free throw 1 of 2,1,52-58,,
11:05.0,J. Ingles makes free throw 2 of 2,1,53-58,,
10:47.0,,,53-60,2,P. Mills makes 2-pt shot from 15 ft
10:28.0,,,53-60,,Personal foul by D. Murray (drawn by J. Ingles)
10:20.0,,,53-60,,Personal foul by D. Green (drawn by R. Gobert)
10:08.0,R. Gobert misses 2-pt shot from 10 ft,,53-60,,
10:03.0,,,53-60,,Defensive rebound by D. Murray
9:53.0,,,53-63,3,P. Mills makes 3-pt shot from 24 ft
9:37.0,R. Rubio misses 2-pt shot from 8 ft,,53-63,,
9:34.0,,,53-63,,Defensive rebound by D. Murray
9:34.0,Personal foul by D. Mitchell (drawn by D. Murray),,53-63,,
9:28.0,,,53-63,,P. Mills misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by R. Gobert,,53-63,,
9:18.0,D. Mitchell misses 2-pt shot from 19 ft,,53-63,,
9:14.0,,,53-63,,Defensive rebound by D. Murray
9:07.0,Personal foul by D. Favors (drawn by L. Aldridge),,53-63,,
9:01.0,,,53-63,,P. Mills misses 2-pt shot from 11 ft
8:59.0,Defensive rebound by R. Rubio,,53-63,,
8:49.0,Shooting foul by D. Green (drawn by D. Favors),,53-63,,
8:49.0,D. Favors makes free throw 1 of 2,1,54-63,,
8:49.0,,,54-63,,M. Ginobili enters the game for D. Green
8:49.0,D. Favors misses free throw 2 of 2,,54-63,,
8:47.0,,,54-63,,Defensive rebound by K. Anderson
8:41.0,,,54-63,,Turnover by D. Murray (step out of bounds)
8:23.0,D. Mitchell misses 3-pt shot from 26 ft,,54-63,,
8:18.0,,,54-63,,Defensive rebound by K. Anderson
8:14.0,,,54-63,,D. Murray misses 2-pt shot at rim
8:12.0,Defensive rebound by D. Favors,,54-63,,
7:59.0,,,54-63,,Personal foul by D. Murray (drawn by D. Mitchell)
7:59.0,D. Mitchell makes free throw 1 of 2,1,55-63,,
7:59.0,D. Mitchell makes free throw 2 of 2,1,56-63,,
7:38.0,,,56-65,2,L. Aldridge makes 2-pt shot from 15 ft
7:15.0,R. Rubio makes 3-pt shot from 25 ft (assist by J. Ingles),3,59-65,,
7:01.0,,,59-67,2,D. Murray makes 2-pt shot at rim
6:45.0,Turnover by R. Rubio (bad pass; steal by K. Anderson),,59-67,,
6:32.0,,,59-67,,L. Aldridge misses 2-pt shot from 12 ft
6:29.0,Defensive rebound by D. Mitchell,,59-67,,
6:22.0,D. Mitchell makes 2-pt shot at rim,2,61-67,,
6:22.0,,,61-67,,San Antonio full timeout
6:22.0,,,61-67,,T. Parker enters the game for D. Murray
6:22.0,J. Crowder enters the game for R. Gobert,,61-67,,
6:07.0,,,61-69,2,K. Anderson makes 2-pt shot at rim (assist by M. Ginobili)
5:47.0,,,61-69,,Personal foul by T. Parker (drawn by D. Favors)
5:47.0,D. Favors makes free throw 1 of 2,1,62-69,,
5:47.0,D. Favors makes free throw 2 of 2,1,63-69,,
5:35.0,,,63-69,,M. Ginobili misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by J. Crowder,,63-69,,
5:22.0,Turnover by J. Ingles (lost ball; steal by L. Aldridge),,63-69,,
5:03.0,,,63-69,,K. Anderson misses 2-pt shot from 12 ft
4:59.0,Defensive rebound by D. Favors,,63-69,,
4:50.0,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles),3,66-69,,
4:32.0,,,66-71,2,P. Mills makes 2-pt shot from 3 ft
4:19.0,J. Crowder misses 2-pt shot from 1 ft (block by K. Anderson),,66-71,,
4:12.0,Offensive rebound by J. Crowder,,66-71,,
4:12.0,J. Crowder makes 2-pt shot from 1 ft,2,68-71,,
3:54.0,,,68-73,2,L. Aldridge makes 2-pt shot from 10 ft
3:33.0,D. Mitchell misses 2-pt shot from 12 ft,,68-73,,
3:33.0,Offensive rebound by Team,,68-73,,
3:33.0,,,68-73,,B. Forbes enters the game for K. Anderson
3:33.0,,,68-73,,P. Gasol enters the game for P. Mills
3:33.0,,,68-73,,R. Gay enters the game for L. Aldridge
3:33.0,R. Gobert enters the game for D. Favors,,68-73,,
3:33.0,J. Jerebko enters the game for J. Ingles,,68-73,,
3:33.0,,,68-73,,D. Murray enters the game for M. Ginobili
3:30.0,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Jerebko),3,71-73,,
3:10.0,,,71-73,,D. Murray misses 2-pt shot from 6 ft
3:10.0,Defensive rebound by R. Gobert,,71-73,,
2:58.0,R. Rubio misses 2-pt shot from 7 ft,,71-73,,
2:58.0,,,71-73,,Defensive rebound by Team
2:58.0,Loose ball foul by R. Gobert (drawn by P. Gasol),,71-73,,
2:40.0,,,71-73,,R. Gay misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by Team,,71-73,,
2:38.0,D. Exum enters the game for R. Rubio,,71-73,,
2:22.0,D. Mitchell makes 2-pt shot from 9 ft,2,73-73,,
2:04.0,,,73-75,2,R. Gay makes 2-pt shot from 9 ft
1:50.0,Turnover by D. Exum (traveling),,73-75,,
1:26.0,,,73-75,,R. Gay misses 2-pt shot from 6 ft
1:24.0,Defensive rebound by J. Jerebko,,73-75,,
1:15.0,J. Crowder misses 3-pt shot from 22 ft,,73-75,,
1:13.0,,,73-75,,Defensive rebound by Team
1:13.0,R. O'Neale enters the game for J. Jerebko,,73-75,,
0:56.0,,,73-77,2,R. Gay makes 2-pt shot from 7 ft
0:47.0,D. Mitchell misses 3-pt shot from 25 ft,,73-77,,
0:47.0,,,73-77,,Defensive rebound by B. Forbes
0:25.0,,,73-77,,B. Forbes misses 2-pt shot from 9 ft
0:24.0,,,73-77,,Offensive rebound by P. Gasol
0:24.0,J. Ingles enters the game for D. Exum,,73-77,,
0:22.0,,,73-77,,T. Parker misses 3-pt shot from 23 ft
0:21.0,,,73-77,,Offensive rebound by Team
0:21.0,,,73-77,,Turnover by Team (shot clock)
0:00.0,Turnover by R. O'Neale (bad pass; steal by D. Murray),,73-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Shooting foul by P. Gasol (drawn by R. Gobert),,73-77,,
11:50.0,R. Gobert makes free throw 1 of 2,1,74-77,,
11:50.0,R. Gobert makes free throw 2 of 2,1,75-77,,
11:30.0,,,75-77,,P. Gasol misses 2-pt shot from 8 ft
11:28.0,,,75-77,,Offensive rebound by R. Gay
11:28.0,,,75-77,,Shooting foul by R. Gobert (drawn by R. Gay)
11:28.0,,,75-77,,R. Gay misses free throw 1 of 2
11:28.0,,,75-77,,Offensive rebound by Team
11:28.0,,,75-78,1,R. Gay makes free throw 2 of 2
11:17.0,J. Jerebko misses 2-pt shot from 1 ft,,75-78,,
11:13.0,Offensive rebound by J. Jerebko,,75-78,,
11:00.0,J. Jerebko misses 3-pt shot from 22 ft,,75-78,,
10:57.0,,,75-78,,Defensive rebound by P. Gasol
10:49.0,,,75-78,,D. Murray misses 2-pt shot at rim
10:48.0,,,75-78,,Offensive rebound by P. Gasol
10:48.0,,,75-78,,Shooting foul by J. Crowder (drawn by P. Gasol)
10:48.0,,,75-79,1,P. Gasol makes free throw 1 of 2
10:48.0,,,75-80,1,P. Gasol makes free throw 2 of 2
10:34.0,J. Crowder makes 2-pt shot from 14 ft (assist by R. Gobert),2,77-80,,
10:15.0,,,77-82,2,R. Gay makes 2-pt shot from 7 ft
10:00.0,J. Ingles makes 2-pt shot from 5 ft,2,79-82,,
9:42.0,,,79-82,,R. Gay misses 2-pt shot from 8 ft
9:42.0,Defensive rebound by R. Gobert,,79-82,,
9:42.0,,,79-82,,Personal foul by R. Gay (drawn by R. Gobert)
9:27.0,J. Ingles misses 2-pt shot from 8 ft (block by P. Gasol),,79-82,,
9:24.0,,,79-82,,Defensive rebound by P. Gasol
9:17.0,,,79-85,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Gasol)
9:10.0,Utah full timeout,,79-85,,
9:10.0,,,79-85,,P. Mills enters the game for D. Murray
9:10.0,,,79-85,,D. Green enters the game for B. Forbes
9:10.0,R. Rubio enters the game for D. Exum,,79-85,,
9:00.0,J. Crowder misses 2-pt shot from 18 ft,,79-85,,
8:55.0,,,79-85,,Defensive rebound by P. Gasol
8:41.0,,,79-87,2,P. Mills makes 2-pt shot from 20 ft
8:29.0,Shooting foul by D. Green (drawn by R. Rubio),,79-87,,
8:29.0,R. Rubio makes free throw 1 of 2,1,80-87,,
8:29.0,,,80-87,,B. Forbes enters the game for D. Green
8:29.0,R. O'Neale enters the game for J. Jerebko,,80-87,,
8:29.0,R. Rubio makes free throw 2 of 2,1,81-87,,
8:14.0,,,81-89,2,R. Gay makes 2-pt shot at rim
7:58.0,Shooting foul by P. Gasol (drawn by R. Rubio),,81-89,,
7:58.0,R. Rubio makes free throw 1 of 2,1,82-89,,
7:58.0,,,82-89,,L. Aldridge enters the game for P. Gasol
7:58.0,D. Favors enters the game for R. Gobert,,82-89,,
7:58.0,D. Mitchell enters the game for J. Crowder,,82-89,,
7:58.0,R. Rubio makes free throw 2 of 2,1,83-89,,
7:44.0,,,83-89,,R. Gay misses 3-pt shot from 24 ft
7:42.0,,,83-89,,Offensive rebound by M. Ginobili
7:42.0,,,83-91,2,M. Ginobili makes 2-pt shot at rim
7:42.0,,,83-91,,Shooting foul by R. O'Neale (drawn by M. Ginobili)
7:42.0,,,83-92,1,M. Ginobili makes free throw 1 of 1
7:32.0,D. Favors misses 2-pt shot from 18 ft,,83-92,,
7:28.0,,,83-92,,Defensive rebound by L. Aldridge
7:16.0,,,83-92,,Turnover by L. Aldridge (bad pass; steal by R. Rubio)
7:12.0,D. Favors makes 2-pt shot from 4 ft (assist by R. Rubio),2,85-92,,
7:12.0,Shooting foul by M. Ginobili (drawn by D. Favors),,85-92,,
7:12.0,D. Favors makes free throw 1 of 1,1,86-92,,
6:55.0,,,86-94,2,M. Ginobili makes 2-pt shot at rim (assist by L. Aldridge)
6:42.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio),2,88-94,,
6:28.0,,,88-94,,Shooting foul by R. O'Neale (drawn by R. Gay)
6:28.0,,,88-94,,R. Gay misses free throw 1 of 2
6:28.0,,,88-94,,Offensive rebound by Team
6:28.0,J. Crowder enters the game for J. Ingles,,88-94,,
6:28.0,,,88-95,1,R. Gay makes free throw 2 of 2
6:20.0,,,88-95,,Personal foul by L. Aldridge (drawn by R. Rubio)
6:20.0,R. Rubio makes free throw 1 of 2,1,89-95,,
6:20.0,,,89-95,,K. Anderson enters the game for R. Gay
6:20.0,R. Gobert enters the game for R. O'Neale,,89-95,,
6:20.0,R. Rubio makes free throw 2 of 2,1,90-95,,
5:58.0,,,90-97,2,L. Aldridge makes 2-pt shot from 11 ft
5:41.0,D. Mitchell misses 2-pt shot from 19 ft,,90-97,,
5:39.0,,,90-97,,Defensive rebound by M. Ginobili
5:36.0,Personal foul by D. Favors (drawn by L. Aldridge),,90-97,,
5:36.0,,,90-97,,L. Aldridge misses free throw 1 of 2
5:36.0,,,90-97,,Offensive rebound by Team
5:36.0,,,90-98,1,L. Aldridge makes free throw 2 of 2
5:20.0,D. Favors makes 3-pt shot from 22 ft (assist by R. Rubio),3,93-98,,
5:03.0,,,93-100,2,P. Mills makes 2-pt shot from 19 ft
4:48.0,Turnover by D. Mitchell (bad pass; steal by K. Anderson),,93-100,,
4:42.0,,,93-100,,Turnover by K. Anderson (bad pass; steal by D. Mitchell)
4:39.0,Turnover by D. Favors (traveling),,93-100,,
4:39.0,,,93-100,,D. Green enters the game for B. Forbes
4:39.0,J. Ingles enters the game for J. Crowder,,93-100,,
4:22.0,,,93-100,,L. Aldridge misses 2-pt shot at rim
4:20.0,Defensive rebound by D. Favors,,93-100,,
4:16.0,Turnover by R. Rubio (bad pass; steal by K. Anderson),,93-100,,
4:13.0,,,93-100,,Turnover by K. Anderson (lost ball; steal by D. Mitchell)
4:09.0,D. Mitchell misses 2-pt shot from 4 ft (block by D. Green),,93-100,,
4:09.0,Offensive rebound by R. Gobert,,93-100,,
4:09.0,Shooting foul by M. Ginobili (drawn by R. Gobert),,93-100,,
4:09.0,R. Gobert makes free throw 1 of 2,1,94-100,,
4:09.0,,,94-100,,D. Murray enters the game for M. Ginobili
4:09.0,R. Gobert makes free throw 2 of 2,1,95-100,,
3:48.0,,,95-100,,Turnover by L. Aldridge (lost ball; steal by D. Mitchell)
3:45.0,D. Mitchell makes 2-pt shot from 1 ft,2,97-100,,
3:44.0,,,97-100,,San Antonio full timeout
3:44.0,,,97-100,,R. Gay enters the game for K. Anderson
3:25.0,,,97-100,,L. Aldridge misses 2-pt shot from 12 ft
