time,Cleveland,pts.away,score,pts.home,Philadelphia
4:02.0,,,19-18,,J. Bayless misses 3-pt shot from 23 ft
3:56.0,,,19-18,,Offensive rebound by T. Luwawu-Cabarrot
3:56.0,,,19-20,2,T. Luwawu-Cabarrot makes 2-pt shot at rim
3:52.0,Turnover by J. Calderon (bad pass; steal by B. Simmons),,19-20,,
3:40.0,Personal foul by J. Calderon (drawn by T. McConnell),,19-20,,
3:40.0,,,19-20,,J. Embiid enters the game for A. Johnson
3:40.0,,,19-20,,D. Saric enters the game for B. Simmons
3:40.0,D. Wade enters the game for K. Love,,19-20,,
3:40.0,C. Frye enters the game for J. Calderon,,19-20,,
3:40.0,J. Green enters the game for J. Crowder,,19-20,,
3:26.0,,,19-22,2,J. Embiid makes 2-pt shot from 15 ft (assist by T. Luwawu-Cabarrot)
3:08.0,J. Green makes 2-pt shot from 3 ft,2,21-22,,
2:50.0,,,21-22,,J. Embiid misses 2-pt shot from 10 ft
2:50.0,Defensive rebound by L. James,,21-22,,
2:42.0,L. James misses 2-pt shot from 1 ft (block by D. Saric),,21-22,,
2:42.0,Offensive rebound by Team,,21-22,,
2:42.0,Cleveland full timeout,,21-22,,
2:42.0,,,21-22,,J. Redick enters the game for J. Bayless
2:27.0,L. James misses 3-pt shot from 24 ft,,21-22,,
2:24.0,,,21-22,,Defensive rebound by J. Redick
2:05.0,,,21-22,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
2:03.0,,,21-22,,Offensive rebound by Team
2:03.0,I. Shumpert enters the game for L. James,,21-22,,
1:58.0,,,21-22,,Turnover by D. Saric (bad pass; steal by C. Frye)
1:53.0,D. Wade makes 3-pt shot from 25 ft,3,24-22,,
1:40.0,,,24-22,,J. Redick misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by K. Korver,,24-22,,
1:32.0,,,24-22,,Personal foul by T. Luwawu-Cabarrot (drawn by D. Wade)
1:32.0,D. Wade makes free throw 1 of 2,1,25-22,,
1:32.0,,,25-22,,B. Simmons enters the game for T. McConnell
1:32.0,D. Wade makes free throw 2 of 2,1,26-22,,
1:08.0,,,26-22,,Turnover by Team (shot clock)
0:58.0,C. Frye makes 3-pt shot from 26 ft (assist by D. Wade),3,29-22,,
0:45.0,,,29-22,,J. Embiid misses 2-pt shot from 12 ft
0:43.0,,,29-22,,Offensive rebound by D. Saric
0:36.0,,,29-22,,Turnover by B. Simmons (bad pass)
0:28.0,Jump ball: T. Luwawu-Cabarrot vs. D. Wade (C. Frye gains possession),,,,Jump ball: T. Luwawu-Cabarrot vs. D. Wade (C. Frye gains possession)
0:16.0,D. Wade misses 2-pt shot from 18 ft,,29-22,,
0:12.0,,,29-22,,Defensive rebound by D. Saric
0:04.0,,,29-22,,D. Saric misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by J. Green,,29-22,,
0:00.0,J. Green misses 3-pt shot from 58 ft,,29-22,,
0:00.0,Offensive rebound by Team,,29-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Korver misses 3-pt shot from 26 ft,,29-22,,
11:40.0,,,29-22,,Defensive rebound by B. Simmons
11:28.0,,,29-22,,J. Embiid misses 2-pt shot from 1 ft
11:26.0,,,29-22,,Offensive rebound by J. Embiid
11:25.0,,,29-24,2,J. Embiid makes 2-pt shot from 1 ft
11:05.0,D. Wade makes 2-pt shot from 5 ft,2,31-24,,
10:50.0,,,31-24,,J. Redick misses 2-pt shot from 22 ft
10:46.0,,,31-24,,Offensive rebound by D. Saric
10:36.0,,,31-24,,D. Saric misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by C. Frye,,31-24,,
10:27.0,D. Wade makes 2-pt shot at rim,2,33-24,,
10:18.0,,,33-26,2,B. Simmons makes 2-pt shot from 3 ft
10:02.0,C. Frye makes 2-pt shot from 1 ft (assist by D. Wade),2,35-26,,
10:02.0,,,35-26,,Philadelphia full timeout
10:02.0,,,35-26,,T. McConnell enters the game for D. Saric
9:48.0,Personal foul by C. Frye (drawn by J. Embiid),,35-26,,
9:35.0,,,35-26,,J. Bayless misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by D. Wade,,35-26,,
9:26.0,D. Wade misses 2-pt shot from 11 ft,,35-26,,
9:23.0,Offensive rebound by J. Green,,35-26,,
9:12.0,D. Wade makes 2-pt shot from 15 ft,2,37-26,,
8:49.0,,,37-28,2,T. McConnell makes 2-pt shot from 14 ft
8:28.0,J. Green makes 2-pt shot from 1 ft (assist by D. Wade),2,39-28,,
8:22.0,,,39-28,,J. Redick misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by C. Frye,,39-28,,
8:12.0,I. Shumpert misses 2-pt shot from 21 ft,,39-28,,
8:08.0,,,39-28,,Defensive rebound by B. Simmons
8:01.0,,,39-28,,J. Embiid misses 2-pt shot from 19 ft
7:57.0,Defensive rebound by J. Green,,39-28,,
7:52.0,J. Green makes 2-pt shot at rim,2,41-28,,
7:52.0,,,41-28,,Philadelphia full timeout
7:52.0,,,41-28,,A. Johnson enters the game for J. Redick
7:52.0,,,41-28,,R. Covington enters the game for J. Embiid
7:29.0,,,41-28,,B. Simmons misses 2-pt shot from 1 ft
7:28.0,,,41-28,,Offensive rebound by A. Johnson
7:28.0,,,41-28,,Shooting foul by C. Frye (drawn by A. Johnson)
7:28.0,,,41-28,,A. Johnson misses free throw 1 of 2
7:28.0,,,41-28,,Offensive rebound by Team
7:28.0,,,41-29,1,A. Johnson makes free throw 2 of 2
7:08.0,,,41-29,,Shooting block foul by J. Bayless (drawn by D. Wade)
7:08.0,D. Wade misses free throw 1 of 3,,41-29,,
7:08.0,Offensive rebound by Team,,41-29,,
7:08.0,K. Love enters the game for I. Shumpert,,41-29,,
7:08.0,J. Smith enters the game for C. Frye,,41-29,,
7:08.0,L. James enters the game for K. Korver,,41-29,,
7:08.0,D. Wade makes free throw 2 of 3,1,42-29,,
7:08.0,D. Wade misses free throw 3 of 3,,42-29,,
7:08.0,,,42-29,,Defensive rebound by B. Simmons
6:56.0,,,42-31,2,J. Bayless makes 2-pt shot from 1 ft (assist by R. Covington)
6:35.0,J. Green misses 3-pt shot from 25 ft,,42-31,,
6:32.0,Offensive rebound by D. Wade,,42-31,,
6:29.0,D. Wade misses 2-pt shot from 16 ft,,42-31,,
6:29.0,Offensive rebound by Team,,42-31,,
6:27.0,,,42-31,,J. Redick enters the game for J. Bayless
6:27.0,,,42-31,,D. Saric enters the game for B. Simmons
6:14.0,K. Love misses 3-pt shot from 25 ft,,42-31,,
6:11.0,,,42-31,,Defensive rebound by R. Covington
6:06.0,,,42-31,,R. Covington misses 3-pt shot from 26 ft
6:02.0,,,42-31,,Offensive rebound by A. Johnson
6:00.0,,,42-31,,R. Covington misses 3-pt shot from 23 ft
6:00.0,Defensive rebound by J. Smith,,42-31,,
5:46.0,Turnover by L. James (bad pass; steal by R. Covington),,42-31,,
5:43.0,,,42-33,2,T. McConnell makes 2-pt shot from 1 ft
5:33.0,,,42-33,,Personal foul by A. Johnson (drawn by K. Love)
5:33.0,J. Crowder enters the game for J. Green,,42-33,,
5:19.0,L. James makes 2-pt shot from 14 ft (assist by D. Wade),2,44-33,,
5:06.0,,,44-33,,T. McConnell misses 2-pt shot from 12 ft (block by D. Wade)
5:03.0,,,44-33,,Offensive rebound by T. McConnell
4:53.0,,,44-33,,Turnover by Team (shot clock)
4:45.0,Turnover by L. James (bad pass),,44-33,,
4:35.0,,,44-35,2,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell)
4:12.0,K. Love makes 2-pt shot at rim (assist by L. James),2,46-35,,
3:54.0,,,46-37,2,J. Redick makes 2-pt shot from 1 ft (assist by A. Johnson)
3:33.0,Turnover by J. Crowder (bad pass),,46-37,,
3:33.0,,,46-37,,J. Embiid enters the game for A. Johnson
3:33.0,,,46-37,,B. Simmons enters the game for T. McConnell
3:33.0,J. Calderon enters the game for D. Wade,,46-37,,
3:24.0,Personal foul by J. Smith (drawn by J. Redick),,46-37,,
3:18.0,,,46-37,,J. Embiid misses 2-pt shot at rim
3:17.0,Defensive rebound by Team,,46-37,,
3:17.0,,,46-37,,Loose ball foul by J. Embiid (drawn by K. Love)
2:54.0,L. James misses 2-pt shot from 16 ft,,46-37,,
2:52.0,,,46-37,,Defensive rebound by J. Embiid
2:35.0,,,46-37,,R. Covington misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by J. Smith,,46-37,,
2:25.0,Turnover by J. Crowder (out of bounds lost ball),,46-37,,
2:15.0,Personal foul by J. Calderon (drawn by J. Embiid),,46-37,,
2:06.0,,,46-37,,J. Embiid misses 2-pt shot from 1 ft
2:02.0,,,46-37,,Offensive rebound by D. Saric
2:02.0,,,46-39,2,D. Saric makes 2-pt shot at rim
1:48.0,L. James makes 2-pt shot from 2 ft,2,48-39,,
1:34.0,,,48-39,,J. Redick misses 2-pt shot at rim
1:30.0,,,48-39,,Offensive rebound by D. Saric
1:30.0,,,48-41,2,D. Saric makes 2-pt shot at rim
1:15.0,J. Crowder misses 3-pt shot from 26 ft,,48-41,,
1:11.0,,,48-41,,Defensive rebound by R. Covington
1:03.0,,,48-41,,Shooting foul by K. Love (drawn by J. Embiid)
1:03.0,,,48-42,1,J. Embiid makes free throw 1 of 2
1:03.0,,,48-42,,J. Bayless enters the game for R. Covington
1:03.0,,,48-43,1,J. Embiid makes free throw 2 of 2
0:51.0,,,48-43,,Personal foul by J. Embiid (drawn by K. Love)
0:37.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,50-43,,
0:25.0,,,50-45,2,J. Embiid makes 2-pt shot from 4 ft (assist by J. Bayless)
0:03.0,L. James misses 3-pt shot from 25 ft,,50-45,,
0:00.0,Offensive rebound by L. James,,50-45,,
0:00.0,L. James makes 3-pt shot from 23 ft,3,53-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Crowder misses 3-pt shot from 25 ft,,53-45,,
11:41.0,,,53-45,,Defensive rebound by J. Embiid
11:34.0,,,53-45,,Offensive charge foul by B. Simmons (drawn by L. James)
11:34.0,,,53-45,,Turnover by B. Simmons (offensive foul)
11:19.0,K. Love misses 3-pt shot from 27 ft,,53-45,,
11:19.0,,,53-45,,Defensive rebound by R. Covington
11:08.0,,,53-45,,R. Covington misses 2-pt shot from 18 ft
11:06.0,Defensive rebound by J. Crowder,,53-45,,
11:00.0,L. James makes 2-pt shot from 19 ft,2,55-45,,
10:45.0,,,55-47,2,J. Embiid makes 2-pt shot from 15 ft
10:45.0,,,55-47,,Shooting foul by K. Love (drawn by J. Embiid)
10:45.0,,,55-48,1,J. Embiid makes free throw 1 of 1
10:27.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,58-48,,
10:11.0,Personal foul by J. Calderon (drawn by R. Covington),,58-48,,
10:02.0,,,58-50,2,J. Embiid makes 2-pt shot at rim (assist by R. Covington)
9:43.0,L. James misses 2-pt shot from 21 ft,,58-50,,
9:40.0,Offensive rebound by K. Love,,58-50,,
9:37.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,60-50,,
9:28.0,,,60-50,,D. Saric misses 2-pt shot at rim
9:25.0,Defensive rebound by L. James,,60-50,,
9:21.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Calderon),3,63-50,,
9:20.0,,,63-50,,Philadelphia full timeout
8:59.0,,,63-52,2,R. Covington makes 2-pt shot from 17 ft (assist by B. Simmons)
8:36.0,Turnover by K. Love (lost ball; steal by B. Simmons),,63-52,,
8:29.0,,,63-52,,Turnover by R. Covington (out of bounds lost ball)
8:15.0,J. Smith makes 3-pt shot from 22 ft (assist by K. Love),3,66-52,,
8:02.0,,,66-52,,B. Simmons misses 2-pt shot from 5 ft
8:02.0,,,66-52,,Offensive rebound by Team
8:02.0,Personal foul by J. Crowder (drawn by J. Embiid),,66-52,,
8:02.0,,,66-52,,T. McConnell enters the game for D. Saric
7:40.0,,,66-55,3,T. McConnell makes 3-pt shot from 23 ft (assist by J. Redick)
7:25.0,Turnover by L. James (bad pass),,66-55,,
7:21.0,Personal foul by J. Crowder (drawn by B. Simmons),,66-55,,
7:08.0,,,66-58,3,J. Redick makes 3-pt shot from 26 ft (assist by R. Covington)
6:53.0,L. James misses 3-pt shot from 27 ft,,66-58,,
6:49.0,,,66-58,,Defensive rebound by J. Embiid
6:36.0,,,66-58,,Turnover by R. Covington (bad pass; steal by J. Calderon)
6:30.0,J. Crowder misses 2-pt shot from 5 ft,,66-58,,
6:26.0,,,66-58,,Defensive rebound by T. McConnell
6:21.0,,,66-58,,R. Covington misses 3-pt shot from 27 ft
6:21.0,,,66-58,,Offensive rebound by J. Embiid
6:17.0,,,66-60,2,J. Embiid makes 2-pt shot at rim
6:17.0,Cleveland full timeout,,66-60,,
6:00.0,K. Love makes 3-pt shot from 25 ft (assist by J. Calderon),3,69-60,,
5:48.0,,,69-60,,T. McConnell misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by L. James,,69-60,,
5:40.0,K. Love misses 3-pt shot from 26 ft,,69-60,,
5:36.0,,,69-60,,Defensive rebound by Team
5:35.0,,,69-60,,J. Bayless enters the game for J. Redick
5:35.0,D. Wade enters the game for J. Calderon,,69-60,,
5:20.0,,,69-60,,Shooting foul by K. Love (drawn by J. Embiid)
5:20.0,,,69-61,1,J. Embiid makes free throw 1 of 2
5:20.0,J. Green enters the game for J. Crowder,,69-61,,
5:20.0,,,69-62,1,J. Embiid makes free throw 2 of 2
5:05.0,K. Love misses 2-pt shot from 13 ft,,69-62,,
5:00.0,Offensive rebound by J. Green,,69-62,,
5:00.0,J. Green misses 2-pt shot from 1 ft,,69-62,,
4:56.0,Offensive rebound by J. Green,,69-62,,
4:56.0,J. Green makes 2-pt shot at rim,2,71-62,,
4:48.0,Personal foul by K. Love (drawn by J. Embiid),,71-62,,
4:48.0,,,71-63,1,J. Embiid makes free throw 1 of 2
4:48.0,C. Frye enters the game for K. Love,,71-63,,
4:48.0,,,71-63,,J. Embiid misses free throw 2 of 2
4:45.0,Defensive rebound by L. James,,71-63,,
4:29.0,,,71-63,,J. Redick enters the game for B. Simmons
4:29.0,,,71-63,,D. Saric enters the game for R. Covington
4:24.0,L. James misses 2-pt shot from 16 ft,,71-63,,
4:21.0,,,71-63,,Defensive rebound by T. McConnell
4:14.0,,,71-65,2,T. McConnell makes 2-pt shot from 16 ft
3:56.0,J. Smith misses 3-pt shot from 27 ft,,71-65,,
3:56.0,,,71-65,,Defensive rebound by T. McConnell
3:39.0,,,71-65,,J. Bayless misses 2-pt shot at rim
3:34.0,,,71-65,,Offensive rebound by J. Embiid
3:34.0,,,71-67,2,J. Embiid makes 2-pt shot at rim
3:25.0,,,71-67,,Personal foul by T. McConnell (drawn by D. Wade)
3:25.0,K. Korver enters the game for J. Smith,,71-67,,
3:19.0,Shooting foul by J. Embiid (drawn by D. Wade),,71-67,,
3:19.0,D. Wade makes free throw 1 of 2,1,72-67,,
3:19.0,D. Wade misses free throw 2 of 2,,72-67,,
3:16.0,,,72-67,,Defensive rebound by T. McConnell
3:06.0,,,72-69,2,J. Embiid makes 2-pt shot at rim
2:53.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,75-69,,
2:45.0,,,75-69,,J. Embiid misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by D. Wade,,75-69,,
2:23.0,D. Wade misses 3-pt shot from 24 ft,,75-69,,
2:18.0,Offensive rebound by L. James,,75-69,,
2:12.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,78-69,,
1:49.0,,,78-69,,Shooting foul by C. Frye (drawn by J. Embiid)
1:49.0,,,78-70,1,J. Embiid makes free throw 1 of 2
1:49.0,,,78-70,,B. Simmons enters the game for D. Saric
1:49.0,J. Smith enters the game for L. James,,78-70,,
1:49.0,,,78-71,1,J. Embiid makes free throw 2 of 2
1:29.0,J. Green makes 2-pt shot at rim (assist by J. Smith),2,80-71,,
1:13.0,,,80-71,,Turnover by J. Redick (out of bounds lost ball)
1:13.0,,,80-71,,A. Johnson enters the game for J. Embiid
1:08.0,Shooting foul by B. Simmons (drawn by J. Green),,80-71,,
1:08.0,J. Green makes free throw 1 of 2,1,81-71,,
1:08.0,J. Green makes free throw 2 of 2,1,82-71,,
0:52.0,,,82-71,,J. Redick misses 3-pt shot from 23 ft
0:49.0,Defensive rebound by J. Green,,82-71,,
0:41.0,,,82-71,,Personal foul by A. Johnson (drawn by C. Frye)
0:41.0,C. Frye makes free throw 1 of 2,1,83-71,,
0:41.0,C. Frye makes free throw 2 of 2,1,84-71,,
0:33.0,,,84-71,,B. Simmons misses 2-pt shot from 6 ft
0:30.0,Defensive rebound by J. Green,,84-71,,
0:17.0,D. Wade makes 2-pt shot from 2 ft (assist by C. Frye),2,86-71,,
0:03.0,,,86-71,,B. Simmons misses 2-pt shot from 14 ft
0:01.0,,,86-71,,Offensive rebound by A. Johnson
0:00.0,,,86-71,,Shooting foul by D. Wade (drawn by J. Bayless)
0:00.0,,,86-72,1,J. Bayless makes free throw 1 of 3
0:00.0,,,86-72,,J. Bayless misses free throw 2 of 3
0:00.0,,,86-72,,Offensive rebound by Team
0:00.0,,,86-73,1,J. Bayless makes free throw 3 of 3
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,86-73,,Turnover by J. Redick (bad pass; steal by C. Frye)
11:43.0,D. Wade misses 2-pt shot from 15 ft,,86-73,,
11:41.0,,,86-73,,Defensive rebound by D. Saric
11:27.0,,,86-73,,J. Embiid misses 2-pt shot from 15 ft
11:24.0,,,86-73,,Offensive rebound by B. Simmons
11:21.0,,,86-73,,R. Covington misses 3-pt shot from 26 ft
11:21.0,,,86-73,,Offensive rebound by B. Simmons
11:16.0,,,86-75,2,B. Simmons makes 2-pt shot at rim
11:00.0,Turnover by D. Wade (lost ball; steal by B. Simmons),,86-75,,
10:51.0,,,86-77,2,B. Simmons makes 2-pt shot at rim (assist by R. Covington)
10:32.0,J. Green misses 2-pt shot from 22 ft,,86-77,,
10:29.0,,,86-77,,Defensive rebound by R. Covington
10:25.0,,,86-77,,R. Covington misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by J. Smith,,86-77,,
10:21.0,,,86-77,,Personal foul by J. Embiid (drawn by J. Smith)
10:12.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Wade),3,89-77,,
10:00.0,Personal foul by C. Frye (drawn by R. Covington),,89-77,,
9:51.0,,,89-77,,Turnover by J. Embiid (bad pass; steal by K. Korver)
9:47.0,C. Frye makes 2-pt shot from 2 ft (assist by K. Korver),2,91-77,,
9:47.0,,,91-77,,Philadelphia full timeout
9:37.0,,,91-77,,J. Redick misses 2-pt shot from 17 ft
9:34.0,Defensive rebound by C. Frye,,91-77,,
9:13.0,K. Korver makes 3-pt shot from 25 ft (assist by C. Frye),3,94-77,,
8:57.0,,,94-77,,J. Redick misses 2-pt shot from 1 ft (block by J. Green)
8:50.0,,,94-77,,Offensive rebound by J. Embiid
8:50.0,,,94-79,2,J. Embiid makes 2-pt shot at rim
8:28.0,Turnover by D. Wade (bad pass; steal by J. Redick),,94-79,,
8:26.0,Personal foul by K. Korver (drawn by J. Redick),,94-79,,
8:26.0,L. James enters the game for J. Smith,,94-79,,
8:12.0,,,94-79,,J. Embiid misses 2-pt shot from 17 ft
8:10.0,Defensive rebound by L. James,,94-79,,
8:05.0,L. James misses 2-pt shot from 1 ft,,94-79,,
8:03.0,,,94-79,,Defensive rebound by D. Saric
7:58.0,,,94-79,,R. Covington misses 3-pt shot from 27 ft
7:58.0,Defensive rebound by L. James,,94-79,,
7:50.0,D. Wade misses 2-pt shot from 6 ft,,94-79,,
7:48.0,,,94-79,,Defensive rebound by J. Embiid
7:33.0,,,94-79,,J. Embiid misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by J. Green,,94-79,,
7:26.0,C. Frye misses 3-pt shot from 23 ft,,94-79,,
7:22.0,,,94-79,,Defensive rebound by J. Embiid
7:10.0,,,94-79,,B. Simmons misses 2-pt shot from 4 ft
7:07.0,,,94-79,,Offensive rebound by J. Embiid
7:07.0,,,94-79,,J. Embiid misses 2-pt shot at rim (block by D. Wade)
7:07.0,Defensive rebound by J. Green,,94-79,,
6:47.0,L. James makes 2-pt shot from 22 ft,2,96-79,,
6:45.0,,,96-79,,Philadelphia full timeout
6:45.0,,,96-79,,T. McConnell enters the game for J. Embiid
6:45.0,K. Love enters the game for C. Frye,,96-79,,
6:34.0,,,96-79,,D. Saric misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by D. Wade,,96-79,,
6:15.0,D. Wade misses 2-pt shot from 1 ft,,96-79,,
6:12.0,,,96-79,,Defensive rebound by T. McConnell
6:07.0,,,96-79,,R. Covington misses 3-pt shot from 25 ft
6:03.0,,,96-79,,Offensive rebound by D. Saric
6:00.0,,,96-79,,R. Covington misses 3-pt shot from 24 ft
6:00.0,,,96-79,,Offensive rebound by B. Simmons
5:57.0,,,96-79,,T. McConnell misses 3-pt shot from 24 ft
5:57.0,,,96-79,,Offensive rebound by Team
5:51.0,,,96-79,,Shooting foul by K. Korver (drawn by J. Redick)
5:51.0,,,96-80,1,J. Redick makes free throw 1 of 2
5:51.0,,,96-81,1,J. Redick makes free throw 2 of 2
5:36.0,K. Love makes 3-pt shot from 23 ft (assist by J. Green),3,99-81,,
5:21.0,,,99-81,,Turnover by B. Simmons (bad pass; steal by K. Love)
5:09.0,,,99-81,,Personal foul by D. Saric (drawn by K. Korver)
5:09.0,,,99-81,,T. Luwawu-Cabarrot enters the game for B. Simmons
5:06.0,L. James makes 2-pt shot from 1 ft (assist by J. Green),2,101-81,,
5:05.0,,,101-81,,Philadelphia full timeout
5:05.0,,,101-81,,J. Bayless enters the game for J. Redick
5:05.0,J. Smith enters the game for D. Wade,,101-81,,
4:51.0,,,101-81,,Turnover by R. Covington (bad pass)
4:39.0,Shooting foul by D. Saric (drawn by K. Love),,101-81,,
4:39.0,K. Love makes free throw 1 of 3,1,102-81,,
4:39.0,K. Love makes free throw 2 of 3,1,103-81,,
4:39.0,,,103-81,,R. Holmes enters the game for R. Covington
4:39.0,J. Holland enters the game for L. James,,103-81,,
4:39.0,C. Osman enters the game for K. Korver,,103-81,,
4:39.0,J. Calderon enters the game for J. Smith,,103-81,,
4:39.0,K. Love makes free throw 3 of 3,1,104-81,,
