time,Houston,pts.away,score,pts.home,Oklahoma City
7:07.0,,,14-18,,J. Huestis enters the game for A. Roberson
7:07.0,J. Harden makes free throw 2 of 2,1,15-18,,
6:52.0,,,15-18,,Shooting foul by C. Capela (drawn by C. Anthony)
6:52.0,,,15-18,,Oklahoma City full timeout
6:52.0,,,15-19,1,C. Anthony makes free throw 1 of 2
6:52.0,,,15-20,1,C. Anthony makes free throw 2 of 2
6:38.0,Shooting foul by C. Anthony (drawn by J. Harden),,15-20,,
6:38.0,J. Harden makes free throw 1 of 2,1,16-20,,
6:38.0,J. Harden makes free throw 2 of 2,1,17-20,,
6:26.0,,,17-20,,R. Westbrook misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by C. Capela,,17-20,,
6:10.0,C. Capela misses 2-pt shot from 2 ft,,17-20,,
6:06.0,Offensive rebound by T. Ariza,,17-20,,
6:04.0,T. Ariza makes 2-pt shot from 1 ft,2,19-20,,
5:55.0,,,19-20,,P. George misses 3-pt shot from 24 ft
5:53.0,,,19-20,,Offensive rebound by S. Adams
5:53.0,,,19-22,2,S. Adams makes 2-pt shot at rim
5:36.0,J. Harden misses 3-pt shot from 25 ft,,19-22,,
5:36.0,,,19-22,,Defensive rebound by C. Anthony
5:29.0,,,19-22,,R. Westbrook misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by R. Anderson,,19-22,,
5:19.0,C. Capela misses 2-pt shot from 7 ft,,19-22,,
5:18.0,J. Harden misses 2-pt shot from 1 ft (block by J. Huestis),,19-22,,
5:18.0,,,19-22,,Defensive rebound by S. Adams
5:18.0,Defensive rebound by J. Harden,,19-22,,
5:08.0,,,19-22,,R. Westbrook misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by C. Capela,,19-22,,
4:44.0,T. Ariza makes 3-pt shot from 22 ft (assist by C. Capela),3,22-22,,
4:25.0,,,22-22,,Turnover by P. George (bad pass; steal by C. Capela)
4:19.0,T. Ariza makes 2-pt shot from 1 ft,2,24-22,,
4:19.0,,,24-22,,Oklahoma City full timeout
4:19.0,,,24-22,,A. Roberson enters the game for C. Anthony
4:19.0,,,24-22,,J. Grant enters the game for P. George
4:19.0,B. Weber enters the game for E. Gordon,,24-22,,
4:19.0,N. Hilario enters the game for C. Capela,,24-22,,
4:19.0,P. Tucker enters the game for R. Anderson,,24-22,,
4:05.0,,,24-22,,Turnover by A. Roberson (bad pass; steal by P. Tucker)
3:44.0,B. Weber misses 3-pt shot from 22 ft,,24-22,,
3:40.0,,,24-22,,Defensive rebound by J. Grant
3:38.0,Personal foul by B. Weber (drawn by R. Westbrook),,24-22,,
3:21.0,,,24-22,,R. Westbrook misses 2-pt shot from 16 ft
3:18.0,,,24-22,,Offensive rebound by S. Adams
3:16.0,,,24-22,,S. Adams misses 2-pt shot from 8 ft
3:16.0,Defensive rebound by B. Weber,,24-22,,
3:06.0,N. Hilario makes 2-pt shot from 7 ft (assist by J. Harden),2,26-22,,
2:55.0,,,26-22,,R. Westbrook misses 2-pt shot at rim
2:54.0,,,26-22,,Offensive rebound by S. Adams
2:54.0,,,26-24,2,S. Adams makes 2-pt shot at rim
2:43.0,,,26-24,,Personal foul by A. Roberson (drawn by J. Harden)
2:43.0,,,26-24,,R. Felton enters the game for R. Westbrook
2:43.0,,,26-24,,P. George enters the game for A. Roberson
2:40.0,J. Harden misses 3-pt shot from 25 ft,,26-24,,
2:40.0,,,26-24,,Defensive rebound by J. Grant
2:27.0,,,26-24,,J. Grant misses 2-pt shot from 6 ft
2:27.0,,,26-24,,Offensive rebound by S. Adams
2:16.0,,,26-24,,Turnover by R. Felton (bad pass; steal by P. Tucker)
2:06.0,N. Hilario misses 2-pt shot from 18 ft,,26-24,,
2:04.0,,,26-24,,Defensive rebound by J. Huestis
1:48.0,,,26-24,,J. Grant misses 2-pt shot from 2 ft (block by N. Hilario)
1:44.0,,,26-24,,Offensive rebound by S. Adams
1:44.0,,,26-24,,S. Adams misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by T. Ariza,,26-24,,
1:28.0,J. Harden makes 3-pt shot from 27 ft (assist by B. Weber),3,29-24,,
1:03.0,,,29-27,3,P. George makes 3-pt shot from 25 ft
1:03.0,,,29-27,,Shooting foul by T. Ariza (drawn by P. George)
1:03.0,,,29-27,,P. Patterson enters the game for S. Adams
1:03.0,E. Gordon enters the game for J. Harden,,29-27,,
1:03.0,,,29-28,1,P. George makes free throw 1 of 1
0:42.0,N. Hilario misses 2-pt shot from 3 ft (block by J. Huestis),,29-28,,
0:40.0,,,29-28,,Defensive rebound by R. Felton
0:37.0,,,29-28,,P. George misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by P. Tucker,,29-28,,
0:12.0,E. Gordon misses 2-pt shot from 3 ft (block by P. Patterson),,29-28,,
0:09.0,Offensive rebound by E. Gordon,,29-28,,
0:08.0,E. Gordon misses 2-pt shot from 4 ft,,29-28,,
0:08.0,Offensive rebound by N. Hilario,,29-28,,
0:08.0,Shooting foul by P. George (drawn by N. Hilario),,29-28,,
0:08.0,N. Hilario makes free throw 1 of 2,1,30-28,,
0:08.0,N. Hilario makes free throw 2 of 2,1,31-28,,
0:01.0,,,31-28,,Turnover by P. George (lost ball; steal by P. Tucker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,N. Hilario misses 2-pt shot from 2 ft,,31-28,,
11:43.0,Offensive rebound by R. Anderson,,31-28,,
11:43.0,R. Anderson makes 2-pt shot at rim,2,33-28,,
11:23.0,,,33-28,,R. Felton misses 2-pt shot from 1 ft (block by N. Hilario)
11:23.0,Defensive rebound by N. Hilario,,33-28,,
11:17.0,R. Anderson makes 3-pt shot from 28 ft (assist by B. Weber),3,36-28,,
10:58.0,,,36-30,2,P. George makes 2-pt shot at rim
10:50.0,N. Hilario misses 2-pt shot from 1 ft,,36-30,,
10:49.0,Offensive rebound by N. Hilario,,36-30,,
10:48.0,N. Hilario misses 2-pt shot from 2 ft (block by J. Grant),,36-30,,
10:46.0,,,36-30,,Defensive rebound by A. Abrines
10:38.0,,,36-30,,Shooting foul by R. Anderson (drawn by J. Grant)
10:38.0,,,36-31,1,J. Grant makes free throw 1 of 2
10:38.0,,,36-31,,J. Grant misses free throw 2 of 2
10:36.0,Defensive rebound by P. Tucker,,36-31,,
10:22.0,E. Gordon misses 3-pt shot from 25 ft,,36-31,,
10:19.0,,,36-31,,Defensive rebound by A. Abrines
10:12.0,,,36-34,3,J. Grant makes 3-pt shot from 24 ft (assist by P. George)
9:59.0,E. Gordon makes 2-pt shot from 1 ft (assist by N. Hilario),2,38-34,,
9:42.0,,,38-34,,Turnover by P. George (bad pass; steal by B. Weber)
9:39.0,P. Tucker misses 2-pt shot from 2 ft (block by R. Felton),,38-34,,
9:38.0,,,38-34,,Defensive rebound by P. George
9:17.0,,,38-36,2,R. Felton makes 2-pt shot from 1 ft
9:05.0,Turnover by E. Gordon (bad pass),,38-36,,
9:05.0,,,38-36,,C. Anthony enters the game for J. Grant
9:05.0,,,38-36,,R. Westbrook enters the game for A. Abrines
9:05.0,C. Capela enters the game for N. Hilario,,38-36,,
8:53.0,,,38-36,,Turnover by P. George (bad pass; steal by E. Gordon)
8:45.0,,,38-36,,Personal foul by P. Patterson (drawn by C. Capela)
8:36.0,B. Weber misses 2-pt shot from 8 ft,,38-36,,
8:31.0,,,38-36,,Defensive rebound by R. Westbrook
8:30.0,,,38-38,2,R. Westbrook makes 2-pt shot from 16 ft
8:10.0,Turnover by E. Gordon (lost ball; steal by R. Westbrook),,38-38,,
8:00.0,,,38-38,,R. Westbrook misses 2-pt shot from 5 ft (block by B. Weber)
7:57.0,Defensive rebound by R. Anderson,,38-38,,
7:54.0,P. Tucker makes 2-pt shot from 1 ft (assist by E. Gordon),2,40-38,,
7:54.0,,,40-38,,Oklahoma City full timeout
7:54.0,,,40-38,,J. Huestis enters the game for P. George
7:54.0,T. Ariza enters the game for B. Weber,,40-38,,
7:54.0,J. Harden enters the game for P. Tucker,,40-38,,
7:36.0,,,40-38,,R. Felton misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by J. Harden,,40-38,,
7:21.0,T. Ariza misses 3-pt shot from 23 ft,,40-38,,
7:19.0,,,40-38,,Defensive rebound by Team
7:19.0,Loose ball foul by C. Capela (drawn by C. Anthony),,40-38,,
7:19.0,,,40-38,,S. Adams enters the game for P. Patterson
7:00.0,,,40-38,,C. Anthony misses 2-pt shot from 12 ft
6:54.0,Defensive rebound by T. Ariza,,40-38,,
6:48.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,42-38,,
6:33.0,,,42-38,,C. Anthony misses 2-pt shot from 1 ft
6:30.0,,,42-38,,Offensive rebound by S. Adams
6:24.0,,,42-38,,Turnover by Team (shot clock)
6:24.0,,,42-38,,P. George enters the game for R. Felton
6:24.0,,,42-38,,A. Roberson enters the game for J. Huestis
6:11.0,Shooting foul by P. George (drawn by R. Anderson),,42-38,,
6:11.0,R. Anderson makes free throw 1 of 3,1,43-38,,
6:11.0,R. Anderson makes free throw 2 of 3,1,44-38,,
6:11.0,R. Anderson makes free throw 3 of 3,1,45-38,,
6:02.0,,,45-40,2,R. Westbrook makes 2-pt shot from 12 ft
6:02.0,,,45-40,,Shooting foul by R. Anderson (drawn by R. Westbrook)
6:02.0,,,45-40,,R. Westbrook misses free throw 1 of 1
5:59.0,,,45-40,,Offensive rebound by A. Roberson
5:53.0,,,45-40,,R. Westbrook misses 2-pt shot from 2 ft
5:51.0,Defensive rebound by J. Harden,,45-40,,
5:43.0,C. Capela makes 2-pt shot from 1 ft (assist by R. Anderson),2,47-40,,
5:23.0,,,47-43,3,C. Anthony makes 3-pt shot from 23 ft (assist by P. George)
4:57.0,J. Harden misses 3-pt shot from 22 ft (block by A. Roberson),,47-43,,
4:54.0,,,47-43,,Defensive rebound by P. George
4:51.0,,,47-43,,R. Westbrook misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by Team,,47-43,,
4:43.0,,,47-43,,Violation by A. Roberson (kicked ball)
4:43.0,P. Tucker enters the game for R. Anderson,,47-43,,
4:28.0,Shooting foul by C. Anthony (drawn by J. Harden),,47-43,,
4:28.0,J. Harden makes free throw 1 of 3,1,48-43,,
4:28.0,J. Harden makes free throw 2 of 3,1,49-43,,
4:28.0,J. Harden makes free throw 3 of 3,1,50-43,,
4:17.0,,,50-45,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:17.0,,,50-45,,Shooting foul by C. Capela (drawn by S. Adams)
4:17.0,N. Hilario enters the game for C. Capela,,50-45,,
4:17.0,,,50-46,1,S. Adams makes free throw 1 of 1
4:02.0,P. Tucker misses 2-pt shot from 11 ft,,50-46,,
3:59.0,,,50-46,,Defensive rebound by C. Anthony
3:42.0,,,50-46,,R. Westbrook misses 3-pt shot from 22 ft
3:39.0,Defensive rebound by J. Harden,,50-46,,
3:37.0,,,50-46,,Personal foul by R. Westbrook (drawn by J. Harden)
3:23.0,Turnover by N. Hilario (lost ball; steal by R. Westbrook),,50-46,,
3:23.0,Loose ball foul by N. Hilario (drawn by R. Westbrook),,50-46,,
3:23.0,,,50-47,1,R. Westbrook makes free throw 1 of 2
3:23.0,,,50-48,1,R. Westbrook makes free throw 2 of 2
3:11.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,53-48,,
2:55.0,,,53-50,2,C. Anthony makes 2-pt shot from 11 ft
2:42.0,N. Hilario makes 2-pt shot from 1 ft (assist by P. Tucker),2,55-50,,
2:42.0,Shooting foul by P. George (drawn by N. Hilario),,55-50,,
2:42.0,Houston full timeout,,55-50,,
2:42.0,N. Hilario misses free throw 1 of 1,,55-50,,
2:40.0,,,55-50,,Defensive rebound by R. Westbrook
2:23.0,,,55-52,2,C. Anthony makes 2-pt shot from 14 ft
2:09.0,Turnover by E. Gordon (bad pass; steal by A. Roberson),,55-52,,
2:05.0,,,55-54,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
1:53.0,Turnover by E. Gordon (out of bounds lost ball),,55-54,,
1:53.0,,,55-54,,J. Grant enters the game for C. Anthony
1:38.0,,,55-56,2,J. Grant makes 2-pt shot from 21 ft (assist by P. George)
1:12.0,J. Harden misses 3-pt shot from 25 ft,,55-56,,
1:10.0,,,55-56,,Defensive rebound by S. Adams
1:05.0,,,55-58,2,R. Westbrook makes 2-pt shot from 15 ft
0:49.0,,,55-58,,Personal foul by A. Roberson (drawn by J. Harden)
0:49.0,J. Harden makes free throw 1 of 2,1,56-58,,
0:49.0,J. Harden makes free throw 2 of 2,1,57-58,,
0:28.0,,,57-58,,A. Roberson misses 2-pt shot from 8 ft
0:26.0,Defensive rebound by P. Tucker,,57-58,,
0:03.0,J. Harden misses 2-pt shot from 3 ft,,57-58,,
0:03.0,Offensive rebound by Team,,57-58,,
0:03.0,Turnover by Team (shot clock),,57-58,,
0:00.0,,,57-58,,Turnover by R. Westbrook (bad pass; steal by J. Harden)
0:00.0,J. Harden misses 3-pt shot from 55 ft,,57-58,,
0:00.0,Offensive rebound by Team,,57-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,R. Anderson misses 3-pt shot from 22 ft,,57-58,,
11:43.0,Offensive rebound by C. Capela,,57-58,,
11:22.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,59-58,,
10:56.0,,,59-60,2,C. Anthony makes 2-pt shot from 20 ft
10:41.0,T. Ariza misses 3-pt shot from 24 ft,,59-60,,
10:37.0,,,59-60,,Defensive rebound by A. Roberson
10:27.0,,,59-60,,Turnover by R. Westbrook (bad pass)
10:18.0,,,59-60,,Violation by A. Roberson (kicked ball)
10:03.0,C. Capela misses 2-pt shot from 3 ft (block by S. Adams),,59-60,,
10:02.0,,,59-60,,Defensive rebound by A. Roberson
9:53.0,,,59-63,3,P. George makes 3-pt shot from 22 ft (assist by A. Roberson)
9:29.0,Turnover by E. Gordon (bad pass; steal by A. Roberson),,59-63,,
9:26.0,,,59-65,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson)
9:26.0,Houston full timeout,,59-65,,
9:15.0,Turnover by J. Harden (bad pass; steal by R. Westbrook),,59-65,,
9:09.0,,,59-67,2,R. Westbrook makes 2-pt shot at rim
9:08.0,,,59-67,,Away from play foul by A. Roberson (drawn by J. Harden)
9:08.0,J. Harden makes free throw 1 of 1,1,60-67,,
8:55.0,T. Ariza makes 2-pt shot at rim,2,62-67,,
8:34.0,,,62-67,,Turnover by R. Westbrook (bad pass; steal by J. Harden)
8:30.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,65-67,,
8:12.0,,,65-69,2,P. George makes 2-pt shot from 15 ft (assist by R. Westbrook)
7:50.0,J. Harden makes 3-pt shot from 27 ft (assist by R. Anderson),3,68-69,,
7:25.0,,,68-71,2,R. Westbrook makes 2-pt shot from 17 ft (assist by A. Roberson)
7:12.0,C. Capela misses 2-pt shot from 1 ft (block by S. Adams),,68-71,,
7:11.0,Offensive rebound by C. Capela,,68-71,,
7:09.0,C. Capela makes 2-pt shot from 1 ft,2,70-71,,
6:52.0,Personal foul by E. Gordon (drawn by R. Westbrook),,70-71,,
6:43.0,,,70-73,2,C. Anthony makes 2-pt shot from 11 ft
6:23.0,Turnover by R. Anderson (bad pass),,70-73,,
6:13.0,,,70-73,,C. Anthony misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by J. Harden,,70-73,,
6:04.0,E. Gordon misses 3-pt shot from 24 ft,,70-73,,
5:59.0,Offensive rebound by C. Capela,,70-73,,
5:58.0,T. Ariza misses 3-pt shot from 24 ft,,70-73,,
5:55.0,Offensive rebound by C. Capela,,70-73,,
5:53.0,E. Gordon misses 3-pt shot from 26 ft,,70-73,,
5:51.0,,,70-73,,Defensive rebound by Team
5:51.0,P. Tucker enters the game for R. Anderson,,70-73,,
5:33.0,,,70-73,,Turnover by P. George (bad pass; steal by P. Tucker)
5:18.0,J. Harden makes 3-pt shot from 24 ft,3,73-73,,
5:07.0,Personal foul by P. Tucker (drawn by C. Anthony),,73-73,,
5:07.0,,,73-73,,J. Huestis enters the game for P. George
5:07.0,B. Weber enters the game for E. Gordon,,73-73,,
4:51.0,,,73-75,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
4:35.0,J. Harden makes 2-pt shot at rim,2,75-75,,
4:35.0,Shooting foul by C. Anthony (drawn by J. Harden),,75-75,,
4:35.0,J. Harden makes free throw 1 of 1,1,76-75,,
4:22.0,,,76-77,2,R. Westbrook makes 2-pt shot from 1 ft
4:08.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,78-77,,
3:48.0,Personal foul by B. Weber (drawn by R. Westbrook),,78-77,,
3:48.0,,,78-77,,J. Grant enters the game for C. Anthony
3:38.0,,,78-79,2,R. Westbrook makes 2-pt shot from 20 ft
3:19.0,Shooting foul by J. Huestis (drawn by J. Harden),,78-79,,
3:19.0,J. Harden makes free throw 1 of 3,1,79-79,,
3:19.0,J. Harden makes free throw 2 of 3,1,80-79,,
3:19.0,J. Harden misses free throw 3 of 3,,80-79,,
3:14.0,,,80-79,,Defensive rebound by R. Westbrook
2:58.0,,,80-79,,Shooting foul by C. Capela (drawn by J. Grant)
2:58.0,,,80-79,,Oklahoma City full timeout
2:58.0,N. Hilario enters the game for C. Capela,,80-79,,
2:58.0,,,80-80,1,J. Grant makes free throw 1 of 2
2:58.0,,,80-80,,J. Grant misses free throw 2 of 2
2:53.0,,,80-80,,Offensive rebound by S. Adams
2:48.0,,,80-83,3,J. Huestis makes 3-pt shot from 25 ft (assist by R. Westbrook)
2:28.0,Offensive foul by N. Hilario (drawn by J. Huestis),,80-83,,
2:28.0,Turnover by N. Hilario (offensive foul),,80-83,,
2:28.0,,,80-83,,P. George enters the game for A. Roberson
2:19.0,,,80-83,,Turnover by R. Westbrook (step out of bounds)
2:19.0,,,80-83,,R. Felton enters the game for R. Westbrook
1:57.0,T. Ariza misses 2-pt shot from 1 ft,,80-83,,
1:55.0,,,80-83,,Defensive rebound by J. Huestis
1:47.0,,,80-83,,J. Huestis misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by J. Harden,,80-83,,
1:39.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,83-83,,
1:16.0,,,83-83,,Turnover by J. Grant (bad pass; steal by B. Weber)
0:53.0,J. Harden misses 3-pt shot from 24 ft,,83-83,,
0:49.0,,,83-83,,Defensive rebound by R. Felton
0:42.0,,,83-85,2,J. Grant makes 2-pt shot at rim (assist by J. Huestis)
0:32.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,86-85,,
0:17.0,,,86-88,3,P. George makes 3-pt shot from 26 ft
0:05.0,J. Harden makes 2-pt shot at rim,2,88-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,88-88,,P. George misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by E. Gordon,,88-88,,
11:27.0,P. Tucker misses 3-pt shot from 24 ft,,88-88,,
11:25.0,,,88-88,,Defensive rebound by P. George
11:17.0,,,88-88,,J. Huestis misses 3-pt shot from 22 ft
11:12.0,Defensive rebound by T. Ariza,,88-88,,
11:07.0,T. Ariza misses 3-pt shot from 23 ft,,88-88,,
11:06.0,,,88-88,,Defensive rebound by Team
10:49.0,,,88-88,,Turnover by R. Felton (out of bounds lost ball)
10:28.0,T. Ariza misses 3-pt shot from 22 ft,,88-88,,
10:26.0,,,88-88,,Defensive rebound by Team
10:04.0,,,88-88,,J. Grant misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by P. Tucker,,88-88,,
9:55.0,E. Gordon makes 3-pt shot from 27 ft,3,91-88,,
9:34.0,,,91-88,,R. Felton misses 3-pt shot from 25 ft
9:31.0,,,91-88,,Offensive rebound by J. Huestis
9:22.0,,,91-88,,R. Felton misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by R. Anderson,,91-88,,
9:08.0,R. Anderson misses 3-pt shot from 25 ft,,91-88,,
9:05.0,,,91-88,,Defensive rebound by P. Patterson
8:56.0,,,91-88,,P. Patterson misses 2-pt shot from 4 ft
8:53.0,Defensive rebound by Team,,91-88,,
8:53.0,,,91-88,,R. Westbrook enters the game for P. George
8:42.0,E. Gordon makes 2-pt shot at rim,2,93-88,,
8:33.0,,,93-88,,Shooting foul by P. Tucker (drawn by R. Westbrook)
8:33.0,,,93-89,1,R. Westbrook makes free throw 1 of 2
8:33.0,,,93-89,,C. Anthony enters the game for J. Grant
8:33.0,,,93-89,,S. Adams enters the game for P. Patterson
8:33.0,C. Capela enters the game for T. Ariza,,93-89,,
8:33.0,,,93-90,1,R. Westbrook makes free throw 2 of 2
8:10.0,C. Capela misses 2-pt shot from 9 ft (block by S. Adams),,93-90,,
8:07.0,,,93-90,,Defensive rebound by R. Westbrook
8:07.0,,,93-92,2,R. Westbrook makes 2-pt shot from 1 ft
8:07.0,,,93-92,,Shooting foul by B. Weber (drawn by R. Westbrook)
8:07.0,,,93-93,1,R. Westbrook makes free throw 1 of 1
7:56.0,Shooting foul by R. Felton (drawn by E. Gordon),,93-93,,
7:56.0,E. Gordon makes free throw 1 of 3,1,94-93,,
7:56.0,E. Gordon makes free throw 2 of 3,1,95-93,,
7:56.0,,,95-93,,P. George enters the game for J. Huestis
7:56.0,E. Gordon makes free throw 3 of 3,1,96-93,,
7:43.0,,,96-93,,Shooting foul by E. Gordon (drawn by R. Westbrook)
7:43.0,,,96-94,1,R. Westbrook makes free throw 1 of 2
7:43.0,,,96-94,,A. Roberson enters the game for R. Felton
7:43.0,J. Harden enters the game for B. Weber,,96-94,,
7:43.0,T. Ariza enters the game for E. Gordon,,96-94,,
7:43.0,,,96-95,1,R. Westbrook makes free throw 2 of 2
7:23.0,J. Harden misses 2-pt shot from 12 ft,,96-95,,
7:19.0,Offensive rebound by R. Anderson,,96-95,,
7:19.0,Turnover by R. Anderson (lost ball; steal by P. George),,96-95,,
7:07.0,,,96-97,2,C. Anthony makes 2-pt shot from 21 ft
6:50.0,,,96-97,,Personal foul by R. Westbrook (drawn by C. Capela)
6:50.0,,,96-97,,Oklahoma City full timeout
6:36.0,R. Anderson misses 3-pt shot from 25 ft,,96-97,,
6:32.0,,,96-97,,Defensive rebound by P. George
6:17.0,,,96-99,2,R. Westbrook makes 2-pt shot from 1 ft
6:03.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,98-99,,
5:45.0,,,98-101,2,P. George makes 2-pt shot from 18 ft
5:45.0,,,98-101,,Shooting foul by P. Tucker (drawn by P. George)
5:45.0,,,98-102,1,P. George makes free throw 1 of 1
5:25.0,Turnover by P. Tucker (bad pass; steal by S. Adams),,98-102,,
5:21.0,,,98-102,,P. George misses 2-pt shot from 3 ft (block by J. Harden)
5:21.0,Defensive rebound by Team,,98-102,,
5:14.0,,,98-102,,Violation by A. Roberson (kicked ball)
5:14.0,E. Gordon enters the game for P. Tucker,,98-102,,
5:00.0,Shooting foul by A. Roberson (drawn by C. Capela),,98-102,,
5:00.0,C. Capela misses free throw 1 of 2,,98-102,,
5:00.0,Offensive rebound by Team,,98-102,,
5:00.0,C. Capela makes free throw 2 of 2,1,99-102,,
4:49.0,Violation by C. Capela (kicked ball),,99-102,,
4:36.0,,,99-102,,R. Westbrook misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by J. Harden,,99-102,,
4:27.0,,,99-102,,Personal foul by P. George (drawn by T. Ariza)
4:27.0,Houston full timeout,,99-102,,
4:22.0,J. Harden misses 3-pt shot from 25 ft,,99-102,,
4:20.0,,,99-102,,Defensive rebound by R. Westbrook
4:13.0,Personal take foul by R. Anderson (drawn by A. Roberson),,99-102,,
4:13.0,,,99-103,1,A. Roberson makes free throw 1 of 2
4:13.0,,,99-103,,A. Roberson misses free throw 2 of 2
4:13.0,Defensive rebound by Team,,99-103,,
3:57.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,101-103,,
3:52.0,Personal take foul by R. Anderson (drawn by A. Roberson),,101-103,,
3:52.0,,,101-103,,A. Roberson misses free throw 1 of 2
3:52.0,,,101-103,,Offensive rebound by Team
3:52.0,,,101-104,1,A. Roberson makes free throw 2 of 2
3:40.0,T. Ariza misses 3-pt shot from 24 ft,,101-104,,
3:38.0,Offensive rebound by C. Capela,,101-104,,
3:28.0,Shooting foul by P. George (drawn by E. Gordon),,101-104,,
3:28.0,Houston full timeout,,101-104,,
3:28.0,,,101-104,,J. Grant enters the game for A. Roberson
3:28.0,P. Tucker enters the game for R. Anderson,,101-104,,
3:28.0,E. Gordon makes free throw 1 of 2,1,102-104,,
3:28.0,E. Gordon makes free throw 2 of 2,1,103-104,,
3:14.0,Personal foul by T. Ariza (drawn by P. George),,103-104,,
3:14.0,,,103-105,1,P. George makes free throw 1 of 2
3:14.0,,,103-106,1,P. George makes free throw 2 of 2
3:02.0,E. Gordon misses 3-pt shot from 28 ft,,103-106,,
