time,Indiana,pts.away,score,pts.home,Chicago
0:08.0,Personal foul by J. Young (drawn by D. Valentine),,27-37,,
0:00.0,,,27-37,,N. Mirotic misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by D. Sabonis,,27-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-37,,Turnover by P. Zipser (bad pass; steal by A. Poythress)
11:21.0,D. Sabonis misses 2-pt shot from 4 ft,,27-37,,
11:17.0,Offensive rebound by A. Poythress,,27-37,,
11:16.0,A. Poythress misses 2-pt shot from 1 ft,,27-37,,
11:16.0,,,27-37,,Defensive rebound by N. Mirotic
11:01.0,,,27-39,2,N. Mirotic makes 2-pt shot from 1 ft (assist by B. Portis)
10:51.0,C. Joseph misses 2-pt shot from 15 ft,,27-39,,
10:46.0,,,27-39,,Defensive rebound by N. Mirotic
10:43.0,,,27-39,,Offensive charge foul by D. Nwaba (drawn by J. Young)
10:43.0,,,27-39,,Turnover by D. Nwaba (offensive foul)
10:32.0,D. Sabonis misses 2-pt shot from 20 ft,,27-39,,
10:26.0,,,27-39,,Defensive rebound by D. Valentine
10:21.0,,,27-39,,B. Portis misses 3-pt shot from 25 ft
10:18.0,,,27-39,,Offensive rebound by Team
10:16.0,,,27-42,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Valentine)
10:02.0,J. Young misses 3-pt shot from 25 ft,,27-42,,
9:58.0,Offensive rebound by A. Poythress,,27-42,,
9:54.0,J. Young makes 3-pt shot from 22 ft (assist by C. Joseph),3,30-42,,
9:31.0,,,30-42,,Turnover by D. Valentine (bad pass; steal by C. Joseph)
9:26.0,C. Joseph makes 2-pt shot from 2 ft,2,32-42,,
9:21.0,,,32-42,,Turnover by N. Mirotic (bad pass; steal by B. Bogdanovic)
9:15.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,34-42,,
8:59.0,,,34-42,,D. Valentine misses 3-pt shot from 24 ft
8:56.0,,,34-42,,Offensive rebound by B. Portis
8:55.0,,,34-42,,N. Mirotic misses 3-pt shot from 24 ft
8:51.0,,,34-42,,Offensive rebound by D. Nwaba
8:51.0,,,34-42,,B. Portis misses 2-pt shot from 1 ft (block by D. Sabonis)
8:51.0,,,34-42,,Offensive rebound by Team
8:51.0,T. Young enters the game for A. Poythress,,34-42,,
8:40.0,,,34-42,,N. Mirotic misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by T. Young,,34-42,,
8:20.0,D. Sabonis misses 2-pt shot from 15 ft,,34-42,,
8:20.0,,,34-42,,Defensive rebound by P. Zipser
8:04.0,,,34-45,3,D. Nwaba makes 3-pt shot from 23 ft (assist by N. Mirotic)
8:03.0,Indiana full timeout,,34-45,,
7:41.0,T. Young misses 2-pt shot from 5 ft,,34-45,,
7:38.0,,,34-45,,Defensive rebound by B. Portis
7:27.0,,,34-48,3,N. Mirotic makes 3-pt shot from 24 ft (assist by B. Portis)
7:13.0,B. Bogdanovic misses 3-pt shot from 27 ft,,34-48,,
7:11.0,Offensive rebound by J. Young,,34-48,,
7:05.0,J. Young misses 2-pt shot from 2 ft,,34-48,,
7:05.0,,,34-48,,Defensive rebound by B. Portis
6:58.0,,,34-50,2,B. Portis makes 2-pt shot from 1 ft
6:31.0,J. Young makes 2-pt shot from 5 ft,2,36-50,,
6:15.0,,,36-50,,D. Nwaba misses 2-pt shot from 1 ft
6:10.0,,,36-50,,Offensive rebound by B. Portis
6:10.0,,,36-50,,B. Portis misses 2-pt shot at rim
6:09.0,,,36-50,,Offensive rebound by B. Portis
6:09.0,,,36-52,2,B. Portis makes 2-pt shot at rim
6:09.0,,,36-52,,Personal foul by N. Mirotic (drawn by T. Young)
6:09.0,D. Collison enters the game for J. Young,,36-52,,
6:05.0,,,36-52,,Personal foul by D. Valentine (drawn by B. Bogdanovic)
5:58.0,D. Sabonis misses 2-pt shot from 1 ft,,36-52,,
5:57.0,Offensive rebound by T. Young,,36-52,,
5:54.0,T. Young misses 2-pt shot from 4 ft,,36-52,,
5:52.0,Offensive rebound by D. Sabonis,,36-52,,
5:50.0,D. Sabonis misses 2-pt shot from 1 ft (block by P. Zipser),,36-52,,
5:50.0,Offensive rebound by T. Young,,36-52,,
5:47.0,T. Young makes 2-pt shot from 4 ft,2,38-52,,
5:35.0,,,38-52,,Shooting foul by C. Joseph (drawn by B. Portis)
5:35.0,,,38-53,1,B. Portis makes free throw 1 of 2
5:35.0,,,38-54,1,B. Portis makes free throw 2 of 2
5:10.0,C. Joseph makes 2-pt shot from 1 ft (assist by T. Young),2,40-54,,
5:01.0,,,40-54,,N. Mirotic misses 3-pt shot from 27 ft
5:01.0,Defensive rebound by D. Sabonis,,40-54,,
4:59.0,,,40-54,,Personal foul by D. Nwaba (drawn by D. Sabonis)
4:59.0,,,40-54,,J. Grant enters the game for D. Nwaba
4:59.0,,,40-54,,J. Holiday enters the game for D. Valentine
4:36.0,C. Joseph misses 2-pt shot from 16 ft,,40-54,,
4:36.0,Offensive rebound by Team,,40-54,,
4:35.0,,,40-54,,Loose ball foul by J. Grant (drawn by B. Bogdanovic)
4:35.0,,,40-54,,L. Markkanen enters the game for B. Portis
4:35.0,,,40-54,,R. Lopez enters the game for N. Mirotic
4:31.0,Turnover by B. Bogdanovic (traveling),,40-54,,
4:18.0,,,40-56,2,J. Holiday makes 2-pt shot from 19 ft
4:06.0,D. Sabonis makes 2-pt shot from 21 ft (assist by C. Joseph),2,42-56,,
3:55.0,,,42-59,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
3:40.0,T. Young makes 2-pt shot from 6 ft,2,44-59,,
3:28.0,Personal foul by C. Joseph (drawn by J. Holiday),,44-59,,
3:28.0,L. Stephenson enters the game for D. Sabonis,,44-59,,
3:28.0,M. Turner enters the game for B. Bogdanovic,,44-59,,
3:19.0,Personal foul by T. Young (drawn by R. Lopez),,44-59,,
3:10.0,,,44-59,,L. Markkanen misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by L. Stephenson,,44-59,,
2:58.0,Turnover by L. Stephenson (bad pass; steal by P. Zipser),,44-59,,
2:55.0,,,44-61,2,P. Zipser makes 2-pt shot at rim
2:34.0,L. Stephenson misses 2-pt shot from 22 ft,,44-61,,
2:31.0,,,44-61,,Defensive rebound by L. Markkanen
2:24.0,,,44-61,,Turnover by L. Markkanen (traveling)
2:24.0,,,44-61,,Chicago full timeout
2:12.0,D. Collison makes 2-pt shot from 20 ft,2,46-61,,
1:50.0,,,46-64,3,L. Markkanen makes 3-pt shot from 23 ft (assist by R. Lopez)
1:38.0,,,46-64,,Personal foul by J. Grant (drawn by D. Collison)
1:38.0,D. Collison makes free throw 1 of 2,1,47-64,,
1:38.0,,,47-64,,D. Valentine enters the game for J. Grant
1:38.0,B. Bogdanovic enters the game for C. Joseph,,47-64,,
1:38.0,D. Collison makes free throw 2 of 2,1,48-64,,
1:29.0,Personal foul by T. Young (drawn by L. Markkanen),,48-64,,
1:22.0,,,48-64,,L. Markkanen misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by L. Stephenson,,48-64,,
1:16.0,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson),2,50-64,,
0:58.0,,,50-64,,D. Valentine misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by B. Bogdanovic,,50-64,,
0:43.0,,,50-64,,Personal foul by D. Valentine (drawn by M. Turner)
0:43.0,M. Turner makes free throw 1 of 2,1,51-64,,
0:43.0,M. Turner makes free throw 2 of 2,1,52-64,,
0:22.0,,,52-64,,R. Lopez misses 2-pt shot from 6 ft
0:20.0,Defensive rebound by B. Bogdanovic,,52-64,,
0:00.0,B. Bogdanovic misses 2-pt shot from 12 ft,,52-64,,
0:00.0,Offensive rebound by Team,,52-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-64,,J. Grant misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by T. Young,,52-64,,
11:22.0,M. Turner misses 2-pt shot from 2 ft,,52-64,,
11:22.0,Offensive rebound by M. Turner,,52-64,,
11:22.0,M. Turner misses 2-pt shot from 2 ft,,52-64,,
11:22.0,Offensive rebound by Team,,52-64,,
11:02.0,L. Stephenson makes 2-pt shot from 1 ft,2,54-64,,
10:48.0,,,54-64,,L. Markkanen misses 2-pt shot from 2 ft (block by M. Turner)
10:48.0,,,54-64,,Offensive rebound by D. Valentine
10:47.0,,,54-64,,Turnover by R. Lopez (traveling)
10:39.0,Shooting foul by R. Lopez (drawn by M. Turner),,54-64,,
10:39.0,M. Turner makes free throw 1 of 2,1,55-64,,
10:39.0,M. Turner misses free throw 2 of 2,,55-64,,
10:36.0,,,55-64,,Defensive rebound by J. Holiday
10:16.0,,,55-64,,J. Grant misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by T. Young,,55-64,,
9:54.0,L. Stephenson misses 2-pt shot from 20 ft,,55-64,,
9:54.0,,,55-64,,Defensive rebound by Team
9:41.0,,,55-66,2,L. Markkanen makes 2-pt shot from 20 ft
9:28.0,M. Turner misses 2-pt shot from 20 ft,,55-66,,
9:25.0,,,55-66,,Defensive rebound by J. Grant
9:18.0,,,55-66,,Turnover by J. Grant (bad pass; steal by D. Collison)
9:13.0,L. Stephenson misses 2-pt shot from 21 ft,,55-66,,
9:05.0,,,55-66,,Defensive rebound by L. Markkanen
8:56.0,,,55-66,,L. Markkanen misses 2-pt shot from 18 ft
8:53.0,Defensive rebound by L. Stephenson,,55-66,,
8:48.0,L. Stephenson misses 2-pt shot from 1 ft,,55-66,,
8:45.0,,,55-66,,Defensive rebound by D. Valentine
8:37.0,,,55-66,,J. Holiday misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by L. Stephenson,,55-66,,
8:23.0,Shooting foul by R. Lopez (drawn by B. Bogdanovic),,55-66,,
8:23.0,B. Bogdanovic makes free throw 1 of 2,1,56-66,,
8:23.0,C. Joseph enters the game for L. Stephenson,,56-66,,
8:23.0,B. Bogdanovic makes free throw 2 of 2,1,57-66,,
7:57.0,,,57-66,,J. Holiday misses 2-pt shot from 17 ft
7:49.0,,,57-66,,Offensive rebound by L. Markkanen
7:49.0,,,57-68,2,L. Markkanen makes 2-pt shot at rim
7:40.0,D. Collison makes 3-pt shot from 24 ft,3,60-68,,
7:29.0,,,60-71,3,L. Markkanen makes 3-pt shot from 26 ft (assist by J. Grant)
7:05.0,B. Bogdanovic misses 3-pt shot from 24 ft,,60-71,,
7:02.0,,,60-71,,Defensive rebound by R. Lopez
6:53.0,,,60-73,2,R. Lopez makes 2-pt shot from 10 ft (assist by J. Grant)
6:40.0,,,60-73,,Violation by D. Valentine (kicked ball)
6:40.0,,,60-73,,Chicago full timeout
6:40.0,,,60-73,,D. Nwaba enters the game for D. Valentine
6:27.0,M. Turner makes 2-pt shot from 2 ft (assist by D. Collison),2,62-73,,
6:14.0,,,62-73,,J. Grant misses 2-pt shot from 12 ft
6:11.0,Defensive rebound by M. Turner,,62-73,,
6:04.0,D. Collison makes 3-pt shot from 24 ft,3,65-73,,
5:48.0,,,65-75,2,L. Markkanen makes 2-pt shot from 2 ft (assist by J. Grant)
5:48.0,,,65-75,,Shooting foul by C. Joseph (drawn by L. Markkanen)
5:48.0,,,65-76,1,L. Markkanen makes free throw 1 of 1
5:25.0,M. Turner misses 3-pt shot from 25 ft,,65-76,,
5:21.0,,,65-76,,Defensive rebound by L. Markkanen
5:12.0,,,65-76,,R. Lopez misses 2-pt shot from 6 ft
5:12.0,Defensive rebound by D. Collison,,65-76,,
5:05.0,D. Collison makes 2-pt shot from 16 ft,2,67-76,,
4:47.0,,,67-76,,Offensive charge foul by R. Lopez (drawn by C. Joseph)
4:47.0,,,67-76,,Turnover by R. Lopez (offensive foul)
4:47.0,,,67-76,,N. Mirotic enters the game for R. Lopez
4:25.0,D. Collison misses 3-pt shot from 24 ft,,67-76,,
4:25.0,,,67-76,,Defensive rebound by D. Nwaba
4:19.0,,,67-76,,Turnover by N. Mirotic (bad pass; steal by T. Young)
4:19.0,,,67-76,,Personal foul by D. Nwaba (drawn by C. Joseph)
4:19.0,L. Stephenson enters the game for B. Bogdanovic,,67-76,,
4:01.0,M. Turner makes 2-pt shot from 1 ft,2,69-76,,
3:48.0,,,69-79,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
3:29.0,Turnover by C. Joseph (traveling),,69-79,,
3:29.0,D. Sabonis enters the game for T. Young,,69-79,,
3:14.0,,,69-79,,N. Mirotic misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by D. Sabonis,,69-79,,
3:03.0,D. Collison makes 2-pt shot from 1 ft (assist by C. Joseph),2,71-79,,
2:48.0,,,71-82,3,L. Markkanen makes 3-pt shot from 26 ft (assist by N. Mirotic)
2:30.0,Shooting foul by N. Mirotic (drawn by M. Turner),,71-82,,
2:30.0,Indiana full timeout,,71-82,,
2:30.0,,,71-82,,B. Portis enters the game for L. Markkanen
2:30.0,M. Turner misses free throw 1 of 2,,71-82,,
2:30.0,Offensive rebound by Team,,71-82,,
2:30.0,M. Turner makes free throw 2 of 2,1,72-82,,
2:16.0,,,72-84,2,B. Portis makes 2-pt shot from 13 ft (assist by J. Holiday)
2:01.0,,,72-84,,Personal foul by N. Mirotic (drawn by M. Turner)
2:01.0,M. Turner misses free throw 1 of 2,,72-84,,
2:01.0,Offensive rebound by Team,,72-84,,
2:01.0,,,72-84,,D. Valentine enters the game for J. Grant
2:01.0,M. Turner makes free throw 2 of 2,1,73-84,,
1:50.0,,,73-84,,N. Mirotic misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by D. Collison,,73-84,,
1:32.0,Turnover by M. Turner (traveling),,73-84,,
1:32.0,B. Bogdanovic enters the game for M. Turner,,73-84,,
1:23.0,,,73-84,,N. Mirotic misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by C. Joseph,,73-84,,
1:00.0,D. Sabonis makes 2-pt shot from 2 ft,2,75-84,,
0:53.0,,,75-86,2,D. Valentine makes 2-pt shot from 5 ft
0:35.0,C. Joseph misses 2-pt shot from 16 ft,,75-86,,
0:31.0,,,75-86,,Defensive rebound by N. Mirotic
0:21.0,,,75-86,,B. Portis misses 2-pt shot from 6 ft
0:19.0,Defensive rebound by L. Stephenson,,75-86,,
0:02.0,D. Collison makes 2-pt shot from 21 ft,2,77-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson),2,79-86,,
11:33.0,,,79-86,,Shooting foul by C. Joseph (drawn by D. Nwaba)
11:33.0,,,79-87,1,D. Nwaba makes free throw 1 of 2
11:33.0,,,79-88,1,D. Nwaba makes free throw 2 of 2
11:11.0,C. Joseph misses 3-pt shot from 27 ft,,79-88,,
11:08.0,,,79-88,,Defensive rebound by N. Mirotic
11:04.0,Personal foul by L. Stephenson (drawn by N. Mirotic),,79-88,,
10:48.0,,,79-91,3,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Valentine)
10:33.0,Shooting foul by D. Valentine (drawn by B. Bogdanovic),,79-91,,
10:33.0,B. Bogdanovic misses free throw 1 of 2,,79-91,,
10:33.0,Offensive rebound by Team,,79-91,,
10:33.0,B. Bogdanovic makes free throw 2 of 2,1,80-91,,
10:19.0,,,80-94,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Valentine)
10:02.0,Turnover by L. Stephenson (lost ball; steal by D. Nwaba),,80-94,,
10:01.0,,,80-94,,Shooting foul by C. Joseph (drawn by B. Portis)
10:01.0,,,80-95,1,B. Portis makes free throw 1 of 2
10:01.0,D. Collison enters the game for C. Joseph,,80-95,,
10:01.0,,,80-96,1,B. Portis makes free throw 2 of 2
9:51.0,B. Bogdanovic misses 3-pt shot from 24 ft,,80-96,,
9:43.0,Offensive rebound by D. Sabonis,,80-96,,
9:43.0,D. Sabonis misses 2-pt shot at rim,,80-96,,
9:42.0,,,80-96,,Defensive rebound by B. Portis
9:37.0,,,80-96,,Turnover by P. Zipser (bad pass; steal by D. Collison)
9:35.0,Offensive foul by D. Collison (drawn by N. Mirotic),,80-96,,
9:35.0,Turnover by D. Collison (offensive foul),,80-96,,
9:19.0,,,80-98,2,B. Portis makes 2-pt shot from 21 ft (assist by D. Valentine)
9:19.0,Indiana full timeout,,80-98,,
8:55.0,L. Stephenson misses 2-pt shot from 3 ft,,80-98,,
8:52.0,Offensive rebound by D. Sabonis,,80-98,,
8:47.0,J. Young makes 2-pt shot from 18 ft (assist by D. Sabonis),2,82-98,,
8:32.0,,,82-101,3,N. Mirotic makes 3-pt shot from 26 ft (assist by B. Portis)
8:23.0,Shooting foul by D. Nwaba (drawn by D. Sabonis),,82-101,,
8:23.0,D. Sabonis makes free throw 1 of 2,1,83-101,,
8:23.0,,,83-101,,J. Grant enters the game for D. Valentine
8:23.0,D. Sabonis makes free throw 2 of 2,1,84-101,,
8:07.0,,,84-101,,P. Zipser misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by J. Young,,84-101,,
7:58.0,B. Bogdanovic misses 3-pt shot from 23 ft,,84-101,,
7:58.0,,,84-101,,Defensive rebound by D. Nwaba
7:46.0,,,84-103,2,D. Nwaba makes 2-pt shot from 2 ft (assist by J. Grant)
7:33.0,J. Young misses 3-pt shot from 22 ft,,84-103,,
7:33.0,,,84-103,,Defensive rebound by B. Portis
7:23.0,,,84-103,,J. Grant misses 3-pt shot from 25 ft
7:23.0,,,84-103,,Offensive rebound by J. Grant
7:12.0,,,84-103,,B. Portis misses 2-pt shot from 2 ft (block by J. Young)
7:11.0,Defensive rebound by Team,,84-103,,
7:10.0,,,84-103,,J. Holiday enters the game for P. Zipser
7:10.0,,,84-103,,Loose ball foul by D. Nwaba (drawn by L. Stephenson)
6:57.0,L. Stephenson makes 2-pt shot at rim,2,86-103,,
6:44.0,,,86-103,,J. Grant misses 2-pt shot from 2 ft
6:42.0,Defensive rebound by L. Stephenson,,86-103,,
6:37.0,,,86-103,,Personal foul by J. Holiday (drawn by D. Sabonis)
6:37.0,,,86-103,,L. Markkanen enters the game for B. Portis
6:30.0,L. Stephenson makes 2-pt shot from 1 ft,2,88-103,,
6:14.0,,,88-106,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
6:13.0,Indiana full timeout,,88-106,,
6:13.0,T. Young enters the game for J. Young,,88-106,,
6:13.0,C. Joseph enters the game for B. Bogdanovic,,88-106,,
5:53.0,D. Collison makes 3-pt shot from 24 ft (assist by C. Joseph),3,91-106,,
5:36.0,,,91-106,,N. Mirotic misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by C. Joseph,,91-106,,
5:26.0,L. Stephenson makes 2-pt shot at rim (assist by T. Young),2,93-106,,
5:06.0,,,93-106,,Turnover by D. Nwaba (bad pass; steal by C. Joseph)
5:01.0,L. Stephenson misses 2-pt shot from 1 ft,,93-106,,
4:58.0,,,93-106,,Defensive rebound by J. Grant
4:52.0,,,93-106,,Turnover by N. Mirotic (bad pass; steal by T. Young)
4:49.0,L. Stephenson makes 2-pt shot from 1 ft (assist by T. Young),2,95-106,,
4:49.0,,,95-106,,Chicago full timeout
4:28.0,,,95-106,,D. Nwaba misses 2-pt shot from 3 ft (block by D. Sabonis)
4:25.0,Defensive rebound by L. Stephenson,,95-106,,
4:22.0,L. Stephenson misses 3-pt shot from 25 ft,,95-106,,
4:22.0,,,95-106,,Defensive rebound by J. Grant
4:17.0,Personal foul by L. Stephenson (drawn by J. Grant),,95-106,,
4:08.0,,,95-108,2,N. Mirotic makes 2-pt shot from 3 ft (assist by L. Markkanen)
3:49.0,D. Sabonis misses 2-pt shot from 2 ft,,95-108,,
3:49.0,,,95-108,,Defensive rebound by L. Markkanen
3:49.0,Personal foul by L. Stephenson (drawn by L. Markkanen),,95-108,,
3:49.0,,,95-109,1,L. Markkanen makes free throw 1 of 2
3:49.0,,,95-110,1,L. Markkanen makes free throw 2 of 2
3:34.0,Turnover by T. Young (lost ball; steal by N. Mirotic),,95-110,,
3:34.0,,,95-110,,Turnover by J. Holiday (turnover)
3:25.0,T. Young misses 3-pt shot from 23 ft,,95-110,,
3:20.0,Offensive rebound by C. Joseph,,95-110,,
3:10.0,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison),2,97-110,,
2:53.0,,,97-112,2,L. Markkanen makes 2-pt shot from 4 ft (assist by N. Mirotic)
2:31.0,C. Joseph makes 2-pt shot from 2 ft,2,99-112,,
2:08.0,,,99-112,,N. Mirotic misses 3-pt shot from 22 ft
2:05.0,Defensive rebound by C. Joseph,,99-112,,
2:05.0,Shooting foul by J. Grant (drawn by C. Joseph),,99-112,,
2:05.0,C. Joseph makes free throw 1 of 2,1,100-112,,
2:05.0,C. Joseph makes free throw 2 of 2,1,101-112,,
