time,LA Clippers,pts.away,score,pts.home,Charlotte
6:45.0,,,6-9,,Shooting foul by W. Johnson (drawn by D. Howard)
6:45.0,,,6-9,,Charlotte full timeout
6:45.0,,,6-9,,D. Howard misses free throw 1 of 2
6:45.0,,,6-9,,Offensive rebound by Team
6:45.0,,,6-9,,D. Howard misses free throw 2 of 2
6:42.0,Defensive rebound by D. Jordan,,6-9,,
6:32.0,Turnover by D. Jordan (traveling),,6-9,,
6:17.0,,,6-11,2,N. Batum makes 2-pt shot from 10 ft
6:00.0,A. Rivers makes 2-pt shot from 12 ft,2,8-11,,
5:47.0,,,8-11,,D. Howard misses 2-pt shot from 17 ft
5:44.0,Defensive rebound by B. Griffin,,8-11,,
5:33.0,S. Thornwell makes 2-pt shot from 8 ft,2,10-11,,
5:33.0,,,10-11,,Violation by D. Howard (def goaltending)
5:22.0,,,10-11,,K. Walker misses 2-pt shot from 13 ft
5:22.0,,,10-11,,Offensive rebound by Team
5:22.0,L. Williams enters the game for S. Thornwell,,10-11,,
5:18.0,,,10-13,2,K. Walker makes 2-pt shot from 16 ft (assist by N. Batum)
4:56.0,L. Williams misses 2-pt shot from 10 ft,,10-13,,
4:53.0,,,10-13,,Defensive rebound by M. Kidd-Gilchrist
4:49.0,,,10-13,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
4:44.0,,,10-13,,Offensive rebound by D. Howard
4:44.0,,,10-13,,D. Howard misses 2-pt shot at rim
4:43.0,Defensive rebound by B. Griffin,,10-13,,
4:36.0,Turnover by A. Rivers (lost ball; steal by M. Kidd-Gilchrist),,10-13,,
4:34.0,,,10-13,,Shooting foul by A. Rivers (drawn by M. Kidd-Gilchrist)
4:34.0,,,10-14,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:34.0,,,10-14,,J. Lamb enters the game for N. Batum
4:34.0,,,10-15,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:16.0,B. Griffin misses 2-pt shot from 1 ft (block by M. Williams),,10-15,,
4:12.0,Offensive rebound by W. Johnson,,10-15,,
4:09.0,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers),3,13-15,,
3:57.0,,,13-15,,J. Lamb misses 2-pt shot from 17 ft (block by W. Johnson)
3:54.0,Defensive rebound by D. Jordan,,13-15,,
3:51.0,A. Rivers makes 3-pt shot from 24 ft (assist by L. Williams),3,16-15,,
3:38.0,,,16-15,,C. Zeller enters the game for M. Williams
3:38.0,,,16-15,,F. Kaminsky enters the game for D. Howard
3:38.0,S. Dekker enters the game for B. Griffin,,16-15,,
3:27.0,,,16-17,2,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by K. Walker)
3:12.0,A. Rivers misses 3-pt shot from 25 ft,,16-17,,
3:08.0,,,16-17,,Defensive rebound by C. Zeller
2:54.0,,,16-17,,F. Kaminsky misses 3-pt shot from 22 ft
2:52.0,Defensive rebound by A. Rivers,,16-17,,
2:39.0,A. Rivers misses 3-pt shot from 27 ft,,16-17,,
2:36.0,,,16-17,,Defensive rebound by F. Kaminsky
2:28.0,,,16-17,,Shooting foul by W. Johnson (drawn by M. Kidd-Gilchrist)
2:28.0,LA Clippers full timeout,,16-17,,
2:28.0,,,16-17,,M. Carter-Williams enters the game for K. Walker
2:28.0,J. Evans enters the game for A. Rivers,,16-17,,
2:28.0,,,16-17,,M. Kidd-Gilchrist misses free throw 1 of 2
2:28.0,,,16-17,,Offensive rebound by Team
2:28.0,,,16-18,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:14.0,W. Johnson makes 2-pt shot from 1 ft (assist by D. Jordan),2,18-18,,
2:00.0,,,18-20,2,J. Lamb makes 2-pt shot from 18 ft
1:48.0,S. Dekker misses 3-pt shot from 24 ft,,18-20,,
1:45.0,,,18-20,,Defensive rebound by M. Carter-Williams
1:40.0,,,18-22,2,C. Zeller makes 2-pt shot from 21 ft (assist by M. Carter-Williams)
1:25.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. Williams),,18-22,,
1:25.0,L. Williams misses free throw 1 of 3,,18-22,,
1:25.0,Offensive rebound by Team,,18-22,,
1:25.0,L. Williams makes free throw 2 of 3,1,19-22,,
1:25.0,,,19-22,,D. Bacon enters the game for M. Kidd-Gilchrist
1:25.0,C. Williams enters the game for W. Johnson,,19-22,,
1:25.0,L. Williams misses free throw 3 of 3,,19-22,,
1:22.0,,,19-22,,Defensive rebound by C. Zeller
1:15.0,,,19-22,,J. Lamb misses 2-pt shot from 19 ft
1:12.0,Defensive rebound by S. Dekker,,19-22,,
1:06.0,L. Williams makes 2-pt shot from 1 ft,2,21-22,,
0:50.0,,,21-22,,F. Kaminsky misses 2-pt shot from 19 ft
0:47.0,Defensive rebound by L. Williams,,21-22,,
0:43.0,Turnover by L. Williams (palming),,21-22,,
0:43.0,W. Reed enters the game for D. Jordan,,21-22,,
0:34.0,,,21-22,,M. Carter-Williams misses 2-pt shot from 5 ft
0:32.0,Defensive rebound by Team,,21-22,,
0:32.0,,,21-22,,Loose ball foul by C. Zeller (drawn by J. Evans)
0:32.0,J. Evans makes free throw 1 of 2,1,22-22,,
0:32.0,J. Evans misses free throw 2 of 2,,22-22,,
0:32.0,,,22-22,,Defensive rebound by J. Lamb
0:32.0,M. Harrell enters the game for L. Williams,,22-22,,
0:29.0,Personal foul by J. Evans (drawn by M. Carter-Williams),,22-22,,
0:29.0,,,22-23,1,M. Carter-Williams makes free throw 1 of 2
0:29.0,,,22-23,,M. Carter-Williams misses free throw 2 of 2
0:29.0,Defensive rebound by S. Dekker,,22-23,,
0:27.0,A. Rivers enters the game for C. Williams,,22-23,,
0:27.0,L. Williams enters the game for W. Reed,,22-23,,
0:27.0,B. Griffin enters the game for M. Harrell,,22-23,,
0:09.0,L. Williams makes 2-pt shot from 1 ft,2,24-23,,
0:01.0,,,24-23,,Shooting foul by J. Evans (drawn by M. Carter-Williams)
0:01.0,,,24-24,1,M. Carter-Williams makes free throw 1 of 2
0:01.0,W. Reed enters the game for J. Evans,,24-24,,
0:01.0,,,24-25,1,M. Carter-Williams makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-25,,J. Lamb misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by C. Williams,,24-25,,
11:40.0,J. Evans misses 2-pt shot at rim (block by M. Carter-Williams),,24-25,,
11:40.0,Offensive rebound by Team,,24-25,,
11:29.0,W. Reed misses 2-pt shot from 7 ft,,24-25,,
11:29.0,,,24-25,,Defensive rebound by D. Bacon
11:21.0,,,24-25,,D. Bacon misses 2-pt shot from 15 ft
11:21.0,Defensive rebound by C. Williams,,24-25,,
11:10.0,W. Reed misses 2-pt shot from 3 ft (block by C. Zeller),,24-25,,
11:10.0,,,24-25,,Defensive rebound by F. Kaminsky
11:03.0,,,24-25,,Shooting foul by J. Evans (drawn by M. Carter-Williams)
11:03.0,,,24-26,1,M. Carter-Williams makes free throw 1 of 2
11:03.0,S. Thornwell enters the game for J. Evans,,24-26,,
11:03.0,,,24-27,1,M. Carter-Williams makes free throw 2 of 2
10:46.0,L. Williams makes 2-pt shot from 19 ft (assist by S. Thornwell),2,26-27,,
10:27.0,,,26-27,,D. Bacon misses 2-pt shot from 15 ft
10:24.0,Defensive rebound by S. Dekker,,26-27,,
10:04.0,L. Williams misses 3-pt shot from 26 ft,,26-27,,
9:58.0,,,26-27,,Defensive rebound by J. Lamb
9:49.0,,,26-27,,M. Carter-Williams misses 2-pt shot from 9 ft
9:49.0,Defensive rebound by C. Williams,,26-27,,
9:24.0,S. Dekker makes 2-pt shot from 2 ft,2,28-27,,
9:11.0,,,28-29,2,J. Lamb makes 2-pt shot from 12 ft
8:48.0,W. Reed misses 2-pt shot from 12 ft,,28-29,,
8:45.0,Offensive rebound by S. Dekker,,28-29,,
8:36.0,Turnover by L. Williams (bad pass; steal by J. Lamb),,28-29,,
8:27.0,,,28-31,2,D. Bacon makes 2-pt shot from 2 ft
8:15.0,L. Williams makes 2-pt shot from 15 ft,2,30-31,,
8:02.0,,,30-31,,Shooting foul by C. Williams (drawn by J. Lamb)
8:02.0,,,30-32,1,J. Lamb makes free throw 1 of 2
8:02.0,,,30-32,,K. Walker enters the game for D. Bacon
8:02.0,B. Griffin enters the game for W. Reed,,30-32,,
8:02.0,,,30-33,1,J. Lamb makes free throw 2 of 2
7:46.0,C. Williams makes 2-pt shot at rim (assist by L. Williams),2,32-33,,
7:29.0,,,32-33,,Shooting foul by S. Dekker (drawn by J. Lamb)
7:29.0,,,32-34,1,J. Lamb makes free throw 1 of 2
7:29.0,,,32-35,1,J. Lamb makes free throw 2 of 2
7:14.0,S. Dekker makes 3-pt shot from 23 ft (assist by L. Williams),3,35-35,,
6:52.0,,,35-35,,M. Carter-Williams misses 3-pt shot from 26 ft
6:41.0,,,35-35,,Offensive rebound by C. Zeller
6:39.0,,,35-35,,K. Walker misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by C. Williams,,35-35,,
6:32.0,Shooting foul by C. Zeller (drawn by B. Griffin),,35-35,,
6:32.0,,,35-35,,Charlotte full timeout
6:32.0,,,35-35,,N. Batum enters the game for M. Carter-Williams
6:32.0,,,35-35,,D. Howard enters the game for C. Zeller
6:32.0,A. Rivers enters the game for S. Thornwell,,35-35,,
6:32.0,B. Griffin makes free throw 1 of 2,1,36-35,,
6:32.0,B. Griffin makes free throw 2 of 2,1,37-35,,
6:20.0,,,37-37,2,D. Howard makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:59.0,Turnover by L. Williams (bad pass; steal by N. Batum),,37-37,,
5:55.0,,,37-37,,Turnover by D. Howard (bad pass)
5:55.0,D. Jordan enters the game for S. Dekker,,37-37,,
5:38.0,B. Griffin misses 2-pt shot from 3 ft (block by N. Batum),,37-37,,
5:34.0,,,37-37,,Defensive rebound by N. Batum
5:31.0,,,37-37,,F. Kaminsky misses 2-pt shot from 2 ft (block by D. Jordan)
5:27.0,Defensive rebound by D. Jordan,,37-37,,
5:20.0,,,37-37,,Personal foul by J. Lamb (drawn by L. Williams)
5:20.0,,,37-37,,M. Williams enters the game for F. Kaminsky
5:20.0,W. Johnson enters the game for C. Williams,,37-37,,
5:05.0,B. Griffin misses 2-pt shot from 19 ft,,37-37,,
5:02.0,,,37-37,,Defensive rebound by M. Williams
4:59.0,,,37-39,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
4:37.0,W. Johnson misses 3-pt shot from 22 ft,,37-39,,
4:33.0,,,37-39,,Defensive rebound by J. Lamb
4:25.0,,,37-41,2,D. Howard makes 2-pt shot from 3 ft (assist by J. Lamb)
4:20.0,LA Clippers full timeout,,37-41,,
4:20.0,,,37-41,,M. Kidd-Gilchrist enters the game for J. Lamb
4:05.0,L. Williams misses 2-pt shot from 3 ft (block by D. Howard),,37-41,,
4:05.0,Offensive rebound by Team,,37-41,,
3:59.0,B. Griffin misses 2-pt shot from 6 ft,,37-41,,
3:55.0,,,37-41,,Defensive rebound by D. Howard
3:48.0,,,37-44,3,N. Batum makes 3-pt shot from 25 ft (assist by D. Howard)
3:32.0,Turnover by A. Rivers (bad pass; steal by D. Howard),,37-44,,
3:27.0,,,37-44,,M. Williams misses 2-pt shot from 1 ft
3:22.0,,,37-44,,Offensive rebound by N. Batum
3:22.0,,,37-46,2,N. Batum makes 2-pt shot at rim
3:10.0,Shooting foul by D. Howard (drawn by D. Jordan),,37-46,,
3:10.0,D. Jordan makes free throw 1 of 2,1,38-46,,
3:10.0,S. Thornwell enters the game for L. Williams,,38-46,,
3:10.0,D. Jordan makes free throw 2 of 2,1,39-46,,
2:55.0,,,39-48,2,M. Williams makes 2-pt shot from 6 ft (assist by K. Walker)
2:31.0,A. Rivers misses 2-pt shot from 1 ft,,39-48,,
2:29.0,,,39-48,,Defensive rebound by D. Howard
2:21.0,,,39-50,2,D. Howard makes 2-pt shot from 3 ft (assist by K. Walker)
2:05.0,,,39-50,,Personal foul by D. Howard (drawn by D. Jordan)
1:56.0,B. Griffin makes 2-pt shot from 7 ft,2,41-50,,
1:44.0,,,41-52,2,K. Walker makes 2-pt shot from 1 ft
1:26.0,W. Johnson misses 2-pt shot from 13 ft,,41-52,,
1:24.0,Offensive rebound by Team,,41-52,,
1:20.0,A. Rivers makes 2-pt shot from 1 ft (assist by S. Thornwell),2,43-52,,
1:10.0,Personal foul by S. Thornwell (drawn by N. Batum),,43-52,,
1:10.0,,,43-52,,F. Kaminsky enters the game for D. Howard
0:58.0,,,43-52,,F. Kaminsky misses 3-pt shot from 23 ft
0:56.0,,,43-52,,Offensive rebound by Team
0:50.0,,,43-52,,N. Batum misses 2-pt shot from 15 ft
0:47.0,Defensive rebound by A. Rivers,,43-52,,
0:40.0,S. Thornwell misses 3-pt shot from 23 ft,,43-52,,
0:37.0,Offensive rebound by D. Jordan,,43-52,,
0:35.0,Turnover by S. Thornwell (out of bounds lost ball),,43-52,,
0:28.0,,,43-55,3,K. Walker makes 3-pt shot from 25 ft
0:08.0,B. Griffin makes 3-pt shot from 25 ft,3,46-55,,
0:00.0,,,46-55,,K. Walker misses 2-pt shot from 15 ft
0:00.0,,,46-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-55,,M. Williams misses 2-pt shot from 10 ft
11:42.0,Defensive rebound by W. Johnson,,46-55,,
11:36.0,B. Griffin makes 3-pt shot from 25 ft (assist by W. Johnson),3,49-55,,
11:08.0,,,49-55,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by W. Johnson,,49-55,,
10:55.0,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin),2,51-55,,
10:35.0,,,51-55,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by D. Jordan,,51-55,,
10:27.0,B. Griffin misses 3-pt shot from 26 ft,,51-55,,
10:24.0,,,51-55,,Defensive rebound by M. Kidd-Gilchrist
10:19.0,,,51-55,,Turnover by N. Batum (bad pass; steal by W. Johnson)
9:57.0,W. Johnson misses 2-pt shot from 6 ft (block by M. Kidd-Gilchrist),,51-55,,
9:52.0,,,51-55,,Defensive rebound by M. Williams
9:40.0,,,51-55,,N. Batum misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by D. Jordan,,51-55,,
9:30.0,B. Griffin makes 2-pt shot from 2 ft,2,53-55,,
9:17.0,,,53-58,3,K. Walker makes 3-pt shot from 25 ft
8:55.0,W. Johnson makes 2-pt shot from 14 ft (assist by A. Rivers),2,55-58,,
8:32.0,,,55-60,2,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by K. Walker)
8:15.0,A. Rivers misses 3-pt shot from 26 ft,,55-60,,
8:15.0,Offensive rebound by B. Griffin,,55-60,,
8:08.0,A. Rivers misses 2-pt shot from 1 ft,,55-60,,
8:08.0,,,55-60,,Defensive rebound by D. Howard
8:02.0,,,55-63,3,K. Walker makes 3-pt shot from 26 ft
7:44.0,,,55-63,,Personal foul by N. Batum (drawn by S. Thornwell)
7:34.0,Offensive foul by B. Griffin (drawn by M. Williams),,55-63,,
7:34.0,Turnover by B. Griffin (offensive foul),,55-63,,
7:17.0,,,55-63,,Turnover by D. Howard (traveling)
7:01.0,S. Thornwell makes 3-pt shot from 24 ft (assist by B. Griffin),3,58-63,,
6:47.0,,,58-63,,N. Batum misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by B. Griffin,,58-63,,
6:30.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,60-63,,
6:11.0,,,60-63,,N. Batum misses 2-pt shot from 19 ft
6:09.0,Defensive rebound by D. Jordan,,60-63,,
5:49.0,W. Johnson makes 2-pt shot from 15 ft (assist by D. Jordan),2,62-63,,
5:30.0,,,62-63,,Turnover by D. Howard (lost ball; steal by S. Thornwell)
5:23.0,A. Rivers misses 3-pt shot from 24 ft,,62-63,,
5:20.0,Offensive rebound by D. Jordan,,62-63,,
5:18.0,A. Rivers misses 2-pt shot at rim,,62-63,,
5:16.0,,,62-63,,Defensive rebound by D. Howard
5:06.0,,,62-66,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
4:50.0,LA Clippers full timeout,,62-66,,
4:50.0,,,62-66,,J. Lamb enters the game for N. Batum
4:50.0,L. Williams enters the game for A. Rivers,,62-66,,
4:41.0,Turnover by B. Griffin (bad pass; steal by D. Howard),,62-66,,
4:33.0,,,62-66,,K. Walker misses 2-pt shot from 5 ft
4:27.0,,,62-66,,Offensive rebound by D. Howard
4:27.0,,,62-68,2,D. Howard makes 2-pt shot at rim
4:14.0,W. Johnson misses 2-pt shot from 17 ft,,62-68,,
4:11.0,,,62-68,,Defensive rebound by D. Howard
3:55.0,,,62-68,,J. Lamb misses 2-pt shot from 8 ft (block by D. Jordan)
3:51.0,Defensive rebound by W. Johnson,,62-68,,
3:45.0,B. Griffin makes 2-pt shot from 1 ft (assist by S. Thornwell),2,64-68,,
3:22.0,,,64-68,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
3:16.0,Defensive rebound by D. Jordan,,64-68,,
3:01.0,B. Griffin makes 2-pt shot from 2 ft (assist by L. Williams),2,66-68,,
3:01.0,Shooting foul by M. Williams (drawn by B. Griffin),,66-68,,
3:01.0,,,66-68,,C. Zeller enters the game for M. Williams
3:01.0,,,66-68,,F. Kaminsky enters the game for D. Howard
3:01.0,B. Griffin makes free throw 1 of 1,1,67-68,,
2:45.0,,,67-71,3,J. Lamb makes 3-pt shot from 26 ft
2:32.0,W. Johnson misses 3-pt shot from 25 ft,,67-71,,
2:32.0,Offensive rebound by D. Jordan,,67-71,,
2:32.0,,,67-71,,Personal foul by F. Kaminsky (drawn by D. Jordan)
2:32.0,,,67-71,,Charlotte full timeout
2:32.0,,,67-71,,D. Bacon enters the game for M. Kidd-Gilchrist
2:32.0,M. Harrell enters the game for D. Jordan,,67-71,,
2:27.0,B. Griffin misses 2-pt shot from 18 ft,,67-71,,
2:23.0,,,67-71,,Defensive rebound by D. Bacon
2:13.0,,,67-73,2,F. Kaminsky makes 2-pt shot from 9 ft
1:59.0,L. Williams makes 2-pt shot from 2 ft,2,69-73,,
1:37.0,,,69-73,,D. Bacon misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by Team,,69-73,,
1:37.0,,,69-73,,Loose ball foul by C. Zeller (drawn by S. Thornwell)
1:37.0,,,69-73,,M. Carter-Williams enters the game for K. Walker
1:26.0,,,69-73,,Personal foul by C. Zeller (drawn by B. Griffin)
1:26.0,B. Griffin makes free throw 1 of 2,1,70-73,,
1:26.0,B. Griffin makes free throw 2 of 2,1,71-73,,
1:02.0,,,71-73,,F. Kaminsky misses 2-pt shot from 9 ft
1:00.0,Defensive rebound by Team,,71-73,,
1:00.0,J. Evans enters the game for W. Johnson,,71-73,,
0:56.0,L. Williams misses 3-pt shot from 25 ft,,71-73,,
0:56.0,,,71-73,,Defensive rebound by C. Zeller
0:47.0,,,71-73,,Turnover by J. Lamb (lost ball; steal by S. Thornwell)
0:33.0,M. Harrell misses 2-pt shot from 2 ft,,71-73,,
0:30.0,,,71-73,,Defensive rebound by F. Kaminsky
0:12.0,,,71-73,,C. Zeller misses 2-pt shot from 2 ft (block by B. Griffin)
0:07.0,Defensive rebound by B. Griffin,,71-73,,
0:05.0,B. Griffin misses 2-pt shot from 3 ft (block by F. Kaminsky),,71-73,,
0:01.0,,,71-73,,Defensive rebound by D. Bacon
0:00.0,,,71-73,,J. Lamb misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by J. Evans,,71-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,L. Williams makes 2-pt shot from 2 ft,2,73-73,,
11:24.0,,,73-73,,J. Lamb misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by A. Rivers,,73-73,,
11:12.0,J. Evans misses 3-pt shot from 23 ft,,73-73,,
11:08.0,,,73-73,,Defensive rebound by C. Zeller
11:05.0,Personal foul by M. Harrell (drawn by M. Carter-Williams),,73-73,,
10:57.0,,,73-73,,D. Bacon misses 3-pt shot from 26 ft
10:56.0,,,73-73,,Offensive rebound by Team
10:56.0,Loose ball foul by S. Dekker (drawn by C. Zeller),,73-73,,
10:46.0,,,73-73,,J. Lamb misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by M. Harrell,,73-73,,
10:35.0,S. Dekker misses 3-pt shot from 23 ft,,73-73,,
10:32.0,,,73-73,,Defensive rebound by M. Carter-Williams
10:26.0,,,73-73,,M. Carter-Williams misses 2-pt shot from 18 ft
10:21.0,,,73-73,,Offensive rebound by C. Zeller
10:19.0,,,73-76,3,J. Lamb makes 3-pt shot from 24 ft (assist by C. Zeller)
9:59.0,J. Evans makes 2-pt shot from 11 ft (assist by S. Dekker),2,75-76,,
9:33.0,,,75-76,,F. Kaminsky misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by M. Harrell,,75-76,,
9:14.0,L. Williams makes 2-pt shot from 1 ft,2,77-76,,
8:54.0,,,77-76,,Turnover by D. Bacon (lost ball; steal by M. Harrell)
8:48.0,J. Evans misses 3-pt shot from 25 ft,,77-76,,
8:48.0,,,77-76,,Defensive rebound by Team
8:40.0,,,77-78,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
8:40.0,,,77-78,,Shooting foul by M. Harrell (drawn by C. Zeller)
8:40.0,,,77-79,1,C. Zeller makes free throw 1 of 1
8:30.0,L. Williams makes 3-pt shot from 25 ft,3,80-79,,
8:14.0,,,80-79,,F. Kaminsky misses 2-pt shot from 9 ft
8:13.0,Defensive rebound by Team,,80-79,,
8:07.0,L. Williams misses 3-pt shot from 25 ft,,80-79,,
8:03.0,,,80-79,,Defensive rebound by J. Lamb
7:54.0,,,80-79,,Turnover by J. Lamb (lost ball; steal by A. Rivers)
7:54.0,,,80-79,,Personal foul by J. Lamb (drawn by S. Dekker)
7:54.0,,,80-79,,K. Walker enters the game for D. Bacon
7:41.0,Turnover by A. Rivers (bad pass; steal by J. Lamb),,80-79,,
7:29.0,,,80-79,,F. Kaminsky misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by A. Rivers,,80-79,,
7:08.0,L. Williams misses 3-pt shot from 26 ft,,80-79,,
7:04.0,,,80-79,,Defensive rebound by F. Kaminsky
6:58.0,,,80-79,,K. Walker misses 2-pt shot from 3 ft (block by M. Harrell)
6:58.0,,,80-79,,Offensive rebound by Team
6:58.0,,,80-79,,Charlotte full timeout
6:58.0,,,80-79,,D. Howard enters the game for M. Carter-Williams
6:58.0,,,80-79,,N. Batum enters the game for F. Kaminsky
6:58.0,D. Jordan enters the game for J. Evans,,80-79,,
6:58.0,W. Johnson enters the game for M. Harrell,,80-79,,
6:58.0,S. Thornwell enters the game for S. Dekker,,80-79,,
6:58.0,B. Griffin enters the game for L. Williams,,80-79,,
6:57.0,,,80-81,2,J. Lamb makes 2-pt shot from 2 ft (assist by N. Batum)
6:57.0,,,80-81,,Shooting foul by S. Thornwell (drawn by J. Lamb)
6:57.0,,,80-82,1,J. Lamb makes free throw 1 of 1
6:37.0,Offensive foul by D. Jordan (drawn by C. Zeller),,80-82,,
6:37.0,Turnover by D. Jordan (offensive foul),,80-82,,
6:37.0,,,80-82,,M. Kidd-Gilchrist enters the game for J. Lamb
6:23.0,,,80-82,,Turnover by N. Batum (traveling)
6:02.0,B. Griffin misses 3-pt shot from 26 ft,,80-82,,
5:59.0,,,80-82,,Defensive rebound by N. Batum
5:54.0,,,80-84,2,N. Batum makes 2-pt shot from 12 ft
5:47.0,Shooting foul by C. Zeller (drawn by B. Griffin),,80-84,,
5:47.0,B. Griffin misses free throw 1 of 2,,80-84,,
5:47.0,Offensive rebound by Team,,80-84,,
5:47.0,,,80-84,,M. Williams enters the game for C. Zeller
5:47.0,L. Williams enters the game for W. Johnson,,80-84,,
5:47.0,B. Griffin misses free throw 2 of 2,,80-84,,
5:41.0,,,80-84,,Defensive rebound by D. Howard
5:32.0,,,80-84,,N. Batum misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by B. Griffin,,80-84,,
5:15.0,L. Williams makes 3-pt shot from 24 ft (assist by A. Rivers),3,83-84,,
5:03.0,,,83-87,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
4:42.0,A. Rivers misses 3-pt shot from 23 ft,,83-87,,
4:40.0,Offensive rebound by Team,,83-87,,
4:40.0,,,83-87,,Technical foul by D. Howard
4:40.0,L. Williams makes technical free throw,1,84-87,,
4:34.0,Offensive foul by D. Jordan (drawn by D. Howard),,84-87,,
4:34.0,Turnover by D. Jordan (offensive foul),,84-87,,
4:17.0,,,84-87,,M. Williams misses 2-pt shot from 12 ft
4:15.0,,,84-87,,Offensive rebound by M. Kidd-Gilchrist
4:06.0,,,84-87,,Shooting foul by S. Thornwell (drawn by N. Batum)
4:06.0,,,84-88,1,N. Batum makes free throw 1 of 3
4:06.0,,,84-89,1,N. Batum makes free throw 2 of 3
