time,New Orleans,pts.away,score,pts.home,Utah
8:00.0,,,12-11,1,R. Rubio makes free throw 1 of 1
7:48.0,R. Rondo misses 3-pt shot from 23 ft,,12-11,,
7:44.0,,,12-11,,Defensive rebound by D. Mitchell
7:34.0,,,12-13,2,J. Jerebko makes 2-pt shot from 1 ft
7:34.0,,,12-13,,Shooting foul by D. Cunningham (drawn by J. Jerebko)
7:34.0,,,12-14,1,J. Jerebko makes free throw 1 of 1
7:25.0,,,12-14,,Personal foul by J. Ingles (drawn by E. Moore)
7:22.0,A. Davis makes 2-pt shot from 11 ft (assist by R. Rondo),2,14-14,,
7:02.0,,,14-14,,Shooting foul by J. Holiday (drawn by D. Mitchell)
7:02.0,,,14-15,1,D. Mitchell makes free throw 1 of 2
7:02.0,,,14-16,1,D. Mitchell makes free throw 2 of 2
6:51.0,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo),2,16-16,,
6:30.0,,,16-16,,R. Rubio misses 3-pt shot from 22 ft
6:28.0,Defensive rebound by Team,,16-16,,
6:28.0,,,16-16,,R. Hood enters the game for R. Rubio
6:14.0,A. Davis misses 2-pt shot from 12 ft,,16-16,,
6:10.0,,,16-16,,Defensive rebound by D. Favors
6:00.0,,,16-16,,J. Ingles misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by R. Rondo,,16-16,,
5:54.0,Turnover by E. Moore (turnover),,16-16,,
5:39.0,,,16-16,,R. Hood misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by J. Holiday,,16-16,,
5:25.0,E. Moore misses 2-pt shot from 14 ft,,16-16,,
5:23.0,,,16-16,,Defensive rebound by Team
5:23.0,Loose ball foul by A. Davis (drawn by J. Jerebko),,16-16,,
5:23.0,,,16-16,,J. Johnson enters the game for J. Jerebko
5:11.0,,,16-16,,Turnover by D. Favors (traveling)
5:04.0,D. Cousins enters the game for D. Cunningham,,16-16,,
5:04.0,D. Miller enters the game for E. Moore,,16-16,,
4:57.0,R. Rondo misses 3-pt shot from 23 ft,,16-16,,
4:54.0,,,16-16,,Defensive rebound by D. Favors
4:46.0,,,16-16,,D. Favors misses 2-pt shot from 10 ft
4:44.0,,,16-16,,Offensive rebound by J. Johnson
4:42.0,,,16-18,2,J. Johnson makes 2-pt shot from 3 ft
4:31.0,Turnover by D. Cousins (bad pass; steal by R. Hood),,16-18,,
4:24.0,,,16-20,2,D. Favors makes 2-pt shot from 3 ft (assist by J. Johnson)
4:11.0,A. Davis misses 3-pt shot from 24 ft,,16-20,,
4:08.0,,,16-20,,Defensive rebound by J. Ingles
4:00.0,,,16-20,,A. Burks enters the game for J. Ingles
4:00.0,,,16-20,,Utah full timeout
4:00.0,J. Nelson enters the game for R. Rondo,,16-20,,
3:52.0,,,16-22,2,D. Favors makes 2-pt shot from 16 ft (assist by A. Burks)
3:39.0,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis),3,19-22,,
3:22.0,Personal foul by D. Miller (drawn by D. Mitchell),,19-22,,
3:22.0,,,19-22,,D. Mitchell misses free throw 1 of 2
3:22.0,,,19-22,,Offensive rebound by Team
3:22.0,,,19-23,1,D. Mitchell makes free throw 2 of 2
3:11.0,J. Nelson misses 3-pt shot from 24 ft,,19-23,,
3:09.0,,,19-23,,Defensive rebound by A. Burks
3:01.0,,,19-25,2,A. Burks makes 2-pt shot from 21 ft
2:52.0,Turnover by J. Nelson (bad pass; steal by A. Burks),,19-25,,
2:46.0,,,19-25,,D. Mitchell misses 3-pt shot from 28 ft
2:43.0,Defensive rebound by J. Nelson,,19-25,,
2:38.0,J. Holiday makes 3-pt shot from 25 ft (assist by J. Nelson),3,22-25,,
2:19.0,,,22-25,,A. Burks misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by D. Cousins,,22-25,,
2:09.0,,,22-25,,Personal foul by A. Burks (drawn by J. Holiday)
2:09.0,,,22-25,,R. Rubio enters the game for D. Favors
2:09.0,,,22-25,,E. Udoh enters the game for D. Mitchell
2:03.0,A. Davis misses 2-pt shot from 22 ft,,22-25,,
2:00.0,,,22-25,,Defensive rebound by E. Udoh
1:44.0,,,22-25,,R. Hood misses 2-pt shot from 1 ft (block by D. Cousins)
1:42.0,,,22-25,,Offensive rebound by J. Johnson
1:40.0,,,22-25,,R. Rubio misses 2-pt shot from 20 ft
1:36.0,Defensive rebound by D. Cousins,,22-25,,
1:27.0,D. Cousins makes 3-pt shot from 25 ft (assist by A. Davis),3,25-25,,
1:10.0,,,25-28,3,J. Johnson makes 3-pt shot from 25 ft (assist by R. Rubio)
0:53.0,A. Davis misses 2-pt shot from 10 ft,,25-28,,
0:51.0,,,25-28,,Defensive rebound by A. Burks
0:47.0,,,25-28,,R. Hood misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by J. Holiday,,25-28,,
0:43.0,Turnover by J. Holiday (bad pass; steal by R. Rubio),,25-28,,
0:34.0,,,25-28,,R. Hood misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by J. Holiday,,25-28,,
0:29.0,,,25-28,,Personal foul by R. Hood (drawn by A. Davis)
0:29.0,E. Moore enters the game for J. Holiday,,25-28,,
0:29.0,D. Cunningham enters the game for A. Davis,,25-28,,
0:19.0,D. Cousins makes 2-pt shot at rim,2,27-28,,
0:00.0,,,27-28,,R. Hood misses 2-pt shot from 13 ft
0:00.0,,,27-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-28,,Turnover by R. Rubio (bad pass; steal by D. Cousins)
11:19.0,D. Cousins misses 2-pt shot from 10 ft,,27-28,,
11:16.0,,,27-28,,Defensive rebound by R. Rubio
11:11.0,,,27-30,2,R. Hood makes 2-pt shot from 2 ft (assist by R. Rubio)
11:01.0,Turnover by J. Nelson (bad pass; steal by E. Udoh),,27-30,,
10:56.0,,,27-30,,Turnover by R. Hood (lost ball; steal by D. Cunningham)
10:50.0,D. Miller makes 3-pt shot from 23 ft (assist by E. Moore),3,30-30,,
10:32.0,,,30-32,2,E. Udoh makes 2-pt shot from 8 ft (assist by R. Rubio)
10:15.0,D. Miller makes 3-pt shot from 24 ft (assist by E. Moore),3,33-32,,
10:01.0,Personal foul by D. Cousins (drawn by R. Rubio),,33-32,,
10:01.0,,,33-32,,D. Mitchell enters the game for R. Hood
9:56.0,,,33-32,,Shooting foul by E. Moore (drawn by D. Mitchell)
9:56.0,,,33-33,1,D. Mitchell makes free throw 1 of 2
9:56.0,,,33-34,1,D. Mitchell makes free throw 2 of 2
9:39.0,Turnover by E. Moore (bad pass),,33-34,,
9:39.0,,,33-34,,J. Jerebko enters the game for J. Johnson
9:27.0,,,33-36,2,E. Udoh makes 2-pt shot from 1 ft (assist by D. Mitchell)
9:15.0,Offensive foul by D. Cousins (drawn by E. Udoh),,33-36,,
9:15.0,Turnover by D. Cousins (offensive foul),,33-36,,
9:15.0,A. Davis enters the game for D. Cousins,,33-36,,
9:00.0,,,33-36,,Turnover by D. Mitchell (bad pass; steal by A. Davis)
8:48.0,J. Nelson makes 3-pt shot from 25 ft (assist by E. Moore),3,36-36,,
8:32.0,,,36-36,,A. Burks misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by A. Davis,,36-36,,
8:21.0,D. Miller makes 3-pt shot from 22 ft (assist by J. Nelson),3,39-36,,
8:19.0,,,39-36,,Utah full timeout
8:19.0,,,39-36,,D. Favors enters the game for R. Rubio
8:19.0,,,39-36,,J. Ingles enters the game for E. Udoh
8:05.0,,,39-36,,A. Burks misses 2-pt shot from 5 ft
8:04.0,,,39-36,,Offensive rebound by A. Burks
7:56.0,,,39-36,,A. Burks misses 2-pt shot from 3 ft (block by A. Davis)
7:53.0,Defensive rebound by E. Moore,,39-36,,
7:50.0,,,39-36,,R. Hood enters the game for A. Burks
7:50.0,J. Holiday enters the game for J. Nelson,,39-36,,
7:48.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,41-36,,
7:33.0,,,41-36,,Turnover by D. Favors (lost ball; steal by A. Davis)
7:27.0,Turnover by E. Moore (bad pass; steal by D. Favors),,41-36,,
7:18.0,,,41-36,,Turnover by D. Mitchell (bad pass)
7:06.0,J. Holiday makes 2-pt shot from 4 ft,2,43-36,,
6:50.0,,,43-38,2,J. Jerebko makes 2-pt shot from 2 ft (assist by J. Ingles)
6:28.0,J. Holiday makes 2-pt shot from 18 ft,2,45-38,,
6:01.0,,,45-38,,D. Favors misses 2-pt shot from 14 ft
5:59.0,Defensive rebound by D. Cunningham,,45-38,,
5:49.0,Turnover by J. Holiday (bad pass; steal by R. Hood),,45-38,,
5:46.0,Personal foul by D. Miller (drawn by R. Hood),,45-38,,
5:32.0,,,45-38,,Offensive foul by R. Hood (drawn by D. Miller)
5:32.0,,,45-38,,Turnover by R. Hood (offensive foul)
5:24.0,J. Holiday makes 2-pt shot from 13 ft,2,47-38,,
5:04.0,,,47-38,,Turnover by R. Hood (lost ball; steal by D. Miller)
5:03.0,,,47-38,,Personal foul by D. Mitchell (drawn by A. Davis)
5:03.0,,,47-38,,J. Johnson enters the game for J. Jerebko
4:54.0,A. Davis misses 2-pt shot from 13 ft,,47-38,,
4:50.0,,,47-38,,Defensive rebound by D. Mitchell
4:47.0,,,47-40,2,D. Mitchell makes 2-pt shot from 9 ft
4:33.0,D. Miller misses 2-pt shot from 16 ft,,47-40,,
4:25.0,Offensive rebound by A. Davis,,47-40,,
4:25.0,A. Davis makes 2-pt shot at rim,2,49-40,,
4:16.0,,,49-42,2,D. Mitchell makes 2-pt shot from 12 ft
3:59.0,Offensive foul by A. Davis (drawn by D. Mitchell),,49-42,,
3:59.0,Turnover by A. Davis (offensive foul),,49-42,,
3:43.0,,,49-44,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood)
3:18.0,J. Holiday makes 2-pt shot from 1 ft,2,51-44,,
3:05.0,,,51-47,3,D. Mitchell makes 3-pt shot from 25 ft
2:53.0,,,51-47,,Violation by D. Favors (kicked ball)
2:53.0,New Orleans full timeout,,51-47,,
2:40.0,,,51-47,,Personal foul by J. Ingles (drawn by J. Holiday)
2:27.0,A. Davis misses 2-pt shot from 5 ft,,51-47,,
2:20.0,Offensive rebound by A. Davis,,51-47,,
2:20.0,A. Davis makes 2-pt shot at rim,2,53-47,,
2:07.0,,,53-49,2,J. Johnson makes 2-pt shot from 6 ft (assist by J. Ingles)
1:56.0,E. Moore makes 3-pt shot from 24 ft (assist by A. Davis),3,56-49,,
1:40.0,,,56-49,,R. Hood misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by A. Davis,,56-49,,
1:30.0,J. Holiday misses 3-pt shot from 24 ft,,56-49,,
1:26.0,,,56-49,,Defensive rebound by J. Ingles
1:19.0,,,56-51,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
0:57.0,D. Cunningham misses 3-pt shot from 23 ft,,56-51,,
0:55.0,,,56-51,,Defensive rebound by J. Ingles
0:49.0,,,56-53,2,J. Johnson makes 2-pt shot from 5 ft (assist by J. Ingles)
0:39.0,D. Miller misses 3-pt shot from 25 ft,,56-53,,
0:37.0,,,56-53,,Defensive rebound by Team
0:25.0,,,56-55,2,J. Johnson makes 2-pt shot from 13 ft
0:04.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,58-55,,
0:00.0,,,58-55,,D. Mitchell misses 3-pt shot from 32 ft
0:00.0,,,58-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,58-57,2,R. Rubio makes 2-pt shot from 9 ft
11:22.0,,,58-57,,Violation by J. Ingles (kicked ball)
11:10.0,Turnover by J. Holiday (bad pass; steal by R. Rubio),,58-57,,
11:05.0,,,58-57,,J. Ingles misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by Team,,58-57,,
11:04.0,,,58-57,,Loose ball foul by J. Jerebko (drawn by D. Cousins)
10:51.0,J. Holiday misses 3-pt shot from 25 ft,,58-57,,
10:47.0,,,58-57,,Defensive rebound by D. Favors
10:40.0,,,58-59,2,R. Rubio makes 2-pt shot from 2 ft (assist by D. Mitchell)
10:23.0,R. Rondo misses 2-pt shot from 15 ft,,58-59,,
10:22.0,Offensive rebound by Team,,58-59,,
10:22.0,,,58-59,,Loose ball foul by D. Mitchell (drawn by A. Davis)
10:13.0,,,58-59,,Personal foul by D. Mitchell (drawn by D. Cousins)
10:08.0,R. Rondo makes 2-pt shot from 1 ft,2,60-59,,
9:56.0,,,60-61,2,R. Rubio makes 2-pt shot from 2 ft (assist by D. Favors)
9:44.0,J. Holiday makes 2-pt shot from 13 ft,2,62-61,,
9:26.0,,,62-61,,D. Mitchell misses 2-pt shot from 10 ft
9:22.0,,,62-61,,Offensive rebound by D. Favors
9:21.0,,,62-61,,R. Rubio misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by J. Holiday,,62-61,,
9:09.0,,,62-61,,Violation by J. Ingles (kicked ball)
9:08.0,Turnover by R. Rondo (bad pass),,62-61,,
8:48.0,,,62-61,,Turnover by J. Ingles (step out of bounds)
8:30.0,R. Rondo makes 2-pt shot from 9 ft,2,64-61,,
8:24.0,,,64-61,,D. Mitchell misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by D. Cousins,,64-61,,
8:00.0,A. Davis makes 2-pt shot from 20 ft (assist by E. Moore),2,66-61,,
7:42.0,,,66-61,,D. Favors misses 2-pt shot from 3 ft
7:40.0,Defensive rebound by D. Cousins,,66-61,,
7:39.0,Turnover by D. Cousins (bad pass; steal by R. Rubio),,66-61,,
7:30.0,,,66-63,2,R. Rubio makes 2-pt shot from 16 ft
7:15.0,R. Rondo misses 3-pt shot from 22 ft,,66-63,,
7:12.0,,,66-63,,Defensive rebound by D. Favors
6:54.0,,,66-63,,R. Rubio misses 2-pt shot from 11 ft
6:52.0,Defensive rebound by A. Davis,,66-63,,
6:46.0,Turnover by J. Holiday (out of bounds lost ball),,66-63,,
6:46.0,,,66-63,,Utah full timeout
6:46.0,,,66-63,,R. Hood enters the game for R. Rubio
6:46.0,,,66-63,,J. Johnson enters the game for J. Jerebko
6:34.0,,,66-63,,J. Ingles misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by A. Davis,,66-63,,
6:19.0,A. Davis misses 2-pt shot from 5 ft,,66-63,,
6:17.0,,,66-63,,Defensive rebound by J. Johnson
6:09.0,,,66-63,,Turnover by R. Hood (bad pass; steal by A. Davis)
5:53.0,E. Moore misses 3-pt shot from 25 ft,,66-63,,
5:50.0,,,66-63,,Defensive rebound by D. Favors
5:42.0,,,66-63,,D. Mitchell misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by A. Davis,,66-63,,
5:29.0,J. Holiday misses 2-pt shot from 3 ft (block by D. Favors),,66-63,,
5:29.0,Offensive rebound by Team,,66-63,,
5:24.0,Turnover by E. Moore (bad pass; steal by J. Ingles),,66-63,,
5:21.0,,,66-65,2,J. Ingles makes 2-pt shot from 1 ft
5:07.0,Turnover by J. Holiday (out of bounds lost ball),,66-65,,
5:00.0,,,66-65,,D. Favors misses 2-pt shot from 8 ft
4:57.0,Defensive rebound by A. Davis,,66-65,,
4:50.0,D. Cousins makes 3-pt shot from 28 ft (assist by J. Holiday),3,69-65,,
4:31.0,Personal foul by D. Cousins (drawn by J. Johnson),,69-65,,
4:31.0,D. Miller enters the game for D. Cousins,,69-65,,
4:31.0,D. Cunningham enters the game for R. Rondo,,69-65,,
4:21.0,,,69-68,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Ingles)
4:04.0,A. Davis misses 2-pt shot from 4 ft,,69-68,,
4:04.0,,,69-68,,Defensive rebound by J. Johnson
3:55.0,,,69-71,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Hood)
3:42.0,,,69-71,,Violation by D. Mitchell (kicked ball)
3:42.0,New Orleans full timeout,,69-71,,
3:42.0,I. Clark enters the game for E. Moore,,69-71,,
3:32.0,Shooting foul by D. Favors (drawn by A. Davis),,69-71,,
3:32.0,A. Davis makes free throw 1 of 2,1,70-71,,
3:32.0,A. Davis makes free throw 2 of 2,1,71-71,,
3:14.0,,,71-71,,J. Johnson misses 2-pt shot from 10 ft
3:11.0,Defensive rebound by A. Davis,,71-71,,
3:00.0,A. Davis misses 2-pt shot from 21 ft,,71-71,,
2:57.0,,,71-71,,Defensive rebound by J. Ingles
2:39.0,,,71-71,,D. Mitchell misses 3-pt shot from 27 ft
2:35.0,Defensive rebound by A. Davis,,71-71,,
2:26.0,J. Holiday makes 2-pt shot from 1 ft,2,73-71,,
2:07.0,,,73-71,,Shooting foul by J. Holiday (drawn by D. Favors)
2:07.0,,,73-72,1,D. Favors makes free throw 1 of 2
2:07.0,,,73-72,,A. Burks enters the game for J. Ingles
2:07.0,,,73-72,,R. Rubio enters the game for D. Mitchell
2:07.0,J. Nelson enters the game for J. Holiday,,73-72,,
2:07.0,,,73-72,,D. Favors misses free throw 2 of 2
2:05.0,Defensive rebound by A. Davis,,73-72,,
1:54.0,J. Nelson misses 3-pt shot from 24 ft,,73-72,,
1:52.0,Offensive rebound by A. Davis,,73-72,,
1:41.0,,,73-72,,E. Udoh enters the game for D. Favors
1:32.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Nelson),2,75-72,,
1:14.0,,,75-72,,J. Johnson misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by D. Cunningham,,75-72,,
0:54.0,D. Cunningham makes 3-pt shot from 23 ft (assist by I. Clark),3,78-72,,
0:38.0,,,78-72,,E. Udoh misses 2-pt shot from 7 ft
0:35.0,Defensive rebound by A. Davis,,78-72,,
0:26.0,A. Davis makes 3-pt shot from 26 ft (assist by J. Nelson),3,81-72,,
0:00.0,,,81-72,,R. Hood misses 3-pt shot from 23 ft
0:00.0,,,81-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,81-72,,Personal foul by E. Udoh (drawn by D. Cousins)
11:47.0,Turnover by D. Cousins (bad pass),,81-72,,
11:36.0,,,81-72,,R. Hood misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by J. Nelson,,81-72,,
11:12.0,D. Cunningham makes 2-pt shot from 3 ft,2,83-72,,
11:12.0,Shooting foul by J. Johnson (drawn by D. Cunningham),,83-72,,
11:12.0,D. Cunningham makes free throw 1 of 1,1,84-72,,
10:50.0,,,84-72,,R. Hood misses 2-pt shot from 12 ft
10:46.0,Defensive rebound by D. Cousins,,84-72,,
10:28.0,D. Cousins misses 3-pt shot from 25 ft,,84-72,,
10:23.0,,,84-72,,Defensive rebound by J. Johnson
10:04.0,,,84-74,2,A. Burks makes 2-pt shot from 1 ft (assist by E. Udoh)
9:50.0,J. Nelson misses 2-pt shot from 2 ft,,84-74,,
9:48.0,,,84-74,,Defensive rebound by R. Hood
9:44.0,,,84-76,2,A. Burks makes 2-pt shot from 3 ft (assist by R. Rubio)
9:44.0,,,84-76,,Shooting foul by I. Clark (drawn by A. Burks)
9:44.0,New Orleans full timeout,,84-76,,
9:44.0,,,84-76,,D. Mitchell enters the game for R. Rubio
9:44.0,E. Moore enters the game for I. Clark,,84-76,,
9:44.0,,,84-77,1,A. Burks makes free throw 1 of 1
9:25.0,D. Miller misses 3-pt shot from 23 ft,,84-77,,
9:22.0,,,84-77,,Defensive rebound by A. Burks
9:19.0,,,84-77,,Offensive charge foul by A. Burks (drawn by J. Nelson)
9:19.0,,,84-77,,Turnover by A. Burks (offensive foul)
9:09.0,Turnover by E. Moore (lost ball; steal by E. Udoh),,84-77,,
9:04.0,,,84-77,,D. Mitchell misses 2-pt shot from 1 ft
8:59.0,,,84-77,,Offensive rebound by E. Udoh
8:59.0,,,84-79,2,E. Udoh makes 2-pt shot at rim
8:39.0,E. Moore misses 2-pt shot from 21 ft,,84-79,,
8:37.0,,,84-79,,Defensive rebound by A. Burks
8:28.0,,,84-79,,J. Johnson misses 2-pt shot from 5 ft
8:25.0,Defensive rebound by D. Cousins,,84-79,,
8:07.0,J. Nelson misses 2-pt shot from 9 ft,,84-79,,
8:06.0,,,84-79,,Defensive rebound by D. Mitchell
8:03.0,,,84-79,,Shooting foul by D. Miller (drawn by A. Burks)
8:03.0,,,84-80,1,A. Burks makes free throw 1 of 2
8:03.0,,,84-80,,J. Jerebko enters the game for R. Hood
8:03.0,,,84-80,,R. Rubio enters the game for J. Johnson
8:03.0,J. Holiday enters the game for D. Cunningham,,84-80,,
8:03.0,A. Davis enters the game for E. Moore,,84-80,,
8:03.0,,,84-81,1,A. Burks makes free throw 2 of 2
7:49.0,A. Davis misses 2-pt shot from 20 ft,,84-81,,
7:47.0,,,84-81,,Defensive rebound by A. Burks
7:41.0,,,84-81,,R. Rubio misses 2-pt shot from 11 ft
7:37.0,Defensive rebound by D. Cousins,,84-81,,
7:30.0,,,84-81,,Personal foul by E. Udoh (drawn by D. Cousins)
7:20.0,A. Davis misses 2-pt shot from 3 ft,,84-81,,
7:20.0,Offensive rebound by D. Cousins,,84-81,,
7:20.0,Shooting foul by R. Rubio (drawn by D. Cousins),,84-81,,
7:20.0,D. Cousins makes free throw 1 of 2,1,85-81,,
7:20.0,D. Cousins makes free throw 2 of 2,1,86-81,,
7:04.0,,,86-81,,D. Mitchell misses 3-pt shot from 24 ft
7:00.0,,,86-81,,Offensive rebound by E. Udoh
6:45.0,,,86-81,,Turnover by A. Burks (lost ball; steal by D. Cousins)
6:32.0,Shooting foul by J. Jerebko (drawn by A. Davis),,86-81,,
6:32.0,A. Davis makes free throw 1 of 2,1,87-81,,
6:32.0,,,87-81,,J. Ingles enters the game for A. Burks
6:32.0,,,87-81,,D. Favors enters the game for E. Udoh
6:32.0,A. Davis makes free throw 2 of 2,1,88-81,,
6:22.0,Personal foul by J. Holiday (drawn by D. Favors),,88-81,,
6:13.0,Personal foul by D. Miller (drawn by J. Ingles),,88-81,,
6:00.0,,,88-81,,J. Jerebko misses 2-pt shot from 17 ft
5:58.0,Defensive rebound by J. Holiday,,88-81,,
5:45.0,A. Davis makes 2-pt shot from 4 ft,2,90-81,,
5:45.0,Shooting foul by R. Rubio (drawn by A. Davis),,90-81,,
5:45.0,,,90-81,,J. Johnson enters the game for R. Rubio
5:45.0,,,90-81,,R. Hood enters the game for J. Jerebko
5:45.0,A. Davis makes free throw 1 of 1,1,91-81,,
5:32.0,,,91-81,,Turnover by D. Mitchell (lost ball; steal by J. Holiday)
5:19.0,A. Davis misses 2-pt shot from 10 ft,,91-81,,
5:16.0,,,91-81,,Defensive rebound by J. Johnson
5:04.0,,,91-81,,D. Mitchell misses 3-pt shot from 22 ft
5:01.0,Defensive rebound by D. Cousins,,91-81,,
4:40.0,A. Davis misses 3-pt shot from 25 ft,,91-81,,
4:38.0,,,91-81,,Defensive rebound by D. Favors
4:34.0,,,91-81,,Utah full timeout
4:34.0,,,91-81,,R. Rubio enters the game for D. Mitchell
4:15.0,,,91-83,2,J. Johnson makes 2-pt shot from 11 ft (assist by R. Hood)
3:56.0,J. Nelson misses 2-pt shot from 2 ft,,91-83,,
3:50.0,Offensive rebound by D. Cousins,,91-83,,
3:50.0,D. Cousins makes 2-pt shot at rim,2,93-83,,
3:43.0,,,93-85,2,D. Favors makes 2-pt shot from 11 ft (assist by R. Rubio)
3:24.0,D. Cousins misses 3-pt shot from 26 ft,,93-85,,
3:23.0,Offensive rebound by A. Davis,,93-85,,
3:23.0,A. Davis makes 2-pt shot at rim,2,95-85,,
3:23.0,Shooting foul by J. Johnson (drawn by A. Davis),,95-85,,
3:23.0,,,95-85,,D. Mitchell enters the game for R. Rubio
3:23.0,E. Moore enters the game for J. Nelson,,95-85,,
3:23.0,A. Davis makes free throw 1 of 1,1,96-85,,
3:17.0,,,96-85,,Shooting foul by D. Cousins (drawn by D. Mitchell)
3:17.0,,,96-86,1,D. Mitchell makes free throw 1 of 2
3:17.0,,,96-87,1,D. Mitchell makes free throw 2 of 2
3:17.0,New Orleans full timeout,,96-87,,
2:59.0,A. Davis makes 2-pt shot from 8 ft (assist by D. Cousins),2,98-87,,
2:39.0,,,98-87,,D. Favors misses 2-pt shot from 3 ft
2:37.0,Defensive rebound by D. Miller,,98-87,,
2:25.0,J. Holiday misses 2-pt shot from 2 ft,,98-87,,
2:23.0,,,98-87,,Defensive rebound by J. Johnson
2:15.0,,,98-89,2,J. Johnson makes 2-pt shot from 6 ft
1:50.0,A. Davis misses 2-pt shot from 18 ft,,98-89,,
1:47.0,,,98-89,,Defensive rebound by R. Hood
1:37.0,,,98-91,2,J. Johnson makes 2-pt shot from 11 ft
1:17.0,D. Cousins misses 2-pt shot from 4 ft,,98-91,,
1:15.0,Offensive rebound by D. Cousins,,98-91,,
1:15.0,D. Cousins makes 2-pt shot at rim,2,100-91,,
1:10.0,,,100-91,,Shooting foul by J. Holiday (drawn by D. Mitchell)
1:10.0,,,100-92,1,D. Mitchell makes free throw 1 of 2
1:10.0,,,100-93,1,D. Mitchell makes free throw 2 of 2
0:57.0,D. Cousins makes 2-pt shot from 2 ft,2,102-93,,
0:57.0,Shooting foul by J. Ingles (drawn by D. Cousins),,102-93,,
0:57.0,D. Cousins makes free throw 1 of 1,1,103-93,,
