time,Denver,pts.away,score,pts.home,Dallas
8:11.0,Offensive rebound by Team,,8-16,,
8:11.0,M. Plumlee misses free throw 2 of 2,,8-16,,
8:08.0,,,8-16,,Defensive rebound by H. Barnes
7:58.0,,,8-16,,H. Barnes misses 3-pt shot from 22 ft
7:58.0,Defensive rebound by M. Plumlee,,8-16,,
7:51.0,W. Chandler misses 2-pt shot from 16 ft,,8-16,,
7:51.0,,,8-16,,Defensive rebound by W. Matthews
7:38.0,,,8-16,,Shooting foul by G. Harris (drawn by H. Barnes)
7:38.0,,,8-17,1,H. Barnes makes free throw 1 of 2
7:38.0,,,8-17,,S. Mejri enters the game for D. Nowitzki
7:38.0,,,8-18,1,H. Barnes makes free throw 2 of 2
7:32.0,J. Murray misses 3-pt shot from 25 ft,,8-18,,
7:32.0,,,8-18,,Defensive rebound by S. Mejri
7:22.0,,,8-21,3,W. Matthews makes 3-pt shot from 26 ft
7:20.0,Denver full timeout,,8-21,,
7:20.0,W. Barton enters the game for W. Chandler,,8-21,,
7:20.0,T. Lyles enters the game for K. Faried,,8-21,,
7:07.0,J. Murray makes 3-pt shot from 22 ft (assist by M. Plumlee),3,11-21,,
6:56.0,,,11-21,,D. Smith misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by T. Lyles,,11-21,,
6:48.0,T. Lyles misses 3-pt shot from 24 ft,,11-21,,
6:43.0,,,11-21,,Defensive rebound by H. Barnes
6:39.0,,,11-21,,Turnover by D. Smith (bad pass)
6:25.0,G. Harris misses 2-pt shot from 10 ft,,11-21,,
6:22.0,,,11-21,,Defensive rebound by M. Kleber
6:18.0,,,11-23,2,D. Smith makes 2-pt shot at rim
5:58.0,Shooting foul by M. Kleber (drawn by M. Plumlee),,11-23,,
5:58.0,M. Plumlee misses free throw 1 of 2,,11-23,,
5:58.0,Offensive rebound by Team,,11-23,,
5:58.0,M. Plumlee makes free throw 2 of 2,1,12-23,,
5:44.0,,,12-26,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith)
5:24.0,G. Harris misses 3-pt shot from 25 ft,,12-26,,
5:21.0,,,12-26,,Defensive rebound by H. Barnes
5:16.0,Personal foul by T. Lyles (drawn by W. Matthews),,12-26,,
5:16.0,E. Mudiay enters the game for J. Murray,,12-26,,
5:04.0,,,12-26,,D. Smith misses 2-pt shot from 6 ft
5:02.0,,,12-26,,Offensive rebound by D. Smith
4:46.0,,,12-26,,Turnover by D. Smith (bad pass; steal by G. Harris)
4:38.0,E. Mudiay misses 3-pt shot from 22 ft (block by S. Mejri),,12-26,,
4:38.0,,,12-26,,Defensive rebound by D. Smith
4:30.0,,,12-26,,W. Matthews misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by M. Plumlee,,12-26,,
4:23.0,,,12-26,,Personal foul by W. Matthews (drawn by G. Harris)
4:23.0,,,12-26,,J. Barea enters the game for D. Smith
4:23.0,,,12-26,,Personal take foul by S. Mejri (drawn by M. Plumlee)
4:23.0,M. Plumlee misses free throw 1 of 2,,12-26,,
4:23.0,Offensive rebound by Team,,12-26,,
4:23.0,,,12-26,,D. Harris enters the game for M. Kleber
4:23.0,M. Plumlee misses free throw 2 of 2,,12-26,,
4:21.0,,,12-26,,Defensive rebound by H. Barnes
4:09.0,,,12-28,2,H. Barnes makes 2-pt shot from 7 ft
4:09.0,,,12-28,,Shooting foul by T. Lyles (drawn by H. Barnes)
4:09.0,J. Hernangomez enters the game for M. Plumlee,,12-28,,
4:09.0,,,12-29,1,H. Barnes makes free throw 1 of 1
3:56.0,W. Barton misses 2-pt shot from 19 ft,,12-29,,
3:52.0,,,12-29,,Defensive rebound by S. Mejri
3:42.0,,,12-31,2,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea)
3:21.0,J. Hernangomez misses 3-pt shot from 24 ft,,12-31,,
3:21.0,,,12-31,,Defensive rebound by H. Barnes
3:11.0,,,12-33,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
2:59.0,,,12-33,,Personal foul by D. Harris (drawn by G. Harris)
2:59.0,G. Harris makes free throw 1 of 2,1,13-33,,
2:59.0,,,13-33,,D. Powell enters the game for S. Mejri
2:59.0,G. Harris makes free throw 2 of 2,1,14-33,,
2:40.0,,,14-33,,H. Barnes misses 2-pt shot from 21 ft
2:37.0,Defensive rebound by G. Harris,,14-33,,
2:35.0,J. Hernangomez makes 2-pt shot at rim (assist by G. Harris),2,16-33,,
2:27.0,,,16-33,,Dallas full timeout
2:27.0,,,16-33,,Y. Ferrell enters the game for W. Matthews
2:27.0,,,16-33,,D. Nowitzki enters the game for H. Barnes
2:17.0,,,16-35,2,D. Harris makes 2-pt shot from 1 ft
2:17.0,Violation by E. Mudiay (def goaltending),,16-35,,
2:17.0,,,16-35,,Shooting foul by E. Mudiay (drawn by D. Harris)
2:17.0,,,16-35,,D. Harris misses free throw 1 of 1
2:13.0,Defensive rebound by J. Hernangomez,,16-35,,
2:02.0,W. Barton misses 2-pt shot from 3 ft,,16-35,,
1:59.0,Offensive rebound by W. Barton,,16-35,,
1:58.0,W. Barton makes 2-pt shot from 1 ft,2,18-35,,
1:40.0,,,18-35,,D. Powell misses 2-pt shot from 2 ft (block by T. Lyles)
1:38.0,Jump ball: D. Powell vs. T. Lyles (J. Hernangomez gains possession),,,,Jump ball: D. Powell vs. T. Lyles (J. Hernangomez gains possession)
1:38.0,Defensive rebound by Team,,18-35,,
1:34.0,G. Harris misses 2-pt shot at rim (block by D. Harris),,18-35,,
1:34.0,,,18-35,,Defensive rebound by D. Nowitzki
1:20.0,,,18-35,,Shooting foul by W. Barton (drawn by D. Nowitzki)
1:20.0,,,18-36,1,D. Nowitzki makes free throw 1 of 2
1:20.0,,,18-37,1,D. Nowitzki makes free throw 2 of 2
1:01.0,T. Lyles makes 2-pt shot at rim (assist by W. Barton),2,20-37,,
0:44.0,,,20-37,,J. Barea misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by T. Lyles,,20-37,,
0:33.0,W. Barton misses 2-pt shot from 15 ft,,20-37,,
0:29.0,,,20-37,,Defensive rebound by Y. Ferrell
0:25.0,,,20-39,2,Y. Ferrell makes 2-pt shot from 5 ft
0:05.0,J. Hernangomez makes 3-pt shot from 24 ft (assist by E. Mudiay),3,23-39,,
0:01.0,,,23-39,,J. Barea misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by E. Mudiay,,23-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,E. Mudiay misses 2-pt shot from 14 ft,,23-39,,
11:40.0,,,23-39,,Defensive rebound by D. Nowitzki
11:28.0,,,23-41,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris)
11:14.0,R. Jefferson misses 3-pt shot from 24 ft,,23-41,,
11:10.0,,,23-41,,Defensive rebound by D. Nowitzki
11:01.0,Personal foul by J. Hernangomez (drawn by Y. Ferrell),,23-41,,
10:46.0,,,23-44,3,D. Harris makes 3-pt shot from 27 ft (assist by D. Powell)
10:35.0,E. Mudiay misses 2-pt shot from 11 ft,,23-44,,
10:35.0,,,23-44,,Defensive rebound by J. Barea
10:29.0,Personal foul by W. Barton (drawn by D. Harris),,23-44,,
10:29.0,K. Faried enters the game for T. Lyles,,23-44,,
10:19.0,,,23-44,,D. Nowitzki misses 2-pt shot from 20 ft
10:16.0,Defensive rebound by E. Mudiay,,23-44,,
10:13.0,Offensive foul by J. Hernangomez (drawn by J. Barea),,23-44,,
10:13.0,Turnover by J. Hernangomez (offensive foul),,23-44,,
9:58.0,,,23-46,2,J. Barea makes 2-pt shot from 4 ft
9:40.0,Turnover by E. Mudiay (lost ball; steal by J. Barea),,23-46,,
9:34.0,,,23-48,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
9:34.0,Denver full timeout,,23-48,,
9:34.0,G. Harris enters the game for E. Mudiay,,23-48,,
9:34.0,J. Murray enters the game for R. Jefferson,,23-48,,
9:34.0,W. Chandler enters the game for J. Hernangomez,,23-48,,
9:16.0,G. Harris misses 3-pt shot from 22 ft,,23-48,,
9:12.0,,,23-48,,Defensive rebound by D. Powell
8:58.0,,,23-48,,D. Harris misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by W. Barton,,23-48,,
8:49.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Chandler),2,25-48,,
8:27.0,,,25-50,2,Y. Ferrell makes 2-pt shot from 1 ft
8:15.0,W. Chandler misses 2-pt shot from 9 ft,,25-50,,
8:15.0,Offensive rebound by K. Faried,,25-50,,
8:09.0,G. Harris misses 2-pt shot from 2 ft,,25-50,,
8:09.0,,,25-50,,Defensive rebound by D. Powell
8:02.0,,,25-50,,J. Barea misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by K. Faried,,25-50,,
7:51.0,J. Murray misses 3-pt shot from 26 ft,,25-50,,
7:51.0,,,25-50,,Defensive rebound by J. Barea
7:34.0,,,25-50,,Turnover by D. Harris (bad pass; steal by J. Murray)
7:31.0,,,25-50,,Personal foul by J. Barea (drawn by G. Harris)
7:31.0,,,25-50,,H. Barnes enters the game for D. Harris
7:31.0,,,25-50,,D. Smith enters the game for D. Nowitzki
7:26.0,W. Barton makes 3-pt shot from 24 ft,3,28-50,,
7:15.0,,,28-52,2,D. Smith makes 2-pt shot from 20 ft
6:57.0,G. Harris makes 2-pt shot from 7 ft,2,30-52,,
6:44.0,,,30-52,,Turnover by Y. Ferrell (bad pass; steal by W. Barton)
6:41.0,K. Faried misses 2-pt shot from 1 ft,,30-52,,
6:38.0,,,30-52,,Defensive rebound by D. Powell
6:23.0,,,30-54,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
6:03.0,J. Murray makes 2-pt shot at rim (assist by K. Faried),2,32-54,,
5:40.0,,,32-56,2,H. Barnes makes 2-pt shot from 1 ft (assist by Y. Ferrell)
5:27.0,G. Harris misses 3-pt shot from 24 ft,,32-56,,
5:25.0,Offensive rebound by K. Faried,,32-56,,
5:25.0,Shooting foul by D. Powell (drawn by K. Faried),,32-56,,
5:25.0,K. Faried misses free throw 1 of 2,,32-56,,
5:25.0,Offensive rebound by Team,,32-56,,
5:25.0,,,32-56,,M. Kleber enters the game for J. Barea
5:25.0,,,32-56,,W. Matthews enters the game for D. Powell
5:25.0,M. Beasley enters the game for J. Murray,,32-56,,
5:25.0,K. Faried makes free throw 2 of 2,1,33-56,,
5:08.0,,,33-56,,Y. Ferrell misses 2-pt shot from 2 ft (block by M. Beasley)
5:07.0,,,33-56,,Offensive rebound by Team
5:01.0,,,33-56,,H. Barnes misses 2-pt shot from 5 ft
4:58.0,Defensive rebound by W. Chandler,,33-56,,
4:54.0,Shooting foul by D. Smith (drawn by W. Barton),,33-56,,
4:54.0,W. Barton makes free throw 1 of 2,1,34-56,,
4:54.0,W. Barton misses free throw 2 of 2,,34-56,,
4:51.0,,,34-56,,Defensive rebound by H. Barnes
4:37.0,,,34-58,2,W. Matthews makes 2-pt shot from 7 ft (assist by H. Barnes)
4:19.0,,,34-58,,Personal foul by W. Matthews (drawn by K. Faried)
4:13.0,Shooting foul by Y. Ferrell (drawn by M. Beasley),,34-58,,
4:13.0,M. Beasley makes free throw 1 of 2,1,35-58,,
4:13.0,M. Beasley makes free throw 2 of 2,1,36-58,,
3:54.0,,,36-58,,H. Barnes misses 2-pt shot from 5 ft
3:52.0,Defensive rebound by K. Faried,,36-58,,
3:45.0,W. Chandler misses 3-pt shot from 24 ft,,36-58,,
3:42.0,Offensive rebound by K. Faried,,36-58,,
3:39.0,W. Chandler misses 2-pt shot from 1 ft,,36-58,,
3:38.0,Offensive rebound by W. Chandler,,36-58,,
3:38.0,W. Chandler misses 2-pt shot from 1 ft,,36-58,,
3:37.0,Offensive rebound by W. Chandler,,36-58,,
3:34.0,W. Barton misses 3-pt shot from 22 ft,,36-58,,
3:33.0,Offensive rebound by M. Beasley,,36-58,,
3:33.0,Turnover by M. Beasley (out of bounds lost ball),,36-58,,
3:18.0,,,36-58,,D. Smith misses 2-pt shot from 22 ft
3:15.0,Defensive rebound by W. Chandler,,36-58,,
3:09.0,W. Chandler misses 2-pt shot from 3 ft,,36-58,,
3:09.0,Offensive rebound by K. Faried,,36-58,,
3:07.0,K. Faried makes 2-pt shot at rim,2,38-58,,
3:07.0,,,38-58,,Dallas full timeout
3:07.0,,,38-58,,S. Mejri enters the game for M. Kleber
2:48.0,,,38-58,,Y. Ferrell misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by W. Chandler,,38-58,,
2:26.0,K. Faried makes 2-pt shot from 6 ft,2,40-58,,
2:10.0,,,40-58,,W. Matthews misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by M. Beasley,,40-58,,
1:55.0,G. Harris makes 3-pt shot from 28 ft (assist by W. Barton),3,43-58,,
1:32.0,,,43-60,2,D. Smith makes 2-pt shot at rim
1:17.0,W. Barton misses 2-pt shot from 5 ft,,43-60,,
1:15.0,,,43-60,,Defensive rebound by S. Mejri
1:11.0,,,43-62,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Smith)
0:54.0,G. Harris makes 2-pt shot from 5 ft,2,45-62,,
0:37.0,,,45-64,2,H. Barnes makes 2-pt shot from 13 ft
0:29.0,W. Barton makes 2-pt shot from 4 ft,2,47-64,,
0:13.0,Personal foul by K. Faried (drawn by D. Smith),,47-64,,
0:00.0,,,47-64,,Turnover by H. Barnes (lost ball; steal by G. Harris)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Barton),2,49-64,,
11:28.0,,,49-66,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Nowitzki)
11:09.0,K. Faried makes 2-pt shot from 15 ft (assist by W. Barton),2,51-66,,
10:46.0,,,51-69,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith)
10:36.0,Shooting foul by M. Kleber (drawn by W. Chandler),,51-69,,
10:36.0,W. Chandler makes free throw 1 of 2,1,52-69,,
10:36.0,W. Chandler makes free throw 2 of 2,1,53-69,,
10:20.0,,,53-71,2,D. Smith makes 2-pt shot from 1 ft
10:07.0,W. Barton makes 2-pt shot from 9 ft,2,55-71,,
9:40.0,,,55-71,,W. Matthews misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by K. Faried,,55-71,,
9:19.0,Shooting foul by W. Matthews (drawn by J. Murray),,55-71,,
9:19.0,J. Murray makes free throw 1 of 2,1,56-71,,
9:19.0,J. Murray makes free throw 2 of 2,1,57-71,,
9:02.0,,,57-73,2,D. Smith makes 2-pt shot from 6 ft
8:48.0,J. Murray makes 2-pt shot from 20 ft,2,59-73,,
8:24.0,,,59-75,2,H. Barnes makes 2-pt shot at rim
8:08.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Chandler),2,61-75,,
7:55.0,,,61-75,,D. Smith misses 2-pt shot at rim
7:53.0,,,61-75,,Offensive rebound by D. Smith
7:51.0,,,61-75,,D. Nowitzki misses 3-pt shot from 25 ft
7:49.0,,,61-75,,Offensive rebound by M. Kleber
7:35.0,,,61-75,,D. Nowitzki misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by W. Barton,,61-75,,
7:17.0,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler),3,64-75,,
7:17.0,,,64-75,,Dallas full timeout
7:17.0,,,64-75,,D. Harris enters the game for D. Nowitzki
7:00.0,,,64-77,2,M. Kleber makes 2-pt shot at rim (assist by H. Barnes)
6:39.0,K. Faried misses 2-pt shot from 10 ft,,64-77,,
6:37.0,,,64-77,,Defensive rebound by H. Barnes
6:20.0,Shooting block foul by J. Murray (drawn by W. Matthews),,64-77,,
6:20.0,,,64-78,1,W. Matthews makes free throw 1 of 2
6:20.0,,,64-78,,W. Matthews misses free throw 2 of 2
6:17.0,Defensive rebound by W. Barton,,64-78,,
6:11.0,W. Chandler misses 3-pt shot from 26 ft,,64-78,,
6:07.0,,,64-78,,Defensive rebound by M. Kleber
5:55.0,,,64-78,,W. Matthews misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by G. Harris,,64-78,,
5:45.0,J. Murray misses 2-pt shot from 20 ft,,64-78,,
5:42.0,Offensive rebound by W. Chandler,,64-78,,
5:41.0,W. Chandler makes 2-pt shot from 1 ft,2,66-78,,
5:21.0,,,66-80,2,D. Smith makes 2-pt shot from 5 ft
5:13.0,W. Barton misses 2-pt shot from 3 ft (block by W. Matthews),,66-80,,
5:11.0,Jump ball: W. Matthews vs. W. Barton (K. Faried gains possession),,,,Jump ball: W. Matthews vs. W. Barton (K. Faried gains possession)
5:11.0,Defensive rebound by Team,,66-80,,
5:11.0,,,66-80,,Personal foul by D. Harris (drawn by K. Faried)
5:11.0,,,66-80,,Y. Ferrell enters the game for W. Matthews
4:56.0,K. Faried makes 2-pt shot from 19 ft (assist by W. Barton),2,68-80,,
4:38.0,,,68-83,3,D. Smith makes 3-pt shot from 24 ft (assist by M. Kleber)
4:38.0,Denver full timeout,,68-83,,
4:38.0,M. Plumlee enters the game for K. Faried,,68-83,,
4:25.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,70-83,,
4:08.0,,,70-85,2,Y. Ferrell makes 2-pt shot from 1 ft
3:45.0,W. Barton makes 3-pt shot from 30 ft (assist by M. Plumlee),3,73-85,,
3:27.0,,,73-88,3,D. Harris makes 3-pt shot from 22 ft (assist by H. Barnes)
3:11.0,W. Barton makes 2-pt shot from 3 ft,2,75-88,,
3:11.0,,,75-88,,Shooting block foul by M. Kleber (drawn by W. Barton)
3:11.0,W. Barton misses free throw 1 of 1,,75-88,,
3:09.0,,,75-88,,Defensive rebound by H. Barnes
2:53.0,,,75-88,,D. Harris misses 2-pt shot from 4 ft
2:52.0,Defensive rebound by W. Barton,,75-88,,
2:49.0,Shooting foul by M. Kleber (drawn by G. Harris),,75-88,,
2:49.0,G. Harris makes free throw 1 of 2,1,76-88,,
2:49.0,,,76-88,,S. Mejri enters the game for M. Kleber
2:49.0,J. Hernangomez enters the game for W. Chandler,,76-88,,
2:49.0,G. Harris makes free throw 2 of 2,1,77-88,,
2:34.0,,,77-88,,H. Barnes misses 2-pt shot from 22 ft
2:32.0,Defensive rebound by M. Plumlee,,77-88,,
2:26.0,G. Harris misses 2-pt shot from 1 ft (block by D. Harris),,77-88,,
2:23.0,,,77-88,,Defensive rebound by H. Barnes
2:22.0,,,77-88,,D. Smith misses 2-pt shot from 14 ft
2:22.0,Defensive rebound by J. Hernangomez,,77-88,,
2:13.0,W. Barton makes 3-pt shot from 27 ft,3,80-88,,
1:53.0,,,80-88,,H. Barnes misses 2-pt shot from 12 ft
1:53.0,Defensive rebound by M. Plumlee,,80-88,,
1:42.0,W. Barton misses 2-pt shot from 7 ft,,80-88,,
1:42.0,Offensive rebound by W. Barton,,80-88,,
1:36.0,J. Murray misses 3-pt shot from 25 ft,,80-88,,
1:36.0,,,80-88,,Defensive rebound by Team
1:34.0,,,80-88,,J. Barea enters the game for D. Smith
1:34.0,,,80-88,,D. Powell enters the game for S. Mejri
1:13.0,,,80-90,2,Y. Ferrell makes 2-pt shot from 17 ft
0:57.0,J. Murray makes 2-pt shot from 11 ft (assist by J. Hernangomez),2,82-90,,
0:35.0,,,82-92,2,H. Barnes makes 2-pt shot from 19 ft (assist by J. Barea)
0:15.0,M. Plumlee misses 2-pt shot from 5 ft,,82-92,,
0:14.0,,,82-92,,Defensive rebound by D. Harris
0:06.0,Personal take foul by W. Barton (drawn by D. Harris),,82-92,,
0:06.0,M. Beasley enters the game for J. Murray,,82-92,,
0:01.0,,,82-92,,Shooting foul by M. Plumlee (drawn by D. Powell)
0:01.0,,,82-93,1,D. Powell makes free throw 1 of 2
0:01.0,K. Faried enters the game for J. Hernangomez,,82-93,,
0:01.0,,,82-93,,D. Powell misses free throw 2 of 2
0:00.0,K. Faried misses 3-pt shot from 82 ft,,82-93,,
0:00.0,Offensive rebound by Team,,82-93,,
0:00.0,Offensive rebound by K. Faried,,82-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by J. Hernangomez (drawn by D. Harris),,82-93,,
11:37.0,,,82-95,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris)
11:37.0,,,82-95,,Shooting foul by W. Barton (drawn by D. Powell)
11:37.0,,,82-95,,W. Matthews enters the game for Y. Ferrell
11:37.0,,,82-95,,D. Powell misses free throw 1 of 1
11:35.0,Defensive rebound by T. Lyles,,82-95,,
11:21.0,E. Mudiay misses 3-pt shot from 26 ft,,82-95,,
11:19.0,,,82-95,,Defensive rebound by Team
11:11.0,,,82-97,2,D. Harris makes 2-pt shot at rim (assist by J. Barea)
10:59.0,W. Barton makes 2-pt shot from 12 ft,2,84-97,,
10:47.0,,,84-99,2,J. Barea makes 2-pt shot from 10 ft
10:47.0,Denver full timeout,,84-99,,
10:47.0,G. Harris enters the game for J. Hernangomez,,84-99,,
10:34.0,W. Barton misses 2-pt shot from 13 ft,,84-99,,
10:31.0,Offensive rebound by M. Plumlee,,84-99,,
10:29.0,Turnover by M. Plumlee (bad pass; steal by J. Barea),,84-99,,
10:13.0,,,84-101,2,D. Nowitzki makes 2-pt shot from 7 ft (assist by J. Barea)
9:55.0,T. Lyles misses 2-pt shot from 4 ft (block by D. Powell),,84-101,,
9:52.0,,,84-101,,Defensive rebound by D. Nowitzki
9:47.0,,,84-101,,D. Harris misses 3-pt shot from 22 ft
9:45.0,,,84-101,,Offensive rebound by D. Powell
9:23.0,,,84-101,,J. Barea misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by W. Barton,,84-101,,
9:16.0,Offensive charge foul by G. Harris (drawn by D. Powell),,84-101,,
9:16.0,Turnover by G. Harris (offensive foul),,84-101,,
8:58.0,,,84-101,,D. Nowitzki misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by T. Lyles,,84-101,,
8:46.0,T. Lyles makes 3-pt shot from 26 ft (assist by E. Mudiay),3,87-101,,
8:22.0,,,87-101,,J. Barea misses 2-pt shot from 12 ft
8:22.0,Defensive rebound by T. Lyles,,87-101,,
8:13.0,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay),3,90-101,,
8:12.0,,,90-101,,Dallas full timeout
8:01.0,,,90-103,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
7:51.0,Turnover by M. Plumlee (bad pass; steal by D. Harris),,90-103,,
7:46.0,,,90-103,,Turnover by J. Barea (lost ball; steal by G. Harris)
7:42.0,G. Harris misses 3-pt shot from 24 ft,,90-103,,
7:37.0,Offensive rebound by T. Lyles,,90-103,,
7:35.0,G. Harris makes 3-pt shot from 25 ft (assist by T. Lyles),3,93-103,,
7:13.0,,,93-103,,Shooting foul by G. Harris (drawn by D. Harris)
7:13.0,,,93-103,,D. Harris misses free throw 1 of 2
7:13.0,,,93-103,,Offensive rebound by Team
7:13.0,,,93-103,,H. Barnes enters the game for D. Nowitzki
7:13.0,,,93-104,1,D. Harris makes free throw 2 of 2
6:58.0,W. Barton misses 2-pt shot from 6 ft,,93-104,,
6:56.0,,,93-104,,Defensive rebound by H. Barnes
6:46.0,,,93-107,3,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea)
6:31.0,T. Lyles makes 2-pt shot at rim (assist by G. Harris),2,95-107,,
6:11.0,,,95-110,3,J. Barea makes 3-pt shot from 25 ft
5:54.0,E. Mudiay makes 3-pt shot from 25 ft (assist by T. Lyles),3,98-110,,
5:25.0,,,98-110,,J. Barea misses 2-pt shot from 8 ft (block by T. Lyles)
5:22.0,Defensive rebound by G. Harris,,98-110,,
5:20.0,E. Mudiay makes 2-pt shot at rim (assist by G. Harris),2,100-110,,
5:20.0,,,100-110,,Dallas full timeout
5:20.0,,,100-110,,Y. Ferrell enters the game for J. Barea
5:20.0,,,100-110,,D. Smith enters the game for D. Harris
5:20.0,J. Murray enters the game for E. Mudiay,,100-110,,
5:20.0,W. Chandler enters the game for T. Lyles,,100-110,,
5:20.0,K. Faried enters the game for M. Plumlee,,100-110,,
5:06.0,,,100-110,,W. Matthews misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by W. Chandler,,100-110,,
4:44.0,G. Harris misses 3-pt shot from 26 ft,,100-110,,
4:41.0,,,100-110,,Defensive rebound by D. Powell
4:27.0,,,100-112,2,W. Matthews makes 2-pt shot at rim (assist by D. Powell)
4:13.0,W. Barton misses 3-pt shot from 26 ft,,100-112,,
4:09.0,,,100-112,,Defensive rebound by D. Smith
4:08.0,,,100-114,2,Y. Ferrell makes 2-pt shot at rim (assist by W. Matthews)
4:08.0,,,100-114,,Shooting foul by W. Barton (drawn by Y. Ferrell)
4:08.0,,,100-115,1,Y. Ferrell makes free throw 1 of 1
3:50.0,J. Murray makes 3-pt shot from 25 ft (assist by K. Faried),3,103-115,,
3:27.0,,,103-115,,D. Smith misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by W. Barton,,103-115,,
3:06.0,W. Chandler misses 3-pt shot from 26 ft,,103-115,,
3:06.0,Offensive rebound by K. Faried,,103-115,,
