time,Portland,pts.away,score,pts.home,Detroit
5:46.0,Defensive rebound by D. Lillard,,11-12,,
5:39.0,A. Aminu misses 3-pt shot from 26 ft,,11-12,,
5:36.0,,,11-12,,Defensive rebound by A. Drummond
5:32.0,Personal foul by A. Aminu (drawn by B. Griffin),,11-12,,
5:32.0,,,11-12,,Detroit full timeout
5:32.0,,,11-12,,A. Tolliver enters the game for A. Drummond
5:32.0,,,11-12,,L. Kennard enters the game for S. Johnson
5:32.0,E. Davis enters the game for J. Nurkic,,11-12,,
5:22.0,,,11-14,2,B. Griffin makes 2-pt shot from 5 ft
5:04.0,M. Harkless misses 3-pt shot from 23 ft,,11-14,,
5:01.0,,,11-14,,Defensive rebound by I. Smith
4:51.0,,,11-17,3,B. Griffin makes 3-pt shot from 24 ft (assist by I. Smith)
4:30.0,E. Davis misses 2-pt shot from 4 ft,,11-17,,
4:27.0,,,11-17,,Defensive rebound by A. Tolliver
4:14.0,,,11-17,,B. Griffin misses 2-pt shot from 6 ft
4:11.0,Defensive rebound by E. Davis,,11-17,,
4:07.0,C. McCollum makes 2-pt shot from 14 ft,2,13-17,,
3:40.0,,,13-17,,A. Tolliver misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by A. Aminu,,13-17,,
3:30.0,Turnover by C. McCollum (lost ball; steal by R. Bullock),,13-17,,
3:21.0,Personal foul by C. McCollum (drawn by B. Griffin),,13-17,,
3:21.0,,,13-17,,L. Galloway enters the game for I. Smith
3:21.0,Z. Collins enters the game for C. McCollum,,13-17,,
3:21.0,P. Connaughton enters the game for M. Harkless,,13-17,,
3:21.0,S. Napier enters the game for A. Aminu,,13-17,,
3:07.0,,,13-19,2,B. Griffin makes 2-pt shot from 17 ft (assist by L. Kennard)
2:48.0,P. Connaughton makes 3-pt shot from 29 ft (assist by D. Lillard),3,16-19,,
2:35.0,,,16-22,3,B. Griffin makes 3-pt shot from 26 ft (assist by L. Galloway)
2:35.0,Portland full timeout,,16-22,,
2:15.0,Z. Collins makes 2-pt shot from 5 ft (assist by D. Lillard),2,18-22,,
1:54.0,,,18-22,,Turnover by A. Tolliver (traveling)
1:54.0,,,18-22,,A. Drummond enters the game for B. Griffin
1:35.0,D. Lillard misses 2-pt shot from 3 ft (block by A. Drummond),,18-22,,
1:31.0,Offensive rebound by P. Connaughton,,18-22,,
1:27.0,S. Napier misses 2-pt shot from 8 ft,,18-22,,
1:23.0,,,18-22,,Defensive rebound by A. Tolliver
1:15.0,,,18-22,,A. Drummond misses 2-pt shot from 9 ft
1:13.0,Defensive rebound by Z. Collins,,18-22,,
1:04.0,S. Napier misses 2-pt shot from 2 ft,,18-22,,
0:59.0,Offensive rebound by E. Davis,,18-22,,
0:59.0,E. Davis misses 2-pt shot at rim,,18-22,,
0:59.0,,,18-22,,Defensive rebound by A. Tolliver
0:56.0,,,18-22,,A. Drummond misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by D. Lillard,,18-22,,
0:43.0,Z. Collins misses 2-pt shot from 3 ft (block by A. Drummond),,18-22,,
0:42.0,Offensive rebound by Team,,18-22,,
0:40.0,Offensive charge foul by E. Davis (drawn by A. Tolliver),,18-22,,
0:40.0,Turnover by E. Davis (offensive foul),,18-22,,
0:26.0,,,18-22,,L. Galloway misses 2-pt shot from 9 ft
0:20.0,Defensive rebound by E. Davis,,18-22,,
0:03.0,D. Lillard misses 2-pt shot from 2 ft,,18-22,,
0:02.0,Offensive rebound by E. Davis,,18-22,,
0:02.0,E. Davis misses 2-pt shot at rim,,18-22,,
0:02.0,Offensive rebound by E. Davis,,18-22,,
0:02.0,E. Davis makes 2-pt shot at rim,2,20-22,,
0:00.0,,,20-22,,R. Bullock misses 3-pt shot from 44 ft
0:00.0,,,20-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-25,3,L. Galloway makes 3-pt shot from 23 ft (assist by L. Kennard)
11:27.0,S. Napier makes 3-pt shot from 22 ft (assist by C. McCollum),3,23-25,,
11:05.0,,,23-27,2,A. Drummond makes 2-pt shot from 6 ft (assist by L. Galloway)
10:48.0,Turnover by S. Napier (bad pass; steal by A. Drummond),,23-27,,
10:43.0,,,23-27,,Turnover by A. Drummond (bad pass; steal by S. Napier)
10:36.0,S. Napier misses 3-pt shot from 24 ft,,23-27,,
10:34.0,,,23-27,,Defensive rebound by A. Drummond
10:34.0,,,23-27,,S. Johnson misses 2-pt shot from 6 ft (block by C. McCollum)
10:32.0,Jump ball: S. Johnson vs. C. McCollum,,,,Jump ball: S. Johnson vs. C. McCollum
10:32.0,,,23-27,,Offensive rebound by Team
10:28.0,,,23-29,2,L. Kennard makes 2-pt shot from 19 ft (assist by L. Galloway)
10:13.0,C. McCollum misses 2-pt shot from 10 ft,,23-29,,
10:05.0,Offensive rebound by E. Davis,,23-29,,
10:05.0,E. Davis makes 2-pt shot at rim,2,25-29,,
9:50.0,,,25-31,2,A. Drummond makes 2-pt shot from 1 ft (assist by L. Galloway)
9:28.0,S. Napier misses 2-pt shot from 10 ft,,25-31,,
9:24.0,,,25-31,,Defensive rebound by A. Drummond
9:13.0,,,25-33,2,A. Tolliver makes 2-pt shot from 2 ft (assist by S. Johnson)
9:12.0,Portland full timeout,,25-33,,
8:57.0,S. Napier makes 3-pt shot from 25 ft (assist by P. Connaughton),3,28-33,,
8:41.0,,,28-35,2,L. Kennard makes 2-pt shot from 13 ft (assist by A. Drummond)
8:14.0,Z. Collins misses 2-pt shot from 3 ft (block by A. Drummond),,28-35,,
8:11.0,,,28-35,,Defensive rebound by S. Johnson
8:04.0,,,28-35,,L. Kennard misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by Z. Collins,,28-35,,
7:55.0,S. Napier makes 2-pt shot from 20 ft,2,30-35,,
7:37.0,,,30-38,3,L. Galloway makes 3-pt shot from 25 ft (assist by L. Kennard)
7:19.0,S. Napier misses 2-pt shot from 16 ft,,30-38,,
7:16.0,,,30-38,,Defensive rebound by A. Tolliver
7:09.0,,,30-38,,A. Tolliver misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by E. Davis,,30-38,,
7:02.0,C. McCollum misses 3-pt shot from 25 ft,,30-38,,
7:00.0,Offensive rebound by Team,,30-38,,
7:00.0,,,30-38,,Loose ball foul by A. Drummond (drawn by E. Davis)
7:00.0,,,30-38,,B. Griffin enters the game for A. Drummond
7:00.0,M. Harkless enters the game for P. Connaughton,,30-38,,
7:00.0,J. Nurkic enters the game for E. Davis,,30-38,,
7:00.0,A. Aminu enters the game for Z. Collins,,30-38,,
6:43.0,J. Nurkic misses 2-pt shot from 9 ft,,30-38,,
6:41.0,,,30-38,,Defensive rebound by B. Griffin
6:36.0,Personal foul by J. Nurkic (drawn by B. Griffin),,30-38,,
6:28.0,,,30-40,2,L. Galloway makes 2-pt shot from 15 ft
6:07.0,,,30-40,,I. Smith enters the game for L. Galloway
6:07.0,D. Lillard enters the game for C. McCollum,,30-40,,
5:58.0,S. Napier misses 3-pt shot from 24 ft,,30-40,,
5:56.0,,,30-40,,Defensive rebound by L. Kennard
5:47.0,,,30-43,3,B. Griffin makes 3-pt shot from 25 ft (assist by L. Kennard)
5:28.0,J. Nurkic misses 2-pt shot from 4 ft,,30-43,,
5:25.0,,,30-43,,Defensive rebound by S. Johnson
5:21.0,,,30-43,,Turnover by S. Johnson (lost ball; steal by A. Aminu)
5:11.0,,,30-43,,Personal foul by S. Johnson (drawn by A. Aminu)
5:02.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard),2,32-43,,
4:45.0,,,32-43,,B. Griffin misses 2-pt shot at rim
4:41.0,Defensive rebound by D. Lillard,,32-43,,
4:37.0,D. Lillard makes 2-pt shot from 1 ft,2,34-43,,
4:16.0,,,34-43,,B. Griffin misses 3-pt shot from 24 ft
4:13.0,Defensive rebound by A. Aminu,,34-43,,
4:03.0,Shooting foul by B. Griffin (drawn by A. Aminu),,34-43,,
4:03.0,A. Aminu makes free throw 1 of 2,1,35-43,,
4:03.0,,,35-43,,A. Drummond enters the game for L. Kennard
4:03.0,,,35-43,,R. Bullock enters the game for A. Tolliver
4:03.0,A. Aminu makes free throw 2 of 2,1,36-43,,
3:49.0,,,36-43,,S. Johnson misses 2-pt shot from 4 ft (block by J. Nurkic)
3:48.0,,,36-43,,Offensive rebound by A. Drummond
3:47.0,,,36-43,,A. Drummond misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by J. Nurkic,,36-43,,
3:41.0,Turnover by D. Lillard (turnover),,36-43,,
3:24.0,,,36-43,,S. Johnson misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by J. Nurkic,,36-43,,
3:07.0,D. Lillard misses 2-pt shot from 1 ft,,36-43,,
3:07.0,,,36-43,,Defensive rebound by B. Griffin
2:55.0,,,36-43,,Turnover by B. Griffin (bad pass; steal by A. Aminu)
2:42.0,D. Lillard makes 2-pt shot from 4 ft,2,38-43,,
2:25.0,,,38-43,,B. Griffin misses 3-pt shot from 25 ft
2:21.0,,,38-43,,Offensive rebound by A. Drummond
2:18.0,,,38-43,,Turnover by A. Drummond (lost ball; steal by M. Harkless)
2:13.0,M. Harkless makes 2-pt shot from 1 ft (assist by S. Napier),2,40-43,,
1:58.0,,,40-45,2,R. Bullock makes 2-pt shot from 8 ft (assist by A. Drummond)
1:42.0,A. Aminu makes 3-pt shot from 22 ft (assist by J. Nurkic),3,43-45,,
1:31.0,,,43-45,,Turnover by A. Drummond (bad pass; steal by D. Lillard)
1:25.0,D. Lillard misses 3-pt shot from 26 ft,,43-45,,
1:22.0,,,43-45,,Defensive rebound by B. Griffin
1:07.0,,,43-45,,R. Bullock misses 2-pt shot from 4 ft
1:05.0,,,43-45,,Offensive rebound by A. Drummond
1:05.0,,,43-47,2,A. Drummond makes 2-pt shot from 1 ft
0:46.0,Turnover by S. Napier (bad pass; steal by I. Smith),,43-47,,
0:41.0,,,43-47,,R. Bullock misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by A. Aminu,,43-47,,
0:16.0,A. Aminu misses 3-pt shot from 28 ft,,43-47,,
0:12.0,,,43-47,,Defensive rebound by B. Griffin
0:01.0,,,43-49,2,B. Griffin makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Personal foul by C. McCollum (drawn by R. Bullock),,43-49,,
11:52.0,Technical foul by C. McCollum,,43-49,,
11:52.0,,,43-49,,R. Bullock misses technical free throw
11:52.0,,,43-49,,Offensive rebound by Team
11:34.0,,,43-49,,S. Johnson misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by A. Aminu,,43-49,,
11:28.0,,,43-49,,Personal foul by A. Drummond (drawn by J. Nurkic)
11:19.0,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard),2,45-49,,
11:01.0,,,45-49,,B. Griffin misses 2-pt shot from 4 ft
11:00.0,,,45-49,,Offensive rebound by B. Griffin
10:59.0,,,45-49,,B. Griffin misses 2-pt shot from 1 ft (block by J. Nurkic)
10:59.0,Defensive rebound by J. Nurkic,,45-49,,
10:52.0,Turnover by D. Lillard (bad pass; steal by S. Johnson),,45-49,,
10:44.0,,,45-51,2,I. Smith makes 2-pt shot from 4 ft
10:44.0,,,45-51,,Shooting foul by M. Harkless (drawn by I. Smith)
10:44.0,,,45-52,1,I. Smith makes free throw 1 of 1
10:30.0,M. Harkless makes 2-pt shot from 4 ft,2,47-52,,
10:11.0,,,47-54,2,A. Drummond makes 2-pt shot at rim (assist by S. Johnson)
9:54.0,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic),2,49-54,,
9:39.0,,,49-57,3,R. Bullock makes 3-pt shot from 22 ft (assist by S. Johnson)
9:27.0,D. Lillard makes 2-pt shot at rim,2,51-57,,
9:18.0,,,51-57,,Detroit full timeout
9:12.0,,,51-59,2,I. Smith makes 2-pt shot from 3 ft
8:56.0,J. Nurkic makes 2-pt shot from 2 ft (assist by M. Harkless),2,53-59,,
8:46.0,,,53-61,2,S. Johnson makes 2-pt shot from 20 ft (assist by B. Griffin)
8:36.0,C. McCollum misses 2-pt shot from 1 ft,,53-61,,
8:33.0,,,53-61,,Defensive rebound by A. Drummond
8:22.0,,,53-61,,Offensive charge foul by B. Griffin (drawn by J. Nurkic)
8:22.0,,,53-61,,Turnover by B. Griffin (offensive foul)
8:08.0,A. Aminu misses 3-pt shot from 24 ft,,53-61,,
8:05.0,,,53-61,,Defensive rebound by A. Drummond
7:52.0,,,53-61,,S. Johnson misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by J. Nurkic,,53-61,,
7:40.0,D. Lillard makes 2-pt shot from 3 ft,2,55-61,,
7:20.0,,,55-61,,B. Griffin misses 2-pt shot from 6 ft (block by A. Aminu)
7:19.0,Defensive rebound by A. Aminu,,55-61,,
7:14.0,A. Aminu misses 2-pt shot from 2 ft,,55-61,,
7:12.0,,,55-61,,Defensive rebound by Team
7:03.0,,,55-61,,I. Smith misses 2-pt shot from 4 ft
7:01.0,Defensive rebound by A. Aminu,,55-61,,
6:57.0,Turnover by A. Aminu (bad pass; steal by R. Bullock),,55-61,,
6:57.0,Loose ball foul by M. Harkless (drawn by R. Bullock),,55-61,,
6:47.0,,,55-64,3,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith)
6:32.0,D. Lillard misses 3-pt shot from 24 ft,,55-64,,
6:30.0,Offensive rebound by A. Aminu,,55-64,,
6:28.0,C. McCollum misses 3-pt shot from 25 ft,,55-64,,
6:25.0,,,55-64,,Defensive rebound by A. Drummond
6:20.0,,,55-64,,I. Smith misses 2-pt shot from 5 ft
6:18.0,Defensive rebound by J. Nurkic,,55-64,,
6:05.0,A. Aminu misses 2-pt shot from 18 ft,,55-64,,
6:01.0,,,55-64,,Defensive rebound by R. Bullock
5:45.0,,,55-66,2,I. Smith makes 2-pt shot from 14 ft (assist by B. Griffin)
5:42.0,Portland full timeout,,55-66,,
5:30.0,A. Aminu misses 2-pt shot from 5 ft,,55-66,,
5:28.0,Offensive rebound by A. Aminu,,55-66,,
5:26.0,A. Aminu makes 2-pt shot from 2 ft,2,57-66,,
5:15.0,,,57-68,2,B. Griffin makes 2-pt shot from 16 ft (assist by I. Smith)
4:59.0,M. Harkless misses 3-pt shot from 28 ft,,57-68,,
4:56.0,,,57-68,,Defensive rebound by B. Griffin
4:48.0,,,57-70,2,A. Drummond makes 2-pt shot from 2 ft (assist by B. Griffin)
4:36.0,C. McCollum misses 2-pt shot from 11 ft,,57-70,,
4:34.0,,,57-70,,Defensive rebound by A. Drummond
4:20.0,,,57-70,,B. Griffin misses 3-pt shot from 27 ft
4:15.0,Defensive rebound by C. McCollum,,57-70,,
4:08.0,C. McCollum misses 2-pt shot from 7 ft,,57-70,,
4:05.0,,,57-70,,Defensive rebound by B. Griffin
3:59.0,Personal foul by C. McCollum (drawn by I. Smith),,57-70,,
3:59.0,,,57-70,,A. Tolliver enters the game for A. Drummond
3:59.0,,,57-70,,L. Kennard enters the game for R. Bullock
3:59.0,P. Connaughton enters the game for M. Harkless,,57-70,,
3:59.0,Z. Collins enters the game for J. Nurkic,,57-70,,
3:48.0,,,57-70,,S. Johnson misses 2-pt shot from 4 ft
3:47.0,,,57-70,,Offensive rebound by S. Johnson
3:45.0,,,57-72,2,S. Johnson makes 2-pt shot from 1 ft
3:28.0,Z. Collins misses 3-pt shot from 25 ft,,57-72,,
3:25.0,,,57-72,,Defensive rebound by A. Tolliver
3:09.0,,,57-75,3,L. Kennard makes 3-pt shot from 26 ft (assist by I. Smith)
3:07.0,Portland full timeout,,57-75,,
3:07.0,E. Davis enters the game for A. Aminu,,57-75,,
2:57.0,Shooting foul by L. Kennard (drawn by P. Connaughton),,57-75,,
2:57.0,P. Connaughton makes free throw 1 of 2,1,58-75,,
2:57.0,P. Connaughton makes free throw 2 of 2,1,59-75,,
2:44.0,,,59-75,,Shooting foul by E. Davis (drawn by S. Johnson)
2:44.0,,,59-75,,S. Johnson misses free throw 1 of 2
2:44.0,,,59-75,,Offensive rebound by Team
2:44.0,S. Napier enters the game for C. McCollum,,59-75,,
2:44.0,,,59-75,,L. Galloway enters the game for I. Smith
2:44.0,,,59-76,1,S. Johnson makes free throw 2 of 2
2:37.0,,,59-76,,Personal foul by S. Johnson (drawn by E. Davis)
2:37.0,,,59-76,,A. Drummond enters the game for B. Griffin
2:27.0,P. Connaughton makes 3-pt shot from 23 ft (assist by S. Napier),3,62-76,,
2:13.0,Personal foul by E. Davis (drawn by A. Drummond),,62-76,,
2:13.0,,,62-77,1,A. Drummond makes free throw 1 of 2
2:13.0,,,62-77,,A. Drummond misses free throw 2 of 2
2:11.0,Defensive rebound by Z. Collins,,62-77,,
2:04.0,D. Lillard makes 2-pt shot from 1 ft,2,64-77,,
1:45.0,,,64-79,2,L. Galloway makes 2-pt shot from 6 ft (assist by A. Drummond)
1:32.0,Z. Collins misses 3-pt shot from 25 ft,,64-79,,
1:32.0,,,64-79,,Defensive rebound by L. Kennard
1:17.0,,,64-79,,A. Tolliver misses 3-pt shot from 25 ft
1:15.0,,,64-79,,Offensive rebound by A. Drummond
1:12.0,,,64-79,,A. Drummond misses 2-pt shot from 5 ft
1:11.0,Defensive rebound by E. Davis,,64-79,,
0:56.0,Z. Collins misses 2-pt shot from 6 ft,,64-79,,
0:54.0,,,64-79,,Defensive rebound by A. Tolliver
0:51.0,,,64-79,,L. Kennard misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by S. Napier,,64-79,,
0:34.0,S. Napier misses 3-pt shot from 26 ft,,64-79,,
0:34.0,,,64-79,,Defensive rebound by A. Drummond
0:20.0,,,64-79,,Turnover by S. Johnson (lost ball; steal by D. Lillard)
0:02.0,D. Lillard makes 2-pt shot from 3 ft,2,66-79,,
0:02.0,Shooting foul by S. Johnson (drawn by D. Lillard),,66-79,,
0:02.0,D. Lillard makes free throw 1 of 1,1,67-79,,
0:00.0,,,67-79,,L. Galloway misses 3-pt shot from 37 ft
0:00.0,,,67-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Lillard misses 2-pt shot from 20 ft,,67-79,,
11:45.0,,,67-79,,Defensive rebound by R. Bullock
11:34.0,,,67-79,,R. Bullock misses 2-pt shot from 15 ft
11:32.0,Defensive rebound by Z. Collins,,67-79,,
11:23.0,Z. Collins misses 3-pt shot from 26 ft,,67-79,,
11:18.0,Offensive rebound by E. Davis,,67-79,,
11:16.0,S. Napier misses 3-pt shot from 26 ft,,67-79,,
11:14.0,Offensive rebound by E. Davis,,67-79,,
11:14.0,Turnover by E. Davis (traveling),,67-79,,
11:03.0,,,67-82,3,L. Galloway makes 3-pt shot from 23 ft (assist by R. Bullock)
10:37.0,D. Lillard misses 2-pt shot from 10 ft,,67-82,,
10:31.0,Offensive rebound by D. Lillard,,67-82,,
10:22.0,Z. Collins misses 2-pt shot from 8 ft,,67-82,,
10:19.0,,,67-82,,Defensive rebound by R. Bullock
10:17.0,,,67-82,,Offensive foul by L. Galloway (drawn by D. Lillard)
10:17.0,,,67-82,,Turnover by L. Galloway (offensive foul)
10:17.0,C. McCollum enters the game for P. Connaughton,,67-82,,
10:04.0,C. McCollum makes 3-pt shot from 25 ft,3,70-82,,
9:46.0,,,70-84,2,L. Kennard makes 2-pt shot from 19 ft (assist by A. Drummond)
9:24.0,C. McCollum makes 2-pt shot from 17 ft,2,72-84,,
9:13.0,,,72-86,2,L. Kennard makes 2-pt shot from 2 ft (assist by A. Tolliver)
8:57.0,Turnover by D. Lillard (bad pass),,72-86,,
8:57.0,A. Aminu enters the game for Z. Collins,,72-86,,
8:47.0,,,72-86,,Shooting foul by D. Lillard (drawn by L. Kennard)
8:47.0,,,72-86,,L. Kennard misses free throw 1 of 2
8:47.0,,,72-86,,Offensive rebound by Team
8:47.0,,,72-87,1,L. Kennard makes free throw 2 of 2
8:39.0,C. McCollum misses 3-pt shot from 25 ft,,72-87,,
8:36.0,,,72-87,,Defensive rebound by A. Drummond
8:31.0,,,72-89,2,A. Tolliver makes 2-pt shot from 1 ft (assist by L. Galloway)
8:31.0,Portland full timeout,,72-89,,
8:31.0,J. Nurkic enters the game for E. Davis,,72-89,,
8:11.0,A. Aminu misses 2-pt shot from 6 ft,,72-89,,
8:07.0,,,72-89,,Defensive rebound by R. Bullock
7:49.0,,,72-89,,A. Drummond misses 2-pt shot from 6 ft
7:47.0,Defensive rebound by A. Aminu,,72-89,,
7:38.0,C. McCollum makes 2-pt shot from 8 ft,2,74-89,,
7:21.0,,,74-92,3,A. Tolliver makes 3-pt shot from 26 ft (assist by A. Drummond)
7:10.0,D. Lillard misses 3-pt shot from 29 ft,,74-92,,
7:08.0,,,74-92,,Defensive rebound by A. Drummond
6:56.0,,,74-92,,Shooting foul by J. Nurkic (drawn by A. Drummond)
6:56.0,,,74-93,1,A. Drummond makes free throw 1 of 2
6:56.0,,,74-93,,I. Smith enters the game for L. Galloway
6:56.0,,,74-94,1,A. Drummond makes free throw 2 of 2
6:41.0,D. Lillard makes 3-pt shot from 26 ft (assist by S. Napier),3,77-94,,
6:20.0,,,77-97,3,A. Tolliver makes 3-pt shot from 29 ft (assist by R. Bullock)
6:07.0,Shooting foul by A. Drummond (drawn by D. Lillard),,77-97,,
6:07.0,D. Lillard makes free throw 1 of 2,1,78-97,,
6:07.0,,,78-97,,B. Griffin enters the game for A. Drummond
6:07.0,D. Lillard makes free throw 2 of 2,1,79-97,,
5:51.0,,,79-97,,Turnover by L. Kennard (out of bounds lost ball)
5:42.0,C. McCollum misses 3-pt shot from 23 ft,,79-97,,
5:38.0,,,79-97,,Defensive rebound by B. Griffin
5:38.0,Personal foul by D. Lillard (drawn by B. Griffin),,79-97,,
5:38.0,,,79-97,,S. Johnson enters the game for L. Kennard
5:29.0,,,79-99,2,B. Griffin makes 2-pt shot from 17 ft (assist by I. Smith)
5:15.0,A. Aminu misses 3-pt shot from 26 ft,,79-99,,
5:11.0,Offensive rebound by C. McCollum,,79-99,,
5:08.0,C. McCollum makes 2-pt shot from 1 ft,2,81-99,,
4:55.0,,,81-99,,I. Smith misses 2-pt shot from 11 ft
4:53.0,Defensive rebound by A. Aminu,,81-99,,
4:44.0,Turnover by D. Lillard (lost ball; steal by R. Bullock),,81-99,,
4:28.0,,,81-99,,B. Griffin misses 2-pt shot from 7 ft
4:24.0,Defensive rebound by A. Aminu,,81-99,,
4:17.0,S. Napier misses 2-pt shot from 3 ft,,81-99,,
4:16.0,,,81-99,,Defensive rebound by S. Johnson
4:10.0,,,81-101,2,A. Tolliver makes 2-pt shot from 1 ft (assist by I. Smith)
4:10.0,Portland full timeout,,81-101,,
4:10.0,M. Leonard enters the game for D. Lillard,,81-101,,
4:10.0,N. Vonleh enters the game for C. McCollum,,81-101,,
4:10.0,P. Connaughton enters the game for S. Napier,,81-101,,
4:10.0,C. Swanigan enters the game for A. Aminu,,81-101,,
4:10.0,J. Layman enters the game for J. Nurkic,,81-101,,
3:56.0,J. Layman misses 2-pt shot from 7 ft,,81-101,,
3:51.0,Offensive rebound by M. Leonard,,81-101,,
3:48.0,C. Swanigan makes 2-pt shot from 11 ft (assist by P. Connaughton),2,83-101,,
3:33.0,,,83-104,3,A. Tolliver makes 3-pt shot from 23 ft (assist by B. Griffin)
3:13.0,P. Connaughton misses 2-pt shot from 17 ft,,83-104,,
3:07.0,Offensive rebound by C. Swanigan,,83-104,,
3:02.0,J. Layman misses 2-pt shot from 4 ft,,83-104,,
3:00.0,,,83-104,,Defensive rebound by A. Tolliver
2:44.0,,,83-106,2,B. Griffin makes 2-pt shot from 15 ft (assist by I. Smith)
2:33.0,,,83-106,,Personal foul by I. Smith (drawn by P. Connaughton)
2:33.0,,,83-106,,H. Ellenson enters the game for B. Griffin
2:33.0,,,83-106,,W. Reed enters the game for A. Tolliver
2:33.0,,,83-106,,K. Felder enters the game for S. Johnson
2:33.0,,,83-106,,R. Hearn enters the game for I. Smith
2:18.0,C. Swanigan misses 3-pt shot from 22 ft,,83-106,,
2:16.0,,,83-106,,Defensive rebound by R. Bullock
2:09.0,,,83-109,3,R. Hearn makes 3-pt shot from 23 ft (assist by R. Bullock)
1:48.0,N. Vonleh misses 3-pt shot from 25 ft,,83-109,,
1:48.0,Offensive rebound by Team,,83-109,,
1:48.0,,,83-109,,Loose ball foul by H. Ellenson (drawn by M. Leonard)
1:48.0,,,83-109,,L. Galloway enters the game for R. Bullock
