time,Toronto,pts.away,score,pts.home,Sacramento
3:17.0,Offensive rebound by K. Lowry,,20-10,,
3:13.0,K. Lowry misses 2-pt shot from 2 ft,,20-10,,
3:13.0,,,20-10,,Defensive rebound by K. Koufos
3:06.0,,,20-13,3,J. Sampson makes 3-pt shot from 23 ft (assist by J. Jackson)
2:49.0,Turnover by P. Siakam (bad pass; steal by D. Fox),,20-13,,
2:41.0,,,20-13,,Turnover by B. Hield (lost ball; steal by C. Miles)
2:34.0,C. Miles misses 2-pt shot from 5 ft (block by K. Koufos),,20-13,,
2:34.0,Offensive rebound by Team,,20-13,,
2:34.0,,,20-13,,F. Mason enters the game for D. Fox
2:34.0,F. VanVleet enters the game for K. Lowry,,20-13,,
2:30.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan),2,22-13,,
2:30.0,,,22-13,,Violation by J. Sampson (def goaltending)
2:18.0,,,22-15,2,B. Hield makes 2-pt shot from 2 ft
1:54.0,C. Miles misses 3-pt shot from 25 ft (block by J. Jackson),,22-15,,
1:50.0,Offensive rebound by P. Siakam,,22-15,,
1:49.0,P. Siakam misses 2-pt shot from 20 ft,,22-15,,
1:49.0,,,22-15,,Defensive rebound by K. Koufos
1:35.0,,,22-15,,J. Jackson misses 2-pt shot from 15 ft
1:35.0,,,22-15,,Offensive rebound by J. Jackson
1:27.0,,,22-15,,J. Jackson misses 2-pt shot at rim
1:24.0,,,22-15,,Offensive rebound by J. Jackson
1:24.0,,,22-15,,J. Jackson misses 2-pt shot at rim
1:23.0,Defensive rebound by J. Poeltl,,22-15,,
1:22.0,P. Siakam misses 2-pt shot from 5 ft (block by J. Sampson),,22-15,,
1:22.0,,,22-15,,Defensive rebound by K. Koufos
1:12.0,,,22-17,2,B. Hield makes 2-pt shot from 16 ft
0:59.0,Offensive charge foul by J. Poeltl (drawn by J. Jackson),,22-17,,
0:59.0,Turnover by J. Poeltl (offensive foul),,22-17,,
0:59.0,N. Powell enters the game for D. DeRozan,,22-17,,
0:45.0,,,22-17,,Turnover by J. Sampson (traveling)
0:29.0,P. Siakam misses 3-pt shot from 24 ft,,22-17,,
0:25.0,Offensive rebound by J. Poeltl,,22-17,,
0:24.0,C. Miles misses 3-pt shot from 25 ft,,22-17,,
0:22.0,,,22-17,,Defensive rebound by K. Koufos
0:06.0,,,22-17,,F. Mason misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by C. Miles,,22-17,,
0:00.0,C. Miles misses 3-pt shot from 42 ft,,22-17,,
0:00.0,Offensive rebound by Team,,22-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-17,,F. Mason misses 2-pt shot from 14 ft
11:32.0,Defensive rebound by F. VanVleet,,22-17,,
11:24.0,Turnover by F. VanVleet (step out of bounds),,22-17,,
11:03.0,,,22-17,,V. Carter misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by C. Miles,,22-17,,
10:54.0,N. Powell makes 2-pt shot from 20 ft,2,24-17,,
10:43.0,Violation by J. Poeltl (kicked ball),,24-17,,
10:33.0,,,24-19,2,B. Hield makes 2-pt shot from 5 ft
10:12.0,P. Siakam misses 3-pt shot from 23 ft,,24-19,,
10:09.0,,,24-19,,Defensive rebound by V. Carter
10:00.0,,,24-22,3,J. Jackson makes 3-pt shot from 22 ft (assist by K. Koufos)
9:49.0,F. VanVleet makes 2-pt shot from 1 ft,2,26-22,,
9:33.0,,,26-22,,F. Mason misses 2-pt shot from 1 ft
9:29.0,,,26-22,,Offensive rebound by K. Koufos
9:28.0,,,26-24,2,K. Koufos makes 2-pt shot at rim
9:06.0,F. VanVleet makes 2-pt shot from 16 ft,2,28-24,,
8:45.0,Personal foul by N. Powell (drawn by B. Hield),,28-24,,
8:35.0,,,28-26,2,F. Mason makes 2-pt shot from 13 ft
8:35.0,,,28-26,,Shooting foul by N. Powell (drawn by F. Mason)
8:35.0,,,28-26,,Z. Randolph enters the game for K. Koufos
8:35.0,,,28-27,1,F. Mason makes free throw 1 of 1
8:17.0,P. Siakam misses 2-pt shot from 2 ft (block by V. Carter),,28-27,,
8:14.0,,,28-27,,Defensive rebound by Z. Randolph
8:02.0,,,28-27,,Shooting foul by F. VanVleet (drawn by F. Mason)
8:02.0,,,28-28,1,F. Mason makes free throw 1 of 2
8:02.0,K. Lowry enters the game for N. Powell,,28-28,,
8:02.0,,,28-29,1,F. Mason makes free throw 2 of 2
7:50.0,C. Miles makes 3-pt shot from 26 ft (assist by K. Lowry),3,31-29,,
7:27.0,,,31-31,2,Z. Randolph makes 2-pt shot from 16 ft
7:07.0,C. Miles makes 2-pt shot from 17 ft,2,33-31,,
6:43.0,,,33-34,3,B. Hield makes 3-pt shot from 25 ft (assist by F. Mason)
6:20.0,K. Lowry misses 2-pt shot from 1 ft,,33-34,,
6:14.0,Offensive rebound by J. Poeltl,,33-34,,
6:14.0,J. Poeltl makes 2-pt shot at rim,2,35-34,,
6:12.0,,,35-34,,Sacramento full timeout
6:12.0,,,35-34,,B. Bogdanovic enters the game for J. Jackson
6:12.0,S. Ibaka enters the game for J. Poeltl,,35-34,,
6:12.0,J. Valanciunas enters the game for P. Siakam,,35-34,,
6:05.0,,,35-36,2,B. Hield makes 2-pt shot from 19 ft (assist by Z. Randolph)
5:48.0,C. Miles misses 3-pt shot from 24 ft,,35-36,,
5:45.0,,,35-36,,Defensive rebound by B. Hield
5:44.0,,,35-36,,Turnover by B. Hield (palming)
5:25.0,K. Lowry makes 3-pt shot from 25 ft (assist by F. VanVleet),3,38-36,,
5:25.0,Shooting foul by F. Mason (drawn by K. Lowry),,38-36,,
5:25.0,,,38-36,,D. Fox enters the game for F. Mason
5:25.0,O. Anunoby enters the game for C. Miles,,38-36,,
5:25.0,D. DeRozan enters the game for F. VanVleet,,38-36,,
5:25.0,K. Lowry makes free throw 1 of 1,1,39-36,,
5:15.0,,,39-36,,D. Fox misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by J. Valanciunas,,39-36,,
5:03.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,41-36,,
4:42.0,,,41-36,,B. Hield misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by J. Valanciunas,,41-36,,
4:41.0,Turnover by J. Valanciunas (lost ball; steal by D. Fox),,41-36,,
4:35.0,,,41-39,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox)
4:19.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by K. Lowry),3,44-39,,
4:00.0,,,44-39,,Turnover by D. Fox (out of bounds lost ball)
4:00.0,,,44-39,,S. Labissiere enters the game for V. Carter
3:45.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,47-39,,
3:33.0,,,47-39,,Turnover by B. Hield (out of bounds lost ball)
3:27.0,Shooting foul by D. Fox (drawn by D. DeRozan),,47-39,,
3:27.0,D. DeRozan misses free throw 1 of 2,,47-39,,
3:27.0,Offensive rebound by Team,,47-39,,
3:27.0,D. DeRozan makes free throw 2 of 2,1,48-39,,
3:18.0,Personal foul by S. Ibaka (drawn by S. Labissiere),,48-39,,
3:09.0,,,48-39,,B. Hield misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by S. Ibaka,,48-39,,
3:03.0,S. Ibaka misses 3-pt shot from 25 ft,,48-39,,
2:59.0,,,48-39,,Defensive rebound by B. Hield
2:56.0,Toronto full timeout,,48-39,,
2:56.0,,,48-39,,G. Temple enters the game for B. Hield
2:52.0,,,48-41,2,S. Labissiere makes 2-pt shot from 5 ft
2:52.0,,,48-41,,Shooting foul by O. Anunoby (drawn by S. Labissiere)
2:52.0,,,48-41,,S. Labissiere misses free throw 1 of 1
2:50.0,Defensive rebound by J. Valanciunas,,48-41,,
2:33.0,Turnover by O. Anunoby (turnover),,48-41,,
2:19.0,,,48-41,,D. Fox misses 2-pt shot from 3 ft
2:14.0,,,48-41,,Offensive rebound by S. Labissiere
2:14.0,,,48-41,,S. Labissiere misses 2-pt shot at rim
2:10.0,,,48-41,,Offensive rebound by S. Labissiere
2:09.0,,,48-44,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by S. Labissiere)
1:56.0,,,48-44,,Personal foul by G. Temple (drawn by D. DeRozan)
1:56.0,,,48-44,,J. Jackson enters the game for G. Temple
1:49.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. DeRozan),2,50-44,,
1:44.0,,,50-44,,Offensive charge foul by D. Fox (drawn by K. Lowry)
1:44.0,,,50-44,,Turnover by D. Fox (offensive foul)
1:44.0,,,50-44,,F. Mason enters the game for D. Fox
1:31.0,Turnover by K. Lowry (bad pass; steal by S. Labissiere),,50-44,,
1:27.0,,,50-46,2,S. Labissiere makes 2-pt shot from 2 ft
1:14.0,K. Lowry misses 3-pt shot from 24 ft,,50-46,,
1:11.0,,,50-46,,Defensive rebound by Z. Randolph
0:56.0,,,50-46,,S. Labissiere misses 2-pt shot from 13 ft
0:54.0,Defensive rebound by K. Lowry,,50-46,,
0:41.0,S. Ibaka makes 2-pt shot from 4 ft,2,52-46,,
0:22.0,,,52-46,,B. Bogdanovic misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by K. Lowry,,52-46,,
0:00.0,D. DeRozan makes 2-pt shot from 14 ft,2,54-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,54-48,2,Z. Randolph makes 2-pt shot from 11 ft
11:26.0,Turnover by J. Valanciunas (lost ball; steal by Z. Randolph),,54-48,,
11:26.0,Personal foul by D. DeRozan (drawn by G. Temple),,54-48,,
11:17.0,,,54-51,3,B. Bogdanovic makes 3-pt shot from 26 ft
11:00.0,D. DeRozan makes 2-pt shot from 16 ft,2,56-51,,
10:41.0,,,56-51,,D. Fox misses 2-pt shot from 2 ft (block by S. Ibaka)
10:41.0,Defensive rebound by D. DeRozan,,56-51,,
10:37.0,Shooting foul by Z. Randolph (drawn by D. DeRozan),,56-51,,
10:37.0,D. DeRozan misses free throw 1 of 2,,56-51,,
10:37.0,Offensive rebound by Team,,56-51,,
10:37.0,D. DeRozan makes free throw 2 of 2,1,57-51,,
10:21.0,,,57-53,2,Z. Randolph makes 2-pt shot from 8 ft
10:06.0,D. DeRozan misses 3-pt shot from 24 ft,,57-53,,
10:01.0,,,57-53,,Defensive rebound by S. Labissiere
10:01.0,,,57-53,,Offensive charge foul by S. Labissiere (drawn by K. Lowry)
10:01.0,,,57-53,,Turnover by S. Labissiere (offensive foul)
9:44.0,K. Lowry misses 2-pt shot from 11 ft,,57-53,,
9:41.0,Offensive rebound by J. Valanciunas,,57-53,,
9:39.0,K. Lowry misses 3-pt shot from 24 ft,,57-53,,
9:34.0,,,57-53,,Defensive rebound by Z. Randolph
9:17.0,,,57-53,,B. Bogdanovic misses 2-pt shot from 18 ft
9:14.0,Defensive rebound by K. Lowry,,57-53,,
9:10.0,K. Lowry misses 2-pt shot from 2 ft,,57-53,,
9:07.0,,,57-53,,Defensive rebound by S. Labissiere
9:02.0,,,57-55,2,B. Bogdanovic makes 2-pt shot from 2 ft
8:39.0,Jump ball: Z. Randolph vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: Z. Randolph vs. J. Valanciunas (K. Lowry gains possession)
8:37.0,K. Lowry misses 3-pt shot from 25 ft,,57-55,,
8:37.0,,,57-55,,Defensive rebound by Z. Randolph
8:24.0,,,57-55,,S. Labissiere misses 2-pt shot from 5 ft
8:22.0,Defensive rebound by J. Valanciunas,,57-55,,
8:14.0,Shooting foul by D. Fox (drawn by K. Lowry),,57-55,,
8:14.0,K. Lowry misses free throw 1 of 3,,57-55,,
8:14.0,Offensive rebound by Team,,57-55,,
8:14.0,K. Lowry makes free throw 2 of 3,1,58-55,,
8:14.0,,,58-55,,F. Mason enters the game for D. Fox
8:14.0,K. Lowry makes free throw 3 of 3,1,59-55,,
7:54.0,,,59-55,,F. Mason misses 2-pt shot from 17 ft
7:51.0,Defensive rebound by J. Valanciunas,,59-55,,
7:39.0,S. Ibaka misses 2-pt shot from 3 ft,,59-55,,
7:36.0,,,59-55,,Defensive rebound by Z. Randolph
7:33.0,,,59-55,,F. Mason misses 2-pt shot from 2 ft
7:31.0,,,59-55,,Offensive rebound by S. Labissiere
7:31.0,,,59-55,,Shooting foul by S. Ibaka (drawn by S. Labissiere)
7:31.0,,,59-56,1,S. Labissiere makes free throw 1 of 2
7:31.0,,,59-57,1,S. Labissiere makes free throw 2 of 2
7:15.0,Shooting foul by B. Bogdanovic (drawn by D. DeRozan),,59-57,,
7:15.0,D. DeRozan makes free throw 1 of 2,1,60-57,,
7:15.0,D. DeRozan misses free throw 2 of 2,,60-57,,
7:12.0,,,60-57,,Defensive rebound by S. Labissiere
6:56.0,,,60-57,,B. Bogdanovic misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by K. Lowry,,60-57,,
6:41.0,D. DeRozan makes 2-pt shot from 8 ft,2,62-57,,
6:16.0,,,62-57,,F. Mason misses 2-pt shot from 14 ft
6:14.0,Defensive rebound by K. Lowry,,62-57,,
6:08.0,Shooting foul by G. Temple (drawn by J. Valanciunas),,62-57,,
6:08.0,,,62-57,,Sacramento full timeout
6:08.0,,,62-57,,J. Jackson enters the game for S. Labissiere
6:08.0,,,62-57,,J. Sampson enters the game for G. Temple
6:08.0,J. Valanciunas makes free throw 1 of 2,1,63-57,,
6:08.0,J. Valanciunas makes free throw 2 of 2,1,64-57,,
5:51.0,,,64-59,2,Z. Randolph makes 2-pt shot from 3 ft
5:29.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan),3,67-59,,
5:10.0,,,67-61,2,Z. Randolph makes 2-pt shot from 16 ft
4:46.0,O. Anunoby misses 2-pt shot from 15 ft,,67-61,,
4:44.0,,,67-61,,Defensive rebound by F. Mason
4:35.0,,,67-64,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jackson)
4:11.0,S. Ibaka makes 2-pt shot from 2 ft (assist by D. DeRozan),2,69-64,,
3:48.0,,,69-64,,Turnover by Z. Randolph (traveling)
3:48.0,P. Siakam enters the game for J. Valanciunas,,69-64,,
3:37.0,D. DeRozan makes 2-pt shot from 3 ft,2,71-64,,
3:37.0,Shooting foul by F. Mason (drawn by D. DeRozan),,71-64,,
3:37.0,C. Miles enters the game for O. Anunoby,,71-64,,
3:37.0,J. Poeltl enters the game for S. Ibaka,,71-64,,
3:37.0,D. DeRozan makes free throw 1 of 1,1,72-64,,
3:17.0,,,72-64,,Turnover by Z. Randolph (lost ball; steal by C. Miles)
3:16.0,,,72-64,,Personal foul by J. Jackson (drawn by K. Lowry)
3:16.0,K. Lowry makes free throw 1 of 2,1,73-64,,
3:16.0,K. Lowry misses free throw 2 of 2,,73-64,,
3:14.0,,,73-64,,Defensive rebound by J. Sampson
2:55.0,,,73-64,,Z. Randolph misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by K. Lowry,,73-64,,
2:45.0,K. Lowry misses 3-pt shot from 23 ft,,73-64,,
2:42.0,,,73-64,,Defensive rebound by Z. Randolph
2:40.0,,,73-64,,Shooting foul by P. Siakam (drawn by F. Mason)
2:40.0,Toronto full timeout,,73-64,,
2:40.0,,,73-64,,B. Hield enters the game for B. Bogdanovic
2:40.0,,,73-64,,K. Koufos enters the game for Z. Randolph
2:40.0,F. VanVleet enters the game for K. Lowry,,73-64,,
2:40.0,,,73-64,,F. Mason misses free throw 1 of 2
2:40.0,,,73-64,,Offensive rebound by Team
2:40.0,,,73-65,1,F. Mason makes free throw 2 of 2
2:23.0,D. DeRozan makes 2-pt shot from 13 ft,2,75-65,,
1:58.0,,,75-65,,Turnover by B. Hield (bad pass; steal by C. Miles)
1:54.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Miles),2,77-65,,
1:33.0,,,77-65,,Turnover by K. Koufos (lost ball; steal by C. Miles)
1:29.0,F. VanVleet misses 3-pt shot from 24 ft,,77-65,,
1:25.0,Offensive rebound by P. Siakam,,77-65,,
1:14.0,J. Poeltl misses 2-pt shot from 2 ft (block by J. Sampson),,77-65,,
1:11.0,,,77-65,,Defensive rebound by K. Koufos
0:52.0,,,77-65,,F. Mason misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by D. DeRozan,,77-65,,
0:44.0,Shooting foul by J. Jackson (drawn by D. DeRozan),,77-65,,
0:44.0,D. DeRozan makes free throw 1 of 2,1,78-65,,
0:44.0,D. DeRozan makes free throw 2 of 2,1,79-65,,
0:29.0,,,79-67,2,J. Sampson makes 2-pt shot from 5 ft (assist by J. Jackson)
0:10.0,C. Miles misses 3-pt shot from 26 ft,,79-67,,
0:10.0,Offensive rebound by P. Siakam,,79-67,,
0:00.0,D. DeRozan misses 2-pt shot from 15 ft,,79-67,,
0:00.0,Offensive rebound by Team,,79-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Miles misses 2-pt shot from 13 ft,,79-67,,
11:43.0,,,79-67,,Defensive rebound by F. Mason
11:42.0,Personal foul by P. Siakam (drawn by F. Mason),,79-67,,
11:31.0,,,79-69,2,J. Sampson makes 2-pt shot from 19 ft (assist by F. Mason)
11:08.0,N. Powell misses 2-pt shot from 7 ft (block by J. Sampson),,79-69,,
11:05.0,,,79-69,,Defensive rebound by K. Koufos
11:02.0,,,79-69,,J. Jackson misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by N. Powell,,79-69,,
10:45.0,Offensive charge foul by P. Siakam (drawn by J. Sampson),,79-69,,
10:45.0,Turnover by P. Siakam (offensive foul),,79-69,,
10:31.0,,,79-69,,Turnover by K. Koufos (traveling)
10:16.0,Jump ball: J. Sampson vs. N. Powell (J. Jackson gains possession),,,,Jump ball: J. Sampson vs. N. Powell (J. Jackson gains possession)
10:16.0,Turnover by N. Powell (turnover; steal by J. Sampson),,79-69,,
10:05.0,,,79-72,3,B. Hield makes 3-pt shot from 26 ft (assist by F. Mason)
9:44.0,J. Poeltl makes 3-pt shot from 23 ft (assist by P. Siakam),3,82-72,,
9:28.0,,,82-72,,Sacramento full timeout
9:20.0,,,82-72,,B. Hield misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by P. Siakam,,82-72,,
9:11.0,C. Miles makes 2-pt shot from 1 ft (assist by P. Siakam),2,84-72,,
9:00.0,,,84-74,2,K. Koufos makes 2-pt shot from 7 ft
8:34.0,N. Powell misses 3-pt shot from 25 ft,,84-74,,
8:31.0,,,84-74,,Defensive rebound by K. Koufos
8:23.0,,,84-76,2,J. Sampson makes 2-pt shot from 2 ft (assist by B. Hield)
8:06.0,Turnover by N. Powell (out of bounds lost ball),,84-76,,
8:06.0,,,84-76,,Z. Randolph enters the game for K. Koufos
7:58.0,,,84-76,,F. Mason misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by Team,,84-76,,
7:56.0,K. Lowry enters the game for N. Powell,,84-76,,
7:43.0,F. VanVleet misses 2-pt shot from 10 ft,,84-76,,
7:40.0,,,84-76,,Defensive rebound by Z. Randolph
7:36.0,,,84-76,,Turnover by B. Hield (bad pass)
7:19.0,P. Siakam misses 2-pt shot from 4 ft,,84-76,,
7:16.0,,,84-76,,Defensive rebound by Z. Randolph
7:08.0,,,84-76,,F. Mason misses 2-pt shot from 9 ft (block by J. Poeltl)
7:08.0,Defensive rebound by K. Lowry,,84-76,,
7:06.0,K. Lowry misses 3-pt shot from 26 ft,,84-76,,
7:05.0,Offensive rebound by F. VanVleet,,84-76,,
7:02.0,K. Lowry misses 3-pt shot from 24 ft,,84-76,,
6:54.0,,,84-76,,Defensive rebound by J. Sampson
6:49.0,,,84-76,,Turnover by B. Hield (lost ball; steal by F. VanVleet)
6:49.0,,,84-76,,Personal foul by J. Sampson (drawn by P. Siakam)
6:36.0,C. Miles misses 3-pt shot from 25 ft,,84-76,,
6:33.0,Offensive rebound by P. Siakam,,84-76,,
6:30.0,C. Miles makes 2-pt shot from 13 ft (assist by P. Siakam),2,86-76,,
6:29.0,,,86-76,,Sacramento full timeout
6:29.0,,,86-76,,D. Fox enters the game for F. Mason
6:29.0,,,86-76,,B. Bogdanovic enters the game for J. Sampson
6:29.0,S. Ibaka enters the game for F. VanVleet,,86-76,,
6:29.0,D. DeRozan enters the game for P. Siakam,,86-76,,
6:12.0,,,86-79,3,Z. Randolph makes 3-pt shot from 25 ft (assist by B. Hield)
5:49.0,C. Miles makes 2-pt shot from 2 ft (assist by S. Ibaka),2,88-79,,
5:34.0,,,88-79,,B. Hield misses 2-pt shot from 4 ft
5:34.0,Defensive rebound by Team,,88-79,,
5:33.0,O. Anunoby enters the game for C. Miles,,88-79,,
5:29.0,Jump ball: Z. Randolph vs. D. DeRozan (O. Anunoby gains possession),,,,Jump ball: Z. Randolph vs. D. DeRozan (O. Anunoby gains possession)
5:10.0,K. Lowry misses 3-pt shot from 26 ft,,88-79,,
5:03.0,Offensive rebound by K. Lowry,,88-79,,
5:01.0,J. Poeltl makes 2-pt shot from 4 ft (assist by K. Lowry),2,90-79,,
4:45.0,,,90-81,2,D. Fox makes 2-pt shot from 2 ft
4:21.0,D. DeRozan misses 2-pt shot from 18 ft,,90-81,,
4:19.0,,,90-81,,Defensive rebound by D. Fox
4:14.0,,,90-81,,J. Jackson misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by J. Poeltl,,90-81,,
4:02.0,D. DeRozan misses 2-pt shot from 8 ft,,90-81,,
3:59.0,,,90-81,,Defensive rebound by Z. Randolph
3:54.0,,,90-83,2,D. Fox makes 2-pt shot from 1 ft
3:52.0,Toronto full timeout,,90-83,,
3:52.0,F. VanVleet enters the game for J. Poeltl,,90-83,,
3:36.0,D. DeRozan makes 2-pt shot from 13 ft,2,92-83,,
3:11.0,,,92-83,,D. Fox misses 2-pt shot from 20 ft
3:08.0,Defensive rebound by K. Lowry,,92-83,,
3:02.0,K. Lowry makes 2-pt shot from 1 ft,2,94-83,,
2:47.0,,,94-83,,B. Hield misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by S. Ibaka,,94-83,,
2:38.0,F. VanVleet misses 3-pt shot from 25 ft,,94-83,,
2:36.0,,,94-83,,Defensive rebound by B. Hield
2:32.0,Personal foul by S. Ibaka (drawn by Z. Randolph),,94-83,,
