time,Washington,pts.away,score,pts.home,LA Clippers
3:41.0,T. Satoransky enters the game for M. Gortat,,19-18,,
3:31.0,,,19-18,,Def 3 sec tech foul by J. Wilson
3:31.0,B. Beal misses technical free throw,,19-18,,
3:31.0,Offensive rebound by Team,,19-18,,
3:25.0,I. Mahinmi makes 2-pt shot from 3 ft,2,21-18,,
3:11.0,,,21-21,3,L. Williams makes 3-pt shot from 24 ft (assist by D. Jordan)
2:55.0,K. Oubre misses 3-pt shot from 25 ft,,21-21,,
2:50.0,,,21-21,,Defensive rebound by D. Jordan
2:37.0,,,21-21,,L. Williams misses 3-pt shot from 22 ft
2:32.0,Defensive rebound by O. Porter,,21-21,,
2:27.0,,,21-21,,Personal foul by J. Evans (drawn by T. Satoransky)
2:27.0,,,21-21,,M. Harrell enters the game for D. Jordan
2:27.0,J. Meeks enters the game for B. Beal,,21-21,,
2:14.0,K. Oubre misses 2-pt shot from 11 ft,,21-21,,
2:10.0,,,21-21,,Defensive rebound by J. Wilson
2:07.0,,,21-24,3,C. Williams makes 3-pt shot from 24 ft (assist by J. Evans)
1:49.0,T. Satoransky makes 2-pt shot from 7 ft (assist by I. Mahinmi),2,23-24,,
1:43.0,M. Scott enters the game for O. Porter,,23-24,,
1:35.0,,,23-24,,J. Evans misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by M. Scott,,23-24,,
1:23.0,Shooting foul by J. Wilson (drawn by I. Mahinmi),,23-24,,
1:23.0,I. Mahinmi makes free throw 1 of 2,1,24-24,,
1:23.0,I. Mahinmi makes free throw 2 of 2,1,25-24,,
1:08.0,,,25-24,,C. Williams misses 2-pt shot from 7 ft
1:05.0,,,25-24,,Offensive rebound by C. Williams
1:03.0,,,25-27,3,J. Evans makes 3-pt shot from 25 ft (assist by C. Williams)
0:40.0,T. Satoransky makes 2-pt shot from 16 ft (assist by J. Meeks),2,27-27,,
0:23.0,,,27-29,2,M. Harrell makes 2-pt shot from 7 ft
0:23.0,,,27-29,,Shooting foul by I. Mahinmi (drawn by M. Harrell)
0:23.0,,,27-29,,S. Thornwell enters the game for J. Evans
0:23.0,,,27-29,,W. Johnson enters the game for L. Williams
0:23.0,,,27-30,1,M. Harrell makes free throw 1 of 1
0:00.0,Turnover by T. Satoransky (bad pass; steal by W. Johnson),,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Jump ball: D. Jordan vs. M. Gortat,,,,Jump ball: D. Jordan vs. M. Gortat
12:00.0,Jump ball: D. Jordan vs. M. Gortat,,,,Jump ball: D. Jordan vs. M. Gortat
11:45.0,K. Oubre misses 3-pt shot from 22 ft,,27-30,,
11:45.0,,,27-30,,Defensive rebound by J. Wilson
11:32.0,Personal foul by I. Mahinmi (drawn by L. Williams),,27-30,,
11:25.0,,,27-33,3,A. Rivers makes 3-pt shot from 23 ft (assist by L. Williams)
11:01.0,T. Satoransky makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,30-33,,
10:40.0,,,30-33,,A. Rivers misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by M. Scott,,30-33,,
10:29.0,M. Scott makes 2-pt shot from 6 ft (assist by J. Meeks),2,32-33,,
10:29.0,Shooting foul by A. Rivers (drawn by M. Scott),,32-33,,
10:29.0,M. Scott misses free throw 1 of 1,,32-33,,
10:23.0,,,32-33,,Defensive rebound by L. Williams
10:18.0,,,32-33,,L. Williams misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by M. Scott,,32-33,,
10:06.0,,,32-33,,Personal foul by J. Wilson (drawn by I. Mahinmi)
10:06.0,,,32-33,,S. Thornwell enters the game for J. Evans
9:51.0,Turnover by Team (shot clock),,32-33,,
9:39.0,,,32-35,2,J. Wilson makes 2-pt shot from 1 ft (assist by A. Rivers)
9:19.0,Shooting foul by A. Rivers (drawn by K. Oubre),,32-35,,
9:19.0,K. Oubre misses free throw 1 of 2,,32-35,,
9:19.0,Offensive rebound by Team,,32-35,,
9:19.0,K. Oubre misses free throw 2 of 2,,32-35,,
9:18.0,Offensive rebound by Team,,32-35,,
9:09.0,Shooting foul by M. Harrell (drawn by I. Mahinmi),,32-35,,
9:09.0,I. Mahinmi makes free throw 1 of 2,1,33-35,,
9:09.0,,,33-35,,D. Gallinari enters the game for J. Wilson
9:09.0,I. Mahinmi makes free throw 2 of 2,1,34-35,,
8:50.0,,,34-37,2,D. Gallinari makes 2-pt shot from 1 ft (assist by A. Rivers)
8:38.0,J. Meeks misses 3-pt shot from 25 ft,,34-37,,
8:35.0,,,34-37,,Defensive rebound by S. Thornwell
8:27.0,,,34-39,2,L. Williams makes 2-pt shot from 1 ft (assist by A. Rivers)
8:25.0,Washington full timeout,,34-39,,
8:04.0,M. Scott makes 2-pt shot from 12 ft (assist by T. Satoransky),2,36-39,,
7:49.0,,,36-41,2,A. Rivers makes 2-pt shot from 1 ft (assist by M. Harrell)
7:33.0,M. Scott makes 2-pt shot from 4 ft (assist by T. Satoransky),2,38-41,,
7:33.0,Shooting foul by S. Thornwell (drawn by M. Scott),,38-41,,
7:33.0,M. Scott makes free throw 1 of 1,1,39-41,,
7:15.0,,,39-43,2,D. Gallinari makes 2-pt shot from 20 ft (assist by L. Williams)
6:59.0,J. Meeks misses 2-pt shot from 2 ft,,39-43,,
6:56.0,,,39-43,,Defensive rebound by M. Harrell
6:46.0,,,39-43,,Shooting foul by K. Oubre (drawn by M. Harrell)
6:46.0,,,39-44,1,M. Harrell makes free throw 1 of 2
6:46.0,O. Porter enters the game for K. Oubre,,39-44,,
6:46.0,B. Beal enters the game for J. Meeks,,39-44,,
6:46.0,,,39-45,1,M. Harrell makes free throw 2 of 2
6:26.0,T. Satoransky misses 3-pt shot from 23 ft,,39-45,,
6:17.0,Offensive rebound by O. Porter,,39-45,,
6:17.0,O. Porter makes 2-pt shot at rim,2,41-45,,
6:06.0,,,41-47,2,M. Harrell makes 2-pt shot from 7 ft
5:51.0,I. Mahinmi makes 2-pt shot from 7 ft (assist by O. Porter),2,43-47,,
5:44.0,,,43-47,,D. Jordan enters the game for M. Harrell
5:44.0,M. Morris enters the game for M. Scott,,43-47,,
5:29.0,,,43-47,,Turnover by D. Gallinari (bad pass; steal by O. Porter)
5:22.0,Turnover by M. Morris (lost ball; steal by D. Gallinari),,43-47,,
5:14.0,,,43-47,,D. Jordan misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by O. Porter,,43-47,,
5:13.0,,,43-47,,Personal take foul by L. Williams (drawn by O. Porter)
5:13.0,O. Porter makes free throw 1 of 2,1,44-47,,
5:13.0,,,44-47,,W. Johnson enters the game for L. Williams
5:13.0,M. Gortat enters the game for I. Mahinmi,,44-47,,
5:13.0,O. Porter makes free throw 2 of 2,1,45-47,,
5:02.0,,,45-50,3,D. Gallinari makes 3-pt shot from 24 ft (assist by A. Rivers)
4:40.0,T. Satoransky misses 3-pt shot from 24 ft,,45-50,,
4:33.0,,,45-50,,Defensive rebound by D. Jordan
4:26.0,,,45-50,,S. Thornwell misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by O. Porter,,45-50,,
4:13.0,B. Beal misses 2-pt shot from 16 ft,,45-50,,
4:13.0,,,45-50,,Defensive rebound by D. Gallinari
3:55.0,Personal foul by T. Satoransky (drawn by S. Thornwell),,45-50,,
3:55.0,T. Frazier enters the game for T. Satoransky,,45-50,,
3:44.0,,,45-53,3,A. Rivers makes 3-pt shot from 26 ft
3:24.0,M. Morris misses 3-pt shot from 24 ft,,45-53,,
3:21.0,,,45-53,,Defensive rebound by D. Jordan
3:09.0,,,45-53,,A. Rivers misses 2-pt shot from 1 ft (block by M. Gortat)
3:09.0,,,45-53,,Offensive rebound by Team
3:09.0,,,45-53,,LA Clippers full timeout
3:04.0,,,45-53,,D. Gallinari misses 2-pt shot from 11 ft
2:58.0,Defensive rebound by M. Gortat,,45-53,,
2:50.0,B. Beal makes 2-pt shot from 1 ft,2,47-53,,
2:30.0,,,47-53,,L. Williams enters the game for S. Thornwell
2:24.0,,,47-56,3,A. Rivers makes 3-pt shot from 25 ft
2:06.0,O. Porter misses 3-pt shot from 25 ft,,47-56,,
2:02.0,,,47-56,,Defensive rebound by L. Williams
1:50.0,,,47-56,,D. Jordan misses 2-pt shot from 4 ft
1:47.0,Defensive rebound by M. Gortat,,47-56,,
1:36.0,O. Porter makes 2-pt shot from 10 ft (assist by M. Gortat),2,49-56,,
1:10.0,,,49-56,,A. Rivers misses 2-pt shot from 9 ft
1:01.0,,,49-56,,Offensive rebound by D. Jordan
1:01.0,,,49-58,2,D. Jordan makes 2-pt shot at rim
0:47.0,M. Morris misses 3-pt shot from 24 ft,,49-58,,
0:44.0,,,49-58,,Defensive rebound by D. Jordan
0:40.0,,,49-58,,Shooting foul by T. Frazier (drawn by L. Williams)
0:40.0,,,49-59,1,L. Williams makes free throw 1 of 2
0:40.0,,,49-59,,S. Thornwell enters the game for A. Rivers
0:40.0,,,49-60,1,L. Williams makes free throw 2 of 2
0:32.0,B. Beal misses 2-pt shot from 14 ft,,49-60,,
0:28.0,,,49-60,,Defensive rebound by D. Jordan
0:10.0,,,49-62,2,D. Gallinari makes 2-pt shot at rim (assist by L. Williams)
0:01.0,T. Frazier misses 2-pt shot from 3 ft (block by D. Jordan),,49-62,,
0:00.0,,,49-62,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by T. Frazier (bad pass; steal by W. Johnson),,49-62,,
11:35.0,,,49-62,,Turnover by W. Johnson (lost ball; steal by O. Porter)
11:26.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,51-62,,
11:26.0,Shooting foul by A. Rivers (drawn by M. Gortat),,51-62,,
11:26.0,M. Gortat makes free throw 1 of 1,1,52-62,,
11:05.0,,,52-64,2,S. Thornwell makes 2-pt shot from 1 ft (assist by A. Rivers)
10:42.0,T. Frazier misses 2-pt shot from 18 ft,,52-64,,
10:34.0,,,52-64,,Defensive rebound by W. Johnson
10:19.0,,,52-66,2,W. Johnson makes 2-pt shot from 1 ft (assist by D. Gallinari)
10:08.0,O. Porter misses 3-pt shot from 24 ft,,52-66,,
10:08.0,,,52-66,,Defensive rebound by D. Gallinari
9:54.0,,,52-66,,D. Gallinari misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by M. Morris,,52-66,,
9:41.0,Offensive charge foul by M. Morris (drawn by D. Gallinari),,52-66,,
9:41.0,Turnover by M. Morris (offensive foul),,52-66,,
9:22.0,,,52-66,,Turnover by A. Rivers (step out of bounds)
9:00.0,M. Gortat makes 2-pt shot from 1 ft (assist by T. Frazier),2,54-66,,
8:47.0,,,54-66,,D. Gallinari misses 2-pt shot from 23 ft
8:44.0,Defensive rebound by M. Gortat,,54-66,,
8:37.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,57-66,,
8:37.0,,,57-66,,LA Clippers full timeout
8:13.0,,,57-66,,D. Gallinari misses 2-pt shot from 12 ft
8:11.0,Defensive rebound by T. Frazier,,57-66,,
7:56.0,,,57-66,,L. Williams enters the game for S. Thornwell
7:53.0,Turnover by M. Morris (turnover; steal by W. Johnson),,57-66,,
7:50.0,,,57-66,,Shooting foul by M. Morris (drawn by D. Jordan)
7:50.0,,,57-67,1,D. Jordan makes free throw 1 of 2
7:50.0,M. Scott enters the game for M. Morris,,57-67,,
7:50.0,,,57-67,,D. Jordan misses free throw 2 of 2
7:47.0,Defensive rebound by M. Gortat,,57-67,,
7:30.0,B. Beal makes 3-pt shot from 24 ft (assist by T. Frazier),3,60-67,,
7:11.0,,,60-67,,A. Rivers misses 2-pt shot from 8 ft
7:09.0,Defensive rebound by O. Porter,,60-67,,
7:06.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Scott),2,62-67,,
6:49.0,,,62-67,,W. Johnson misses 3-pt shot from 22 ft
6:45.0,Defensive rebound by M. Gortat,,62-67,,
6:36.0,Turnover by M. Gortat (turnover),,62-67,,
6:36.0,,,62-67,,J. Evans enters the game for W. Johnson
6:22.0,,,62-67,,Shooting foul by M. Gortat (drawn by D. Jordan)
6:22.0,,,62-68,1,D. Jordan makes free throw 1 of 2
6:22.0,,,62-68,,D. Jordan misses free throw 2 of 2
6:18.0,Defensive rebound by O. Porter,,62-68,,
6:10.0,B. Beal makes 3-pt shot from 24 ft (assist by T. Frazier),3,65-68,,
5:52.0,,,65-70,2,L. Williams makes 2-pt shot from 10 ft
5:41.0,B. Beal misses 2-pt shot from 17 ft,,65-70,,
5:37.0,,,65-70,,Defensive rebound by D. Jordan
5:29.0,,,65-70,,L. Williams misses 2-pt shot from 13 ft
5:26.0,Defensive rebound by O. Porter,,65-70,,
5:21.0,O. Porter makes 2-pt shot from 19 ft,2,67-70,,
5:03.0,,,67-70,,Turnover by J. Evans (bad pass; steal by T. Frazier)
5:03.0,,,67-70,,Personal take foul by D. Jordan (drawn by T. Frazier)
5:03.0,,,67-70,,J. Wilson enters the game for D. Gallinari
5:03.0,,,67-70,,C. Williams enters the game for A. Rivers
4:50.0,B. Beal misses 3-pt shot from 25 ft,,67-70,,
4:46.0,Offensive rebound by T. Frazier,,67-70,,
4:39.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Gortat),2,69-70,,
4:25.0,,,69-72,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
4:03.0,Turnover by M. Gortat (bad pass; steal by D. Jordan),,69-72,,
3:58.0,,,69-72,,Shooting foul by T. Frazier (drawn by L. Williams)
3:58.0,,,69-73,1,L. Williams makes free throw 1 of 3
3:58.0,,,69-74,1,L. Williams makes free throw 2 of 3
3:58.0,,,69-75,1,L. Williams makes free throw 3 of 3
3:42.0,O. Porter misses 2-pt shot from 15 ft,,69-75,,
3:37.0,,,69-75,,Defensive rebound by D. Jordan
3:29.0,,,69-75,,Turnover by J. Wilson (lost ball; steal by O. Porter)
3:23.0,Shooting foul by D. Jordan (drawn by B. Beal),,69-75,,
3:23.0,B. Beal makes free throw 1 of 2,1,70-75,,
3:23.0,T. Satoransky enters the game for T. Frazier,,70-75,,
3:23.0,B. Beal makes free throw 2 of 2,1,71-75,,
3:08.0,,,71-75,,D. Jordan misses 2-pt shot from 4 ft
3:05.0,Defensive rebound by O. Porter,,71-75,,
3:00.0,B. Beal misses 3-pt shot from 25 ft,,71-75,,
2:57.0,,,71-75,,Defensive rebound by C. Williams
2:42.0,,,71-75,,L. Williams misses 2-pt shot from 13 ft
2:39.0,Defensive rebound by O. Porter,,71-75,,
2:29.0,B. Beal makes 3-pt shot from 23 ft (assist by T. Satoransky),3,74-75,,
2:09.0,,,74-75,,J. Evans misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by M. Gortat,,74-75,,
2:04.0,Shooting foul by L. Williams (drawn by O. Porter),,74-75,,
2:04.0,Washington full timeout,,74-75,,
2:04.0,,,74-75,,A. Rivers enters the game for D. Jordan
2:04.0,,,74-75,,M. Harrell enters the game for C. Williams
2:04.0,K. Oubre enters the game for B. Beal,,74-75,,
2:04.0,I. Mahinmi enters the game for M. Gortat,,74-75,,
2:04.0,O. Porter misses free throw 1 of 2,,74-75,,
2:04.0,Offensive rebound by Team,,74-75,,
2:04.0,O. Porter makes free throw 2 of 2,1,75-75,,
1:49.0,,,75-75,,LA Clippers full timeout
1:40.0,,,75-78,3,L. Williams makes 3-pt shot from 27 ft
1:21.0,M. Scott makes 3-pt shot from 25 ft (assist by O. Porter),3,78-78,,
1:01.0,,,78-80,2,M. Harrell makes 2-pt shot from 6 ft
0:50.0,M. Scott misses 2-pt shot from 17 ft,,78-80,,
0:41.0,Offensive rebound by T. Satoransky,,78-80,,
0:41.0,T. Satoransky misses 2-pt shot at rim,,78-80,,
0:40.0,,,78-80,,Defensive rebound by M. Harrell
0:31.0,,,78-83,3,L. Williams makes 3-pt shot from 26 ft
0:13.0,M. Scott makes 3-pt shot from 23 ft (assist by O. Porter),3,81-83,,
0:05.0,,,81-85,2,L. Williams makes 2-pt shot from 16 ft
0:05.0,,,81-85,,Shooting foul by K. Oubre (drawn by L. Williams)
0:05.0,,,81-85,,S. Thornwell enters the game for J. Evans
0:05.0,,,81-85,,C. Williams enters the game for A. Rivers
0:05.0,,,81-85,,L. Williams misses free throw 1 of 1
0:03.0,Defensive rebound by O. Porter,,81-85,,
0:01.0,Turnover by O. Porter (lost ball; steal by M. Harrell),,81-85,,
0:01.0,,,81-85,,L. Williams misses 3-pt shot from 46 ft
0:00.0,,,81-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,81-85,,L. Williams misses 3-pt shot from 27 ft
11:46.0,Defensive rebound by M. Scott,,81-85,,
11:32.0,K. Oubre misses 3-pt shot from 23 ft,,81-85,,
11:24.0,Offensive rebound by I. Mahinmi,,81-85,,
11:24.0,I. Mahinmi makes 2-pt shot at rim,2,83-85,,
11:06.0,,,83-87,2,M. Harrell makes 2-pt shot from 1 ft
10:57.0,,,83-87,,Personal foul by J. Evans (drawn by T. Satoransky)
10:57.0,,,83-87,,S. Thornwell enters the game for J. Evans
10:57.0,B. Beal enters the game for O. Porter,,83-87,,
10:51.0,B. Beal makes 3-pt shot from 24 ft (assist by T. Satoransky),3,86-87,,
10:33.0,,,86-87,,A. Rivers misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by M. Scott,,86-87,,
10:11.0,M. Scott makes 2-pt shot from 14 ft,2,88-87,,
9:53.0,,,88-87,,Turnover by L. Williams (out of bounds lost ball)
9:36.0,T. Satoransky makes 2-pt shot from 16 ft (assist by I. Mahinmi),2,90-87,,
9:34.0,,,90-87,,LA Clippers full timeout
9:16.0,,,90-90,3,D. Gallinari makes 3-pt shot from 25 ft (assist by A. Rivers)
8:56.0,I. Mahinmi misses 2-pt shot from 9 ft,,90-90,,
8:53.0,,,90-90,,Defensive rebound by M. Harrell
8:47.0,,,90-92,2,D. Gallinari makes 2-pt shot from 1 ft (assist by L. Williams)
8:34.0,Shooting foul by M. Harrell (drawn by B. Beal),,90-92,,
8:34.0,B. Beal misses free throw 1 of 2,,90-92,,
8:34.0,Offensive rebound by Team,,90-92,,
8:34.0,,,90-92,,D. Jordan enters the game for M. Harrell
8:34.0,B. Beal makes free throw 2 of 2,1,91-92,,
8:18.0,,,91-92,,A. Rivers misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by I. Mahinmi,,91-92,,
8:10.0,B. Beal misses 3-pt shot from 27 ft,,91-92,,
8:03.0,Offensive rebound by T. Satoransky,,91-92,,
8:00.0,M. Scott misses 3-pt shot from 24 ft,,91-92,,
7:59.0,Offensive rebound by T. Satoransky,,91-92,,
7:57.0,Shooting foul by D. Gallinari (drawn by I. Mahinmi),,91-92,,
7:57.0,I. Mahinmi makes free throw 1 of 2,1,92-92,,
7:57.0,,,92-92,,W. Johnson enters the game for S. Thornwell
7:57.0,I. Mahinmi makes free throw 2 of 2,1,93-92,,
7:53.0,Jump ball: D. Jordan vs. M. Gortat (A. Rivers gains possession),,,,Jump ball: D. Jordan vs. M. Gortat (A. Rivers gains possession)
7:40.0,,,93-92,,D. Gallinari misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by T. Satoransky,,93-92,,
7:27.0,B. Beal misses 2-pt shot from 9 ft,,93-92,,
7:24.0,,,93-92,,Defensive rebound by D. Jordan
7:19.0,,,93-94,2,A. Rivers makes 2-pt shot from 1 ft
7:19.0,Violation by M. Scott (def goaltending),,93-94,,
7:08.0,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Scott),2,95-94,,
6:53.0,Personal foul by M. Scott (drawn by D. Jordan),,95-94,,
6:43.0,,,95-94,,A. Rivers misses 2-pt shot from 2 ft (block by I. Mahinmi)
6:43.0,,,95-94,,Offensive rebound by Team
6:41.0,,,95-94,,Turnover by D. Gallinari (traveling)
6:23.0,Turnover by M. Scott (traveling),,95-94,,
6:02.0,,,95-94,,L. Williams misses 2-pt shot from 10 ft
6:00.0,Defensive rebound by M. Scott,,95-94,,
5:57.0,,,95-94,,Personal foul by W. Johnson (drawn by B. Beal)
5:45.0,Turnover by M. Scott (bad pass),,95-94,,
5:32.0,,,95-94,,W. Johnson misses 3-pt shot from 23 ft
5:26.0,,,95-94,,Offensive rebound by D. Jordan
5:15.0,,,95-97,3,W. Johnson makes 3-pt shot from 23 ft (assist by A. Rivers)
5:13.0,Washington full timeout,,95-97,,
5:13.0,O. Porter enters the game for K. Oubre,,95-97,,
4:50.0,O. Porter makes 3-pt shot from 24 ft (assist by T. Satoransky),3,98-97,,
4:38.0,,,98-97,,Shooting foul by M. Scott (drawn by L. Williams)
4:38.0,,,98-98,1,L. Williams makes free throw 1 of 2
4:38.0,,,98-99,1,L. Williams makes free throw 2 of 2
4:24.0,B. Beal misses 2-pt shot from 1 ft (block by W. Johnson),,98-99,,
4:24.0,,,98-99,,Defensive rebound by Team
4:03.0,,,98-99,,L. Williams misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by M. Scott,,98-99,,
3:47.0,O. Porter makes 2-pt shot from 10 ft (assist by T. Satoransky),2,100-99,,
3:28.0,,,100-99,,D. Gallinari misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by T. Satoransky,,100-99,,
3:16.0,I. Mahinmi misses 2-pt shot from 2 ft,,100-99,,
3:13.0,,,100-99,,Defensive rebound by D. Jordan
3:07.0,,,100-101,2,D. Gallinari makes 2-pt shot from 18 ft (assist by L. Williams)
2:51.0,B. Beal misses 2-pt shot from 11 ft (block by A. Rivers),,100-101,,
2:49.0,,,100-101,,Defensive rebound by D. Jordan
2:37.0,,,100-101,,D. Jordan misses 2-pt shot from 1 ft
2:37.0,Defensive rebound by B. Beal,,100-101,,
2:29.0,M. Scott makes 3-pt shot from 23 ft (assist by O. Porter),3,103-101,,
2:14.0,,,103-101,,L. Williams misses 2-pt shot from 17 ft
2:09.0,Defensive rebound by M. Scott,,103-101,,
1:58.0,M. Scott makes 2-pt shot from 16 ft (assist by B. Beal),2,105-101,,
1:58.0,,,105-101,,LA Clippers full timeout
1:38.0,,,105-101,,Shooting foul by I. Mahinmi (drawn by D. Gallinari)
1:38.0,,,105-102,1,D. Gallinari makes free throw 1 of 2
1:38.0,,,105-103,1,D. Gallinari makes free throw 2 of 2
1:20.0,M. Scott makes 2-pt shot from 15 ft,2,107-103,,
1:17.0,,,107-105,2,L. Williams makes 2-pt shot from 1 ft
1:01.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal),2,109-105,,
0:55.0,,,109-105,,D. Gallinari misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by T. Satoransky,,109-105,,
