time,Utah,pts.away,score,pts.home,Cleveland
4:55.0,Turnover by D. Mitchell (lost ball; steal by J. Smith),,15-13,,
4:50.0,,,15-13,,Turnover by L. James (bad pass; steal by R. Hood)
4:48.0,Shooting foul by J. Smith (drawn by R. Hood),,15-13,,
4:48.0,R. Hood makes free throw 1 of 2,1,16-13,,
4:48.0,J. Ingles enters the game for R. O'Neale,,16-13,,
4:48.0,R. Hood makes free throw 2 of 2,1,17-13,,
4:37.0,,,17-15,2,T. Thompson makes 2-pt shot at rim (assist by J. Calderon)
4:27.0,R. Hood makes 3-pt shot from 28 ft (assist by J. Ingles),3,20-15,,
4:12.0,,,20-17,2,J. Calderon makes 2-pt shot from 12 ft
3:52.0,Turnover by R. Hood (bad pass; steal by L. James),,20-17,,
3:44.0,,,20-17,,K. Love misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by J. Ingles,,20-17,,
3:31.0,R. Hood misses 3-pt shot from 26 ft,,20-17,,
3:29.0,,,20-17,,Defensive rebound by L. James
3:11.0,,,20-17,,Turnover by L. James (bad pass)
3:11.0,,,20-17,,D. Wade enters the game for J. Smith
3:11.0,,,20-17,,K. Korver enters the game for J. Calderon
3:11.0,R. Rubio enters the game for J. Johnson,,20-17,,
3:11.0,T. Sefolosha enters the game for D. Mitchell,,20-17,,
2:56.0,T. Sefolosha makes 2-pt shot from 11 ft (assist by R. Rubio),2,22-17,,
2:48.0,Personal foul by T. Sefolosha (drawn by K. Love),,22-17,,
2:48.0,,,22-17,,Cleveland full timeout
2:48.0,,,22-17,,J. Green enters the game for K. Love
2:31.0,,,22-17,,D. Wade misses 2-pt shot from 2 ft
2:28.0,Defensive rebound by T. Sefolosha,,22-17,,
2:21.0,J. Jerebko misses 3-pt shot from 28 ft (block by D. Wade),,22-17,,
2:18.0,,,22-17,,Defensive rebound by D. Wade
2:05.0,,,22-17,,J. Green misses 2-pt shot at rim
2:03.0,Defensive rebound by R. Hood,,22-17,,
1:55.0,R. Hood misses 3-pt shot from 30 ft,,22-17,,
1:52.0,,,22-17,,Defensive rebound by L. James
1:42.0,,,22-19,2,T. Thompson makes 2-pt shot from 1 ft (assist by J. Green)
1:23.0,R. Hood misses 2-pt shot from 17 ft,,22-19,,
1:20.0,,,22-19,,Defensive rebound by L. James
1:17.0,Shooting block foul by J. Jerebko (drawn by L. James),,22-19,,
1:17.0,,,22-20,1,L. James makes free throw 1 of 2
1:17.0,,,22-21,1,L. James makes free throw 2 of 2
1:00.0,Turnover by R. Rubio (lost ball; steal by T. Thompson),,22-21,,
0:58.0,,,22-23,2,L. James makes 2-pt shot from 1 ft (assist by J. Green)
0:44.0,R. Rubio misses 2-pt shot from 1 ft,,22-23,,
0:43.0,Offensive rebound by J. Jerebko,,22-23,,
0:43.0,Shooting foul by T. Thompson (drawn by J. Jerebko),,22-23,,
0:43.0,J. Jerebko makes free throw 1 of 2,1,23-23,,
0:43.0,,,23-23,,C. Osman enters the game for L. James
0:43.0,J. Jerebko makes free throw 2 of 2,1,24-23,,
0:27.0,,,24-23,,Turnover by D. Wade (bad pass; steal by T. Sefolosha)
0:19.0,R. Rubio misses 2-pt shot from 18 ft,,24-23,,
0:17.0,,,24-23,,Defensive rebound by T. Thompson
0:04.0,,,24-23,,D. Wade misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Ingles,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-26,3,J. Green makes 3-pt shot from 24 ft (assist by D. Wade)
11:21.0,A. Burks misses 2-pt shot from 2 ft,,24-26,,
11:19.0,,,24-26,,Defensive rebound by K. Korver
11:08.0,,,24-26,,K. Korver misses 2-pt shot from 14 ft
11:06.0,Defensive rebound by E. Udoh,,24-26,,
10:56.0,D. Mitchell misses 3-pt shot from 25 ft,,24-26,,
10:53.0,,,24-26,,Defensive rebound by D. Wade
10:47.0,,,24-28,2,D. Wade makes 2-pt shot at rim
10:30.0,Turnover by D. Mitchell (lost ball; steal by T. Thompson),,24-28,,
10:25.0,,,24-28,,D. Wade misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by J. Ingles,,24-28,,
10:20.0,,,24-28,,Personal foul by C. Osman (drawn by T. Sefolosha)
10:20.0,,,24-28,,C. Frye enters the game for T. Thompson
10:13.0,J. Ingles misses 3-pt shot from 29 ft,,24-28,,
10:09.0,,,24-28,,Defensive rebound by C. Frye
9:49.0,,,24-28,,D. Wade misses 2-pt shot from 13 ft
9:47.0,Defensive rebound by A. Burks,,24-28,,
9:31.0,,,24-28,,Violation by J. Green (kicked ball)
9:15.0,A. Burks misses 2-pt shot from 12 ft,,24-28,,
9:10.0,Offensive rebound by A. Burks,,24-28,,
9:10.0,A. Burks makes 2-pt shot at rim,2,26-28,,
9:02.0,R. O'Neale enters the game for J. Ingles,,26-28,,
8:58.0,,,26-30,2,K. Korver makes 2-pt shot from 16 ft (assist by D. Wade)
8:32.0,R. O'Neale makes 3-pt shot from 26 ft (assist by D. Mitchell),3,29-30,,
8:22.0,,,29-30,,Shooting foul by T. Sefolosha (drawn by J. Green)
8:22.0,,,29-31,1,J. Green makes free throw 1 of 2
8:22.0,,,29-32,1,J. Green makes free throw 2 of 2
8:02.0,A. Burks misses 2-pt shot from 14 ft,,29-32,,
7:59.0,,,29-32,,Defensive rebound by D. Wade
7:55.0,,,29-32,,D. Wade misses 2-pt shot at rim
7:51.0,Defensive rebound by E. Udoh,,29-32,,
7:45.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by E. Udoh),3,32-32,,
7:23.0,J. Jerebko enters the game for E. Udoh,,32-32,,
7:20.0,,,32-32,,K. Korver misses 2-pt shot from 19 ft
7:17.0,Defensive rebound by R. O'Neale,,32-32,,
7:11.0,Shooting foul by K. Korver (drawn by A. Burks),,32-32,,
7:11.0,A. Burks misses free throw 1 of 2,,32-32,,
7:11.0,Offensive rebound by Team,,32-32,,
7:11.0,A. Burks makes free throw 2 of 2,1,33-32,,
6:50.0,,,33-34,2,C. Frye makes 2-pt shot from 22 ft (assist by D. Wade)
6:38.0,D. Mitchell misses 3-pt shot from 27 ft,,33-34,,
6:36.0,,,33-34,,Defensive rebound by Team
6:36.0,,,33-34,,Cleveland full timeout
6:36.0,R. Rubio enters the game for T. Sefolosha,,33-34,,
6:36.0,R. Hood enters the game for R. O'Neale,,33-34,,
6:36.0,J. Johnson enters the game for D. Mitchell,,33-34,,
6:17.0,,,33-34,,C. Frye misses 3-pt shot from 25 ft
6:14.0,,,33-34,,Offensive rebound by C. Osman
6:11.0,,,33-37,3,J. Green makes 3-pt shot from 26 ft (assist by D. Wade)
5:50.0,A. Burks misses 3-pt shot from 24 ft,,33-37,,
5:48.0,Offensive rebound by A. Burks,,33-37,,
5:32.0,Turnover by R. Rubio (lost ball; steal by C. Frye),,33-37,,
5:27.0,,,33-39,2,C. Osman makes 2-pt shot at rim
5:10.0,J. Johnson misses 2-pt shot from 16 ft,,33-39,,
5:08.0,,,33-39,,Defensive rebound by C. Frye
4:59.0,,,33-39,,Turnover by D. Wade (bad pass; steal by A. Burks)
4:59.0,,,33-39,,Personal foul by C. Osman (drawn by A. Burks)
4:59.0,,,33-39,,J. Calderon enters the game for C. Frye
4:59.0,,,33-39,,L. James enters the game for D. Wade
4:59.0,,,33-39,,K. Love enters the game for C. Osman
4:59.0,,,33-39,,J. Smith enters the game for K. Korver
4:59.0,,,33-39,,J. Crowder enters the game for J. Green
4:59.0,E. Udoh enters the game for J. Jerebko,,33-39,,
4:59.0,J. Ingles enters the game for A. Burks,,33-39,,
4:43.0,R. Rubio makes 3-pt shot from 27 ft (assist by J. Johnson),3,36-39,,
4:19.0,,,36-41,2,L. James makes 2-pt shot from 19 ft
3:57.0,E. Udoh makes 2-pt shot from 5 ft (assist by R. Hood),2,38-41,,
3:35.0,,,38-41,,J. Smith misses 2-pt shot from 8 ft
3:32.0,Defensive rebound by E. Udoh,,38-41,,
3:27.0,R. Rubio misses 2-pt shot from 20 ft,,38-41,,
3:25.0,,,38-41,,Defensive rebound by K. Love
3:14.0,,,38-43,2,J. Crowder makes 2-pt shot from 20 ft (assist by J. Calderon)
2:51.0,R. Rubio misses 2-pt shot from 15 ft,,38-43,,
2:48.0,,,38-43,,Defensive rebound by J. Crowder
2:41.0,,,38-45,2,J. Crowder makes 2-pt shot from 1 ft (assist by K. Love)
2:41.0,Utah full timeout,,38-45,,
2:41.0,D. Mitchell enters the game for R. Rubio,,38-45,,
2:23.0,Turnover by D. Mitchell (bad pass; steal by J. Smith),,38-45,,
2:12.0,,,38-45,,J. Calderon misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by E. Udoh,,38-45,,
2:02.0,R. Hood makes 3-pt shot from 27 ft (assist by J. Ingles),3,41-45,,
1:34.0,,,41-47,2,J. Calderon makes 2-pt shot from 1 ft (assist by K. Love)
1:13.0,J. Ingles makes 3-pt shot from 23 ft (assist by E. Udoh),3,44-47,,
0:54.0,,,44-47,,K. Love misses 2-pt shot from 3 ft (block by E. Udoh)
0:53.0,,,44-47,,Offensive rebound by K. Love
0:52.0,,,44-47,,Shooting foul by E. Udoh (drawn by K. Love)
0:52.0,,,44-47,,K. Love misses free throw 1 of 2
0:52.0,,,44-47,,Offensive rebound by Team
0:52.0,,,44-48,1,K. Love makes free throw 2 of 2
0:39.0,E. Udoh misses 2-pt shot at rim,,44-48,,
0:39.0,Offensive rebound by E. Udoh,,44-48,,
0:39.0,E. Udoh makes 2-pt shot at rim,2,46-48,,
0:25.0,,,46-51,3,J. Crowder makes 3-pt shot from 23 ft (assist by L. James)
0:04.0,D. Mitchell makes 2-pt shot from 2 ft,2,48-51,,
0:00.0,,,48-51,,J. Calderon misses 2-pt shot from 2 ft (block by E. Udoh)
0:00.0,,,48-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,48-51,,K. Love misses 2-pt shot from 1 ft (block by E. Udoh)
11:44.0,Defensive rebound by R. Rubio,,48-51,,
11:32.0,J. Johnson makes 2-pt shot from 9 ft (assist by R. Rubio),2,50-51,,
11:16.0,,,50-53,2,J. Calderon makes 2-pt shot from 16 ft
10:57.0,J. Johnson misses 3-pt shot from 24 ft,,50-53,,
10:55.0,,,50-53,,Defensive rebound by K. Love
10:40.0,,,50-55,2,K. Love makes 2-pt shot from 9 ft (assist by L. James)
10:27.0,,,50-55,,Personal foul by L. James (drawn by E. Udoh)
10:16.0,Turnover by J. Ingles (bad pass; steal by J. Crowder),,50-55,,
10:11.0,,,50-58,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Love)
9:47.0,,,50-58,,Personal foul by L. James (drawn by E. Udoh)
9:34.0,D. Mitchell makes 2-pt shot from 20 ft (assist by J. Johnson),2,52-58,,
9:06.0,,,52-60,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
8:50.0,,,52-60,,Personal foul by J. Calderon (drawn by R. Rubio)
8:35.0,J. Johnson misses 2-pt shot from 19 ft,,52-60,,
8:31.0,,,52-60,,Defensive rebound by J. Calderon
8:11.0,,,52-60,,Turnover by L. James (lost ball; steal by R. Rubio)
8:06.0,J. Ingles misses 3-pt shot from 23 ft,,52-60,,
8:03.0,,,52-60,,Defensive rebound by J. Smith
8:01.0,Personal foul by R. Rubio (drawn by J. Smith),,52-60,,
7:49.0,,,52-60,,J. Smith misses 2-pt shot from 9 ft (block by E. Udoh)
7:49.0,,,52-60,,Offensive rebound by Team
7:44.0,,,52-60,,Turnover by J. Smith (bad pass; steal by E. Udoh)
7:41.0,D. Mitchell makes 2-pt shot from 2 ft (assist by J. Ingles),2,54-60,,
7:41.0,,,54-60,,Cleveland full timeout
7:15.0,,,54-60,,L. James misses 2-pt shot from 6 ft
7:09.0,,,54-60,,Offensive rebound by K. Love
7:09.0,,,54-62,2,K. Love makes 2-pt shot at rim
6:54.0,E. Udoh makes 2-pt shot from 1 ft (assist by R. Rubio),2,56-62,,
6:28.0,,,56-62,,J. Calderon misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by J. Ingles,,56-62,,
6:11.0,J. Ingles makes 3-pt shot from 25 ft,3,59-62,,
5:50.0,,,59-62,,Turnover by L. James (lost ball; steal by E. Udoh)
5:47.0,Shooting foul by J. Calderon (drawn by E. Udoh),,59-62,,
5:47.0,E. Udoh makes free throw 1 of 2,1,60-62,,
5:47.0,T. Sefolosha enters the game for J. Johnson,,60-62,,
5:47.0,R. Hood enters the game for D. Mitchell,,60-62,,
5:47.0,E. Udoh misses free throw 2 of 2,,60-62,,
5:44.0,,,60-62,,Defensive rebound by L. James
5:33.0,,,60-62,,Shooting foul by E. Udoh (drawn by L. James)
5:33.0,,,60-63,1,L. James makes free throw 1 of 2
5:33.0,,,60-64,1,L. James makes free throw 2 of 2
5:11.0,R. Rubio misses 3-pt shot from 25 ft,,60-64,,
5:08.0,,,60-64,,Defensive rebound by Team
4:52.0,,,60-64,,K. Love misses 3-pt shot from 22 ft
4:49.0,Defensive rebound by J. Ingles,,60-64,,
4:40.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Ingles),3,63-64,,
4:17.0,,,63-66,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
4:00.0,T. Sefolosha makes 2-pt shot from 15 ft (assist by E. Udoh),2,65-66,,
3:40.0,,,65-66,,J. Smith misses 2-pt shot from 17 ft
3:38.0,Defensive rebound by T. Sefolosha,,65-66,,
3:20.0,J. Ingles misses 3-pt shot from 25 ft,,65-66,,
3:14.0,,,65-66,,Defensive rebound by L. James
3:14.0,,,65-68,2,K. Love makes 2-pt shot at rim (assist by J. Calderon)
3:14.0,Utah full timeout,,65-68,,
3:14.0,,,65-68,,J. Green enters the game for K. Love
3:14.0,,,65-68,,C. Osman enters the game for J. Smith
3:14.0,,,65-68,,D. Wade enters the game for J. Calderon
3:14.0,,,65-68,,K. Korver enters the game for J. Crowder
3:14.0,A. Burks enters the game for J. Ingles,,65-68,,
3:14.0,J. Jerebko enters the game for R. Rubio,,65-68,,
3:14.0,D. Mitchell enters the game for E. Udoh,,65-68,,
3:01.0,Shooting foul by C. Osman (drawn by T. Sefolosha),,65-68,,
3:01.0,T. Sefolosha makes free throw 1 of 2,1,66-68,,
3:01.0,T. Sefolosha misses free throw 2 of 2,,66-68,,
2:58.0,,,66-68,,Defensive rebound by D. Wade
2:40.0,,,66-68,,L. James misses 3-pt shot from 25 ft
2:37.0,,,66-68,,Offensive rebound by D. Wade
2:36.0,,,66-70,2,D. Wade makes 2-pt shot at rim
2:15.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by R. Hood),3,69-70,,
1:50.0,,,69-73,3,J. Green makes 3-pt shot from 26 ft (assist by L. James)
1:33.0,D. Mitchell misses 2-pt shot from 16 ft,,69-73,,
1:29.0,,,69-73,,Defensive rebound by C. Osman
1:16.0,,,69-75,2,K. Korver makes 2-pt shot from 1 ft (assist by L. James)
0:55.0,A. Burks misses 2-pt shot from 20 ft,,69-75,,
0:53.0,,,69-75,,Defensive rebound by L. James
0:44.0,,,69-78,3,C. Osman makes 3-pt shot from 22 ft (assist by L. James)
0:34.0,D. Mitchell makes 3-pt shot from 29 ft,3,72-78,,
0:26.0,,,72-78,,Turnover by D. Wade (lost ball; steal by J. Jerebko)
0:23.0,Shooting foul by J. Green (drawn by T. Sefolosha),,72-78,,
0:23.0,T. Sefolosha misses free throw 1 of 2,,72-78,,
0:23.0,Offensive rebound by Team,,72-78,,
0:23.0,T. Sefolosha makes free throw 2 of 2,1,73-78,,
0:09.0,Personal foul by D. Mitchell (drawn by D. Wade),,73-78,,
0:01.0,,,73-80,2,L. James makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,R. Hood misses 2-pt shot from 21 ft,,73-80,,
11:35.0,,,73-80,,Defensive rebound by J. Smith
11:27.0,,,73-80,,D. Wade misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by T. Sefolosha,,73-80,,
11:19.0,R. O'Neale misses 3-pt shot from 23 ft,,73-80,,
11:19.0,Offensive rebound by T. Sefolosha,,73-80,,
11:18.0,T. Sefolosha misses 2-pt shot at rim,,73-80,,
11:18.0,Offensive rebound by T. Sefolosha,,73-80,,
11:18.0,T. Sefolosha misses 2-pt shot at rim,,73-80,,
11:17.0,,,73-80,,Defensive rebound by J. Green
10:56.0,,,73-80,,D. Wade misses 2-pt shot from 12 ft
10:55.0,Defensive rebound by R. O'Neale,,73-80,,
10:47.0,R. Hood misses 2-pt shot from 9 ft,,73-80,,
10:42.0,Offensive rebound by J. Jerebko,,73-80,,
10:42.0,J. Jerebko misses 2-pt shot at rim,,73-80,,
10:41.0,,,73-80,,Defensive rebound by K. Korver
10:30.0,,,73-83,3,K. Korver makes 3-pt shot from 27 ft (assist by J. Green)
10:16.0,,,73-83,,Personal foul by K. Korver (drawn by T. Sefolosha)
10:06.0,J. Jerebko misses 2-pt shot at rim,,73-83,,
10:06.0,Offensive rebound by J. Jerebko,,73-83,,
10:03.0,J. Jerebko misses 2-pt shot at rim,,73-83,,
10:03.0,Offensive rebound by J. Jerebko,,73-83,,
10:02.0,J. Jerebko makes 2-pt shot at rim,2,75-83,,
9:46.0,,,75-83,,Offensive charge foul by J. Green (drawn by J. Jerebko)
9:46.0,,,75-83,,Turnover by J. Green (offensive foul)
9:27.0,R. O'Neale makes 3-pt shot from 22 ft (assist by R. Hood),3,78-83,,
9:11.0,,,78-86,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Green)
8:53.0,D. Mitchell makes 2-pt shot at rim,2,80-86,,
8:32.0,,,80-88,2,D. Wade makes 2-pt shot from 6 ft
8:32.0,,,80-88,,Shooting foul by R. Hood (drawn by D. Wade)
8:32.0,,,80-88,,L. James enters the game for J. Green
8:32.0,J. Ingles enters the game for R. Hood,,80-88,,
8:32.0,,,80-89,1,D. Wade makes free throw 1 of 1
8:17.0,R. O'Neale makes 3-pt shot from 22 ft (assist by J. Ingles),3,83-89,,
7:55.0,,,83-89,,C. Osman misses 2-pt shot from 3 ft (block by J. Jerebko)
7:55.0,,,83-89,,Offensive rebound by C. Osman
7:52.0,,,83-89,,D. Wade misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by J. Jerebko,,83-89,,
7:52.0,Turnover by J. Jerebko (out of bounds lost ball),,83-89,,
7:52.0,R. Rubio enters the game for J. Jerebko,,83-89,,
7:52.0,J. Johnson enters the game for T. Sefolosha,,83-89,,
7:52.0,E. Udoh enters the game for D. Mitchell,,83-89,,
7:46.0,,,83-89,,Offensive foul by C. Osman (drawn by J. Johnson)
7:46.0,,,83-89,,Turnover by C. Osman (offensive foul)
7:32.0,J. Ingles misses 3-pt shot from 27 ft,,83-89,,
7:30.0,,,83-89,,Defensive rebound by D. Wade
7:25.0,,,83-89,,K. Korver misses 3-pt shot from 25 ft
7:25.0,,,83-89,,Offensive rebound by C. Osman
7:20.0,,,83-91,2,C. Osman makes 2-pt shot from 1 ft
7:02.0,Turnover by R. O'Neale (bad pass),,83-91,,
6:43.0,,,83-91,,L. James misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by R. Rubio,,83-91,,
6:34.0,R. O'Neale makes 3-pt shot from 23 ft (assist by J. Ingles),3,86-91,,
6:14.0,,,86-94,3,C. Osman makes 3-pt shot from 22 ft (assist by D. Wade)
5:54.0,Turnover by R. O'Neale (bad pass),,86-94,,
5:54.0,,,86-94,,Cleveland full timeout
5:54.0,,,86-94,,K. Love enters the game for D. Wade
5:54.0,D. Mitchell enters the game for R. O'Neale,,86-94,,
5:46.0,,,86-94,,Shooting foul by J. Johnson (drawn by L. James)
5:46.0,,,86-95,1,L. James makes free throw 1 of 2
5:46.0,,,86-96,1,L. James makes free throw 2 of 2
5:24.0,J. Johnson makes 2-pt shot from 10 ft,2,88-96,,
5:10.0,,,88-96,,K. Korver misses 2-pt shot from 20 ft (block by E. Udoh)
5:10.0,Defensive rebound by D. Mitchell,,88-96,,
5:04.0,D. Mitchell makes 2-pt shot at rim,2,90-96,,
4:40.0,,,90-96,,Shooting foul by D. Mitchell (drawn by L. James)
4:40.0,,,90-97,1,L. James makes free throw 1 of 2
4:40.0,R. Hood enters the game for R. Rubio,,90-97,,
4:40.0,,,90-98,1,L. James makes free throw 2 of 2
4:29.0,D. Mitchell makes 2-pt shot from 1 ft,2,92-98,,
4:14.0,,,92-100,2,K. Love makes 2-pt shot from 1 ft (assist by K. Korver)
3:53.0,J. Johnson makes 2-pt shot from 10 ft (assist by J. Ingles),2,94-100,,
3:35.0,,,94-102,2,K. Korver makes 2-pt shot from 22 ft (assist by L. James)
3:24.0,D. Mitchell makes 3-pt shot from 25 ft,3,97-102,,
3:11.0,Personal foul by J. Ingles (drawn by K. Love),,97-102,,
3:02.0,,,97-104,2,L. James makes 2-pt shot from 1 ft (assist by K. Korver)
2:51.0,Utah full timeout,,97-104,,
2:48.0,Shooting foul by J. Smith (drawn by D. Mitchell),,97-104,,
2:48.0,D. Mitchell misses free throw 1 of 2,,97-104,,
2:48.0,Offensive rebound by Team,,97-104,,
2:48.0,D. Mitchell makes free throw 2 of 2,1,98-104,,
2:25.0,,,98-106,2,L. James makes 2-pt shot at rim
2:04.0,J. Johnson misses 3-pt shot from 23 ft,,98-106,,
2:01.0,,,98-106,,Defensive rebound by L. James
1:44.0,,,98-106,,Turnover by K. Korver (bad pass; steal by E. Udoh)
1:28.0,J. Johnson misses 2-pt shot from 1 ft,,98-106,,
1:26.0,Offensive rebound by D. Mitchell,,98-106,,
1:26.0,D. Mitchell makes 2-pt shot at rim,2,100-106,,
1:10.0,,,100-106,,L. James misses 2-pt shot from 17 ft
1:06.0,Defensive rebound by E. Udoh,,100-106,,
0:59.0,Turnover by D. Mitchell (lost ball; steal by C. Osman),,100-106,,
0:37.0,,,100-106,,Shooting foul by D. Mitchell (drawn by L. James)
0:37.0,,,100-107,1,L. James makes free throw 1 of 2
0:37.0,,,100-107,,J. Green enters the game for K. Love
0:37.0,,,100-108,1,L. James makes free throw 2 of 2
0:37.0,Utah full timeout,,100-108,,
0:30.0,R. Hood misses 3-pt shot from 24 ft,,100-108,,
0:28.0,,,100-108,,Defensive rebound by L. James
0:22.0,Personal foul by E. Udoh (drawn by J. Smith),,100-108,,
0:22.0,,,100-109,1,J. Smith makes free throw 1 of 2
0:22.0,,,100-109,,J. Smith misses free throw 2 of 2
0:19.0,,,100-109,,Offensive rebound by J. Smith
