time,Phoenix,pts.away,score,pts.home,Brooklyn
3:52.0,,,19-20,,T. Zeller misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by A. Len,,19-20,,
3:41.0,M. James makes 2-pt shot from 2 ft,2,21-20,,
3:23.0,,,21-20,,T. Booker misses 2-pt shot from 16 ft
3:20.0,Defensive rebound by D. Booker,,21-20,,
3:16.0,D. Booker misses 3-pt shot from 26 ft,,21-20,,
3:16.0,,,21-20,,Defensive rebound by A. Crabbe
3:06.0,,,21-20,,D. Carroll misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by A. Len,,21-20,,
2:53.0,J. Jackson makes 2-pt shot from 3 ft (assist by D. Bender),2,23-20,,
2:31.0,,,23-20,,T. Booker misses 2-pt shot from 7 ft
2:31.0,Defensive rebound by A. Len,,23-20,,
2:16.0,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker),3,26-20,,
2:02.0,,,26-22,2,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
1:50.0,Turnover by M. James (lost ball; steal by S. Dinwiddie),,26-22,,
1:45.0,,,26-22,,D. Carroll misses 2-pt shot from 2 ft (block by M. James)
1:41.0,Defensive rebound by A. Len,,26-22,,
1:38.0,D. Booker misses 3-pt shot from 24 ft,,26-22,,
1:38.0,,,26-22,,Defensive rebound by A. Crabbe
1:32.0,,,26-22,,Shooting foul by D. Bender (drawn by S. Dinwiddie)
1:32.0,,,26-23,1,S. Dinwiddie makes free throw 1 of 2
1:32.0,,,26-23,,J. Harris enters the game for D. Carroll
1:32.0,T. Ulis enters the game for M. James,,26-23,,
1:32.0,,,26-24,1,S. Dinwiddie makes free throw 2 of 2
1:32.0,T. Daniels enters the game for D. Booker,,26-24,,
1:11.0,J. Jackson misses 2-pt shot from 13 ft,,26-24,,
1:06.0,,,26-24,,Defensive rebound by J. Harris
0:56.0,,,26-24,,Turnover by S. Dinwiddie (bad pass)
0:37.0,T. Ulis makes 2-pt shot from 12 ft,2,28-24,,
0:25.0,,,28-24,,T. Booker misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by A. Len,,28-24,,
0:00.0,A. Len makes 2-pt shot from 6 ft (assist by T. Ulis),2,30-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,T. Daniels makes 2-pt shot from 19 ft (assist by D. Bender),2,32-24,,
11:25.0,,,32-26,2,T. Booker makes 2-pt shot from 2 ft (assist by C. LeVert)
11:14.0,D. Bender misses 3-pt shot from 25 ft,,32-26,,
11:14.0,,,32-26,,Defensive rebound by J. Harris
11:00.0,,,32-26,,T. Mozgov misses 2-pt shot from 1 ft (block by D. Bender)
11:00.0,Defensive rebound by T. Ulis,,32-26,,
10:52.0,T. Ulis makes 2-pt shot from 9 ft,2,34-26,,
10:41.0,,,34-26,,J. Harris misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by T. Ulis,,34-26,,
10:31.0,Turnover by T. Ulis (bad pass; steal by S. Dinwiddie),,34-26,,
10:25.0,,,34-28,2,C. LeVert makes 2-pt shot from 18 ft (assist by S. Dinwiddie)
10:08.0,J. Jackson misses 2-pt shot from 1 ft,,34-28,,
10:08.0,,,34-28,,Defensive rebound by T. Booker
9:56.0,,,34-28,,S. Dinwiddie misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by J. Jackson,,34-28,,
9:49.0,J. Jackson makes 2-pt shot from 9 ft,2,36-28,,
9:35.0,,,36-28,,J. Harris misses 2-pt shot from 13 ft
9:35.0,Defensive rebound by A. Len,,36-28,,
9:27.0,T. Ulis misses 2-pt shot from 13 ft,,36-28,,
9:27.0,,,36-28,,Defensive rebound by T. Mozgov
9:06.0,,,36-31,3,S. Dinwiddie makes 3-pt shot from 27 ft
8:50.0,,,36-31,,Personal foul by S. Dinwiddie (drawn by T. Ulis)
8:50.0,,,36-31,,A. Crabbe enters the game for J. Harris
8:50.0,T. Chandler enters the game for A. Len,,36-31,,
8:50.0,M. Chriss enters the game for D. Bender,,36-31,,
8:45.0,J. Jackson makes 2-pt shot from 3 ft (assist by T. Ulis),2,38-31,,
8:26.0,,,38-31,,C. LeVert misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by T. Daniels,,38-31,,
8:13.0,T. Daniels misses 3-pt shot from 24 ft,,38-31,,
8:11.0,,,38-31,,Defensive rebound by A. Crabbe
8:02.0,,,38-31,,T. Mozgov misses 3-pt shot from 22 ft
7:59.0,Defensive rebound by J. Jackson,,38-31,,
7:52.0,J. Jackson misses 3-pt shot from 24 ft,,38-31,,
7:49.0,,,38-31,,Defensive rebound by T. Mozgov
7:37.0,,,38-31,,T. Mozgov misses 2-pt shot from 5 ft
7:35.0,Defensive rebound by T. Chandler,,38-31,,
7:32.0,,,38-31,,Personal foul by T. Mozgov (drawn by T. Ulis)
7:32.0,,,38-31,,D. Russell enters the game for T. Mozgov
7:32.0,,,38-31,,R. Hollis-Jefferson enters the game for C. LeVert
7:32.0,T. Warren enters the game for J. Jackson,,38-31,,
7:24.0,T. Ulis makes 2-pt shot from 3 ft,2,40-31,,
7:24.0,Shooting foul by S. Dinwiddie (drawn by T. Ulis),,40-31,,
7:24.0,,,40-31,,C. LeVert enters the game for S. Dinwiddie
7:24.0,T. Ulis makes free throw 1 of 1,1,41-31,,
7:16.0,,,41-31,,A. Crabbe misses 3-pt shot from 25 ft
7:12.0,,,41-31,,Offensive rebound by R. Hollis-Jefferson
7:08.0,Personal foul by M. Chriss (drawn by D. Russell),,41-31,,
7:01.0,,,41-31,,D. Russell misses 2-pt shot from 16 ft
6:58.0,Defensive rebound by M. Chriss,,41-31,,
6:57.0,Turnover by T. Ulis (out of bounds lost ball),,41-31,,
6:57.0,,,41-31,,Brooklyn full timeout
6:57.0,D. Booker enters the game for T. Daniels,,41-31,,
6:43.0,,,41-31,,R. Hollis-Jefferson misses 2-pt shot from 13 ft
6:40.0,Defensive rebound by M. Chriss,,41-31,,
6:31.0,Offensive foul by T. Chandler (drawn by C. LeVert),,41-31,,
6:31.0,Turnover by T. Chandler (offensive foul),,41-31,,
6:12.0,,,41-31,,T. Booker misses 2-pt shot from 6 ft
6:08.0,Defensive rebound by D. Booker,,41-31,,
6:05.0,Turnover by D. Booker (bad pass),,41-31,,
5:53.0,,,41-31,,C. LeVert misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by T. Chandler,,41-31,,
5:29.0,,,41-31,,D. Carroll enters the game for T. Booker
5:29.0,A. Len enters the game for T. Chandler,,41-31,,
5:27.0,A. Len misses 2-pt shot from 4 ft,,41-31,,
5:25.0,,,41-31,,Defensive rebound by D. Carroll
5:21.0,,,41-34,3,C. LeVert makes 3-pt shot from 22 ft (assist by D. Carroll)
5:02.0,D. Booker misses 2-pt shot from 5 ft,,41-34,,
4:58.0,,,41-34,,Defensive rebound by D. Russell
4:56.0,,,41-34,,Shooting foul by T. Warren (drawn by C. LeVert)
4:56.0,,,41-34,,C. LeVert misses free throw 1 of 2
4:56.0,,,41-34,,Offensive rebound by Team
4:56.0,,,41-35,1,C. LeVert makes free throw 2 of 2
4:34.0,T. Ulis misses 2-pt shot from 19 ft,,41-35,,
4:29.0,,,41-35,,Defensive rebound by C. LeVert
4:22.0,,,41-35,,D. Carroll misses 2-pt shot from 11 ft
4:18.0,Defensive rebound by A. Len,,41-35,,
4:17.0,Phoenix full timeout,,41-35,,
4:17.0,,,41-35,,J. Harris enters the game for C. LeVert
4:06.0,D. Booker misses 2-pt shot from 13 ft,,41-35,,
4:03.0,,,41-35,,Defensive rebound by D. Russell
3:58.0,,,41-35,,A. Crabbe misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by T. Warren,,41-35,,
3:47.0,Shooting foul by D. Carroll (drawn by M. Chriss),,41-35,,
3:47.0,M. Chriss makes free throw 1 of 2,1,42-35,,
3:47.0,M. James enters the game for T. Ulis,,42-35,,
3:47.0,M. Chriss misses free throw 2 of 2,,42-35,,
3:43.0,Offensive rebound by A. Len,,42-35,,
3:41.0,A. Len misses 2-pt shot from 1 ft,,42-35,,
3:39.0,,,42-35,,Defensive rebound by D. Russell
3:35.0,,,42-37,2,D. Russell makes 2-pt shot from 11 ft
3:17.0,M. Chriss misses 3-pt shot from 24 ft,,42-37,,
3:13.0,,,42-37,,Defensive rebound by D. Carroll
3:09.0,,,42-37,,D. Carroll misses 3-pt shot from 25 ft
3:09.0,,,42-37,,Offensive rebound by D. Russell
3:01.0,,,42-39,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by D. Russell)
2:44.0,D. Booker makes 2-pt shot from 1 ft (assist by M. Chriss),2,44-39,,
2:21.0,Personal foul by T. Warren (drawn by R. Hollis-Jefferson),,44-39,,
2:21.0,D. Bender enters the game for M. Chriss,,44-39,,
2:21.0,J. Jackson enters the game for T. Warren,,44-39,,
2:19.0,Personal foul by M. James (drawn by D. Russell),,44-39,,
2:19.0,,,44-40,1,D. Russell makes free throw 2 of 2
2:19.0,,,44-40,,D. Russell misses free throw 1 of 2
2:19.0,,,44-40,,Offensive rebound by Team
2:11.0,,,44-40,,Personal foul by A. Crabbe (drawn by D. Booker)
2:11.0,D. Booker makes free throw 1 of 2,1,45-40,,
2:11.0,D. Booker makes free throw 2 of 2,1,46-40,,
1:47.0,,,46-42,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Russell)
1:27.0,D. Bender makes 2-pt shot from 3 ft (assist by D. Booker),2,48-42,,
1:20.0,,,48-42,,Shooting foul by D. Bender (drawn by D. Russell)
1:20.0,,,48-43,1,D. Russell makes free throw 1 of 2
1:20.0,,,48-43,,S. Dinwiddie enters the game for J. Harris
1:20.0,,,48-44,1,D. Russell makes free throw 2 of 2
1:09.0,J. Jackson misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,48-44,,
1:09.0,,,48-44,,Defensive rebound by D. Russell
1:09.0,Personal foul by J. Jackson (drawn by D. Russell),,48-44,,
1:09.0,,,48-45,1,D. Russell makes free throw 1 of 2
1:09.0,,,48-45,,D. Russell misses free throw 2 of 2
1:05.0,Defensive rebound by D. Booker,,48-45,,
1:04.0,D. Booker makes 2-pt shot from 1 ft,2,50-45,,
1:04.0,Shooting foul by S. Dinwiddie (drawn by D. Booker),,50-45,,
1:04.0,,,50-45,,J. Harris enters the game for S. Dinwiddie
1:04.0,D. Booker makes free throw 1 of 1,1,51-45,,
0:57.0,,,51-47,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell)
0:57.0,,,51-47,,Shooting foul by A. Len (drawn by R. Hollis-Jefferson)
0:57.0,,,51-48,1,R. Hollis-Jefferson makes free throw 1 of 1
0:45.0,D. Booker makes 3-pt shot from 26 ft (assist by M. James),3,54-48,,
0:40.0,,,54-51,3,D. Russell makes 3-pt shot from 26 ft
0:31.0,D. Booker makes 2-pt shot from 16 ft,2,56-51,,
0:08.0,,,56-53,2,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell)
0:00.0,Shooting foul by D. Russell (drawn by M. James),,56-53,,
0:00.0,M. James makes free throw 1 of 3,1,57-53,,
0:00.0,M. James makes free throw 2 of 3,1,58-53,,
0:00.0,,,58-53,,T. Mozgov enters the game for D. Carroll
0:00.0,M. James makes free throw 3 of 3,1,59-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,T. Warren misses 2-pt shot from 9 ft,,59-53,,
11:45.0,Offensive rebound by T. Warren,,59-53,,
11:43.0,T. Warren makes 2-pt shot from 3 ft,2,61-53,,
11:35.0,,,61-53,,D. Russell misses 2-pt shot from 12 ft
11:35.0,Defensive rebound by M. Chriss,,61-53,,
11:31.0,Turnover by M. Chriss (bad pass),,61-53,,
11:17.0,,,61-53,,Turnover by C. LeVert (bad pass; steal by M. James)
11:10.0,T. Warren misses 2-pt shot from 1 ft,,61-53,,
11:07.0,,,61-53,,Defensive rebound by T. Mozgov
10:59.0,Personal foul by T. Warren (drawn by T. Mozgov),,61-53,,
10:52.0,,,61-53,,Shooting foul by T. Warren (drawn by D. Russell)
10:52.0,,,61-54,1,D. Russell makes free throw 1 of 2
10:52.0,,,61-55,1,D. Russell makes free throw 2 of 2
10:37.0,D. Booker makes 3-pt shot from 25 ft,3,64-55,,
10:26.0,,,64-55,,Shooting foul by M. Chriss (drawn by R. Hollis-Jefferson)
10:26.0,,,64-56,1,R. Hollis-Jefferson makes free throw 1 of 2
10:26.0,D. Bender enters the game for M. Chriss,,64-56,,
10:26.0,,,64-57,1,R. Hollis-Jefferson makes free throw 2 of 2
10:19.0,D. Booker misses 2-pt shot from 19 ft,,64-57,,
10:15.0,,,64-57,,Defensive rebound by R. Hollis-Jefferson
10:08.0,,,64-59,2,D. Russell makes 2-pt shot from 20 ft
9:57.0,D. Bender misses 2-pt shot from 6 ft (block by R. Hollis-Jefferson),,64-59,,
9:57.0,Offensive rebound by Team,,64-59,,
9:51.0,T. Warren makes 2-pt shot from 14 ft (assist by D. Bender),2,66-59,,
9:38.0,,,66-59,,C. LeVert misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by T. Chandler,,66-59,,
9:29.0,M. James misses 2-pt shot from 1 ft,,66-59,,
9:29.0,Offensive rebound by T. Chandler,,66-59,,
9:27.0,T. Chandler makes 2-pt shot from 2 ft,2,68-59,,
9:27.0,,,68-59,,Brooklyn full timeout
9:13.0,,,68-59,,Shooting foul by T. Chandler (drawn by R. Hollis-Jefferson)
9:13.0,,,68-60,1,R. Hollis-Jefferson makes free throw 1 of 2
9:13.0,,,68-61,1,R. Hollis-Jefferson makes free throw 2 of 2
9:02.0,T. Warren makes 2-pt shot from 14 ft,2,70-61,,
8:53.0,Personal foul by T. Warren (drawn by D. Carroll),,70-61,,
8:53.0,,,70-61,,D. Carroll misses free throw 1 of 2
8:53.0,,,70-61,,Offensive rebound by Team
8:53.0,J. Jackson enters the game for T. Warren,,70-61,,
8:53.0,,,70-61,,D. Carroll misses free throw 2 of 2
8:51.0,Defensive rebound by J. Jackson,,70-61,,
8:46.0,M. James makes 3-pt shot from 22 ft (assist by J. Jackson),3,73-61,,
8:29.0,,,73-61,,T. Mozgov misses 3-pt shot from 22 ft
8:29.0,Defensive rebound by D. Booker,,73-61,,
8:17.0,M. James misses 2-pt shot from 20 ft,,73-61,,
8:13.0,,,73-61,,Defensive rebound by R. Hollis-Jefferson
8:07.0,,,73-61,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
8:04.0,Defensive rebound by T. Chandler,,73-61,,
8:00.0,D. Booker makes 3-pt shot from 24 ft,3,76-61,,
7:42.0,,,76-63,2,D. Russell makes 2-pt shot from 15 ft
7:42.0,,,76-63,,Shooting foul by D. Booker (drawn by D. Russell)
7:42.0,,,76-63,,T. Zeller enters the game for T. Mozgov
7:42.0,,,76-64,1,D. Russell makes free throw 1 of 1
7:34.0,,,76-64,,Personal foul by D. Carroll (drawn by J. Jackson)
7:25.0,T. Chandler misses 2-pt shot from 2 ft,,76-64,,
7:25.0,Offensive rebound by T. Chandler,,76-64,,
7:25.0,T. Chandler misses 2-pt shot from 2 ft,,76-64,,
7:25.0,Offensive rebound by Team,,76-64,,
7:25.0,,,76-64,,Loose ball foul by T. Zeller (drawn by T. Chandler)
7:12.0,J. Jackson misses 2-pt shot from 12 ft (block by D. Carroll),,76-64,,
7:08.0,,,76-64,,Defensive rebound by D. Carroll
6:57.0,,,76-64,,R. Hollis-Jefferson misses 2-pt shot at rim
6:56.0,Defensive rebound by T. Chandler,,76-64,,
6:56.0,Offensive foul by T. Chandler (drawn by D. Russell),,76-64,,
6:56.0,Turnover by T. Chandler (offensive foul),,76-64,,
6:56.0,A. Len enters the game for T. Chandler,,76-64,,
6:47.0,,,76-64,,T. Zeller misses 3-pt shot from 23 ft
6:41.0,Defensive rebound by D. Bender,,76-64,,
6:33.0,D. Booker makes 3-pt shot from 25 ft,3,79-64,,
6:25.0,Personal foul by J. Jackson (drawn by D. Carroll),,79-64,,
6:25.0,,,79-65,1,D. Carroll makes free throw 1 of 2
6:25.0,,,79-65,,A. Crabbe enters the game for C. LeVert
6:25.0,,,79-65,,D. Carroll misses free throw 2 of 2
6:22.0,Defensive rebound by D. Bender,,79-65,,
6:12.0,J. Jackson misses 2-pt shot from 9 ft,,79-65,,
6:07.0,Offensive rebound by A. Len,,79-65,,
6:06.0,J. Jackson makes 2-pt shot at rim,2,81-65,,
5:57.0,,,81-65,,D. Russell misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by A. Len,,81-65,,
5:48.0,D. Booker makes 2-pt shot from 18 ft,2,83-65,,
5:32.0,,,83-65,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by M. James,,83-65,,
5:25.0,M. James misses 2-pt shot from 1 ft,,83-65,,
5:25.0,,,83-65,,Defensive rebound by T. Zeller
5:19.0,,,83-67,2,D. Russell makes 2-pt shot from 1 ft
5:19.0,Turnover by A. Len (bad pass; steal by D. Carroll),,83-67,,
5:18.0,,,83-67,,D. Carroll misses 2-pt shot from 1 ft
5:16.0,Defensive rebound by D. Booker,,83-67,,
5:05.0,Turnover by D. Booker (bad pass; steal by D. Carroll),,83-67,,
5:04.0,Personal foul by A. Len (drawn by D. Carroll),,83-67,,
5:04.0,,,83-68,1,D. Carroll makes free throw 1 of 2
5:04.0,,,83-68,,T. Booker enters the game for R. Hollis-Jefferson
5:04.0,,,83-69,1,D. Carroll makes free throw 2 of 2
5:04.0,,,83-69,,S. Dinwiddie enters the game for D. Russell
4:51.0,D. Booker misses 2-pt shot from 14 ft,,83-69,,
4:49.0,,,83-69,,Defensive rebound by D. Carroll
4:43.0,,,83-71,2,D. Carroll makes 2-pt shot from 19 ft
4:43.0,Phoenix full timeout,,83-71,,
4:43.0,,,83-71,,J. Harris enters the game for D. Carroll
4:43.0,T. Ulis enters the game for M. James,,83-71,,
4:28.0,D. Booker misses 2-pt shot from 19 ft,,83-71,,
4:24.0,,,83-71,,Defensive rebound by A. Crabbe
4:19.0,,,83-71,,A. Crabbe misses 2-pt shot from 20 ft
4:19.0,Defensive rebound by J. Jackson,,83-71,,
4:07.0,J. Jackson misses 2-pt shot from 8 ft,,83-71,,
4:07.0,,,83-71,,Defensive rebound by T. Zeller
3:58.0,,,83-73,2,T. Zeller makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
3:41.0,T. Ulis misses 2-pt shot from 22 ft,,83-73,,
3:41.0,,,83-73,,Defensive rebound by A. Crabbe
3:32.0,,,83-75,2,S. Dinwiddie makes 2-pt shot at rim
3:10.0,D. Bender misses 3-pt shot from 25 ft,,83-75,,
3:10.0,,,83-75,,Defensive rebound by J. Harris
2:58.0,,,83-78,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
2:58.0,Phoenix full timeout,,83-78,,
2:42.0,J. Jackson misses 2-pt shot from 9 ft,,83-78,,
2:40.0,,,83-78,,Defensive rebound by T. Booker
2:29.0,,,83-80,2,A. Crabbe makes 2-pt shot from 17 ft
2:18.0,,,83-80,,Personal foul by T. Zeller (drawn by D. Booker)
2:18.0,M. Chriss enters the game for D. Bender,,83-80,,
2:14.0,D. Booker misses 3-pt shot from 26 ft,,83-80,,
2:12.0,,,83-80,,Defensive rebound by Team
2:05.0,,,83-80,,A. Crabbe misses 3-pt shot from 24 ft
2:05.0,,,83-80,,Offensive rebound by T. Booker
1:59.0,,,83-82,2,T. Booker makes 2-pt shot from 2 ft
1:47.0,T. Daniels enters the game for D. Booker,,83-82,,
1:43.0,T. Daniels makes 2-pt shot from 17 ft (assist by M. Chriss),2,85-82,,
1:37.0,Jump ball: T. Ulis vs.,,,,Jump ball: T. Ulis vs.
1:21.0,,,85-85,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by J. Harris)
1:14.0,Turnover by T. Ulis (bad pass),,85-85,,
1:09.0,,,85-88,3,S. Dinwiddie makes 3-pt shot from 25 ft
0:50.0,Offensive charge foul by J. Jackson (drawn by T. Zeller),,85-88,,
0:50.0,Turnover by J. Jackson (offensive foul),,85-88,,
0:32.0,,,85-88,,T. Booker misses 2-pt shot from 8 ft
0:30.0,Defensive rebound by M. Chriss,,85-88,,
0:23.0,T. Ulis makes 2-pt shot from 16 ft,2,87-88,,
0:02.0,,,87-88,,S. Dinwiddie misses 2-pt shot from 16 ft
0:02.0,,,87-88,,Offensive rebound by T. Zeller
0:00.0,,,87-88,,T. Zeller misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by A. Len,,87-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,87-88,,A. Crabbe misses 3-pt shot from 22 ft
11:45.0,,,87-88,,Offensive rebound by J. Harris
11:45.0,,,87-90,2,J. Harris makes 2-pt shot from 2 ft
11:45.0,,,87-90,,Shooting foul by M. Chriss (drawn by J. Harris)
11:45.0,,,87-90,,J. Harris misses free throw 1 of 1
11:42.0,Defensive rebound by A. Len,,87-90,,
11:36.0,,,87-90,,Personal foul by J. Harris (drawn by T. Daniels)
11:29.0,T. Ulis misses 2-pt shot from 11 ft,,87-90,,
11:26.0,,,87-90,,Defensive rebound by T. Booker
11:08.0,,,87-90,,S. Dinwiddie misses 2-pt shot from 12 ft
11:08.0,Defensive rebound by M. Chriss,,87-90,,
11:02.0,Shooting foul by A. Crabbe (drawn by A. Len),,87-90,,
11:02.0,A. Len makes free throw 1 of 2,1,88-90,,
11:02.0,,,88-90,,C. LeVert enters the game for A. Crabbe
11:02.0,A. Len makes free throw 2 of 2,1,89-90,,
10:53.0,,,89-90,,J. Harris misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by J. Jackson,,89-90,,
10:52.0,,,89-90,,Personal foul by T. Booker (drawn by J. Jackson)
10:36.0,J. Jackson misses 3-pt shot from 25 ft,,89-90,,
10:32.0,,,89-90,,Defensive rebound by T. Zeller
10:25.0,,,89-92,2,C. LeVert makes 2-pt shot from 2 ft
10:25.0,,,89-92,,Shooting foul by A. Len (drawn by C. LeVert)
10:25.0,,,89-93,1,C. LeVert makes free throw 1 of 1
10:10.0,Shooting foul by T. Booker (drawn by M. Chriss),,89-93,,
10:10.0,M. Chriss makes free throw 1 of 2,1,90-93,,
10:10.0,M. Chriss makes free throw 2 of 2,1,91-93,,
