time,LA Lakers,pts.away,score,pts.home,Houston
7:04.0,,,16-15,,J. Harden misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by J. Randle,,16-15,,
6:59.0,J. Randle makes 2-pt shot from 1 ft,2,18-15,,
6:35.0,,,18-18,3,T. Ariza makes 3-pt shot from 22 ft (assist by C. Paul)
6:24.0,J. Randle makes 2-pt shot at rim (assist by T. Ennis),2,20-18,,
6:06.0,,,20-18,,Shooting foul by J. Hart (drawn by J. Harden)
6:06.0,,,20-18,,Houston full timeout
6:06.0,,,20-18,,P. Tucker enters the game for C. Paul
6:06.0,,,20-18,,E. Gordon enters the game for R. Anderson
6:06.0,C. Brewer enters the game for J. Hart,,20-18,,
6:06.0,,,20-19,1,J. Harden makes free throw 1 of 3
6:06.0,,,20-20,1,J. Harden makes free throw 2 of 3
6:06.0,,,20-21,1,J. Harden makes free throw 3 of 3
5:58.0,T. Ennis misses 2-pt shot from 11 ft,,20-21,,
5:55.0,Offensive rebound by C. Brewer,,20-21,,
5:46.0,K. Kuzma misses 2-pt shot from 9 ft,,20-21,,
5:44.0,,,20-21,,Defensive rebound by C. Capela
5:39.0,,,20-21,,T. Ariza misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by T. Ennis,,20-21,,
5:31.0,J. Randle makes 2-pt shot from 3 ft (assist by T. Ennis),2,22-21,,
5:20.0,Def 3 sec tech foul by J. Randle,,22-21,,
5:20.0,,,22-22,1,J. Harden makes technical free throw
5:15.0,,,22-24,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela)
5:03.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,24-24,,
4:52.0,,,24-24,,Offensive foul by E. Gordon (drawn by C. Brewer)
4:52.0,,,24-24,,Turnover by E. Gordon (offensive foul)
4:52.0,,,24-24,,N. Hilario enters the game for C. Capela
4:41.0,J. Randle misses 2-pt shot from 6 ft,,24-24,,
4:40.0,Offensive rebound by J. Randle,,24-24,,
4:37.0,J. Randle makes 2-pt shot from 2 ft,2,26-24,,
4:25.0,,,26-26,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
4:10.0,B. Ingram makes 2-pt shot at rim,2,28-26,,
3:57.0,,,28-28,2,E. Gordon makes 2-pt shot at rim (assist by N. Hilario)
3:57.0,LA Lakers full timeout,,28-28,,
3:57.0,L. Nance enters the game for T. Ennis,,28-28,,
3:57.0,J. Clarkson enters the game for J. Randle,,28-28,,
3:43.0,J. Clarkson misses 3-pt shot from 26 ft,,28-28,,
3:41.0,,,28-28,,Defensive rebound by Team
3:23.0,,,28-28,,J. Harden misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by K. Kuzma,,28-28,,
3:13.0,K. Kuzma misses 2-pt shot from 3 ft,,28-28,,
3:11.0,,,28-28,,Defensive rebound by N. Hilario
3:08.0,,,28-31,3,T. Ariza makes 3-pt shot from 26 ft
2:51.0,Turnover by B. Ingram (bad pass; steal by J. Harden),,28-31,,
2:47.0,,,28-33,2,N. Hilario makes 2-pt shot from 1 ft (assist by T. Ariza)
2:47.0,,,28-33,,Shooting foul by B. Ingram (drawn by N. Hilario)
2:47.0,,,28-33,,G. Green enters the game for T. Ariza
2:47.0,,,28-33,,N. Hilario misses free throw 1 of 1
2:45.0,Defensive rebound by K. Kuzma,,28-33,,
2:23.0,B. Ingram misses 2-pt shot from 12 ft,,28-33,,
2:21.0,,,28-33,,Defensive rebound by N. Hilario
2:13.0,,,28-35,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
2:04.0,C. Brewer makes 2-pt shot at rim (assist by L. Nance),2,30-35,,
1:53.0,,,30-37,2,E. Gordon makes 2-pt shot from 1 ft
1:40.0,J. Clarkson makes 2-pt shot from 2 ft,2,32-37,,
1:24.0,,,32-39,2,G. Green makes 2-pt shot from 13 ft (assist by J. Harden)
1:12.0,Shooting foul by G. Green (drawn by J. Clarkson),,32-39,,
1:12.0,J. Clarkson makes free throw 1 of 2,1,33-39,,
1:12.0,,,33-39,,C. Paul enters the game for J. Harden
1:12.0,A. Caruso enters the game for B. Ingram,,33-39,,
1:12.0,J. Clarkson makes free throw 2 of 2,1,34-39,,
1:02.0,,,34-42,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
0:43.0,,,34-42,,Personal foul by G. Green (drawn by L. Nance)
0:43.0,L. Nance misses free throw 1 of 2,,34-42,,
0:43.0,Offensive rebound by Team,,34-42,,
0:43.0,L. Nance makes free throw 2 of 2,1,35-42,,
0:33.0,,,35-44,2,N. Hilario makes 2-pt shot at rim (assist by C. Paul)
0:13.0,Shooting foul by N. Hilario (drawn by K. Kuzma),,35-44,,
0:13.0,K. Kuzma makes free throw 1 of 2,1,36-44,,
0:13.0,K. Kuzma makes free throw 2 of 2,1,37-44,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,J. Clarkson misses 2-pt shot from 2 ft,,37-44,,
11:46.0,,,37-44,,Defensive rebound by P. Tucker
11:44.0,,,37-44,,G. Green misses 3-pt shot from 22 ft
11:44.0,Defensive rebound by C. Brewer,,37-44,,
11:38.0,A. Caruso makes 2-pt shot at rim (assist by C. Brewer),2,39-44,,
11:38.0,Shooting foul by P. Tucker (drawn by A. Caruso),,39-44,,
11:38.0,A. Caruso misses free throw 1 of 1,,39-44,,
11:36.0,,,39-44,,Defensive rebound by P. Tucker
11:18.0,,,39-44,,E. Gordon misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by L. Nance,,39-44,,
11:02.0,L. Nance misses 2-pt shot from 18 ft,,39-44,,
10:59.0,,,39-44,,Defensive rebound by G. Green
10:53.0,,,39-44,,Shooting foul by A. Caruso (drawn by E. Gordon)
10:53.0,,,39-45,1,E. Gordon makes free throw 1 of 2
10:53.0,,,39-45,,C. Capela enters the game for P. Tucker
10:53.0,,,39-45,,R. Anderson enters the game for N. Hilario
10:53.0,,,39-46,1,E. Gordon makes free throw 2 of 2
10:39.0,L. Nance misses 2-pt shot from 1 ft (block by C. Capela),,39-46,,
10:36.0,,,39-46,,Defensive rebound by G. Green
10:34.0,,,39-46,,E. Gordon misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by A. Bogut,,39-46,,
10:24.0,C. Brewer misses 2-pt shot from 11 ft,,39-46,,
10:24.0,Offensive rebound by Team,,39-46,,
10:24.0,,,39-46,,Loose ball foul by C. Paul (drawn by L. Nance)
10:22.0,A. Caruso makes 2-pt shot from 1 ft (assist by C. Brewer),2,41-46,,
10:12.0,,,41-46,,R. Anderson misses 3-pt shot from 26 ft
10:10.0,Defensive rebound by A. Bogut,,41-46,,
9:48.0,A. Caruso misses 2-pt shot from 21 ft,,41-46,,
9:42.0,Offensive rebound by A. Bogut,,41-46,,
9:42.0,A. Bogut makes 2-pt shot at rim,2,43-46,,
9:30.0,,,43-48,2,C. Paul makes 2-pt shot from 14 ft (assist by C. Capela)
9:30.0,,,43-48,,Shooting foul by A. Caruso (drawn by C. Paul)
9:30.0,,,43-49,1,C. Paul makes free throw 1 of 1
9:18.0,L. Nance misses 2-pt shot from 12 ft,,43-49,,
9:16.0,Offensive rebound by A. Bogut,,43-49,,
9:16.0,A. Bogut makes 2-pt shot at rim,2,45-49,,
9:08.0,,,45-49,,C. Paul misses 3-pt shot from 25 ft
9:04.0,,,45-49,,Offensive rebound by R. Anderson
9:02.0,Personal foul by A. Bogut (drawn by G. Green),,45-49,,
8:53.0,,,45-51,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
8:36.0,J. Clarkson misses 2-pt shot from 14 ft,,45-51,,
8:33.0,Offensive rebound by A. Bogut,,45-51,,
8:33.0,A. Bogut makes 2-pt shot at rim,2,47-51,,
8:14.0,Personal foul by A. Caruso (drawn by C. Capela),,47-51,,
8:06.0,,,47-51,,Turnover by C. Paul (lost ball; steal by J. Clarkson)
8:02.0,C. Brewer makes 2-pt shot at rim (assist by J. Clarkson),2,49-51,,
7:49.0,,,49-51,,Turnover by E. Gordon (lost ball; steal by J. Clarkson)
7:32.0,J. Clarkson makes 2-pt shot from 7 ft,2,51-51,,
7:31.0,,,51-51,,Houston full timeout
7:31.0,,,51-51,,J. Harden enters the game for E. Gordon
7:31.0,,,51-51,,T. Ariza enters the game for G. Green
7:31.0,T. Ennis enters the game for A. Caruso,,51-51,,
7:21.0,,,51-51,,Offensive foul by C. Capela (drawn by T. Ennis)
7:21.0,,,51-51,,Turnover by C. Capela (offensive foul)
7:10.0,Turnover by T. Ennis (bad pass; steal by T. Ariza),,51-51,,
7:00.0,,,51-53,2,J. Harden makes 2-pt shot from 4 ft
6:43.0,Turnover by J. Clarkson (bad pass; steal by R. Anderson),,51-53,,
6:37.0,,,51-53,,T. Ariza misses 3-pt shot from 22 ft
6:33.0,Defensive rebound by C. Brewer,,51-53,,
6:13.0,C. Brewer makes 3-pt shot from 25 ft (assist by T. Ennis),3,54-53,,
6:03.0,Personal foul by T. Ennis (drawn by C. Paul),,54-53,,
6:03.0,,,54-54,1,C. Paul makes free throw 1 of 2
6:03.0,K. Kuzma enters the game for C. Brewer,,54-54,,
6:03.0,B. Ingram enters the game for L. Nance,,54-54,,
6:03.0,J. Randle enters the game for A. Bogut,,54-54,,
6:03.0,,,54-55,1,C. Paul makes free throw 2 of 2
5:52.0,K. Kuzma misses 2-pt shot from 12 ft,,54-55,,
5:50.0,,,54-55,,Defensive rebound by R. Anderson
5:43.0,,,54-58,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
5:14.0,T. Ennis makes 2-pt shot at rim,2,56-58,,
5:07.0,,,56-60,2,C. Paul makes 2-pt shot from 1 ft
4:55.0,Shooting foul by J. Harden (drawn by K. Kuzma),,56-60,,
4:55.0,K. Kuzma makes free throw 2 of 2,1,57-60,,
4:55.0,K. Kuzma makes free throw 1 of 2,1,58-60,,
4:55.0,,,58-60,,E. Gordon enters the game for C. Paul
4:55.0,,,58-60,,P. Tucker enters the game for R. Anderson
4:55.0,J. Hart enters the game for J. Clarkson,,58-60,,
4:42.0,,,58-60,,E. Gordon misses 3-pt shot from 26 ft
4:40.0,,,58-60,,Offensive rebound by C. Capela
4:36.0,,,58-60,,J. Harden misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by T. Ennis,,58-60,,
4:27.0,J. Randle makes 2-pt shot from 1 ft,2,60-60,,
4:13.0,,,60-60,,Turnover by J. Harden (bad pass; steal by T. Ennis)
4:08.0,J. Hart makes 2-pt shot at rim (assist by K. Kuzma),2,62-60,,
3:45.0,,,62-60,,E. Gordon misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by J. Randle,,62-60,,
3:38.0,K. Kuzma misses 2-pt shot from 12 ft,,62-60,,
3:38.0,Offensive rebound by Team,,62-60,,
3:38.0,,,62-60,,R. Anderson enters the game for C. Capela
3:35.0,K. Kuzma makes 3-pt shot from 22 ft (assist by T. Ennis),3,65-60,,
3:21.0,,,65-60,,P. Tucker misses 3-pt shot from 22 ft
3:19.0,Defensive rebound by B. Ingram,,65-60,,
3:09.0,K. Kuzma misses 2-pt shot from 10 ft,,65-60,,
3:09.0,Offensive rebound by Team,,65-60,,
3:06.0,B. Ingram makes 2-pt shot from 19 ft (assist by T. Ennis),2,67-60,,
2:51.0,,,67-60,,J. Harden misses 2-pt shot from 2 ft (block by J. Randle)
2:49.0,Defensive rebound by J. Hart,,67-60,,
2:47.0,Offensive charge foul by J. Randle (drawn by R. Anderson),,67-60,,
2:47.0,Turnover by J. Randle (offensive foul),,67-60,,
2:47.0,LA Lakers full timeout,,67-60,,
2:32.0,,,67-60,,R. Anderson misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by J. Randle,,67-60,,
2:12.0,,,67-60,,Personal foul by R. Anderson (drawn by J. Randle)
2:06.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,69-60,,
1:54.0,,,69-60,,Shooting foul by J. Hart (drawn by J. Harden)
1:54.0,Technical foul by J. Hart,,69-60,,
1:54.0,,,69-60,,J. Harden misses technical free throw
1:54.0,,,69-60,,Offensive rebound by Team
1:54.0,J. Clarkson enters the game for J. Hart,,69-60,,
1:54.0,,,69-61,1,J. Harden makes free throw 1 of 3
1:54.0,,,69-62,1,J. Harden makes free throw 2 of 3
1:54.0,,,69-63,1,J. Harden makes free throw 3 of 3
1:37.0,K. Kuzma makes 2-pt shot from 1 ft,2,71-63,,
1:15.0,,,71-65,2,T. Ariza makes 2-pt shot at rim (assist by P. Tucker)
0:54.0,,,71-65,,Personal foul by P. Tucker (drawn by J. Randle)
0:54.0,J. Randle misses free throw 1 of 2,,71-65,,
0:54.0,Offensive rebound by Team,,71-65,,
0:54.0,J. Randle makes free throw 2 of 2,1,72-65,,
0:44.0,,,72-65,,J. Harden misses 3-pt shot from 25 ft
0:43.0,,,72-65,,Offensive rebound by P. Tucker
0:33.0,,,72-65,,R. Anderson misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by B. Ingram,,72-65,,
0:07.0,J. Clarkson misses 2-pt shot from 13 ft,,72-65,,
0:07.0,Offensive rebound by Team,,72-65,,
0:06.0,Turnover by Team (shot clock),,72-65,,
0:00.0,,,72-65,,P. Tucker misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Randle,,72-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Hart makes 3-pt shot from 25 ft (assist by B. Ingram),3,75-65,,
11:21.0,,,75-65,,J. Harden misses 3-pt shot from 26 ft
11:18.0,,,75-65,,Offensive rebound by C. Capela
11:17.0,,,75-65,,C. Capela misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by B. Ingram,,75-65,,
11:07.0,Turnover by T. Ennis (step out of bounds),,75-65,,
10:59.0,,,75-65,,Turnover by C. Paul (lost ball; steal by T. Ennis)
10:53.0,J. Hart makes 2-pt shot at rim (assist by K. Kuzma),2,77-65,,
10:30.0,,,77-65,,J. Harden misses 2-pt shot from 12 ft
10:28.0,,,77-65,,Offensive rebound by R. Anderson
10:23.0,,,77-65,,C. Capela misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by Team,,77-65,,
10:23.0,,,77-65,,Loose ball foul by C. Capela (drawn by J. Hart)
10:05.0,K. Kuzma misses 2-pt shot from 16 ft,,77-65,,
10:05.0,,,77-65,,Defensive rebound by Team
10:05.0,Loose ball foul by J. Randle (drawn by T. Ariza),,77-65,,
9:53.0,Loose ball foul by K. Kuzma (drawn by R. Anderson),,77-65,,
9:53.0,,,77-65,,R. Anderson misses free throw 1 of 2
9:53.0,,,77-65,,Offensive rebound by Team
9:53.0,,,77-66,1,R. Anderson makes free throw 2 of 2
9:40.0,Shooting foul by C. Paul (drawn by T. Ennis),,77-66,,
9:40.0,T. Ennis makes free throw 1 of 2,1,78-66,,
9:40.0,T. Ennis misses free throw 2 of 2,,78-66,,
9:38.0,,,78-66,,Defensive rebound by T. Ariza
9:25.0,,,78-66,,C. Paul misses 3-pt shot from 23 ft
9:25.0,,,78-66,,Offensive rebound by C. Capela
9:18.0,,,78-66,,T. Ariza misses 2-pt shot from 23 ft
9:17.0,Defensive rebound by K. Kuzma,,78-66,,
9:05.0,T. Ennis makes 2-pt shot at rim,2,80-66,,
8:51.0,,,80-69,3,C. Paul makes 3-pt shot from 24 ft
8:34.0,J. Randle makes 2-pt shot from 1 ft (assist by T. Ennis),2,82-69,,
8:29.0,,,82-69,,Offensive foul by R. Anderson (drawn by T. Ennis)
8:29.0,,,82-69,,Turnover by R. Anderson (offensive foul)
8:14.0,J. Randle misses 2-pt shot from 6 ft,,82-69,,
8:12.0,,,82-69,,Defensive rebound by R. Anderson
8:05.0,,,82-71,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
7:47.0,B. Ingram misses 2-pt shot from 2 ft (block by C. Capela),,82-71,,
7:47.0,,,82-71,,Defensive rebound by J. Harden
7:41.0,,,82-71,,J. Harden misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by K. Kuzma,,82-71,,
7:34.0,J. Hart makes 2-pt shot at rim (assist by K. Kuzma),2,84-71,,
7:23.0,,,84-71,,Offensive foul by C. Capela (drawn by K. Kuzma)
7:23.0,,,84-71,,Turnover by C. Capela (offensive foul)
7:06.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Randle),3,87-71,,
6:49.0,,,87-71,,C. Paul misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by J. Hart,,87-71,,
6:42.0,T. Ennis misses 3-pt shot from 25 ft,,87-71,,
6:37.0,Offensive rebound by J. Randle,,87-71,,
6:36.0,,,87-71,,Houston full timeout
6:36.0,,,87-71,,E. Gordon enters the game for R. Anderson
6:36.0,,,87-71,,G. Green enters the game for C. Paul
6:35.0,,,87-71,,Personal foul by T. Ariza (drawn by B. Ingram)
6:34.0,Shooting foul by G. Green (drawn by J. Randle),,87-71,,
6:34.0,J. Randle misses free throw 1 of 2,,87-71,,
6:34.0,Offensive rebound by Team,,87-71,,
6:34.0,J. Randle makes free throw 2 of 2,1,88-71,,
6:23.0,,,88-73,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:11.0,K. Kuzma misses 2-pt shot from 2 ft (block by J. Harden),,88-73,,
6:09.0,,,88-73,,Defensive rebound by T. Ariza
5:56.0,,,88-75,2,J. Harden makes 2-pt shot at rim
5:29.0,J. Hart misses 3-pt shot from 25 ft,,88-75,,
5:29.0,Offensive rebound by Team,,88-75,,
5:29.0,Turnover by Team (shot clock),,88-75,,
5:22.0,,,88-78,3,G. Green makes 3-pt shot from 24 ft (assist by J. Harden)
5:20.0,LA Lakers full timeout,,88-78,,
5:20.0,C. Brewer enters the game for K. Kuzma,,88-78,,
5:07.0,J. Hart makes 3-pt shot from 23 ft (assist by T. Ennis),3,91-78,,
4:57.0,Personal foul by T. Ennis (drawn by C. Capela),,91-78,,
4:46.0,,,91-80,2,E. Gordon makes 2-pt shot at rim
4:24.0,T. Ennis misses 2-pt shot from 2 ft,,91-80,,
4:24.0,,,91-80,,Defensive rebound by Team
4:00.0,,,91-83,3,J. Harden makes 3-pt shot from 25 ft
3:35.0,,,91-83,,Personal foul by T. Ariza (drawn by B. Ingram)
3:35.0,B. Ingram makes free throw 1 of 2,1,92-83,,
3:35.0,,,92-83,,T. Black enters the game for C. Capela
3:35.0,B. Ingram makes free throw 2 of 2,1,93-83,,
3:23.0,,,93-83,,G. Green misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by Team,,93-83,,
3:21.0,,,93-83,,Loose ball foul by J. Harden (drawn by T. Ennis)
3:21.0,T. Ennis makes free throw 1 of 2,1,94-83,,
3:21.0,T. Ennis makes free throw 2 of 2,1,95-83,,
3:10.0,,,95-85,2,T. Black makes 2-pt shot at rim (assist by T. Ariza)
2:47.0,J. Randle makes 2-pt shot at rim,2,97-85,,
2:31.0,,,97-85,,T. Ariza misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by J. Randle,,97-85,,
2:08.0,C. Brewer misses 3-pt shot from 25 ft,,97-85,,
2:03.0,,,97-85,,Defensive rebound by T. Black
1:57.0,,,97-85,,Shooting foul by J. Randle (drawn by J. Harden)
1:57.0,,,97-86,1,J. Harden makes free throw 1 of 2
1:57.0,,,97-86,,P. Tucker enters the game for T. Ariza
1:57.0,L. Nance enters the game for J. Randle,,97-86,,
1:57.0,,,97-86,,J. Harden misses free throw 2 of 2
1:54.0,,,97-86,,Offensive rebound by T. Black
1:51.0,Personal foul by T. Ennis (drawn by J. Harden),,97-86,,
1:51.0,,,97-87,1,J. Harden makes free throw 1 of 2
1:51.0,J. Clarkson enters the game for T. Ennis,,97-87,,
1:51.0,,,97-88,1,J. Harden makes free throw 2 of 2
1:35.0,Turnover by B. Ingram (lost ball; steal by G. Green),,97-88,,
1:21.0,Shooting block foul by C. Brewer (drawn by J. Harden),,97-88,,
1:21.0,,,97-89,1,J. Harden makes free throw 1 of 2
1:21.0,,,97-90,1,J. Harden makes free throw 2 of 2
1:02.0,Turnover by B. Ingram (bad pass; steal by G. Green),,97-90,,
0:59.0,,,97-90,,Turnover by G. Green (lost ball; steal by B. Ingram)
0:47.0,,,97-90,,Personal foul by G. Green (drawn by L. Nance)
0:47.0,L. Nance makes free throw 1 of 2,1,98-90,,
0:47.0,,,98-90,,C. Paul enters the game for J. Harden
0:47.0,A. Caruso enters the game for B. Ingram,,98-90,,
0:47.0,L. Nance makes free throw 2 of 2,1,99-90,,
0:39.0,,,99-90,,E. Gordon misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by C. Brewer,,99-90,,
0:28.0,J. Hart makes 2-pt shot from 2 ft (assist by C. Brewer),2,101-90,,
0:28.0,Shooting foul by T. Black (drawn by J. Hart),,101-90,,
0:28.0,J. Hart misses free throw 1 of 1,,101-90,,
0:28.0,,,101-90,,Defensive rebound by P. Tucker
0:05.0,,,101-90,,G. Green misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by L. Nance,,101-90,,
0:00.0,J. Hart misses 3-pt shot from 41 ft,,101-90,,
0:00.0,Offensive rebound by Team,,101-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,101-90,,T. Black misses 2-pt shot from 2 ft (block by C. Brewer)
11:34.0,Defensive rebound by A. Caruso,,101-90,,
11:31.0,,,101-90,,Personal foul by P. Tucker (drawn by L. Nance)
11:15.0,A. Caruso misses 2-pt shot from 10 ft,,101-90,,
11:13.0,,,101-90,,Defensive rebound by C. Paul
11:08.0,,,101-90,,T. Black misses 2-pt shot from 1 ft
11:08.0,,,101-90,,Offensive rebound by T. Black
11:07.0,,,101-92,2,T. Black makes 2-pt shot from 1 ft
10:51.0,L. Nance misses 2-pt shot from 5 ft,,101-92,,
10:51.0,,,101-92,,Defensive rebound by J. Harden
10:44.0,,,101-92,,C. Paul misses 3-pt shot from 25 ft
10:44.0,,,101-92,,Offensive rebound by Team
10:41.0,Loose ball foul by L. Nance (drawn by P. Tucker),,101-92,,
10:33.0,,,101-95,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
10:06.0,C. Brewer misses 3-pt shot from 25 ft,,101-95,,
10:04.0,Offensive rebound by A. Caruso,,101-95,,
10:01.0,A. Caruso misses 2-pt shot from 12 ft,,101-95,,
10:01.0,,,101-95,,Defensive rebound by Team
9:53.0,,,101-95,,P. Tucker misses 3-pt shot from 22 ft
9:49.0,Defensive rebound by Team,,101-95,,
9:49.0,LA Lakers full timeout,,101-95,,
9:49.0,,,101-95,,C. Capela enters the game for T. Black
9:49.0,K. Kuzma enters the game for A. Caruso,,101-95,,
9:49.0,T. Ennis enters the game for A. Bogut,,101-95,,
9:26.0,K. Kuzma misses 3-pt shot from 26 ft,,101-95,,
9:22.0,,,101-95,,Defensive rebound by C. Paul
9:21.0,Personal foul by K. Kuzma (drawn by C. Capela),,101-95,,
9:20.0,Personal foul by C. Brewer (drawn by J. Harden),,101-95,,
9:02.0,,,101-97,2,J. Harden makes 2-pt shot from 16 ft
8:50.0,T. Ennis makes 2-pt shot from 2 ft,2,103-97,,
8:32.0,,,103-97,,J. Harden misses 3-pt shot from 25 ft
8:29.0,,,103-97,,Offensive rebound by C. Capela
8:21.0,,,103-97,,C. Paul misses 2-pt shot from 5 ft (block by K. Kuzma)
8:19.0,,,103-97,,Offensive rebound by P. Tucker
8:09.0,,,103-100,3,J. Harden makes 3-pt shot from 26 ft
7:54.0,T. Ennis misses 2-pt shot from 1 ft (block by J. Harden),,103-100,,
7:54.0,Offensive rebound by Team,,103-100,,
7:54.0,,,103-100,,T. Ariza enters the game for E. Gordon
7:45.0,J. Clarkson misses 3-pt shot from 26 ft,,103-100,,
7:43.0,Offensive rebound by L. Nance,,103-100,,
7:42.0,L. Nance makes 2-pt shot from 1 ft,2,105-100,,
7:34.0,,,105-100,,C. Capela misses 2-pt shot from 3 ft (block by K. Kuzma)
7:33.0,Defensive rebound by L. Nance,,105-100,,
7:10.0,Offensive charge foul by K. Kuzma (drawn by C. Capela),,105-100,,
7:10.0,Turnover by K. Kuzma (offensive foul),,105-100,,
6:50.0,Personal foul by K. Kuzma (drawn by J. Harden),,105-100,,
6:50.0,J. Hart enters the game for K. Kuzma,,105-100,,
6:50.0,J. Randle enters the game for L. Nance,,105-100,,
6:47.0,,,105-100,,Shooting foul by C. Brewer (drawn by J. Harden)
6:47.0,,,105-100,,J. Harden misses free throw 1 of 3
6:47.0,,,105-100,,Offensive rebound by Team
6:47.0,,,105-101,1,J. Harden makes free throw 2 of 3
6:47.0,,,105-102,1,J. Harden makes free throw 3 of 3
6:26.0,,,105-102,,Shooting block foul by C. Capela (drawn by J. Hart)
6:26.0,J. Hart makes free throw 1 of 2,1,106-102,,
6:26.0,B. Ingram enters the game for J. Clarkson,,106-102,,
6:26.0,,,106-102,,Houston full timeout
6:26.0,,,106-102,,E. Gordon enters the game for P. Tucker
