time,Philadelphia,pts.away,score,pts.home,Denver
9:57.0,A. Johnson misses 2-pt shot from 6 ft,,31-35,,
9:54.0,,,31-35,,Defensive rebound by W. Barton
9:46.0,,,31-37,2,W. Chandler makes 2-pt shot from 1 ft (assist by W. Barton)
9:31.0,B. Simmons makes 2-pt shot from 15 ft (assist by A. Johnson),2,33-37,,
9:16.0,,,33-39,2,N. Jokic makes 2-pt shot at rim (assist by W. Barton)
9:16.0,,,33-39,,Shooting foul by B. Simmons (drawn by N. Jokic)
9:16.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,33-39,,
9:16.0,,,33-40,1,N. Jokic makes free throw 1 of 1
9:07.0,T. McConnell misses 2-pt shot from 15 ft,,33-40,,
8:59.0,,,33-40,,Defensive rebound by N. Jokic
8:47.0,,,33-40,,T. Lyles misses 3-pt shot from 26 ft
8:44.0,,,33-40,,Offensive rebound by W. Chandler
8:35.0,,,33-40,,W. Barton misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by A. Johnson,,33-40,,
8:26.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,33-40,,
8:23.0,,,33-40,,Defensive rebound by J. Murray
8:16.0,,,33-42,2,J. Murray makes 2-pt shot from 4 ft
8:00.0,R. Covington makes 2-pt shot from 17 ft (assist by A. Johnson),2,35-42,,
7:47.0,,,35-42,,J. Murray misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by A. Johnson,,35-42,,
7:37.0,Turnover by T. McConnell (bad pass; steal by W. Barton),,35-42,,
7:33.0,,,35-42,,Turnover by J. Murray (lost ball; steal by R. Covington)
7:28.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,38-42,,
7:07.0,,,38-44,2,W. Barton makes 2-pt shot from 3 ft (assist by T. Lyles)
6:53.0,R. Covington makes 3-pt shot from 22 ft (assist by T. McConnell),3,41-44,,
6:33.0,,,41-46,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
6:14.0,Turnover by D. Saric (bad pass; steal by W. Barton),,41-46,,
6:10.0,,,41-46,,Shooting foul by T. McConnell (drawn by W. Barton)
6:10.0,,,41-47,1,W. Barton makes free throw 1 of 2
6:10.0,,,41-47,,G. Harris enters the game for N. Jokic
6:10.0,,,41-47,,M. Plumlee enters the game for J. Murray
6:10.0,R. Holmes enters the game for A. Johnson,,41-47,,
6:10.0,,,41-47,,W. Barton misses free throw 2 of 2
6:07.0,Defensive rebound by R. Covington,,41-47,,
5:49.0,T. McConnell misses 3-pt shot from 25 ft,,41-47,,
5:45.0,,,41-47,,Defensive rebound by T. Lyles
5:36.0,,,41-49,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton)
5:21.0,D. Saric makes 3-pt shot from 26 ft (assist by R. Holmes),3,44-49,,
5:06.0,,,44-51,2,W. Barton makes 2-pt shot from 2 ft
5:06.0,Philadelphia full timeout,,44-51,,
5:06.0,,,44-51,,T. Craig enters the game for W. Barton
5:06.0,,,44-51,,J. Murray enters the game for T. Lyles
5:06.0,B. Simmons enters the game for T. Luwawu-Cabarrot,,44-51,,
5:06.0,T. Booker enters the game for D. Saric,,44-51,,
4:52.0,R. Holmes makes 2-pt shot from 3 ft (assist by B. Simmons),2,46-51,,
4:52.0,Shooting foul by M. Plumlee (drawn by R. Holmes),,46-51,,
4:52.0,R. Holmes misses free throw 1 of 1,,46-51,,
4:50.0,,,46-51,,Defensive rebound by M. Plumlee
4:35.0,,,46-51,,G. Harris misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by T. McConnell,,46-51,,
4:20.0,B. Simmons misses 2-pt shot from 8 ft (block by W. Chandler),,46-51,,
4:16.0,Offensive rebound by Team,,46-51,,
4:16.0,J. Redick enters the game for T. McConnell,,46-51,,
4:11.0,B. Simmons misses 2-pt shot from 2 ft,,46-51,,
4:08.0,,,46-51,,Defensive rebound by W. Chandler
4:04.0,,,46-51,,Shooting foul by T. Booker (drawn by T. Craig)
4:04.0,,,46-52,1,T. Craig makes free throw 1 of 2
4:04.0,,,46-53,1,T. Craig makes free throw 2 of 2
3:54.0,J. Redick makes 2-pt shot from 18 ft (assist by R. Holmes),2,48-53,,
3:39.0,,,48-55,2,J. Murray makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:28.0,R. Holmes misses 2-pt shot from 2 ft (block by W. Chandler),,48-55,,
3:24.0,,,48-55,,Defensive rebound by M. Plumlee
3:18.0,,,48-55,,M. Plumlee misses 2-pt shot from 5 ft
3:18.0,Defensive rebound by Team,,48-55,,
3:12.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons),3,51-55,,
2:58.0,,,51-55,,Turnover by M. Plumlee (traveling)
2:58.0,,,51-55,,W. Barton enters the game for T. Craig
2:58.0,,,51-55,,N. Jokic enters the game for M. Plumlee
2:58.0,T. Luwawu-Cabarrot enters the game for R. Covington,,51-55,,
2:58.0,D. Saric enters the game for T. Booker,,51-55,,
2:49.0,J. Redick misses 2-pt shot from 23 ft,,51-55,,
2:46.0,,,51-55,,Defensive rebound by J. Murray
2:37.0,Personal foul by R. Holmes (drawn by N. Jokic),,51-55,,
2:28.0,,,51-57,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray)
2:08.0,B. Simmons makes 2-pt shot from 1 ft,2,53-57,,
2:08.0,,,53-57,,Denver full timeout
1:46.0,,,53-57,,W. Chandler misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by Team,,53-57,,
1:32.0,R. Holmes makes 2-pt shot from 1 ft (assist by J. Redick),2,55-57,,
1:09.0,,,55-59,2,J. Murray makes 2-pt shot from 3 ft
0:59.0,D. Saric misses 3-pt shot from 25 ft,,55-59,,
0:56.0,,,55-59,,Defensive rebound by W. Barton
0:40.0,,,55-59,,J. Murray misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by R. Holmes,,55-59,,
0:34.0,J. Redick makes 3-pt shot from 27 ft (assist by R. Holmes),3,58-59,,
0:15.0,,,58-61,2,J. Murray makes 2-pt shot from 6 ft
0:07.0,J. Redick misses 3-pt shot from 25 ft,,58-61,,
0:07.0,,,58-61,,Defensive rebound by J. Murray
0:00.0,,,58-61,,J. Murray misses 2-pt shot from 21 ft
0:00.0,,,58-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,58-61,,N. Jokic misses 2-pt shot from 3 ft
11:36.0,,,58-61,,Offensive rebound by N. Jokic
11:29.0,Away from play foul by B. Simmons (drawn by J. Murray),,58-61,,
11:29.0,,,58-62,1,J. Murray makes free throw 1 of 1
11:23.0,,,58-62,,Shooting foul by A. Johnson (drawn by J. Murray)
11:23.0,,,58-63,1,J. Murray makes free throw 1 of 2
11:23.0,,,58-64,1,J. Murray makes free throw 2 of 2
11:11.0,D. Saric misses 2-pt shot from 2 ft,,58-64,,
