time,Atlanta,pts.away,score,pts.home,Portland
3:32.0,M. Belinelli enters the game for T. Waller-Prince,,43-47,,
3:17.0,Shooting foul by D. Lillard (drawn by K. Bazemore),,43-47,,
3:17.0,K. Bazemore misses free throw 1 of 2,,43-47,,
3:17.0,Offensive rebound by Team,,43-47,,
3:17.0,K. Bazemore makes free throw 2 of 2,1,44-47,,
2:55.0,,,44-47,,Turnover by D. Lillard (step out of bounds)
2:55.0,Atlanta full timeout,,44-47,,
2:55.0,J. Collins enters the game for M. Plumlee,,44-47,,
2:33.0,D. Schroder misses 2-pt shot at rim (block by A. Aminu),,44-47,,
2:30.0,Offensive rebound by J. Collins,,44-47,,
2:27.0,J. Collins makes 2-pt shot from 12 ft,2,46-47,,
2:15.0,,,46-47,,Turnover by D. Lillard (bad pass; steal by D. Schroder)
2:07.0,K. Bazemore misses 2-pt shot from 4 ft,,46-47,,
2:04.0,Offensive rebound by J. Collins,,46-47,,
1:57.0,M. Belinelli misses 3-pt shot from 24 ft,,46-47,,
1:56.0,,,46-47,,Defensive rebound by Team
1:56.0,Loose ball foul by M. Belinelli (drawn by J. Nurkic),,46-47,,
1:56.0,T. Waller-Prince enters the game for K. Bazemore,,46-47,,
1:44.0,,,46-47,,Offensive charge foul by C. McCollum (drawn by E. Ilyasova)
1:44.0,,,46-47,,Turnover by C. McCollum (offensive foul)
1:32.0,T. Waller-Prince misses 2-pt shot from 20 ft,,46-47,,
1:29.0,,,46-47,,Defensive rebound by E. Turner
1:21.0,,,46-49,2,E. Turner makes 2-pt shot from 15 ft
1:08.0,Turnover by D. Schroder (bad pass; steal by D. Lillard),,46-49,,
1:02.0,,,46-52,3,C. McCollum makes 3-pt shot from 27 ft (assist by A. Aminu)
0:53.0,,,46-52,,Personal foul by J. Nurkic (drawn by J. Collins)
0:53.0,J. Collins misses free throw 1 of 2,,46-52,,
0:53.0,Offensive rebound by Team,,46-52,,
0:53.0,T. Cavanaugh enters the game for E. Ilyasova,,46-52,,
0:53.0,J. Collins misses free throw 2 of 2,,46-52,,
0:52.0,Offensive rebound by T. Waller-Prince,,46-52,,
0:45.0,T. Cavanaugh misses 3-pt shot from 25 ft,,46-52,,
0:42.0,,,46-52,,Defensive rebound by E. Turner
0:32.0,,,46-52,,A. Aminu misses 3-pt shot from 27 ft
0:30.0,Defensive rebound by T. Waller-Prince,,46-52,,
0:11.0,D. Schroder misses 2-pt shot from 20 ft,,46-52,,
0:08.0,,,46-52,,Defensive rebound by J. Nurkic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by D. Schroder (bad pass; steal by J. Nurkic),,46-52,,
11:41.0,,,46-54,2,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum)
11:31.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,49-54,,
11:07.0,,,49-54,,C. McCollum misses 2-pt shot from 2 ft
11:07.0,,,49-54,,Offensive rebound by C. McCollum
11:03.0,,,49-54,,D. Lillard misses 3-pt shot from 26 ft (block by D. Schroder)
11:03.0,,,49-54,,Offensive rebound by Team
11:03.0,,,49-54,,Turnover by Team (shot clock)
10:47.0,D. Schroder misses 2-pt shot from 20 ft,,49-54,,
10:44.0,,,49-54,,Defensive rebound by D. Lillard
10:36.0,,,49-54,,Turnover by A. Aminu (lost ball; steal by E. Ilyasova)
10:28.0,E. Ilyasova misses 2-pt shot from 1 ft,,49-54,,
10:24.0,Offensive rebound by D. Schroder,,49-54,,
10:24.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by D. Schroder),2,51-54,,
10:04.0,,,51-56,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
9:45.0,D. Schroder misses 3-pt shot from 24 ft,,51-56,,
9:45.0,,,51-56,,Defensive rebound by J. Nurkic
9:34.0,,,51-59,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
9:14.0,T. Waller-Prince makes 2-pt shot from 7 ft,2,53-59,,
8:55.0,,,53-62,3,E. Turner makes 3-pt shot from 23 ft (assist by J. Nurkic)
8:44.0,D. Schroder makes 2-pt shot from 15 ft,2,55-62,,
8:26.0,,,55-64,2,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic)
8:09.0,E. Ilyasova makes 2-pt shot from 20 ft,2,57-64,,
7:52.0,,,57-66,2,D. Lillard makes 2-pt shot from 1 ft
7:48.0,Atlanta full timeout,,57-66,,
7:36.0,Turnover by K. Bazemore (bad pass; steal by C. McCollum),,57-66,,
7:31.0,,,57-69,3,D. Lillard makes 3-pt shot from 29 ft (assist by C. McCollum)
7:17.0,K. Bazemore misses 2-pt shot from 4 ft (block by D. Lillard),,57-69,,
7:17.0,,,57-69,,Defensive rebound by Team
6:56.0,,,57-71,2,A. Aminu makes 2-pt shot from 21 ft (assist by E. Turner)
6:44.0,Turnover by D. Schroder (bad pass; steal by C. McCollum),,57-71,,
6:40.0,,,57-71,,D. Lillard misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by E. Ilyasova,,57-71,,
6:27.0,T. Waller-Prince misses 2-pt shot from 1 ft,,57-71,,
6:25.0,,,57-71,,Defensive rebound by J. Nurkic
6:17.0,,,57-71,,D. Lillard misses 2-pt shot from 12 ft
6:14.0,Defensive rebound by E. Ilyasova,,57-71,,
6:09.0,T. Waller-Prince misses 3-pt shot from 24 ft,,57-71,,
6:09.0,,,57-71,,Defensive rebound by J. Nurkic
5:53.0,,,57-73,2,C. McCollum makes 2-pt shot from 6 ft (assist by A. Aminu)
5:38.0,,,57-73,,Personal foul by E. Turner (drawn by D. Schroder)
5:38.0,I. Taylor enters the game for D. Schroder,,57-73,,
5:38.0,J. Collins enters the game for M. Plumlee,,57-73,,
5:24.0,T. Waller-Prince misses 2-pt shot from 4 ft,,57-73,,
5:22.0,,,57-73,,Defensive rebound by J. Nurkic
5:14.0,,,57-73,,A. Aminu misses 3-pt shot from 23 ft
5:12.0,,,57-73,,Offensive rebound by J. Nurkic
5:12.0,,,57-73,,Shooting foul by J. Collins (drawn by J. Nurkic)
5:12.0,,,57-74,1,J. Nurkic makes free throw 1 of 2
5:12.0,M. Delaney enters the game for K. Bazemore,,57-74,,
5:12.0,,,57-74,,J. Nurkic misses free throw 2 of 2
5:10.0,Defensive rebound by E. Ilyasova,,57-74,,
4:54.0,Turnover by T. Waller-Prince (bad pass; steal by C. McCollum),,57-74,,
4:50.0,,,57-74,,C. McCollum misses 2-pt shot from 1 ft (block by J. Collins)
4:48.0,Defensive rebound by I. Taylor,,57-74,,
4:45.0,M. Delaney makes 3-pt shot from 25 ft (assist by I. Taylor),3,60-74,,
4:21.0,,,60-74,,J. Nurkic misses 2-pt shot from 13 ft
4:20.0,Defensive rebound by Team,,60-74,,
4:12.0,,,60-74,,Personal foul by D. Lillard (drawn by M. Delaney)
4:12.0,,,60-74,,Z. Collins enters the game for E. Turner
4:12.0,,,60-74,,E. Davis enters the game for J. Nurkic
4:12.0,T. Cavanaugh enters the game for E. Ilyasova,,60-74,,
4:02.0,J. Collins misses 2-pt shot from 8 ft,,60-74,,
3:59.0,,,60-74,,Defensive rebound by A. Aminu
3:52.0,Personal block foul by T. Waller-Prince (drawn by A. Aminu),,60-74,,
3:52.0,,,60-74,,P. Connaughton enters the game for C. McCollum
3:52.0,M. Belinelli enters the game for T. Cavanaugh,,60-74,,
3:44.0,,,60-74,,D. Lillard misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by T. Waller-Prince,,60-74,,
3:31.0,Turnover by T. Waller-Prince (bad pass; steal by E. Davis),,60-74,,
3:28.0,,,60-74,,Shooting foul by J. Collins (drawn by A. Aminu)
3:28.0,,,60-75,1,A. Aminu makes free throw 1 of 2
3:28.0,,,60-76,1,A. Aminu makes free throw 2 of 2
3:15.0,M. Delaney misses 2-pt shot from 19 ft,,60-76,,
3:12.0,Offensive rebound by J. Collins,,60-76,,
3:06.0,I. Taylor makes 2-pt shot from 5 ft,2,62-76,,
3:06.0,,,62-76,,Away from play foul by E. Davis (drawn by J. Collins)
3:06.0,,,62-76,,Portland full timeout
3:06.0,J. Collins makes free throw 1 of 1,1,63-76,,
2:52.0,,,63-76,,D. Lillard misses 2-pt shot from 22 ft
2:49.0,Defensive rebound by T. Waller-Prince,,63-76,,
2:36.0,T. Waller-Prince misses 3-pt shot from 26 ft,,63-76,,
2:36.0,,,63-76,,Defensive rebound by D. Lillard
2:27.0,,,63-76,,Turnover by D. Lillard (bad pass; steal by J. Collins)
2:24.0,Turnover by J. Collins (bad pass; steal by D. Lillard),,63-76,,
2:21.0,,,63-78,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
2:03.0,M. Delaney misses 3-pt shot from 23 ft,,63-78,,
2:01.0,,,63-78,,Defensive rebound by P. Connaughton
1:39.0,,,63-80,2,A. Aminu makes 2-pt shot from 1 ft
1:22.0,Shooting foul by E. Davis (drawn by M. Delaney),,63-80,,
1:22.0,M. Delaney makes free throw 1 of 2,1,64-80,,
1:22.0,,,64-80,,S. Napier enters the game for A. Aminu
1:22.0,M. Delaney makes free throw 2 of 2,1,65-80,,
1:01.0,,,65-82,2,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard)
0:39.0,M. Belinelli makes 3-pt shot from 26 ft (assist by M. Delaney),3,68-82,,
0:32.0,Personal foul by I. Taylor (drawn by S. Napier),,68-82,,
0:19.0,,,68-82,,P. Connaughton misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by T. Waller-Prince,,68-82,,
0:00.0,Jump ball: Z. Collins vs. J. Collins (E. Davis gains possession),,,,Jump ball: Z. Collins vs. J. Collins (E. Davis gains possession)
0:00.0,Turnover by J. Collins (turnover; steal by Z. Collins),,68-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,68-85,3,S. Napier makes 3-pt shot from 25 ft (assist by C. McCollum)
11:23.0,Jump ball: S. Napier vs. J. Collins (Z. Collins gains possession),,,,Jump ball: S. Napier vs. J. Collins (Z. Collins gains possession)
11:23.0,Turnover by J. Collins (turnover; steal by S. Napier),,68-85,,
11:21.0,,,68-87,2,S. Napier makes 2-pt shot from 1 ft
11:07.0,Turnover by K. Bazemore (lost ball; steal by S. Napier),,68-87,,
11:02.0,,,68-89,2,C. McCollum makes 2-pt shot from 2 ft
10:47.0,M. Belinelli misses 2-pt shot from 19 ft,,68-89,,
10:47.0,,,68-89,,Defensive rebound by Z. Collins
10:35.0,,,68-91,2,P. Connaughton makes 2-pt shot at rim (assist by C. McCollum)
10:34.0,Atlanta full timeout,,68-91,,
10:34.0,T. Dorsey enters the game for M. Belinelli,,68-91,,
10:34.0,E. Ilyasova enters the game for J. Collins,,68-91,,
10:34.0,T. Cavanaugh enters the game for I. Taylor,,68-91,,
10:23.0,T. Dorsey makes 2-pt shot from 18 ft (assist by E. Ilyasova),2,70-91,,
10:03.0,,,70-91,,Turnover by Z. Collins (out of bounds lost ball)
9:45.0,E. Ilyasova misses 2-pt shot from 1 ft,,70-91,,
9:43.0,,,70-91,,Defensive rebound by P. Connaughton
9:33.0,,,70-93,2,P. Connaughton makes 2-pt shot from 12 ft (assist by S. Napier)
9:10.0,K. Bazemore makes 2-pt shot from 2 ft,2,72-93,,
8:55.0,,,72-93,,Shooting foul by E. Ilyasova (drawn by E. Davis)
8:55.0,,,72-94,1,E. Davis makes free throw 1 of 2
8:55.0,,,72-95,1,E. Davis makes free throw 2 of 2
8:46.0,K. Bazemore misses 2-pt shot from 17 ft,,72-95,,
8:41.0,,,72-95,,Defensive rebound by C. McCollum
8:37.0,,,72-95,,E. Davis misses 2-pt shot from 3 ft
8:36.0,Defensive rebound by T. Dorsey,,72-95,,
8:30.0,E. Ilyasova misses 3-pt shot from 24 ft,,72-95,,
8:27.0,,,72-95,,Defensive rebound by E. Davis
8:16.0,,,72-95,,Offensive foul by E. Davis (drawn by M. Delaney)
8:16.0,,,72-95,,Turnover by E. Davis (offensive foul)
8:16.0,M. Muscala enters the game for E. Ilyasova,,72-95,,
8:16.0,L. Babbitt enters the game for T. Cavanaugh,,72-95,,
8:16.0,T. Cavanaugh enters the game for K. Bazemore,,72-95,,
8:05.0,T. Cavanaugh misses 3-pt shot from 24 ft,,72-95,,
8:01.0,,,72-95,,Defensive rebound by P. Connaughton
7:53.0,,,72-97,2,S. Napier makes 2-pt shot from 1 ft (assist by P. Connaughton)
7:42.0,T. Dorsey makes 3-pt shot from 26 ft (assist by L. Babbitt),3,75-97,,
7:20.0,Personal foul by L. Babbitt (drawn by E. Davis),,75-97,,
7:20.0,I. Taylor enters the game for M. Delaney,,75-97,,
7:16.0,Personal foul by I. Taylor (drawn by C. McCollum),,75-97,,
7:16.0,,,75-97,,N. Vonleh enters the game for E. Davis
7:10.0,,,75-100,3,Z. Collins makes 3-pt shot from 24 ft (assist by C. McCollum)
6:49.0,Shooting foul by Z. Collins (drawn by T. Cavanaugh),,75-100,,
6:49.0,T. Cavanaugh makes free throw 1 of 2,1,76-100,,
6:49.0,,,76-100,,J. Layman enters the game for C. McCollum
6:49.0,T. Cavanaugh makes free throw 2 of 2,1,77-100,,
6:32.0,,,77-100,,N. Vonleh misses 2-pt shot from 11 ft
6:29.0,Defensive rebound by T. Cavanaugh,,77-100,,
6:18.0,I. Taylor misses 2-pt shot from 1 ft,,77-100,,
6:12.0,Offensive rebound by M. Muscala,,77-100,,
6:12.0,M. Muscala misses 2-pt shot at rim,,77-100,,
6:12.0,Offensive rebound by I. Taylor,,77-100,,
6:07.0,L. Babbitt makes 2-pt shot from 5 ft,2,79-100,,
6:07.0,,,79-100,,Violation by N. Vonleh (def goaltending)
6:07.0,Shooting foul by P. Connaughton (drawn by L. Babbitt),,79-100,,
6:07.0,L. Babbitt makes free throw 1 of 1,1,80-100,,
5:48.0,,,80-100,,N. Vonleh misses 2-pt shot from 21 ft
5:47.0,,,80-100,,Offensive rebound by Team
5:47.0,J. Collins enters the game for T. Cavanaugh,,80-100,,
5:32.0,,,80-100,,N. Vonleh misses 2-pt shot from 3 ft
5:31.0,Defensive rebound by J. Collins,,80-100,,
5:16.0,Shooting foul by Z. Collins (drawn by J. Collins),,80-100,,
5:16.0,J. Collins makes free throw 1 of 2,1,81-100,,
5:16.0,J. Collins makes free throw 2 of 2,1,82-100,,
5:01.0,,,82-100,,J. Layman misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by I. Taylor,,82-100,,
4:50.0,T. Dorsey misses 2-pt shot from 10 ft,,82-100,,
4:48.0,,,82-100,,Defensive rebound by N. Vonleh
4:39.0,,,82-103,3,P. Connaughton makes 3-pt shot from 25 ft (assist by S. Napier)
4:22.0,,,82-103,,Shooting block foul by N. Vonleh (drawn by J. Collins)
4:22.0,J. Collins makes free throw 1 of 2,1,83-103,,
4:22.0,J. Collins makes free throw 2 of 2,1,84-103,,
4:07.0,,,84-103,,Shooting foul by J. Collins (drawn by N. Vonleh)
4:07.0,,,84-104,1,N. Vonleh makes free throw 1 of 2
4:07.0,,,84-105,1,N. Vonleh makes free throw 2 of 2
3:56.0,I. Taylor makes 2-pt shot from 1 ft,2,86-105,,
