time,Washington,pts.away,score,pts.home,Utah
6:39.0,,,7-14,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell)
6:20.0,B. Beal makes 2-pt shot from 15 ft,2,9-14,,
6:06.0,,,9-14,,Turnover by J. Jerebko (bad pass)
6:06.0,,,9-14,,A. Burks enters the game for R. Rubio
6:06.0,,,9-14,,D. Favors enters the game for R. Gobert
6:06.0,I. Mahinmi enters the game for M. Gortat,,9-14,,
5:45.0,B. Beal misses 2-pt shot from 17 ft,,9-14,,
5:42.0,,,9-14,,Defensive rebound by J. Jerebko
5:35.0,,,9-14,,J. Ingles misses 3-pt shot from 25 ft
5:31.0,,,9-14,,Offensive rebound by A. Burks
5:23.0,,,9-17,3,J. Jerebko makes 3-pt shot from 22 ft (assist by D. Favors)
5:05.0,O. Porter makes 2-pt shot from 21 ft,2,11-17,,
4:38.0,,,11-17,,J. Jerebko misses 2-pt shot from 3 ft (block by M. Morris)
4:37.0,Defensive rebound by Team,,11-17,,
4:21.0,Washington full timeout,,11-17,,
4:16.0,B. Beal misses 2-pt shot from 1 ft,,11-17,,
4:11.0,Offensive rebound by I. Mahinmi,,11-17,,
4:11.0,I. Mahinmi makes 2-pt shot at rim,2,13-17,,
3:49.0,,,13-19,2,D. Mitchell makes 2-pt shot from 18 ft
3:33.0,M. Morris makes 2-pt shot from 9 ft (assist by B. Beal),2,15-19,,
3:16.0,,,15-19,,J. Jerebko misses 3-pt shot from 22 ft
3:12.0,Defensive rebound by O. Porter,,15-19,,
3:06.0,Offensive foul by I. Mahinmi (drawn by J. Ingles),,15-19,,
3:06.0,Turnover by I. Mahinmi (offensive foul),,15-19,,
3:06.0,,,15-19,,R. O'Neale enters the game for J. Ingles
3:06.0,,,15-19,,R. Neto enters the game for D. Mitchell
3:06.0,K. Oubre enters the game for M. Morris,,15-19,,
3:06.0,T. Satoransky enters the game for T. Frazier,,15-19,,
2:47.0,,,15-19,,T. Sefolosha enters the game for J. Jerebko
2:43.0,,,15-19,,A. Burks misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by O. Porter,,15-19,,
2:32.0,O. Porter misses 2-pt shot from 11 ft,,15-19,,
2:30.0,,,15-19,,Defensive rebound by D. Favors
2:19.0,,,15-21,2,A. Burks makes 2-pt shot at rim (assist by R. Neto)
2:09.0,K. Oubre misses 2-pt shot from 18 ft,,15-21,,
2:05.0,,,15-21,,Defensive rebound by R. O'Neale
2:00.0,,,15-21,,Shooting foul by K. Oubre (drawn by D. Favors)
2:00.0,,,15-21,,D. Favors misses free throw 1 of 2
2:00.0,,,15-21,,Offensive rebound by Team
2:00.0,J. Meeks enters the game for B. Beal,,15-21,,
2:00.0,,,15-22,1,D. Favors makes free throw 2 of 2
1:45.0,O. Porter misses 2-pt shot from 12 ft,,15-22,,
1:41.0,,,15-22,,Defensive rebound by R. O'Neale
1:39.0,,,15-24,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by R. O'Neale)
1:19.0,O. Porter misses 2-pt shot from 17 ft,,15-24,,
1:14.0,,,15-24,,Defensive rebound by R. Neto
1:02.0,,,15-26,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
0:46.0,J. Meeks misses 2-pt shot from 11 ft,,15-26,,
0:44.0,Offensive rebound by I. Mahinmi,,15-26,,
0:40.0,J. Meeks misses 3-pt shot from 24 ft,,15-26,,
0:38.0,Offensive rebound by I. Mahinmi,,15-26,,
0:31.0,T. Satoransky misses 2-pt shot from 2 ft,,15-26,,
0:29.0,,,15-26,,Defensive rebound by A. Burks
0:25.0,,,15-28,2,A. Burks makes 2-pt shot from 1 ft
0:25.0,,,15-28,,Shooting foul by I. Mahinmi (drawn by A. Burks)
0:25.0,M. Scott enters the game for O. Porter,,15-28,,
0:25.0,,,15-29,1,A. Burks makes free throw 1 of 1
0:01.0,T. Satoransky misses 2-pt shot from 22 ft,,15-29,,
0:01.0,,,15-29,,Defensive rebound by A. Burks
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,15-31,2,R. Neto makes 2-pt shot from 2 ft
11:28.0,M. Scott misses 3-pt shot from 24 ft,,15-31,,
11:25.0,,,15-31,,Defensive rebound by D. Favors
11:08.0,,,15-34,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by R. Neto)
10:52.0,T. Satoransky makes 2-pt shot from 18 ft (assist by M. Scott),2,17-34,,
10:28.0,,,17-37,3,R. Neto makes 3-pt shot from 22 ft (assist by A. Burks)
10:26.0,Washington full timeout,,17-37,,
10:13.0,Shooting foul by D. Favors (drawn by K. Oubre),,17-37,,
10:13.0,K. Oubre makes free throw 1 of 2,1,18-37,,
10:13.0,K. Oubre makes free throw 2 of 2,1,19-37,,
9:54.0,,,19-37,,T. Sefolosha misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by Team,,19-37,,
9:51.0,,,19-37,,R. Rubio enters the game for D. Favors
9:51.0,,,19-37,,R. Gobert enters the game for R. Neto
9:28.0,K. Oubre misses 2-pt shot from 3 ft (block by R. O'Neale),,19-37,,
9:25.0,,,19-37,,Defensive rebound by R. O'Neale
9:23.0,,,19-39,2,A. Burks makes 2-pt shot from 1 ft (assist by T. Sefolosha)
9:07.0,,,19-39,,Loose ball foul by A. Burks (drawn by K. Oubre)
9:06.0,M. Scott misses 2-pt shot from 2 ft,,19-39,,
9:06.0,Offensive rebound by Team,,19-39,,
9:04.0,,,19-39,,Personal foul by A. Burks (drawn by K. Oubre)
8:46.0,,,19-39,,Personal foul by R. Rubio (drawn by I. Mahinmi)
8:34.0,Turnover by I. Mahinmi (bad pass; steal by R. Rubio),,19-39,,
8:22.0,,,19-42,3,R. O'Neale makes 3-pt shot from 24 ft (assist by R. Rubio)
8:05.0,Shooting foul by R. Gobert (drawn by K. Oubre),,19-42,,
8:05.0,K. Oubre makes free throw 1 of 2,1,20-42,,
8:05.0,,,20-42,,J. Jerebko enters the game for T. Sefolosha
8:05.0,M. Gortat enters the game for I. Mahinmi,,20-42,,
8:05.0,B. Beal enters the game for T. Satoransky,,20-42,,
8:05.0,K. Oubre makes free throw 2 of 2,1,21-42,,
7:45.0,,,21-42,,A. Burks misses 2-pt shot from 9 ft
7:43.0,Defensive rebound by M. Gortat,,21-42,,
7:29.0,M. Scott misses 2-pt shot from 11 ft,,21-42,,
7:25.0,Offensive rebound by M. Gortat,,21-42,,
7:23.0,K. Oubre misses 3-pt shot from 26 ft,,21-42,,
7:21.0,,,21-42,,Defensive rebound by R. Gobert
7:18.0,,,21-44,2,R. Rubio makes 2-pt shot from 3 ft
7:18.0,,,21-44,,Shooting foul by K. Oubre (drawn by R. Rubio)
7:18.0,,,21-44,,D. Mitchell enters the game for R. O'Neale
7:18.0,,,21-45,1,R. Rubio makes free throw 1 of 1
7:09.0,Turnover by B. Beal (bad pass; steal by R. Rubio),,21-45,,
7:03.0,,,21-47,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Rubio)
7:02.0,Washington full timeout,,21-47,,
7:02.0,,,21-47,,J. Ingles enters the game for A. Burks
7:02.0,O. Porter enters the game for M. Scott,,21-47,,
6:43.0,B. Beal misses 2-pt shot from 6 ft,,21-47,,
6:40.0,,,21-47,,Defensive rebound by R. Rubio
6:33.0,,,21-47,,J. Jerebko misses 2-pt shot from 2 ft
6:32.0,,,21-47,,Offensive rebound by R. Gobert
6:30.0,,,21-49,2,R. Gobert makes 2-pt shot from 1 ft
6:22.0,O. Porter misses 2-pt shot from 22 ft,,21-49,,
6:22.0,Offensive rebound by M. Gortat,,21-49,,
6:17.0,M. Gortat misses 2-pt shot from 2 ft (block by R. Gobert),,21-49,,
6:17.0,,,21-49,,Defensive rebound by J. Ingles
6:13.0,Personal foul by J. Meeks (drawn by J. Jerebko),,21-49,,
6:13.0,M. Morris enters the game for J. Meeks,,21-49,,
5:55.0,,,21-52,3,J. Jerebko makes 3-pt shot from 22 ft (assist by J. Ingles)
5:38.0,O. Porter makes 2-pt shot from 2 ft,2,23-52,,
5:22.0,,,23-52,,Turnover by R. Rubio (bad pass)
5:12.0,,,23-52,,Violation by R. Rubio (kicked ball)
5:12.0,,,23-52,,A. Burks enters the game for R. Rubio
5:10.0,,,23-52,,Personal foul by A. Burks (drawn by K. Oubre)
5:10.0,K. Oubre makes free throw 1 of 2,1,24-52,,
5:10.0,K. Oubre misses free throw 2 of 2,,24-52,,
5:08.0,,,24-52,,Defensive rebound by J. Jerebko
4:57.0,,,24-52,,R. Gobert misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by O. Porter,,24-52,,
4:50.0,O. Porter makes 2-pt shot from 1 ft,2,26-52,,
4:39.0,,,26-52,,Utah full timeout
4:39.0,,,26-52,,D. Favors enters the game for R. Gobert
4:39.0,,,26-52,,R. Neto enters the game for A. Burks
4:30.0,,,26-52,,J. Jerebko misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by B. Beal,,26-52,,
4:21.0,M. Morris misses 3-pt shot from 25 ft,,26-52,,
4:17.0,Offensive rebound by O. Porter,,26-52,,
4:08.0,M. Morris misses 2-pt shot from 1 ft,,26-52,,
4:05.0,,,26-52,,Defensive rebound by R. Neto
3:57.0,,,26-52,,Shooting foul by M. Morris (drawn by D. Favors)
3:57.0,,,26-53,1,D. Favors makes free throw 1 of 2
3:57.0,,,26-53,,T. Sefolosha enters the game for J. Jerebko
3:57.0,T. Frazier enters the game for K. Oubre,,26-53,,
3:57.0,,,26-54,1,D. Favors makes free throw 2 of 2
3:34.0,Shooting foul by J. Ingles (drawn by T. Frazier),,26-54,,
3:34.0,T. Frazier makes free throw 1 of 2,1,27-54,,
3:34.0,T. Frazier makes free throw 2 of 2,1,28-54,,
3:23.0,,,28-54,,D. Mitchell misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by O. Porter,,28-54,,
3:06.0,B. Beal misses 2-pt shot from 1 ft,,28-54,,
3:04.0,,,28-54,,Defensive rebound by T. Sefolosha
2:57.0,,,28-56,2,D. Mitchell makes 2-pt shot from 1 ft
2:39.0,M. Morris misses 2-pt shot from 11 ft,,28-56,,
2:38.0,,,28-56,,Defensive rebound by D. Mitchell
2:30.0,,,28-56,,J. Ingles misses 3-pt shot from 22 ft
2:26.0,,,28-56,,Offensive rebound by D. Favors
2:25.0,,,28-56,,D. Mitchell misses 3-pt shot from 26 ft
2:22.0,,,28-56,,Offensive rebound by D. Favors
2:20.0,,,28-56,,Shooting foul by M. Morris (drawn by D. Mitchell)
2:20.0,,,28-57,1,D. Mitchell makes free throw 1 of 2
2:20.0,,,28-57,,R. Rubio enters the game for R. Neto
2:20.0,K. Oubre enters the game for M. Morris,,28-57,,
2:20.0,,,28-58,1,D. Mitchell makes free throw 2 of 2
1:58.0,B. Beal misses 3-pt shot from 24 ft,,28-58,,
1:56.0,,,28-58,,Defensive rebound by R. Rubio
1:43.0,,,28-60,2,J. Ingles makes 2-pt shot from 2 ft
1:30.0,O. Porter makes 2-pt shot from 19 ft,2,30-60,,
1:07.0,,,30-62,2,T. Sefolosha makes 2-pt shot from 2 ft
0:55.0,O. Porter misses 2-pt shot from 2 ft,,30-62,,
0:53.0,,,30-62,,Defensive rebound by T. Sefolosha
0:49.0,,,30-64,2,T. Sefolosha makes 2-pt shot from 1 ft
0:49.0,Washington full timeout,,30-64,,
0:27.0,Turnover by T. Frazier (bad pass; steal by D. Favors),,30-64,,
0:07.0,,,30-64,,R. Rubio misses 3-pt shot from 22 ft
0:04.0,,,30-64,,Offensive rebound by R. Rubio
0:01.0,,,30-64,,T. Sefolosha misses 3-pt shot from 24 ft
0:01.0,,,30-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,30-64,,Turnover by R. Rubio (step out of bounds)
11:29.0,Offensive foul by M. Morris (drawn by R. Rubio),,30-64,,
11:29.0,Turnover by M. Morris (offensive foul),,30-64,,
11:17.0,Personal foul by T. Frazier (drawn by R. Gobert),,30-64,,
11:10.0,,,30-64,,Turnover by J. Ingles (bad pass; steal by M. Gortat)
11:09.0,,,30-64,,Personal foul by D. Mitchell (drawn by O. Porter)
11:04.0,Turnover by T. Frazier (bad pass; steal by R. Gobert),,30-64,,
10:51.0,,,30-64,,D. Favors misses 2-pt shot from 15 ft
10:48.0,Defensive rebound by M. Gortat,,30-64,,
10:40.0,B. Beal makes 2-pt shot from 20 ft,2,32-64,,
10:18.0,,,32-64,,Turnover by D. Favors (traveling)
10:04.0,B. Beal misses 3-pt shot from 24 ft,,32-64,,
10:00.0,,,32-64,,Defensive rebound by D. Favors
9:49.0,,,32-64,,Shooting foul by B. Beal (drawn by R. Rubio)
9:49.0,,,32-64,,R. Rubio misses free throw 1 of 3
9:49.0,,,32-64,,Offensive rebound by Team
9:49.0,,,32-64,,R. Rubio misses free throw 2 of 3
9:49.0,,,32-64,,Offensive rebound by Team
9:49.0,,,32-65,1,R. Rubio makes free throw 3 of 3
9:42.0,Shooting foul by R. Gobert (drawn by B. Beal),,32-65,,
9:42.0,B. Beal makes free throw 1 of 2,1,33-65,,
9:42.0,B. Beal misses free throw 2 of 2,,33-65,,
9:42.0,,,33-65,,Defensive rebound by D. Favors
9:25.0,,,33-65,,D. Mitchell misses 2-pt shot from 7 ft
9:23.0,,,33-65,,Offensive rebound by D. Mitchell
9:22.0,,,33-65,,D. Mitchell misses 2-pt shot from 3 ft (block by M. Morris)
9:22.0,,,33-65,,Offensive rebound by D. Mitchell
9:17.0,,,33-65,,Turnover by D. Mitchell (bad pass; steal by M. Gortat)
9:16.0,,,33-65,,Personal foul by R. Rubio (drawn by T. Frazier)
9:16.0,,,33-65,,J. Jerebko enters the game for D. Favors
9:16.0,,,33-65,,Technical foul by R. Gobert
9:16.0,B. Beal makes technical free throw,1,34-65,,
9:16.0,Offensive foul by M. Morris (drawn by R. Rubio),,34-65,,
9:16.0,Turnover by M. Morris (bad pass),,34-65,,
9:00.0,,,34-65,,R. Rubio misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by O. Porter,,34-65,,
8:53.0,M. Gortat misses 2-pt shot from 2 ft,,34-65,,
8:52.0,,,34-65,,Defensive rebound by J. Ingles
8:45.0,,,34-68,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
8:29.0,B. Beal misses 2-pt shot from 20 ft,,34-68,,
8:27.0,,,34-68,,Defensive rebound by R. Rubio
8:23.0,,,34-68,,Turnover by D. Mitchell (bad pass; steal by T. Frazier)
8:19.0,O. Porter misses 2-pt shot from 8 ft,,34-68,,
8:16.0,Offensive rebound by M. Morris,,34-68,,
8:16.0,M. Morris misses 2-pt shot at rim,,34-68,,
8:16.0,Offensive rebound by Team,,34-68,,
8:16.0,,,34-68,,Loose ball foul by D. Mitchell (drawn by M. Morris)
8:11.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat),3,37-68,,
7:57.0,,,37-68,,Turnover by J. Ingles (bad pass; steal by M. Gortat)
7:55.0,Shooting foul by J. Ingles (drawn by B. Beal),,37-68,,
7:55.0,B. Beal makes free throw 1 of 2,1,38-68,,
7:55.0,B. Beal misses free throw 2 of 2,,38-68,,
7:53.0,,,38-68,,Defensive rebound by J. Jerebko
7:32.0,,,38-68,,R. Rubio misses 3-pt shot from 22 ft
7:27.0,,,38-68,,Offensive rebound by R. Gobert
7:17.0,,,38-68,,Turnover by J. Ingles (traveling)
7:08.0,Turnover by M. Gortat (lost ball; steal by J. Ingles),,38-68,,
7:06.0,Personal foul by M. Gortat (drawn by R. Gobert),,38-68,,
6:44.0,,,38-71,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
6:30.0,B. Beal misses 3-pt shot from 25 ft,,38-71,,
6:29.0,,,38-71,,Defensive rebound by J. Jerebko
6:20.0,,,38-71,,Turnover by R. Gobert (lost ball; steal by M. Gortat)
6:05.0,M. Morris makes 2-pt shot from 9 ft (assist by T. Frazier),2,40-71,,
6:04.0,,,40-71,,Utah full timeout
6:04.0,,,40-71,,A. Burks enters the game for R. Rubio
6:04.0,,,40-71,,D. Favors enters the game for R. Gobert
5:47.0,,,40-74,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
5:25.0,B. Beal makes 2-pt shot from 2 ft,2,42-74,,
5:02.0,,,42-74,,Turnover by D. Mitchell (palming)
5:02.0,,,42-74,,R. O'Neale enters the game for J. Ingles
5:02.0,T. Satoransky enters the game for T. Frazier,,42-74,,
4:48.0,Turnover by M. Gortat (traveling),,42-74,,
4:27.0,,,42-76,2,A. Burks makes 2-pt shot from 1 ft
4:18.0,,,42-76,,Personal foul by A. Burks (drawn by M. Morris)
4:18.0,M. Morris makes free throw 1 of 2,1,43-76,,
4:18.0,M. Morris makes free throw 2 of 2,1,44-76,,
3:56.0,,,44-78,2,D. Favors makes 2-pt shot from 6 ft (assist by A. Burks)
3:41.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky),3,47-78,,
3:26.0,,,47-81,3,D. Mitchell makes 3-pt shot from 24 ft (assist by R. O'Neale)
3:14.0,M. Morris makes 3-pt shot from 24 ft (assist by O. Porter),3,50-81,,
2:46.0,,,50-81,,D. Mitchell misses 3-pt shot from 29 ft
2:46.0,Defensive rebound by M. Gortat,,50-81,,
2:33.0,O. Porter misses 2-pt shot from 23 ft,,50-81,,
2:31.0,,,50-81,,Defensive rebound by R. O'Neale
2:21.0,,,50-83,2,A. Burks makes 2-pt shot from 9 ft
2:18.0,Washington full timeout,,50-83,,
2:18.0,J. Meeks enters the game for B. Beal,,50-83,,
2:18.0,K. Oubre enters the game for M. Morris,,50-83,,
2:18.0,M. Scott enters the game for M. Gortat,,50-83,,
2:18.0,J. Smith enters the game for O. Porter,,50-83,,
2:18.0,,,50-83,,T. Sefolosha enters the game for J. Jerebko
2:18.0,,,50-83,,R. Neto enters the game for D. Mitchell
1:54.0,M. Scott misses 3-pt shot from 25 ft,,50-83,,
1:50.0,,,50-83,,Defensive rebound by D. Favors
1:38.0,,,50-83,,Turnover by R. O'Neale (bad pass; steal by J. Smith)
1:33.0,T. Satoransky misses 2-pt shot from 3 ft,,50-83,,
1:31.0,,,50-83,,Defensive rebound by R. Neto
1:27.0,Violation by J. Smith (kicked ball),,50-83,,
1:13.0,,,50-86,3,R. O'Neale makes 3-pt shot from 25 ft
0:52.0,J. Smith misses 2-pt shot from 7 ft,,50-86,,
0:50.0,Offensive rebound by J. Smith,,50-86,,
0:49.0,J. Smith misses 2-pt shot from 4 ft,,50-86,,
0:49.0,,,50-86,,Defensive rebound by T. Sefolosha
0:40.0,,,50-86,,J. Jerebko enters the game for T. Sefolosha
0:38.0,,,50-86,,D. Favors misses 2-pt shot from 19 ft
0:35.0,Defensive rebound by K. Oubre,,50-86,,
0:30.0,J. Meeks misses 3-pt shot from 25 ft,,50-86,,
0:26.0,Offensive rebound by J. Smith,,50-86,,
0:25.0,J. Smith misses 2-pt shot from 3 ft,,50-86,,
0:25.0,,,50-86,,Defensive rebound by D. Favors
0:07.0,Personal foul by J. Smith (drawn by A. Burks),,50-86,,
0:05.0,Personal foul by J. Smith (drawn by A. Burks),,50-86,,
0:05.0,,,50-87,1,A. Burks makes free throw 1 of 2
0:05.0,,,50-88,1,A. Burks makes free throw 2 of 2
0:00.0,Shooting foul by D. Favors (drawn by T. Satoransky),,50-88,,
0:00.0,T. Satoransky makes free throw 1 of 2,1,51-88,,
0:00.0,T. Satoransky makes free throw 2 of 2,1,52-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Oubre misses 3-pt shot from 23 ft,,52-88,,
11:37.0,,,52-88,,Defensive rebound by R. O'Neale
11:34.0,,,52-90,2,A. Burks makes 2-pt shot from 2 ft (assist by R. O'Neale)
11:34.0,,,52-90,,Shooting foul by J. Meeks (drawn by A. Burks)
11:34.0,,,52-91,1,A. Burks makes free throw 1 of 1
11:20.0,K. Oubre makes 2-pt shot from 7 ft,2,54-91,,
11:03.0,Personal foul by M. Scott (drawn by R. Gobert),,54-91,,
10:56.0,,,54-91,,A. Burks misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by T. Satoransky,,54-91,,
10:41.0,K. Oubre makes 2-pt shot from 10 ft,2,56-91,,
10:31.0,,,56-91,,Shooting foul by M. Scott (drawn by A. Burks)
10:31.0,,,56-92,1,A. Burks makes free throw 1 of 2
10:31.0,,,56-93,1,A. Burks makes free throw 2 of 2
10:09.0,T. Satoransky misses 3-pt shot from 24 ft,,56-93,,
10:07.0,,,56-93,,Defensive rebound by Team
9:53.0,,,56-96,3,A. Burks makes 3-pt shot from 24 ft (assist by R. Gobert)
9:39.0,J. Meeks makes 2-pt shot from 7 ft,2,58-96,,
9:23.0,,,58-96,,Turnover by R. Gobert (turnover)
9:23.0,,,58-96,,R. Rubio enters the game for R. Neto
9:22.0,Washington full timeout,,58-96,,
9:22.0,C. McCullough enters the game for J. Smith,,58-96,,
9:11.0,Turnover by T. Satoransky (bad pass; steal by A. Burks),,58-96,,
8:58.0,Personal foul by M. Scott (drawn by R. Gobert),,58-96,,
8:53.0,,,58-99,3,A. Burks makes 3-pt shot from 24 ft (assist by R. Gobert)
8:38.0,C. McCullough misses 2-pt shot from 18 ft,,58-99,,
8:34.0,,,58-99,,Defensive rebound by R. Gobert
8:16.0,,,58-102,3,A. Burks makes 3-pt shot from 25 ft (assist by R. O'Neale)
7:53.0,,,58-102,,Personal foul by R. Rubio (drawn by T. Satoransky)
7:53.0,,,58-102,,E. Udoh enters the game for R. Gobert
7:48.0,Shooting foul by A. Burks (drawn by K. Oubre),,58-102,,
7:48.0,K. Oubre makes free throw 1 of 2,1,59-102,,
7:48.0,K. Oubre makes free throw 2 of 2,1,60-102,,
7:35.0,,,60-102,,R. O'Neale misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by C. McCullough,,60-102,,
7:27.0,T. Satoransky makes 2-pt shot from 1 ft (assist by J. Meeks),2,62-102,,
7:01.0,,,62-105,3,R. O'Neale makes 3-pt shot from 26 ft (assist by A. Burks)
6:43.0,K. Oubre misses 3-pt shot from 25 ft,,62-105,,
6:40.0,,,62-105,,Defensive rebound by R. O'Neale
6:22.0,,,62-107,2,R. O'Neale makes 2-pt shot from 1 ft
6:11.0,Shooting foul by J. Jerebko (drawn by C. McCullough),,62-107,,
6:11.0,C. McCullough misses free throw 1 of 2,,62-107,,
6:11.0,Offensive rebound by Team,,62-107,,
6:11.0,,,62-107,,R. Neto enters the game for A. Burks
6:11.0,C. McCullough makes free throw 2 of 2,1,63-107,,
5:59.0,,,63-107,,Turnover by J. Jerebko (bad pass; steal by T. Satoransky)
5:51.0,,,63-107,,Personal foul by R. Rubio (drawn by K. Oubre)
5:41.0,Turnover by K. Oubre (lost ball; steal by J. Jerebko),,63-107,,
5:35.0,,,63-107,,Turnover by R. Rubio (bad pass; steal by M. Scott)
5:23.0,J. Meeks misses 2-pt shot from 13 ft,,63-107,,
5:18.0,,,63-107,,Defensive rebound by J. Jerebko
5:11.0,,,63-107,,J. Jerebko misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by C. McCullough,,63-107,,
4:53.0,C. McCullough misses 2-pt shot from 8 ft,,63-107,,
4:46.0,,,63-107,,Defensive rebound by R. O'Neale
4:43.0,,,63-109,2,E. Udoh makes 2-pt shot from 2 ft (assist by R. O'Neale)
4:23.0,C. McCullough misses 3-pt shot from 26 ft,,63-109,,
4:23.0,,,63-109,,Defensive rebound by Team
4:23.0,,,63-109,,A. Burks enters the game for R. Rubio
4:02.0,,,63-109,,A. Burks misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by J. Meeks,,63-109,,
3:46.0,J. Meeks misses 2-pt shot from 12 ft,,63-109,,
3:42.0,Offensive rebound by J. Meeks,,63-109,,
3:32.0,J. Meeks makes 2-pt shot from 4 ft,2,65-109,,
3:25.0,,,65-109,,R. Neto misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by T. Satoransky,,65-109,,
3:15.0,C. McCullough misses 2-pt shot from 6 ft,,65-109,,
3:11.0,,,65-109,,Defensive rebound by R. Neto
3:08.0,,,65-111,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Neto)
2:53.0,,,65-111,,Personal foul by R. O'Neale (drawn by T. Satoransky)
2:53.0,,,65-111,,Utah full timeout
2:53.0,T. Satoransky makes free throw 1 of 2,1,66-111,,
2:53.0,T. Satoransky makes free throw 2 of 2,1,67-111,,
2:40.0,,,67-111,,Turnover by J. Jerebko (traveling)
2:22.0,Turnover by J. Meeks (bad pass; steal by R. O'Neale),,67-111,,
2:18.0,,,67-113,2,R. Neto makes 2-pt shot from 2 ft (assist by R. O'Neale)
2:06.0,J. Meeks misses 2-pt shot from 10 ft,,67-113,,
1:56.0,Offensive rebound by C. McCullough,,67-113,,
1:56.0,C. McCullough makes 2-pt shot at rim,2,69-113,,
1:48.0,,,69-115,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Neto)
