time,Phoenix,pts.away,score,pts.home,Chicago
3:15.0,D. Bender enters the game for M. Chriss,,71-60,,
3:15.0,M. James enters the game for T. Ulis,,71-60,,
3:02.0,,,71-62,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Holiday)
2:50.0,J. Jackson misses 3-pt shot from 23 ft,,71-62,,
2:47.0,,,71-62,,Defensive rebound by B. Portis
2:44.0,,,71-65,3,A. Blakeney makes 3-pt shot from 23 ft (assist by B. Portis)
2:25.0,D. Booker makes 2-pt shot from 20 ft,2,73-65,,
2:13.0,,,73-67,2,B. Portis makes 2-pt shot from 14 ft (assist by J. Grant)
1:51.0,A. Len misses 2-pt shot from 16 ft,,73-67,,
1:46.0,,,73-67,,Defensive rebound by A. Blakeney
1:40.0,,,73-69,2,J. Grant makes 2-pt shot from 11 ft
1:27.0,T. Warren enters the game for D. Booker,,73-69,,
1:27.0,T. Daniels enters the game for J. Jackson,,73-69,,
1:13.0,T. Warren misses 2-pt shot from 1 ft,,73-69,,
1:09.0,Offensive rebound by T. Warren,,73-69,,
1:08.0,T. Warren misses 2-pt shot from 2 ft (block by R. Lopez),,73-69,,
1:08.0,,,73-69,,Defensive rebound by A. Blakeney
1:02.0,,,73-69,,Shooting foul by T. Warren (drawn by A. Blakeney)
1:02.0,,,73-70,1,A. Blakeney makes free throw 1 of 2
1:02.0,,,73-70,,C. Felicio enters the game for R. Lopez
1:02.0,,,73-70,,A. Blakeney misses free throw 2 of 2
0:56.0,Defensive rebound by T. Warren,,73-70,,
0:47.0,T. Warren misses 2-pt shot from 20 ft,,73-70,,
0:44.0,,,73-70,,Defensive rebound by A. Blakeney
0:38.0,,,73-70,,A. Blakeney misses 2-pt shot from 12 ft
0:34.0,,,73-70,,Offensive rebound by C. Felicio
0:32.0,,,73-70,,A. Blakeney misses 2-pt shot from 12 ft
0:32.0,,,73-70,,Offensive rebound by J. Grant
0:09.0,,,73-70,,J. Holiday misses 2-pt shot from 23 ft
0:07.0,Defensive rebound by A. Len,,73-70,,
0:00.0,M. James misses 3-pt shot from 25 ft,,73-70,,
0:00.0,Offensive rebound by Team,,73-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:55.0,T. Warren makes 2-pt shot at rim (assist by M. James),2,75-70,,
11:42.0,,,75-70,,J. Grant misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by A. Len,,75-70,,
11:21.0,Turnover by A. Len (bad pass; steal by C. Felicio),,75-70,,
11:18.0,,,75-70,,Turnover by A. Blakeney (step out of bounds)
11:07.0,,,75-70,,Personal foul by J. Grant (drawn by T. Daniels)
10:57.0,T. Warren makes 2-pt shot from 9 ft,2,77-70,,
10:42.0,,,77-70,,D. Valentine misses 2-pt shot at rim
10:42.0,,,77-70,,Offensive rebound by Team
10:36.0,,,77-70,,A. Blakeney misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by Team,,77-70,,
