time,Utah,pts.away,score,pts.home,Charlotte
5:43.0,J. Ingles misses 3-pt shot from 26 ft,,15-15,,
5:39.0,,,15-15,,Defensive rebound by N. Batum
5:35.0,,,15-18,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
5:34.0,Utah full timeout,,15-18,,
5:34.0,R. Hood enters the game for T. Sefolosha,,15-18,,
5:34.0,J. Johnson enters the game for R. Rubio,,15-18,,
5:15.0,R. Hood misses 3-pt shot from 25 ft,,15-18,,
5:12.0,,,15-18,,Defensive rebound by D. Howard
5:04.0,,,15-18,,Personal foul by M. Williams (drawn by D. Mitchell)
5:04.0,,,15-18,,Turnover by M. Williams (turnover)
5:04.0,,,15-18,,F. Kaminsky enters the game for M. Williams
4:45.0,D. Favors makes 2-pt shot from 4 ft (assist by J. Ingles),2,17-18,,
4:32.0,,,17-18,,D. Howard misses 2-pt shot from 3 ft (block by J. Johnson)
4:29.0,Defensive rebound by J. Ingles,,17-18,,
4:28.0,Turnover by J. Ingles (bad pass),,17-18,,
4:28.0,E. Udoh enters the game for D. Favors,,17-18,,
4:28.0,,,17-18,,Technical foul by D. Howard
4:28.0,D. Mitchell makes technical free throw,1,18-18,,
4:17.0,,,18-18,,Shooting foul by R. Hood (drawn by M. Kidd-Gilchrist)
4:17.0,,,18-19,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:17.0,,,18-20,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:58.0,E. Udoh misses 2-pt shot from 6 ft,,18-20,,
3:56.0,,,18-20,,Defensive rebound by D. Howard
3:39.0,,,18-20,,F. Kaminsky misses 2-pt shot from 1 ft (block by E. Udoh)
3:34.0,Defensive rebound by D. Mitchell,,18-20,,
3:31.0,J. Johnson misses 3-pt shot from 23 ft,,18-20,,
3:28.0,,,18-20,,Defensive rebound by K. Walker
3:20.0,,,18-20,,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Ingles)
3:16.0,,,18-20,,J. Lamb enters the game for M. Kidd-Gilchrist
3:16.0,R. O'Neale enters the game for J. Ingles,,18-20,,
3:07.0,D. Mitchell misses 3-pt shot from 26 ft,,18-20,,
3:05.0,,,18-20,,Defensive rebound by D. Howard
2:58.0,,,18-20,,N. Batum misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by R. O'Neale,,18-20,,
2:51.0,Shooting foul by F. Kaminsky (drawn by R. O'Neale),,18-20,,
2:51.0,R. O'Neale makes free throw 2 of 2,1,19-20,,
2:51.0,R. O'Neale makes free throw 1 of 2,1,20-20,,
2:51.0,,,20-20,,Charlotte full timeout
2:38.0,,,20-20,,Turnover by F. Kaminsky (bad pass; steal by E. Udoh)
2:25.0,R. Hood misses 2-pt shot from 3 ft,,20-20,,
2:23.0,,,20-20,,Defensive rebound by J. Lamb
2:18.0,,,20-22,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
2:18.0,,,20-22,,Shooting foul by J. Johnson (drawn by F. Kaminsky)
2:18.0,,,20-23,1,F. Kaminsky makes free throw 1 of 1
2:18.0,R. Rubio enters the game for D. Mitchell,,20-23,,
2:18.0,,,20-23,,M. Carter-Williams enters the game for K. Walker
2:06.0,R. Hood misses 2-pt shot from 19 ft,,20-23,,
2:06.0,Offensive rebound by E. Udoh,,20-23,,
1:56.0,Turnover by J. Johnson (traveling),,20-23,,
1:56.0,,,20-23,,J. O'Bryant enters the game for D. Howard
1:35.0,,,20-23,,F. Kaminsky misses 3-pt shot from 28 ft
1:31.0,Defensive rebound by R. O'Neale,,20-23,,
1:18.0,J. Johnson misses 2-pt shot from 11 ft,,20-23,,
1:18.0,,,20-23,,Defensive rebound by M. Carter-Williams
1:06.0,,,20-25,2,J. Lamb makes 2-pt shot from 19 ft
0:45.0,R. O'Neale makes 2-pt shot from 1 ft (assist by J. Johnson),2,22-25,,
0:26.0,,,22-25,,N. Batum misses 3-pt shot from 22 ft
0:23.0,Defensive rebound by R. O'Neale,,22-25,,
0:01.0,R. O'Neale makes 3-pt shot from 25 ft (assist by R. Hood),3,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Johnson makes 2-pt shot from 7 ft (assist by R. O'Neale),2,27-25,,
11:30.0,Personal foul by E. Udoh (drawn by J. Lamb),,27-25,,
11:20.0,,,27-25,,J. Lamb misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by J. Johnson,,27-25,,
11:02.0,J. Johnson misses 2-pt shot from 15 ft,,27-25,,
11:00.0,,,27-25,,Defensive rebound by J. Lamb
10:48.0,,,27-25,,Shooting foul by J. Johnson (drawn by F. Kaminsky)
10:48.0,,,27-26,1,F. Kaminsky makes free throw 1 of 2
10:48.0,T. Sefolosha enters the game for J. Johnson,,27-26,,
10:48.0,,,27-27,1,F. Kaminsky makes free throw 2 of 2
10:27.0,R. Hood makes 3-pt shot from 27 ft (assist by R. Rubio),3,30-27,,
10:02.0,,,30-27,,F. Kaminsky misses 2-pt shot from 18 ft
9:59.0,Defensive rebound by R. O'Neale,,30-27,,
9:53.0,Turnover by R. O'Neale (bad pass; steal by M. Carter-Williams),,30-27,,
9:52.0,Personal take foul by R. Rubio (drawn by M. Carter-Williams),,30-27,,
9:33.0,,,30-27,,T. Graham misses 2-pt shot from 9 ft
9:31.0,Defensive rebound by R. O'Neale,,30-27,,
9:18.0,R. Rubio makes 2-pt shot from 10 ft,2,32-27,,
9:00.0,,,32-27,,J. O'Bryant misses 2-pt shot from 7 ft
8:57.0,Defensive rebound by R. Rubio,,32-27,,
8:53.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Rubio),2,34-27,,
8:53.0,,,34-27,,Charlotte full timeout
8:53.0,D. Mitchell enters the game for R. Hood,,34-27,,
8:33.0,,,34-29,2,M. Carter-Williams makes 2-pt shot from 8 ft (assist by F. Kaminsky)
8:16.0,E. Udoh misses 2-pt shot from 8 ft,,34-29,,
8:13.0,,,34-29,,Defensive rebound by J. Lamb
8:02.0,,,34-29,,J. O'Bryant misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by R. O'Neale,,34-29,,
7:53.0,R. O'Neale misses 2-pt shot from 3 ft,,34-29,,
7:50.0,Offensive rebound by T. Sefolosha,,34-29,,
7:43.0,T. Sefolosha misses 2-pt shot from 13 ft (block by M. Carter-Williams),,34-29,,
7:38.0,,,34-29,,Defensive rebound by J. Lamb
7:34.0,Personal foul by R. O'Neale (drawn by J. Lamb),,34-29,,
7:34.0,D. Favors enters the game for E. Udoh,,34-29,,
7:27.0,,,34-31,2,J. Lamb makes 2-pt shot at rim
7:09.0,Shooting foul by J. Lamb (drawn by D. Mitchell),,34-31,,
7:09.0,D. Mitchell makes free throw 1 of 2,1,35-31,,
7:09.0,,,35-31,,K. Walker enters the game for M. Carter-Williams
7:09.0,J. Ingles enters the game for R. O'Neale,,35-31,,
7:09.0,D. Mitchell makes free throw 2 of 2,1,36-31,,
6:57.0,,,36-33,2,J. Lamb makes 2-pt shot from 2 ft
6:45.0,R. Rubio misses 2-pt shot from 16 ft,,36-33,,
6:43.0,,,36-33,,Defensive rebound by Team
6:43.0,,,36-33,,D. Howard enters the game for J. O'Bryant
6:27.0,,,36-33,,F. Kaminsky misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by R. Rubio,,36-33,,
6:16.0,D. Mitchell makes 2-pt shot from 7 ft (assist by R. Rubio),2,38-33,,
6:01.0,,,38-33,,F. Kaminsky misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by T. Sefolosha,,38-33,,
5:43.0,D. Mitchell misses 3-pt shot from 25 ft,,38-33,,
5:39.0,,,38-33,,Defensive rebound by J. Lamb
5:25.0,,,38-35,2,F. Kaminsky makes 2-pt shot from 7 ft (assist by D. Howard)
5:07.0,R. Rubio misses 2-pt shot from 17 ft,,38-35,,
5:04.0,,,38-35,,Defensive rebound by D. Howard
5:02.0,,,38-35,,Shooting foul by D. Favors (drawn by K. Walker)
5:02.0,,,38-35,,K. Walker misses free throw 1 of 2
5:02.0,,,38-35,,Offensive rebound by Team
5:02.0,,,38-35,,M. Kidd-Gilchrist enters the game for J. Lamb
5:02.0,,,38-35,,N. Batum enters the game for T. Graham
5:02.0,,,38-35,,M. Williams enters the game for F. Kaminsky
5:02.0,,,38-36,1,K. Walker makes free throw 2 of 2
4:49.0,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Rubio),2,40-36,,
4:26.0,,,40-36,,N. Batum misses 3-pt shot from 25 ft
4:26.0,,,40-36,,Offensive rebound by M. Kidd-Gilchrist
4:22.0,,,40-36,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Ingles)
4:22.0,,,40-36,,Offensive rebound by Team
4:22.0,R. O'Neale enters the game for R. Rubio,,40-36,,
4:11.0,,,40-39,3,K. Walker makes 3-pt shot from 25 ft
3:46.0,D. Mitchell misses 3-pt shot from 29 ft,,40-39,,
3:41.0,,,40-39,,Defensive rebound by N. Batum
3:35.0,,,40-42,3,K. Walker makes 3-pt shot from 24 ft (assist by M. Williams)
3:34.0,Utah full timeout,,40-42,,
3:34.0,J. Johnson enters the game for T. Sefolosha,,40-42,,
3:22.0,J. Ingles misses 2-pt shot from 2 ft,,40-42,,
3:22.0,,,40-42,,Defensive rebound by Team
3:05.0,,,40-42,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
3:01.0,Defensive rebound by D. Mitchell,,40-42,,
2:51.0,Shooting foul by K. Walker (drawn by D. Mitchell),,40-42,,
2:51.0,D. Mitchell makes free throw 1 of 2,1,41-42,,
2:51.0,R. Rubio enters the game for R. O'Neale,,41-42,,
2:51.0,D. Mitchell makes free throw 2 of 2,1,42-42,,
2:32.0,,,42-42,,N. Batum misses 2-pt shot from 18 ft
2:29.0,Defensive rebound by R. Rubio,,42-42,,
2:14.0,R. Rubio misses 2-pt shot from 3 ft,,42-42,,
2:14.0,,,42-42,,Defensive rebound by Team
1:53.0,,,42-42,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
1:49.0,Defensive rebound by R. Rubio,,42-42,,
1:32.0,D. Favors misses 2-pt shot from 3 ft,,42-42,,
1:31.0,,,42-42,,Defensive rebound by M. Williams
1:31.0,Personal foul by J. Ingles (drawn by K. Walker),,42-42,,
1:31.0,,,42-43,1,K. Walker makes free throw 1 of 2
1:31.0,,,42-43,,F. Kaminsky enters the game for M. Williams
1:31.0,,,42-44,1,K. Walker makes free throw 2 of 2
1:19.0,,,42-44,,Violation by K. Walker (kicked ball)
1:12.0,D. Mitchell makes 2-pt shot from 11 ft,2,44-44,,
0:56.0,,,44-47,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
0:44.0,,,44-47,,Personal foul by D. Howard (drawn by D. Favors)
0:37.0,D. Mitchell makes 2-pt shot from 8 ft,2,46-47,,
0:25.0,,,46-50,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by K. Walker)
0:05.0,R. Rubio misses 3-pt shot from 25 ft,,46-50,,
0:02.0,,,46-50,,Defensive rebound by F. Kaminsky
0:00.0,,,46-50,,Shooting foul by J. Johnson (drawn by M. Kidd-Gilchrist)
0:00.0,,,46-51,1,M. Kidd-Gilchrist makes free throw 1 of 2
0:00.0,E. Udoh enters the game for J. Johnson,,46-51,,
0:00.0,,,46-52,1,M. Kidd-Gilchrist makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by R. Rubio (bad pass; steal by M. Kidd-Gilchrist),,46-52,,
11:37.0,,,46-52,,K. Walker misses 2-pt shot from 19 ft
11:28.0,,,46-52,,Offensive rebound by D. Howard
11:28.0,,,46-52,,D. Howard misses 2-pt shot at rim
11:27.0,Defensive rebound by J. Ingles,,46-52,,
11:22.0,R. Rubio makes 2-pt shot from 19 ft (assist by T. Sefolosha),2,48-52,,
11:02.0,,,48-52,,M. Williams misses 3-pt shot from 27 ft
10:58.0,Defensive rebound by D. Favors,,48-52,,
10:50.0,R. Rubio misses 2-pt shot from 10 ft,,48-52,,
10:47.0,,,48-52,,Defensive rebound by D. Howard
10:36.0,,,48-52,,D. Howard misses 2-pt shot from 10 ft
10:33.0,Defensive rebound by R. Rubio,,48-52,,
10:23.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by D. Favors),3,51-52,,
10:06.0,,,51-52,,Offensive foul by M. Williams (drawn by J. Ingles)
10:06.0,,,51-52,,Turnover by M. Williams (offensive foul)
9:49.0,T. Sefolosha makes 2-pt shot from 5 ft,2,53-52,,
9:35.0,,,53-55,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
9:20.0,Turnover by J. Ingles (bad pass; steal by M. Williams),,53-55,,
9:19.0,Personal foul by T. Sefolosha (drawn by M. Kidd-Gilchrist),,53-55,,
9:10.0,Def 3 sec tech foul by D. Mitchell,,53-55,,
9:10.0,,,53-56,1,K. Walker makes technical free throw
9:10.0,J. Johnson enters the game for T. Sefolosha,,53-56,,
9:07.0,Personal foul by J. Ingles (drawn by N. Batum),,53-56,,
8:58.0,,,53-58,2,D. Howard makes 2-pt shot from 4 ft
8:41.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. Favors),3,56-58,,
8:25.0,,,56-58,,K. Walker misses 2-pt shot from 14 ft
8:23.0,Defensive rebound by J. Ingles,,56-58,,
8:16.0,R. Rubio misses 3-pt shot from 26 ft,,56-58,,
8:12.0,,,56-58,,Defensive rebound by M. Williams
8:04.0,,,56-58,,Shooting foul by D. Favors (drawn by D. Howard)
8:04.0,,,56-59,1,D. Howard makes free throw 1 of 2
8:04.0,,,56-60,1,D. Howard makes free throw 2 of 2
7:43.0,R. Rubio misses 2-pt shot from 18 ft,,56-60,,
7:38.0,,,56-60,,Defensive rebound by M. Williams
7:26.0,,,56-60,,K. Walker misses 3-pt shot from 28 ft
7:24.0,Defensive rebound by Team,,56-60,,
7:24.0,R. O'Neale enters the game for J. Ingles,,56-60,,
7:09.0,D. Favors misses 2-pt shot from 12 ft,,56-60,,
7:05.0,,,56-60,,Defensive rebound by M. Williams
6:50.0,,,56-60,,D. Howard misses 2-pt shot from 5 ft (block by R. Rubio)
6:50.0,Defensive rebound by D. Mitchell,,56-60,,
6:50.0,,,56-60,,Personal take foul by K. Walker (drawn by D. Mitchell)
6:50.0,,,56-60,,Charlotte full timeout
6:50.0,R. Hood enters the game for R. Rubio,,56-60,,
6:39.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Mitchell),,56-60,,
6:39.0,D. Mitchell makes free throw 1 of 2,1,57-60,,
6:39.0,D. Mitchell makes free throw 2 of 2,1,58-60,,
6:22.0,,,58-60,,M. Williams misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by R. O'Neale,,58-60,,
6:13.0,Offensive foul by R. O'Neale (drawn by K. Walker),,58-60,,
6:13.0,Turnover by R. O'Neale (offensive foul),,58-60,,
5:56.0,,,58-60,,K. Walker misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by R. O'Neale,,58-60,,
5:50.0,R. O'Neale makes 2-pt shot from 1 ft,2,60-60,,
5:42.0,,,60-63,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
5:26.0,R. O'Neale misses 3-pt shot from 25 ft,,60-63,,
5:22.0,,,60-63,,Defensive rebound by K. Walker
5:09.0,,,60-65,2,N. Batum makes 2-pt shot from 9 ft
4:51.0,R. Hood misses 3-pt shot from 24 ft,,60-65,,
4:47.0,,,60-65,,Defensive rebound by D. Howard
4:39.0,,,60-65,,Turnover by N. Batum (traveling)
4:39.0,,,60-65,,F. Kaminsky enters the game for M. Williams
4:39.0,E. Udoh enters the game for D. Favors,,60-65,,
4:21.0,E. Udoh misses 2-pt shot from 6 ft (block by D. Howard),,60-65,,
4:15.0,Offensive rebound by R. O'Neale,,60-65,,
4:15.0,Turnover by Team (shot clock),,60-65,,
3:58.0,,,60-65,,F. Kaminsky misses 3-pt shot from 25 ft
3:54.0,,,60-65,,Offensive rebound by M. Kidd-Gilchrist
3:54.0,,,60-67,2,M. Kidd-Gilchrist makes 2-pt shot at rim
3:51.0,Utah full timeout,,60-67,,
3:37.0,D. Mitchell misses 2-pt shot from 3 ft,,60-67,,
3:33.0,Offensive rebound by D. Mitchell,,60-67,,
3:33.0,D. Mitchell makes 2-pt shot at rim,2,62-67,,
3:22.0,,,62-67,,K. Walker misses 2-pt shot from 15 ft (block by E. Udoh)
3:18.0,Defensive rebound by D. Mitchell,,62-67,,
3:17.0,Shooting foul by D. Howard (drawn by D. Mitchell),,62-67,,
3:17.0,D. Mitchell makes free throw 1 of 2,1,63-67,,
3:17.0,,,63-67,,J. Lamb enters the game for M. Kidd-Gilchrist
3:17.0,D. Mitchell makes free throw 2 of 2,1,64-67,,
3:05.0,,,64-67,,N. Batum misses 2-pt shot from 12 ft
3:03.0,,,64-67,,Offensive rebound by D. Howard
3:03.0,,,64-67,,D. Howard misses 2-pt shot at rim
3:03.0,Defensive rebound by Team,,64-67,,
2:59.0,Jump ball: D. Howard vs. R. Hood (J. Johnson gains possession),,,,Jump ball: D. Howard vs. R. Hood (J. Johnson gains possession)
2:59.0,D. Mitchell makes 3-pt shot from 26 ft,3,67-67,,
2:32.0,,,67-67,,D. Howard misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by R. O'Neale,,67-67,,
2:31.0,,,67-67,,Personal foul by D. Howard (drawn by R. O'Neale)
2:31.0,,,67-67,,T. Graham enters the game for D. Howard
2:12.0,J. Johnson misses 2-pt shot from 6 ft,,67-67,,
2:12.0,,,67-67,,Defensive rebound by J. Lamb
2:01.0,,,67-67,,Shooting foul by R. O'Neale (drawn by J. Lamb)
2:01.0,,,67-68,1,J. Lamb makes free throw 1 of 2
2:01.0,J. Ingles enters the game for D. Mitchell,,67-68,,
2:01.0,,,67-68,,J. Lamb misses free throw 2 of 2
1:57.0,Defensive rebound by J. Johnson,,67-68,,
1:42.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Ingles),3,70-68,,
1:21.0,,,70-68,,T. Graham misses 3-pt shot from 27 ft
1:17.0,,,70-68,,Offensive rebound by T. Graham
1:15.0,,,70-70,2,F. Kaminsky makes 2-pt shot at rim (assist by T. Graham)
0:58.0,Shooting foul by F. Kaminsky (drawn by R. O'Neale),,70-70,,
0:58.0,R. O'Neale makes free throw 1 of 2,1,71-70,,
0:58.0,,,71-70,,M. Carter-Williams enters the game for K. Walker
0:58.0,R. O'Neale makes free throw 2 of 2,1,72-70,,
0:39.0,,,72-72,2,F. Kaminsky makes 2-pt shot from 11 ft (assist by J. Lamb)
0:23.0,J. Johnson misses 3-pt shot from 25 ft,,72-72,,
0:20.0,,,72-72,,Defensive rebound by J. Lamb
0:01.0,,,72-72,,Shooting foul by J. Ingles (drawn by T. Graham)
0:01.0,,,72-73,1,T. Graham makes free throw 1 of 2
0:01.0,,,72-74,1,T. Graham makes free throw 2 of 2
0:00.0,R. O'Neale misses 3-pt shot from 55 ft,,72-74,,
0:00.0,Offensive rebound by Team,,72-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,72-74,,Offensive foul by M. Williams (drawn by R. Hood)
11:39.0,,,72-74,,Turnover by M. Williams (offensive foul)
11:39.0,J. Jerebko enters the game for R. O'Neale,,72-74,,
11:27.0,R. Hood misses 3-pt shot from 24 ft,,72-74,,
11:24.0,,,72-74,,Defensive rebound by F. Kaminsky
11:18.0,,,72-74,,Turnover by T. Graham (bad pass)
11:06.0,J. Ingles misses 3-pt shot from 23 ft,,72-74,,
11:04.0,,,72-74,,Defensive rebound by T. Graham
10:53.0,,,72-76,2,J. Lamb makes 2-pt shot from 9 ft
10:39.0,,,72-76,,Personal foul by M. Carter-Williams (drawn by E. Udoh)
10:32.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Ingles),3,75-76,,
10:19.0,Personal foul by R. Rubio (drawn by M. Carter-Williams),,75-76,,
10:08.0,,,75-76,,J. Lamb misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by R. Rubio,,75-76,,
10:00.0,J. Jerebko misses 3-pt shot from 24 ft,,75-76,,
9:58.0,Offensive rebound by E. Udoh,,75-76,,
9:58.0,Shooting foul by J. Lamb (drawn by E. Udoh),,75-76,,
9:58.0,E. Udoh makes free throw 1 of 2,1,76-76,,
9:58.0,E. Udoh misses free throw 2 of 2,,76-76,,
9:54.0,,,76-76,,Defensive rebound by M. Carter-Williams
9:29.0,,,76-76,,F. Kaminsky misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by J. Ingles,,76-76,,
9:20.0,,,76-76,,Personal foul by M. Carter-Williams (drawn by R. Rubio)
9:20.0,,,76-76,,K. Walker enters the game for T. Graham
9:12.0,R. Hood misses 3-pt shot from 26 ft,,76-76,,
9:09.0,Offensive rebound by R. Rubio,,76-76,,
9:01.0,J. Ingles misses 3-pt shot from 22 ft,,76-76,,
8:59.0,,,76-76,,Defensive rebound by J. Lamb
8:38.0,,,76-76,,M. Williams misses 3-pt shot from 22 ft
8:36.0,,,76-76,,Offensive rebound by M. Carter-Williams
8:33.0,,,76-76,,M. Williams misses 3-pt shot from 23 ft
8:29.0,,,76-76,,Offensive rebound by F. Kaminsky
8:29.0,,,76-78,2,F. Kaminsky makes 2-pt shot at rim
8:14.0,Turnover by J. Ingles (bad pass; steal by M. Williams),,76-78,,
8:13.0,Personal foul by J. Jerebko (drawn by M. Williams),,76-78,,
8:13.0,D. Mitchell enters the game for R. Rubio,,76-78,,
8:13.0,,,76-79,1,M. Williams makes clear path free throw 1 of 2
8:13.0,,,76-80,1,M. Williams makes clear path free throw 2 of 2
7:55.0,,,76-80,,K. Walker misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by E. Udoh,,76-80,,
7:38.0,R. Hood makes 2-pt shot from 2 ft,2,78-80,,
7:21.0,,,78-83,3,M. Williams makes 3-pt shot from 22 ft (assist by M. Carter-Williams)
7:03.0,Shooting foul by F. Kaminsky (drawn by R. Hood),,78-83,,
7:03.0,,,78-83,,N. Batum enters the game for M. Carter-Williams
7:03.0,R. Hood makes free throw 1 of 2,1,79-83,,
7:03.0,R. Hood makes free throw 2 of 2,1,80-83,,
6:39.0,,,80-85,2,K. Walker makes 2-pt shot from 19 ft
6:26.0,,,80-85,,Personal foul by J. Lamb (drawn by R. Hood)
6:26.0,,,80-85,,Charlotte full timeout
6:26.0,,,80-85,,D. Howard enters the game for M. Williams
6:26.0,J. Johnson enters the game for J. Jerebko,,80-85,,
6:26.0,R. Hood makes free throw 1 of 2,1,81-85,,
6:26.0,D. Favors enters the game for E. Udoh,,81-85,,
6:26.0,R. Hood makes free throw 2 of 2,1,82-85,,
6:17.0,,,82-85,,K. Walker misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by R. Hood,,82-85,,
5:58.0,D. Mitchell makes 3-pt shot from 29 ft (assist by J. Ingles),3,85-85,,
5:31.0,,,85-85,,J. Lamb misses 2-pt shot from 10 ft
5:31.0,,,85-85,,Offensive rebound by Team
5:31.0,Loose ball foul by J. Ingles (drawn by D. Howard),,85-85,,
5:31.0,R. O'Neale enters the game for R. Hood,,85-85,,
5:21.0,,,85-87,2,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum)
5:10.0,Turnover by D. Mitchell (bad pass; steal by N. Batum),,85-87,,
5:05.0,,,85-89,2,N. Batum makes 2-pt shot from 14 ft
5:02.0,Utah full timeout,,85-89,,
4:49.0,Turnover by D. Mitchell (bad pass; steal by D. Howard),,85-89,,
4:35.0,,,85-89,,D. Howard misses 2-pt shot from 7 ft (block by D. Favors)
4:31.0,Defensive rebound by D. Favors,,85-89,,
4:15.0,D. Mitchell misses 3-pt shot from 29 ft,,85-89,,
4:11.0,,,85-89,,Defensive rebound by D. Howard
4:01.0,,,85-89,,Shooting foul by R. O'Neale (drawn by D. Howard)
4:01.0,,,85-89,,D. Howard misses free throw 1 of 2
4:01.0,,,85-89,,Offensive rebound by Team
4:01.0,,,85-89,,M. Kidd-Gilchrist enters the game for J. Lamb
4:01.0,R. Hood enters the game for R. O'Neale,,85-89,,
4:01.0,,,85-89,,D. Howard misses free throw 2 of 2
3:58.0,Defensive rebound by D. Favors,,85-89,,
3:58.0,Utah full timeout,,85-89,,
3:44.0,R. Hood misses 2-pt shot from 18 ft,,85-89,,
3:42.0,,,85-89,,Defensive rebound by D. Howard
