time,Sacramento,pts.away,score,pts.home,Boston
7:27.0,B. Hield misses 2-pt shot from 6 ft (block by D. Theis),,30-40,,
7:24.0,,,30-40,,Defensive rebound by D. Theis
7:16.0,,,30-40,,Turnover by M. Smart (bad pass; steal by V. Carter)
7:12.0,Shooting foul by M. Smart (drawn by J. Jackson),,30-40,,
7:12.0,J. Jackson makes free throw 1 of 2,1,31-40,,
7:12.0,J. Jackson misses free throw 2 of 2,,31-40,,
7:12.0,Offensive rebound by J. Jackson,,31-40,,
6:59.0,J. Jackson misses 3-pt shot from 23 ft,,31-40,,
6:58.0,,,31-40,,Defensive rebound by J. Tatum
6:44.0,Personal foul by B. Hield (drawn by M. Smart),,31-40,,
6:37.0,,,31-40,,Shooting foul by V. Carter (drawn by J. Tatum)
6:37.0,,,31-41,1,J. Tatum makes free throw 1 of 2
6:37.0,,,31-42,1,J. Tatum makes free throw 2 of 2
6:17.0,Turnover by V. Carter (traveling),,31-42,,
6:01.0,,,31-44,2,T. Rozier makes 2-pt shot from 12 ft
5:54.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,33-44,,
5:35.0,,,33-47,3,T. Rozier makes 3-pt shot from 27 ft (assist by M. Smart)
5:20.0,,,33-47,,Personal foul by T. Rozier (drawn by V. Carter)
5:10.0,,,33-47,,Personal foul by S. Ojeleye (drawn by V. Carter)
5:10.0,,,33-47,,A. Baynes enters the game for D. Theis
4:58.0,K. Koufos makes 2-pt shot from 8 ft,2,35-47,,
4:42.0,,,35-50,3,J. Tatum makes 3-pt shot from 26 ft (assist by M. Smart)
4:29.0,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox),3,38-50,,
4:04.0,,,38-50,,K. Irving enters the game for M. Smart
4:04.0,B. Bogdanovic enters the game for J. Jackson,,38-50,,
4:04.0,W. Cauley-Stein enters the game for K. Koufos,,38-50,,
4:02.0,,,38-50,,T. Rozier misses 3-pt shot from 57 ft
4:02.0,,,38-50,,Offensive rebound by Team
4:02.0,,,38-50,,Turnover by Team (shot clock)
3:44.0,B. Hield misses 3-pt shot from 27 ft,,38-50,,
3:41.0,,,38-50,,Defensive rebound by J. Tatum
3:33.0,,,38-50,,J. Tatum misses 2-pt shot from 7 ft (block by V. Carter)
3:32.0,,,38-50,,Offensive rebound by A. Baynes
3:24.0,,,38-53,3,S. Ojeleye makes 3-pt shot from 26 ft (assist by T. Rozier)
3:13.0,Shooting foul by T. Rozier (drawn by V. Carter),,38-53,,
3:13.0,V. Carter makes free throw 1 of 2,1,39-53,,
3:13.0,G. Hill enters the game for D. Fox,,39-53,,
3:13.0,V. Carter makes free throw 2 of 2,1,40-53,,
3:00.0,,,40-53,,Turnover by K. Irving (bad pass; steal by G. Hill)
2:57.0,Turnover by B. Hield (bad pass; steal by K. Irving),,40-53,,
2:53.0,,,40-53,,T. Rozier misses 3-pt shot from 25 ft
2:51.0,,,40-53,,Offensive rebound by A. Baynes
2:51.0,,,40-53,,A. Baynes misses 2-pt shot at rim
2:51.0,Defensive rebound by Team,,40-53,,
2:51.0,,,40-53,,Boston full timeout
2:51.0,,,40-53,,A. Horford enters the game for J. Tatum
2:51.0,,,40-53,,J. Brown enters the game for T. Rozier
2:51.0,,,40-53,,M. Smart enters the game for S. Ojeleye
2:51.0,G. Temple enters the game for B. Hield,,40-53,,
2:51.0,Z. Randolph enters the game for V. Carter,,40-53,,
2:31.0,G. Temple misses 2-pt shot from 13 ft,,40-53,,
2:28.0,Offensive rebound by W. Cauley-Stein,,40-53,,
2:19.0,Z. Randolph misses 2-pt shot from 20 ft,,40-53,,
2:19.0,Offensive rebound by Team,,40-53,,
2:18.0,,,40-53,,Loose ball foul by J. Brown (drawn by B. Bogdanovic)
2:18.0,B. Bogdanovic makes free throw 1 of 2,1,41-53,,
2:18.0,B. Bogdanovic makes free throw 2 of 2,1,42-53,,
2:04.0,,,42-55,2,A. Baynes makes 2-pt shot from 8 ft (assist by A. Horford)
1:44.0,Turnover by G. Temple (bad pass; steal by M. Smart),,42-55,,
1:39.0,Violation by G. Hill (kicked ball),,42-55,,
1:32.0,,,42-55,,K. Irving misses 2-pt shot from 1 ft
1:31.0,Defensive rebound by Team,,42-55,,
1:20.0,Turnover by W. Cauley-Stein (bad pass),,42-55,,
1:10.0,,,42-55,,K. Irving misses 2-pt shot from 1 ft
1:09.0,,,42-55,,Offensive rebound by A. Baynes
1:09.0,,,42-55,,A. Baynes misses 2-pt shot at rim
1:08.0,Defensive rebound by Z. Randolph,,42-55,,
0:51.0,Z. Randolph makes 2-pt shot from 1 ft,2,44-55,,
0:51.0,Shooting foul by A. Horford (drawn by Z. Randolph),,44-55,,
0:51.0,Z. Randolph makes free throw 1 of 1,1,45-55,,
0:36.0,,,45-55,,A. Baynes misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
0:36.0,,,45-55,,Offensive rebound by Team
0:30.0,,,45-58,3,A. Horford makes 3-pt shot from 23 ft (assist by M. Smart)
0:07.0,B. Bogdanovic misses 2-pt shot from 2 ft,,45-58,,
0:05.0,,,45-58,,Defensive rebound by J. Brown
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,B. Bogdanovic misses 3-pt shot from 25 ft,,45-58,,
11:40.0,,,45-58,,Defensive rebound by J. Brown
11:31.0,,,45-58,,Offensive foul by A. Baynes (drawn by G. Temple)
11:31.0,,,45-58,,Turnover by A. Baynes (offensive foul)
11:12.0,Z. Randolph misses 2-pt shot from 19 ft,,45-58,,
11:07.0,,,45-58,,Defensive rebound by A. Baynes
11:02.0,,,45-61,3,K. Irving makes 3-pt shot from 26 ft (assist by A. Horford)
10:44.0,Turnover by G. Hill (bad pass; steal by K. Irving),,45-61,,
10:38.0,,,45-63,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving)
10:17.0,Z. Randolph makes 2-pt shot from 13 ft,2,47-63,,
10:00.0,,,47-66,3,K. Irving makes 3-pt shot from 26 ft
9:47.0,G. Hill makes 3-pt shot from 25 ft (assist by G. Temple),3,50-66,,
9:33.0,,,50-66,,Shooting foul by G. Hill (drawn by J. Brown)
9:33.0,,,50-66,,J. Brown misses free throw 1 of 2
9:33.0,,,50-66,,Offensive rebound by Team
9:33.0,,,50-67,1,J. Brown makes free throw 2 of 2
9:09.0,B. Bogdanovic makes 2-pt shot from 18 ft,2,52-67,,
8:41.0,,,52-70,3,J. Brown makes 3-pt shot from 24 ft (assist by A. Horford)
8:17.0,B. Bogdanovic misses 3-pt shot from 25 ft,,52-70,,
8:15.0,Offensive rebound by Team,,52-70,,
8:15.0,,,52-70,,Loose ball foul by A. Baynes (drawn by W. Cauley-Stein)
8:00.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by A. Horford),,52-70,,
7:58.0,,,52-70,,Defensive rebound by A. Baynes
7:50.0,,,52-70,,J. Tatum misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by Team,,52-70,,
7:35.0,G. Hill misses 2-pt shot from 13 ft,,52-70,,
7:31.0,,,52-70,,Defensive rebound by A. Baynes
7:26.0,,,52-70,,K. Irving misses 2-pt shot from 3 ft (block by Z. Randolph)
7:26.0,Defensive rebound by G. Temple,,52-70,,
7:12.0,Z. Randolph makes 2-pt shot from 2 ft (assist by W. Cauley-Stein),2,54-70,,
6:59.0,,,54-70,,K. Irving misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by Z. Randolph,,54-70,,
6:37.0,B. Bogdanovic misses 3-pt shot from 22 ft,,54-70,,
6:34.0,,,54-70,,Defensive rebound by A. Horford
6:28.0,,,54-70,,Turnover by A. Horford (bad pass)
6:28.0,,,54-70,,Boston full timeout
6:18.0,,,54-70,,Personal foul by J. Brown (drawn by G. Temple)
6:13.0,B. Bogdanovic misses 2-pt shot from 10 ft,,54-70,,
6:10.0,Offensive rebound by Team,,54-70,,
6:04.0,Offensive foul by W. Cauley-Stein (drawn by J. Tatum),,54-70,,
6:04.0,Turnover by W. Cauley-Stein (offensive foul),,54-70,,
5:39.0,,,54-70,,J. Brown misses 3-pt shot from 26 ft (block by B. Bogdanovic)
5:39.0,,,54-70,,Offensive rebound by Team
5:39.0,,,54-70,,Turnover by Team (shot clock)
5:39.0,B. Hield enters the game for B. Bogdanovic,,54-70,,
5:39.0,K. Koufos enters the game for W. Cauley-Stein,,54-70,,
5:25.0,B. Hield misses 3-pt shot from 26 ft,,54-70,,
5:22.0,,,54-70,,Defensive rebound by J. Brown
5:11.0,Personal foul by G. Temple (drawn by J. Tatum),,54-70,,
5:11.0,,,54-70,,M. Smart enters the game for J. Tatum
4:59.0,,,54-72,2,A. Horford makes 2-pt shot from 4 ft
4:42.0,G. Hill misses 2-pt shot from 8 ft,,54-72,,
4:37.0,Offensive rebound by Z. Randolph,,54-72,,
4:37.0,Z. Randolph misses 2-pt shot at rim,,54-72,,
4:37.0,Offensive rebound by Z. Randolph,,54-72,,
4:34.0,Z. Randolph misses 2-pt shot at rim,,54-72,,
4:34.0,,,54-72,,Defensive rebound by A. Horford
4:31.0,,,54-75,3,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford)
4:13.0,B. Hield misses 2-pt shot from 8 ft,,54-75,,
4:13.0,,,54-75,,Defensive rebound by A. Baynes
4:05.0,,,54-78,3,J. Brown makes 3-pt shot from 25 ft (assist by K. Irving)
4:04.0,Sacramento full timeout,,54-78,,
4:04.0,D. Fox enters the game for G. Hill,,54-78,,
4:04.0,S. Labissiere enters the game for Z. Randolph,,54-78,,
3:52.0,D. Fox misses 2-pt shot from 12 ft,,54-78,,
3:49.0,,,54-78,,Defensive rebound by A. Horford
3:34.0,,,54-78,,A. Horford misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by B. Hield,,54-78,,
3:11.0,Turnover by B. Hield (bad pass; steal by K. Irving),,54-78,,
3:07.0,,,54-80,2,K. Irving makes 2-pt shot from 1 ft
2:50.0,S. Labissiere makes 2-pt shot at rim,2,56-80,,
2:29.0,,,56-82,2,K. Irving makes 2-pt shot from 21 ft (assist by A. Baynes)
2:23.0,Turnover by D. Fox (bad pass; steal by K. Irving),,56-82,,
2:19.0,,,56-82,,Turnover by A. Horford (lost ball; steal by K. Koufos)
2:10.0,,,56-82,,Personal foul by M. Smart (drawn by D. Fox)
2:10.0,,,56-82,,T. Rozier enters the game for J. Brown
2:10.0,,,56-82,,D. Theis enters the game for A. Baynes
2:10.0,J. Jackson enters the game for G. Temple,,56-82,,
1:55.0,S. Labissiere misses 2-pt shot from 9 ft,,56-82,,
1:52.0,,,56-82,,Defensive rebound by D. Theis
1:42.0,,,56-85,3,K. Irving makes 3-pt shot from 25 ft (assist by A. Horford)
1:28.0,S. Labissiere misses 2-pt shot from 6 ft,,56-85,,
1:26.0,,,56-85,,Defensive rebound by D. Theis
1:21.0,,,56-85,,K. Irving misses 3-pt shot from 28 ft
1:19.0,Defensive rebound by K. Koufos,,56-85,,
1:18.0,,,56-85,,S. Ojeleye enters the game for A. Horford
1:06.0,Turnover by B. Hield (bad pass; steal by T. Rozier),,56-85,,
1:04.0,,,56-85,,Shooting foul by D. Fox (drawn by T. Rozier)
1:04.0,,,56-86,1,T. Rozier makes free throw 1 of 2
1:04.0,,,56-86,,A. Nader enters the game for K. Irving
1:04.0,,,56-87,1,T. Rozier makes free throw 2 of 2
0:59.0,Shooting foul by D. Theis (drawn by D. Fox),,56-87,,
0:59.0,D. Fox makes free throw 1 of 2,1,57-87,,
0:59.0,D. Fox makes free throw 2 of 2,1,58-87,,
0:35.0,,,58-89,2,D. Theis makes 2-pt shot from 1 ft (assist by T. Rozier)
0:25.0,J. Jackson makes 2-pt shot from 12 ft (assist by S. Labissiere),2,60-89,,
0:03.0,,,60-89,,M. Smart misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by K. Koufos,,60-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,60-89,,Turnover by A. Nader (traveling)
11:34.0,J. Jackson makes 2-pt shot from 18 ft (assist by D. Fox),2,62-89,,
11:17.0,,,62-89,,Turnover by T. Rozier (lost ball; steal by D. Fox)
11:14.0,B. Hield makes 2-pt shot at rim (assist by D. Fox),2,64-89,,
11:14.0,Shooting foul by M. Smart (drawn by B. Hield),,64-89,,
11:14.0,B. Hield makes free throw 1 of 1,1,65-89,,
10:57.0,,,65-89,,Turnover by A. Nader (lost ball; steal by S. Labissiere)
10:39.0,S. Labissiere misses 3-pt shot from 27 ft,,65-89,,
10:37.0,,,65-89,,Defensive rebound by T. Rozier
10:28.0,,,65-89,,M. Smart misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by B. Hield,,65-89,,
10:20.0,Personal foul by B. Hield (drawn by T. Rozier),,65-89,,
10:19.0,Turnover by B. Hield (lost ball; steal by T. Rozier),,65-89,,
10:03.0,,,65-89,,A. Nader misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by Team,,65-89,,
10:00.0,,,65-89,,Loose ball foul by D. Theis (drawn by S. Labissiere)
9:49.0,D. Fox misses 2-pt shot from 19 ft,,65-89,,
9:49.0,,,65-89,,Defensive rebound by Team
9:49.0,Loose ball foul by K. Koufos (drawn by D. Theis),,65-89,,
9:36.0,,,65-91,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Smart)
9:21.0,J. Jackson misses 2-pt shot from 3 ft,,65-91,,
9:18.0,,,65-91,,Defensive rebound by T. Rozier
9:14.0,,,65-91,,S. Ojeleye misses 3-pt shot from 22 ft
9:14.0,Defensive rebound by B. Hield,,65-91,,
9:02.0,B. Hield makes 2-pt shot from 1 ft,2,67-91,,
8:45.0,,,67-91,,M. Smart misses 2-pt shot from 14 ft
8:40.0,,,67-91,,Offensive rebound by M. Smart
8:39.0,,,67-94,3,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart)
8:21.0,S. Labissiere misses 2-pt shot from 5 ft,,67-94,,
8:18.0,,,67-94,,Defensive rebound by D. Theis
8:15.0,,,67-94,,Shooting foul by J. Jackson (drawn by S. Ojeleye)
8:15.0,,,67-95,1,S. Ojeleye makes free throw 1 of 2
8:15.0,,,67-95,,S. Larkin enters the game for M. Smart
8:15.0,M. Richardson enters the game for K. Koufos,,67-95,,
8:15.0,,,67-96,1,S. Ojeleye makes free throw 2 of 2
7:56.0,B. Hield makes 3-pt shot from 25 ft (assist by S. Labissiere),3,70-96,,
7:34.0,,,70-96,,Turnover by A. Nader (lost ball; steal by B. Hield)
7:30.0,B. Hield makes 2-pt shot from 1 ft (assist by J. Jackson),2,72-96,,
7:08.0,,,72-96,,S. Ojeleye misses 3-pt shot from 22 ft
7:05.0,,,72-96,,Offensive rebound by S. Larkin
6:59.0,Personal foul by B. Hield (drawn by S. Larkin),,72-96,,
6:59.0,,,72-96,,Boston full timeout
6:59.0,,,72-96,,G. Yabusele enters the game for D. Theis
6:59.0,F. Mason enters the game for J. Jackson,,72-96,,
6:50.0,,,72-96,,T. Rozier misses 3-pt shot from 27 ft
6:47.0,Defensive rebound by D. Fox,,72-96,,
6:28.0,,,72-96,,Personal foul by S. Larkin (drawn by S. Labissiere)
6:22.0,S. Labissiere makes 2-pt shot at rim (assist by D. Fox),2,74-96,,
6:08.0,,,74-98,2,A. Nader makes 2-pt shot from 3 ft
5:56.0,F. Mason misses 2-pt shot from 8 ft,,74-98,,
5:55.0,,,74-98,,Defensive rebound by A. Nader
5:43.0,,,74-98,,G. Yabusele misses 3-pt shot from 26 ft
5:39.0,,,74-98,,Offensive rebound by S. Ojeleye
5:31.0,,,74-98,,G. Yabusele misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by B. Hield,,74-98,,
5:18.0,M. Richardson makes 3-pt shot from 25 ft (assist by F. Mason),3,77-98,,
5:03.0,,,77-98,,S. Larkin misses 3-pt shot from 28 ft
5:02.0,,,77-98,,Offensive rebound by G. Yabusele
4:54.0,,,77-98,,T. Rozier misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by B. Hield,,77-98,,
4:42.0,B. Hield makes 2-pt shot from 2 ft,2,79-98,,
4:28.0,,,79-101,3,S. Ojeleye makes 3-pt shot from 26 ft (assist by T. Rozier)
4:20.0,Sacramento full timeout,,79-101,,
4:20.0,,,79-101,,J. Tatum enters the game for T. Rozier
4:20.0,J. Jackson enters the game for B. Hield,,79-101,,
4:10.0,M. Richardson makes 2-pt shot at rim (assist by F. Mason),2,81-101,,
4:10.0,Shooting foul by S. Ojeleye (drawn by M. Richardson),,81-101,,
4:10.0,M. Richardson makes free throw 1 of 1,1,82-101,,
3:58.0,,,82-101,,J. Tatum misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by D. Fox,,82-101,,
3:54.0,Turnover by D. Fox (lost ball; steal by A. Nader),,82-101,,
3:49.0,,,82-101,,G. Yabusele misses 3-pt shot from 22 ft
3:45.0,,,82-101,,Offensive rebound by G. Yabusele
3:43.0,,,82-103,2,G. Yabusele makes 2-pt shot from 2 ft
3:29.0,M. Richardson misses 2-pt shot from 1 ft,,82-103,,
3:26.0,Offensive rebound by S. Labissiere,,82-103,,
3:25.0,S. Labissiere makes 2-pt shot from 1 ft,2,84-103,,
3:13.0,,,84-103,,S. Larkin misses 3-pt shot from 28 ft
3:11.0,,,84-103,,Offensive rebound by J. Tatum
2:54.0,,,84-105,2,A. Nader makes 2-pt shot from 8 ft (assist by J. Tatum)
2:35.0,F. Mason misses 2-pt shot from 1 ft,,84-105,,
2:33.0,,,84-105,,Defensive rebound by S. Larkin
2:20.0,,,84-107,2,G. Yabusele makes 2-pt shot from 20 ft (assist by S. Larkin)
2:10.0,D. Fox misses 2-pt shot from 1 ft (block by A. Nader),,84-107,,
2:09.0,Offensive rebound by Team,,84-107,,
2:09.0,Sacramento full timeout,,84-107,,
2:00.0,S. Labissiere makes 2-pt shot from 1 ft (assist by F. Mason),2,86-107,,
1:44.0,,,86-107,,A. Nader misses 2-pt shot from 2 ft
1:42.0,,,86-107,,Offensive rebound by A. Nader
1:41.0,,,86-107,,A. Nader misses 2-pt shot from 2 ft
1:41.0,,,86-107,,Offensive rebound by G. Yabusele
1:37.0,,,86-107,,Turnover by J. Tatum (out of bounds lost ball)
1:24.0,J. Jackson misses 3-pt shot from 23 ft,,86-107,,
1:19.0,,,86-107,,Defensive rebound by S. Larkin
1:14.0,,,86-107,,Shooting foul by M. Richardson (drawn by J. Tatum)
1:14.0,,,86-107,,J. Tatum misses free throw 1 of 2
1:14.0,,,86-107,,Offensive rebound by Team
1:14.0,,,86-108,1,J. Tatum makes free throw 2 of 2
1:04.0,Turnover by F. Mason (lost ball; steal by A. Nader),,86-108,,
1:01.0,,,86-110,2,J. Tatum makes 2-pt shot from 1 ft (assist by A. Nader)
0:46.0,F. Mason misses 2-pt shot from 2 ft,,86-110,,
0:44.0,,,86-110,,Defensive rebound by S. Larkin
0:42.0,,,86-113,3,A. Nader makes 3-pt shot from 26 ft (assist by S. Larkin)
0:27.0,D. Fox misses 2-pt shot from 20 ft,,86-113,,
0:23.0,,,86-113,,Defensive rebound by S. Larkin
