time,Brooklyn,pts.away,score,pts.home,Phoenix
2:14.0,Defensive rebound by Q. Acy,,63-60,,
2:08.0,Shooting foul by J. Jackson (drawn by T. Zeller),,63-60,,
2:08.0,T. Zeller misses free throw 1 of 2,,63-60,,
2:08.0,Offensive rebound by Team,,63-60,,
2:08.0,T. Zeller makes free throw 2 of 2,1,64-60,,
1:58.0,,,64-62,2,T. Ulis makes 2-pt shot from 18 ft
1:42.0,A. Crabbe makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,66-62,,
1:19.0,Shooting block foul by Q. Acy (drawn by J. Jackson),,66-62,,
1:19.0,,,66-62,,J. Jackson misses free throw 1 of 2
1:19.0,,,66-62,,Offensive rebound by Team
1:19.0,D. Carroll enters the game for Q. Acy,,66-62,,
1:19.0,,,66-63,1,J. Jackson makes free throw 2 of 2
1:03.0,S. Kilpatrick misses 3-pt shot from 23 ft,,66-63,,
1:01.0,Offensive rebound by T. Zeller,,66-63,,
1:00.0,T. Zeller makes 2-pt shot at rim,2,68-63,,
0:50.0,,,68-65,2,T. Ulis makes 2-pt shot from 19 ft
0:41.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,71-65,,
0:41.0,Shooting foul by T. Daniels (drawn by A. Crabbe),,71-65,,
0:41.0,A. Crabbe makes free throw 1 of 1,1,72-65,,
0:33.0,,,72-68,3,T. Ulis makes 3-pt shot from 24 ft
0:24.0,D. Carroll misses 3-pt shot from 25 ft,,72-68,,
0:23.0,,,72-68,,Defensive rebound by Team
0:23.0,,,72-68,,D. Booker enters the game for D. Bender
0:23.0,C. LeVert enters the game for A. Crabbe,,72-68,,
0:04.0,,,72-68,,T. Ulis misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by S. Kilpatrick,,72-68,,
0:00.0,S. Kilpatrick misses 3-pt shot from 44 ft,,72-68,,
0:00.0,Offensive rebound by Team,,72-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,72-68,,J. Jackson misses 2-pt shot from 3 ft (block by T. Zeller)
11:39.0,Defensive rebound by J. Harris,,72-68,,
11:25.0,T. Zeller misses 2-pt shot from 15 ft,,72-68,,
11:22.0,,,72-68,,Defensive rebound by J. Jackson
11:18.0,,,72-68,,J. Jackson misses 2-pt shot from 3 ft (block by J. Harris)
11:18.0,Defensive rebound by Team,,72-68,,
11:02.0,T. Zeller makes 2-pt shot at rim (assist by S. Dinwiddie),2,74-68,,
10:54.0,Jump ball: J. Jackson vs. C. LeVert (J. Dudley gains possession),,,,Jump ball: J. Jackson vs. C. LeVert (J. Dudley gains possession)
10:45.0,,,74-68,,T. Daniels misses 3-pt shot from 24 ft
