time,Cleveland,pts.away,score,pts.home,Washington
5:13.0,Turnover by L. James (bad pass; steal by M. Gortat),,24-23,,
5:11.0,Violation by L. James (kicked ball),,24-23,,
5:04.0,,,24-25,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
5:04.0,Cleveland full timeout,,24-25,,
4:48.0,D. Rose makes 2-pt shot from 15 ft,2,26-25,,
4:29.0,,,26-25,,K. Oubre misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by L. James,,26-25,,
4:21.0,J. Green enters the game for K. Love,,26-25,,
4:21.0,,,26-25,,M. Scott enters the game for O. Porter
4:15.0,D. Rose misses 2-pt shot from 18 ft,,26-25,,
4:12.0,,,26-25,,Defensive rebound by K. Oubre
4:04.0,,,26-25,,J. Wall misses 2-pt shot from 3 ft (block by A. Zizic)
4:04.0,,,26-25,,Offensive rebound by Team
3:55.0,,,26-28,3,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall)
3:28.0,J. Smith makes 3-pt shot from 25 ft (assist by D. Rose),3,29-28,,
3:04.0,,,29-28,,Turnover by K. Oubre (bad pass; steal by L. James)
3:00.0,L. James makes 2-pt shot from 1 ft,2,31-28,,
2:48.0,Personal foul by J. Smith (drawn by M. Gortat),,31-28,,
2:48.0,,,31-28,,J. Meeks enters the game for B. Beal
2:48.0,K. Korver enters the game for J. Smith,,31-28,,
2:37.0,,,31-30,2,J. Meeks makes 2-pt shot from 20 ft (assist by K. Oubre)
2:26.0,D. Rose makes 2-pt shot from 1 ft (assist by J. Green),2,33-30,,
2:21.0,,,33-30,,Shooting foul by J. Green (drawn by J. Wall)
2:21.0,,,33-30,,J. Wall misses free throw 1 of 2
2:21.0,,,33-30,,Offensive rebound by Team
2:21.0,D. Wade enters the game for D. Rose,,33-30,,
2:21.0,,,33-30,,J. Wall misses free throw 2 of 2
2:18.0,Defensive rebound by L. James,,33-30,,
2:08.0,L. James misses 2-pt shot from 15 ft,,33-30,,
2:05.0,,,33-30,,Defensive rebound by M. Gortat
1:55.0,,,33-33,3,M. Scott makes 3-pt shot from 24 ft (assist by J. Wall)
1:34.0,A. Zizic makes 2-pt shot from 2 ft (assist by D. Wade),2,35-33,,
1:11.0,,,35-35,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:51.0,L. James makes 3-pt shot from 26 ft,3,38-35,,
0:41.0,,,38-35,,Shooting foul by D. Wade (drawn by M. Gortat)
0:41.0,,,38-35,,M. Gortat misses free throw 1 of 2
0:41.0,,,38-35,,Offensive rebound by Team
0:41.0,J. Crowder enters the game for L. James,,38-35,,
0:41.0,,,38-36,1,M. Gortat makes free throw 2 of 2
0:32.0,K. Korver makes 2-pt shot from 14 ft (assist by D. Wade),2,40-36,,
0:09.0,,,40-36,,J. Meeks misses 2-pt shot from 16 ft
0:06.0,Defensive rebound by D. Wade,,40-36,,
0:03.0,J. Green makes 2-pt shot from 20 ft,2,42-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by K. Korver (bad pass),,42-36,,
11:25.0,,,42-38,2,M. Scott makes 2-pt shot from 11 ft
11:14.0,D. Wade misses 2-pt shot from 13 ft,,42-38,,
11:12.0,Offensive rebound by J. Crowder,,42-38,,
11:12.0,Shooting foul by I. Mahinmi (drawn by J. Crowder),,42-38,,
11:12.0,J. Crowder makes free throw 1 of 2,1,43-38,,
11:12.0,J. Crowder makes free throw 2 of 2,1,44-38,,
10:56.0,,,44-38,,I. Mahinmi misses 2-pt shot from 1 ft
10:54.0,,,44-38,,Offensive rebound by Team
10:40.0,,,44-40,2,M. Scott makes 2-pt shot from 11 ft
10:24.0,,,44-40,,Personal foul by J. Meeks (drawn by K. Korver)
10:09.0,J. Crowder makes 2-pt shot from 1 ft (assist by D. Wade),2,46-40,,
10:05.0,,,46-40,,Turnover by I. Mahinmi (bad pass; steal by D. Wade)
10:04.0,Shooting foul by I. Mahinmi (drawn by J. Crowder),,46-40,,
10:04.0,J. Crowder makes free throw 1 of 2,1,47-40,,
10:04.0,J. Crowder makes free throw 2 of 2,1,48-40,,
9:46.0,,,48-40,,Shooting foul by C. Frye (drawn by K. Oubre)
9:46.0,,,48-41,1,K. Oubre makes free throw 1 of 2
9:46.0,,,48-42,1,K. Oubre makes free throw 2 of 2
9:32.0,J. Green misses 3-pt shot from 24 ft,,48-42,,
9:27.0,,,48-42,,Defensive rebound by K. Oubre
9:24.0,,,48-42,,K. Oubre misses 2-pt shot from 11 ft
9:22.0,Defensive rebound by J. Crowder,,48-42,,
9:22.0,,,48-42,,Personal foul by K. Oubre (drawn by J. Crowder)
9:11.0,C. Frye misses 3-pt shot from 23 ft,,48-42,,
9:08.0,,,48-42,,Defensive rebound by M. Scott
8:55.0,,,48-42,,M. Scott misses 2-pt shot from 15 ft
8:51.0,Defensive rebound by C. Frye,,48-42,,
8:47.0,D. Wade misses 2-pt shot from 16 ft,,48-42,,
8:47.0,,,48-42,,Defensive rebound by T. Frazier
8:37.0,,,48-44,2,J. Meeks makes 2-pt shot from 7 ft (assist by T. Frazier)
8:37.0,Cleveland full timeout,,48-44,,
8:23.0,Shooting foul by M. Scott (drawn by J. Green),,48-44,,
8:23.0,J. Green misses free throw 1 of 2,,48-44,,
8:23.0,Offensive rebound by Team,,48-44,,
8:23.0,J. Green misses free throw 2 of 2,,48-44,,
8:20.0,,,48-44,,Defensive rebound by M. Scott
8:00.0,,,48-44,,K. Oubre misses 2-pt shot from 1 ft (block by D. Wade)
7:56.0,Defensive rebound by J. Green,,48-44,,
7:53.0,D. Wade makes 2-pt shot at rim (assist by J. Green),2,50-44,,
7:34.0,,,50-44,,K. Oubre misses 3-pt shot from 25 ft
7:30.0,,,50-44,,Offensive rebound by I. Mahinmi
7:27.0,,,50-46,2,K. Oubre makes 2-pt shot from 1 ft
7:23.0,Offensive charge foul by J. Green (drawn by T. Frazier),,50-46,,
7:23.0,Turnover by J. Green (offensive foul),,50-46,,
7:23.0,,,50-46,,M. Gortat enters the game for J. Meeks
7:23.0,,,50-46,,B. Beal enters the game for I. Mahinmi
7:23.0,K. Love enters the game for D. Wade,,50-46,,
7:23.0,L. James enters the game for J. Green,,50-46,,
7:23.0,J. Smith enters the game for C. Frye,,50-46,,
7:10.0,,,50-46,,T. Frazier misses 3-pt shot from 25 ft
7:05.0,,,50-46,,Offensive rebound by B. Beal
6:55.0,,,50-46,,K. Oubre misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by J. Crowder,,50-46,,
6:51.0,Turnover by L. James (turnover),,50-46,,
6:51.0,,,50-46,,J. Wall enters the game for T. Frazier
6:37.0,,,50-46,,Turnover by M. Scott (lost ball; steal by K. Korver)
6:16.0,Turnover by K. Love (lost ball; steal by J. Wall),,50-46,,
6:12.0,,,50-46,,J. Wall misses 2-pt shot at rim
6:10.0,Defensive rebound by L. James,,50-46,,
6:06.0,K. Love makes 3-pt shot from 22 ft (assist by L. James),3,53-46,,
5:53.0,,,53-46,,B. Beal misses 3-pt shot from 27 ft
5:50.0,Defensive rebound by K. Love,,53-46,,
5:44.0,K. Love misses 3-pt shot from 26 ft,,53-46,,
5:39.0,,,53-46,,Defensive rebound by B. Beal
5:34.0,,,53-48,2,B. Beal makes 2-pt shot at rim
5:15.0,,,53-48,,Personal foul by M. Scott (drawn by K. Love)
5:15.0,K. Love makes free throw 1 of 2,1,54-48,,
5:15.0,,,54-48,,M. Morris enters the game for K. Oubre
5:15.0,,,54-48,,O. Porter enters the game for M. Scott
5:15.0,D. Rose enters the game for K. Korver,,54-48,,
5:15.0,K. Love makes free throw 2 of 2,1,55-48,,
5:06.0,,,55-48,,Offensive charge foul by M. Gortat (drawn by L. James)
5:06.0,,,55-48,,Turnover by M. Gortat (offensive foul)
4:58.0,Shooting foul by M. Morris (drawn by D. Rose),,55-48,,
4:58.0,D. Rose makes free throw 1 of 2,1,56-48,,
4:58.0,,,56-48,,Washington full timeout
4:58.0,D. Rose makes free throw 2 of 2,1,57-48,,
4:48.0,,,57-50,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
4:37.0,,,57-50,,Personal foul by M. Gortat (drawn by K. Love)
4:37.0,K. Love makes free throw 1 of 2,1,58-50,,
4:37.0,K. Love makes free throw 2 of 2,1,59-50,,
4:24.0,,,59-52,2,B. Beal makes 2-pt shot from 3 ft
3:59.0,L. James makes 2-pt shot from 22 ft,2,61-52,,
3:46.0,,,61-52,,M. Morris misses 3-pt shot from 23 ft
3:46.0,,,61-52,,Offensive rebound by Team
3:40.0,Personal foul by J. Crowder (drawn by M. Gortat),,61-52,,
3:38.0,Personal foul by K. Love (drawn by M. Gortat),,61-52,,
3:38.0,J. Green enters the game for J. Crowder,,61-52,,
3:32.0,,,61-52,,M. Morris misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by K. Love,,61-52,,
3:24.0,L. James misses 2-pt shot from 19 ft,,61-52,,
3:21.0,,,61-52,,Defensive rebound by M. Morris
3:17.0,,,61-54,2,J. Wall makes 2-pt shot at rim
3:06.0,Turnover by D. Rose (out of bounds lost ball),,61-54,,
2:58.0,Violation by K. Love (kicked ball),,61-54,,
2:51.0,,,61-56,2,B. Beal makes 2-pt shot at rim (assist by M. Morris)
2:36.0,L. James misses 2-pt shot from 17 ft,,61-56,,
2:34.0,,,61-56,,Defensive rebound by O. Porter
2:27.0,,,61-56,,M. Morris misses 2-pt shot from 7 ft
2:24.0,Defensive rebound by K. Love,,61-56,,
2:19.0,L. James makes 2-pt shot from 1 ft,2,63-56,,
2:02.0,,,63-58,2,J. Wall makes 2-pt shot from 1 ft
1:58.0,,,63-58,,Personal foul by M. Morris (drawn by L. James)
1:58.0,L. James makes free throw 1 of 2,1,64-58,,
1:58.0,L. James makes free throw 2 of 2,1,65-58,,
1:46.0,,,65-58,,Shooting foul by J. Green (drawn by B. Beal)
1:46.0,,,65-59,1,B. Beal makes free throw 1 of 2
1:46.0,J. Crowder enters the game for J. Smith,,65-59,,
1:46.0,K. Korver enters the game for J. Green,,65-59,,
1:46.0,,,65-60,1,B. Beal makes free throw 2 of 2
1:34.0,J. Crowder makes 3-pt shot from 24 ft (assist by L. James),3,68-60,,
1:16.0,,,68-62,2,O. Porter makes 2-pt shot from 15 ft (assist by J. Wall)
1:04.0,D. Rose makes 3-pt shot from 25 ft,3,71-62,,
0:45.0,Personal foul by D. Rose (drawn by J. Wall),,71-62,,
0:45.0,,,71-63,1,J. Wall makes free throw 1 of 2
0:45.0,,,71-63,,K. Oubre enters the game for M. Morris
0:45.0,,,71-64,1,J. Wall makes free throw 2 of 2
0:38.0,L. James makes 2-pt shot at rim,2,73-64,,
0:38.0,Shooting foul by O. Porter (drawn by L. James),,73-64,,
0:38.0,L. James makes free throw 1 of 1,1,74-64,,
0:32.0,,,74-64,,B. Beal misses 3-pt shot from 25 ft
0:29.0,,,74-64,,Offensive rebound by B. Beal
0:28.0,,,74-64,,Shooting foul by K. Korver (drawn by B. Beal)
0:28.0,,,74-64,,B. Beal misses free throw 1 of 3
0:28.0,,,74-64,,Offensive rebound by Team
0:28.0,,,74-65,1,B. Beal makes free throw 2 of 3
0:28.0,,,74-66,1,B. Beal makes free throw 3 of 3
0:06.0,L. James misses 2-pt shot from 11 ft,,74-66,,
0:03.0,,,74-66,,Defensive rebound by O. Porter
0:01.0,,,74-66,,Turnover by O. Porter (bad pass; steal by K. Korver)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Smith misses 3-pt shot from 25 ft,,74-66,,
11:45.0,,,74-66,,Defensive rebound by J. Wall
11:35.0,,,74-68,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
11:21.0,L. James misses 3-pt shot from 25 ft,,74-68,,
11:17.0,,,74-68,,Defensive rebound by M. Gortat
10:58.0,Personal foul by D. Rose (drawn by J. Wall),,74-68,,
10:54.0,,,74-68,,O. Porter misses 3-pt shot from 27 ft
10:47.0,,,74-68,,Offensive rebound by M. Morris
10:47.0,,,74-68,,M. Morris misses 2-pt shot at rim
10:47.0,Defensive rebound by J. Crowder,,74-68,,
10:42.0,L. James makes 2-pt shot at rim,2,76-68,,
10:31.0,Personal foul by L. James (drawn by B. Beal),,76-68,,
10:24.0,,,76-68,,Washington full timeout
10:17.0,,,76-68,,M. Gortat misses 2-pt shot from 16 ft
10:13.0,Defensive rebound by L. James,,76-68,,
10:04.0,Turnover by J. Smith (bad pass),,76-68,,
9:53.0,Personal foul by J. Smith (drawn by J. Wall),,76-68,,
9:43.0,,,76-70,2,J. Wall makes 2-pt shot from 2 ft
9:30.0,D. Rose misses 3-pt shot from 25 ft,,76-70,,
9:30.0,,,76-70,,Defensive rebound by J. Wall
9:25.0,,,76-70,,J. Wall misses 3-pt shot from 24 ft
9:25.0,,,76-70,,Offensive rebound by M. Gortat
9:20.0,,,76-70,,J. Wall misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by Team,,76-70,,
9:16.0,,,76-70,,Technical foul by M. Morris (drawn by J. Crowder)
9:16.0,J. Crowder makes free throw 1 of 2,1,77-70,,
9:16.0,J. Crowder makes free throw 2 of 2,1,78-70,,
9:04.0,D. Rose misses 2-pt shot from 19 ft,,78-70,,
9:02.0,,,78-70,,Defensive rebound by O. Porter
8:52.0,,,78-70,,Turnover by B. Beal (lost ball; steal by J. Crowder)
8:44.0,Personal foul by K. Love (drawn by O. Porter),,78-70,,
8:44.0,Turnover by K. Love (turnover),,78-70,,
8:20.0,,,78-70,,O. Porter misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by K. Love,,78-70,,
8:01.0,J. Crowder misses 3-pt shot from 23 ft,,78-70,,
7:54.0,Personal foul by J. Crowder (drawn by B. Beal),,78-70,,
7:53.0,Offensive rebound by L. James,,80-70,,
7:53.0,L. James makes 2-pt shot at rim,2,80-70,,
7:52.0,Personal foul by J. Smith (drawn by J. Wall),,80-70,,
7:39.0,,,80-73,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
7:24.0,D. Rose misses 2-pt shot from 5 ft,,80-73,,
7:21.0,,,80-73,,Defensive rebound by M. Morris
7:19.0,,,80-73,,J. Wall misses 2-pt shot from 1 ft (block by L. James)
7:19.0,Defensive rebound by K. Love,,80-73,,
7:13.0,D. Rose misses 2-pt shot from 2 ft,,80-73,,
7:13.0,Offensive rebound by J. Crowder,,80-73,,
7:09.0,J. Crowder makes 2-pt shot at rim,2,82-73,,
7:09.0,,,82-75,2,B. Beal makes 2-pt shot from 3 ft
6:46.0,,,82-75,,Def 3 sec tech foul by M. Morris
6:46.0,K. Love makes technical free throw,1,83-75,,
6:46.0,K. Korver enters the game for J. Smith,,83-75,,
6:46.0,,,83-75,,K. Oubre enters the game for M. Morris
6:35.0,L. James makes 2-pt shot at rim,2,85-75,,
6:13.0,,,85-75,,B. Beal misses 2-pt shot from 4 ft
6:10.0,Defensive rebound by K. Love,,85-75,,
6:05.0,K. Love misses 3-pt shot from 24 ft,,85-75,,
6:01.0,,,85-75,,Defensive rebound by J. Wall
5:58.0,,,85-75,,Turnover by J. Wall (bad pass)
5:39.0,D. Rose misses 2-pt shot from 2 ft (block by M. Gortat),,85-75,,
5:32.0,Offensive rebound by D. Rose,,85-75,,
5:32.0,D. Rose makes 2-pt shot at rim,2,87-75,,
5:24.0,Personal foul by K. Love (drawn by B. Beal),,87-75,,
5:24.0,,,87-76,1,B. Beal makes free throw 1 of 2
5:24.0,,,87-77,1,B. Beal makes free throw 2 of 2
5:14.0,Shooting foul by K. Oubre (drawn by L. James),,87-77,,
5:14.0,,,87-77,,M. Scott enters the game for O. Porter
5:14.0,L. James makes free throw 1 of 2,1,88-77,,
5:14.0,L. James makes free throw 2 of 2,1,89-77,,
5:03.0,,,89-77,,B. Beal misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by L. James,,89-77,,
4:55.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Crowder),3,92-77,,
4:54.0,,,92-77,,Washington full timeout
4:46.0,,,92-79,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:20.0,K. Korver misses 3-pt shot from 25 ft,,92-79,,
4:17.0,,,92-79,,Defensive rebound by K. Oubre
3:56.0,,,92-82,3,B. Beal makes 3-pt shot from 29 ft (assist by K. Oubre)
3:44.0,D. Rose misses 2-pt shot from 18 ft,,92-82,,
3:40.0,,,92-82,,Defensive rebound by M. Gortat
3:30.0,,,92-82,,J. Wall misses 2-pt shot from 2 ft (block by L. James)
3:30.0,,,92-82,,Offensive rebound by Team
3:30.0,A. Zizic enters the game for K. Love,,92-82,,
3:23.0,,,92-84,2,B. Beal makes 2-pt shot from 16 ft
3:09.0,L. James misses 3-pt shot from 23 ft,,92-84,,
3:04.0,,,92-84,,Defensive rebound by K. Oubre
3:00.0,,,92-84,,Turnover by K. Oubre (bad pass; steal by L. James)
3:00.0,Turnover by J. Crowder (bad pass),,92-84,,
3:00.0,Cleveland full timeout,,92-84,,
3:00.0,,,92-84,,I. Mahinmi enters the game for M. Gortat
3:00.0,J. Green enters the game for D. Rose,,92-84,,
2:50.0,,,92-84,,Turnover by B. Beal (bad pass; steal by J. Green)
2:34.0,K. Korver misses 3-pt shot from 24 ft,,92-84,,
2:32.0,,,92-84,,Defensive rebound by M. Scott
2:27.0,,,92-84,,Shooting foul by A. Zizic (drawn by J. Wall)
2:27.0,,,92-84,,J. Wall misses free throw 1 of 2
2:27.0,,,92-84,,Offensive rebound by Team
2:27.0,,,92-84,,J. Meeks enters the game for B. Beal
2:27.0,C. Frye enters the game for A. Zizic,,92-84,,
2:27.0,,,92-84,,J. Wall misses free throw 2 of 2
2:26.0,Defensive rebound by Team,,92-84,,
2:26.0,,,92-84,,Personal foul by M. Scott (drawn by J. Green)
2:10.0,,,92-84,,Personal foul by M. Scott (drawn by J. Green)
2:05.0,C. Frye makes 3-pt shot from 26 ft (assist by L. James),3,95-84,,
1:43.0,,,95-86,2,M. Scott makes 2-pt shot from 16 ft (assist by J. Wall)
1:24.0,L. James makes 2-pt shot from 12 ft,2,97-86,,
1:10.0,,,97-89,3,M. Scott makes 3-pt shot from 26 ft (assist by J. Wall)
0:56.0,Turnover by K. Korver (bad pass; steal by K. Oubre),,97-89,,
0:53.0,,,97-91,2,K. Oubre makes 2-pt shot at rim
0:45.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Green),3,100-91,,
0:39.0,Personal foul by J. Green (drawn by J. Wall),,100-91,,
0:39.0,,,100-91,,J. Wall misses free throw 1 of 2
0:39.0,,,100-91,,Offensive rebound by Team
0:39.0,,,100-92,1,J. Wall makes free throw 2 of 2
0:31.0,L. James makes 2-pt shot from 14 ft,2,102-92,,
0:10.0,Personal foul by C. Frye (drawn by J. Wall),,102-92,,
0:10.0,,,102-92,,Washington full timeout
0:10.0,,,102-92,,O. Porter enters the game for I. Mahinmi
0:10.0,,,102-93,1,J. Wall makes free throw 1 of 2
0:10.0,,,102-93,,J. Wall misses free throw 2 of 2
0:08.0,Defensive rebound by J. Crowder,,102-93,,
0:02.0,L. James makes 2-pt shot from 17 ft (assist by J. Green),2,104-93,,
0:00.0,,,104-93,,O. Porter misses 3-pt shot from 51 ft
0:00.0,Defensive rebound by Team,,104-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,104-93,,M. Scott misses 2-pt shot from 8 ft
11:36.0,Defensive rebound by D. Wade,,104-93,,
11:19.0,C. Frye misses 2-pt shot from 21 ft,,104-93,,
11:17.0,Offensive rebound by L. James,,104-93,,
11:03.0,K. Korver misses 3-pt shot from 24 ft,,104-93,,
11:01.0,Offensive rebound by L. James,,104-93,,
11:01.0,,,104-93,,Personal foul by M. Scott (drawn by L. James)
11:01.0,,,104-93,,O. Porter enters the game for M. Scott
10:42.0,L. James makes 2-pt shot at rim (assist by J. Green),2,106-93,,
10:42.0,Shooting foul by I. Mahinmi (drawn by L. James),,106-93,,
10:42.0,,,106-93,,B. Beal enters the game for T. Frazier
10:42.0,L. James makes free throw 1 of 1,1,107-93,,
10:30.0,,,107-93,,Offensive foul by I. Mahinmi (drawn by C. Frye)
10:30.0,,,107-93,,Turnover by I. Mahinmi (offensive foul)
10:21.0,Turnover by L. James (bad pass),,107-93,,
10:05.0,,,107-93,,Shooting foul by K. Korver (drawn by B. Beal)
10:05.0,,,107-94,1,B. Beal makes free throw 1 of 2
10:05.0,,,107-94,,B. Beal misses free throw 2 of 2
10:01.0,Defensive rebound by D. Wade,,107-94,,
9:53.0,D. Wade misses 3-pt shot from 27 ft,,107-94,,
9:50.0,,,107-94,,Defensive rebound by I. Mahinmi
9:46.0,Personal foul by K. Korver (drawn by B. Beal),,107-94,,
9:46.0,J. Smith enters the game for K. Korver,,107-94,,
9:30.0,,,107-97,3,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal)
9:07.0,J. Green makes 3-pt shot from 24 ft (assist by L. James),3,110-97,,
8:50.0,,,110-97,,J. Meeks misses 3-pt shot from 23 ft
8:47.0,,,110-97,,Offensive rebound by K. Oubre
8:47.0,,,110-97,,K. Oubre misses 2-pt shot from 1 ft
8:47.0,,,110-97,,Offensive rebound by I. Mahinmi
8:42.0,,,110-99,2,I. Mahinmi makes 2-pt shot from 1 ft
8:30.0,Turnover by J. Green (bad pass; steal by J. Meeks),,110-99,,
8:24.0,,,110-99,,O. Porter misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by C. Frye,,110-99,,
8:07.0,L. James makes 2-pt shot from 15 ft,2,112-99,,
7:51.0,,,112-101,2,B. Beal makes 2-pt shot at rim
7:37.0,Shooting foul by O. Porter (drawn by J. Green),,112-101,,
7:37.0,J. Green makes free throw 1 of 2,1,113-101,,
7:37.0,,,113-101,,J. Wall enters the game for I. Mahinmi
7:37.0,K. Love enters the game for C. Frye,,113-101,,
7:37.0,J. Green makes free throw 2 of 2,1,114-101,,
7:24.0,Cleveland full timeout,,114-101,,
7:23.0,,,114-103,2,J. Meeks makes 2-pt shot from 7 ft (assist by B. Beal)
7:13.0,Turnover by J. Green (lost ball; steal by B. Beal),,114-103,,
6:58.0,,,114-106,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
6:41.0,L. James makes 2-pt shot at rim (assist by D. Wade),2,116-106,,
6:29.0,,,116-108,2,B. Beal makes 2-pt shot from 1 ft
6:02.0,L. James makes 2-pt shot from 13 ft,2,118-108,,
5:46.0,,,118-108,,B. Beal misses 2-pt shot from 10 ft
5:44.0,Defensive rebound by K. Love,,118-108,,
5:25.0,L. James misses 2-pt shot from 17 ft,,118-108,,
5:21.0,,,118-108,,Defensive rebound by B. Beal
5:18.0,,,118-111,3,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal)
4:44.0,L. James misses 2-pt shot from 2 ft,,118-111,,
4:40.0,Offensive rebound by L. James,,118-111,,
4:40.0,L. James misses 2-pt shot at rim (block by J. Wall),,118-111,,
4:40.0,,,118-111,,Defensive rebound by J. Wall
4:39.0,,,118-111,,Offensive charge foul by K. Oubre (drawn by D. Wade)
4:39.0,,,118-111,,Turnover by K. Oubre (offensive foul)
4:39.0,J. Crowder enters the game for D. Wade,,118-111,,
4:39.0,D. Rose enters the game for K. Love,,118-111,,
4:21.0,J. Smith misses 2-pt shot from 17 ft,,118-111,,
4:16.0,,,118-111,,Defensive rebound by J. Wall
4:07.0,,,118-111,,J. Wall misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by L. James,,118-111,,
3:43.0,L. James makes 2-pt shot at rim,2,120-111,,
3:43.0,,,120-111,,Washington full timeout
3:34.0,,,120-111,,Shooting foul by J. Crowder (drawn by B. Beal)
3:34.0,,,120-112,1,B. Beal makes free throw 1 of 2
3:34.0,,,120-113,1,B. Beal makes free throw 2 of 2
3:12.0,D. Rose misses 3-pt shot from 22 ft,,120-113,,
