time,Boston,pts.away,score,pts.home,Detroit
5:28.0,Defensive rebound by A. Horford,,11-16,,
5:20.0,Turnover by A. Horford (bad pass),,11-16,,
5:10.0,,,11-16,,Shooting foul by G. Monroe (drawn by A. Drummond)
5:10.0,,,11-17,1,A. Drummond makes free throw 1 of 2
5:10.0,,,11-17,,A. Tolliver enters the game for B. Griffin
5:10.0,M. Morris enters the game for J. Brown,,11-17,,
5:10.0,M. Smart enters the game for A. Horford,,11-17,,
5:10.0,,,11-17,,A. Drummond misses free throw 2 of 2
5:07.0,Defensive rebound by G. Monroe,,11-17,,
4:54.0,Turnover by J. Tatum (lost ball; steal by S. Johnson),,11-17,,
4:49.0,,,11-17,,S. Johnson misses 2-pt shot from 2 ft (block by J. Tatum)
4:46.0,Defensive rebound by M. Morris,,11-17,,
4:44.0,J. Tatum makes 3-pt shot from 25 ft (assist by M. Morris),3,14-17,,
4:29.0,,,14-19,2,I. Smith makes 2-pt shot at rim
4:23.0,K. Irving makes 2-pt shot at rim,2,16-19,,
4:08.0,,,16-22,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
3:46.0,G. Monroe makes 2-pt shot at rim (assist by K. Irving),2,18-22,,
3:35.0,,,18-22,,Turnover by A. Drummond (bad pass)
3:35.0,,,18-22,,J. Ennis enters the game for S. Johnson
3:15.0,G. Monroe misses 2-pt shot from 2 ft,,18-22,,
3:12.0,,,18-22,,Defensive rebound by A. Tolliver
3:08.0,,,18-24,2,I. Smith makes 2-pt shot from 10 ft
2:49.0,Turnover by M. Smart (step out of bounds),,18-24,,
2:49.0,,,18-24,,Detroit full timeout
2:49.0,D. Theis enters the game for K. Irving,,18-24,,
2:49.0,T. Rozier enters the game for G. Monroe,,18-24,,
2:36.0,,,18-24,,R. Bullock misses 3-pt shot from 27 ft
2:35.0,,,18-24,,Offensive rebound by Team
2:35.0,Loose ball foul by M. Morris (drawn by A. Drummond),,18-24,,
2:35.0,,,18-24,,J. Nelson enters the game for I. Smith
2:28.0,,,18-24,,Shooting foul by D. Theis (drawn by J. Ennis)
2:28.0,,,18-24,,J. Ennis misses free throw 1 of 2
2:28.0,,,18-24,,Offensive rebound by Team
2:28.0,,,18-24,,J. Ennis misses free throw 2 of 2
2:25.0,Defensive rebound by M. Morris,,18-24,,
2:17.0,,,18-24,,B. Griffin enters the game for A. Drummond
2:09.0,M. Smart makes 3-pt shot from 27 ft (assist by T. Rozier),3,21-24,,
1:49.0,Violation by D. Theis (kicked ball),,21-24,,
1:49.0,S. Ojeleye enters the game for J. Tatum,,21-24,,
1:49.0,,,21-24,,L. Kennard enters the game for R. Bullock
1:41.0,,,21-24,,A. Tolliver misses 2-pt shot from 4 ft
1:38.0,,,21-24,,Offensive rebound by A. Tolliver
1:37.0,,,21-24,,A. Tolliver misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by T. Rozier,,21-24,,
1:30.0,M. Smart misses 3-pt shot from 25 ft,,21-24,,
1:30.0,Offensive rebound by D. Theis,,21-24,,
1:24.0,T. Rozier misses 3-pt shot from 25 ft,,21-24,,
1:24.0,,,21-24,,Defensive rebound by J. Ennis
1:10.0,,,21-26,2,J. Ennis makes 2-pt shot from 1 ft (assist by J. Nelson)
0:55.0,M. Morris misses 3-pt shot from 23 ft,,21-26,,
0:52.0,,,21-26,,Defensive rebound by A. Tolliver
0:45.0,,,21-28,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Nelson)
0:25.0,M. Morris makes 2-pt shot from 13 ft (assist by M. Smart),2,23-28,,
0:04.0,,,23-28,,J. Ennis misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by Team,,23-28,,
0:00.0,Turnover by M. Smart (out of bounds lost ball),,23-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Morris misses 2-pt shot from 11 ft,,23-28,,
11:39.0,,,23-28,,Defensive rebound by J. Nelson
11:36.0,,,23-28,,L. Kennard misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by M. Morris,,23-28,,
11:22.0,T. Rozier misses 2-pt shot from 7 ft,,23-28,,
11:18.0,Offensive rebound by D. Theis,,23-28,,
11:17.0,D. Theis makes 2-pt shot from 2 ft,2,25-28,,
11:05.0,Personal foul by M. Smart (drawn by B. Griffin),,25-28,,
10:53.0,,,25-28,,B. Griffin misses 2-pt shot from 10 ft
10:47.0,,,25-28,,Offensive rebound by J. Ennis
10:47.0,,,25-30,2,J. Ennis makes 2-pt shot at rim
10:36.0,M. Smart makes 3-pt shot from 26 ft (assist by T. Rozier),3,28-30,,
10:10.0,,,28-30,,B. Griffin misses 2-pt shot from 3 ft
10:10.0,Defensive rebound by Team,,28-30,,
10:01.0,M. Morris misses 3-pt shot from 26 ft,,28-30,,
9:53.0,,,28-30,,Defensive rebound by A. Tolliver
9:45.0,,,28-32,2,J. Nelson makes 2-pt shot from 22 ft
9:30.0,,,28-32,,Personal foul by J. Ennis (drawn by M. Smart)
9:24.0,M. Morris makes 2-pt shot from 7 ft (assist by M. Smart),2,30-32,,
9:07.0,,,30-32,,Turnover by J. Ennis (traveling)
8:50.0,D. Theis makes 2-pt shot from 1 ft (assist by T. Rozier),2,32-32,,
8:44.0,,,32-32,,Detroit full timeout
8:44.0,A. Horford enters the game for D. Theis,,32-32,,
8:33.0,,,32-32,,J. Ennis misses 2-pt shot from 3 ft
8:29.0,Defensive rebound by A. Horford,,32-32,,
8:20.0,,,32-32,,Personal foul by J. Nelson (drawn by T. Rozier)
8:09.0,M. Morris misses 2-pt shot from 12 ft,,32-32,,
8:06.0,,,32-32,,Defensive rebound by J. Nelson
8:02.0,,,32-32,,Turnover by J. Nelson (lost ball; steal by M. Morris)
8:01.0,,,32-32,,Personal foul by L. Kennard (drawn by T. Rozier)
7:50.0,M. Smart misses 3-pt shot from 25 ft,,32-32,,
7:46.0,Offensive rebound by M. Morris,,32-32,,
7:46.0,Shooting foul by A. Tolliver (drawn by M. Morris),,32-32,,
7:46.0,M. Morris makes free throw 1 of 2,1,33-32,,
7:46.0,M. Morris makes free throw 2 of 2,1,34-32,,
7:32.0,,,34-32,,B. Griffin misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by T. Rozier,,34-32,,
7:18.0,A. Horford misses 2-pt shot from 10 ft,,34-32,,
7:13.0,,,34-32,,Defensive rebound by A. Tolliver
7:02.0,,,34-34,2,B. Griffin makes 2-pt shot from 8 ft
6:40.0,A. Horford makes 3-pt shot from 23 ft (assist by M. Smart),3,37-34,,
6:26.0,,,37-36,2,J. Nelson makes 2-pt shot from 16 ft (assist by A. Tolliver)
6:10.0,A. Horford misses 3-pt shot from 26 ft,,37-36,,
6:06.0,,,37-36,,Defensive rebound by J. Ennis
5:59.0,,,37-39,3,A. Tolliver makes 3-pt shot from 25 ft (assist by J. Nelson)
5:41.0,M. Morris makes 3-pt shot from 25 ft (assist by M. Smart),3,40-39,,
5:25.0,,,40-39,,B. Griffin misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by M. Smart,,40-39,,
5:19.0,,,40-39,,Personal foul by J. Nelson (drawn by T. Rozier)
5:19.0,T. Rozier misses free throw 1 of 2,,40-39,,
5:19.0,Offensive rebound by Team,,40-39,,
5:19.0,,,40-39,,A. Drummond enters the game for L. Kennard
5:19.0,,,40-39,,S. Johnson enters the game for B. Griffin
5:19.0,,,40-39,,R. Bullock enters the game for J. Ennis
5:19.0,,,40-39,,I. Smith enters the game for J. Nelson
5:19.0,K. Irving enters the game for M. Morris,,40-39,,
5:19.0,D. Theis enters the game for M. Smart,,40-39,,
5:19.0,J. Brown enters the game for S. Ojeleye,,40-39,,
5:19.0,T. Rozier misses free throw 2 of 2,,40-39,,
5:16.0,,,40-39,,Defensive rebound by A. Tolliver
4:56.0,,,40-39,,A. Drummond misses 2-pt shot from 5 ft
4:53.0,Defensive rebound by D. Theis,,40-39,,
4:49.0,Shooting foul by A. Tolliver (drawn by J. Brown),,40-39,,
4:49.0,J. Brown makes free throw 1 of 2,1,41-39,,
4:49.0,S. Ojeleye enters the game for D. Theis,,41-39,,
4:49.0,J. Brown makes free throw 2 of 2,1,42-39,,
4:29.0,,,42-41,2,I. Smith makes 2-pt shot from 15 ft
4:11.0,K. Irving makes 3-pt shot from 27 ft (assist by A. Horford),3,45-41,,
3:57.0,,,45-41,,Turnover by R. Bullock (bad pass)
3:44.0,T. Rozier makes 3-pt shot from 26 ft (assist by K. Irving),3,48-41,,
3:23.0,,,48-41,,Shooting foul by J. Brown (drawn by S. Johnson)
3:23.0,,,48-41,,S. Johnson misses free throw 1 of 2
3:23.0,,,48-41,,Offensive rebound by Team
3:23.0,,,48-41,,B. Griffin enters the game for A. Tolliver
3:23.0,D. Theis enters the game for S. Ojeleye,,48-41,,
3:23.0,,,48-42,1,S. Johnson makes free throw 2 of 2
3:11.0,Turnover by K. Irving (bad pass; steal by S. Johnson),,48-42,,
3:02.0,,,48-42,,Turnover by B. Griffin (bad pass; steal by D. Theis)
2:55.0,T. Rozier misses 3-pt shot from 26 ft,,48-42,,
2:50.0,,,48-42,,Defensive rebound by B. Griffin
2:38.0,Boston full timeout,,48-42,,
2:38.0,J. Tatum enters the game for T. Rozier,,48-42,,
2:36.0,,,48-44,2,R. Bullock makes 2-pt shot from 12 ft (assist by I. Smith)
2:14.0,D. Theis makes 3-pt shot from 27 ft (assist by K. Irving),3,51-44,,
1:59.0,,,51-44,,R. Bullock misses 2-pt shot from 18 ft
1:56.0,,,51-44,,Offensive rebound by I. Smith
1:53.0,,,51-44,,S. Johnson misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by D. Theis,,51-44,,
1:42.0,K. Irving misses 3-pt shot from 26 ft,,51-44,,
1:40.0,,,51-44,,Defensive rebound by A. Drummond
1:27.0,,,51-44,,Turnover by B. Griffin (bad pass; steal by J. Brown)
1:24.0,J. Tatum makes 2-pt shot from 1 ft (assist by J. Brown),2,53-44,,
1:24.0,Shooting foul by S. Johnson (drawn by J. Tatum),,53-44,,
1:24.0,J. Tatum makes free throw 1 of 1,1,54-44,,
1:14.0,,,54-44,,S. Johnson misses 2-pt shot at rim
1:13.0,,,54-44,,Offensive rebound by S. Johnson
1:13.0,,,54-44,,S. Johnson misses 2-pt shot at rim
1:12.0,Defensive rebound by Team,,54-44,,
1:07.0,Shooting foul by I. Smith (drawn by J. Brown),,54-44,,
1:07.0,J. Brown makes free throw 1 of 2,1,55-44,,
1:07.0,J. Brown makes free throw 2 of 2,1,56-44,,
0:54.0,,,56-44,,R. Bullock misses 3-pt shot from 25 ft
0:51.0,,,56-44,,Offensive rebound by A. Drummond
0:50.0,,,56-44,,A. Drummond misses 2-pt shot from 4 ft (block by A. Horford)
0:50.0,Defensive rebound by J. Tatum,,56-44,,
0:44.0,J. Brown misses 2-pt shot from 4 ft,,56-44,,
0:42.0,Offensive rebound by D. Theis,,56-44,,
0:42.0,D. Theis misses 2-pt shot from 3 ft (block by R. Bullock),,56-44,,
0:42.0,Offensive rebound by D. Theis,,56-44,,
0:39.0,D. Theis makes 2-pt shot from 2 ft,2,58-44,,
0:31.0,Personal foul by J. Tatum (drawn by B. Griffin),,58-44,,
0:23.0,,,58-44,,S. Johnson misses 3-pt shot from 23 ft
0:21.0,,,58-44,,Offensive rebound by A. Drummond
0:21.0,,,58-46,2,A. Drummond makes 2-pt shot from 1 ft
0:06.0,D. Theis makes 3-pt shot from 26 ft (assist by K. Irving),3,61-46,,
0:00.0,,,61-49,3,I. Smith makes 3-pt shot from 24 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Tatum misses 3-pt shot from 28 ft,,61-49,,
11:43.0,,,61-49,,Defensive rebound by A. Drummond
11:29.0,,,61-51,2,B. Griffin makes 2-pt shot from 2 ft (assist by R. Bullock)
11:29.0,,,61-51,,Shooting foul by D. Theis (drawn by B. Griffin)
11:29.0,,,61-52,1,B. Griffin makes free throw 1 of 1
11:18.0,J. Tatum misses 2-pt shot from 12 ft,,61-52,,
11:13.0,,,61-52,,Defensive rebound by A. Drummond
11:06.0,,,61-54,2,I. Smith makes 2-pt shot at rim
10:41.0,K. Irving makes 3-pt shot from 24 ft (assist by A. Horford),3,64-54,,
10:26.0,,,64-54,,Offensive charge foul by B. Griffin (drawn by D. Theis)
10:26.0,,,64-54,,Turnover by B. Griffin (offensive foul)
10:08.0,A. Horford misses 2-pt shot from 6 ft,,64-54,,
10:04.0,,,64-54,,Defensive rebound by A. Drummond
10:04.0,Personal foul by K. Irving (drawn by I. Smith),,64-54,,
9:52.0,,,64-54,,R. Bullock misses 2-pt shot from 13 ft
9:47.0,Defensive rebound by D. Theis,,64-54,,
9:43.0,J. Tatum makes 2-pt shot at rim (assist by K. Irving),2,66-54,,
9:28.0,,,66-54,,B. Griffin misses 3-pt shot from 26 ft
9:25.0,,,66-54,,Offensive rebound by A. Drummond
9:22.0,,,66-56,2,A. Drummond makes 2-pt shot from 9 ft
9:11.0,D. Theis misses 2-pt shot from 3 ft,,66-56,,
9:11.0,,,66-56,,Defensive rebound by Team
9:01.0,,,66-56,,B. Griffin misses 2-pt shot from 6 ft (block by D. Theis)
9:01.0,,,66-56,,Offensive rebound by A. Drummond
8:56.0,,,66-58,2,A. Drummond makes 2-pt shot from 1 ft
8:41.0,D. Theis makes 2-pt shot from 1 ft (assist by J. Brown),2,68-58,,
8:20.0,Personal foul by A. Horford (drawn by A. Drummond),,68-58,,
8:12.0,,,68-60,2,I. Smith makes 2-pt shot from 5 ft
8:01.0,K. Irving makes 2-pt shot from 10 ft,2,70-60,,
7:44.0,,,70-60,,Shooting foul by A. Horford (drawn by B. Griffin)
7:44.0,,,70-61,1,B. Griffin makes free throw 1 of 2
7:44.0,,,70-62,1,B. Griffin makes free throw 2 of 2
7:28.0,Shooting foul by B. Griffin (drawn by D. Theis),,70-62,,
7:28.0,D. Theis misses free throw 1 of 2,,70-62,,
7:28.0,Offensive rebound by Team,,70-62,,
7:28.0,D. Theis makes free throw 2 of 2,1,71-62,,
7:17.0,Personal foul by D. Theis (drawn by B. Griffin),,71-62,,
7:17.0,,,71-63,1,B. Griffin makes free throw 1 of 2
7:17.0,G. Monroe enters the game for A. Horford,,71-63,,
7:17.0,,,71-64,1,B. Griffin makes free throw 2 of 2
6:54.0,J. Brown misses 2-pt shot from 2 ft,,71-64,,
6:52.0,,,71-64,,Defensive rebound by A. Drummond
6:43.0,,,71-64,,B. Griffin misses 2-pt shot from 3 ft
6:40.0,Defensive rebound by G. Monroe,,71-64,,
6:38.0,,,71-64,,Personal foul by I. Smith (drawn by D. Theis)
6:38.0,,,71-64,,Detroit full timeout
6:33.0,K. Irving misses 3-pt shot from 25 ft,,71-64,,
6:27.0,,,71-64,,Defensive rebound by B. Griffin
6:16.0,,,71-64,,Shooting foul by K. Irving (drawn by S. Johnson)
6:16.0,,,71-65,1,S. Johnson makes free throw 1 of 2
6:16.0,M. Smart enters the game for J. Tatum,,71-65,,
6:16.0,,,71-66,1,S. Johnson makes free throw 2 of 2
5:54.0,M. Smart misses 3-pt shot from 24 ft,,71-66,,
5:51.0,,,71-66,,Defensive rebound by B. Griffin
5:44.0,,,71-66,,Turnover by S. Johnson (bad pass; steal by K. Irving)
5:35.0,D. Theis makes 2-pt shot at rim (assist by K. Irving),2,73-66,,
5:15.0,,,73-66,,B. Griffin misses 2-pt shot from 3 ft
5:11.0,Defensive rebound by G. Monroe,,73-66,,
5:07.0,J. Brown misses 3-pt shot from 24 ft,,73-66,,
5:04.0,,,73-66,,Defensive rebound by A. Drummond
5:00.0,,,73-66,,S. Johnson misses 2-pt shot from 3 ft (block by J. Brown)
5:00.0,,,73-66,,Offensive rebound by Team
5:00.0,,,73-66,,A. Tolliver enters the game for B. Griffin
5:00.0,M. Morris enters the game for D. Theis,,73-66,,
4:57.0,,,73-66,,A. Tolliver misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by J. Brown,,73-66,,
4:47.0,K. Irving misses 3-pt shot from 28 ft,,73-66,,
4:44.0,,,73-66,,Defensive rebound by S. Johnson
4:32.0,,,73-66,,R. Bullock misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by M. Morris,,73-66,,
4:16.0,J. Brown makes 2-pt shot from 2 ft (assist by M. Smart),2,75-66,,
4:06.0,,,75-66,,Detroit full timeout
4:06.0,,,75-66,,J. Ennis enters the game for S. Johnson
4:00.0,,,75-69,3,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith)
3:40.0,Jump ball: A. Tolliver vs. M. Smart (A. Drummond gains possession),,,,Jump ball: A. Tolliver vs. M. Smart (A. Drummond gains possession)
3:40.0,Turnover by M. Smart (turnover; steal by A. Tolliver),,75-69,,
3:30.0,,,75-71,2,I. Smith makes 2-pt shot from 1 ft
3:15.0,J. Brown misses 3-pt shot from 24 ft,,75-71,,
3:12.0,Offensive rebound by G. Monroe,,75-71,,
3:08.0,J. Brown misses 2-pt shot from 3 ft (block by A. Drummond),,75-71,,
3:07.0,Offensive rebound by J. Brown,,75-71,,
3:02.0,G. Monroe makes 2-pt shot from 1 ft,2,77-71,,
2:47.0,,,77-73,2,I. Smith makes 2-pt shot from 16 ft
2:32.0,M. Smart makes 2-pt shot from 15 ft,2,79-73,,
2:16.0,,,79-73,,I. Smith misses 3-pt shot from 22 ft
2:12.0,,,79-73,,Offensive rebound by A. Drummond
2:12.0,,,79-75,2,A. Drummond makes 2-pt shot at rim
2:02.0,K. Irving makes 2-pt shot from 13 ft,2,81-75,,
1:47.0,,,81-75,,I. Smith misses 2-pt shot from 8 ft
1:45.0,Defensive rebound by K. Irving,,81-75,,
1:41.0,K. Irving makes 3-pt shot from 27 ft,3,84-75,,
1:23.0,,,84-75,,J. Ennis misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by K. Irving,,84-75,,
1:17.0,K. Irving misses 3-pt shot from 26 ft,,84-75,,
1:14.0,,,84-75,,Defensive rebound by A. Drummond
0:56.0,,,84-75,,R. Bullock misses 3-pt shot from 25 ft
0:52.0,,,84-75,,Offensive rebound by A. Drummond
0:51.0,,,84-75,,R. Bullock misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by K. Irving,,84-75,,
0:35.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Smart),2,86-75,,
0:24.0,,,86-77,2,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith)
0:00.0,M. Morris misses 3-pt shot from 25 ft,,86-77,,
0:00.0,Offensive rebound by Team,,86-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by S. Ojeleye (drawn by J. Ennis),,86-77,,
11:44.0,Personal foul by S. Ojeleye (drawn by J. Ennis),,86-77,,
11:31.0,,,86-77,,B. Griffin misses 2-pt shot from 5 ft
11:27.0,,,86-77,,Offensive rebound by J. Ennis
11:15.0,,,86-77,,A. Tolliver misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by M. Smart,,86-77,,
10:54.0,M. Morris makes 3-pt shot from 23 ft (assist by T. Rozier),3,89-77,,
10:31.0,,,89-77,,J. Nelson misses 3-pt shot from 27 ft
10:30.0,Defensive rebound by Team,,89-77,,
10:09.0,M. Morris misses 3-pt shot from 25 ft,,89-77,,
10:06.0,,,89-77,,Defensive rebound by L. Kennard
10:01.0,,,89-77,,L. Kennard misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by M. Morris,,89-77,,
9:52.0,M. Smart makes 2-pt shot from 1 ft (assist by T. Rozier),2,91-77,,
9:38.0,,,91-77,,B. Griffin misses 3-pt shot from 27 ft
9:35.0,,,91-77,,Offensive rebound by J. Nelson
9:29.0,,,91-77,,A. Tolliver misses 2-pt shot from 6 ft
9:27.0,Defensive rebound by A. Horford,,91-77,,
9:19.0,,,91-77,,Personal foul by B. Griffin (drawn by A. Horford)
9:08.0,M. Smart makes 2-pt shot at rim (assist by M. Morris),2,93-77,,
9:01.0,,,93-77,,Detroit full timeout
9:01.0,,,93-77,,S. Johnson enters the game for J. Ennis
8:54.0,,,93-77,,B. Griffin misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by T. Rozier,,93-77,,
8:41.0,Offensive foul by T. Rozier (drawn by B. Griffin),,93-77,,
8:41.0,Turnover by T. Rozier (offensive foul),,93-77,,
8:22.0,,,93-77,,S. Johnson misses 3-pt shot from 27 ft
8:17.0,Defensive rebound by S. Ojeleye,,93-77,,
8:06.0,,,93-77,,I. Smith enters the game for J. Nelson
7:58.0,M. Morris misses 2-pt shot from 21 ft,,93-77,,
7:55.0,Offensive rebound by A. Horford,,93-77,,
7:53.0,M. Smart misses 3-pt shot from 27 ft,,93-77,,
7:50.0,,,93-77,,Defensive rebound by S. Johnson
7:44.0,,,93-77,,A. Tolliver misses 3-pt shot from 22 ft
7:41.0,Defensive rebound by M. Smart,,93-77,,
7:36.0,T. Rozier misses 3-pt shot from 25 ft,,93-77,,
7:33.0,,,93-77,,Defensive rebound by A. Tolliver
7:20.0,,,93-79,2,S. Johnson makes 2-pt shot from 7 ft
7:06.0,Offensive foul by M. Morris (drawn by I. Smith),,93-79,,
7:06.0,Turnover by M. Morris (offensive foul),,93-79,,
7:06.0,,,93-79,,A. Drummond enters the game for A. Tolliver
6:53.0,,,93-79,,Offensive charge foul by B. Griffin (drawn by M. Morris)
6:53.0,,,93-79,,Turnover by B. Griffin (offensive foul)
6:40.0,,,93-79,,Personal foul by S. Johnson (drawn by M. Smart)
6:26.0,T. Rozier makes 3-pt shot from 26 ft (assist by A. Horford),3,96-79,,
6:11.0,,,96-79,,S. Johnson misses 3-pt shot from 27 ft
6:07.0,Defensive rebound by T. Rozier,,96-79,,
6:01.0,M. Morris makes 3-pt shot from 26 ft (assist by T. Rozier),3,99-79,,
5:37.0,Personal foul by S. Ojeleye (drawn by A. Drummond),,99-79,,
5:37.0,,,99-79,,R. Bullock enters the game for L. Kennard
5:37.0,G. Monroe enters the game for A. Horford,,99-79,,
5:30.0,,,99-79,,Turnover by I. Smith (lost ball; steal by T. Rozier)
5:25.0,Turnover by M. Morris (bad pass),,99-79,,
5:12.0,,,99-81,2,I. Smith makes 2-pt shot from 1 ft
5:02.0,M. Morris misses 3-pt shot from 27 ft,,99-81,,
5:00.0,,,99-81,,Defensive rebound by A. Drummond
4:44.0,,,99-81,,Shooting foul by G. Monroe (drawn by A. Drummond)
4:44.0,,,99-82,1,A. Drummond makes free throw 1 of 2
4:44.0,,,99-83,1,A. Drummond makes free throw 2 of 2
4:28.0,T. Rozier misses 2-pt shot from 8 ft,,99-83,,
4:27.0,,,99-83,,Defensive rebound by Team
4:12.0,,,99-86,3,B. Griffin makes 3-pt shot from 22 ft
4:11.0,Boston full timeout,,99-86,,
4:11.0,K. Irving enters the game for M. Smart,,99-86,,
4:11.0,J. Tatum enters the game for S. Ojeleye,,99-86,,
3:57.0,Shooting foul by R. Bullock (drawn by T. Rozier),,99-86,,
3:57.0,T. Rozier makes free throw 1 of 3,1,100-86,,
3:57.0,T. Rozier makes free throw 2 of 3,1,101-86,,
3:57.0,D. Theis enters the game for M. Morris,,101-86,,
3:57.0,T. Rozier misses free throw 3 of 3,,101-86,,
3:55.0,,,101-86,,Defensive rebound by A. Drummond
3:40.0,,,101-86,,Turnover by B. Griffin (bad pass; steal by G. Monroe)
3:22.0,K. Irving misses 2-pt shot from 2 ft,,101-86,,
3:20.0,,,101-86,,Defensive rebound by A. Drummond
3:17.0,,,101-86,,Turnover by I. Smith (bad pass; steal by D. Theis)
3:11.0,J. Tatum makes 2-pt shot at rim,2,103-86,,
2:57.0,Personal foul by G. Monroe (drawn by I. Smith),,103-86,,
2:57.0,,,103-86,,I. Smith misses free throw 1 of 2
2:57.0,,,103-86,,Offensive rebound by Team
2:57.0,,,103-87,1,I. Smith makes free throw 2 of 2
2:52.0,,,103-87,,Personal foul by S. Johnson (drawn by J. Tatum)
2:52.0,,,103-87,,A. Tolliver enters the game for A. Drummond
2:52.0,,,103-87,,E. Moreland enters the game for B. Griffin
2:43.0,D. Theis makes 2-pt shot at rim (assist by T. Rozier),2,105-87,,
2:28.0,,,105-89,2,R. Bullock makes 2-pt shot from 6 ft (assist by E. Moreland)
2:09.0,J. Tatum misses 2-pt shot from 19 ft,,105-89,,
2:07.0,Offensive rebound by T. Rozier,,105-89,,
2:06.0,T. Rozier misses 2-pt shot from 1 ft,,105-89,,
