time,New York,pts.away,score,pts.home,Toronto
9:35.0,,,18-34,,Defensive rebound by L. Brown
9:20.0,,,18-34,,O. Anunoby misses 3-pt shot from 22 ft
9:18.0,Defensive rebound by K. O'Quinn,,18-34,,
9:11.0,F. Ntilikina makes 3-pt shot from 26 ft (assist by C. Lee),3,21-34,,
8:53.0,,,21-36,2,F. VanVleet makes 2-pt shot from 1 ft
8:37.0,F. Ntilikina misses 2-pt shot from 8 ft,,21-36,,
8:34.0,Offensive rebound by C. Lee,,21-36,,
8:27.0,K. O'Quinn misses 2-pt shot from 15 ft,,21-36,,
8:25.0,,,21-36,,Defensive rebound by C. Miles
8:14.0,,,21-36,,Turnover by L. Nogueira (bad pass; steal by C. Lee)
8:11.0,,,21-36,,Personal foul by F. VanVleet (drawn by F. Ntilikina)
8:11.0,,,21-36,,K. Lowry enters the game for C. Miles
8:11.0,,,21-36,,J. Poeltl enters the game for L. Nogueira
8:11.0,J. Jack enters the game for K. O'Quinn,,21-36,,
8:11.0,E. Kanter enters the game for F. Ntilikina,,21-36,,
8:01.0,E. Kanter misses 2-pt shot from 7 ft,,21-36,,
7:54.0,Offensive rebound by L. Thomas,,21-36,,
7:54.0,L. Thomas misses 2-pt shot at rim,,21-36,,
7:54.0,,,21-36,,Defensive rebound by F. VanVleet
7:52.0,,,21-39,3,F. VanVleet makes 3-pt shot from 26 ft
7:29.0,J. Jack makes 2-pt shot from 6 ft (assist by C. Lee),2,23-39,,
7:21.0,,,23-39,,Offensive charge foul by J. Poeltl (drawn by L. Thomas)
7:21.0,,,23-39,,Turnover by J. Poeltl (offensive foul)
7:10.0,D. McDermott misses 2-pt shot from 15 ft,,23-39,,
7:05.0,,,23-39,,Defensive rebound by L. Brown
7:01.0,,,23-42,3,K. Lowry makes 3-pt shot from 27 ft (assist by L. Brown)
6:50.0,,,23-42,,Personal foul by J. Poeltl (drawn by E. Kanter)
6:50.0,,,23-42,,Toronto full timeout
6:50.0,,,23-42,,D. DeRozan enters the game for O. Anunoby
6:50.0,,,23-42,,P. Siakam enters the game for F. VanVleet
6:50.0,T. Hardaway enters the game for D. McDermott,,23-42,,
6:50.0,K. Porzingis enters the game for L. Thomas,,23-42,,
6:35.0,C. Lee misses 2-pt shot from 9 ft,,23-42,,
6:34.0,,,23-42,,Defensive rebound by Team
6:25.0,Personal foul by C. Lee (drawn by D. DeRozan),,23-42,,
6:15.0,,,23-42,,D. DeRozan misses 2-pt shot from 7 ft
6:12.0,Defensive rebound by E. Kanter,,23-42,,
5:57.0,Shooting foul by J. Poeltl (drawn by E. Kanter),,23-42,,
5:57.0,E. Kanter makes free throw 1 of 2,1,24-42,,
5:57.0,,,24-42,,J. Valanciunas enters the game for J. Poeltl
5:57.0,E. Kanter makes free throw 2 of 2,1,25-42,,
5:41.0,,,25-42,,K. Lowry misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by Team,,25-42,,
5:25.0,E. Kanter makes 2-pt shot at rim (assist by J. Jack),2,27-42,,
5:19.0,,,27-42,,Turnover by K. Lowry (bad pass; steal by T. Hardaway)
5:10.0,K. Porzingis makes 3-pt shot from 23 ft (assist by J. Jack),3,30-42,,
4:50.0,,,30-42,,Turnover by K. Lowry (out of bounds lost ball)
4:33.0,Turnover by J. Jack (bad pass),,30-42,,
4:23.0,,,30-44,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
4:05.0,K. Porzingis misses 2-pt shot from 19 ft,,30-44,,
4:03.0,,,30-44,,Defensive rebound by K. Lowry
4:00.0,,,30-46,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
3:38.0,Shooting foul by P. Siakam (drawn by K. Porzingis),,30-46,,
3:38.0,K. Porzingis makes free throw 1 of 2,1,31-46,,
3:38.0,K. Porzingis makes free throw 2 of 2,1,32-46,,
3:24.0,,,32-46,,Turnover by D. DeRozan (bad pass; steal by T. Hardaway)
3:14.0,E. Kanter makes 2-pt shot from 5 ft,2,34-46,,
3:02.0,,,34-46,,P. Siakam misses 3-pt shot from 25 ft
3:01.0,,,34-46,,Offensive rebound by Team
3:01.0,Loose ball foul by K. Porzingis (drawn by J. Valanciunas),,34-46,,
2:59.0,Personal foul by E. Kanter (drawn by J. Valanciunas),,34-46,,
2:59.0,New York full timeout,,34-46,,
2:59.0,,,34-46,,O. Anunoby enters the game for L. Brown
2:42.0,,,34-49,3,K. Lowry makes 3-pt shot from 26 ft
2:27.0,T. Hardaway misses 3-pt shot from 25 ft,,34-49,,
2:25.0,,,34-49,,Defensive rebound by K. Lowry
2:19.0,,,34-51,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
2:06.0,J. Jack misses 2-pt shot from 19 ft,,34-51,,
2:03.0,,,34-51,,Defensive rebound by Team
1:46.0,,,34-51,,P. Siakam misses 3-pt shot from 22 ft
1:41.0,Defensive rebound by J. Jack,,34-51,,
1:37.0,E. Kanter misses 2-pt shot from 4 ft (block by P. Siakam),,34-51,,
1:37.0,,,34-51,,Defensive rebound by J. Valanciunas
1:32.0,,,34-54,3,K. Lowry makes 3-pt shot from 29 ft
1:07.0,C. Lee misses 2-pt shot from 15 ft,,34-54,,
1:05.0,,,34-54,,Defensive rebound by Team
0:51.0,,,34-54,,O. Anunoby misses 3-pt shot from 22 ft
0:49.0,Defensive rebound by K. Porzingis,,34-54,,
0:29.0,Shooting foul by P. Siakam (drawn by K. Porzingis),,34-54,,
0:29.0,K. Porzingis makes free throw 1 of 2,1,35-54,,
0:29.0,,,35-54,,C. Miles enters the game for P. Siakam
0:29.0,K. Porzingis makes free throw 2 of 2,1,36-54,,
0:29.0,,,36-54,,Violation by C. Miles (lane)
0:29.0,L. Thomas enters the game for E. Kanter,,36-54,,
0:07.0,,,36-54,,J. Valanciunas misses 2-pt shot from 5 ft (block by K. Porzingis)
0:04.0,Defensive rebound by K. Porzingis,,36-54,,
0:03.0,C. Lee misses 3-pt shot from 26 ft,,36-54,,
0:03.0,,,36-54,,Defensive rebound by C. Miles
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,36-54,,J. Valanciunas misses 2-pt shot from 18 ft
11:33.0,,,36-54,,Offensive rebound by P. Siakam
11:32.0,,,36-56,2,O. Anunoby makes 2-pt shot at rim (assist by P. Siakam)
11:13.0,K. Porzingis misses 2-pt shot from 4 ft,,36-56,,
11:11.0,,,36-56,,Defensive rebound by J. Valanciunas
10:57.0,,,36-58,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
10:42.0,E. Kanter makes 2-pt shot from 3 ft (assist by J. Jack),2,38-58,,
10:22.0,,,38-58,,P. Siakam misses 3-pt shot from 22 ft
10:19.0,Defensive rebound by J. Jack,,38-58,,
10:09.0,C. Lee misses 2-pt shot from 2 ft (block by P. Siakam),,38-58,,
10:06.0,Offensive rebound by C. Lee,,38-58,,
10:02.0,T. Hardaway makes 3-pt shot from 24 ft (assist by C. Lee),3,41-58,,
9:46.0,,,41-60,2,D. DeRozan makes 2-pt shot from 15 ft
9:28.0,Turnover by K. Porzingis (out of bounds lost ball),,41-60,,
9:20.0,,,41-62,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
8:59.0,J. Jack misses 2-pt shot from 17 ft,,41-62,,
8:59.0,Offensive rebound by J. Jack,,41-62,,
8:52.0,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Lee),3,44-62,,
8:32.0,,,44-64,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by P. Siakam)
8:16.0,E. Kanter misses 2-pt shot from 6 ft (block by J. Valanciunas),,44-64,,
8:14.0,,,44-64,,Defensive rebound by D. DeRozan
8:10.0,,,44-66,2,D. DeRozan makes 2-pt shot from 2 ft
7:51.0,C. Lee makes 3-pt shot from 22 ft (assist by J. Jack),3,47-66,,
7:38.0,,,47-66,,K. Lowry misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by T. Hardaway,,47-66,,
7:31.0,E. Kanter makes 2-pt shot from 2 ft (assist by J. Jack),2,49-66,,
7:08.0,,,49-66,,Offensive charge foul by P. Siakam (drawn by C. Lee)
7:08.0,,,49-66,,Turnover by P. Siakam (offensive foul)
7:08.0,L. Thomas enters the game for C. Lee,,49-66,,
6:51.0,Turnover by K. Porzingis (lost ball; steal by P. Siakam),,49-66,,
6:47.0,,,49-68,2,D. DeRozan makes 2-pt shot from 1 ft
6:31.0,K. Porzingis makes 3-pt shot from 23 ft (assist by J. Jack),3,52-68,,
6:20.0,,,52-68,,Turnover by J. Valanciunas (lost ball; steal by L. Thomas)
6:17.0,L. Thomas makes 2-pt shot at rim,2,54-68,,
6:17.0,,,54-68,,Toronto full timeout
6:17.0,,,54-68,,C. Miles enters the game for O. Anunoby
6:17.0,,,54-68,,L. Nogueira enters the game for J. Valanciunas
5:55.0,,,54-68,,D. DeRozan misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by E. Kanter,,54-68,,
5:36.0,E. Kanter makes 2-pt shot from 5 ft,2,56-68,,
5:22.0,,,56-71,3,K. Lowry makes 3-pt shot from 26 ft (assist by P. Siakam)
4:59.0,Turnover by L. Thomas (lost ball; steal by D. DeRozan),,56-71,,
4:38.0,,,56-71,,L. Nogueira misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by E. Kanter,,56-71,,
4:29.0,K. Porzingis misses 3-pt shot from 26 ft,,56-71,,
4:27.0,,,56-71,,Defensive rebound by D. DeRozan
4:14.0,,,56-71,,K. Lowry misses 2-pt shot from 1 ft
4:12.0,Defensive rebound by E. Kanter,,56-71,,
4:10.0,,,56-71,,Personal foul by D. DeRozan (drawn by J. Jack)
4:00.0,Turnover by T. Hardaway (bad pass; steal by L. Nogueira),,56-71,,
3:57.0,,,56-71,,Shooting foul by L. Thomas (drawn by P. Siakam)
3:57.0,,,56-72,1,P. Siakam makes free throw 1 of 2
3:57.0,,,56-72,,P. Siakam misses free throw 2 of 2
3:55.0,Defensive rebound by E. Kanter,,56-72,,
3:35.0,,,56-72,,Personal foul by K. Lowry (drawn by K. Porzingis)
3:35.0,,,56-72,,F. VanVleet enters the game for K. Lowry
3:35.0,F. Ntilikina enters the game for E. Kanter,,56-72,,
3:35.0,D. McDermott enters the game for J. Jack,,56-72,,
3:25.0,Shooting foul by C. Miles (drawn by K. Porzingis),,56-72,,
3:25.0,K. Porzingis misses free throw 1 of 2,,56-72,,
3:25.0,Offensive rebound by Team,,56-72,,
3:25.0,K. Porzingis makes free throw 2 of 2,1,57-72,,
3:04.0,,,57-72,,P. Siakam misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by T. Hardaway,,57-72,,
2:52.0,L. Thomas makes 3-pt shot from 26 ft (assist by T. Hardaway),3,60-72,,
2:28.0,,,60-72,,F. VanVleet misses 2-pt shot from 6 ft
2:28.0,,,60-72,,Offensive rebound by F. VanVleet
2:23.0,,,60-74,2,F. VanVleet makes 2-pt shot at rim
2:20.0,T. Hardaway makes 2-pt shot at rim,2,62-74,,
2:01.0,,,62-74,,F. VanVleet misses 2-pt shot at rim (block by K. Porzingis)
2:01.0,Defensive rebound by T. Hardaway,,62-74,,
1:59.0,,,62-74,,Personal foul by D. DeRozan (drawn by T. Hardaway)
1:59.0,New York full timeout,,62-74,,
1:59.0,,,62-74,,O. Anunoby enters the game for P. Siakam
1:59.0,C. Lee enters the game for T. Hardaway,,62-74,,
1:46.0,L. Thomas misses 2-pt shot from 11 ft,,62-74,,
1:43.0,,,62-74,,Defensive rebound by F. VanVleet
1:24.0,,,62-76,2,D. DeRozan makes 2-pt shot from 4 ft (assist by F. VanVleet)
1:06.0,K. Porzingis makes 2-pt shot from 6 ft,2,64-76,,
0:52.0,,,64-78,2,D. DeRozan makes 2-pt shot from 1 ft
0:33.0,D. McDermott misses 2-pt shot from 3 ft (block by C. Miles),,64-78,,
0:31.0,,,64-78,,Defensive rebound by L. Nogueira
0:25.0,,,64-78,,O. Anunoby misses 3-pt shot from 23 ft
0:22.0,Defensive rebound by D. McDermott,,64-78,,
0:00.0,C. Lee misses 3-pt shot from 22 ft (block by C. Miles),,64-78,,
0:00.0,,,64-78,,Defensive rebound by O. Anunoby
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Offensive charge foul by M. Beasley (drawn by C. Miles),,64-78,,
11:40.0,Turnover by M. Beasley (offensive foul),,64-78,,
11:26.0,,,64-80,2,L. Nogueira makes 2-pt shot at rim (assist by F. VanVleet)
11:08.0,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina),2,66-80,,
10:46.0,,,66-80,,Turnover by F. VanVleet (bad pass; steal by F. Ntilikina)
10:33.0,F. Ntilikina makes 2-pt shot from 2 ft,2,68-80,,
10:18.0,,,68-80,,F. VanVleet misses 2-pt shot from 9 ft
10:16.0,Defensive rebound by M. Beasley,,68-80,,
9:57.0,M. Beasley misses 2-pt shot from 2 ft,,68-80,,
9:57.0,Offensive rebound by D. McDermott,,68-80,,
9:53.0,D. McDermott misses 2-pt shot from 1 ft,,68-80,,
9:53.0,Offensive rebound by M. Beasley,,68-80,,
9:47.0,M. Beasley makes 2-pt shot at rim,2,70-80,,
9:26.0,,,70-80,,O. Anunoby misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by C. Lee,,70-80,,
9:17.0,Turnover by M. Beasley (step out of bounds),,70-80,,
9:17.0,,,70-80,,J. Poeltl enters the game for F. VanVleet
9:17.0,,,70-80,,K. Lowry enters the game for L. Nogueira
9:00.0,,,70-82,2,O. Anunoby makes 2-pt shot from 1 ft (assist by L. Brown)
8:49.0,M. Beasley makes 2-pt shot from 10 ft (assist by K. O'Quinn),2,72-82,,
8:27.0,,,72-84,2,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry)
8:07.0,D. McDermott makes 2-pt shot from 1 ft (assist by M. Beasley),2,74-84,,
7:50.0,,,74-87,3,C. Miles makes 3-pt shot from 23 ft (assist by L. Brown)
7:27.0,K. O'Quinn misses 2-pt shot at rim,,74-87,,
7:26.0,Offensive rebound by M. Beasley,,74-87,,
7:26.0,,,74-87,,Personal foul by C. Miles (drawn by M. Beasley)
7:20.0,F. Ntilikina misses 2-pt shot from 14 ft,,74-87,,
7:18.0,,,74-87,,Defensive rebound by Team
7:18.0,,,74-87,,Toronto full timeout
7:18.0,,,74-87,,P. Siakam enters the game for O. Anunoby
7:18.0,,,74-87,,D. DeRozan enters the game for L. Brown
7:18.0,K. Porzingis enters the game for K. O'Quinn,,74-87,,
7:18.0,T. Hardaway enters the game for D. McDermott,,74-87,,
7:00.0,,,74-89,2,J. Poeltl makes 2-pt shot from 4 ft (assist by K. Lowry)
6:47.0,Shooting foul by J. Poeltl (drawn by M. Beasley),,74-89,,
6:47.0,M. Beasley makes free throw 1 of 2,1,75-89,,
6:47.0,M. Beasley makes free throw 2 of 2,1,76-89,,
6:28.0,,,76-91,2,D. DeRozan makes 2-pt shot from 12 ft
6:11.0,Shooting foul by K. Lowry (drawn by M. Beasley),,76-91,,
6:11.0,M. Beasley makes free throw 1 of 2,1,77-91,,
6:11.0,M. Beasley makes free throw 2 of 2,1,78-91,,
5:57.0,,,78-91,,D. DeRozan misses 2-pt shot from 7 ft
5:57.0,,,78-91,,Offensive rebound by Team
5:57.0,Loose ball foul by K. Porzingis (drawn by J. Poeltl),,78-91,,
5:51.0,,,78-93,2,K. Lowry makes 2-pt shot from 21 ft (assist by D. DeRozan)
5:50.0,,,78-93,,Shooting foul by F. Ntilikina (drawn by K. Lowry)
5:50.0,,,78-94,1,K. Lowry makes free throw 1 of 1
5:37.0,K. Porzingis misses 2-pt shot from 12 ft,,78-94,,
5:31.0,Offensive rebound by M. Beasley,,78-94,,
5:31.0,M. Beasley misses 2-pt shot at rim,,78-94,,
5:29.0,,,78-94,,Defensive rebound by K. Lowry
5:26.0,,,78-94,,J. Poeltl misses 2-pt shot from 1 ft (block by K. Porzingis)
5:26.0,,,78-94,,Offensive rebound by P. Siakam
5:22.0,,,78-97,3,C. Miles makes 3-pt shot from 22 ft (assist by P. Siakam)
5:22.0,New York full timeout,,78-97,,
5:22.0,J. Jack enters the game for F. Ntilikina,,78-97,,
5:10.0,T. Hardaway misses 3-pt shot from 25 ft,,78-97,,
5:08.0,,,78-97,,Defensive rebound by D. DeRozan
4:54.0,,,78-99,2,D. DeRozan makes 2-pt shot from 19 ft
4:41.0,,,78-99,,Violation by K. Lowry (kicked ball)
4:34.0,M. Beasley makes 2-pt shot from 18 ft,2,80-99,,
4:12.0,,,80-99,,C. Miles misses 3-pt shot from 27 ft
4:10.0,Defensive rebound by C. Lee,,80-99,,
3:59.0,Offensive charge foul by K. Porzingis (drawn by K. Lowry),,80-99,,
3:59.0,Turnover by K. Porzingis (offensive foul),,80-99,,
3:37.0,,,80-101,2,P. Siakam makes 2-pt shot from 6 ft (assist by K. Lowry)
3:25.0,J. Jack misses 2-pt shot from 3 ft (block by J. Poeltl),,80-101,,
3:25.0,,,80-101,,Defensive rebound by K. Lowry
3:19.0,,,80-103,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan)
3:19.0,New York full timeout,,80-103,,
3:19.0,D. Dotson enters the game for T. Hardaway,,80-103,,
3:19.0,W. Hernangomez enters the game for C. Lee,,80-103,,
3:19.0,D. McDermott enters the game for K. Porzingis,,80-103,,
3:19.0,R. Sessions enters the game for J. Jack,,80-103,,
2:57.0,R. Sessions makes 2-pt shot from 12 ft (assist by W. Hernangomez),2,82-103,,
2:47.0,,,82-105,2,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry)
2:40.0,,,82-105,,Violation by J. Poeltl (kicked ball)
2:40.0,,,82-105,,F. VanVleet enters the game for C. Miles
2:40.0,,,82-105,,A. McKinnie enters the game for K. Lowry
2:40.0,,,82-105,,L. Brown enters the game for D. DeRozan
2:37.0,,,82-105,,Personal foul by P. Siakam (drawn by M. Beasley)
2:30.0,D. McDermott misses 2-pt shot from 2 ft (block by J. Poeltl),,82-105,,
2:30.0,Offensive rebound by Team,,82-105,,
2:23.0,M. Beasley misses 2-pt shot from 5 ft,,82-105,,
2:23.0,Offensive rebound by D. McDermott,,82-105,,
2:18.0,D. McDermott misses 2-pt shot at rim,,82-105,,
2:17.0,,,82-105,,Defensive rebound by A. McKinnie
2:10.0,,,82-107,2,J. Poeltl makes 2-pt shot at rim (assist by P. Siakam)
1:44.0,R. Sessions misses 3-pt shot from 29 ft,,82-107,,
1:44.0,Offensive rebound by Team,,82-107,,
1:44.0,Turnover by Team (shot clock),,82-107,,
1:26.0,,,82-107,,Turnover by P. Siakam (bad pass)
1:05.0,W. Hernangomez misses 2-pt shot from 7 ft,,82-107,,
0:59.0,,,82-107,,Defensive rebound by F. VanVleet
0:57.0,,,82-107,,Turnover by F. VanVleet (bad pass; steal by R. Sessions)
0:52.0,D. Dotson misses 3-pt shot from 26 ft,,82-107,,
0:47.0,Offensive rebound by W. Hernangomez,,82-107,,
0:47.0,W. Hernangomez misses 2-pt shot at rim,,82-107,,
