time,Philadelphia,pts.away,score,pts.home,Phoenix
2:55.0,B. Simmons makes free throw 1 of 2,1,58-43,,
2:55.0,,,58-43,,I. Canaan enters the game for T. Ulis
2:55.0,B. Simmons makes free throw 2 of 2,1,59-43,,
2:31.0,,,59-43,,J. Jackson misses 2-pt shot from 1 ft
2:27.0,,,59-43,,Offensive rebound by J. Jackson
2:27.0,,,59-43,,J. Jackson misses 2-pt shot at rim
2:27.0,,,59-43,,Offensive rebound by T. Chandler
2:19.0,,,59-43,,J. Jackson misses 2-pt shot from 1 ft (block by B. Simmons)
2:19.0,Defensive rebound by B. Simmons,,59-43,,
2:19.0,Offensive foul by J. Embiid (drawn by J. Jackson),,59-43,,
2:19.0,Turnover by J. Embiid (offensive foul),,59-43,,
2:19.0,A. Johnson enters the game for J. Embiid,,59-43,,
2:07.0,,,59-45,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
1:57.0,J. Redick misses 3-pt shot from 26 ft,,59-45,,
1:53.0,Offensive rebound by A. Johnson,,59-45,,
1:50.0,J. Redick makes 2-pt shot from 10 ft,2,61-45,,
1:31.0,,,61-45,,Shooting foul by J. Redick (drawn by T. Chandler)
1:31.0,,,61-45,,T. Chandler misses free throw 1 of 2
1:31.0,,,61-45,,Offensive rebound by Team
1:31.0,,,61-45,,T. Chandler misses free throw 2 of 2
1:29.0,Defensive rebound by A. Johnson,,61-45,,
1:14.0,,,61-45,,Violation by J. Jackson (kicked ball)
1:08.0,J. Redick misses 3-pt shot from 26 ft,,61-45,,
1:05.0,Offensive rebound by A. Johnson,,61-45,,
1:04.0,B. Simmons makes 2-pt shot at rim (assist by A. Johnson),2,63-45,,
0:49.0,,,63-47,2,J. Jackson makes 2-pt shot from 9 ft
0:49.0,Shooting block foul by J. Redick (drawn by J. Jackson),,63-47,,
0:49.0,J. Bayless enters the game for J. Redick,,63-47,,
0:49.0,,,63-48,1,J. Jackson makes free throw 1 of 1
0:30.0,T. McConnell misses 2-pt shot from 11 ft,,63-48,,
0:27.0,,,63-48,,Defensive rebound by T. Chandler
0:09.0,,,63-48,,D. Booker misses 3-pt shot from 27 ft
0:06.0,,,63-48,,Offensive rebound by Team
0:06.0,Personal foul by T. Booker (drawn by J. Jackson),,63-48,,
0:06.0,,,63-49,1,J. Jackson makes free throw 1 of 2
0:06.0,,,63-49,,T. Ulis enters the game for D. Booker
0:06.0,,,63-49,,T. Daniels enters the game for I. Canaan
0:06.0,,,63-49,,J. Jackson misses free throw 2 of 2
0:05.0,Defensive rebound by B. Simmons,,63-49,,
0:00.0,A. Johnson misses 2-pt shot from 2 ft,,63-49,,
0:00.0,Offensive rebound by Team,,63-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,63-49,,Turnover by T. Warren (bad pass; steal by D. Saric)
11:43.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,66-49,,
11:19.0,,,66-52,3,D. Booker makes 3-pt shot from 26 ft (assist by M. Chriss)
11:08.0,,,66-52,,Personal foul by T. Ulis (drawn by J. Redick)
11:05.0,Turnover by B. Simmons (discontinued dribble),,66-52,,
10:56.0,,,66-52,,Shooting foul by R. Covington (drawn by D. Booker)
10:56.0,,,66-53,1,D. Booker makes free throw 1 of 2
10:56.0,J. Bayless enters the game for R. Covington,,66-53,,
10:56.0,,,66-54,1,D. Booker makes free throw 2 of 2
10:41.0,J. Embiid makes 2-pt shot from 7 ft,2,68-54,,
10:31.0,,,68-54,,Turnover by D. Booker (bad pass; steal by D. Saric)
10:28.0,Shooting foul by M. Chriss (drawn by J. Redick),,68-54,,
10:28.0,J. Redick makes free throw 1 of 2,1,69-54,,
10:28.0,J. Redick makes free throw 2 of 2,1,70-54,,
10:12.0,,,70-54,,D. Booker misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by Team,,70-54,,
9:57.0,J. Embiid makes 2-pt shot from 11 ft (assist by J. Redick),2,72-54,,
9:44.0,,,72-54,,T. Warren misses 2-pt shot from 10 ft
9:44.0,,,72-54,,Offensive rebound by Team
9:44.0,Personal foul by D. Saric (drawn by M. Chriss),,72-54,,
9:37.0,,,72-54,,Shooting foul by J. Embiid (drawn by M. Chriss)
9:37.0,,,72-54,,M. Chriss misses free throw 1 of 2
9:37.0,,,72-54,,Offensive rebound by Team
9:37.0,A. Johnson enters the game for J. Embiid,,72-54,,
9:37.0,,,72-55,1,M. Chriss makes free throw 2 of 2
9:20.0,Shooting foul by T. Ulis (drawn by J. Redick),,72-55,,
9:20.0,J. Redick makes free throw 1 of 2,1,73-55,,
9:20.0,J. Redick misses free throw 2 of 2,,73-55,,
9:18.0,,,73-55,,Defensive rebound by T. Chandler
9:11.0,,,73-58,3,D. Booker makes 3-pt shot from 25 ft (assist by M. Chriss)
9:02.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,76-58,,
8:44.0,,,76-61,3,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis)
8:30.0,J. Redick misses 2-pt shot from 16 ft,,76-61,,
8:28.0,,,76-61,,Defensive rebound by M. Chriss
8:18.0,,,76-64,3,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis)
8:17.0,Philadelphia full timeout,,76-64,,
8:05.0,,,76-64,,Personal foul by T. Ulis (drawn by J. Redick)
7:56.0,Turnover by D. Saric (bad pass; steal by M. Chriss),,76-64,,
7:51.0,,,76-64,,T. Warren misses 2-pt shot from 9 ft
7:50.0,,,76-64,,Offensive rebound by Team
7:50.0,T. McConnell enters the game for J. Redick,,76-64,,
7:48.0,,,76-66,2,T. Chandler makes 2-pt shot at rim (assist by T. Ulis)
7:41.0,Turnover by B. Simmons (lost ball; steal by T. Ulis),,76-66,,
7:41.0,Personal foul by B. Simmons (drawn by T. Ulis),,76-66,,
7:30.0,,,76-66,,T. Warren misses 2-pt shot from 7 ft (block by B. Simmons)
7:30.0,,,76-66,,Offensive rebound by Team
7:28.0,,,76-66,,M. Chriss misses 3-pt shot from 25 ft
7:24.0,,,76-66,,Offensive rebound by T. Ulis
7:23.0,,,76-69,3,D. Booker makes 3-pt shot from 27 ft (assist by T. Ulis)
7:00.0,D. Saric misses 2-pt shot from 6 ft,,76-69,,
6:57.0,,,76-69,,Defensive rebound by M. Chriss
6:47.0,Personal foul by J. Bayless (drawn by D. Booker),,76-69,,
6:47.0,,,76-69,,Technical foul by M. Chriss
6:47.0,D. Saric makes technical free throw,1,77-69,,
6:47.0,,,77-69,,D. Booker misses free throw 1 of 2
6:47.0,,,77-69,,Offensive rebound by Team
6:47.0,,,77-70,1,D. Booker makes free throw 2 of 2
6:32.0,B. Simmons makes 2-pt shot from 13 ft,2,79-70,,
6:14.0,,,79-72,2,T. Warren makes 2-pt shot from 18 ft (assist by D. Booker)
5:59.0,T. McConnell makes 2-pt shot from 9 ft,2,81-72,,
5:46.0,,,81-72,,Turnover by D. Booker (bad pass; steal by B. Simmons)
5:41.0,B. Simmons misses 2-pt shot at rim (block by M. Chriss),,81-72,,
5:40.0,,,81-72,,Defensive rebound by Team
5:40.0,,,81-72,,A. Len enters the game for T. Chandler
5:33.0,,,81-72,,T. Ulis misses 2-pt shot from 3 ft (block by B. Simmons)
5:32.0,Defensive rebound by Team,,81-72,,
5:32.0,Personal foul by B. Simmons (drawn by D. Booker),,81-72,,
5:32.0,Turnover by B. Simmons (turnover),,81-72,,
5:32.0,,,81-73,1,D. Booker makes free throw 1 of 1
5:32.0,J. Redick enters the game for B. Simmons,,81-73,,
5:28.0,,,81-73,,Shooting foul by J. Redick (drawn by T. Warren)
5:28.0,,,81-74,1,T. Warren makes free throw 1 of 2
5:28.0,,,81-75,1,T. Warren makes free throw 2 of 2
5:15.0,Turnover by T. McConnell (bad pass; steal by T. Ulis),,81-75,,
5:12.0,,,81-77,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
5:12.0,,,81-77,,Shooting foul by A. Johnson (drawn by T. Warren)
5:12.0,J. Embiid enters the game for A. Johnson,,81-77,,
5:12.0,T. Booker enters the game for D. Saric,,81-77,,
5:12.0,,,81-78,1,T. Warren makes free throw 1 of 1
5:02.0,,,81-78,,Personal foul by D. Booker (drawn by J. Embiid)
5:02.0,J. Embiid makes free throw 1 of 2,1,82-78,,
5:02.0,T. Luwawu-Cabarrot enters the game for J. Redick,,82-78,,
5:02.0,J. Embiid misses free throw 2 of 2,,82-78,,
5:00.0,,,82-78,,Defensive rebound by M. Chriss
4:44.0,,,82-78,,D. Booker misses 2-pt shot from 12 ft
4:39.0,,,82-78,,Offensive rebound by M. Chriss
4:39.0,,,82-80,2,M. Chriss makes 2-pt shot at rim
4:25.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,82-80,,
4:23.0,,,82-80,,Defensive rebound by M. Chriss
4:20.0,Jump ball: M. Chriss vs. T. Booker (T. Luwawu-Cabarrot gains possession),,,,Jump ball: M. Chriss vs. T. Booker (T. Luwawu-Cabarrot gains possession)
4:20.0,,,82-80,,Turnover by M. Chriss (turnover; steal by T. Booker)
4:12.0,Turnover by T. Luwawu-Cabarrot (bad pass),,82-80,,
3:53.0,,,82-82,2,T. Warren makes 2-pt shot from 13 ft
3:32.0,Shooting foul by A. Len (drawn by J. Embiid),,82-82,,
3:32.0,J. Embiid makes free throw 1 of 2,1,83-82,,
3:32.0,J. Embiid makes free throw 2 of 2,1,84-82,,
3:12.0,,,84-82,,T. Ulis misses 3-pt shot from 26 ft
3:11.0,Defensive rebound by Team,,84-82,,
2:55.0,J. Embiid misses 2-pt shot from 1 ft (block by A. Len),,84-82,,
2:53.0,,,84-82,,Defensive rebound by A. Len
2:51.0,,,84-84,2,D. Booker makes 2-pt shot from 12 ft
2:51.0,,,84-84,,Shooting foul by J. Bayless (drawn by D. Booker)
2:51.0,,,84-84,,Phoenix full timeout
2:51.0,,,84-84,,J. Jackson enters the game for T. Warren
2:51.0,D. Saric enters the game for T. Booker,,84-84,,
2:51.0,,,84-85,1,D. Booker makes free throw 1 of 1
2:37.0,Turnover by J. Embiid (bad pass),,84-85,,
2:37.0,,,84-85,,T. Daniels enters the game for D. Booker
2:26.0,,,84-87,2,J. Jackson makes 2-pt shot from 12 ft
2:13.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Embiid),2,86-87,,
2:01.0,,,86-87,,T. Daniels misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by J. Embiid,,86-87,,
1:46.0,,,86-87,,Personal block foul by A. Len (drawn by J. Embiid)
1:46.0,J. Embiid makes free throw 1 of 2,1,87-87,,
1:46.0,,,87-87,,D. Bender enters the game for M. Chriss
1:46.0,J. Embiid misses free throw 2 of 2,,87-87,,
1:43.0,Offensive rebound by T. Luwawu-Cabarrot,,87-87,,
1:42.0,J. Embiid misses 3-pt shot from 25 ft,,87-87,,
1:40.0,,,87-87,,Defensive rebound by A. Len
1:28.0,,,87-87,,J. Jackson misses 2-pt shot from 6 ft
1:25.0,Defensive rebound by T. McConnell,,87-87,,
1:25.0,Turnover by J. Bayless (step out of bounds),,87-87,,
1:14.0,,,87-87,,T. Daniels misses 3-pt shot from 22 ft (block by J. Bayless)
1:11.0,Defensive rebound by D. Saric,,87-87,,
0:56.0,J. Embiid makes 2-pt shot from 15 ft,2,89-87,,
0:56.0,Shooting foul by J. Jackson (drawn by J. Embiid),,89-87,,
0:56.0,J. Embiid makes free throw 1 of 1,1,90-87,,
0:42.0,,,90-89,2,T. Ulis makes 2-pt shot from 16 ft
0:30.0,T. McConnell makes 2-pt shot at rim,2,92-89,,
0:07.0,,,92-89,,T. Ulis misses 2-pt shot from 14 ft
0:03.0,,,92-89,,Offensive rebound by A. Len
0:02.0,,,92-89,,A. Len misses 2-pt shot from 4 ft
0:02.0,Defensive rebound by D. Saric,,92-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Embiid makes 2-pt shot from 1 ft,2,94-89,,
11:23.0,,,94-92,3,D. Booker makes 3-pt shot from 22 ft (assist by I. Canaan)
11:06.0,J. Embiid makes 2-pt shot from 10 ft,2,96-92,,
10:48.0,,,96-94,2,I. Canaan makes 2-pt shot from 1 ft
10:26.0,Shooting foul by D. Bender (drawn by T. Luwawu-Cabarrot),,96-94,,
10:26.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,97-94,,
10:26.0,,,97-94,,T. Chandler enters the game for A. Len
10:26.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,98-94,,
10:13.0,,,98-94,,D. Booker misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by J. Embiid,,98-94,,
9:49.0,J. Embiid misses 3-pt shot from 23 ft,,98-94,,
9:47.0,Offensive rebound by Team,,98-94,,
9:47.0,R. Covington enters the game for T. Luwawu-Cabarrot,,98-94,,
9:32.0,J. Redick misses 3-pt shot from 27 ft,,98-94,,
9:29.0,,,98-94,,Defensive rebound by Team
9:10.0,,,98-96,2,D. Booker makes 2-pt shot from 10 ft
8:51.0,J. Redick misses 3-pt shot from 22 ft,,98-96,,
8:50.0,,,98-96,,Defensive rebound by T. Chandler
8:50.0,Personal foul by T. Booker (drawn by T. Chandler),,98-96,,
8:50.0,A. Johnson enters the game for T. McConnell,,98-96,,
8:50.0,B. Simmons enters the game for J. Embiid,,98-96,,
