time,LA Lakers,pts.away,score,pts.home,LA Clippers
7:40.0,,,15-15,,T. Harris misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by J. Randle,,15-15,,
7:30.0,A. Ingram makes 3-pt shot from 23 ft (assist by J. Hart),3,18-15,,
7:02.0,,,18-17,2,T. Harris makes 2-pt shot from 4 ft
6:53.0,B. Lopez misses 3-pt shot from 27 ft,,18-17,,
6:49.0,,,18-17,,Defensive rebound by T. Harris
6:34.0,,,18-20,3,S. Thornwell makes 3-pt shot from 26 ft (assist by W. Johnson)
6:32.0,LA Lakers full timeout,,18-20,,
6:19.0,Shooting foul by T. Harris (drawn by J. Randle),,18-20,,
6:19.0,J. Randle makes free throw 1 of 2,1,19-20,,
6:19.0,J. Randle makes free throw 2 of 2,1,20-20,,
6:03.0,,,20-20,,A. Rivers misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by J. Randle,,20-20,,
5:55.0,A. Ingram misses 3-pt shot from 26 ft,,20-20,,
5:52.0,,,20-20,,Defensive rebound by D. Jordan
5:43.0,,,20-20,,S. Thornwell misses 2-pt shot from 12 ft
5:42.0,Defensive rebound by J. Hart,,20-20,,
5:32.0,B. Lopez makes 2-pt shot from 13 ft (assist by A. Ingram),2,22-20,,
5:14.0,,,22-20,,Shooting foul by J. Hart (drawn by A. Rivers)
5:14.0,,,22-20,,A. Rivers misses free throw 1 of 2
5:14.0,,,22-20,,Offensive rebound by Team
5:14.0,G. Payton enters the game for J. Hart,,22-20,,
5:14.0,,,22-21,1,A. Rivers makes free throw 2 of 2
5:01.0,A. Caruso misses 2-pt shot from 9 ft,,22-21,,
4:54.0,Offensive rebound by G. Payton,,22-21,,
4:54.0,G. Payton makes 2-pt shot at rim,2,24-21,,
4:39.0,,,24-24,3,S. Thornwell makes 3-pt shot from 23 ft (assist by A. Rivers)
4:21.0,G. Payton makes 2-pt shot from 1 ft,2,26-24,,
4:09.0,,,26-24,,A. Rivers misses 2-pt shot from 4 ft
4:09.0,,,26-24,,Offensive rebound by Team
4:09.0,Loose ball foul by G. Payton (drawn by D. Jordan),,26-24,,
4:09.0,,,26-24,,T. Wallace enters the game for A. Rivers
4:09.0,,,26-24,,C. Williams enters the game for W. Johnson
4:00.0,,,26-24,,T. Harris misses 3-pt shot from 23 ft
3:56.0,Defensive rebound by A. Caruso,,26-24,,
3:52.0,G. Payton misses 3-pt shot from 25 ft,,26-24,,
3:46.0,,,26-24,,Defensive rebound by T. Harris
3:40.0,,,26-24,,S. Thornwell misses 2-pt shot from 2 ft (block by B. Lopez)
3:37.0,Defensive rebound by B. Lopez,,26-24,,
3:36.0,Shooting foul by D. Jordan (drawn by B. Lopez),,26-24,,
3:36.0,B. Lopez makes free throw 1 of 3,1,27-24,,
3:36.0,B. Lopez makes free throw 2 of 3,1,28-24,,
3:36.0,,,28-24,,M. Harrell enters the game for D. Jordan
3:36.0,B. Lopez makes free throw 3 of 3,1,29-24,,
3:23.0,,,29-24,,T. Harris misses 2-pt shot from 2 ft
3:21.0,Defensive rebound by J. Randle,,29-24,,
3:13.0,J. Randle makes 2-pt shot from 5 ft,2,31-24,,
2:46.0,,,31-24,,C. Williams misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by A. Caruso,,31-24,,
2:36.0,J. Randle misses 3-pt shot from 25 ft,,31-24,,
2:33.0,,,31-24,,Defensive rebound by T. Harris
2:25.0,,,31-26,2,C. Williams makes 2-pt shot from 1 ft (assist by T. Wallace)
2:12.0,G. Payton makes 3-pt shot from 22 ft (assist by A. Ingram),3,34-26,,
1:53.0,,,34-28,2,C. Williams makes 2-pt shot from 11 ft (assist by M. Harrell)
1:40.0,A. Ingram misses 2-pt shot from 9 ft,,34-28,,
1:35.0,Offensive rebound by G. Payton,,34-28,,
1:35.0,G. Payton makes 2-pt shot at rim,2,36-28,,
1:19.0,,,36-30,2,T. Wallace makes 2-pt shot from 14 ft (assist by M. Harrell)
1:00.0,A. Caruso makes 3-pt shot from 25 ft (assist by A. Ingram),3,39-30,,
0:52.0,,,39-30,,T. Harris misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by A. Ingram,,39-30,,
0:46.0,B. Lopez misses 3-pt shot from 26 ft,,39-30,,
0:44.0,,,39-30,,Defensive rebound by Team
0:44.0,,,39-30,,S. Dekker enters the game for T. Harris
0:44.0,T. Ennis enters the game for A. Caruso,,39-30,,
0:44.0,J. Hart enters the game for B. Lopez,,39-30,,
0:44.0,I. Zubac enters the game for J. Randle,,39-30,,
0:33.0,,,39-32,2,T. Wallace makes 2-pt shot from 1 ft
0:19.0,J. Hart misses 2-pt shot from 18 ft,,39-32,,
0:17.0,Offensive rebound by Team,,39-32,,
0:17.0,,,39-32,,Loose ball foul by C. Williams (drawn by I. Zubac)
0:03.0,G. Payton misses 3-pt shot from 25 ft,,39-32,,
0:00.0,,,39-32,,Defensive rebound by M. Harrell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Hart makes 3-pt shot from 25 ft (assist by T. Ennis),3,42-32,,
11:24.0,,,42-32,,C. Williams misses 2-pt shot from 9 ft
11:22.0,Defensive rebound by G. Payton,,42-32,,
11:12.0,T. Wear misses 2-pt shot from 16 ft,,42-32,,
11:09.0,,,42-32,,Defensive rebound by T. Wallace
10:54.0,,,42-34,2,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers)
10:40.0,T. Ennis misses 2-pt shot from 5 ft,,42-34,,
10:38.0,,,42-34,,Defensive rebound by T. Wallace
10:26.0,,,42-36,2,M. Harrell makes 2-pt shot from 5 ft
10:14.0,I. Zubac makes 2-pt shot from 4 ft (assist by J. Hart),2,44-36,,
9:59.0,,,44-36,,Turnover by S. Dekker (traveling)
9:48.0,T. Ennis makes 2-pt shot from 1 ft,2,46-36,,
9:23.0,,,46-36,,T. Wallace misses 3-pt shot from 23 ft
9:19.0,Defensive rebound by I. Zubac,,46-36,,
9:11.0,T. Ennis misses 2-pt shot from 9 ft,,46-36,,
9:09.0,,,46-36,,Defensive rebound by S. Dekker
8:56.0,,,46-36,,M. Harrell misses 2-pt shot from 1 ft (block by I. Zubac)
8:52.0,Defensive rebound by G. Payton,,46-36,,
8:49.0,J. Hart misses 2-pt shot at rim,,46-36,,
8:47.0,,,46-36,,Defensive rebound by C. Williams
8:43.0,,,46-38,2,S. Dekker makes 2-pt shot from 1 ft (assist by A. Rivers)
8:29.0,Turnover by I. Zubac (lost ball; steal by C. Williams),,46-38,,
8:23.0,,,46-38,,A. Rivers misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by G. Payton,,46-38,,
8:15.0,Turnover by G. Payton (bad pass),,46-38,,
8:15.0,A. Ingram enters the game for J. Hart,,46-38,,
8:00.0,,,46-38,,C. Williams misses 2-pt shot from 7 ft
7:58.0,Defensive rebound by T. Wear,,46-38,,
7:52.0,,,46-38,,Personal foul by S. Dekker (drawn by I. Zubac)
7:52.0,,,46-38,,LA Clippers full timeout
7:52.0,,,46-38,,W. Johnson enters the game for A. Rivers
7:38.0,I. Zubac misses 2-pt shot from 4 ft,,46-38,,
7:35.0,,,46-38,,Defensive rebound by M. Harrell
7:28.0,,,46-38,,M. Harrell misses 2-pt shot from 7 ft
7:26.0,,,46-38,,Offensive rebound by M. Harrell
7:25.0,,,46-40,2,M. Harrell makes 2-pt shot at rim
7:15.0,Turnover by T. Ennis (bad pass; steal by T. Wallace),,46-40,,
7:15.0,Personal take foul by G. Payton (drawn by T. Wallace),,46-40,,
7:15.0,T. Bryant enters the game for I. Zubac,,46-40,,
7:09.0,,,46-40,,Turnover by T. Wallace (lost ball; steal by G. Payton)
7:09.0,Turnover by G. Payton (out of bounds lost ball),,46-40,,
7:02.0,,,46-40,,T. Wallace misses 2-pt shot at rim
7:00.0,Defensive rebound by G. Payton,,46-40,,
6:55.0,G. Payton makes 2-pt shot from 2 ft,2,48-40,,
6:40.0,,,48-40,,M. Harrell misses 2-pt shot from 18 ft
6:37.0,,,48-40,,Offensive rebound by S. Dekker
6:29.0,,,48-42,2,S. Dekker makes 2-pt shot from 1 ft (assist by W. Johnson)
6:29.0,,,48-42,,Shooting foul by G. Payton (drawn by S. Dekker)
6:29.0,,,48-42,,D. Jordan enters the game for M. Harrell
6:29.0,,,48-42,,T. Harris enters the game for W. Johnson
6:29.0,J. Hart enters the game for G. Payton,,48-42,,
6:29.0,,,48-42,,S. Dekker misses free throw 1 of 1
6:29.0,Defensive rebound by T. Ennis,,48-42,,
6:23.0,Shooting foul by C. Williams (drawn by J. Hart),,48-42,,
6:23.0,J. Hart makes free throw 1 of 3,1,49-42,,
6:23.0,J. Hart makes free throw 2 of 3,1,50-42,,
6:23.0,J. Hart makes free throw 3 of 3,1,51-42,,
5:58.0,,,51-44,2,C. Williams makes 2-pt shot from 1 ft
5:39.0,T. Ennis misses 3-pt shot from 25 ft,,51-44,,
5:34.0,Offensive rebound by J. Hart,,51-44,,
5:31.0,Turnover by J. Hart (traveling),,51-44,,
5:16.0,,,51-46,2,T. Harris makes 2-pt shot from 2 ft (assist by C. Williams)
5:03.0,A. Ingram misses 2-pt shot from 15 ft,,51-46,,
5:00.0,,,51-46,,Defensive rebound by D. Jordan
4:49.0,,,51-46,,T. Wallace misses 3-pt shot from 23 ft
4:43.0,Defensive rebound by T. Bryant,,51-46,,
4:36.0,T. Bryant misses 3-pt shot from 26 ft,,51-46,,
4:32.0,,,51-46,,Defensive rebound by D. Jordan
4:18.0,,,51-48,2,S. Dekker makes 2-pt shot at rim (assist by T. Harris)
4:07.0,T. Ennis misses 3-pt shot from 25 ft,,51-48,,
4:05.0,,,51-48,,Defensive rebound by D. Jordan
4:00.0,,,51-48,,Turnover by T. Harris (bad pass; steal by J. Hart)
3:47.0,J. Hart makes 2-pt shot from 13 ft (assist by T. Bryant),2,53-48,,
3:25.0,,,53-48,,S. Dekker misses 2-pt shot from 17 ft
3:22.0,Defensive rebound by T. Ennis,,53-48,,
3:11.0,Turnover by T. Ennis (bad pass; steal by S. Dekker),,53-48,,
3:07.0,,,53-48,,Offensive charge foul by T. Harris (drawn by A. Ingram)
3:07.0,,,53-48,,Turnover by T. Harris (offensive foul)
3:07.0,,,53-48,,S. Thornwell enters the game for S. Dekker
3:07.0,A. Caruso enters the game for T. Wear,,53-48,,
2:55.0,J. Hart misses 3-pt shot from 25 ft,,53-48,,
2:52.0,,,53-48,,Defensive rebound by D. Jordan
2:41.0,,,53-48,,Offensive foul by T. Wallace (drawn by A. Ingram)
2:41.0,,,53-48,,Turnover by T. Wallace (offensive foul)
2:41.0,LA Lakers full timeout,,53-48,,
2:41.0,,,53-48,,A. Rivers enters the game for C. Williams
2:41.0,G. Payton enters the game for T. Ennis,,53-48,,
2:26.0,T. Bryant makes 2-pt shot at rim (assist by A. Caruso),2,55-48,,
2:11.0,Shooting block foul by T. Bryant (drawn by D. Jordan),,55-48,,
2:11.0,,,55-48,,D. Jordan misses free throw 1 of 2
2:11.0,,,55-48,,Offensive rebound by Team
2:11.0,,,55-48,,D. Jordan misses free throw 2 of 2
2:09.0,Defensive rebound by T. Bryant,,55-48,,
1:52.0,G. Payton makes 2-pt shot from 1 ft (assist by J. Hart),2,57-48,,
1:36.0,,,57-48,,A. Rivers misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by A. Ingram,,57-48,,
1:24.0,,,57-48,,Personal foul by A. Rivers (drawn by A. Caruso)
1:24.0,,,57-48,,W. Johnson enters the game for T. Wallace
1:18.0,G. Payton misses 2-pt shot from 17 ft,,57-48,,
1:16.0,,,57-48,,Defensive rebound by T. Harris
1:04.0,,,57-51,3,W. Johnson makes 3-pt shot from 24 ft (assist by T. Harris)
0:57.0,T. Bryant makes 2-pt shot from 2 ft (assist by A. Caruso),2,59-51,,
0:37.0,,,59-51,,A. Rivers misses 2-pt shot from 2 ft
0:35.0,,,59-51,,Offensive rebound by D. Jordan
0:35.0,,,59-53,2,D. Jordan makes 2-pt shot at rim
0:31.0,J. Hart makes 3-pt shot from 24 ft (assist by G. Payton),3,62-53,,
0:25.0,Personal foul by A. Caruso (drawn by W. Johnson),,62-53,,
0:16.0,,,62-53,,S. Thornwell misses 2-pt shot from 6 ft (block by T. Bryant)
0:12.0,Defensive rebound by G. Payton,,62-53,,
0:11.0,Shooting foul by W. Johnson (drawn by A. Caruso),,62-53,,
0:11.0,A. Caruso makes free throw 1 of 2,1,63-53,,
0:11.0,A. Caruso makes free throw 2 of 2,1,64-53,,
0:02.0,,,64-53,,W. Johnson misses 3-pt shot from 25 ft
0:00.0,,,64-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,A. Ingram misses 2-pt shot from 15 ft,,64-53,,
11:42.0,,,64-53,,Defensive rebound by D. Jordan
11:23.0,,,64-55,2,D. Jordan makes 2-pt shot at rim (assist by W. Johnson)
11:06.0,Turnover by J. Randle (lost ball; steal by T. Harris),,64-55,,
11:00.0,,,64-55,,Shooting foul by A. Ingram (drawn by W. Johnson)
11:00.0,,,64-56,1,W. Johnson makes free throw 1 of 2
11:00.0,,,64-56,,W. Johnson misses free throw 2 of 2
10:57.0,Defensive rebound by J. Randle,,64-56,,
10:43.0,B. Lopez misses 2-pt shot from 9 ft,,64-56,,
10:39.0,Offensive rebound by A. Caruso,,64-56,,
10:37.0,Turnover by A. Caruso (bad pass),,64-56,,
10:36.0,Loose ball foul by J. Randle (drawn by A. Rivers),,64-56,,
10:27.0,,,64-56,,Turnover by S. Thornwell (lost ball; steal by A. Ingram)
10:20.0,Turnover by J. Randle (bad pass),,64-56,,
10:06.0,,,64-56,,A. Rivers misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by J. Hart,,64-56,,
9:58.0,J. Hart misses 3-pt shot from 24 ft,,64-56,,
9:56.0,,,64-56,,Defensive rebound by D. Jordan
9:46.0,,,64-58,2,T. Harris makes 2-pt shot from 7 ft
9:38.0,A. Caruso misses 3-pt shot from 25 ft,,64-58,,
9:35.0,,,64-58,,Defensive rebound by T. Harris
9:22.0,,,64-58,,Turnover by S. Thornwell (step out of bounds)
9:08.0,B. Lopez makes 3-pt shot from 27 ft (assist by J. Hart),3,67-58,,
8:53.0,,,67-58,,A. Rivers misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by A. Caruso,,67-58,,
8:42.0,Turnover by A. Caruso (lost ball; steal by A. Rivers),,67-58,,
8:34.0,Personal foul by B. Lopez (drawn by T. Harris),,67-58,,
8:20.0,,,67-60,2,D. Jordan makes 2-pt shot from 2 ft (assist by W. Johnson)
8:20.0,,,67-60,,Shooting foul by J. Randle (drawn by D. Jordan)
8:20.0,,,67-60,,D. Jordan misses free throw 1 of 1
8:20.0,Defensive rebound by J. Randle,,67-60,,
8:03.0,Turnover by J. Randle (bad pass; steal by W. Johnson),,67-60,,
8:00.0,,,67-60,,Turnover by S. Thornwell (out of bounds lost ball)
7:43.0,Shooting foul by W. Johnson (drawn by J. Hart),,67-60,,
7:43.0,J. Hart makes free throw 1 of 2,1,68-60,,
7:43.0,J. Hart makes free throw 2 of 2,1,69-60,,
7:32.0,,,69-62,2,T. Harris makes 2-pt shot from 12 ft (assist by A. Rivers)
7:22.0,A. Ingram misses 3-pt shot from 25 ft,,69-62,,
7:18.0,Offensive rebound by A. Caruso,,69-62,,
7:14.0,A. Ingram misses 2-pt shot from 14 ft,,69-62,,
7:11.0,Offensive rebound by A. Ingram,,69-62,,
7:01.0,J. Hart makes 3-pt shot from 25 ft (assist by J. Randle),3,72-62,,
6:37.0,Personal foul by J. Randle (drawn by D. Jordan),,72-62,,
6:37.0,,,72-62,,LA Clippers full timeout
6:37.0,,,72-62,,T. Wallace enters the game for A. Rivers
6:37.0,,,72-62,,C. Williams enters the game for W. Johnson
6:37.0,G. Payton enters the game for B. Lopez,,72-62,,
6:37.0,I. Zubac enters the game for J. Randle,,72-62,,
6:37.0,,,72-62,,D. Jordan misses free throw 1 of 2
6:37.0,,,72-62,,Offensive rebound by Team
6:37.0,,,72-62,,D. Jordan misses free throw 2 of 2
6:35.0,Defensive rebound by G. Payton,,72-62,,
6:17.0,A. Caruso makes 3-pt shot from 24 ft,3,75-62,,
5:53.0,,,75-65,3,S. Thornwell makes 3-pt shot from 22 ft (assist by T. Harris)
5:41.0,Shooting foul by T. Wallace (drawn by I. Zubac),,75-65,,
5:41.0,I. Zubac makes free throw 1 of 2,1,76-65,,
5:41.0,I. Zubac makes free throw 2 of 2,1,77-65,,
5:31.0,,,77-65,,T. Harris misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by G. Payton,,77-65,,
5:21.0,J. Hart makes 3-pt shot from 24 ft (assist by A. Ingram),3,80-65,,
5:04.0,,,80-65,,S. Thornwell misses 2-pt shot from 16 ft
5:02.0,Defensive rebound by I. Zubac,,80-65,,
4:53.0,A. Caruso misses 2-pt shot from 10 ft,,80-65,,
4:51.0,Offensive rebound by A. Caruso,,80-65,,
4:45.0,Turnover by G. Payton (out of bounds lost ball),,80-65,,
4:45.0,T. Ennis enters the game for A. Ingram,,80-65,,
4:35.0,,,80-67,2,T. Harris makes 2-pt shot from 1 ft (assist by C. Williams)
4:20.0,Turnover by T. Ennis (bad pass; steal by S. Thornwell),,80-67,,
4:17.0,,,80-67,,Turnover by D. Jordan (bad pass; steal by T. Ennis)
4:12.0,J. Hart makes 3-pt shot from 25 ft (assist by T. Ennis),3,83-67,,
4:02.0,,,83-67,,Turnover by T. Harris (bad pass)
4:02.0,,,83-67,,M. Harrell enters the game for D. Jordan
3:41.0,J. Hart makes 3-pt shot from 29 ft,3,86-67,,
3:19.0,,,86-70,3,T. Harris makes 3-pt shot from 25 ft
3:06.0,T. Ennis makes 2-pt shot from 16 ft (assist by I. Zubac),2,88-70,,
2:51.0,,,88-70,,T. Harris misses 2-pt shot from 15 ft
2:49.0,Defensive rebound by G. Payton,,88-70,,
2:45.0,G. Payton makes 2-pt shot from 15 ft,2,90-70,,
2:44.0,,,90-70,,LA Clippers full timeout
2:44.0,,,90-70,,S. Dekker enters the game for T. Harris
2:44.0,A. Ingram enters the game for A. Caruso,,90-70,,
2:30.0,,,90-70,,M. Harrell misses 2-pt shot from 2 ft
2:28.0,Defensive rebound by J. Hart,,90-70,,
2:26.0,Turnover by A. Ingram (bad pass),,90-70,,
2:15.0,,,90-70,,S. Thornwell misses 2-pt shot from 4 ft (block by I. Zubac)
2:15.0,,,90-70,,Offensive rebound by Team
2:08.0,,,90-70,,T. Wallace misses 2-pt shot from 4 ft (block by I. Zubac)
2:05.0,Defensive rebound by I. Zubac,,90-70,,
1:56.0,J. Hart misses 2-pt shot from 15 ft,,90-70,,
1:53.0,,,90-70,,Defensive rebound by M. Harrell
1:43.0,,,90-70,,M. Harrell misses 2-pt shot from 10 ft
1:41.0,Defensive rebound by G. Payton,,90-70,,
1:27.0,G. Payton makes 2-pt shot from 16 ft,2,92-70,,
1:02.0,,,92-72,2,M. Harrell makes 2-pt shot from 1 ft (assist by T. Wallace)
0:42.0,Offensive charge foul by J. Hart (drawn by S. Thornwell),,92-72,,
0:42.0,Turnover by J. Hart (offensive foul),,92-72,,
0:42.0,,,92-72,,B. Marjanovic enters the game for S. Thornwell
0:42.0,T. Wear enters the game for J. Hart,,92-72,,
0:42.0,T. Bryant enters the game for I. Zubac,,92-72,,
0:27.0,,,92-74,2,B. Marjanovic makes 2-pt shot at rim
0:09.0,T. Bryant misses 3-pt shot from 25 ft,,92-74,,
0:06.0,,,92-74,,Defensive rebound by S. Dekker
0:02.0,,,92-74,,C. Williams misses 2-pt shot from 2 ft
0:02.0,,,92-74,,Offensive rebound by B. Marjanovic
0:01.0,,,92-74,,B. Marjanovic misses 2-pt shot at rim
0:00.0,,,92-74,,Offensive rebound by B. Marjanovic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,92-74,,Turnover by B. Marjanovic (lost ball; steal by G. Payton)
11:43.0,Turnover by G. Payton (bad pass),,92-74,,
11:18.0,,,92-74,,Turnover by B. Marjanovic (lost ball; steal by A. Ingram)
11:14.0,Turnover by A. Ingram (bad pass; steal by M. Harrell),,92-74,,
11:09.0,,,92-74,,Offensive charge foul by T. Wallace (drawn by A. Ingram)
11:09.0,,,92-74,,Turnover by T. Wallace (offensive foul)
10:54.0,T. Bryant makes 2-pt shot from 19 ft (assist by T. Ennis),2,94-74,,
10:33.0,,,94-76,2,M. Harrell makes 2-pt shot from 6 ft (assist by C. Williams)
10:33.0,,,94-76,,Shooting foul by T. Wear (drawn by M. Harrell)
10:33.0,,,94-76,,M. Harrell misses free throw 1 of 1
10:33.0,Defensive rebound by Team,,94-76,,
10:13.0,T. Ennis makes 2-pt shot from 9 ft (assist by A. Ingram),2,96-76,,
9:52.0,,,96-78,2,M. Harrell makes 2-pt shot from 1 ft (assist by C. Williams)
9:41.0,G. Payton misses 3-pt shot from 24 ft,,96-78,,
9:39.0,,,96-78,,Defensive rebound by Team
9:30.0,,,96-78,,C. Williams misses 2-pt shot from 22 ft
9:28.0,Defensive rebound by G. Payton,,96-78,,
9:10.0,T. Wear makes 2-pt shot from 14 ft,2,98-78,,
8:55.0,,,98-78,,M. Harrell misses 2-pt shot from 3 ft
8:53.0,,,98-78,,Offensive rebound by B. Marjanovic
8:53.0,,,98-80,2,B. Marjanovic makes 2-pt shot at rim
8:53.0,,,98-80,,Shooting foul by T. Bryant (drawn by B. Marjanovic)
8:53.0,,,98-80,,B. Marjanovic misses free throw 1 of 1
8:52.0,Defensive rebound by T. Wear,,98-80,,
8:39.0,G. Payton makes 3-pt shot from 22 ft (assist by T. Ennis),3,101-80,,
8:23.0,,,101-82,2,C. Williams makes 2-pt shot from 1 ft
8:11.0,,,101-82,,Personal foul by T. Wallace (drawn by T. Ennis)
8:11.0,,,101-82,,S. Thornwell enters the game for C. Williams
8:05.0,T. Bryant misses 3-pt shot from 25 ft,,101-82,,
8:02.0,,,101-82,,Defensive rebound by S. Dekker
7:56.0,,,101-82,,Turnover by T. Wallace (bad pass; steal by T. Bryant)
7:48.0,G. Payton makes 3-pt shot from 25 ft (assist by A. Ingram),3,104-82,,
7:21.0,,,104-84,2,S. Dekker makes 2-pt shot from 1 ft (assist by T. Wallace)
6:56.0,G. Payton misses 2-pt shot from 2 ft,,104-84,,
6:54.0,,,104-84,,Defensive rebound by B. Marjanovic
6:51.0,,,104-84,,Shooting foul by T. Wear (drawn by M. Harrell)
6:51.0,,,104-84,,LA Clippers full timeout
6:51.0,I. Zubac enters the game for A. Ingram,,104-84,,
6:51.0,J. Hart enters the game for T. Wear,,104-84,,
6:51.0,,,104-84,,M. Harrell misses free throw 1 of 2
6:51.0,,,104-84,,Offensive rebound by Team
6:51.0,,,104-84,,M. Harrell misses free throw 2 of 2
6:47.0,Defensive rebound by T. Bryant,,104-84,,
6:30.0,T. Bryant misses 3-pt shot from 23 ft,,104-84,,
6:26.0,,,104-84,,Defensive rebound by B. Marjanovic
6:17.0,,,104-86,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by T. Wallace)
6:04.0,T. Ennis misses 2-pt shot from 16 ft,,104-86,,
6:03.0,,,104-86,,Defensive rebound by S. Dekker
6:02.0,Personal take foul by T. Ennis (drawn by S. Dekker),,104-86,,
5:52.0,,,104-86,,B. Marjanovic misses 2-pt shot from 10 ft
5:49.0,Defensive rebound by T. Bryant,,104-86,,
5:42.0,J. Hart misses 2-pt shot from 20 ft,,104-86,,
5:38.0,,,104-86,,Defensive rebound by S. Thornwell
5:37.0,,,104-86,,Turnover by S. Thornwell (bad pass)
5:26.0,G. Payton misses 3-pt shot from 23 ft,,104-86,,
5:23.0,,,104-86,,Defensive rebound by B. Marjanovic
5:16.0,,,104-86,,M. Harrell misses 2-pt shot from 4 ft (block by T. Bryant)
5:16.0,,,104-86,,Offensive rebound by B. Marjanovic
5:16.0,,,104-86,,Shooting foul by I. Zubac (drawn by B. Marjanovic)
5:16.0,,,104-86,,B. Marjanovic misses free throw 1 of 2
5:16.0,,,104-86,,Offensive rebound by Team
5:16.0,,,104-86,,C. Williams enters the game for T. Wallace
5:16.0,A. Caruso enters the game for G. Payton,,104-86,,
5:16.0,,,104-86,,B. Marjanovic misses free throw 2 of 2
5:12.0,Defensive rebound by T. Bryant,,104-86,,
4:54.0,,,104-86,,Personal block foul by S. Thornwell (drawn by T. Ennis)
4:54.0,,,104-86,,Violation by S. Dekker (kicked ball)
4:48.0,I. Zubac misses 2-pt shot from 1 ft,,104-86,,
4:48.0,,,104-86,,Defensive rebound by Team
4:37.0,,,104-88,2,S. Dekker makes 2-pt shot from 1 ft (assist by S. Thornwell)
4:27.0,,,104-88,,Personal foul by S. Dekker
4:12.0,A. Caruso misses 2-pt shot from 18 ft,,104-88,,
4:08.0,,,104-88,,Defensive rebound by S. Dekker
4:05.0,,,104-90,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker)
3:48.0,T. Bryant misses 3-pt shot from 22 ft,,104-90,,
3:45.0,Offensive rebound by T. Bryant,,104-90,,
3:42.0,I. Zubac misses 3-pt shot from 25 ft,,104-90,,
3:40.0,,,104-90,,Defensive rebound by B. Marjanovic
3:33.0,Personal foul by I. Zubac (drawn by B. Marjanovic),,104-90,,
3:33.0,,,104-91,1,B. Marjanovic makes free throw 1 of 2
3:33.0,LA Lakers full timeout,,104-91,,
3:33.0,G. Payton enters the game for T. Ennis,,104-91,,
