time,LA Clippers,pts.away,score,pts.home,Miami
4:27.0,,,33-39,,B. Adebayo enters the game for T. Johnson
4:27.0,,,33-39,,W. Ellington enters the game for K. Olynyk
4:27.0,J. Evans enters the game for S. Thornwell,,33-39,,
4:27.0,D. Jordan enters the game for W. Reed,,33-39,,
4:16.0,,,33-41,2,J. Mickey makes 2-pt shot from 17 ft
4:06.0,Turnover by M. Teodosic (bad pass),,33-41,,
3:49.0,,,33-41,,D. Waiters misses 3-pt shot from 27 ft
3:45.0,Defensive rebound by D. Jordan,,33-41,,
3:35.0,M. Harrell misses 2-pt shot from 2 ft (block by J. Mickey),,33-41,,
3:32.0,,,33-41,,Defensive rebound by J. Mickey
3:28.0,,,33-43,2,B. Adebayo makes 2-pt shot from 11 ft (assist by J. Mickey)
3:11.0,L. Williams makes 2-pt shot from 1 ft (assist by D. Jordan),2,35-43,,
3:05.0,Personal foul by J. Evans (drawn by G. Dragic),,35-43,,
3:05.0,J. Wilson enters the game for M. Harrell,,35-43,,
3:05.0,C. Williams enters the game for J. Evans,,35-43,,
2:39.0,,,35-43,,B. Adebayo misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by M. Teodosic,,35-43,,
2:30.0,L. Williams misses 2-pt shot from 13 ft,,35-43,,
2:27.0,,,35-43,,Defensive rebound by J. Mickey
2:08.0,,,35-46,3,D. Waiters makes 3-pt shot from 24 ft (assist by W. Ellington)
1:53.0,M. Teodosic misses 3-pt shot from 26 ft,,35-46,,
1:49.0,Offensive rebound by Team,,35-46,,
1:41.0,J. Wilson misses 2-pt shot from 7 ft,,35-46,,
1:36.0,,,35-46,,Defensive rebound by D. Waiters
1:33.0,,,35-46,,J. Mickey misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by J. Wilson,,35-46,,
1:12.0,M. Teodosic makes 3-pt shot from 25 ft (assist by L. Williams),3,38-46,,
1:00.0,,,38-46,,G. Dragic misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by M. Teodosic,,38-46,,
0:51.0,C. Williams misses 3-pt shot from 25 ft,,38-46,,
0:47.0,,,38-46,,Defensive rebound by W. Ellington
0:25.0,,,38-46,,G. Dragic misses 2-pt shot from 19 ft
0:23.0,Defensive rebound by J. Wilson,,38-46,,
0:05.0,L. Williams misses 3-pt shot from 25 ft,,38-46,,
0:04.0,Offensive rebound by D. Jordan,,38-46,,
0:02.0,D. Jordan misses 2-pt shot from 1 ft,,38-46,,
0:02.0,Offensive rebound by D. Jordan,,38-46,,
0:01.0,D. Jordan makes 2-pt shot from 1 ft,2,40-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,40-46,,K. Olynyk misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by D. Jordan,,40-46,,
11:31.0,W. Johnson makes 2-pt shot from 1 ft (assist by M. Teodosic),2,42-46,,
11:06.0,,,42-49,3,D. Waiters makes 3-pt shot from 26 ft (assist by K. Olynyk)
10:46.0,J. Wilson makes 3-pt shot from 23 ft (assist by M. Teodosic),3,45-49,,
10:32.0,,,45-52,3,J. Richardson makes 3-pt shot from 25 ft (assist by D. Waiters)
10:12.0,Turnover by L. Williams (bad pass; steal by K. Olynyk),,45-52,,
9:56.0,,,45-54,2,J. Richardson makes 2-pt shot from 1 ft
9:38.0,M. Teodosic misses 3-pt shot from 24 ft,,45-54,,
9:36.0,,,45-54,,Defensive rebound by D. Waiters
9:27.0,Personal foul by M. Teodosic (drawn by K. Olynyk),,45-54,,
9:18.0,,,45-56,2,D. Waiters makes 2-pt shot from 19 ft (assist by K. Olynyk)
8:58.0,L. Williams makes 2-pt shot from 1 ft,2,47-56,,
8:58.0,Technical foul by L. Williams,,47-56,,
8:58.0,,,47-56,,K. Olynyk misses technical free throw
8:58.0,,,47-56,,Offensive rebound by Team
8:54.0,Personal foul by M. Teodosic (drawn by G. Dragic),,47-56,,
8:42.0,,,47-56,,G. Dragic misses 2-pt shot from 10 ft
8:38.0,Defensive rebound by W. Johnson,,47-56,,
8:34.0,M. Teodosic misses 3-pt shot from 25 ft,,47-56,,
8:31.0,,,47-56,,Defensive rebound by D. Waiters
8:26.0,,,47-56,,D. Waiters misses 2-pt shot from 1 ft (block by W. Johnson)
8:26.0,Defensive rebound by M. Teodosic,,47-56,,
8:19.0,L. Williams misses 3-pt shot from 23 ft,,47-56,,
8:16.0,Offensive rebound by D. Jordan,,47-56,,
8:16.0,D. Jordan makes 2-pt shot at rim,2,49-56,,
7:52.0,,,49-56,,D. Waiters misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by L. Williams,,49-56,,
7:42.0,W. Johnson misses 2-pt shot from 14 ft,,49-56,,
7:41.0,Offensive rebound by D. Jordan,,49-56,,
7:41.0,J. Evans enters the game for W. Johnson,,49-56,,
7:33.0,J. Wilson makes 3-pt shot from 22 ft (assist by L. Williams),3,52-56,,
7:14.0,,,52-56,,B. Adebayo misses 2-pt shot from 18 ft
7:11.0,Defensive rebound by J. Evans,,52-56,,
7:06.0,L. Williams makes 2-pt shot at rim (assist by J. Evans),2,54-56,,
7:00.0,,,54-56,,Miami full timeout
7:00.0,,,54-56,,J. Mickey enters the game for K. Olynyk
6:41.0,Personal foul by D. Jordan (drawn by J. Mickey),,54-56,,
6:32.0,,,54-58,2,J. Richardson makes 2-pt shot from 22 ft (assist by B. Adebayo)
6:14.0,Offensive charge foul by L. Williams (drawn by J. Richardson),,54-58,,
6:14.0,Turnover by L. Williams (offensive foul),,54-58,,
6:14.0,,,54-58,,T. Johnson enters the game for J. Richardson
6:01.0,,,54-58,,T. Johnson misses 2-pt shot from 17 ft
5:57.0,,,54-58,,Offensive rebound by T. Johnson
5:52.0,,,54-58,,Shooting foul by D. Jordan (drawn by B. Adebayo)
5:52.0,,,54-59,1,B. Adebayo makes free throw 1 of 2
5:52.0,,,54-60,1,B. Adebayo makes free throw 2 of 2
5:52.0,C. Williams enters the game for M. Teodosic,,54-60,,
5:40.0,J. Wilson misses 3-pt shot from 22 ft,,54-60,,
5:37.0,,,54-60,,Defensive rebound by T. Johnson
5:26.0,,,54-60,,Turnover by G. Dragic (bad pass; steal by D. Jordan)
5:22.0,Turnover by L. Williams (lost ball; steal by G. Dragic),,54-60,,
5:11.0,,,54-60,,D. Waiters misses 2-pt shot from 19 ft
5:09.0,Defensive rebound by D. Jordan,,54-60,,
4:55.0,J. Wilson makes 3-pt shot from 25 ft (assist by L. Williams),3,57-60,,
4:33.0,,,57-60,,G. Dragic misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by J. Wilson,,57-60,,
4:21.0,Shooting foul by B. Adebayo (drawn by L. Williams),,57-60,,
4:21.0,L. Williams makes free throw 1 of 2,1,58-60,,
4:21.0,L. Williams makes free throw 2 of 2,1,59-60,,
3:55.0,,,59-62,2,J. Mickey makes 2-pt shot from 1 ft (assist by D. Waiters)
3:29.0,C. Williams makes 2-pt shot at rim,2,61-62,,
3:15.0,LA Clippers full timeout,,61-62,,
3:15.0,,,61-62,,W. Ellington enters the game for D. Waiters
3:15.0,,,61-62,,K. Olynyk enters the game for B. Adebayo
3:13.0,,,61-62,,Turnover by W. Ellington (bad pass)
3:03.0,,,61-62,,Personal foul by G. Dragic (drawn by D. Jordan)
3:00.0,,,61-62,,Personal foul by G. Dragic (drawn by J. Evans)
3:00.0,,,61-62,,J. Richardson enters the game for G. Dragic
2:53.0,Turnover by J. Evans (lost ball; steal by K. Olynyk),,61-62,,
2:45.0,,,61-62,,Shooting foul by C. Williams (drawn by J. Mickey)
2:45.0,,,61-63,1,J. Mickey makes free throw 1 of 2
2:45.0,,,61-64,1,J. Mickey makes free throw 2 of 2
2:26.0,J. Evans misses 2-pt shot from 17 ft,,61-64,,
2:25.0,Offensive rebound by Team,,61-64,,
2:24.0,,,61-64,,Loose ball foul by K. Olynyk (drawn by D. Jordan)
2:18.0,Turnover by C. Williams (traveling),,61-64,,
2:03.0,,,61-64,,T. Johnson misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by D. Jordan,,61-64,,
1:55.0,Shooting foul by T. Johnson (drawn by L. Williams),,61-64,,
1:55.0,L. Williams makes free throw 1 of 2,1,62-64,,
1:55.0,S. Dekker enters the game for J. Wilson,,62-64,,
1:55.0,L. Williams makes free throw 2 of 2,1,63-64,,
1:43.0,,,63-66,2,K. Olynyk makes 2-pt shot from 21 ft (assist by J. Richardson)
1:30.0,Shooting foul by J. Mickey (drawn by J. Evans),,63-66,,
1:30.0,J. Evans makes free throw 1 of 2,1,64-66,,
1:30.0,M. Harrell enters the game for D. Jordan,,64-66,,
1:30.0,J. Evans misses free throw 2 of 2,,64-66,,
1:27.0,,,64-66,,Defensive rebound by J. Richardson
1:14.0,,,64-66,,T. Johnson misses 2-pt shot from 1 ft
1:13.0,,,64-66,,Offensive rebound by T. Johnson
1:12.0,,,64-66,,K. Olynyk misses 2-pt shot from 5 ft
1:12.0,Defensive rebound by Team,,64-66,,
0:57.0,L. Williams misses 3-pt shot from 28 ft,,64-66,,
0:53.0,,,64-66,,Defensive rebound by W. Ellington
0:48.0,,,64-66,,Turnover by W. Ellington (bad pass; steal by C. Williams)
0:43.0,S. Dekker misses 2-pt shot from 1 ft,,64-66,,
0:43.0,Offensive rebound by Team,,64-66,,
0:43.0,,,64-66,,Loose ball foul by J. Richardson (drawn by M. Harrell)
0:43.0,M. Harrell misses free throw 1 of 2,,64-66,,
0:43.0,Offensive rebound by Team,,64-66,,
0:43.0,S. Thornwell enters the game for L. Williams,,64-66,,
0:43.0,M. Harrell makes free throw 2 of 2,1,65-66,,
0:32.0,,,65-69,3,J. Richardson makes 3-pt shot from 28 ft (assist by K. Olynyk)
0:16.0,Turnover by S. Thornwell (lost ball; steal by J. Richardson),,65-69,,
0:00.0,,,65-69,,Turnover by J. Richardson (bad pass)
0:00.0,J. Evans misses 3-pt shot from 61 ft,,65-69,,
0:00.0,Offensive rebound by Team,,65-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by J. Evans (bad pass; steal by J. Mickey),,65-69,,
11:30.0,,,65-69,,J. Richardson misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by S. Thornwell,,65-69,,
11:23.0,Turnover by S. Thornwell (lost ball; steal by J. Mickey),,65-69,,
11:19.0,,,65-69,,J. Richardson misses 2-pt shot at rim (block by M. Harrell)
11:19.0,,,65-69,,Offensive rebound by Team
11:12.0,,,65-69,,Turnover by T. Johnson (out of bounds lost ball)
10:56.0,J. Evans makes 2-pt shot from 6 ft,2,67-69,,
10:38.0,,,67-69,,W. Ellington misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by Team,,67-69,,
10:24.0,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker),2,69-69,,
10:07.0,,,69-72,3,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson)
9:44.0,C. Williams makes 3-pt shot from 25 ft (assist by J. Evans),3,72-72,,
9:17.0,,,72-72,,W. Ellington misses 3-pt shot from 23 ft
9:17.0,Defensive rebound by Team,,72-72,,
9:17.0,,,72-72,,Loose ball foul by J. Mickey (drawn by S. Dekker)
8:56.0,Turnover by S. Thornwell (bad pass; steal by K. Olynyk),,72-72,,
8:47.0,,,72-72,,K. Olynyk misses 3-pt shot from 25 ft
8:47.0,,,72-72,,Offensive rebound by K. Olynyk
8:47.0,Personal foul by S. Thornwell (drawn by K. Olynyk),,72-72,,
8:39.0,,,72-72,,T. Johnson misses 2-pt shot from 6 ft
8:37.0,,,72-72,,Offensive rebound by J. Mickey
8:35.0,,,72-72,,J. Mickey misses 2-pt shot from 2 ft (block by S. Thornwell)
8:31.0,Defensive rebound by C. Williams,,72-72,,
8:21.0,Turnover by J. Evans (bad pass; steal by T. Johnson),,72-72,,
7:59.0,,,72-75,3,J. Richardson makes 3-pt shot from 27 ft (assist by W. Ellington)
7:58.0,LA Clippers full timeout,,72-75,,
7:58.0,L. Williams enters the game for J. Evans,,72-75,,
7:58.0,M. Teodosic enters the game for S. Thornwell,,72-75,,
7:41.0,M. Teodosic makes 2-pt shot from 1 ft,2,74-75,,
7:25.0,,,74-75,,J. Richardson misses 2-pt shot from 17 ft
7:22.0,,,74-75,,Offensive rebound by K. Olynyk
7:16.0,,,74-75,,J. Richardson misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by Team,,74-75,,
6:53.0,S. Dekker misses 2-pt shot from 3 ft,,74-75,,
6:52.0,Offensive rebound by M. Harrell,,74-75,,
6:52.0,M. Harrell misses 2-pt shot from 2 ft,,74-75,,
6:51.0,,,74-75,,Defensive rebound by J. Mickey
6:37.0,,,74-75,,Turnover by K. Olynyk (bad pass)
6:37.0,J. Wilson enters the game for M. Harrell,,74-75,,
6:37.0,D. Jordan enters the game for S. Dekker,,74-75,,
6:24.0,M. Teodosic misses 3-pt shot from 26 ft,,74-75,,
6:24.0,Offensive rebound by Team,,74-75,,
6:24.0,,,74-75,,D. Waiters enters the game for T. Johnson
6:11.0,M. Teodosic makes 3-pt shot from 27 ft (assist by D. Jordan),3,77-75,,
6:09.0,,,77-75,,Miami full timeout
5:46.0,,,77-77,2,K. Olynyk makes 2-pt shot from 10 ft
5:34.0,L. Williams misses 2-pt shot from 21 ft (block by J. Richardson),,77-77,,
5:28.0,Offensive rebound by M. Teodosic,,77-77,,
5:28.0,M. Teodosic misses 3-pt shot from 25 ft,,77-77,,
5:25.0,,,77-77,,Defensive rebound by J. Richardson
5:15.0,,,77-77,,J. Mickey misses 2-pt shot from 21 ft
5:12.0,Defensive rebound by M. Teodosic,,77-77,,
5:07.0,C. Williams misses 2-pt shot from 1 ft (block by J. Mickey),,77-77,,
5:07.0,Offensive rebound by D. Jordan,,77-77,,
5:07.0,Shooting foul by J. Richardson (drawn by D. Jordan),,77-77,,
5:07.0,D. Jordan misses free throw 1 of 2,,77-77,,
5:07.0,Offensive rebound by Team,,77-77,,
5:07.0,,,77-77,,B. Adebayo enters the game for W. Ellington
5:07.0,,,77-77,,G. Dragic enters the game for J. Mickey
5:07.0,D. Jordan misses free throw 2 of 2,,77-77,,
5:04.0,,,77-77,,Defensive rebound by J. Richardson
4:54.0,,,77-77,,Shooting foul by J. Wilson (drawn by K. Olynyk)
4:54.0,,,77-78,1,K. Olynyk makes free throw 1 of 2
4:54.0,,,77-79,1,K. Olynyk makes free throw 2 of 2
4:37.0,J. Wilson misses 2-pt shot from 13 ft,,77-79,,
4:36.0,Offensive rebound by D. Jordan,,77-79,,
4:36.0,D. Jordan misses 2-pt shot from 1 ft,,77-79,,
4:35.0,,,77-79,,Defensive rebound by D. Waiters
4:18.0,,,77-79,,D. Waiters misses 2-pt shot from 20 ft
4:18.0,Defensive rebound by Team,,77-79,,
4:18.0,,,77-79,,Personal foul by B. Adebayo (drawn by D. Jordan)
4:02.0,M. Teodosic makes 2-pt shot from 18 ft,2,79-79,,
3:37.0,,,79-82,3,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic)
3:13.0,M. Teodosic misses 3-pt shot from 25 ft,,79-82,,
3:13.0,Offensive rebound by Team,,79-82,,
3:13.0,,,79-82,,Loose ball foul by B. Adebayo (drawn by D. Jordan)
3:13.0,,,79-82,,Miami full timeout
3:10.0,,,79-82,,Personal foul by G. Dragic (drawn by M. Teodosic)
3:10.0,M. Teodosic misses free throw 1 of 2,,79-82,,
3:10.0,Offensive rebound by Team,,79-82,,
3:10.0,M. Teodosic makes free throw 2 of 2,1,80-82,,
2:51.0,,,80-84,2,K. Olynyk makes 2-pt shot from 17 ft
2:41.0,M. Teodosic makes 2-pt shot from 15 ft,2,82-84,,
2:16.0,,,82-84,,D. Waiters misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by D. Jordan,,82-84,,
2:14.0,LA Clippers full timeout,,82-84,,
2:14.0,J. Evans enters the game for C. Williams,,82-84,,
1:56.0,M. Teodosic misses 3-pt shot from 25 ft,,82-84,,
1:53.0,Offensive rebound by M. Teodosic,,82-84,,
1:50.0,L. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic),3,85-84,,
1:35.0,,,85-84,,J. Richardson misses 3-pt shot from 25 ft
1:33.0,,,85-84,,Offensive rebound by B. Adebayo
