time,Atlanta,pts.away,score,pts.home,Toronto
8:40.0,D. Schroder misses 2-pt shot from 12 ft,,7-7,,
8:37.0,Offensive rebound by M. Plumlee,,7-7,,
8:35.0,T. Waller-Prince misses 3-pt shot from 24 ft,,7-7,,
8:35.0,,,7-7,,Defensive rebound by O. Anunoby
8:20.0,,,7-9,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
8:08.0,M. Plumlee misses 2-pt shot from 1 ft,,7-9,,
8:05.0,Offensive rebound by M. Plumlee,,7-9,,
8:05.0,M. Plumlee makes 2-pt shot at rim,2,9-9,,
7:53.0,,,9-9,,O. Anunoby misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by K. Bazemore,,9-9,,
7:37.0,K. Bazemore misses 3-pt shot from 25 ft,,9-9,,
7:34.0,,,9-9,,Defensive rebound by J. Valanciunas
7:24.0,,,9-9,,Turnover by K. Lowry (bad pass; steal by K. Bazemore)
7:20.0,T. Waller-Prince makes 2-pt shot at rim (assist by K. Bazemore),2,11-9,,
7:02.0,,,11-9,,C. Miles misses 3-pt shot from 25 ft (block by T. Waller-Prince)
7:00.0,,,11-9,,Offensive rebound by J. Valanciunas
6:56.0,,,11-9,,J. Valanciunas misses 2-pt shot from 5 ft
6:52.0,,,11-9,,Offensive rebound by J. Valanciunas
6:52.0,,,11-9,,J. Valanciunas misses 2-pt shot at rim
6:49.0,,,11-9,,Offensive rebound by J. Valanciunas
6:48.0,,,11-11,2,J. Valanciunas makes 2-pt shot from 1 ft
6:39.0,K. Bazemore misses 2-pt shot from 14 ft (block by D. DeRozan),,11-11,,
6:39.0,Offensive rebound by Team,,11-11,,
6:39.0,,,11-11,,Toronto full timeout
6:34.0,K. Bazemore misses 3-pt shot from 22 ft,,11-11,,
6:30.0,Offensive rebound by E. Ilyasova,,11-11,,
6:28.0,Turnover by E. Ilyasova (lost ball; steal by C. Miles),,11-11,,
6:25.0,,,11-11,,Offensive charge foul by O. Anunoby (drawn by D. Schroder)
6:25.0,,,11-11,,Turnover by O. Anunoby (offensive foul)
6:14.0,Turnover by K. Bazemore (out of bounds lost ball),,11-11,,
5:56.0,J. Collins enters the game for M. Plumlee,,11-11,,
5:50.0,,,11-11,,D. DeRozan misses 2-pt shot from 19 ft
5:50.0,,,11-11,,Offensive rebound by Team
5:50.0,,,11-11,,Turnover by Team (shot clock)
5:42.0,,,11-11,,Personal foul by O. Anunoby (drawn by J. Collins)
5:34.0,J. Collins makes 2-pt shot from 2 ft (assist by K. Bazemore),2,13-11,,
5:22.0,,,13-14,3,J. Valanciunas makes 3-pt shot from 25 ft (assist by K. Lowry)
5:07.0,D. Schroder makes 2-pt shot from 9 ft,2,15-14,,
4:51.0,,,15-14,,D. DeRozan misses 2-pt shot from 1 ft (block by J. Collins)
4:48.0,Defensive rebound by J. Collins,,15-14,,
4:36.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore),2,17-14,,
4:23.0,,,17-14,,K. Lowry misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Collins,,17-14,,
4:16.0,Atlanta full timeout,,17-14,,
4:16.0,,,17-14,,P. Siakam enters the game for C. Miles
4:16.0,,,17-14,,D. Wright enters the game for O. Anunoby
4:16.0,M. Belinelli enters the game for T. Waller-Prince,,17-14,,
4:16.0,M. Delaney enters the game for K. Bazemore,,17-14,,
4:00.0,Shooting foul by P. Siakam (drawn by D. Schroder),,17-14,,
4:00.0,D. Schroder makes free throw 1 of 2,1,18-14,,
4:00.0,T. Cavanaugh enters the game for E. Ilyasova,,18-14,,
4:00.0,D. Schroder makes free throw 2 of 2,1,19-14,,
3:43.0,,,19-14,,D. Wright misses 2-pt shot from 3 ft (block by J. Collins)
3:43.0,,,19-14,,Offensive rebound by J. Valanciunas
3:43.0,,,19-14,,Shooting foul by T. Cavanaugh (drawn by J. Valanciunas)
3:43.0,,,19-15,1,J. Valanciunas makes free throw 1 of 2
3:43.0,,,19-16,1,J. Valanciunas makes free throw 2 of 2
3:29.0,J. Collins misses 2-pt shot from 3 ft (block by J. Valanciunas),,19-16,,
3:25.0,Offensive rebound by J. Collins,,19-16,,
3:24.0,J. Collins misses 2-pt shot from 1 ft (block by J. Valanciunas),,19-16,,
3:24.0,,,19-16,,Defensive rebound by J. Valanciunas
3:10.0,,,19-19,3,K. Lowry makes 3-pt shot from 23 ft (assist by D. DeRozan)
2:42.0,T. Cavanaugh misses 2-pt shot from 7 ft,,19-19,,
2:40.0,,,19-19,,Defensive rebound by D. Wright
2:27.0,,,19-21,2,K. Lowry makes 2-pt shot from 20 ft
2:13.0,Shooting foul by J. Valanciunas (drawn by J. Collins),,19-21,,
2:13.0,J. Collins misses free throw 1 of 2,,19-21,,
2:13.0,Offensive rebound by Team,,19-21,,
2:13.0,,,19-21,,J. Poeltl enters the game for K. Lowry
2:13.0,,,19-21,,F. VanVleet enters the game for J. Valanciunas
2:13.0,I. Taylor enters the game for D. Schroder,,19-21,,
2:13.0,J. Collins makes free throw 2 of 2,1,20-21,,
2:05.0,,,20-23,2,D. DeRozan makes 2-pt shot from 5 ft
1:55.0,M. Delaney misses 2-pt shot from 3 ft,,20-23,,
1:55.0,,,20-23,,Defensive rebound by J. Poeltl
1:36.0,,,20-25,2,D. Wright makes 2-pt shot from 10 ft (assist by F. VanVleet)
1:11.0,M. Belinelli makes 2-pt shot at rim,2,22-25,,
0:56.0,,,22-27,2,D. DeRozan makes 2-pt shot from 9 ft
0:43.0,Offensive foul by M. Belinelli (drawn by F. VanVleet),,22-27,,
0:43.0,Turnover by M. Belinelli (offensive foul),,22-27,,
0:43.0,,,22-27,,N. Powell enters the game for D. DeRozan
0:37.0,,,22-27,,N. Powell misses 3-pt shot from 22 ft
0:34.0,Defensive rebound by M. Delaney,,22-27,,
0:31.0,M. Delaney misses 3-pt shot from 26 ft,,22-27,,
0:31.0,,,22-27,,Defensive rebound by D. Wright
0:11.0,,,22-30,3,F. VanVleet makes 3-pt shot from 26 ft
0:00.0,J. Collins misses 2-pt shot from 2 ft (block by P. Siakam),,22-30,,
0:00.0,Offensive rebound by Team,,22-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,22-33,3,N. Powell makes 3-pt shot from 23 ft (assist by F. VanVleet)
11:18.0,T. Cavanaugh misses 3-pt shot from 25 ft (block by P. Siakam),,22-33,,
11:14.0,,,22-33,,Defensive rebound by J. Poeltl
11:06.0,,,22-33,,Offensive charge foul by F. VanVleet (drawn by M. Delaney)
11:06.0,,,22-33,,Turnover by F. VanVleet (offensive foul)
10:52.0,,,22-33,,Personal foul by P. Siakam (drawn by J. Collins)
10:43.0,M. Belinelli makes 3-pt shot from 25 ft,3,25-33,,
10:15.0,,,25-33,,F. VanVleet misses 2-pt shot from 15 ft
10:12.0,,,25-33,,Offensive rebound by Team
10:05.0,,,25-33,,Turnover by J. Poeltl (lost ball; steal by M. Delaney)
10:04.0,,,25-33,,Personal foul by D. Wright (drawn by M. Delaney)
9:54.0,M. Belinelli misses 2-pt shot from 2 ft (block by N. Powell),,25-33,,
9:54.0,Offensive rebound by Team,,25-33,,
9:44.0,M. Belinelli misses 3-pt shot from 26 ft,,25-33,,
9:42.0,,,25-33,,Defensive rebound by D. Wright
9:34.0,,,25-33,,D. Wright misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by T. Cavanaugh,,25-33,,
9:28.0,I. Taylor misses 2-pt shot from 3 ft,,25-33,,
9:28.0,Offensive rebound by Team,,25-33,,
9:26.0,T. Waller-Prince enters the game for M. Delaney,,25-33,,
9:20.0,J. Collins makes 2-pt shot at rim (assist by I. Taylor),2,27-33,,
9:11.0,,,27-33,,F. VanVleet misses 2-pt shot from 1 ft (block by J. Collins)
9:07.0,,,27-33,,Offensive rebound by J. Poeltl
9:07.0,,,27-35,2,J. Poeltl makes 2-pt shot at rim
8:47.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,29-35,,
8:47.0,Shooting foul by N. Powell (drawn by T. Waller-Prince),,29-35,,
8:47.0,M. Plumlee enters the game for J. Collins,,29-35,,
8:47.0,E. Ilyasova enters the game for T. Cavanaugh,,29-35,,
8:47.0,T. Waller-Prince makes free throw 1 of 1,1,30-35,,
8:33.0,,,30-38,3,P. Siakam makes 3-pt shot from 26 ft (assist by D. Wright)
8:16.0,Turnover by E. Ilyasova (bad pass; steal by N. Powell),,30-38,,
8:13.0,,,30-38,,N. Powell misses 2-pt shot from 2 ft (block by T. Waller-Prince)
8:13.0,Defensive rebound by Team,,30-38,,
7:54.0,M. Belinelli makes 2-pt shot from 1 ft (assist by I. Taylor),2,32-38,,
7:50.0,,,32-40,2,P. Siakam makes 2-pt shot from 1 ft (assist by N. Powell)
7:50.0,Atlanta full timeout,,32-40,,
7:50.0,K. Bazemore enters the game for M. Belinelli,,32-40,,
7:50.0,D. Schroder enters the game for I. Taylor,,32-40,,
7:32.0,E. Ilyasova misses 3-pt shot from 25 ft,,32-40,,
7:29.0,,,32-40,,Defensive rebound by F. VanVleet
7:21.0,,,32-42,2,F. VanVleet makes 2-pt shot from 2 ft
7:04.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by J. Poeltl),,32-42,,
7:04.0,Offensive rebound by Team,,32-42,,
6:59.0,Jump ball: J. Poeltl vs. M. Plumlee (T. Waller-Prince gains possession),,,,Jump ball: J. Poeltl vs. M. Plumlee (T. Waller-Prince gains possession)
6:42.0,D. Schroder misses 2-pt shot from 3 ft (block by J. Poeltl),,32-42,,
6:40.0,,,32-42,,Defensive rebound by P. Siakam
6:37.0,,,32-42,,N. Powell misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by M. Plumlee,,32-42,,
6:25.0,D. Schroder misses 2-pt shot from 1 ft,,32-42,,
6:25.0,Offensive rebound by E. Ilyasova,,32-42,,
6:21.0,E. Ilyasova makes 2-pt shot at rim,2,34-42,,
6:02.0,,,34-44,2,D. Wright makes 2-pt shot from 6 ft
5:49.0,Turnover by D. Schroder (bad pass; steal by D. Wright),,34-44,,
5:47.0,,,34-46,2,D. Wright makes 2-pt shot at rim
5:31.0,Turnover by M. Plumlee (bad pass; steal by D. Wright),,34-46,,
5:27.0,,,34-46,,F. VanVleet misses 2-pt shot from 1 ft
5:23.0,,,34-46,,Offensive rebound by D. Wright
5:23.0,,,34-46,,N. Powell misses 3-pt shot from 25 ft
5:23.0,,,34-46,,Offensive rebound by Team
5:23.0,Loose ball foul by T. Waller-Prince (drawn by P. Siakam),,34-46,,
5:23.0,,,34-46,,J. Valanciunas enters the game for F. VanVleet
5:23.0,,,34-46,,K. Lowry enters the game for N. Powell
5:23.0,,,34-46,,C. Miles enters the game for J. Poeltl
5:23.0,,,34-46,,D. DeRozan enters the game for P. Siakam
5:10.0,,,34-46,,C. Miles misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by M. Plumlee,,34-46,,
4:59.0,K. Bazemore misses 2-pt shot from 9 ft,,34-46,,
4:56.0,Offensive rebound by K. Bazemore,,34-46,,
4:56.0,Turnover by K. Bazemore (bad pass; steal by C. Miles),,34-46,,
4:56.0,Personal foul by K. Bazemore (drawn by C. Miles),,34-46,,
4:44.0,,,34-46,,J. Valanciunas misses 2-pt shot from 4 ft
4:44.0,,,34-46,,Offensive rebound by Team
4:44.0,Personal foul by K. Bazemore (drawn by D. Wright),,34-46,,
4:42.0,,,34-46,,Offensive foul by J. Valanciunas (drawn by E. Ilyasova)
4:42.0,,,34-46,,Turnover by J. Valanciunas (offensive foul)
4:30.0,Turnover by K. Bazemore (bad pass),,34-46,,
4:23.0,,,34-46,,K. Lowry misses 2-pt shot from 11 ft
4:21.0,Defensive rebound by M. Plumlee,,34-46,,
4:10.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,36-46,,
3:52.0,,,36-46,,D. DeRozan misses 2-pt shot from 9 ft
3:50.0,,,36-46,,Offensive rebound by Team
3:50.0,,,36-46,,O. Anunoby enters the game for D. Wright
3:50.0,M. Belinelli enters the game for E. Ilyasova,,36-46,,
3:37.0,,,36-46,,J. Valanciunas misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by K. Bazemore,,36-46,,
3:18.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder),2,38-46,,
3:18.0,,,38-46,,Toronto full timeout
3:08.0,,,38-48,2,D. DeRozan makes 2-pt shot from 8 ft
2:49.0,Turnover by M. Plumlee (out of bounds lost ball),,38-48,,
2:45.0,,,38-50,2,O. Anunoby makes 2-pt shot at rim (assist by D. DeRozan)
2:30.0,D. Schroder makes 2-pt shot from 5 ft,2,40-50,,
2:19.0,,,40-52,2,D. DeRozan makes 2-pt shot from 8 ft
2:10.0,Turnover by K. Bazemore (bad pass; steal by O. Anunoby),,40-52,,
2:08.0,,,40-54,2,O. Anunoby makes 2-pt shot at rim
2:08.0,Atlanta full timeout,,40-54,,
2:08.0,E. Ilyasova enters the game for M. Plumlee,,40-54,,
2:08.0,M. Delaney enters the game for K. Bazemore,,40-54,,
1:57.0,D. Schroder misses 2-pt shot from 1 ft,,40-54,,
1:55.0,,,40-54,,Defensive rebound by K. Lowry
1:43.0,,,40-56,2,D. DeRozan makes 2-pt shot from 3 ft
1:43.0,,,40-56,,Shooting foul by D. Schroder (drawn by D. DeRozan)
1:43.0,,,40-57,1,D. DeRozan makes free throw 1 of 1
1:27.0,,,40-57,,Personal foul by C. Miles (drawn by T. Waller-Prince)
1:25.0,,,40-57,,Personal foul by O. Anunoby (drawn by M. Belinelli)
1:25.0,M. Belinelli makes free throw 1 of 2,1,41-57,,
1:25.0,,,41-57,,N. Powell enters the game for O. Anunoby
1:25.0,M. Belinelli makes free throw 2 of 2,1,42-57,,
1:13.0,,,42-60,3,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan)
1:02.0,Turnover by E. Ilyasova (bad pass),,42-60,,
1:02.0,,,42-60,,J. Poeltl enters the game for J. Valanciunas
0:42.0,,,42-60,,K. Lowry misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by E. Ilyasova,,42-60,,
0:33.0,D. Schroder makes 2-pt shot from 17 ft (assist by M. Belinelli),2,44-60,,
0:27.0,,,44-60,,J. Poeltl misses 2-pt shot from 5 ft
0:25.0,Defensive rebound by T. Waller-Prince,,44-60,,
0:08.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder),3,47-60,,
0:01.0,Personal block foul by M. Delaney (drawn by D. DeRozan),,47-60,,
0:01.0,,,47-61,1,D. DeRozan makes free throw 2 of 2
0:01.0,,,47-62,1,D. DeRozan makes free throw 1 of 2
0:00.0,D. Schroder misses 3-pt shot from 44 ft,,47-62,,
0:00.0,Offensive rebound by Team,,47-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-64,2,J. Valanciunas makes 2-pt shot from 8 ft (assist by K. Lowry)
11:37.0,K. Bazemore makes 2-pt shot from 3 ft (assist by D. Schroder),2,49-64,,
11:37.0,Shooting foul by J. Valanciunas (drawn by K. Bazemore),,49-64,,
11:37.0,K. Bazemore makes free throw 1 of 1,1,50-64,,
11:23.0,,,50-67,3,O. Anunoby makes 3-pt shot from 22 ft
11:12.0,Turnover by D. Schroder (bad pass),,50-67,,
11:02.0,,,50-67,,J. Valanciunas misses 2-pt shot from 21 ft
10:59.0,Defensive rebound by T. Waller-Prince,,50-67,,
10:51.0,,,50-67,,Violation by O. Anunoby (kicked ball)
10:43.0,,,50-67,,Personal foul by K. Lowry (drawn by D. Schroder)
10:32.0,K. Bazemore misses 2-pt shot from 7 ft (block by D. DeRozan),,50-67,,
10:32.0,Offensive rebound by Team,,50-67,,
10:30.0,E. Ilyasova misses 2-pt shot from 17 ft,,50-67,,
10:27.0,,,50-67,,Defensive rebound by K. Lowry
10:12.0,,,50-70,3,C. Miles makes 3-pt shot from 26 ft (assist by K. Lowry)
9:56.0,T. Waller-Prince makes 3-pt shot from 27 ft (assist by E. Ilyasova),3,53-70,,
9:44.0,,,53-70,,O. Anunoby misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by T. Waller-Prince,,53-70,,
9:34.0,M. Plumlee misses 2-pt shot from 1 ft,,53-70,,
9:32.0,,,53-70,,Defensive rebound by J. Valanciunas
9:23.0,,,53-72,2,K. Lowry makes 2-pt shot from 2 ft
9:06.0,T. Waller-Prince makes 2-pt shot from 8 ft,2,55-72,,
9:06.0,Shooting foul by C. Miles (drawn by T. Waller-Prince),,55-72,,
9:06.0,T. Waller-Prince misses free throw 1 of 1,,55-72,,
9:06.0,,,55-72,,Defensive rebound by O. Anunoby
8:36.0,,,55-72,,D. DeRozan misses 2-pt shot from 14 ft
8:32.0,Defensive rebound by M. Plumlee,,55-72,,
8:31.0,M. Plumlee misses 2-pt shot from 1 ft,,55-72,,
8:31.0,,,55-72,,Defensive rebound by K. Lowry
8:22.0,,,55-75,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
7:59.0,D. Schroder misses 2-pt shot from 13 ft,,55-75,,
7:57.0,Offensive rebound by D. Schroder,,55-75,,
7:53.0,D. Schroder misses 2-pt shot from 6 ft,,55-75,,
7:49.0,Offensive rebound by D. Schroder,,55-75,,
7:45.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder),2,57-75,,
7:33.0,,,57-75,,O. Anunoby misses 3-pt shot from 22 ft
7:30.0,Defensive rebound by T. Waller-Prince,,57-75,,
7:18.0,T. Waller-Prince misses 2-pt shot from 3 ft (block by C. Miles),,57-75,,
7:15.0,Offensive rebound by E. Ilyasova,,57-75,,
7:13.0,E. Ilyasova misses 3-pt shot from 24 ft,,57-75,,
7:11.0,,,57-75,,Defensive rebound by J. Valanciunas
7:06.0,Personal foul by K. Bazemore (drawn by D. DeRozan),,57-75,,
7:06.0,,,57-75,,P. Siakam enters the game for C. Miles
7:06.0,J. Collins enters the game for M. Plumlee,,57-75,,
6:59.0,,,57-77,2,J. Valanciunas makes 2-pt shot from 2 ft
6:42.0,D. Schroder makes 2-pt shot from 12 ft,2,59-77,,
6:31.0,,,59-77,,Turnover by D. DeRozan (bad pass; steal by D. Schroder)
6:27.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder),3,62-77,,
6:16.0,,,62-77,,Toronto full timeout
6:16.0,,,62-77,,D. Wright enters the game for O. Anunoby
6:16.0,M. Belinelli enters the game for E. Ilyasova,,62-77,,
5:58.0,,,62-77,,D. DeRozan misses 2-pt shot from 17 ft
5:54.0,,,62-77,,Offensive rebound by J. Valanciunas
5:42.0,,,62-77,,K. Lowry misses 2-pt shot from 2 ft
5:40.0,,,62-77,,Offensive rebound by J. Valanciunas
5:39.0,,,62-77,,J. Valanciunas misses 2-pt shot from 2 ft
5:39.0,Defensive rebound by D. Schroder,,62-77,,
5:36.0,M. Belinelli misses 3-pt shot from 24 ft,,62-77,,
5:36.0,,,62-77,,Defensive rebound by P. Siakam
5:21.0,,,62-77,,J. Valanciunas misses 2-pt shot from 2 ft
5:21.0,Defensive rebound by K. Bazemore,,62-77,,
5:13.0,D. Schroder misses 3-pt shot from 26 ft,,62-77,,
5:10.0,,,62-77,,Defensive rebound by P. Siakam
4:52.0,,,62-77,,P. Siakam misses 3-pt shot from 23 ft
4:48.0,Defensive rebound by J. Collins,,62-77,,
4:41.0,T. Waller-Prince makes 2-pt shot from 5 ft,2,64-77,,
4:29.0,,,64-77,,Offensive foul by J. Valanciunas (drawn by K. Bazemore)
4:29.0,,,64-77,,Turnover by J. Valanciunas (offensive foul)
4:29.0,,,64-77,,J. Poeltl enters the game for J. Valanciunas
4:29.0,M. Delaney enters the game for K. Bazemore,,64-77,,
4:10.0,J. Collins makes 2-pt shot at rim (assist by D. Schroder),2,66-77,,
3:47.0,Personal foul by M. Delaney (drawn by D. DeRozan),,66-77,,
3:35.0,,,66-80,3,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry)
3:10.0,J. Collins misses 2-pt shot from 1 ft,,66-80,,
3:09.0,,,66-80,,Defensive rebound by J. Poeltl
3:05.0,,,66-80,,K. Lowry misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by T. Waller-Prince,,66-80,,
2:51.0,Offensive foul by J. Collins (drawn by K. Lowry),,66-80,,
2:51.0,Turnover by J. Collins (offensive foul),,66-80,,
2:51.0,Atlanta full timeout,,66-80,,
2:51.0,,,66-80,,F. VanVleet enters the game for K. Lowry
2:37.0,,,66-80,,D. DeRozan misses 2-pt shot from 8 ft
2:33.0,,,66-80,,Offensive rebound by D. DeRozan
2:22.0,,,66-83,3,D. DeRozan makes 3-pt shot from 26 ft (assist by F. VanVleet)
2:08.0,M. Belinelli misses 2-pt shot from 4 ft (block by J. Poeltl),,66-83,,
2:05.0,,,66-83,,Defensive rebound by J. Poeltl
2:00.0,,,66-83,,P. Siakam misses 2-pt shot from 2 ft (block by J. Collins)
1:57.0,,,66-83,,Offensive rebound by P. Siakam
1:55.0,,,66-83,,P. Siakam misses 2-pt shot from 2 ft
1:55.0,,,66-83,,Offensive rebound by J. Poeltl
1:53.0,,,66-85,2,J. Poeltl makes 2-pt shot from 1 ft
1:37.0,M. Delaney misses 3-pt shot from 23 ft,,66-85,,
1:35.0,,,66-85,,Defensive rebound by P. Siakam
1:22.0,,,66-88,3,D. Wright makes 3-pt shot from 26 ft (assist by P. Siakam)
1:09.0,M. Belinelli misses 2-pt shot from 16 ft (block by D. Wright),,66-88,,
1:07.0,,,66-88,,Defensive rebound by J. Poeltl
0:48.0,,,66-88,,Turnover by F. VanVleet (lost ball; steal by D. Schroder)
0:46.0,Shooting foul by D. Wright (drawn by M. Delaney),,66-88,,
0:46.0,M. Delaney makes free throw 1 of 2,1,67-88,,
0:46.0,T. Cavanaugh enters the game for T. Waller-Prince,,67-88,,
0:46.0,I. Taylor enters the game for D. Schroder,,67-88,,
0:46.0,M. Delaney misses free throw 2 of 2,,67-88,,
0:43.0,,,67-88,,Defensive rebound by P. Siakam
0:31.0,,,67-88,,F. VanVleet misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by T. Cavanaugh,,67-88,,
0:21.0,M. Delaney makes 2-pt shot from 1 ft (assist by I. Taylor),2,69-88,,
0:03.0,,,69-88,,J. Poeltl misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by T. Cavanaugh,,69-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Collins misses 2-pt shot from 2 ft,,69-88,,
11:34.0,Offensive rebound by T. Cavanaugh,,69-88,,
11:31.0,T. Cavanaugh makes 2-pt shot from 1 ft,2,71-88,,
11:15.0,,,71-88,,F. VanVleet misses 2-pt shot from 10 ft
11:13.0,Defensive rebound by J. Collins,,71-88,,
10:59.0,Turnover by M. Delaney (bad pass; steal by F. VanVleet),,71-88,,
10:55.0,,,71-88,,Turnover by F. VanVleet (bad pass; steal by I. Taylor)
10:54.0,Shooting foul by F. VanVleet (drawn by J. Collins),,71-88,,
10:54.0,J. Collins misses free throw 1 of 2,,71-88,,
10:54.0,Offensive rebound by Team,,71-88,,
10:54.0,J. Collins makes free throw 2 of 2,1,72-88,,
10:41.0,,,72-88,,Turnover by N. Powell (bad pass; steal by M. Belinelli)
10:25.0,Shooting foul by J. Poeltl (drawn by J. Collins),,72-88,,
10:25.0,J. Collins misses free throw 1 of 2,,72-88,,
10:25.0,Offensive rebound by Team,,72-88,,
10:25.0,J. Collins makes free throw 2 of 2,1,73-88,,
10:05.0,,,73-88,,N. Powell misses 3-pt shot from 22 ft
10:01.0,Defensive rebound by J. Collins,,73-88,,
9:53.0,I. Taylor misses 2-pt shot at rim (block by P. Siakam),,73-88,,
9:51.0,,,73-88,,Defensive rebound by J. Poeltl
9:35.0,,,73-88,,P. Siakam misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by J. Collins,,73-88,,
9:29.0,M. Belinelli misses 3-pt shot from 26 ft,,73-88,,
9:24.0,,,73-88,,Defensive rebound by P. Siakam
9:16.0,,,73-88,,F. VanVleet misses 2-pt shot from 10 ft
9:14.0,,,73-88,,Offensive rebound by J. Poeltl
9:14.0,,,73-90,2,J. Poeltl makes 2-pt shot from 3 ft
8:50.0,M. Belinelli makes 2-pt shot from 22 ft,2,75-90,,
8:42.0,,,75-90,,Shooting foul by I. Taylor (drawn by F. VanVleet)
8:42.0,,,75-90,,F. VanVleet misses free throw 1 of 2
8:42.0,,,75-90,,Offensive rebound by Team
8:42.0,E. Ilyasova enters the game for M. Belinelli,,75-90,,
8:42.0,K. Bazemore enters the game for J. Collins,,75-90,,
8:42.0,,,75-91,1,F. VanVleet makes free throw 2 of 2
8:30.0,T. Cavanaugh makes 3-pt shot from 26 ft (assist by I. Taylor),3,78-91,,
8:19.0,,,78-91,,P. Siakam misses 3-pt shot from 26 ft
8:16.0,,,78-91,,Offensive rebound by N. Powell
8:16.0,,,78-93,2,N. Powell makes 2-pt shot from 4 ft
8:16.0,,,78-93,,Shooting foul by K. Bazemore (drawn by N. Powell)
8:16.0,,,78-93,,N. Powell misses free throw 1 of 1
8:12.0,Defensive rebound by K. Bazemore,,78-93,,
7:59.0,M. Delaney misses 2-pt shot from 19 ft,,78-93,,
7:56.0,,,78-93,,Defensive rebound by J. Poeltl
7:38.0,,,78-95,2,D. Wright makes 2-pt shot from 1 ft (assist by J. Poeltl)
7:19.0,Shooting foul by J. Poeltl (drawn by T. Cavanaugh),,78-95,,
7:19.0,T. Cavanaugh misses free throw 1 of 2,,78-95,,
7:19.0,Offensive rebound by Team,,78-95,,
7:19.0,T. Waller-Prince enters the game for M. Delaney,,78-95,,
