time,Brooklyn,pts.away,score,pts.home,Minnesota
1:50.0,,,34-50,2,K. Towns makes 2-pt shot from 3 ft
1:37.0,Turnover by D. Carroll (bad pass; steal by T. Gibson),,34-50,,
1:30.0,,,34-50,,T. Gibson misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by T. Zeller,,34-50,,
1:23.0,N. Stauskas makes 3-pt shot from 25 ft,3,37-50,,
1:04.0,,,37-52,2,T. Gibson makes 2-pt shot from 14 ft (assist by K. Towns)
0:50.0,D. Carroll makes 2-pt shot from 7 ft (assist by S. Dinwiddie),2,39-52,,
0:34.0,,,39-54,2,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler)
0:19.0,N. Stauskas makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,42-54,,
0:01.0,,,42-54,,J. Butler misses 2-pt shot from 21 ft
0:01.0,,,42-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Carroll misses 2-pt shot from 9 ft,,42-54,,
11:37.0,,,42-54,,Defensive rebound by K. Towns
11:20.0,Personal foul by S. Dinwiddie (drawn by J. Teague),,42-54,,
11:14.0,,,42-56,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
11:02.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,44-56,,
10:40.0,,,44-56,,T. Gibson misses 2-pt shot from 18 ft
10:37.0,,,44-56,,Offensive rebound by A. Wiggins
10:33.0,,,44-56,,Turnover by A. Wiggins (bad pass; steal by Q. Acy)
10:29.0,A. Crabbe misses 3-pt shot from 24 ft,,44-56,,
10:29.0,,,44-56,,Defensive rebound by Team
10:11.0,,,44-56,,K. Towns misses 2-pt shot from 2 ft (block by Q. Acy)
10:08.0,Defensive rebound by Q. Acy,,44-56,,
10:04.0,J. Allen makes 2-pt shot from 2 ft (assist by A. Crabbe),2,46-56,,
9:51.0,,,46-56,,Turnover by K. Towns (lost ball; steal by Q. Acy)
9:43.0,Turnover by A. Crabbe (bad pass; steal by A. Wiggins),,46-56,,
9:37.0,,,46-58,2,T. Gibson makes 2-pt shot from 12 ft (assist by A. Wiggins)
9:23.0,Shooting foul by J. Teague (drawn by J. Allen),,46-58,,
9:23.0,J. Allen makes free throw 1 of 2,1,47-58,,
9:23.0,J. Allen makes free throw 2 of 2,1,48-58,,
9:03.0,,,48-58,,J. Butler misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by J. Allen,,48-58,,
8:53.0,Q. Acy misses 3-pt shot from 26 ft,,48-58,,
8:50.0,Offensive rebound by J. Allen,,48-58,,
8:48.0,S. Dinwiddie misses 3-pt shot from 27 ft,,48-58,,
8:44.0,Offensive rebound by A. Crabbe,,48-58,,
8:39.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,51-58,,
8:19.0,,,51-58,,J. Butler misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by A. Crabbe,,51-58,,
8:11.0,A. Crabbe misses 3-pt shot from 28 ft,,51-58,,
8:06.0,Offensive rebound by Q. Acy,,51-58,,
7:59.0,S. Dinwiddie makes 2-pt shot at rim,2,53-58,,
7:45.0,,,53-60,2,A. Wiggins makes 2-pt shot from 10 ft (assist by J. Teague)
7:18.0,S. Dinwiddie misses 2-pt shot from 6 ft,,53-60,,
7:16.0,,,53-60,,Defensive rebound by A. Wiggins
6:58.0,,,53-62,2,A. Wiggins makes 2-pt shot from 21 ft
6:40.0,Turnover by A. Crabbe (lost ball; steal by J. Butler),,53-62,,
6:30.0,,,53-62,,J. Butler misses 3-pt shot from 22 ft
6:28.0,,,53-62,,Offensive rebound by K. Towns
6:27.0,,,53-64,2,K. Towns makes 2-pt shot at rim
6:26.0,Brooklyn full timeout,,53-64,,
6:26.0,N. Stauskas enters the game for Q. Acy,,53-64,,
6:26.0,J. Harris enters the game for A. Crabbe,,53-64,,
6:11.0,D. Carroll makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,55-64,,
5:45.0,,,55-64,,J. Teague misses 2-pt shot from 20 ft
5:42.0,,,55-64,,Offensive rebound by K. Towns
5:42.0,,,55-66,2,K. Towns makes 2-pt shot at rim
5:30.0,D. Carroll misses 3-pt shot from 25 ft,,55-66,,
5:30.0,,,55-66,,Defensive rebound by J. Butler
5:21.0,,,55-66,,A. Wiggins misses 2-pt shot from 5 ft
5:21.0,,,55-66,,Offensive rebound by K. Towns
5:16.0,,,55-66,,T. Gibson misses 2-pt shot from 19 ft
5:16.0,,,55-66,,Offensive rebound by K. Towns
5:13.0,Personal foul by D. Carroll (drawn by K. Towns),,55-66,,
5:13.0,Q. Acy enters the game for D. Carroll,,55-66,,
5:12.0,Violation by Q. Acy (kicked ball),,55-66,,
5:01.0,,,55-66,,A. Wiggins misses 2-pt shot from 15 ft
4:59.0,,,55-66,,Offensive rebound by K. Towns
4:59.0,,,55-68,2,K. Towns makes 2-pt shot from 1 ft
4:44.0,Q. Acy misses 3-pt shot from 23 ft,,55-68,,
4:41.0,,,55-68,,Defensive rebound by K. Towns
4:35.0,,,55-68,,K. Towns misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by J. Allen,,55-68,,
4:27.0,S. Dinwiddie misses 3-pt shot from 25 ft,,55-68,,
4:25.0,,,55-68,,Defensive rebound by K. Towns
4:10.0,,,55-70,2,K. Towns makes 2-pt shot from 5 ft (assist by A. Wiggins)
4:05.0,,,55-70,,Personal foul by J. Butler (drawn by S. Dinwiddie)
4:05.0,,,55-70,,G. Dieng enters the game for K. Towns
4:05.0,,,55-70,,N. Bjelica enters the game for T. Gibson
4:05.0,J. Okafor enters the game for S. Dinwiddie,,55-70,,
4:05.0,I. Whitehead enters the game for J. Allen,,55-70,,
4:05.0,,,55-70,,T. Jones enters the game for J. Teague
3:55.0,Offensive foul by I. Whitehead (drawn by T. Jones),,55-70,,
