time,Oklahoma City,pts.away,score,pts.home,Minnesota
6:06.0,Offensive rebound by S. Adams,,10-14,,
6:06.0,S. Adams makes 2-pt shot at rim,2,12-14,,
5:53.0,,,12-14,,A. Wiggins misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by R. Westbrook,,12-14,,
5:44.0,,,12-14,,Personal foul by A. Wiggins (drawn by C. Anthony)
5:44.0,,,12-14,,Minnesota full timeout
5:44.0,A. Abrines enters the game for A. Roberson,,12-14,,
5:35.0,P. George makes 3-pt shot from 26 ft (assist by C. Anthony),3,15-14,,
5:13.0,,,15-16,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague)
4:58.0,Shooting foul by J. Teague (drawn by S. Adams),,15-16,,
4:58.0,S. Adams makes free throw 1 of 2,1,16-16,,
4:58.0,S. Adams makes free throw 2 of 2,1,17-16,,
4:58.0,J. Grant enters the game for C. Anthony,,17-16,,
4:44.0,,,17-16,,K. Towns misses 2-pt shot from 6 ft
4:44.0,Defensive rebound by Team,,17-16,,
4:44.0,,,17-16,,Loose ball foul by T. Gibson (drawn by S. Adams)
4:44.0,,,17-16,,G. Dieng enters the game for K. Towns
4:36.0,,,17-16,,Personal foul by J. Teague (drawn by A. Abrines)
4:26.0,P. George makes 2-pt shot from 8 ft,2,19-16,,
4:16.0,Personal foul by A. Abrines (drawn by A. Wiggins),,19-16,,
4:06.0,,,19-18,2,T. Gibson makes 2-pt shot from 8 ft (assist by A. Wiggins)
3:52.0,J. Grant misses 2-pt shot from 17 ft,,19-18,,
3:49.0,,,19-18,,Defensive rebound by J. Teague
3:44.0,,,19-18,,Turnover by J. Teague (bad pass; steal by P. George)
3:43.0,,,19-18,,Personal foul by G. Dieng (drawn by P. George)
3:43.0,P. George makes free throw 1 of 2,1,20-18,,
3:43.0,P. George makes free throw 2 of 2,1,21-18,,
3:20.0,,,21-18,,Turnover by J. Teague (lost ball; steal by R. Westbrook)
3:15.0,R. Westbrook makes 2-pt shot at rim,2,23-18,,
2:57.0,,,23-20,2,A. Wiggins makes 2-pt shot from 13 ft
2:43.0,Turnover by R. Westbrook (bad pass; steal by A. Wiggins),,23-20,,
2:35.0,,,23-20,,Shooting foul by S. Adams (drawn by G. Dieng)
2:35.0,Oklahoma City full timeout,,23-20,,
2:35.0,R. Felton enters the game for R. Westbrook,,23-20,,
2:35.0,P. Patterson enters the game for S. Adams,,23-20,,
2:35.0,,,23-21,1,G. Dieng makes free throw 1 of 2
2:35.0,,,23-22,1,G. Dieng makes free throw 2 of 2
2:24.0,P. George makes 3-pt shot from 24 ft (assist by J. Grant),3,26-22,,
2:05.0,,,26-22,,A. Wiggins misses 3-pt shot from 23 ft
2:02.0,Defensive rebound by P. Patterson,,26-22,,
1:46.0,R. Felton makes 3-pt shot from 25 ft (assist by P. George),3,29-22,,
1:40.0,Personal foul by A. Abrines (drawn by J. Butler),,29-22,,
1:40.0,,,29-23,1,J. Butler makes free throw 1 of 2
1:40.0,,,29-23,,T. Jones enters the game for J. Teague
1:40.0,,,29-24,1,J. Butler makes free throw 2 of 2
1:25.0,J. Grant makes 2-pt shot at rim,2,31-24,,
0:58.0,,,31-26,2,J. Butler makes 2-pt shot from 14 ft
0:48.0,A. Abrines misses 3-pt shot from 25 ft,,31-26,,
0:45.0,,,31-26,,Defensive rebound by A. Wiggins
0:36.0,,,31-26,,A. Wiggins misses 2-pt shot from 5 ft
0:34.0,Defensive rebound by J. Grant,,31-26,,
0:34.0,,,31-26,,Personal foul by T. Gibson (drawn by J. Grant)
0:34.0,J. Grant makes free throw 1 of 2,1,32-26,,
0:34.0,,,32-26,,J. Crawford enters the game for J. Butler
0:34.0,,,32-26,,N. Bjelica enters the game for T. Gibson
0:34.0,J. Huestis enters the game for A. Abrines,,32-26,,
0:34.0,J. Grant makes free throw 2 of 2,1,33-26,,
0:24.0,,,33-26,,Turnover by T. Jones (bad pass; steal by J. Grant)
0:02.0,P. Patterson misses 3-pt shot from 23 ft,,33-26,,
0:02.0,,,33-26,,Defensive rebound by T. Jones
0:00.0,,,33-26,,T. Jones misses 3-pt shot from 66 ft
0:00.0,,,33-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,33-26,,J. Crawford misses 3-pt shot from 28 ft
11:34.0,Defensive rebound by J. Huestis,,33-26,,
11:22.0,,,33-26,,Personal foul by S. Muhammad (drawn by C. Anthony)
11:13.0,C. Anthony misses 2-pt shot from 18 ft,,33-26,,
11:12.0,,,33-26,,Defensive rebound by Team
11:12.0,Loose ball foul by J. Huestis (drawn by N. Bjelica),,33-26,,
10:53.0,,,33-26,,S. Muhammad misses 2-pt shot from 6 ft (block by J. Huestis)
10:49.0,Defensive rebound by R. Felton,,33-26,,
10:41.0,J. Huestis misses 2-pt shot from 3 ft,,33-26,,
10:38.0,,,33-26,,Defensive rebound by N. Bjelica
10:23.0,,,33-26,,Turnover by T. Jones (lost ball; steal by T. Ferguson)
10:17.0,T. Ferguson misses 3-pt shot from 25 ft,,33-26,,
10:14.0,,,33-26,,Defensive rebound by Team
10:09.0,Personal foul by T. Ferguson (drawn by J. Crawford),,33-26,,
10:02.0,Personal foul by T. Ferguson (drawn by J. Crawford),,33-26,,
9:47.0,,,33-26,,Turnover by Team (shot clock)
9:32.0,C. Anthony makes 2-pt shot from 20 ft,2,35-26,,
9:18.0,Personal foul by T. Ferguson (drawn by J. Crawford),,35-26,,
9:18.0,J. Grant enters the game for T. Ferguson,,35-26,,
9:09.0,,,35-28,2,J. Crawford makes 2-pt shot from 19 ft (assist by T. Jones)
8:51.0,C. Anthony makes 2-pt shot from 19 ft,2,37-28,,
8:36.0,,,37-28,,J. Crawford misses 2-pt shot from 3 ft
8:34.0,Defensive rebound by P. Patterson,,37-28,,
8:21.0,C. Anthony makes 2-pt shot from 21 ft,2,39-28,,
8:12.0,,,39-28,,Minnesota full timeout
8:12.0,,,39-28,,J. Teague enters the game for T. Jones
8:12.0,,,39-28,,J. Butler enters the game for G. Dieng
8:12.0,,,39-28,,K. Towns enters the game for N. Bjelica
8:12.0,R. Westbrook enters the game for R. Felton,,39-28,,
8:02.0,,,39-30,2,K. Towns makes 2-pt shot from 13 ft
7:47.0,Turnover by C. Anthony (traveling),,39-30,,
7:30.0,,,39-30,,J. Crawford misses 2-pt shot from 8 ft
7:26.0,Defensive rebound by P. Patterson,,39-30,,
7:23.0,Turnover by R. Westbrook (bad pass; steal by J. Teague),,39-30,,
7:17.0,,,39-33,3,J. Crawford makes 3-pt shot from 22 ft (assist by J. Teague)
7:04.0,C. Anthony makes 3-pt shot from 27 ft (assist by P. Patterson),3,42-33,,
6:47.0,,,42-33,,Shooting foul by J. Huestis (drawn by J. Butler)
6:47.0,,,42-33,,J. Butler misses free throw 1 of 2
6:47.0,,,42-33,,Offensive rebound by Team
6:47.0,,,42-33,,T. Gibson enters the game for J. Crawford
6:47.0,P. George enters the game for J. Huestis,,42-33,,
6:47.0,S. Adams enters the game for P. Patterson,,42-33,,
6:47.0,,,42-34,1,J. Butler makes free throw 2 of 2
6:28.0,J. Grant misses 3-pt shot from 23 ft,,42-34,,
6:25.0,,,42-34,,Defensive rebound by S. Muhammad
6:17.0,,,42-36,2,J. Butler makes 2-pt shot from 4 ft
6:01.0,,,42-36,,Personal foul by J. Teague (drawn by R. Westbrook)
5:53.0,R. Westbrook makes 2-pt shot from 15 ft,2,44-36,,
5:40.0,Personal foul by R. Westbrook (drawn by J. Teague),,44-36,,
5:40.0,,,44-37,1,J. Teague makes free throw 1 of 2
5:40.0,J. Huestis enters the game for C. Anthony,,44-37,,
5:40.0,,,44-38,1,J. Teague makes free throw 2 of 2
5:32.0,J. Grant misses 2-pt shot from 1 ft,,44-38,,
5:32.0,Offensive rebound by R. Westbrook,,44-38,,
5:29.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,47-38,,
5:13.0,,,47-38,,K. Towns misses 2-pt shot from 2 ft (block by J. Grant)
5:12.0,,,47-38,,Offensive rebound by T. Gibson
5:09.0,,,47-40,2,T. Gibson makes 2-pt shot at rim
5:01.0,J. Huestis misses 3-pt shot from 25 ft,,47-40,,
4:57.0,,,47-40,,Defensive rebound by K. Towns
4:53.0,,,47-40,,S. Muhammad misses 2-pt shot from 4 ft
4:50.0,Defensive rebound by J. Huestis,,47-40,,
4:46.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,49-40,,
4:37.0,,,49-40,,Minnesota full timeout
4:37.0,,,49-40,,A. Wiggins enters the game for S. Muhammad
4:23.0,,,49-40,,Shooting foul by J. Grant (drawn by K. Towns)
4:23.0,,,49-41,1,K. Towns makes free throw 1 of 2
4:23.0,C. Anthony enters the game for J. Huestis,,49-41,,
4:23.0,,,49-42,1,K. Towns makes free throw 2 of 2
4:12.0,Turnover by R. Westbrook (bad pass),,49-42,,
3:55.0,,,49-42,,J. Teague misses 2-pt shot from 2 ft
3:52.0,Defensive rebound by R. Westbrook,,49-42,,
3:51.0,Turnover by R. Westbrook (out of bounds lost ball),,49-42,,
3:45.0,,,49-42,,Turnover by K. Towns (bad pass)
3:37.0,R. Westbrook misses 3-pt shot from 27 ft,,49-42,,
3:32.0,,,49-42,,Defensive rebound by K. Towns
3:25.0,,,49-44,2,J. Teague makes 2-pt shot from 19 ft
3:18.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,51-44,,
2:54.0,,,51-44,,A. Wiggins misses 2-pt shot from 17 ft
2:51.0,Defensive rebound by R. Westbrook,,51-44,,
2:49.0,Turnover by R. Westbrook (out of bounds lost ball),,51-44,,
2:37.0,,,51-47,3,J. Teague makes 3-pt shot from 24 ft
2:37.0,Oklahoma City full timeout,,51-47,,
2:22.0,R. Westbrook misses 2-pt shot from 1 ft (block by K. Towns),,51-47,,
2:19.0,,,51-47,,Defensive rebound by K. Towns
2:17.0,,,51-49,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
2:17.0,,,51-49,,Shooting foul by J. Grant (drawn by A. Wiggins)
2:17.0,,,51-50,1,A. Wiggins makes free throw 1 of 1
2:05.0,Shooting foul by A. Wiggins (drawn by P. George),,51-50,,
2:05.0,P. George makes free throw 1 of 2,1,52-50,,
2:05.0,P. George makes free throw 2 of 2,1,53-50,,
1:59.0,Personal foul by P. George (drawn by K. Towns),,53-50,,
1:59.0,,,53-51,1,K. Towns makes free throw 1 of 2
1:59.0,,,53-52,1,K. Towns makes free throw 2 of 2
1:42.0,R. Westbrook misses 3-pt shot from 25 ft,,53-52,,
1:39.0,Offensive rebound by Team,,53-52,,
1:36.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams),2,55-52,,
1:28.0,,,55-54,2,J. Teague makes 2-pt shot from 3 ft
1:23.0,,,55-54,,Personal foul by K. Towns (drawn by S. Adams)
1:12.0,C. Anthony misses 2-pt shot from 12 ft,,55-54,,
1:09.0,,,55-54,,Defensive rebound by K. Towns
0:58.0,,,55-56,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
0:58.0,,,55-56,,Shooting foul by C. Anthony (drawn by K. Towns)
0:58.0,,,55-56,,T. Jones enters the game for J. Teague
0:58.0,,,55-57,1,K. Towns makes free throw 1 of 1
0:47.0,R. Westbrook misses 2-pt shot from 1 ft (block by K. Towns),,55-57,,
0:46.0,Offensive rebound by S. Adams,,55-57,,
0:46.0,S. Adams makes 2-pt shot at rim,2,57-57,,
0:31.0,,,57-57,,Shooting foul by P. George (drawn by A. Wiggins)
0:31.0,,,57-57,,A. Wiggins misses free throw 2 of 2
0:31.0,Defensive rebound by R. Westbrook,,57-57,,
0:31.0,,,57-57,,A. Wiggins misses free throw 1 of 2
0:31.0,,,57-57,,Offensive rebound by Team
0:31.0,,,57-57,,M. Georges-Hunt enters the game for T. Jones
0:08.0,C. Anthony makes 2-pt shot from 11 ft,2,59-57,,
0:02.0,,,59-57,,Shooting foul by S. Adams (drawn by J. Butler)
0:02.0,,,59-58,1,J. Butler makes free throw 1 of 2
0:02.0,,,59-59,1,J. Butler makes free throw 2 of 2
0:00.0,J. Grant misses 3-pt shot from 45 ft,,59-59,,
0:00.0,Offensive rebound by Team,,59-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,59-61,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
11:28.0,Shooting foul by A. Wiggins (drawn by S. Adams),,59-61,,
11:28.0,S. Adams makes free throw 1 of 2,1,60-61,,
11:28.0,S. Adams makes free throw 2 of 2,1,61-61,,
11:05.0,,,61-63,2,J. Teague makes 2-pt shot from 1 ft
10:45.0,P. George misses 2-pt shot from 11 ft,,61-63,,
10:41.0,Offensive rebound by S. Adams,,61-63,,
10:39.0,S. Adams makes 2-pt shot from 1 ft,2,63-63,,
10:26.0,,,63-65,2,K. Towns makes 2-pt shot from 5 ft (assist by J. Butler)
10:14.0,S. Adams makes 2-pt shot from 1 ft (assist by P. George),2,65-65,,
10:02.0,,,65-65,,Turnover by J. Teague (out of bounds lost ball)
9:44.0,Turnover by A. Roberson (lost ball; steal by A. Wiggins),,65-65,,
9:38.0,,,65-65,,A. Wiggins misses 2-pt shot from 12 ft
9:34.0,Defensive rebound by Team,,65-65,,
9:20.0,S. Adams makes 2-pt shot from 1 ft (assist by P. George),2,67-65,,
8:59.0,,,67-65,,Shooting foul by P. George (drawn by J. Butler)
8:59.0,,,67-66,1,J. Butler makes free throw 1 of 2
8:59.0,,,67-66,,J. Butler misses free throw 2 of 2
8:56.0,Defensive rebound by C. Anthony,,67-66,,
8:46.0,R. Westbrook misses 2-pt shot from 16 ft,,67-66,,
8:42.0,,,67-66,,Defensive rebound by K. Towns
8:34.0,Personal foul by C. Anthony (drawn by T. Gibson),,67-66,,
8:28.0,,,67-66,,K. Towns misses 2-pt shot from 7 ft
8:24.0,Defensive rebound by P. George,,67-66,,
8:21.0,Turnover by P. George (bad pass),,67-66,,
8:21.0,J. Huestis enters the game for A. Roberson,,67-66,,
8:07.0,,,67-69,3,J. Teague makes 3-pt shot from 26 ft
7:44.0,C. Anthony makes 2-pt shot from 20 ft,2,69-69,,
7:28.0,,,69-69,,Shooting foul by J. Huestis (drawn by K. Towns)
7:28.0,,,69-72,1,K. Towns makes free throw 1 of 1
7:27.0,,,69-71,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
7:14.0,P. George makes 2-pt shot from 19 ft,2,71-72,,
6:55.0,,,71-72,,J. Teague misses 2-pt shot from 5 ft
6:52.0,,,71-72,,Offensive rebound by T. Gibson
6:50.0,,,71-72,,Turnover by T. Gibson (bad pass; steal by P. George)
6:47.0,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George),2,73-72,,
6:32.0,Personal foul by C. Anthony (drawn by J. Teague),,73-72,,
6:32.0,,,73-72,,Minnesota full timeout
6:19.0,,,73-72,,A. Wiggins misses 2-pt shot from 19 ft
6:16.0,,,73-72,,Offensive rebound by T. Gibson
6:04.0,,,73-72,,K. Towns misses 2-pt shot from 11 ft
6:01.0,,,73-72,,Offensive rebound by K. Towns
5:56.0,,,73-75,3,A. Wiggins makes 3-pt shot from 25 ft (assist by J. Teague)
5:44.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,75-75,,
5:26.0,,,75-75,,K. Towns misses 2-pt shot at rim
5:24.0,Defensive rebound by R. Westbrook,,75-75,,
5:20.0,J. Huestis makes 3-pt shot from 24 ft (assist by C. Anthony),3,78-75,,
4:55.0,,,78-77,2,T. Gibson makes 2-pt shot from 9 ft
4:48.0,P. George misses 3-pt shot from 25 ft,,78-77,,
4:48.0,,,78-77,,Defensive rebound by T. Gibson
4:38.0,J. Grant enters the game for C. Anthony,,78-77,,
4:23.0,,,78-79,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler)
4:15.0,J. Huestis misses 3-pt shot from 23 ft,,78-79,,
4:15.0,,,78-79,,Defensive rebound by A. Wiggins
4:01.0,,,78-79,,J. Teague misses 3-pt shot from 26 ft
3:57.0,,,78-79,,Offensive rebound by T. Gibson
3:55.0,,,78-79,,T. Gibson misses 2-pt shot from 3 ft (block by P. George)
3:55.0,,,78-79,,Offensive rebound by Team
3:47.0,,,78-79,,Shooting foul by S. Adams (drawn by K. Towns)
3:47.0,,,78-79,,K. Towns misses free throw 1 of 3
3:47.0,,,78-79,,Offensive rebound by Team
3:47.0,,,78-80,1,K. Towns makes free throw 2 of 3
3:47.0,,,78-81,1,K. Towns makes free throw 3 of 3
3:32.0,J. Huestis misses 3-pt shot from 22 ft,,78-81,,
3:30.0,,,78-81,,Defensive rebound by K. Towns
3:25.0,,,78-83,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
3:25.0,Oklahoma City full timeout,,78-83,,
3:25.0,,,78-83,,G. Dieng enters the game for J. Butler
3:25.0,,,78-83,,J. Crawford enters the game for K. Towns
3:16.0,Shooting foul by G. Dieng (drawn by R. Westbrook),,78-83,,
3:16.0,R. Westbrook misses free throw 1 of 2,,78-83,,
3:16.0,Offensive rebound by Team,,78-83,,
3:16.0,P. Patterson enters the game for S. Adams,,78-83,,
3:16.0,R. Westbrook makes free throw 2 of 2,1,79-83,,
2:51.0,,,79-83,,Turnover by J. Crawford (bad pass)
2:48.0,P. George misses 3-pt shot from 25 ft,,79-83,,
2:46.0,Offensive rebound by P. George,,79-83,,
2:46.0,P. George misses 2-pt shot from 2 ft (block by T. Gibson),,79-83,,
2:46.0,Offensive rebound by Team,,79-83,,
2:43.0,P. George makes 2-pt shot from 15 ft (assist by R. Westbrook),2,81-83,,
2:23.0,,,81-83,,T. Gibson misses 3-pt shot from 22 ft (block by J. Grant)
2:17.0,Defensive rebound by R. Westbrook,,81-83,,
2:16.0,Turnover by R. Westbrook (lost ball; steal by T. Gibson),,81-83,,
2:12.0,,,81-85,2,T. Gibson makes 2-pt shot at rim
1:58.0,Shooting foul by G. Dieng (drawn by R. Westbrook),,81-85,,
1:58.0,R. Westbrook makes free throw 1 of 2,1,82-85,,
1:58.0,C. Anthony enters the game for J. Grant,,82-85,,
1:58.0,R. Westbrook makes free throw 2 of 2,1,83-85,,
1:49.0,,,83-85,,A. Wiggins misses 2-pt shot from 1 ft (block by P. Patterson)
1:46.0,Defensive rebound by J. Huestis,,83-85,,
1:44.0,R. Westbrook makes 2-pt shot from 1 ft,2,85-85,,
1:44.0,Shooting foul by G. Dieng (drawn by R. Westbrook),,85-85,,
1:44.0,R. Westbrook misses free throw 1 of 1,,85-85,,
1:41.0,,,85-85,,Defensive rebound by G. Dieng
1:34.0,,,85-85,,Shooting foul by R. Westbrook (drawn by J. Teague)
1:34.0,,,85-85,,J. Teague misses free throw 1 of 2
1:34.0,,,85-85,,Offensive rebound by Team
1:34.0,R. Felton enters the game for R. Westbrook,,85-85,,
1:34.0,,,85-85,,N. Bjelica enters the game for T. Gibson
1:34.0,,,85-86,1,J. Teague makes free throw 2 of 2
1:22.0,P. George makes 2-pt shot from 19 ft,2,87-86,,
1:06.0,,,87-88,2,G. Dieng makes 2-pt shot from 14 ft (assist by J. Teague)
0:42.0,C. Anthony misses 3-pt shot from 25 ft,,87-88,,
0:39.0,,,87-88,,Defensive rebound by J. Teague
0:35.0,,,87-88,,G. Dieng misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by C. Anthony,,87-88,,
0:17.0,,,87-88,,Personal foul by G. Dieng (drawn by C. Anthony)
0:17.0,C. Anthony makes free throw 1 of 2,1,88-88,,
0:17.0,,,88-88,,T. Jones enters the game for J. Teague
0:17.0,J. Grant enters the game for P. George,,88-88,,
0:17.0,C. Anthony makes free throw 2 of 2,1,89-88,,
0:04.0,,,89-88,,A. Wiggins misses 3-pt shot from 25 ft
0:00.0,,,89-88,,Offensive rebound by G. Dieng
0:00.0,,,89-90,2,G. Dieng makes 2-pt shot from 16 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,R. Felton makes 2-pt shot from 1 ft,2,91-90,,
11:28.0,,,91-90,,J. Crawford misses 2-pt shot from 3 ft
11:27.0,,,91-90,,Offensive rebound by K. Towns
11:26.0,,,91-90,,K. Towns misses 2-pt shot at rim
11:25.0,,,91-90,,Offensive rebound by K. Towns
11:23.0,,,91-92,2,K. Towns makes 2-pt shot from 2 ft
11:10.0,R. Felton makes 2-pt shot from 21 ft,2,93-92,,
10:48.0,,,93-92,,T. Jones misses 2-pt shot from 6 ft
10:41.0,,,93-92,,Offensive rebound by K. Towns
10:41.0,,,93-94,2,K. Towns makes 2-pt shot at rim
10:26.0,P. Patterson makes 3-pt shot from 22 ft (assist by R. Felton),3,96-94,,
10:08.0,,,96-97,3,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Jones)
9:58.0,,,96-97,,Personal foul by J. Crawford (drawn by A. Abrines)
9:58.0,,,96-97,,J. Butler enters the game for N. Bjelica
9:49.0,Shooting foul by J. Butler (drawn by C. Anthony),,96-97,,
9:49.0,C. Anthony makes free throw 1 of 2,1,97-97,,
9:49.0,C. Anthony makes free throw 2 of 2,1,98-97,,
9:45.0,,,98-97,,J. Crawford misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by J. Grant,,98-97,,
9:23.0,R. Felton misses 3-pt shot from 24 ft,,98-97,,
9:23.0,,,98-97,,Defensive rebound by K. Towns
9:06.0,,,98-97,,Shooting foul by A. Abrines (drawn by J. Butler)
9:06.0,,,98-98,1,J. Butler makes free throw 1 of 2
9:06.0,,,98-99,1,J. Butler makes free throw 2 of 2
8:50.0,P. Patterson misses 2-pt shot from 8 ft (block by K. Towns),,98-99,,
8:47.0,,,98-99,,Defensive rebound by K. Towns
8:43.0,,,98-99,,Turnover by J. Crawford (discontinued dribble)
8:43.0,R. Westbrook enters the game for A. Abrines,,98-99,,
8:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,100-99,,
8:07.0,,,100-101,2,J. Butler makes 2-pt shot from 4 ft
7:53.0,R. Westbrook makes 3-pt shot from 25 ft,3,103-101,,
7:51.0,,,103-101,,Minnesota full timeout
7:51.0,,,103-101,,A. Wiggins enters the game for T. Jones
7:51.0,,,103-101,,J. Teague enters the game for J. Crawford
7:51.0,,,103-101,,T. Gibson enters the game for S. Muhammad
7:51.0,S. Adams enters the game for C. Anthony,,103-101,,
7:51.0,P. George enters the game for J. Grant,,103-101,,
7:38.0,,,103-101,,Turnover by J. Teague (bad pass; steal by R. Felton)
7:35.0,R. Westbrook makes 2-pt shot at rim,2,105-101,,
7:10.0,,,105-104,3,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Gibson)
6:53.0,Offensive foul by S. Adams (drawn by T. Gibson),,105-104,,
6:53.0,Turnover by S. Adams (offensive foul),,105-104,,
6:37.0,,,105-104,,A. Wiggins misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by S. Adams,,105-104,,
6:29.0,Shooting foul by K. Towns (drawn by R. Westbrook),,105-104,,
6:29.0,R. Westbrook makes free throw 1 of 2,1,106-104,,
6:29.0,J. Grant enters the game for R. Felton,,106-104,,
6:29.0,R. Westbrook makes free throw 2 of 2,1,107-104,,
6:19.0,,,107-104,,Turnover by A. Wiggins (traveling)
6:08.0,R. Westbrook misses 2-pt shot from 20 ft,,107-104,,
6:04.0,Offensive rebound by S. Adams,,107-104,,
6:04.0,S. Adams misses 2-pt shot from 2 ft (block by A. Wiggins),,107-104,,
6:04.0,Offensive rebound by Team,,107-104,,
5:58.0,P. George misses 2-pt shot from 5 ft (block by A. Wiggins),,107-104,,
5:45.0,Offensive rebound by P. George,,107-104,,
5:44.0,Turnover by P. George (traveling),,107-104,,
5:39.0,,,107-104,,K. Towns misses 3-pt shot from 22 ft
5:34.0,Defensive rebound by R. Westbrook,,107-104,,
5:26.0,Oklahoma City full timeout,,107-104,,
