time,Orlando,pts.away,score,pts.home,Toronto
7:22.0,Defensive rebound by D. Augustin,,9-12,,
7:08.0,Turnover by A. Gordon (bad pass; steal by D. Wright),,9-12,,
7:02.0,,,9-12,,D. Wright misses 3-pt shot from 27 ft
6:58.0,,,9-12,,Offensive rebound by O. Anunoby
6:45.0,,,9-12,,L. Nogueira misses 3-pt shot from 23 ft
6:41.0,,,9-12,,Offensive rebound by O. Anunoby
6:39.0,,,9-12,,Turnover by L. Nogueira (bad pass)
6:28.0,N. Vucevic makes 2-pt shot from 1 ft (assist by M. Hezonja),2,11-12,,
6:19.0,,,11-12,,K. Lowry misses 2-pt shot from 1 ft (block by N. Vucevic)
6:16.0,Defensive rebound by D. Augustin,,11-12,,
6:12.0,A. Gordon misses 3-pt shot from 22 ft,,11-12,,
6:09.0,,,11-12,,Defensive rebound by S. Ibaka
5:53.0,,,11-12,,O. Anunoby misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by N. Vucevic,,11-12,,
5:49.0,,,11-12,,Personal foul by L. Nogueira (drawn by D. Augustin)
5:49.0,,,11-12,,J. Poeltl enters the game for L. Nogueira
5:42.0,,,11-12,,Personal foul by S. Ibaka (drawn by A. Gordon)
5:42.0,Technical foul by A. Gordon,,11-12,,
5:42.0,,,11-13,1,K. Lowry makes technical free throw
5:34.0,D. Augustin makes 2-pt shot from 3 ft,2,13-13,,
5:34.0,Shooting foul by J. Poeltl (drawn by D. Augustin),,13-13,,
5:34.0,D. Augustin makes free throw 1 of 1,1,14-13,,
5:27.0,,,14-15,2,D. Wright makes 2-pt shot from 2 ft (assist by K. Lowry)
5:27.0,,,14-15,,Shooting foul by W. Iwundu (drawn by D. Wright)
5:27.0,,,14-16,1,D. Wright makes free throw 1 of 1
5:19.0,,,14-16,,Personal foul by O. Anunoby (drawn by D. Augustin)
5:10.0,W. Iwundu misses 2-pt shot from 6 ft,,14-16,,
5:07.0,,,14-16,,Defensive rebound by D. Wright
5:00.0,,,14-19,3,O. Anunoby makes 3-pt shot from 22 ft (assist by K. Lowry)
4:50.0,Orlando full timeout,,14-19,,
4:50.0,,,14-19,,P. Siakam enters the game for S. Ibaka
4:50.0,B. Biyombo enters the game for M. Hezonja,,14-19,,
4:50.0,J. Artis enters the game for N. Vucevic,,14-19,,
4:41.0,A. Gordon makes 2-pt shot from 19 ft,2,16-19,,
4:17.0,,,16-19,,K. Lowry misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by A. Gordon,,16-19,,
4:12.0,D. Augustin makes 2-pt shot from 1 ft (assist by A. Gordon),2,18-19,,
3:54.0,,,18-19,,P. Siakam misses 2-pt shot from 12 ft
3:51.0,Defensive rebound by B. Biyombo,,18-19,,
3:47.0,,,18-19,,Personal block foul by D. Wright (drawn by D. Augustin)
3:47.0,D. Augustin makes free throw 1 of 2,1,19-19,,
3:47.0,D. Augustin makes free throw 2 of 2,1,20-19,,
3:28.0,,,20-22,3,K. Lowry makes 3-pt shot from 26 ft
3:02.0,J. Artis misses 3-pt shot from 24 ft,,20-22,,
3:02.0,Offensive rebound by Team,,20-22,,
3:02.0,,,20-22,,Loose ball foul by K. Lowry (drawn by B. Biyombo)
3:02.0,B. Biyombo misses free throw 1 of 2,,20-22,,
3:02.0,Offensive rebound by Team,,20-22,,
3:02.0,,,20-22,,C. Miles enters the game for O. Anunoby
3:02.0,,,20-22,,F. VanVleet enters the game for K. Lowry
3:02.0,T. Ross enters the game for D. Augustin,,20-22,,
3:02.0,S. Mack enters the game for W. Iwundu,,20-22,,
3:02.0,B. Biyombo makes free throw 2 of 2,1,21-22,,
2:48.0,,,21-24,2,J. Poeltl makes 2-pt shot at rim (assist by D. Wright)
2:30.0,B. Biyombo makes 2-pt shot at rim (assist by T. Ross),2,23-24,,
2:08.0,,,23-24,,Offensive charge foul by F. VanVleet (drawn by B. Biyombo)
2:08.0,,,23-24,,Turnover by F. VanVleet (offensive foul)
1:56.0,T. Ross misses 2-pt shot from 13 ft,,23-24,,
1:52.0,,,23-24,,Defensive rebound by P. Siakam
1:37.0,,,23-26,2,J. Poeltl makes 2-pt shot from 12 ft (assist by P. Siakam)
1:24.0,Turnover by S. Mack (bad pass; steal by J. Poeltl),,23-26,,
1:15.0,,,23-29,3,C. Miles makes 3-pt shot from 23 ft (assist by P. Siakam)
1:04.0,,,23-29,,Violation by J. Poeltl (kicked ball)
1:04.0,,,23-29,,Personal foul by P. Siakam (drawn by A. Gordon)
1:04.0,A. Gordon makes free throw 1 of 2,1,24-29,,
1:04.0,A. Gordon misses free throw 2 of 2,,24-29,,
1:02.0,,,24-29,,Defensive rebound by J. Poeltl
0:47.0,,,24-31,2,J. Poeltl makes 2-pt shot from 5 ft
0:47.0,,,24-31,,Shooting foul by B. Biyombo (drawn by J. Poeltl)
0:47.0,K. Birch enters the game for A. Gordon,,24-31,,
0:47.0,,,24-32,1,J. Poeltl makes free throw 1 of 1
0:31.0,S. Mack misses 2-pt shot from 18 ft,,24-32,,
0:28.0,,,24-32,,Defensive rebound by D. Wright
0:05.0,,,24-35,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
0:00.0,S. Mack misses 3-pt shot from 27 ft,,24-35,,
0:00.0,Offensive rebound by Team,,24-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,T. Ross misses 2-pt shot from 14 ft,,24-35,,
11:38.0,,,24-35,,Defensive rebound by C. Miles
11:25.0,Personal foul by S. Mack (drawn by F. VanVleet),,24-35,,
11:16.0,,,24-35,,C. Miles misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by K. Birch,,24-35,,
11:03.0,B. Biyombo makes 2-pt shot from 8 ft,2,26-35,,
10:38.0,,,26-38,3,C. Miles makes 3-pt shot from 29 ft (assist by D. Wright)
10:20.0,M. Hezonja enters the game for J. Artis,,26-38,,
10:20.0,,,26-38,,N. Powell enters the game for J. Poeltl
10:20.0,,,26-38,,S. Ibaka enters the game for D. Wright
10:14.0,Turnover by T. Ross (bad pass),,26-38,,
9:52.0,,,26-38,,Turnover by S. Ibaka (lost ball; steal by B. Biyombo)
9:49.0,M. Hezonja makes 2-pt shot at rim (assist by T. Ross),2,28-38,,
9:49.0,Shooting foul by P. Siakam (drawn by M. Hezonja),,28-38,,
9:49.0,R. Purvis enters the game for T. Ross,,28-38,,
9:49.0,M. Hezonja makes free throw 1 of 1,1,29-38,,
9:41.0,,,29-38,,Shooting foul by M. Hezonja (drawn by C. Miles)
9:41.0,,,29-38,,C. Miles misses free throw 1 of 3
9:41.0,,,29-38,,Offensive rebound by Team
9:41.0,,,29-39,1,C. Miles makes free throw 2 of 3
9:41.0,,,29-40,1,C. Miles makes free throw 3 of 3
9:26.0,K. Birch makes 2-pt shot at rim (assist by M. Hezonja),2,31-40,,
9:11.0,,,31-40,,N. Powell misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by K. Birch,,31-40,,
9:01.0,S. Mack misses 2-pt shot from 12 ft,,31-40,,
8:56.0,,,31-40,,Defensive rebound by S. Ibaka
8:47.0,,,31-40,,C. Miles misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by M. Hezonja,,31-40,,
8:31.0,K. Birch misses 2-pt shot from 7 ft,,31-40,,
8:28.0,,,31-40,,Defensive rebound by P. Siakam
8:08.0,,,31-43,3,N. Powell makes 3-pt shot from 23 ft (assist by F. VanVleet)
8:00.0,Orlando full timeout,,31-43,,
8:00.0,,,31-43,,O. Anunoby enters the game for P. Siakam
8:00.0,N. Vucevic enters the game for B. Biyombo,,31-43,,
7:46.0,K. Birch makes 2-pt shot from 5 ft (assist by S. Mack),2,33-43,,
7:31.0,,,33-46,3,S. Ibaka makes 3-pt shot from 23 ft (assist by F. VanVleet)
7:18.0,R. Purvis makes 2-pt shot from 14 ft (assist by N. Vucevic),2,35-46,,
7:04.0,,,35-46,,F. VanVleet misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by K. Birch,,35-46,,
6:56.0,N. Vucevic misses 2-pt shot at rim (block by S. Ibaka),,35-46,,
6:53.0,Offensive rebound by K. Birch,,35-46,,
6:52.0,K. Birch misses 2-pt shot from 1 ft (block by F. VanVleet),,35-46,,
6:47.0,,,35-46,,Defensive rebound by S. Ibaka
6:46.0,,,35-46,,C. Miles misses 3-pt shot from 27 ft
6:46.0,Defensive rebound by K. Birch,,35-46,,
6:33.0,S. Mack makes 2-pt shot from 1 ft,2,37-46,,
6:17.0,,,37-46,,Turnover by F. VanVleet (lost ball; steal by S. Mack)
6:13.0,S. Mack makes 2-pt shot at rim,2,39-46,,
6:06.0,,,39-46,,Toronto full timeout
6:06.0,,,39-46,,K. Lowry enters the game for F. VanVleet
5:58.0,,,39-46,,Shooting foul by R. Purvis (drawn by C. Miles)
5:58.0,,,39-47,1,C. Miles makes free throw 1 of 3
5:58.0,,,39-48,1,C. Miles makes free throw 2 of 3
5:58.0,,,39-49,1,C. Miles makes free throw 3 of 3
5:47.0,N. Vucevic misses 2-pt shot from 18 ft,,39-49,,
5:44.0,Offensive rebound by M. Hezonja,,39-49,,
5:43.0,M. Hezonja makes 2-pt shot at rim,2,41-49,,
5:32.0,Violation by N. Vucevic (kicked ball),,41-49,,
5:20.0,,,41-52,3,N. Powell makes 3-pt shot from 26 ft (assist by S. Ibaka)
5:03.0,,,41-52,,Personal foul by O. Anunoby (drawn by K. Birch)
4:53.0,S. Mack makes 2-pt shot from 1 ft (assist by N. Vucevic),2,43-52,,
4:34.0,,,43-52,,S. Ibaka misses 2-pt shot from 6 ft
4:31.0,Defensive rebound by N. Vucevic,,43-52,,
4:25.0,R. Purvis misses 3-pt shot from 27 ft,,43-52,,
4:21.0,,,43-52,,Defensive rebound by N. Powell
4:16.0,,,43-52,,C. Miles misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by N. Vucevic,,43-52,,
3:56.0,S. Mack misses 3-pt shot from 25 ft,,43-52,,
3:52.0,,,43-52,,Defensive rebound by S. Ibaka
3:47.0,,,43-54,2,K. Lowry makes 2-pt shot from 4 ft
3:47.0,,,43-54,,Shooting foul by M. Hezonja (drawn by K. Lowry)
3:47.0,A. Gordon enters the game for S. Mack,,43-54,,
3:47.0,J. Artis enters the game for M. Hezonja,,43-54,,
3:47.0,D. Augustin enters the game for K. Birch,,43-54,,
3:47.0,,,43-55,1,K. Lowry makes free throw 1 of 1
3:26.0,N. Vucevic misses 2-pt shot from 13 ft,,43-55,,
3:24.0,,,43-55,,Defensive rebound by O. Anunoby
3:19.0,,,43-55,,N. Powell misses 3-pt shot from 27 ft
3:16.0,Defensive rebound by R. Purvis,,43-55,,
3:00.0,J. Artis misses 3-pt shot from 22 ft,,43-55,,
2:57.0,,,43-55,,Defensive rebound by C. Miles
2:56.0,,,43-55,,Offensive foul by S. Ibaka (drawn by J. Artis)
2:56.0,,,43-55,,Turnover by S. Ibaka (offensive foul)
2:56.0,,,43-55,,J. Poeltl enters the game for C. Miles
2:39.0,N. Vucevic misses 2-pt shot from 3 ft,,43-55,,
2:37.0,,,43-55,,Defensive rebound by J. Poeltl
2:30.0,,,43-55,,N. Powell misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by N. Vucevic,,43-55,,
2:18.0,Turnover by D. Augustin (bad pass; steal by K. Lowry),,43-55,,
2:15.0,,,43-57,2,O. Anunoby makes 2-pt shot from 1 ft
2:15.0,,,43-57,,Shooting foul by R. Purvis (drawn by O. Anunoby)
2:15.0,W. Iwundu enters the game for R. Purvis,,43-57,,
2:15.0,,,43-58,1,O. Anunoby makes free throw 1 of 1
2:01.0,D. Augustin misses 2-pt shot from 3 ft,,43-58,,
1:59.0,,,43-58,,Defensive rebound by J. Poeltl
1:55.0,,,43-58,,K. Lowry misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by N. Vucevic,,43-58,,
1:46.0,,,43-58,,Personal foul by O. Anunoby (drawn by D. Augustin)
1:46.0,,,43-58,,P. Siakam enters the game for O. Anunoby
1:46.0,,,43-58,,D. Wright enters the game for S. Ibaka
1:37.0,J. Artis makes 2-pt shot from 2 ft (assist by D. Augustin),2,45-58,,
1:24.0,,,45-58,,Offensive foul by J. Poeltl (drawn by D. Augustin)
1:24.0,,,45-58,,Turnover by J. Poeltl (offensive foul)
1:08.0,A. Gordon misses 2-pt shot from 15 ft,,45-58,,
1:08.0,Offensive rebound by Team,,45-58,,
1:08.0,,,45-58,,Loose ball foul by K. Lowry (drawn by J. Artis)
1:08.0,J. Artis misses free throw 1 of 2,,45-58,,
1:08.0,Offensive rebound by Team,,45-58,,
1:08.0,J. Artis makes free throw 2 of 2,1,46-58,,
0:53.0,,,46-58,,Shooting foul by W. Iwundu (drawn by D. Wright)
0:53.0,,,46-59,1,D. Wright makes free throw 1 of 2
0:53.0,S. Mack enters the game for W. Iwundu,,46-59,,
0:53.0,,,46-59,,D. Wright misses free throw 2 of 2
0:51.0,Defensive rebound by N. Vucevic,,46-59,,
0:37.0,S. Mack makes 3-pt shot from 23 ft (assist by A. Gordon),3,49-59,,
0:22.0,,,49-61,2,J. Poeltl makes 2-pt shot from 1 ft
0:00.0,Shooting foul by P. Siakam (drawn by A. Gordon),,49-61,,
0:00.0,A. Gordon misses free throw 1 of 3,,49-61,,
0:00.0,Offensive rebound by Team,,49-61,,
0:00.0,A. Gordon makes free throw 2 of 3,1,50-61,,
0:00.0,A. Gordon misses free throw 3 of 3,,50-61,,
0:00.0,,,50-61,,Defensive rebound by D. Wright
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Gordon misses 2-pt shot from 2 ft,,50-61,,
11:39.0,,,50-61,,Defensive rebound by S. Ibaka
11:36.0,,,50-61,,N. Powell misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by M. Hezonja,,50-61,,
11:17.0,D. Augustin makes 2-pt shot from 16 ft,2,52-61,,
11:02.0,,,52-61,,K. Lowry misses 3-pt shot from 27 ft
11:00.0,Defensive rebound by W. Iwundu,,52-61,,
10:52.0,A. Gordon misses 3-pt shot from 26 ft,,52-61,,
10:48.0,,,52-61,,Defensive rebound by N. Powell
10:36.0,,,52-61,,Turnover by J. Poeltl (bad pass; steal by A. Gordon)
10:31.0,W. Iwundu misses 2-pt shot at rim,,52-61,,
10:29.0,,,52-61,,Defensive rebound by S. Ibaka
10:23.0,,,52-64,3,O. Anunoby makes 3-pt shot from 26 ft (assist by J. Poeltl)
9:57.0,D. Augustin misses 2-pt shot from 4 ft,,52-64,,
9:54.0,Offensive rebound by D. Augustin,,52-64,,
9:52.0,Turnover by D. Augustin (lost ball; steal by N. Powell),,52-64,,
9:38.0,Personal foul by M. Hezonja (drawn by N. Powell),,52-64,,
9:38.0,J. Artis enters the game for M. Hezonja,,52-64,,
9:32.0,,,52-64,,Turnover by K. Lowry (bad pass; steal by J. Artis)
9:25.0,W. Iwundu makes 2-pt shot at rim (assist by D. Augustin),2,54-64,,
9:02.0,,,54-67,3,O. Anunoby makes 3-pt shot from 22 ft (assist by N. Powell)
8:48.0,J. Artis makes 2-pt shot from 1 ft (assist by A. Gordon),2,56-67,,
8:37.0,,,56-67,,S. Ibaka misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by W. Iwundu,,56-67,,
8:21.0,Turnover by J. Artis (lost ball; steal by N. Powell),,56-67,,
8:16.0,,,56-67,,Turnover by N. Powell (lost ball; steal by A. Gordon)
8:10.0,J. Artis misses 2-pt shot from 1 ft (block by O. Anunoby),,56-67,,
8:06.0,,,56-67,,Defensive rebound by J. Poeltl
8:05.0,,,56-67,,N. Powell misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by A. Gordon,,56-67,,
8:02.0,,,56-67,,Personal foul by K. Lowry (drawn by A. Gordon)
7:42.0,N. Vucevic makes 2-pt shot from 17 ft,2,58-67,,
7:29.0,,,58-67,,K. Lowry misses 3-pt shot from 28 ft
7:26.0,Defensive rebound by N. Vucevic,,58-67,,
7:22.0,D. Augustin misses 3-pt shot from 27 ft,,58-67,,
7:19.0,,,58-67,,Defensive rebound by N. Powell
6:58.0,,,58-69,2,O. Anunoby makes 2-pt shot at rim (assist by N. Powell)
6:39.0,N. Vucevic makes 2-pt shot at rim,2,60-69,,
6:39.0,,,60-69,,Toronto full timeout
6:39.0,,,60-69,,P. Siakam enters the game for S. Ibaka
6:39.0,,,60-69,,C. Miles enters the game for N. Powell
6:25.0,,,60-69,,Turnover by K. Lowry (bad pass; steal by A. Gordon)
6:20.0,A. Gordon makes 2-pt shot from 2 ft,2,62-69,,
6:10.0,,,62-71,2,J. Poeltl makes 2-pt shot from 2 ft (assist by C. Miles)
5:44.0,A. Gordon makes 3-pt shot from 29 ft,3,65-71,,
5:21.0,,,65-73,2,C. Miles makes 2-pt shot from 6 ft
5:01.0,J. Artis misses 3-pt shot from 25 ft,,65-73,,
4:59.0,Offensive rebound by N. Vucevic,,65-73,,
4:57.0,N. Vucevic makes 2-pt shot from 2 ft,2,67-73,,
4:46.0,,,67-73,,Shooting foul by N. Vucevic (drawn by J. Poeltl)
4:46.0,,,67-74,1,J. Poeltl makes free throw 1 of 2
4:46.0,,,67-74,,J. Poeltl misses free throw 2 of 2
4:43.0,Defensive rebound by J. Artis,,67-74,,
4:22.0,A. Gordon makes 3-pt shot from 26 ft (assist by J. Artis),3,70-74,,
4:09.0,,,70-76,2,K. Lowry makes 2-pt shot from 18 ft (assist by C. Miles)
3:57.0,B. Biyombo enters the game for N. Vucevic,,70-76,,
3:57.0,,,70-76,,S. Ibaka enters the game for J. Poeltl
3:52.0,A. Gordon misses 3-pt shot from 25 ft,,70-76,,
3:49.0,,,70-76,,Defensive rebound by C. Miles
3:42.0,,,70-79,3,O. Anunoby makes 3-pt shot from 23 ft (assist by S. Ibaka)
3:41.0,Orlando full timeout,,70-79,,
3:41.0,S. Mack enters the game for D. Augustin,,70-79,,
3:22.0,B. Biyombo makes 2-pt shot at rim (assist by S. Mack),2,72-79,,
3:08.0,,,72-82,3,C. Miles makes 3-pt shot from 26 ft (assist by K. Lowry)
2:42.0,A. Gordon makes 2-pt shot from 14 ft,2,74-82,,
2:30.0,,,74-84,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Lowry)
2:14.0,B. Biyombo misses 2-pt shot from 14 ft,,74-84,,
2:11.0,,,74-84,,Defensive rebound by O. Anunoby
1:55.0,,,74-84,,S. Ibaka misses 2-pt shot from 15 ft
1:52.0,,,74-84,,Offensive rebound by P. Siakam
1:50.0,,,74-84,,P. Siakam misses 2-pt shot from 1 ft (block by A. Gordon)
1:50.0,,,74-84,,Offensive rebound by Team
1:50.0,T. Ross enters the game for W. Iwundu,,74-84,,
1:37.0,,,74-86,2,S. Ibaka makes 2-pt shot from 11 ft (assist by K. Lowry)
1:21.0,,,74-86,,Personal foul by K. Lowry (drawn by B. Biyombo)
1:21.0,,,74-86,,D. Wright enters the game for K. Lowry
1:14.0,B. Biyombo misses 2-pt shot from 1 ft (block by S. Ibaka),,74-86,,
1:11.0,,,74-86,,Defensive rebound by O. Anunoby
1:02.0,,,74-86,,P. Siakam misses 2-pt shot from 1 ft (block by B. Biyombo)
0:59.0,Defensive rebound by J. Artis,,74-86,,
0:58.0,Turnover by T. Ross (bad pass; steal by D. Wright),,74-86,,
0:51.0,,,74-89,3,C. Miles makes 3-pt shot from 22 ft (assist by P. Siakam)
0:37.0,T. Ross misses 3-pt shot from 25 ft,,74-89,,
0:34.0,,,74-89,,Defensive rebound by P. Siakam
0:26.0,,,74-89,,C. Miles misses 2-pt shot from 20 ft
0:25.0,Defensive rebound by S. Mack,,74-89,,
0:04.0,A. Gordon misses 3-pt shot from 27 ft,,74-89,,
0:02.0,,,74-89,,Defensive rebound by O. Anunoby
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-92,3,N. Powell makes 3-pt shot from 26 ft (assist by P. Siakam)
11:23.0,T. Ross makes 3-pt shot from 25 ft,3,77-92,,
11:00.0,,,77-92,,S. Ibaka misses 2-pt shot from 18 ft (block by B. Biyombo)
10:57.0,,,77-92,,Offensive rebound by S. Ibaka
10:55.0,,,77-92,,N. Powell misses 3-pt shot from 25 ft
10:55.0,,,77-92,,Offensive rebound by P. Siakam
10:44.0,,,77-92,,P. Siakam misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by K. Birch,,77-92,,
10:35.0,S. Mack makes 2-pt shot from 9 ft,2,79-92,,
10:15.0,,,79-92,,D. Wright misses 2-pt shot from 7 ft
10:14.0,Defensive rebound by B. Biyombo,,79-92,,
9:56.0,M. Hezonja misses 2-pt shot from 5 ft,,79-92,,
9:53.0,,,79-92,,Defensive rebound by P. Siakam
9:47.0,,,79-92,,C. Miles misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by B. Biyombo,,79-92,,
9:33.0,T. Ross misses 3-pt shot from 29 ft,,79-92,,
9:29.0,,,79-92,,Defensive rebound by D. Wright
9:12.0,,,79-94,2,S. Ibaka makes 2-pt shot from 18 ft (assist by N. Powell)
9:11.0,Orlando full timeout,,79-94,,
9:11.0,R. Purvis enters the game for T. Ross,,79-94,,
8:56.0,M. Hezonja misses 2-pt shot from 11 ft,,79-94,,
8:54.0,,,79-94,,Defensive rebound by N. Powell
8:34.0,,,79-94,,C. Miles misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by B. Biyombo,,79-94,,
8:20.0,Turnover by S. Mack (bad pass; steal by N. Powell),,79-94,,
8:17.0,,,79-96,2,N. Powell makes 2-pt shot from 1 ft
8:00.0,B. Biyombo misses 2-pt shot from 10 ft,,79-96,,
8:00.0,Offensive rebound by K. Birch,,79-96,,
7:59.0,K. Birch makes 2-pt shot from 2 ft,2,81-96,,
7:59.0,Shooting foul by D. Wright (drawn by K. Birch),,81-96,,
7:59.0,K. Birch misses free throw 1 of 1,,81-96,,
7:49.0,Offensive rebound by K. Birch,,81-96,,
7:47.0,M. Hezonja misses 2-pt shot from 3 ft,,81-96,,
7:47.0,,,81-96,,Defensive rebound by D. Wright
7:38.0,,,81-99,3,D. Wright makes 3-pt shot from 23 ft (assist by N. Powell)
7:24.0,K. Birch misses 2-pt shot from 5 ft,,81-99,,
7:21.0,,,81-99,,Defensive rebound by P. Siakam
7:19.0,,,81-99,,Shooting foul by S. Mack (drawn by P. Siakam)
7:19.0,,,81-99,,P. Siakam misses free throw 1 of 2
7:19.0,,,81-99,,Offensive rebound by Team
7:19.0,,,81-99,,P. Siakam misses free throw 2 of 2
7:16.0,Defensive rebound by K. Birch,,81-99,,
7:09.0,,,81-99,,Violation by D. Wright (kicked ball)
7:06.0,R. Purvis misses 2-pt shot from 21 ft,,81-99,,
7:03.0,,,81-99,,Defensive rebound by S. Ibaka
6:54.0,,,81-101,2,S. Ibaka makes 2-pt shot from 11 ft (assist by D. Wright)
6:54.0,,,81-101,,Shooting foul by S. Mack (drawn by S. Ibaka)
6:54.0,,,81-101,,K. Lowry enters the game for C. Miles
6:54.0,,,81-101,,O. Anunoby enters the game for N. Powell
6:54.0,J. Artis enters the game for B. Biyombo,,81-101,,
6:54.0,,,81-101,,S. Ibaka misses free throw 1 of 1
6:54.0,Defensive rebound by K. Birch,,81-101,,
6:40.0,R. Purvis misses 2-pt shot from 15 ft,,81-101,,
6:38.0,,,81-101,,Defensive rebound by D. Wright
6:21.0,,,81-103,2,P. Siakam makes 2-pt shot from 5 ft (assist by K. Lowry)
6:08.0,S. Mack misses 2-pt shot from 5 ft,,81-103,,
6:07.0,,,81-103,,Defensive rebound by K. Lowry
6:01.0,,,81-103,,O. Anunoby misses 3-pt shot from 24 ft
6:00.0,,,81-103,,Offensive rebound by Team
6:00.0,Loose ball foul by R. Purvis (drawn by P. Siakam),,81-103,,
6:00.0,W. Iwundu enters the game for S. Mack,,81-103,,
6:00.0,,,81-103,,J. Poeltl enters the game for S. Ibaka
5:45.0,,,81-103,,D. Wright misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by K. Birch,,81-103,,
5:38.0,K. Birch makes 2-pt shot at rim (assist by R. Purvis),2,83-103,,
5:14.0,,,83-103,,P. Siakam misses 2-pt shot from 5 ft
5:14.0,Defensive rebound by J. Artis,,83-103,,
5:09.0,R. Purvis makes 2-pt shot from 1 ft (assist by M. Hezonja),2,85-103,,
4:46.0,,,85-103,,D. Wright misses 2-pt shot from 1 ft
4:45.0,Defensive rebound by R. Purvis,,85-103,,
4:39.0,W. Iwundu misses 3-pt shot from 22 ft,,85-103,,
4:36.0,,,85-103,,Defensive rebound by P. Siakam
4:30.0,,,85-103,,K. Lowry misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by R. Purvis,,85-103,,
4:17.0,W. Iwundu makes 2-pt shot from 2 ft,2,87-103,,
4:17.0,Shooting foul by J. Poeltl (drawn by W. Iwundu),,87-103,,
4:17.0,W. Iwundu misses free throw 1 of 1,,87-103,,
4:17.0,,,87-103,,Defensive rebound by J. Poeltl
4:03.0,,,87-103,,Shooting foul by K. Birch (drawn by O. Anunoby)
4:03.0,,,87-104,1,O. Anunoby makes free throw 1 of 2
4:03.0,,,87-104,,O. Anunoby misses free throw 2 of 2
4:00.0,Defensive rebound by K. Birch,,87-104,,
