time,Washington,pts.away,score,pts.home,Milwaukee
5:35.0,Defensive rebound by M. Morris,,24-5,,
5:27.0,Turnover by T. Satoransky (bad pass; steal by G. Antetokounmpo),,24-5,,
5:25.0,Personal take foul by T. Satoransky (drawn by G. Antetokounmpo),,24-5,,
5:18.0,,,24-5,,Turnover by T. Maker (bad pass; steal by T. Satoransky)
5:15.0,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky),2,26-5,,
5:15.0,Shooting foul by S. Brown (drawn by B. Beal),,26-5,,
5:15.0,,,26-5,,Milwaukee full timeout
5:15.0,B. Beal misses free throw 1 of 1,,26-5,,
5:12.0,,,26-5,,Defensive rebound by T. Maker
5:06.0,,,26-5,,Shooting foul by M. Morris (drawn by K. Middleton)
5:06.0,,,26-6,1,K. Middleton makes free throw 1 of 2
5:06.0,,,26-7,1,K. Middleton makes free throw 2 of 2
4:41.0,Turnover by Team (shot clock),,26-7,,
4:34.0,Personal foul by M. Gortat (drawn by T. Maker),,26-7,,
4:29.0,,,26-10,3,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by K. Middleton)
4:09.0,M. Morris makes 2-pt shot from 1 ft,2,28-10,,
3:56.0,,,28-10,,Turnover by G. Antetokounmpo (bad pass; steal by B. Beal)
3:52.0,B. Beal misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,28-10,,
3:48.0,Offensive rebound by O. Porter,,28-10,,
3:47.0,O. Porter misses 2-pt shot from 1 ft,,28-10,,
3:47.0,Offensive rebound by B. Beal,,28-10,,
3:43.0,B. Beal makes 2-pt shot at rim,2,30-10,,
3:35.0,,,30-12,2,S. Brown makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
3:17.0,B. Beal makes 2-pt shot from 18 ft,2,32-12,,
3:04.0,,,32-14,2,T. Maker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
2:52.0,B. Beal misses 3-pt shot from 26 ft,,32-14,,
2:50.0,,,32-14,,Defensive rebound by K. Middleton
2:48.0,,,32-14,,Shooting foul by T. Satoransky (drawn by G. Antetokounmpo)
2:48.0,,,32-15,1,G. Antetokounmpo makes free throw 1 of 2
2:48.0,,,32-15,,J. Parker enters the game for T. Maker
2:48.0,M. Scott enters the game for M. Morris,,32-15,,
2:48.0,K. Oubre enters the game for M. Gortat,,32-15,,
2:48.0,I. Mahinmi enters the game for O. Porter,,32-15,,
2:48.0,T. Frazier enters the game for T. Satoransky,,32-15,,
2:48.0,,,32-16,1,G. Antetokounmpo makes free throw 2 of 2
2:38.0,I. Mahinmi misses 2-pt shot from 5 ft (block by G. Antetokounmpo),,32-16,,
2:38.0,Offensive rebound by Team,,32-16,,
2:24.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Scott),2,34-16,,
2:14.0,,,34-18,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
1:56.0,M. Scott misses 2-pt shot from 2 ft,,34-18,,
1:56.0,,,34-18,,Defensive rebound by Team
1:49.0,,,34-18,,J. Terry misses 3-pt shot from 22 ft
1:47.0,Defensive rebound by M. Scott,,34-18,,
1:36.0,,,34-18,,Personal foul by K. Middleton (drawn by I. Mahinmi)
1:36.0,,,34-18,,T. Maker enters the game for K. Middleton
1:36.0,,,34-18,,E. Bledsoe enters the game for G. Antetokounmpo
1:36.0,J. Meeks enters the game for B. Beal,,34-18,,
1:22.0,M. Scott misses 2-pt shot from 16 ft,,34-18,,
1:20.0,,,34-18,,Defensive rebound by S. Brown
1:14.0,,,34-18,,Turnover by S. Brown (bad pass; steal by K. Oubre)
1:14.0,,,34-18,,Personal foul by S. Brown (drawn by K. Oubre)
1:14.0,K. Oubre makes free throw 1 of 2,1,35-18,,
1:14.0,K. Oubre makes free throw 2 of 2,1,36-18,,
1:01.0,,,36-20,2,J. Parker makes 2-pt shot from 14 ft
0:47.0,,,36-20,,Personal foul by E. Bledsoe (drawn by T. Frazier)
0:47.0,T. Frazier makes free throw 1 of 2,1,37-20,,
0:47.0,T. Frazier makes free throw 2 of 2,1,38-20,,
0:35.0,,,38-20,,T. Maker misses 2-pt shot from 2 ft (block by T. Frazier)
0:32.0,Defensive rebound by I. Mahinmi,,38-20,,
0:32.0,K. Oubre makes 2-pt shot at rim (assist by T. Frazier),2,40-20,,
0:24.0,,,40-20,,Shooting foul by M. Scott (drawn by S. Brown)
0:24.0,,,40-21,1,S. Brown makes free throw 1 of 2
0:24.0,,,40-22,1,S. Brown makes free throw 2 of 2
0:06.0,Turnover by T. Frazier (traveling),,40-22,,
0:00.0,,,40-22,,S. Brown misses 3-pt shot from 23 ft
0:00.0,,,40-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,40-24,2,J. Parker makes 2-pt shot from 19 ft (assist by J. Terry)
11:27.0,K. Oubre misses 2-pt shot from 19 ft,,40-24,,
11:24.0,,,40-24,,Defensive rebound by J. Terry
11:19.0,,,40-24,,Turnover by E. Bledsoe (bad pass)
10:57.0,M. Scott misses 2-pt shot from 3 ft,,40-24,,
10:56.0,Offensive rebound by Team,,40-24,,
10:55.0,Shooting foul by J. Terry (drawn by J. Meeks),,40-24,,
10:55.0,J. Meeks misses free throw 1 of 2,,40-24,,
10:55.0,Offensive rebound by Team,,40-24,,
10:55.0,J. Meeks makes free throw 2 of 2,1,41-24,,
10:39.0,,,41-24,,Shooting foul by K. Oubre (drawn by J. Parker)
10:39.0,,,41-25,1,J. Parker makes free throw 1 of 2
10:39.0,,,41-26,1,J. Parker makes free throw 2 of 2
10:36.0,Turnover by M. Scott (bad pass; steal by E. Bledsoe),,41-26,,
10:22.0,,,41-26,,S. Brown misses 2-pt shot from 2 ft
10:16.0,,,41-26,,Offensive rebound by T. Zeller
10:16.0,,,41-26,,T. Zeller misses 2-pt shot at rim
10:15.0,Defensive rebound by K. Oubre,,41-26,,
10:09.0,J. Meeks misses 2-pt shot from 7 ft (block by T. Zeller),,41-26,,
10:05.0,,,41-26,,Defensive rebound by J. Parker
10:00.0,,,41-28,2,E. Bledsoe makes 2-pt shot from 1 ft
10:00.0,Washington full timeout,,41-28,,
10:00.0,,,41-28,,S. Kilpatrick enters the game for S. Brown
9:44.0,T. Frazier misses 2-pt shot from 3 ft,,41-28,,
9:41.0,,,41-28,,Defensive rebound by J. Parker
9:36.0,,,41-28,,S. Kilpatrick misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by I. Mahinmi,,41-28,,
9:23.0,K. Oubre makes 2-pt shot from 1 ft,2,43-28,,
9:05.0,Personal foul by K. Oubre (drawn by S. Kilpatrick),,43-28,,
9:00.0,,,43-31,3,J. Parker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
8:38.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Frazier),2,45-31,,
8:18.0,,,45-33,2,E. Bledsoe makes 2-pt shot from 7 ft
7:58.0,K. Oubre makes 2-pt shot from 3 ft,2,47-33,,
7:43.0,,,47-36,3,J. Parker makes 3-pt shot from 25 ft (assist by J. Terry)
7:27.0,J. Meeks makes 3-pt shot from 26 ft (assist by M. Scott),3,50-36,,
7:15.0,,,50-36,,G. Antetokounmpo enters the game for J. Terry
7:15.0,O. Porter enters the game for I. Mahinmi,,50-36,,
7:15.0,M. Morris enters the game for M. Scott,,50-36,,
7:10.0,,,50-36,,J. Parker misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by M. Morris,,50-36,,
6:50.0,T. Frazier misses 2-pt shot from 17 ft,,50-36,,
6:47.0,Offensive rebound by O. Porter,,50-36,,
6:43.0,O. Porter makes 3-pt shot from 26 ft,3,53-36,,
6:43.0,,,53-36,,Milwaukee full timeout
6:43.0,,,53-36,,K. Middleton enters the game for S. Kilpatrick
6:43.0,B. Beal enters the game for T. Frazier,,53-36,,
6:31.0,,,53-36,,T. Zeller misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by O. Porter,,53-36,,
6:07.0,M. Morris misses 2-pt shot from 14 ft,,53-36,,
6:04.0,,,53-36,,Defensive rebound by G. Antetokounmpo
5:55.0,,,53-39,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
5:37.0,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal),3,56-39,,
5:18.0,,,56-41,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:55.0,J. Meeks makes 2-pt shot from 2 ft (assist by M. Morris),2,58-41,,
4:33.0,,,58-43,2,K. Middleton makes 2-pt shot from 10 ft
4:15.0,B. Beal misses 2-pt shot from 14 ft,,58-43,,
4:12.0,,,58-43,,Defensive rebound by K. Middleton
4:04.0,Shooting block foul by K. Oubre (drawn by G. Antetokounmpo),,58-43,,
4:04.0,,,58-44,1,G. Antetokounmpo makes free throw 1 of 2
4:04.0,,,58-44,,J. Henson enters the game for J. Parker
4:04.0,,,58-44,,T. Snell enters the game for T. Zeller
4:04.0,T. Satoransky enters the game for K. Oubre,,58-44,,
4:04.0,M. Gortat enters the game for J. Meeks,,58-44,,
4:04.0,,,58-45,1,G. Antetokounmpo makes free throw 2 of 2
3:36.0,O. Porter misses 3-pt shot from 27 ft,,58-45,,
3:34.0,Offensive rebound by M. Morris,,58-45,,
3:33.0,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Morris),2,60-45,,
3:04.0,,,60-45,,K. Middleton misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by M. Gortat,,60-45,,
2:46.0,O. Porter makes 2-pt shot at rim (assist by M. Morris),2,62-45,,
2:24.0,,,62-45,,E. Bledsoe misses 2-pt shot from 12 ft
2:21.0,Defensive rebound by B. Beal,,62-45,,
2:14.0,Shooting foul by K. Middleton (drawn by M. Gortat),,62-45,,
2:14.0,M. Gortat makes free throw 1 of 2,1,63-45,,
2:14.0,M. Gortat makes free throw 2 of 2,1,64-45,,
1:54.0,,,64-45,,T. Snell misses 3-pt shot from 26 ft
1:53.0,,,64-45,,Offensive rebound by J. Henson
1:50.0,,,64-45,,J. Henson misses 2-pt shot from 7 ft
1:50.0,,,64-45,,Offensive rebound by Team
1:50.0,,,64-45,,J. Parker enters the game for K. Middleton
1:48.0,,,64-45,,Turnover by Team (shot clock)
1:35.0,M. Gortat misses 2-pt shot from 3 ft,,64-45,,
1:33.0,,,64-45,,Defensive rebound by G. Antetokounmpo
1:30.0,,,64-47,2,G. Antetokounmpo makes 2-pt shot at rim
1:14.0,Turnover by B. Beal (bad pass; steal by G. Antetokounmpo),,64-47,,
1:14.0,Personal foul by O. Porter (drawn by G. Antetokounmpo),,64-47,,
1:10.0,,,64-49,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:53.0,O. Porter misses 3-pt shot from 25 ft,,64-49,,
0:50.0,,,64-49,,Defensive rebound by G. Antetokounmpo
0:38.0,,,64-49,,Shooting foul by T. Satoransky (drawn by G. Antetokounmpo)
0:38.0,,,64-49,,G. Antetokounmpo misses free throw 1 of 2
0:38.0,,,64-49,,Offensive rebound by Team
0:38.0,J. Meeks enters the game for T. Satoransky,,64-49,,
0:38.0,,,64-50,1,G. Antetokounmpo makes free throw 2 of 2
0:31.0,B. Beal misses 3-pt shot from 26 ft,,64-50,,
0:27.0,,,64-50,,Defensive rebound by G. Antetokounmpo
0:16.0,,,64-50,,Turnover by E. Bledsoe (bad pass; steal by O. Porter)
0:01.0,M. Gortat misses 2-pt shot from 14 ft,,64-50,,
0:01.0,Offensive rebound by O. Porter,,64-50,,
0:00.0,O. Porter misses 2-pt shot at rim,,64-50,,
0:00.0,Offensive rebound by Team,,64-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,64-50,,K. Middleton misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by O. Porter,,64-50,,
11:29.0,M. Morris misses 3-pt shot from 25 ft,,64-50,,
11:26.0,,,64-50,,Defensive rebound by K. Middleton
11:22.0,,,64-52,2,K. Middleton makes 2-pt shot from 1 ft
11:00.0,Turnover by T. Satoransky (bad pass; steal by K. Middleton),,64-52,,
10:57.0,,,64-54,2,K. Middleton makes 2-pt shot at rim
10:40.0,T. Satoransky makes 2-pt shot from 4 ft (assist by B. Beal),2,66-54,,
10:31.0,Personal foul by B. Beal (drawn by T. Snell),,66-54,,
10:22.0,,,66-54,,E. Bledsoe misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by M. Gortat,,66-54,,
10:12.0,T. Satoransky misses 3-pt shot from 27 ft,,66-54,,
10:08.0,,,66-54,,Defensive rebound by G. Antetokounmpo
9:59.0,,,66-56,2,G. Antetokounmpo makes 2-pt shot from 8 ft
9:43.0,O. Porter misses 2-pt shot from 16 ft,,66-56,,
9:41.0,,,66-56,,Defensive rebound by G. Antetokounmpo
9:36.0,,,66-56,,G. Antetokounmpo misses 2-pt shot from 5 ft (block by O. Porter)
9:33.0,Defensive rebound by B. Beal,,66-56,,
9:30.0,T. Satoransky makes 2-pt shot at rim (assist by B. Beal),2,68-56,,
9:15.0,,,68-59,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by K. Middleton)
9:11.0,Washington full timeout,,68-59,,
8:50.0,M. Gortat makes 2-pt shot from 4 ft,2,70-59,,
8:38.0,,,70-61,2,E. Bledsoe makes 2-pt shot at rim
8:17.0,M. Gortat misses 2-pt shot from 7 ft,,70-61,,
8:14.0,,,70-61,,Defensive rebound by J. Henson
8:09.0,,,70-63,2,K. Middleton makes 2-pt shot from 8 ft (assist by E. Bledsoe)
8:09.0,,,70-63,,Shooting foul by T. Satoransky (drawn by K. Middleton)
8:09.0,T. Frazier enters the game for T. Satoransky,,70-63,,
8:09.0,,,70-64,1,K. Middleton makes free throw 1 of 1
7:53.0,Turnover by M. Morris (bad pass; steal by J. Henson),,70-64,,
7:45.0,,,70-64,,Turnover by K. Middleton (bad pass; steal by O. Porter)
7:39.0,O. Porter misses 2-pt shot from 15 ft (block by T. Snell),,70-64,,
7:35.0,,,70-64,,Defensive rebound by G. Antetokounmpo
7:34.0,,,70-64,,Turnover by K. Middleton (bad pass)
7:18.0,O. Porter misses 2-pt shot from 9 ft,,70-64,,
7:15.0,,,70-64,,Defensive rebound by J. Henson
7:06.0,,,70-64,,Offensive foul by G. Antetokounmpo (drawn by M. Morris)
7:06.0,,,70-64,,Turnover by G. Antetokounmpo (offensive foul)
6:47.0,Turnover by B. Beal (bad pass; steal by G. Antetokounmpo),,70-64,,
6:45.0,,,70-64,,Shooting foul by O. Porter (drawn by G. Antetokounmpo)
6:45.0,,,70-64,,G. Antetokounmpo misses free throw 1 of 2
6:45.0,,,70-64,,Offensive rebound by Team
6:45.0,,,70-65,1,G. Antetokounmpo makes free throw 2 of 2
6:26.0,Turnover by B. Beal (lost ball; steal by T. Snell),,70-65,,
6:20.0,,,70-68,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by K. Middleton)
6:20.0,Washington full timeout,,70-68,,
6:20.0,,,70-68,,J. Parker enters the game for G. Antetokounmpo
5:59.0,B. Beal makes 2-pt shot from 10 ft,2,72-68,,
5:44.0,,,72-68,,E. Bledsoe misses 2-pt shot from 14 ft
5:41.0,Defensive rebound by M. Gortat,,72-68,,
5:29.0,B. Beal misses 2-pt shot from 18 ft,,72-68,,
5:27.0,,,72-68,,Defensive rebound by K. Middleton
5:25.0,,,72-68,,E. Bledsoe misses 2-pt shot from 1 ft
5:22.0,Defensive rebound by M. Morris,,72-68,,
5:20.0,T. Frazier makes 2-pt shot from 1 ft (assist by B. Beal),2,74-68,,
4:58.0,,,74-68,,Shooting foul by M. Gortat (drawn by T. Snell)
4:58.0,,,74-69,1,T. Snell makes free throw 1 of 2
4:58.0,,,74-70,1,T. Snell makes free throw 2 of 2
4:45.0,T. Frazier misses 3-pt shot from 27 ft,,74-70,,
4:41.0,,,74-70,,Defensive rebound by J. Parker
4:33.0,,,74-70,,Turnover by E. Bledsoe (bad pass; steal by O. Porter)
4:29.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,76-70,,
4:10.0,,,76-70,,J. Parker misses 2-pt shot from 3 ft (block by M. Morris)
4:06.0,Defensive rebound by T. Frazier,,76-70,,
4:04.0,O. Porter misses 2-pt shot from 1 ft,,76-70,,
4:04.0,,,76-70,,Defensive rebound by J. Henson
3:58.0,,,76-70,,Offensive charge foul by K. Middleton (drawn by M. Gortat)
3:58.0,,,76-70,,Turnover by K. Middleton (offensive foul)
3:58.0,,,76-70,,S. Brown enters the game for E. Bledsoe
3:58.0,,,76-70,,J. Terry enters the game for T. Snell
3:58.0,K. Oubre enters the game for M. Morris,,76-70,,
3:58.0,,,76-70,,G. Antetokounmpo enters the game for K. Middleton
3:43.0,,,76-70,,Personal foul by J. Henson (drawn by M. Gortat)
3:43.0,,,76-70,,T. Maker enters the game for J. Henson
3:43.0,I. Mahinmi enters the game for M. Gortat,,76-70,,
3:33.0,K. Oubre misses 2-pt shot from 17 ft,,76-70,,
3:33.0,Offensive rebound by Team,,76-70,,
3:20.0,,,76-72,2,J. Parker makes 2-pt shot from 12 ft
3:00.0,K. Oubre misses 2-pt shot from 9 ft,,76-72,,
3:00.0,Offensive rebound by I. Mahinmi,,76-72,,
2:58.0,Shooting foul by G. Antetokounmpo (drawn by I. Mahinmi),,76-72,,
2:58.0,I. Mahinmi misses free throw 1 of 2,,76-72,,
2:58.0,Offensive rebound by Team,,76-72,,
2:58.0,I. Mahinmi misses free throw 2 of 2,,76-72,,
2:55.0,,,76-72,,Defensive rebound by G. Antetokounmpo
2:33.0,,,76-72,,Turnover by G. Antetokounmpo (bad pass; steal by T. Frazier)
2:32.0,Shooting foul by J. Parker (drawn by T. Frazier),,76-72,,
2:32.0,T. Frazier makes free throw 1 of 2,1,77-72,,
2:32.0,M. Scott enters the game for O. Porter,,77-72,,
2:32.0,T. Frazier makes free throw 2 of 2,1,78-72,,
2:21.0,,,78-72,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by T. Frazier)
2:21.0,,,78-72,,Offensive rebound by Team
2:15.0,,,78-72,,Shooting foul by I. Mahinmi (drawn by T. Maker)
2:15.0,,,78-73,1,T. Maker makes free throw 1 of 2
2:15.0,,,78-74,1,T. Maker makes free throw 2 of 2
2:03.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal),2,80-74,,
2:03.0,Shooting foul by S. Brown (drawn by I. Mahinmi),,80-74,,
2:03.0,J. Meeks enters the game for B. Beal,,80-74,,
2:03.0,I. Mahinmi makes free throw 1 of 1,1,81-74,,
1:51.0,,,81-76,2,S. Brown makes 2-pt shot at rim (assist by T. Maker)
1:39.0,,,81-76,,Personal foul by T. Maker (drawn by T. Frazier)
1:39.0,T. Frazier makes free throw 1 of 2,1,82-76,,
1:39.0,T. Frazier makes free throw 2 of 2,1,83-76,,
1:19.0,,,83-76,,Shooting foul by I. Mahinmi (drawn by J. Parker)
1:19.0,,,83-77,1,J. Parker makes free throw 1 of 2
1:19.0,,,83-78,1,J. Parker makes free throw 2 of 2
0:57.0,,,83-78,,Personal foul by T. Maker (drawn by I. Mahinmi)
0:57.0,I. Mahinmi misses free throw 1 of 2,,83-78,,
0:57.0,Offensive rebound by Team,,83-78,,
0:57.0,I. Mahinmi makes free throw 2 of 2,1,84-78,,
0:40.0,,,84-78,,Offensive charge foul by G. Antetokounmpo (drawn by J. Meeks)
0:40.0,,,84-78,,Turnover by G. Antetokounmpo (offensive foul)
0:30.0,J. Meeks misses 3-pt shot from 26 ft,,84-78,,
0:27.0,,,84-78,,Defensive rebound by J. Terry
0:13.0,,,84-81,3,J. Terry makes 3-pt shot from 26 ft (assist by J. Parker)
0:02.0,I. Mahinmi misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,84-81,,
0:01.0,,,84-81,,Defensive rebound by J. Parker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,I. Mahinmi misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,84-81,,
11:41.0,Offensive rebound by I. Mahinmi,,84-81,,
11:37.0,M. Scott makes 2-pt shot from 13 ft (assist by I. Mahinmi),2,86-81,,
11:20.0,,,86-81,,G. Antetokounmpo misses 2-pt shot from 5 ft (block by K. Oubre)
11:19.0,Defensive rebound by K. Oubre,,86-81,,
11:17.0,Turnover by K. Oubre (lost ball; steal by T. Maker),,86-81,,
11:06.0,,,86-81,,G. Antetokounmpo misses 2-pt shot from 15 ft
11:03.0,Defensive rebound by T. Frazier,,86-81,,
10:58.0,K. Oubre misses 2-pt shot from 1 ft,,86-81,,
10:58.0,,,86-81,,Defensive rebound by Team
10:45.0,,,86-81,,Shooting foul by M. Scott (drawn by J. Parker)
10:45.0,,,86-81,,J. Parker misses free throw 1 of 2
10:45.0,,,86-81,,Offensive rebound by Team
10:45.0,,,86-82,1,J. Parker makes free throw 2 of 2
10:31.0,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre),2,88-82,,
10:13.0,,,88-85,3,J. Terry makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
9:56.0,K. Oubre misses 3-pt shot from 30 ft,,88-85,,
9:51.0,,,88-85,,Defensive rebound by G. Antetokounmpo
9:48.0,,,88-87,2,G. Antetokounmpo makes 2-pt shot at rim
9:47.0,Washington full timeout,,88-87,,
9:47.0,,,88-87,,K. Middleton enters the game for S. Brown
9:25.0,K. Oubre makes 2-pt shot from 4 ft (assist by T. Frazier),2,90-87,,
8:59.0,,,90-87,,J. Parker misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by T. Frazier,,90-87,,
8:43.0,M. Scott misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,90-87,,
8:39.0,,,90-87,,Defensive rebound by T. Maker
8:35.0,,,90-87,,J. Terry misses 3-pt shot from 22 ft
8:27.0,,,90-87,,Offensive rebound by J. Parker
8:27.0,,,90-87,,J. Parker misses 2-pt shot at rim
8:27.0,,,90-87,,Offensive rebound by K. Middleton
8:21.0,,,90-89,2,K. Middleton makes 2-pt shot at rim
8:07.0,J. Meeks makes 2-pt shot at rim (assist by I. Mahinmi),2,92-89,,
7:50.0,,,92-89,,Turnover by T. Maker (out of bounds lost ball)
7:50.0,,,92-89,,T. Snell enters the game for J. Terry
7:50.0,,,92-89,,E. Bledsoe enters the game for J. Parker
7:50.0,M. Morris enters the game for T. Frazier,,92-89,,
7:50.0,O. Porter enters the game for J. Meeks,,92-89,,
7:50.0,B. Beal enters the game for M. Scott,,92-89,,
7:34.0,Turnover by I. Mahinmi (bad pass; steal by T. Snell),,92-89,,
7:31.0,,,92-89,,Shooting foul by I. Mahinmi (drawn by E. Bledsoe)
7:31.0,,,92-90,1,E. Bledsoe makes free throw 1 of 3
7:31.0,,,92-90,,J. Henson enters the game for T. Maker
7:31.0,,,92-91,1,E. Bledsoe makes free throw 2 of 3
7:16.0,K. Oubre misses 3-pt shot from 26 ft,,92-91,,
7:12.0,Offensive rebound by B. Beal,,92-91,,
7:07.0,B. Beal makes 2-pt shot from 11 ft,2,94-91,,
6:40.0,,,94-91,,K. Middleton misses 2-pt shot from 4 ft
6:34.0,,,94-91,,Offensive rebound by G. Antetokounmpo
6:34.0,,,94-93,2,G. Antetokounmpo makes 2-pt shot at rim
6:18.0,O. Porter misses 3-pt shot from 27 ft,,94-93,,
6:15.0,,,94-93,,Defensive rebound by E. Bledsoe
6:12.0,,,94-93,,E. Bledsoe misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by B. Beal,,94-93,,
6:05.0,O. Porter misses 2-pt shot from 3 ft,,94-93,,
6:05.0,,,94-93,,Defensive rebound by J. Henson
5:59.0,Personal foul by B. Beal (drawn by G. Antetokounmpo),,94-93,,
5:52.0,,,94-93,,E. Bledsoe misses 3-pt shot from 24 ft
5:52.0,,,94-93,,Offensive rebound by G. Antetokounmpo
5:52.0,Personal foul by O. Porter (drawn by G. Antetokounmpo),,94-93,,
5:44.0,,,94-93,,K. Middleton misses 2-pt shot from 19 ft
5:44.0,Defensive rebound by K. Oubre,,94-93,,
5:30.0,B. Beal makes 2-pt shot from 10 ft,2,96-93,,
5:08.0,,,96-93,,G. Antetokounmpo misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by I. Mahinmi,,96-93,,
4:53.0,K. Oubre makes 2-pt shot from 1 ft,2,98-93,,
4:53.0,Shooting foul by J. Henson (drawn by K. Oubre),,98-93,,
4:53.0,M. Gortat enters the game for I. Mahinmi,,98-93,,
