time,Utah,pts.away,score,pts.home,Philadelphia
4:24.0,D. Mitchell makes free throw 1 of 2,1,10-13,,
4:24.0,R. Neto enters the game for J. Ingles,,10-13,,
4:24.0,D. Mitchell makes free throw 2 of 2,1,11-13,,
4:16.0,,,11-15,2,T. McConnell makes 2-pt shot from 8 ft
3:59.0,E. Udoh misses 2-pt shot from 10 ft,,11-15,,
3:57.0,,,11-15,,Defensive rebound by A. Johnson
3:45.0,,,11-15,,Turnover by J. Bayless (bad pass; steal by R. Hood)
3:28.0,R. Hood misses 3-pt shot from 25 ft,,11-15,,
3:25.0,,,11-15,,Defensive rebound by A. Johnson
3:17.0,,,11-15,,T. McConnell misses 2-pt shot from 4 ft (block by D. Mitchell)
3:17.0,,,11-15,,Offensive rebound by Team
3:17.0,,,11-15,,Philadelphia full timeout
3:17.0,,,11-15,,J. Redick enters the game for J. Bayless
3:17.0,,,11-15,,J. Embiid enters the game for A. Johnson
3:17.0,,,11-15,,D. Saric enters the game for R. Covington
3:17.0,A. Burks enters the game for D. Mitchell,,11-15,,
3:15.0,,,11-17,2,T. Luwawu-Cabarrot makes 2-pt shot from 11 ft (assist by T. McConnell)
2:54.0,A. Burks misses 2-pt shot from 6 ft,,11-17,,
2:54.0,,,11-17,,Defensive rebound by D. Saric
2:39.0,,,11-19,2,D. Saric makes 2-pt shot from 5 ft
2:17.0,E. Udoh makes 2-pt shot from 3 ft (assist by R. Hood),2,13-19,,
2:00.0,,,13-21,2,J. Embiid makes 2-pt shot from 14 ft
1:37.0,A. Burks misses 2-pt shot from 16 ft,,13-21,,
1:35.0,,,13-21,,Defensive rebound by D. Saric
1:27.0,,,13-23,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by D. Saric)
1:04.0,R. Hood misses 3-pt shot from 25 ft,,13-23,,
1:00.0,,,13-23,,Defensive rebound by D. Saric
0:53.0,,,13-23,,J. Embiid misses 3-pt shot from 22 ft
0:49.0,Defensive rebound by T. Sefolosha,,13-23,,
0:40.0,Shooting foul by D. Saric (drawn by T. Sefolosha),,13-23,,
0:40.0,T. Sefolosha makes free throw 1 of 2,1,14-23,,
0:40.0,T. Sefolosha makes free throw 2 of 2,1,15-23,,
0:31.0,,,15-23,,Shooting foul by R. Neto (drawn by T. McConnell)
0:31.0,,,15-24,1,T. McConnell makes free throw 1 of 2
0:31.0,,,15-25,1,T. McConnell makes free throw 2 of 2
0:13.0,T. Sefolosha misses 3-pt shot from 26 ft,,15-25,,
0:10.0,,,15-25,,Defensive rebound by J. Embiid
0:01.0,,,15-25,,J. Embiid misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by E. Udoh,,15-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Hood misses 3-pt shot from 25 ft,,15-25,,
11:40.0,,,15-25,,Defensive rebound by B. Simmons
11:29.0,Personal foul by R. Hood (drawn by B. Simmons),,15-25,,
11:19.0,,,15-25,,J. Embiid misses 2-pt shot from 8 ft
11:13.0,Defensive rebound by A. Burks,,15-25,,
11:05.0,A. Burks misses 2-pt shot from 4 ft,,15-25,,
11:02.0,Offensive rebound by D. Favors,,15-25,,
11:01.0,D. Favors makes 2-pt shot from 2 ft,2,17-25,,
10:54.0,,,17-25,,Shooting foul by R. Neto (drawn by J. Bayless)
10:54.0,,,17-25,,J. Bayless misses free throw 1 of 2
10:54.0,,,17-25,,Offensive rebound by Team
10:54.0,R. Rubio enters the game for R. Neto,,17-25,,
10:54.0,,,17-26,1,J. Bayless makes free throw 2 of 2
10:46.0,,,17-26,,Personal foul by J. Bayless (drawn by R. Hood)
10:33.0,D. Favors makes 2-pt shot from 6 ft (assist by R. Hood),2,19-26,,
10:25.0,,,19-26,,Turnover by J. Bayless (out of bounds lost ball)
10:11.0,Turnover by R. Rubio (bad pass),,19-26,,
9:54.0,,,19-26,,D. Saric misses 2-pt shot from 4 ft
9:52.0,Defensive rebound by R. Hood,,19-26,,
9:39.0,A. Burks misses 3-pt shot from 27 ft,,19-26,,
9:35.0,Offensive rebound by R. Hood,,19-26,,
9:29.0,D. Favors misses 2-pt shot from 2 ft,,19-26,,
9:29.0,Offensive rebound by A. Burks,,19-26,,
9:23.0,,,19-26,,R. Covington enters the game for T. Luwawu-Cabarrot
9:23.0,,,19-26,,T. McConnell enters the game for D. Saric
9:23.0,J. Jerebko enters the game for T. Sefolosha,,19-26,,
9:13.0,Turnover by R. Rubio (bad pass; steal by R. Covington),,19-26,,
9:05.0,,,19-26,,J. Bayless misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by R. Rubio,,19-26,,
8:51.0,R. Hood misses 2-pt shot from 18 ft,,19-26,,
8:51.0,,,19-26,,Defensive rebound by B. Simmons
8:44.0,,,19-26,,B. Simmons misses 2-pt shot from 6 ft
8:43.0,,,19-26,,Offensive rebound by J. Embiid
8:42.0,,,19-28,2,J. Embiid makes 2-pt shot from 2 ft
8:42.0,,,19-28,,Shooting foul by D. Favors (drawn by J. Embiid)
8:42.0,,,19-28,,J. Redick enters the game for J. Bayless
8:42.0,E. Udoh enters the game for R. Hood,,19-28,,
8:42.0,D. Mitchell enters the game for D. Favors,,19-28,,
8:42.0,,,19-29,1,J. Embiid makes free throw 1 of 1
8:24.0,A. Burks misses 2-pt shot from 4 ft,,19-29,,
8:24.0,Offensive rebound by E. Udoh,,19-29,,
8:21.0,,,19-29,,Personal foul by J. Redick (drawn by E. Udoh)
8:21.0,,,19-29,,A. Johnson enters the game for J. Embiid
8:14.0,D. Mitchell makes 2-pt shot from 16 ft,2,21-29,,
8:00.0,,,21-29,,B. Simmons misses 2-pt shot from 4 ft
7:59.0,Defensive rebound by J. Jerebko,,21-29,,
7:54.0,A. Burks makes 2-pt shot from 3 ft (assist by R. Rubio),2,23-29,,
7:54.0,,,23-29,,Philadelphia full timeout
7:40.0,Personal foul by D. Mitchell (drawn by B. Simmons),,23-29,,
7:26.0,,,23-29,,R. Covington misses 2-pt shot from 16 ft
7:23.0,Defensive rebound by A. Burks,,23-29,,
7:12.0,R. Rubio misses 2-pt shot from 14 ft,,23-29,,
7:09.0,,,23-29,,Defensive rebound by B. Simmons
7:04.0,,,23-31,2,B. Simmons makes 2-pt shot from 6 ft
6:50.0,D. Mitchell misses 3-pt shot from 25 ft,,23-31,,
6:43.0,,,23-31,,Defensive rebound by A. Johnson
6:40.0,,,23-31,,Turnover by T. McConnell (bad pass; steal by R. Rubio)
6:25.0,A. Burks misses 2-pt shot from 5 ft (block by A. Johnson),,23-31,,
6:20.0,,,23-31,,Defensive rebound by A. Johnson
6:12.0,,,23-31,,Turnover by A. Johnson (bad pass; steal by E. Udoh)
6:10.0,E. Udoh makes 2-pt shot from 5 ft,2,25-31,,
6:10.0,,,25-31,,Shooting foul by A. Burks (drawn by B. Simmons)
6:10.0,J. Ingles enters the game for A. Burks,,25-31,,
6:10.0,,,25-31,,B. Simmons misses free throw 1 of 2
6:10.0,,,25-31,,Offensive rebound by Team
6:10.0,,,25-31,,B. Simmons misses free throw 2 of 2
6:04.0,Defensive rebound by J. Jerebko,,25-31,,
6:01.0,Turnover by R. Rubio (bad pass; steal by T. McConnell),,25-31,,
5:54.0,,,25-31,,B. Simmons misses 2-pt shot from 4 ft
5:46.0,,,25-31,,Offensive rebound by R. Covington
5:46.0,,,25-33,2,R. Covington makes 2-pt shot at rim
5:38.0,R. Rubio makes 2-pt shot from 13 ft,2,27-33,,
5:28.0,,,27-33,,B. Simmons misses 2-pt shot from 11 ft
5:24.0,,,27-33,,Offensive rebound by B. Simmons
5:24.0,,,27-33,,B. Simmons misses 2-pt shot from 7 ft
5:23.0,Defensive rebound by Team,,27-33,,
5:23.0,R. Hood enters the game for J. Jerebko,,27-33,,
5:17.0,,,27-33,,Personal foul by T. McConnell (drawn by R. Rubio)
5:09.0,E. Udoh misses 2-pt shot from 5 ft (block by A. Johnson),,27-33,,
5:09.0,Offensive rebound by Team,,27-33,,
5:02.0,R. Hood makes 2-pt shot from 6 ft,2,29-33,,
4:39.0,,,29-35,2,A. Johnson makes 2-pt shot from 7 ft
4:28.0,J. Ingles misses 3-pt shot from 26 ft,,29-35,,
4:24.0,,,29-35,,Defensive rebound by J. Redick
4:09.0,,,29-37,2,A. Johnson makes 2-pt shot from 6 ft
4:07.0,Utah full timeout,,29-37,,
4:07.0,D. Favors enters the game for E. Udoh,,29-37,,
3:53.0,D. Mitchell misses 2-pt shot from 6 ft,,29-37,,
3:51.0,,,29-37,,Defensive rebound by A. Johnson
3:32.0,,,29-37,,R. Covington misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by D. Favors,,29-37,,
3:22.0,R. Rubio makes 3-pt shot from 27 ft (assist by D. Mitchell),3,32-37,,
3:08.0,,,32-37,,J. Redick misses 2-pt shot from 18 ft
3:03.0,Defensive rebound by R. Hood,,32-37,,
2:57.0,D. Favors misses 2-pt shot from 3 ft (block by R. Covington),,32-37,,
2:54.0,,,32-37,,Defensive rebound by A. Johnson
2:43.0,,,32-37,,Shooting foul by R. Hood (drawn by R. Covington)
2:43.0,,,32-38,1,R. Covington makes free throw 1 of 3
2:43.0,,,32-39,1,R. Covington makes free throw 2 of 3
2:43.0,,,32-39,,J. Embiid enters the game for A. Johnson
2:43.0,,,32-39,,D. Saric enters the game for B. Simmons
2:43.0,,,32-40,1,R. Covington makes free throw 3 of 3
2:23.0,Turnover by D. Favors (lost ball; steal by J. Redick),,32-40,,
2:12.0,,,32-42,2,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick)
1:47.0,J. Ingles misses 2-pt shot from 22 ft,,32-42,,
1:45.0,,,32-42,,Defensive rebound by J. Embiid
1:38.0,,,32-44,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
1:23.0,R. Rubio makes 2-pt shot from 2 ft (assist by J. Ingles),2,34-44,,
1:15.0,,,34-44,,R. Covington misses 3-pt shot from 26 ft
1:14.0,,,34-44,,Offensive rebound by D. Saric
1:14.0,,,34-46,2,D. Saric makes 2-pt shot from 1 ft
1:14.0,,,34-46,,Shooting foul by D. Favors (drawn by D. Saric)
1:14.0,E. Udoh enters the game for D. Favors,,34-46,,
1:14.0,,,34-47,1,D. Saric makes free throw 1 of 1
1:03.0,D. Mitchell misses 2-pt shot from 4 ft (block by J. Embiid),,34-47,,
1:00.0,,,34-47,,Defensive rebound by J. Embiid
0:56.0,,,34-47,,Turnover by T. McConnell (bad pass; steal by R. Hood)
0:40.0,R. Rubio misses 3-pt shot from 27 ft,,34-47,,
0:37.0,,,34-47,,Defensive rebound by J. Embiid
0:29.0,,,34-47,,Turnover by J. Embiid (lost ball; steal by E. Udoh)
0:24.0,Shooting foul by J. Redick (drawn by E. Udoh),,34-47,,
0:24.0,E. Udoh makes free throw 1 of 2,1,35-47,,
0:24.0,T. Sefolosha enters the game for D. Mitchell,,35-47,,
0:24.0,E. Udoh makes free throw 2 of 2,1,36-47,,
0:05.0,,,36-47,,D. Saric misses 2-pt shot from 4 ft (block by R. Rubio)
0:05.0,,,36-47,,Offensive rebound by Team
0:02.0,,,36-47,,J. Embiid misses 2-pt shot at rim
0:01.0,,,36-47,,Offensive rebound by J. Embiid
0:01.0,,,36-47,,J. Embiid misses 2-pt shot at rim
0:01.0,,,36-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Ingles makes 3-pt shot from 26 ft (assist by J. Jerebko),3,39-47,,
11:24.0,,,39-47,,R. Covington misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by D. Mitchell,,39-47,,
11:01.0,Turnover by R. Rubio (bad pass; steal by B. Simmons),,39-47,,
11:00.0,Personal foul by R. Rubio (drawn by B. Simmons),,39-47,,
10:43.0,,,39-49,2,J. Embiid makes 2-pt shot from 2 ft
10:18.0,D. Mitchell misses 2-pt shot from 12 ft,,39-49,,
10:16.0,,,39-49,,Defensive rebound by R. Covington
10:00.0,,,39-51,2,J. Redick makes 2-pt shot from 21 ft (assist by J. Embiid)
9:43.0,D. Mitchell misses 3-pt shot from 26 ft,,39-51,,
9:43.0,,,39-51,,Defensive rebound by J. Embiid
9:36.0,Personal foul by R. Rubio (drawn by B. Simmons),,39-51,,
9:34.0,,,39-53,2,J. Redick makes 2-pt shot from 1 ft (assist by R. Covington)
9:19.0,R. Rubio misses 2-pt shot from 18 ft,,39-53,,
9:16.0,,,39-53,,Defensive rebound by J. Embiid
9:06.0,,,39-53,,Turnover by R. Covington (bad pass; steal by R. Rubio)
8:58.0,R. Rubio misses 2-pt shot from 19 ft,,39-53,,
8:58.0,,,39-53,,Defensive rebound by Team
8:47.0,,,39-55,2,B. Simmons makes 2-pt shot from 19 ft
8:43.0,Utah full timeout,,39-55,,
8:43.0,R. Hood enters the game for R. Rubio,,39-55,,
8:36.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,42-55,,
8:13.0,,,42-55,,J. Embiid misses 2-pt shot from 5 ft
8:10.0,,,42-55,,Offensive rebound by B. Simmons
8:07.0,,,42-57,2,B. Simmons makes 2-pt shot from 2 ft
7:54.0,Turnover by R. Hood (bad pass; steal by R. Covington),,42-57,,
7:47.0,,,42-59,2,B. Simmons makes 2-pt shot from 2 ft
7:30.0,Turnover by D. Mitchell (lost ball; steal by R. Covington),,42-59,,
7:21.0,,,42-62,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Simmons)
7:09.0,Shooting foul by J. Embiid (drawn by D. Favors),,42-62,,
7:09.0,D. Favors makes free throw 1 of 2,1,43-62,,
7:09.0,,,43-62,,A. Johnson enters the game for D. Saric
7:09.0,,,43-62,,T. McConnell enters the game for J. Embiid
7:09.0,A. Burks enters the game for J. Ingles,,43-62,,
7:09.0,T. Sefolosha enters the game for J. Jerebko,,43-62,,
7:09.0,D. Favors makes free throw 2 of 2,1,44-62,,
6:56.0,,,44-64,2,A. Johnson makes 2-pt shot from 3 ft (assist by J. Redick)
6:42.0,,,44-64,,Def 3 sec tech foul by B. Simmons
6:42.0,D. Mitchell makes technical free throw,1,45-64,,
6:42.0,,,45-64,,J. Bayless enters the game for J. Redick
6:32.0,D. Mitchell misses 2-pt shot from 6 ft (block by A. Johnson),,45-64,,
6:26.0,,,45-64,,Defensive rebound by A. Johnson
6:24.0,,,45-64,,R. Covington misses 2-pt shot from 6 ft
6:21.0,,,45-64,,Offensive rebound by T. McConnell
6:13.0,,,45-64,,Turnover by R. Covington (lost ball; steal by T. Sefolosha)
5:57.0,A. Burks misses 2-pt shot from 19 ft,,45-64,,
5:55.0,,,45-64,,Defensive rebound by B. Simmons
5:47.0,,,45-66,2,B. Simmons makes 2-pt shot from 1 ft
5:32.0,,,45-66,,Personal foul by R. Covington (drawn by R. Hood)
5:25.0,A. Burks misses 2-pt shot from 4 ft,,45-66,,
5:22.0,,,45-66,,Defensive rebound by A. Johnson
5:16.0,,,45-66,,B. Simmons misses 2-pt shot from 4 ft
5:14.0,Defensive rebound by D. Favors,,45-66,,
5:10.0,D. Mitchell makes 3-pt shot from 23 ft (assist by T. Sefolosha),3,48-66,,
4:51.0,,,48-66,,Turnover by J. Bayless (bad pass; steal by A. Burks)
4:46.0,R. Hood misses 2-pt shot from 3 ft,,48-66,,
4:43.0,,,48-66,,Defensive rebound by B. Simmons
4:28.0,,,48-68,2,B. Simmons makes 2-pt shot from 2 ft (assist by T. McConnell)
4:27.0,Utah full timeout,,48-68,,
4:13.0,R. Hood makes 2-pt shot from 4 ft (assist by D. Favors),2,50-68,,
3:58.0,,,50-70,2,B. Simmons makes 2-pt shot from 12 ft (assist by A. Johnson)
3:41.0,D. Mitchell makes 2-pt shot from 1 ft,2,52-70,,
3:32.0,,,52-70,,T. McConnell misses 2-pt shot from 21 ft
3:29.0,Defensive rebound by T. Sefolosha,,52-70,,
3:18.0,D. Mitchell makes 2-pt shot from 1 ft,2,54-70,,
3:05.0,,,54-70,,B. Simmons misses 2-pt shot from 4 ft (block by D. Favors)
3:05.0,Defensive rebound by T. Sefolosha,,54-70,,
3:01.0,R. Hood makes 2-pt shot from 1 ft,2,56-70,,
3:00.0,,,56-70,,Philadelphia full timeout
3:00.0,,,56-70,,J. Redick enters the game for A. Johnson
3:00.0,,,56-70,,J. Embiid enters the game for R. Covington
3:00.0,E. Udoh enters the game for D. Favors,,56-70,,
2:41.0,,,56-70,,Turnover by B. Simmons (bad pass; steal by E. Udoh)
2:32.0,Shooting foul by J. Bayless (drawn by R. Hood),,56-70,,
2:32.0,R. Hood makes free throw 1 of 2,1,57-70,,
2:32.0,R. Hood makes free throw 2 of 2,1,58-70,,
2:12.0,,,58-72,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Embiid)
1:54.0,D. Mitchell makes 2-pt shot from 19 ft,2,60-72,,
1:39.0,,,60-72,,J. Embiid misses 2-pt shot from 15 ft
1:37.0,Defensive rebound by A. Burks,,60-72,,
1:25.0,A. Burks misses 3-pt shot from 27 ft,,60-72,,
1:22.0,,,60-72,,Defensive rebound by T. McConnell
1:14.0,,,60-72,,T. McConnell misses 2-pt shot from 8 ft
1:14.0,Defensive rebound by Team,,60-72,,
1:14.0,,,60-72,,T. Luwawu-Cabarrot enters the game for J. Bayless
1:14.0,,,60-72,,D. Saric enters the game for B. Simmons
1:14.0,J. Jerebko enters the game for T. Sefolosha,,60-72,,
1:03.0,R. Hood misses 2-pt shot from 15 ft,,60-72,,
1:00.0,,,60-72,,Defensive rebound by T. Luwawu-Cabarrot
0:48.0,,,60-75,3,J. Redick makes 3-pt shot from 28 ft (assist by D. Saric)
0:38.0,D. Mitchell misses 3-pt shot from 26 ft,,60-75,,
0:35.0,,,60-75,,Defensive rebound by T. Luwawu-Cabarrot
0:29.0,,,60-75,,Turnover by T. McConnell (bad pass; steal by J. Jerebko)
0:09.0,R. Hood makes 3-pt shot from 26 ft (assist by E. Udoh),3,63-75,,
0:01.0,,,63-75,,J. Embiid misses 3-pt shot from 26 ft
0:01.0,,,63-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,63-75,,Turnover by J. Embiid (bad pass; steal by E. Udoh)
11:32.0,R. Hood misses 3-pt shot from 24 ft,,63-75,,
11:29.0,,,63-75,,Defensive rebound by D. Saric
11:29.0,Personal foul by J. Ingles (drawn by D. Saric),,63-75,,
11:18.0,Personal foul by R. Neto (drawn by J. Embiid),,63-75,,
11:09.0,,,63-75,,J. Redick misses 2-pt shot from 1 ft
11:09.0,Defensive rebound by Team,,63-75,,
11:08.0,,,63-75,,Loose ball foul by J. Embiid (drawn by J. Jerebko)
10:51.0,J. Jerebko misses 2-pt shot from 14 ft,,63-75,,
10:50.0,Offensive rebound by E. Udoh,,63-75,,
10:50.0,Shooting foul by D. Saric (drawn by E. Udoh),,63-75,,
10:50.0,E. Udoh makes free throw 1 of 2,1,64-75,,
10:50.0,E. Udoh makes free throw 2 of 2,1,65-75,,
10:39.0,,,65-75,,Shooting foul by J. Ingles (drawn by J. Redick)
10:39.0,,,65-76,1,J. Redick makes free throw 1 of 2
10:39.0,,,65-76,,A. Johnson enters the game for J. Embiid
10:39.0,,,65-77,1,J. Redick makes free throw 2 of 2
10:29.0,R. Hood misses 3-pt shot from 27 ft,,65-77,,
10:25.0,,,65-77,,Defensive rebound by T. McConnell
10:21.0,,,65-79,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell)
10:02.0,J. Jerebko makes 3-pt shot from 28 ft (assist by R. Neto),3,68-79,,
9:37.0,,,68-79,,Shooting foul by R. Neto (drawn by J. Redick)
9:37.0,,,68-80,1,J. Redick makes free throw 1 of 3
9:37.0,,,68-81,1,J. Redick makes free throw 2 of 3
9:37.0,,,68-81,,B. Simmons enters the game for T. McConnell
9:37.0,,,68-82,1,J. Redick makes free throw 3 of 3
9:26.0,R. Hood misses 2-pt shot from 7 ft,,68-82,,
9:23.0,,,68-82,,Defensive rebound by A. Johnson
9:14.0,,,68-82,,Turnover by J. Redick (bad pass; steal by R. Hood)
9:08.0,Personal foul by R. Hood (drawn by A. Johnson),,68-82,,
9:08.0,Turnover by R. Hood (turnover),,68-82,,
9:08.0,,,68-82,,J. Bayless enters the game for J. Redick
9:08.0,R. O'Neale enters the game for R. Hood,,68-82,,
9:08.0,R. Rubio enters the game for R. Neto,,68-82,,
8:57.0,,,68-82,,D. Saric misses 2-pt shot from 19 ft
8:55.0,Defensive rebound by Team,,68-82,,
8:55.0,D. Mitchell enters the game for J. Ingles,,68-82,,
8:40.0,E. Udoh makes 2-pt shot at rim (assist by D. Mitchell),2,70-82,,
8:19.0,,,70-84,2,B. Simmons makes 2-pt shot from 11 ft
8:10.0,D. Mitchell misses 3-pt shot from 25 ft,,70-84,,
8:07.0,,,70-84,,Defensive rebound by T. Luwawu-Cabarrot
7:56.0,,,70-86,2,B. Simmons makes 2-pt shot from 4 ft
7:35.0,J. Jerebko misses 2-pt shot from 13 ft (block by A. Johnson),,70-86,,
7:31.0,,,70-86,,Defensive rebound by B. Simmons
7:29.0,,,70-86,,Turnover by B. Simmons (lost ball; steal by D. Mitchell)
7:24.0,J. Jerebko misses 3-pt shot from 23 ft,,70-86,,
7:20.0,,,70-86,,Defensive rebound by D. Saric
7:16.0,,,70-86,,Philadelphia full timeout
7:16.0,,,70-86,,T. McConnell enters the game for T. Luwawu-Cabarrot
7:16.0,,,70-86,,R. Covington enters the game for D. Saric
7:16.0,T. Sefolosha enters the game for J. Jerebko,,70-86,,
7:16.0,D. Favors enters the game for E. Udoh,,70-86,,
7:08.0,,,70-86,,B. Simmons misses 2-pt shot from 14 ft
7:04.0,Defensive rebound by D. Mitchell,,70-86,,
7:01.0,D. Mitchell makes 2-pt shot from 1 ft,2,72-86,,
6:54.0,,,72-88,2,J. Bayless makes 2-pt shot from 2 ft (assist by T. McConnell)
6:38.0,,,72-88,,Personal foul by A. Johnson (drawn by D. Mitchell)
6:31.0,,,72-88,,Personal foul by J. Bayless (drawn by R. Rubio)
6:19.0,D. Mitchell misses 2-pt shot from 9 ft,,72-88,,
6:19.0,,,72-88,,Defensive rebound by R. Covington
5:58.0,,,72-88,,Turnover by T. McConnell (bad pass; steal by T. Sefolosha)
5:49.0,T. Sefolosha makes 2-pt shot from 1 ft,2,74-88,,
5:41.0,,,74-90,2,B. Simmons makes 2-pt shot from 6 ft
5:30.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by R. Rubio),3,77-90,,
5:30.0,,,77-90,,Philadelphia full timeout
5:30.0,,,77-90,,J. Redick enters the game for J. Bayless
5:30.0,,,77-90,,J. Embiid enters the game for A. Johnson
5:30.0,R. Hood enters the game for R. Rubio,,77-90,,
