time,Houston,pts.away,score,pts.home,Milwaukee
8:16.0,J. Harden misses 3-pt shot from 28 ft,,8-9,,
8:14.0,,,8-9,,Defensive rebound by K. Middleton
8:07.0,,,8-11,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson)
7:45.0,J. Harden makes 3-pt shot from 27 ft (assist by C. Paul),3,11-11,,
7:15.0,,,11-11,,K. Middleton misses 3-pt shot from 27 ft
7:10.0,Defensive rebound by Team,,11-11,,
7:04.0,Shooting foul by J. Henson (drawn by C. Capela),,11-11,,
7:04.0,C. Capela misses free throw 1 of 2,,11-11,,
7:04.0,Offensive rebound by Team,,11-11,,
7:04.0,C. Capela misses free throw 2 of 2,,11-11,,
7:01.0,,,11-11,,Defensive rebound by K. Middleton
6:40.0,,,11-11,,Turnover by Team (shot clock)
6:40.0,,,11-11,,Milwaukee full timeout
6:40.0,,,11-11,,J. Parker enters the game for J. Henson
6:40.0,L. Mbah a Moute enters the game for P. Tucker,,11-11,,
6:40.0,E. Gordon enters the game for C. Paul,,11-11,,
6:21.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,13-11,,
6:21.0,Shooting foul by J. Parker (drawn by C. Capela),,13-11,,
6:21.0,C. Capela misses free throw 1 of 1,,13-11,,
6:17.0,,,13-11,,Defensive rebound by G. Antetokounmpo
6:03.0,,,13-11,,E. Bledsoe misses 2-pt shot from 5 ft (block by C. Capela)
6:00.0,Defensive rebound by E. Gordon,,13-11,,
5:55.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Harden),3,16-11,,
5:39.0,,,16-11,,T. Snell misses 3-pt shot from 23 ft
5:36.0,Defensive rebound by C. Capela,,16-11,,
5:33.0,Turnover by J. Harden (bad pass),,16-11,,
5:33.0,,,16-11,,J. Terry enters the game for E. Bledsoe
5:33.0,T. Black enters the game for C. Capela,,16-11,,
5:21.0,,,16-11,,K. Middleton misses 2-pt shot from 15 ft
5:19.0,Defensive rebound by E. Gordon,,16-11,,
5:14.0,J. Harden misses 2-pt shot at rim,,16-11,,
5:14.0,,,16-11,,Defensive rebound by Team
5:14.0,Loose ball foul by T. Black (drawn by K. Middleton),,16-11,,
4:55.0,,,16-11,,J. Parker misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by L. Mbah a Moute,,16-11,,
4:46.0,J. Harden makes 2-pt shot at rim,2,18-11,,
4:33.0,,,18-13,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell)
4:26.0,T. Ariza misses 3-pt shot from 26 ft,,18-13,,
4:22.0,,,18-13,,Defensive rebound by K. Middleton
4:16.0,,,18-15,2,K. Middleton makes 2-pt shot from 14 ft
4:09.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden),2,20-15,,
3:40.0,,,20-15,,J. Terry misses 2-pt shot from 2 ft
3:36.0,,,20-15,,Offensive rebound by G. Antetokounmpo
3:36.0,,,20-15,,G. Antetokounmpo misses 2-pt shot at rim
3:36.0,Defensive rebound by J. Harden,,20-15,,
3:36.0,Turnover by J. Harden (turnover),,20-15,,
3:36.0,,,20-15,,S. Brown enters the game for T. Snell
3:36.0,G. Green enters the game for T. Ariza,,20-15,,
3:26.0,Personal foul by J. Harden (drawn by J. Terry),,20-15,,
3:18.0,,,20-15,,J. Parker misses 2-pt shot from 13 ft
3:16.0,Defensive rebound by G. Green,,20-15,,
3:08.0,Turnover by J. Harden (lost ball; steal by J. Parker),,20-15,,
3:04.0,,,20-17,2,S. Brown makes 2-pt shot at rim (assist by J. Parker)
2:49.0,G. Green misses 2-pt shot from 18 ft,,20-17,,
2:47.0,Offensive rebound by T. Black,,20-17,,
2:45.0,T. Black makes 2-pt shot from 1 ft,2,22-17,,
2:37.0,,,22-17,,Turnover by J. Parker (bad pass)
2:37.0,Houston full timeout,,22-17,,
2:37.0,C. Paul enters the game for J. Harden,,22-17,,
2:21.0,Turnover by E. Gordon (out of bounds lost ball),,22-17,,
2:10.0,,,22-17,,Offensive charge foul by G. Antetokounmpo (drawn by L. Mbah a Moute)
2:10.0,,,22-17,,Turnover by G. Antetokounmpo (offensive foul)
1:57.0,,,22-17,,Personal foul by J. Parker (drawn by G. Green)
1:57.0,,,22-17,,J. Henson enters the game for K. Middleton
1:57.0,,,22-17,,E. Bledsoe enters the game for G. Antetokounmpo
1:53.0,G. Green misses 3-pt shot from 25 ft,,22-17,,
1:50.0,,,22-17,,Defensive rebound by J. Parker
1:34.0,Personal foul by E. Gordon (drawn by J. Henson),,22-17,,
1:19.0,,,22-17,,E. Bledsoe misses 2-pt shot from 8 ft
1:17.0,Defensive rebound by T. Black,,22-17,,
0:56.0,Turnover by L. Mbah a Moute (bad pass; steal by J. Terry),,22-17,,
0:50.0,,,22-20,3,S. Brown makes 3-pt shot from 22 ft (assist by J. Parker)
0:37.0,T. Black makes 2-pt shot from 1 ft (assist by C. Paul),2,24-20,,
0:26.0,,,24-22,2,J. Henson makes 2-pt shot from 4 ft (assist by J. Terry)
0:03.0,E. Gordon misses 2-pt shot from 3 ft,,24-22,,
0:02.0,,,24-22,,Defensive rebound by S. Brown
0:01.0,,,24-22,,S. Brown misses 3-pt shot from 70 ft
0:01.0,,,24-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,E. Gordon misses 3-pt shot from 27 ft,,24-22,,
11:39.0,Offensive rebound by L. Mbah a Moute,,24-22,,
11:37.0,G. Green misses 3-pt shot from 26 ft,,24-22,,
11:34.0,,,24-22,,Defensive rebound by J. Parker
11:13.0,,,24-24,2,J. Parker makes 2-pt shot from 7 ft
11:02.0,C. Paul misses 3-pt shot from 25 ft,,24-24,,
10:58.0,,,24-24,,Defensive rebound by J. Henson
10:49.0,,,24-26,2,J. Parker makes 2-pt shot at rim (assist by E. Bledsoe)
10:31.0,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul),3,27-26,,
10:05.0,,,27-26,,J. Parker misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by C. Paul,,27-26,,
9:45.0,G. Green misses 2-pt shot from 1 ft,,27-26,,
9:43.0,,,27-26,,Defensive rebound by J. Terry
9:37.0,,,27-26,,J. Parker misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by L. Mbah a Moute,,27-26,,
9:22.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon),3,30-26,,
8:59.0,,,30-29,3,E. Bledsoe makes 3-pt shot from 26 ft
8:44.0,G. Green makes 2-pt shot from 1 ft,2,32-29,,
8:26.0,Personal foul by L. Mbah a Moute (drawn by J. Henson),,32-29,,
8:11.0,,,32-29,,S. Brown misses 2-pt shot from 6 ft (block by L. Mbah a Moute)
8:07.0,Defensive rebound by L. Mbah a Moute,,32-29,,
8:04.0,G. Green misses 3-pt shot from 27 ft,,32-29,,
8:02.0,Offensive rebound by G. Green,,32-29,,
7:57.0,L. Mbah a Moute makes 2-pt shot at rim (assist by G. Green),2,34-29,,
7:34.0,,,34-29,,J. Parker misses 2-pt shot from 4 ft
7:32.0,Defensive rebound by P. Tucker,,34-29,,
7:27.0,C. Paul misses 2-pt shot from 2 ft,,34-29,,
7:24.0,,,34-29,,Defensive rebound by J. Henson
7:23.0,,,34-29,,Shooting foul by P. Tucker (drawn by E. Bledsoe)
7:23.0,,,34-30,1,E. Bledsoe makes free throw 1 of 2
7:23.0,,,34-30,,T. Snell enters the game for J. Parker
7:23.0,,,34-31,1,E. Bledsoe makes free throw 2 of 2
7:23.0,,,34-31,,K. Middleton enters the game for J. Terry
7:23.0,T. Ariza enters the game for L. Mbah a Moute,,34-31,,
7:11.0,C. Paul makes 2-pt shot from 1 ft,2,36-31,,
7:06.0,,,36-31,,Turnover by E. Bledsoe (lost ball; steal by E. Gordon)
7:04.0,G. Green makes 2-pt shot from 1 ft (assist by P. Tucker),2,38-31,,
7:04.0,,,38-31,,Milwaukee full timeout
7:04.0,C. Capela enters the game for E. Gordon,,38-31,,
7:04.0,J. Harden enters the game for G. Green,,38-31,,
6:40.0,,,38-31,,S. Brown misses 3-pt shot from 27 ft
6:38.0,,,38-31,,Offensive rebound by S. Brown
6:37.0,,,38-31,,S. Brown misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by Team,,38-31,,
6:21.0,C. Paul makes 2-pt shot from 1 ft (assist by J. Harden),2,40-31,,
5:58.0,,,40-31,,Shooting foul by C. Paul (drawn by E. Bledsoe)
5:58.0,,,40-31,,E. Bledsoe misses free throw 1 of 2
5:58.0,,,40-31,,Offensive rebound by Team
5:58.0,,,40-31,,G. Antetokounmpo enters the game for S. Brown
5:58.0,,,40-32,1,E. Bledsoe makes free throw 2 of 2
5:41.0,C. Capela misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,40-32,,
5:37.0,,,40-32,,Defensive rebound by K. Middleton
5:32.0,,,40-32,,E. Bledsoe misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by P. Tucker,,40-32,,
5:26.0,Shooting foul by K. Middleton (drawn by C. Capela),,40-32,,
5:26.0,C. Capela misses free throw 1 of 2,,40-32,,
5:26.0,Offensive rebound by Team,,40-32,,
5:26.0,C. Capela misses free throw 2 of 2,,40-32,,
5:26.0,,,40-32,,Defensive rebound by J. Henson
5:26.0,,,40-32,,J. Terry enters the game for E. Bledsoe
5:09.0,,,40-35,3,T. Snell makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
4:54.0,J. Harden misses 3-pt shot from 25 ft,,40-35,,
4:51.0,,,40-35,,Defensive rebound by J. Henson
4:37.0,,,40-35,,J. Henson misses 2-pt shot from 16 ft
4:34.0,Defensive rebound by T. Ariza,,40-35,,
4:27.0,T. Ariza misses 3-pt shot from 25 ft,,40-35,,
4:27.0,Offensive rebound by Team,,40-35,,
4:27.0,,,40-35,,Personal foul by J. Henson (drawn by T. Ariza)
4:27.0,E. Gordon enters the game for C. Paul,,40-35,,
4:27.0,L. Mbah a Moute enters the game for C. Capela,,40-35,,
4:12.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,40-35,,
4:09.0,,,40-35,,Defensive rebound by J. Henson
4:04.0,,,40-35,,Shooting foul by L. Mbah a Moute (drawn by G. Antetokounmpo)
4:04.0,,,40-36,1,G. Antetokounmpo makes free throw 1 of 2
4:04.0,,,40-36,,J. Parker enters the game for J. Henson
4:04.0,,,40-37,1,G. Antetokounmpo makes free throw 2 of 2
3:42.0,J. Harden makes 2-pt shot from 1 ft,2,42-37,,
3:32.0,,,42-37,,K. Middleton misses 3-pt shot from 27 ft
3:30.0,Defensive rebound by L. Mbah a Moute,,42-37,,
3:22.0,Turnover by L. Mbah a Moute (bad pass; steal by J. Terry),,42-37,,
3:17.0,,,42-37,,Turnover by G. Antetokounmpo (out of bounds lost ball)
3:06.0,E. Gordon makes 2-pt shot from 1 ft,2,44-37,,
2:55.0,Houston full timeout,,44-37,,
2:50.0,,,44-37,,J. Terry misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by P. Tucker,,44-37,,
2:30.0,J. Harden makes 3-pt shot from 27 ft,3,47-37,,
2:13.0,,,47-39,2,J. Parker makes 2-pt shot at rim (assist by T. Snell)
1:56.0,Turnover by J. Harden (bad pass; steal by T. Snell),,47-39,,
1:52.0,,,47-41,2,J. Terry makes 2-pt shot from 1 ft
1:37.0,J. Harden makes 2-pt shot from 1 ft,2,49-41,,
1:18.0,,,49-41,,J. Terry misses 3-pt shot from 27 ft
1:15.0,Defensive rebound by P. Tucker,,49-41,,
1:11.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,51-41,,
0:59.0,,,51-41,,T. Snell misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by E. Gordon,,51-41,,
0:55.0,,,51-41,,Personal foul by K. Middleton (drawn by T. Ariza)
0:55.0,,,51-41,,S. Brown enters the game for J. Terry
0:55.0,,,51-41,,E. Bledsoe enters the game for J. Parker
0:48.0,Shooting foul by T. Snell (drawn by J. Harden),,51-41,,
0:48.0,J. Harden makes free throw 1 of 2,1,52-41,,
0:48.0,J. Harden makes free throw 2 of 2,1,53-41,,
0:40.0,,,53-43,2,K. Middleton makes 2-pt shot from 1 ft
0:27.0,Shooting foul by T. Snell (drawn by J. Harden),,53-43,,
0:27.0,J. Harden makes free throw 1 of 2,1,54-43,,
0:27.0,J. Harden makes free throw 2 of 2,1,55-43,,
0:04.0,,,55-46,3,E. Bledsoe makes 3-pt shot from 22 ft (assist by K. Middleton)
0:00.0,J. Harden makes 3-pt shot from 25 ft,3,58-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,C. Capela misses 2-pt shot from 1 ft,,58-46,,
11:40.0,,,58-46,,Defensive rebound by E. Bledsoe
11:36.0,,,58-48,2,G. Antetokounmpo makes 2-pt shot from 1 ft
11:18.0,Shooting foul by K. Middleton (drawn by C. Capela),,58-48,,
11:18.0,C. Capela misses free throw 1 of 2,,58-48,,
11:18.0,Offensive rebound by Team,,58-48,,
11:18.0,C. Capela makes free throw 2 of 2,1,59-48,,
10:58.0,Personal foul by J. Harden (drawn by G. Antetokounmpo),,59-48,,
10:44.0,,,59-48,,G. Antetokounmpo misses 2-pt shot from 12 ft
10:41.0,Defensive rebound by C. Capela,,59-48,,
10:25.0,C. Paul misses 3-pt shot from 27 ft,,59-48,,
10:22.0,,,59-48,,Defensive rebound by K. Middleton
10:13.0,,,59-50,2,G. Antetokounmpo makes 2-pt shot from 2 ft
9:54.0,,,59-50,,Personal foul by G. Antetokounmpo (drawn by C. Capela)
9:44.0,C. Paul makes 3-pt shot from 26 ft,3,62-50,,
9:24.0,,,62-50,,K. Middleton misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by P. Tucker,,62-50,,
9:15.0,C. Capela makes 2-pt shot at rim (assist by C. Paul),2,64-50,,
9:15.0,Shooting foul by J. Henson (drawn by C. Capela),,64-50,,
9:15.0,C. Capela misses free throw 1 of 1,,64-50,,
9:12.0,,,64-50,,Defensive rebound by J. Henson
8:49.0,,,64-50,,E. Bledsoe misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by C. Capela,,64-50,,
8:41.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,66-50,,
8:40.0,,,66-50,,Milwaukee full timeout
8:20.0,,,66-52,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
7:52.0,J. Harden misses 3-pt shot from 27 ft,,66-52,,
7:48.0,,,66-52,,Defensive rebound by G. Antetokounmpo
7:40.0,,,66-54,2,G. Antetokounmpo makes 2-pt shot from 14 ft
7:18.0,J. Harden makes 2-pt shot at rim,2,68-54,,
7:18.0,Shooting foul by J. Henson (drawn by J. Harden),,68-54,,
7:18.0,E. Gordon enters the game for P. Tucker,,68-54,,
7:18.0,L. Mbah a Moute enters the game for C. Paul,,68-54,,
7:18.0,,,68-54,,J. Parker enters the game for J. Henson
7:18.0,J. Harden makes free throw 1 of 1,1,69-54,,
7:18.0,,,69-54,,J. Terry enters the game for T. Snell
6:59.0,,,69-57,3,K. Middleton makes 3-pt shot from 27 ft (assist by J. Terry)
6:45.0,Turnover by T. Ariza (bad pass),,69-57,,
6:45.0,Loose ball foul by T. Ariza (drawn by K. Middleton),,69-57,,
6:34.0,,,69-57,,Turnover by G. Antetokounmpo (bad pass)
6:24.0,Turnover by J. Harden (lost ball; steal by K. Middleton),,69-57,,
6:19.0,,,69-57,,Turnover by J. Terry (bad pass; steal by T. Ariza)
6:13.0,T. Ariza makes 2-pt shot at rim (assist by E. Gordon),2,71-57,,
5:59.0,,,71-57,,Shooting foul by C. Capela (drawn by G. Antetokounmpo)
5:59.0,,,71-57,,G. Antetokounmpo misses free throw 1 of 2
5:59.0,,,71-57,,Offensive rebound by Team
5:59.0,T. Black enters the game for C. Capela,,71-57,,
5:59.0,,,71-58,1,G. Antetokounmpo makes free throw 2 of 2
5:49.0,Shooting foul by E. Bledsoe (drawn by J. Harden),,71-58,,
5:49.0,J. Harden makes free throw 1 of 2,1,72-58,,
5:49.0,J. Harden makes free throw 2 of 2,1,73-58,,
5:27.0,Personal foul by E. Gordon (drawn by K. Middleton),,73-58,,
5:27.0,,,73-58,,S. Brown enters the game for E. Bledsoe
5:16.0,,,73-60,2,G. Antetokounmpo makes 2-pt shot from 11 ft
4:51.0,T. Ariza misses 3-pt shot from 22 ft,,73-60,,
4:50.0,,,73-60,,Defensive rebound by Team
4:46.0,,,73-62,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
4:46.0,,,73-62,,Shooting foul by L. Mbah a Moute (drawn by G. Antetokounmpo)
4:46.0,,,73-62,,G. Antetokounmpo misses free throw 1 of 1
4:43.0,Defensive rebound by J. Harden,,73-62,,
4:40.0,E. Gordon misses 3-pt shot from 29 ft,,73-62,,
4:36.0,,,73-62,,Defensive rebound by K. Middleton
4:33.0,,,73-62,,Shooting foul by T. Black (drawn by K. Middleton)
4:33.0,,,73-63,1,K. Middleton makes free throw 1 of 2
4:33.0,,,73-64,1,K. Middleton makes free throw 2 of 2
4:14.0,Turnover by L. Mbah a Moute (bad pass),,73-64,,
3:59.0,,,73-64,,G. Antetokounmpo misses 2-pt shot from 6 ft
3:57.0,,,73-64,,Offensive rebound by G. Antetokounmpo
3:55.0,,,73-66,2,G. Antetokounmpo makes 2-pt shot from 1 ft
3:42.0,J. Harden misses 2-pt shot from 2 ft,,73-66,,
3:38.0,Offensive rebound by T. Black,,73-66,,
3:38.0,T. Black misses 2-pt shot at rim,,73-66,,
3:37.0,,,73-66,,Defensive rebound by G. Antetokounmpo
3:36.0,,,73-66,,Turnover by G. Antetokounmpo (lost ball; steal by J. Harden)
3:32.0,Turnover by L. Mbah a Moute (bad pass; steal by G. Antetokounmpo),,73-66,,
3:25.0,,,73-69,3,S. Brown makes 3-pt shot from 23 ft (assist by J. Terry)
3:24.0,Houston full timeout,,73-69,,
3:24.0,C. Paul enters the game for J. Harden,,73-69,,
3:24.0,P. Tucker enters the game for T. Black,,73-69,,
3:02.0,C. Paul misses 3-pt shot from 28 ft,,73-69,,
2:59.0,,,73-69,,Defensive rebound by K. Middleton
2:44.0,,,73-69,,G. Antetokounmpo misses 2-pt shot from 4 ft
2:44.0,,,73-69,,Offensive rebound by Team
2:40.0,,,73-69,,Turnover by G. Antetokounmpo (lost ball; steal by L. Mbah a Moute)
2:38.0,T. Ariza makes 2-pt shot from 1 ft,2,75-69,,
2:38.0,Shooting foul by S. Brown (drawn by T. Ariza),,75-69,,
2:38.0,T. Ariza makes free throw 1 of 1,1,76-69,,
2:14.0,,,76-72,3,S. Brown makes 3-pt shot from 23 ft (assist by K. Middleton)
1:59.0,E. Gordon makes 3-pt shot from 29 ft (assist by C. Paul),3,79-72,,
1:52.0,,,79-72,,Shooting foul by T. Ariza (drawn by K. Middleton)
1:52.0,,,79-73,1,K. Middleton makes free throw 1 of 2
1:52.0,G. Green enters the game for T. Ariza,,79-73,,
1:52.0,,,79-73,,K. Middleton misses free throw 2 of 2
1:49.0,Defensive rebound by G. Green,,79-73,,
1:38.0,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul),3,82-73,,
1:26.0,,,82-73,,J. Parker misses 2-pt shot from 2 ft (block by E. Gordon)
1:23.0,Defensive rebound by C. Paul,,82-73,,
1:22.0,,,82-73,,E. Bledsoe enters the game for K. Middleton
1:02.0,P. Tucker makes 3-pt shot from 22 ft (assist by C. Paul),3,85-73,,
0:39.0,,,85-73,,G. Antetokounmpo misses 2-pt shot from 13 ft
0:35.0,,,85-73,,Offensive rebound by E. Bledsoe
0:34.0,,,85-75,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
0:34.0,,,85-75,,Shooting foul by G. Green (drawn by G. Antetokounmpo)
0:34.0,,,85-76,1,G. Antetokounmpo makes free throw 1 of 1
0:28.0,C. Paul makes 2-pt shot from 14 ft,2,87-76,,
0:03.0,,,87-76,,G. Antetokounmpo misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by E. Gordon,,87-76,,
0:00.0,C. Paul misses 3-pt shot from 36 ft,,87-76,,
0:00.0,Offensive rebound by Team,,87-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,87-76,,J. Terry misses 3-pt shot from 23 ft
11:46.0,,,87-76,,Offensive rebound by S. Brown
11:44.0,,,87-76,,Shooting foul by G. Green (drawn by E. Bledsoe)
11:44.0,,,87-77,1,E. Bledsoe makes free throw 1 of 2
11:44.0,,,87-78,1,E. Bledsoe makes free throw 2 of 2
11:33.0,,,87-78,,Personal foul by J. Terry (drawn by E. Gordon)
11:20.0,E. Gordon makes 2-pt shot from 1 ft,2,89-78,,
11:03.0,,,89-80,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by J. Parker)
10:58.0,Offensive foul by P. Tucker (drawn by J. Terry),,89-80,,
10:58.0,Turnover by P. Tucker (offensive foul),,89-80,,
10:47.0,,,89-82,2,J. Parker makes 2-pt shot from 15 ft (assist by K. Middleton)
10:26.0,G. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,92-82,,
10:17.0,,,92-82,,E. Bledsoe misses 2-pt shot from 4 ft (block by G. Green)
10:17.0,,,92-82,,Offensive rebound by Team
10:07.0,,,92-82,,J. Parker misses 2-pt shot from 14 ft
10:05.0,,,92-82,,Offensive rebound by K. Middleton
10:04.0,,,92-84,2,K. Middleton makes 2-pt shot from 1 ft
9:49.0,G. Green misses 3-pt shot from 23 ft,,92-84,,
9:46.0,Offensive rebound by G. Green,,92-84,,
9:44.0,G. Green misses 2-pt shot from 12 ft,,92-84,,
9:44.0,,,92-84,,Defensive rebound by E. Bledsoe
9:43.0,Personal take foul by G. Green (drawn by E. Bledsoe),,92-84,,
9:43.0,,,92-84,,G. Antetokounmpo enters the game for S. Brown
9:43.0,T. Ariza enters the game for L. Mbah a Moute,,92-84,,
9:43.0,J. Harden enters the game for G. Green,,92-84,,
9:24.0,,,92-84,,Turnover by K. Middleton (bad pass; steal by J. Harden)
9:18.0,E. Gordon makes 3-pt shot from 23 ft (assist by C. Paul),3,95-84,,
9:00.0,,,95-86,2,J. Parker makes 2-pt shot from 1 ft (assist by J. Terry)
8:42.0,E. Gordon misses 3-pt shot from 26 ft,,95-86,,
8:40.0,,,95-86,,Defensive rebound by E. Bledsoe
8:30.0,,,95-86,,E. Bledsoe misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by J. Harden,,95-86,,
8:25.0,Shooting foul by J. Terry (drawn by C. Paul),,95-86,,
8:25.0,C. Paul makes free throw 1 of 2,1,96-86,,
8:25.0,C. Paul makes free throw 2 of 2,1,97-86,,
8:25.0,,,97-86,,S. Brown enters the game for J. Parker
8:12.0,,,97-86,,S. Brown misses 2-pt shot from 3 ft (block by J. Harden)
8:12.0,,,97-86,,Offensive rebound by Team
8:02.0,,,97-88,2,S. Brown makes 2-pt shot from 1 ft
7:43.0,,,97-88,,Def 3 sec tech foul by S. Brown
7:43.0,C. Paul makes technical free throw,1,98-88,,
7:43.0,,,98-88,,T. Snell enters the game for J. Terry
7:43.0,L. Mbah a Moute enters the game for E. Gordon,,98-88,,
7:33.0,C. Paul misses 3-pt shot from 30 ft,,98-88,,
7:29.0,,,98-88,,Defensive rebound by G. Antetokounmpo
7:20.0,,,98-88,,K. Middleton misses 2-pt shot from 9 ft
7:18.0,Defensive rebound by C. Paul,,98-88,,
7:15.0,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by C. Paul),3,101-88,,
7:14.0,,,101-88,,Milwaukee full timeout
7:14.0,C. Capela enters the game for P. Tucker,,101-88,,
6:58.0,,,101-90,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
6:39.0,C. Paul misses 2-pt shot from 13 ft,,101-90,,
6:32.0,Offensive rebound by C. Capela,,101-90,,
6:32.0,C. Capela misses 2-pt shot at rim,,101-90,,
6:31.0,Offensive rebound by C. Capela,,101-90,,
6:19.0,J. Harden misses 3-pt shot from 27 ft (block by G. Antetokounmpo),,101-90,,
6:19.0,,,101-90,,Defensive rebound by K. Middleton
6:17.0,Personal foul by C. Paul (drawn by G. Antetokounmpo),,101-90,,
5:55.0,,,101-90,,E. Bledsoe misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by L. Mbah a Moute,,101-90,,
5:43.0,Turnover by T. Ariza (bad pass; steal by K. Middleton),,101-90,,
5:39.0,,,101-90,,Turnover by K. Middleton (bad pass; steal by J. Harden)
5:35.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,103-90,,
5:25.0,,,103-90,,Shooting foul by C. Capela (drawn by G. Antetokounmpo)
5:25.0,,,103-91,1,G. Antetokounmpo makes free throw 1 of 2
5:25.0,E. Gordon enters the game for C. Paul,,103-91,,
5:25.0,,,103-92,1,G. Antetokounmpo makes free throw 2 of 2
5:10.0,,,103-92,,Personal foul by E. Bledsoe (drawn by T. Ariza)
4:56.0,J. Harden misses 2-pt shot from 9 ft,,103-92,,
4:53.0,,,103-92,,Defensive rebound by G. Antetokounmpo
4:39.0,,,103-92,,K. Middleton misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by J. Harden,,103-92,,
4:17.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,103-92,,
4:14.0,,,103-92,,Defensive rebound by S. Brown
4:06.0,,,103-92,,G. Antetokounmpo misses 2-pt shot at rim
4:04.0,Defensive rebound by T. Ariza,,103-92,,
3:54.0,J. Harden misses 2-pt shot from 4 ft,,103-92,,
