time,Orlando,pts.away,score,pts.home,Houston
8:16.0,,,63-66,,Shooting foul by B. Biyombo (drawn by R. Anderson)
8:16.0,,,63-67,1,R. Anderson makes free throw 1 of 2
8:16.0,,,63-67,,N. Hilario enters the game for C. Capela
8:16.0,,,63-68,1,R. Anderson makes free throw 2 of 2
8:07.0,E. Payton misses 2-pt shot from 1 ft,,63-68,,
8:05.0,,,63-68,,Defensive rebound by N. Hilario
8:02.0,,,63-68,,Turnover by J. Harden (bad pass)
8:02.0,,,63-68,,P. Tucker enters the game for L. Mbah a Moute
7:47.0,M. Hezonja misses 3-pt shot from 22 ft,,63-68,,
7:44.0,,,63-68,,Defensive rebound by N. Hilario
7:41.0,,,63-70,2,J. Harden makes 2-pt shot from 2 ft
7:28.0,Shooting foul by J. Harden (drawn by E. Fournier),,63-70,,
7:28.0,E. Fournier makes free throw 1 of 2,1,64-70,,
7:28.0,E. Fournier makes free throw 2 of 2,1,65-70,,
7:14.0,,,65-70,,G. Green misses 2-pt shot from 10 ft
7:12.0,,,65-70,,Offensive rebound by G. Green
7:09.0,,,65-72,2,G. Green makes 2-pt shot from 11 ft
6:44.0,J. Simmons misses 2-pt shot from 11 ft,,65-72,,
6:41.0,Offensive rebound by B. Biyombo,,65-72,,
6:40.0,B. Biyombo makes 2-pt shot from 1 ft,2,67-72,,
6:26.0,,,67-72,,N. Hilario misses 2-pt shot from 18 ft
6:24.0,Defensive rebound by E. Fournier,,67-72,,
6:20.0,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Fournier),3,70-72,,
5:57.0,,,70-75,3,P. Tucker makes 3-pt shot from 23 ft (assist by N. Hilario)
5:39.0,J. Simmons makes 3-pt shot from 25 ft (assist by E. Fournier),3,73-75,,
5:15.0,,,73-78,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
5:02.0,M. Hezonja makes 3-pt shot from 22 ft (assist by E. Payton),3,76-78,,
5:00.0,,,76-78,,Houston full timeout
5:00.0,,,76-78,,L. Mbah a Moute enters the game for G. Green
4:53.0,,,76-78,,R. Anderson misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by M. Hezonja,,76-78,,
4:32.0,J. Simmons makes 2-pt shot from 9 ft,2,78-78,,
4:13.0,,,78-78,,Shooting foul by B. Biyombo (drawn by J. Harden)
4:13.0,,,78-79,1,J. Harden makes free throw 1 of 2
4:13.0,,,78-79,,G. Green enters the game for R. Anderson
4:13.0,,,78-80,1,J. Harden makes free throw 2 of 2
4:00.0,,,78-80,,Personal foul by N. Hilario (drawn by J. Simmons)
3:44.0,J. Simmons makes 2-pt shot from 6 ft,2,80-80,,
3:30.0,,,80-83,3,P. Tucker makes 3-pt shot from 22 ft (assist by J. Harden)
3:15.0,E. Fournier misses 3-pt shot from 29 ft,,80-83,,
3:12.0,,,80-83,,Defensive rebound by J. Harden
3:05.0,,,80-83,,Turnover by J. Harden (bad pass; steal by E. Payton)
3:02.0,Turnover by M. Hezonja (out of bounds lost ball),,80-83,,
2:45.0,,,80-83,,Turnover by J. Harden (bad pass; steal by E. Payton)
2:31.0,M. Hezonja makes 3-pt shot from 23 ft (assist by E. Fournier),3,83-83,,
2:09.0,,,83-85,2,J. Harden makes 2-pt shot from 1 ft
1:57.0,E. Payton makes 2-pt shot from 5 ft,2,85-85,,
1:37.0,,,85-85,,Turnover by N. Hilario (bad pass; steal by E. Fournier)
1:33.0,E. Fournier misses 2-pt shot from 1 ft (block by G. Green),,85-85,,
1:33.0,Offensive rebound by Team,,85-85,,
1:33.0,Orlando full timeout,,85-85,,
1:33.0,M. Speights enters the game for E. Payton,,85-85,,
1:33.0,D. Augustin enters the game for E. Fournier,,85-85,,
1:33.0,W. Iwundu enters the game for B. Biyombo,,85-85,,
1:28.0,Turnover by M. Speights (turnover),,85-85,,
1:16.0,,,85-85,,G. Green misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by D. Augustin,,85-85,,
0:57.0,M. Speights makes 3-pt shot from 24 ft (assist by D. Augustin),3,88-85,,
0:46.0,,,88-87,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden)
0:31.0,J. Simmons misses 3-pt shot from 26 ft,,88-87,,
0:29.0,,,88-87,,Defensive rebound by N. Hilario
0:09.0,,,88-90,3,J. Harden makes 3-pt shot from 25 ft
0:02.0,,,88-90,,Personal foul by N. Hilario (drawn by D. Augustin)
0:00.0,Turnover by W. Iwundu (bad pass; steal by J. Harden),,88-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,88-90,,P. Tucker misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by M. Speights,,88-90,,
11:20.0,Turnover by Team (shot clock),,88-90,,
11:05.0,,,88-90,,G. Green misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by W. Iwundu,,88-90,,
10:48.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Afflalo),3,91-90,,
10:36.0,Shooting block foul by M. Speights (drawn by G. Green),,91-90,,
10:36.0,,,91-91,1,G. Green makes free throw 1 of 2
10:36.0,,,91-91,,G. Green misses free throw 2 of 2
10:31.0,Defensive rebound by M. Speights,,91-91,,
10:22.0,S. Mack makes 2-pt shot from 1 ft (assist by M. Speights),2,93-91,,
10:09.0,,,93-91,,J. Harden misses 2-pt shot from 14 ft
10:07.0,Defensive rebound by S. Mack,,93-91,,
10:02.0,A. Afflalo misses 2-pt shot from 22 ft,,93-91,,
10:00.0,,,93-91,,Defensive rebound by G. Green
9:46.0,,,93-91,,C. Capela misses 2-pt shot from 2 ft
9:44.0,,,93-91,,Offensive rebound by C. Capela
9:36.0,,,93-91,,C. Capela misses 2-pt shot from 2 ft (block by M. Speights)
9:35.0,,,93-91,,Offensive rebound by C. Capela
9:34.0,,,93-93,2,C. Capela makes 2-pt shot from 1 ft
9:17.0,,,93-93,,Personal foul by C. Capela (drawn by S. Mack)
9:17.0,,,93-93,,R. Anderson enters the game for G. Green
9:09.0,M. Speights misses 3-pt shot from 28 ft,,93-93,,
9:09.0,,,93-93,,Defensive rebound by Team
8:56.0,,,93-96,3,J. Harden makes 3-pt shot from 26 ft
8:40.0,S. Mack makes 2-pt shot from 2 ft,2,95-96,,
8:17.0,,,95-98,2,C. Capela makes 2-pt shot from 15 ft (assist by J. Harden)
7:59.0,D. Augustin misses 2-pt shot from 2 ft (block by C. Capela),,95-98,,
7:57.0,,,95-98,,Defensive rebound by J. Harden
7:47.0,,,95-98,,Offensive foul by R. Anderson (drawn by D. Augustin)
7:47.0,,,95-98,,Turnover by R. Anderson (offensive foul)
7:21.0,A. Afflalo makes 2-pt shot from 16 ft (assist by W. Iwundu),2,97-98,,
6:55.0,,,97-101,3,J. Harden makes 3-pt shot from 25 ft
6:41.0,M. Speights makes 3-pt shot from 22 ft (assist by A. Afflalo),3,100-101,,
6:41.0,Shooting foul by C. Capela (drawn by M. Speights),,100-101,,
6:41.0,,,100-101,,Houston full timeout
6:41.0,J. Simmons enters the game for W. Iwundu,,100-101,,
6:41.0,M. Speights makes free throw 1 of 1,1,101-101,,
6:26.0,,,101-101,,L. Mbah a Moute misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by M. Speights,,101-101,,
6:00.0,M. Speights misses 3-pt shot from 22 ft,,101-101,,
5:57.0,,,101-101,,Defensive rebound by P. Tucker
5:44.0,,,101-101,,C. Capela misses 2-pt shot from 2 ft
5:40.0,Defensive rebound by S. Mack,,101-101,,
5:37.0,Shooting foul by P. Tucker (drawn by S. Mack),,101-101,,
5:37.0,S. Mack makes free throw 1 of 2,1,102-101,,
5:37.0,,,102-101,,G. Green enters the game for C. Capela
5:37.0,M. Hezonja enters the game for M. Speights,,102-101,,
5:37.0,S. Mack makes free throw 2 of 2,1,103-101,,
5:24.0,,,103-103,2,J. Harden makes 2-pt shot from 1 ft
5:01.0,D. Augustin misses 3-pt shot from 28 ft,,103-103,,
4:59.0,,,103-103,,Defensive rebound by R. Anderson
4:45.0,,,103-103,,Shooting foul by A. Afflalo (drawn by J. Harden)
4:45.0,,,103-103,,Houston full timeout
4:45.0,M. Speights enters the game for A. Afflalo,,103-103,,
4:45.0,,,103-104,1,J. Harden makes free throw 1 of 2
4:45.0,,,103-105,1,J. Harden makes free throw 2 of 2
4:23.0,M. Hezonja makes 2-pt shot at rim (assist by S. Mack),2,105-105,,
4:09.0,Personal foul by S. Mack (drawn by J. Harden),,105-105,,
3:55.0,,,105-107,2,J. Harden makes 2-pt shot from 8 ft
3:36.0,M. Speights makes 2-pt shot from 8 ft,2,107-107,,
3:09.0,,,107-107,,J. Harden misses 3-pt shot from 26 ft
3:06.0,Defensive rebound by D. Augustin,,107-107,,
3:06.0,Orlando full timeout,,107-107,,
3:06.0,,,107-107,,C. Capela enters the game for G. Green
2:55.0,,,107-107,,Personal foul by C. Capela (drawn by M. Speights)
2:44.0,E. Fournier enters the game for D. Augustin,,107-107,,
2:43.0,Turnover by Team (turnover),,107-107,,
2:32.0,Personal foul by M. Speights (drawn by R. Anderson),,107-107,,
2:14.0,,,107-107,,J. Harden misses 3-pt shot from 30 ft
2:11.0,,,107-107,,Offensive rebound by J. Harden
1:50.0,,,107-109,2,J. Harden makes 2-pt shot from 19 ft
1:41.0,E. Fournier misses 3-pt shot from 26 ft,,107-109,,
1:37.0,,,107-109,,Defensive rebound by P. Tucker
1:22.0,,,107-109,,Offensive charge foul by J. Harden (drawn by M. Speights)
1:22.0,,,107-109,,Turnover by J. Harden (offensive foul)
1:07.0,Turnover by J. Simmons (lost ball; steal by J. Harden),,107-109,,
1:03.0,,,107-109,,J. Harden misses 2-pt shot at rim (block by M. Hezonja)
1:03.0,,,107-109,,Offensive rebound by Team
0:45.0,,,107-112,3,J. Harden makes 3-pt shot from 26 ft
0:45.0,,,107-112,,Shooting foul by M. Hezonja (drawn by J. Harden)
0:45.0,,,107-113,1,J. Harden makes free throw 1 of 1
0:45.0,Orlando full timeout,,107-113,,
0:41.0,M. Hezonja misses 3-pt shot from 26 ft,,107-113,,
0:38.0,,,107-113,,Defensive rebound by J. Harden
0:28.0,Personal foul by J. Simmons (drawn by L. Mbah a Moute),,107-113,,
0:28.0,,,107-113,,L. Mbah a Moute misses free throw 1 of 2
0:28.0,,,107-113,,Offensive rebound by Team
0:28.0,,,107-114,1,L. Mbah a Moute makes free throw 2 of 2
0:28.0,Orlando full timeout,,107-114,,
0:28.0,D. Augustin enters the game for S. Mack,,107-114,,
0:22.0,M. Hezonja misses 2-pt shot from 2 ft,,107-114,,
0:18.0,Offensive rebound by M. Hezonja,,107-114,,
0:18.0,M. Hezonja misses 2-pt shot at rim,,107-114,,
0:16.0,,,107-114,,Defensive rebound by C. Capela
