time,Houston,pts.away,score,pts.home,Denver
3:43.0,Shooting block foul by L. Mbah a Moute (drawn by G. Harris),,19-11,,
3:43.0,,,19-11,,G. Harris misses free throw 1 of 2
3:43.0,,,19-11,,Offensive rebound by Team
3:43.0,,,19-11,,T. Lyles enters the game for W. Chandler
3:43.0,,,19-12,1,G. Harris makes free throw 2 of 2
3:31.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,19-12,,
3:30.0,,,19-12,,Defensive rebound by T. Lyles
3:26.0,,,19-14,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
3:26.0,,,19-14,,Shooting foul by J. Johnson (drawn by N. Jokic)
3:26.0,,,19-14,,N. Jokic misses free throw 1 of 1
3:24.0,Defensive rebound by J. Harden,,19-14,,
3:12.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Harden),3,22-14,,
2:59.0,,,22-14,,G. Harris misses 2-pt shot from 14 ft
2:56.0,Defensive rebound by J. Harden,,22-14,,
2:47.0,Shooting foul by W. Barton (drawn by J. Harden),,22-14,,
2:47.0,Houston full timeout,,22-14,,
2:47.0,,,22-14,,J. Murray enters the game for W. Barton
2:47.0,J. Harden misses free throw 1 of 2,,22-14,,
2:47.0,Offensive rebound by Team,,22-14,,
2:47.0,J. Harden makes free throw 2 of 2,1,23-14,,
2:33.0,,,23-17,3,T. Lyles makes 3-pt shot from 24 ft (assist by J. Murray)
2:12.0,J. Harden makes 3-pt shot from 24 ft,3,26-17,,
2:12.0,Shooting foul by D. Harris (drawn by J. Harden),,26-17,,
2:12.0,,,26-17,,M. Plumlee enters the game for G. Harris
2:12.0,,,26-17,,M. Beasley enters the game for N. Jokic
2:12.0,J. Harden makes free throw 1 of 1,1,27-17,,
2:00.0,,,27-17,,T. Lyles misses 2-pt shot from 16 ft
1:56.0,Defensive rebound by J. Johnson,,27-17,,
1:53.0,J. Harden makes 2-pt shot from 9 ft,2,29-17,,
1:53.0,,,29-17,,Shooting block foul by D. Harris (drawn by J. Harden)
1:53.0,J. Harden makes free throw 1 of 1,1,30-17,,
1:43.0,,,30-17,,T. Lyles misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by B. Wright,,30-17,,
1:36.0,J. Harden misses 3-pt shot from 23 ft,,30-17,,
1:33.0,,,30-17,,Defensive rebound by M. Plumlee
1:27.0,,,30-20,3,J. Murray makes 3-pt shot from 25 ft (assist by M. Plumlee)
1:01.0,J. Harden makes 3-pt shot from 24 ft,3,33-20,,
0:46.0,,,33-22,2,J. Murray makes 2-pt shot from 2 ft (assist by T. Lyles)
0:29.0,Shooting foul by D. Harris (drawn by J. Harden),,33-22,,
0:29.0,J. Harden makes free throw 1 of 3,1,34-22,,
0:29.0,J. Harden makes free throw 2 of 3,1,35-22,,
0:29.0,J. Harden makes free throw 3 of 3,1,36-22,,
0:29.0,,,36-22,,W. Barton enters the game for D. Harris
0:08.0,,,36-25,3,M. Beasley makes 3-pt shot from 24 ft (assist by T. Lyles)
0:01.0,B. Wright makes 2-pt shot from 1 ft (assist by J. Harden),2,38-25,,
0:00.0,,,38-25,,J. Murray misses 3-pt shot from 55 ft
0:00.0,,,38-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,38-25,,M. Beasley misses 3-pt shot from 22 ft
11:39.0,Defensive rebound by P. Tucker,,38-25,,
11:32.0,P. Tucker makes 3-pt shot from 24 ft (assist by J. Johnson),3,41-25,,
11:16.0,,,41-25,,Turnover by M. Plumlee (out of bounds lost ball)
10:59.0,C. Paul makes 2-pt shot from 1 ft,2,43-25,,
10:59.0,,,43-25,,Denver full timeout
10:39.0,,,43-28,3,J. Murray makes 3-pt shot from 22 ft (assist by W. Barton)
10:16.0,,,43-28,,Personal foul by J. Murray (drawn by J. Johnson)
10:16.0,C. Capela enters the game for B. Wright,,43-28,,
10:01.0,J. Johnson misses 3-pt shot from 22 ft,,43-28,,
9:58.0,,,43-28,,Defensive rebound by M. Beasley
9:41.0,,,43-28,,M. Beasley misses 3-pt shot from 24 ft
9:39.0,,,43-28,,Offensive rebound by M. Plumlee
9:37.0,,,43-30,2,T. Lyles makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:21.0,Turnover by C. Paul (bad pass; steal by M. Plumlee),,43-30,,
9:05.0,,,43-30,,T. Lyles misses 2-pt shot from 5 ft
9:03.0,Defensive rebound by C. Capela,,43-30,,
8:59.0,Turnover by C. Capela (lost ball; steal by M. Plumlee),,43-30,,
8:58.0,,,43-30,,M. Beasley misses 2-pt shot from 2 ft (block by C. Capela)
8:57.0,Defensive rebound by C. Capela,,43-30,,
8:57.0,Turnover by C. Capela (bad pass; steal by M. Beasley),,43-30,,
8:44.0,,,43-32,2,T. Lyles makes 2-pt shot from 2 ft (assist by M. Plumlee)
8:24.0,Turnover by C. Capela (step out of bounds),,43-32,,
8:09.0,,,43-34,2,W. Barton makes 2-pt shot from 3 ft (assist by T. Lyles)
7:57.0,C. Paul makes 2-pt shot from 15 ft,2,45-34,,
7:45.0,,,45-36,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Murray)
7:22.0,Turnover by C. Paul (bad pass; steal by T. Lyles),,45-36,,
7:17.0,,,45-38,2,W. Barton makes 2-pt shot from 1 ft (assist by T. Lyles)
7:17.0,Houston full timeout,,45-38,,
7:17.0,J. Harden enters the game for J. Johnson,,45-38,,
6:54.0,T. Ariza makes 2-pt shot from 1 ft (assist by P. Tucker),2,47-38,,
6:39.0,,,47-40,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Murray)
6:21.0,J. Harden makes 2-pt shot from 2 ft,2,49-40,,
6:02.0,,,49-40,,Turnover by M. Beasley (bad pass; steal by C. Paul)
5:56.0,P. Tucker misses 2-pt shot from 1 ft,,49-40,,
5:53.0,,,49-40,,Defensive rebound by W. Barton
5:51.0,Personal foul by P. Tucker (drawn by W. Barton),,49-40,,
5:51.0,,,49-40,,G. Harris enters the game for J. Murray
5:51.0,R. Anderson enters the game for C. Capela,,49-40,,
5:51.0,L. Mbah a Moute enters the game for P. Tucker,,49-40,,
5:45.0,,,49-40,,Turnover by M. Plumlee (lost ball; steal by C. Paul)
5:44.0,,,49-40,,Personal foul by M. Plumlee (drawn by C. Paul)
5:22.0,Turnover by J. Harden (bad pass; steal by G. Harris),,49-40,,
5:16.0,,,49-42,2,M. Beasley makes 2-pt shot from 2 ft (assist by G. Harris)
5:01.0,C. Paul misses 3-pt shot from 26 ft,,49-42,,
4:59.0,,,49-42,,Defensive rebound by G. Harris
4:55.0,,,49-42,,G. Harris misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by T. Ariza,,49-42,,
4:47.0,,,49-42,,Personal foul by M. Plumlee (drawn by C. Paul)
4:47.0,,,49-42,,N. Jokic enters the game for T. Lyles
4:47.0,,,49-42,,W. Chandler enters the game for M. Plumlee
4:47.0,J. Johnson enters the game for C. Paul,,49-42,,
4:39.0,J. Harden makes 3-pt shot from 24 ft (assist by L. Mbah a Moute),3,52-42,,
4:39.0,Shooting foul by W. Barton (drawn by J. Harden),,52-42,,
4:39.0,J. Harden misses free throw 1 of 1,,52-42,,
4:37.0,,,52-42,,Defensive rebound by W. Barton
4:34.0,,,52-42,,Shooting foul by L. Mbah a Moute (drawn by M. Beasley)
4:34.0,,,52-42,,M. Beasley misses free throw 1 of 2
4:34.0,,,52-42,,Offensive rebound by Team
4:34.0,,,52-42,,J. Murray enters the game for W. Barton
4:34.0,,,52-43,1,M. Beasley makes free throw 2 of 2
4:15.0,Shooting foul by G. Harris (drawn by J. Harden),,52-43,,
4:15.0,J. Harden makes free throw 1 of 2,1,53-43,,
4:15.0,J. Harden makes free throw 2 of 2,1,54-43,,
4:03.0,Personal foul by R. Anderson (drawn by N. Jokic),,54-43,,
3:53.0,,,54-43,,M. Beasley misses 2-pt shot from 2 ft
3:53.0,,,54-43,,Offensive rebound by Team
3:45.0,,,54-43,,G. Harris misses 2-pt shot from 2 ft
3:43.0,Defensive rebound by J. Harden,,54-43,,
3:37.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,54-43,,
3:30.0,Offensive rebound by R. Anderson,,54-43,,
3:30.0,R. Anderson makes 2-pt shot at rim,2,56-43,,
3:22.0,Personal foul by J. Harden (drawn by N. Jokic),,56-43,,
3:14.0,,,56-43,,M. Beasley misses 3-pt shot from 22 ft
3:08.0,,,56-43,,Offensive rebound by N. Jokic
3:06.0,,,56-43,,N. Jokic misses 2-pt shot from 1 ft
3:05.0,,,56-43,,Offensive rebound by N. Jokic
3:04.0,,,56-43,,N. Jokic misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by T. Ariza,,56-43,,
2:42.0,J. Harden makes 3-pt shot from 24 ft,3,59-43,,
2:31.0,,,59-43,,G. Harris misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by R. Anderson,,59-43,,
2:06.0,J. Harden misses 2-pt shot from 2 ft (block by M. Beasley),,59-43,,
2:04.0,,,59-43,,Defensive rebound by N. Jokic
1:59.0,,,59-45,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
1:54.0,Shooting foul by J. Murray (drawn by T. Ariza),,59-45,,
1:54.0,T. Ariza misses free throw 1 of 2,,59-45,,
1:54.0,Offensive rebound by Team,,59-45,,
1:54.0,,,59-45,,T. Lyles enters the game for M. Beasley
1:54.0,T. Ariza makes free throw 2 of 2,1,60-45,,
1:41.0,,,60-45,,Offensive charge foul by N. Jokic (drawn by R. Anderson)
1:41.0,,,60-45,,Turnover by N. Jokic (offensive foul)
1:41.0,C. Paul enters the game for T. Ariza,,60-45,,
1:35.0,,,60-45,,Personal foul by J. Murray (drawn by C. Paul)
1:35.0,C. Paul makes free throw 1 of 2,1,61-45,,
1:35.0,,,61-45,,D. Harris enters the game for J. Murray
1:35.0,C. Paul makes free throw 2 of 2,1,62-45,,
1:23.0,Def 3 sec tech foul by L. Mbah a Moute,,62-45,,
1:23.0,,,62-45,,G. Harris misses technical free throw
1:23.0,,,62-45,,Offensive rebound by Team
1:11.0,Personal foul by L. Mbah a Moute (drawn by N. Jokic),,62-45,,
1:11.0,,,62-46,1,N. Jokic makes free throw 1 of 2
1:11.0,,,62-47,1,N. Jokic makes free throw 2 of 2
1:05.0,,,62-47,,Personal foul by D. Harris (drawn by C. Paul)
1:05.0,C. Paul makes free throw 1 of 2,1,63-47,,
1:05.0,,,63-47,,M. Beasley enters the game for D. Harris
1:05.0,C. Paul makes free throw 2 of 2,1,64-47,,
0:54.0,Personal foul by R. Anderson (drawn by N. Jokic),,64-47,,
0:54.0,,,64-47,,N. Jokic misses free throw 1 of 2
0:54.0,,,64-47,,Offensive rebound by Team
0:54.0,,,64-48,1,N. Jokic makes free throw 2 of 2
0:42.0,R. Anderson makes 2-pt shot from 13 ft (assist by J. Harden),2,66-48,,
0:32.0,,,66-50,2,T. Lyles makes 2-pt shot from 3 ft (assist by N. Jokic)
0:27.0,J. Harden misses 3-pt shot from 24 ft,,66-50,,
0:24.0,,,66-50,,Defensive rebound by N. Jokic
0:08.0,,,66-50,,Shooting foul by R. Anderson (drawn by N. Jokic)
0:08.0,,,66-51,1,N. Jokic makes free throw 1 of 2
0:08.0,,,66-52,1,N. Jokic makes free throw 2 of 2
0:01.0,C. Paul misses 3-pt shot from 26 ft,,66-52,,
0:01.0,Offensive rebound by Team,,66-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,66-55,3,J. Murray makes 3-pt shot from 25 ft (assist by W. Chandler)
11:26.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Tucker),3,69-55,,
11:08.0,,,69-58,3,W. Barton makes 3-pt shot from 22 ft (assist by N. Jokic)
10:50.0,P. Tucker misses 3-pt shot from 25 ft,,69-58,,
10:46.0,Offensive rebound by C. Capela,,69-58,,
10:34.0,Shooting foul by W. Barton (drawn by J. Harden),,69-58,,
10:34.0,J. Harden makes free throw 1 of 2,1,70-58,,
10:34.0,J. Harden makes free throw 2 of 2,1,71-58,,
10:20.0,,,71-60,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Chandler)
10:04.0,T. Ariza misses 3-pt shot from 22 ft,,71-60,,
10:00.0,Offensive rebound by C. Paul,,71-60,,
9:52.0,Turnover by C. Capela (lost ball; steal by N. Jokic),,71-60,,
9:49.0,Personal foul by C. Capela (drawn by N. Jokic),,71-60,,
9:34.0,,,71-63,3,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic)
9:19.0,Turnover by J. Harden (bad pass; steal by G. Harris),,71-63,,
9:15.0,,,71-63,,W. Barton misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by J. Harden,,71-63,,
9:03.0,P. Tucker misses 3-pt shot from 22 ft,,71-63,,
8:59.0,,,71-63,,Defensive rebound by N. Jokic
8:50.0,,,71-65,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray)
8:32.0,,,71-65,,Personal foul by W. Chandler (drawn by J. Harden)
8:18.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,74-65,,
8:02.0,,,74-65,,N. Jokic misses 2-pt shot from 13 ft
7:59.0,Defensive rebound by T. Ariza,,74-65,,
7:42.0,J. Harden makes 3-pt shot from 24 ft,3,77-65,,
7:41.0,,,77-65,,Denver full timeout
7:25.0,,,77-67,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
7:17.0,J. Harden misses 2-pt shot from 5 ft (block by N. Jokic),,77-67,,
7:17.0,,,77-67,,Defensive rebound by Team
7:00.0,,,77-67,,N. Jokic misses 2-pt shot from 3 ft
6:58.0,,,77-67,,Offensive rebound by N. Jokic
6:56.0,,,77-67,,N. Jokic misses 2-pt shot from 1 ft (block by C. Capela)
6:56.0,Defensive rebound by C. Paul,,77-67,,
6:42.0,C. Paul misses 3-pt shot from 25 ft,,77-67,,
6:38.0,Offensive rebound by C. Paul,,77-67,,
6:16.0,J. Harden misses 3-pt shot from 22 ft,,77-67,,
6:13.0,,,77-67,,Defensive rebound by G. Harris
6:13.0,Personal take foul by C. Paul (drawn by G. Harris),,77-67,,
6:13.0,L. Mbah a Moute enters the game for C. Paul,,77-67,,
6:07.0,,,77-69,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
5:53.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,80-69,,
5:26.0,,,80-69,,W. Chandler misses 3-pt shot from 22 ft
5:22.0,,,80-69,,Offensive rebound by N. Jokic
5:20.0,,,80-69,,N. Jokic misses 2-pt shot from 2 ft
5:20.0,Defensive rebound by T. Ariza,,80-69,,
5:13.0,P. Tucker makes 3-pt shot from 22 ft (assist by J. Harden),3,83-69,,
4:57.0,,,83-69,,J. Murray misses 2-pt shot from 5 ft
4:57.0,,,83-69,,Offensive rebound by Team
4:57.0,,,83-69,,T. Lyles enters the game for W. Barton
4:57.0,R. Anderson enters the game for P. Tucker,,83-69,,
4:42.0,,,83-69,,Turnover by N. Jokic (lost ball; steal by J. Harden)
4:36.0,Turnover by J. Harden (lost ball; steal by G. Harris),,83-69,,
4:31.0,,,83-71,2,G. Harris makes 2-pt shot from 3 ft (assist by N. Jokic)
4:13.0,,,83-71,,Personal block foul by N. Jokic (drawn by L. Mbah a Moute)
4:13.0,B. Wright enters the game for T. Ariza,,83-71,,
4:13.0,J. Johnson enters the game for C. Capela,,83-71,,
4:07.0,L. Mbah a Moute makes 2-pt shot from 2 ft,2,85-71,,
3:57.0,Personal foul by J. Johnson (drawn by N. Jokic),,85-71,,
3:50.0,,,85-71,,G. Harris misses 2-pt shot from 15 ft
3:44.0,Defensive rebound by J. Harden,,85-71,,
3:37.0,R. Anderson misses 3-pt shot from 25 ft,,85-71,,
3:35.0,,,85-71,,Defensive rebound by Team
3:31.0,Personal foul by B. Wright (drawn by N. Jokic),,85-71,,
3:16.0,,,85-73,2,J. Murray makes 2-pt shot from 3 ft
2:52.0,J. Harden makes 2-pt shot from 3 ft,2,87-73,,
2:31.0,,,87-73,,J. Murray misses 2-pt shot from 2 ft
2:29.0,Defensive rebound by L. Mbah a Moute,,87-73,,
2:21.0,Shooting foul by W. Chandler (drawn by L. Mbah a Moute),,87-73,,
2:21.0,Houston full timeout,,87-73,,
2:21.0,,,87-73,,M. Plumlee enters the game for G. Harris
2:21.0,,,87-73,,D. Harris enters the game for N. Jokic
2:21.0,,,87-73,,M. Beasley enters the game for J. Murray
2:21.0,C. Paul enters the game for J. Harden,,87-73,,
2:21.0,L. Mbah a Moute misses free throw 1 of 2,,87-73,,
2:21.0,Offensive rebound by Team,,87-73,,
2:21.0,L. Mbah a Moute makes free throw 2 of 2,1,88-73,,
2:04.0,,,88-75,2,W. Chandler makes 2-pt shot from 1 ft (assist by M. Beasley)
1:47.0,C. Paul misses 3-pt shot from 25 ft,,88-75,,
1:44.0,,,88-75,,Defensive rebound by T. Lyles
1:27.0,,,88-77,2,T. Lyles makes 2-pt shot from 4 ft (assist by D. Harris)
1:07.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,90-77,,
0:53.0,Personal foul by B. Wright (drawn by M. Plumlee),,90-77,,
0:53.0,,,90-78,1,M. Plumlee makes free throw 1 of 2
0:53.0,,,90-79,1,M. Plumlee makes free throw 2 of 2
0:32.0,Turnover by L. Mbah a Moute (step out of bounds),,90-79,,
0:10.0,,,90-79,,M. Beasley misses 2-pt shot from 7 ft
0:08.0,Defensive rebound by Team,,90-79,,
0:03.0,,,90-79,,Personal foul by M. Beasley (drawn by C. Paul)
0:03.0,C. Paul makes free throw 1 of 2,1,91-79,,
0:03.0,C. Paul makes free throw 2 of 2,1,92-79,,
0:00.0,,,92-79,,W. Chandler misses 2-pt shot from 3 ft
0:00.0,,,92-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Johnson makes 2-pt shot from 3 ft,2,94-79,,
11:37.0,,,94-82,3,D. Harris makes 3-pt shot from 24 ft
11:37.0,,,94-82,,Shooting foul by B. Wright (drawn by D. Harris)
11:37.0,,,94-83,1,D. Harris makes free throw 1 of 1
11:19.0,,,94-83,,Personal foul by T. Lyles (drawn by J. Johnson)
11:13.0,C. Paul misses 2-pt shot from 7 ft,,94-83,,
11:11.0,,,94-83,,Defensive rebound by T. Lyles
11:00.0,,,94-83,,Turnover by T. Lyles (bad pass; steal by J. Johnson)
10:49.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,94-83,,
10:47.0,Offensive rebound by R. Anderson,,94-83,,
10:47.0,R. Anderson makes 2-pt shot at rim,2,96-83,,
10:47.0,,,96-83,,Denver full timeout
10:38.0,Personal foul by R. Anderson (drawn by M. Plumlee),,96-83,,
10:30.0,,,96-83,,Turnover by T. Lyles (lost ball; steal by L. Mbah a Moute)
10:20.0,R. Anderson makes 2-pt shot from 2 ft,2,98-83,,
10:05.0,,,98-83,,D. Harris misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by C. Paul,,98-83,,
9:59.0,C. Paul makes 2-pt shot from 9 ft,2,100-83,,
9:57.0,,,100-83,,Denver full timeout
9:44.0,,,100-85,2,D. Harris makes 2-pt shot from 2 ft (assist by W. Barton)
9:19.0,Turnover by J. Johnson (bad pass; steal by W. Barton),,100-85,,
9:07.0,,,100-85,,M. Beasley misses 2-pt shot from 1 ft (block by B. Wright)
9:04.0,Defensive rebound by L. Mbah a Moute,,100-85,,
9:01.0,R. Anderson misses 3-pt shot from 25 ft,,100-85,,
8:58.0,,,100-85,,Defensive rebound by M. Beasley
8:46.0,,,100-88,3,M. Beasley makes 3-pt shot from 24 ft (assist by W. Barton)
8:27.0,C. Paul makes 3-pt shot from 27 ft,3,103-88,,
8:19.0,,,103-88,,Shooting foul by R. Anderson (drawn by T. Lyles)
8:19.0,,,103-89,1,T. Lyles makes free throw 1 of 2
8:19.0,J. Harden enters the game for J. Johnson,,103-89,,
8:19.0,T. Ariza enters the game for L. Mbah a Moute,,103-89,,
8:19.0,C. Capela enters the game for B. Wright,,103-89,,
8:19.0,P. Tucker enters the game for R. Anderson,,103-89,,
8:19.0,,,103-89,,T. Lyles misses free throw 2 of 2
8:17.0,Defensive rebound by J. Harden,,103-89,,
8:08.0,C. Paul misses 3-pt shot from 26 ft,,103-89,,
8:04.0,,,103-89,,Defensive rebound by T. Lyles
7:56.0,,,103-91,2,M. Plumlee makes 2-pt shot at rim (assist by W. Barton)
7:31.0,C. Capela misses 2-pt shot from 2 ft,,103-91,,
7:27.0,Offensive rebound by P. Tucker,,103-91,,
7:27.0,P. Tucker misses 2-pt shot at rim,,103-91,,
7:27.0,Offensive rebound by P. Tucker,,103-91,,
7:13.0,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul),2,105-91,,
6:50.0,,,105-91,,W. Barton misses 3-pt shot from 26 ft
6:48.0,,,105-91,,Offensive rebound by Team
6:48.0,,,105-91,,W. Chandler enters the game for T. Lyles
6:48.0,,,105-91,,J. Murray enters the game for M. Plumlee
6:48.0,,,105-91,,G. Harris enters the game for M. Beasley
6:48.0,,,105-91,,N. Jokic enters the game for D. Harris
6:48.0,J. Johnson enters the game for C. Paul,,105-91,,
6:39.0,,,105-91,,N. Jokic misses 2-pt shot from 3 ft
6:34.0,,,105-91,,Offensive rebound by W. Chandler
6:34.0,,,105-93,2,W. Chandler makes 2-pt shot at rim
6:12.0,Turnover by P. Tucker (bad pass; steal by W. Barton),,105-93,,
6:09.0,,,105-95,2,W. Barton makes 2-pt shot from 2 ft (assist by W. Chandler)
6:09.0,,,105-95,,Shooting foul by J. Johnson (drawn by W. Barton)
6:09.0,,,105-96,1,W. Barton makes free throw 1 of 1
5:57.0,,,105-96,,Personal foul by G. Harris (drawn by C. Capela)
5:50.0,Shooting foul by J. Murray (drawn by J. Harden),,105-96,,
5:50.0,J. Harden makes free throw 1 of 2,1,106-96,,
5:50.0,J. Harden misses free throw 2 of 2,,106-96,,
5:48.0,,,106-96,,Defensive rebound by W. Chandler
5:35.0,,,106-98,2,J. Murray makes 2-pt shot from 1 ft
5:14.0,T. Ariza misses 2-pt shot from 21 ft,,106-98,,
5:11.0,,,106-98,,Defensive rebound by N. Jokic
5:06.0,,,106-98,,Shooting foul by J. Johnson (drawn by G. Harris)
5:06.0,,,106-98,,G. Harris misses free throw 1 of 2
5:06.0,,,106-98,,Offensive rebound by Team
