time,Minnesota,pts.away,score,pts.home,Miami
10:44.0,Turnover by T. Gibson (bad pass; steal by J. Richardson),,60-64,,
10:36.0,,,60-66,2,B. Adebayo makes 2-pt shot from 2 ft (assist by D. Waiters)
10:16.0,J. Teague misses 2-pt shot from 10 ft,,60-66,,
10:14.0,,,60-66,,Defensive rebound by J. Johnson
10:09.0,,,60-66,,D. Waiters misses 3-pt shot from 28 ft
10:05.0,Defensive rebound by J. Teague,,60-66,,
10:03.0,T. Gibson makes 2-pt shot from 3 ft (assist by A. Wiggins),2,62-66,,
10:03.0,Shooting foul by D. Waiters (drawn by T. Gibson),,62-66,,
10:03.0,T. Gibson makes free throw 1 of 1,1,63-66,,
9:51.0,,,63-66,,Turnover by J. Johnson (bad pass; steal by J. Teague)
9:46.0,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Teague),2,65-66,,
9:36.0,,,65-66,,G. Dragic misses 2-pt shot from 11 ft
9:33.0,Defensive rebound by T. Gibson,,65-66,,
9:21.0,T. Gibson makes 2-pt shot from 6 ft,2,67-66,,
8:58.0,,,67-68,2,D. Waiters makes 2-pt shot from 2 ft
8:50.0,A. Wiggins misses 3-pt shot from 24 ft,,67-68,,
8:47.0,,,67-68,,Defensive rebound by D. Waiters
8:43.0,,,67-68,,J. Richardson misses 3-pt shot from 28 ft
8:40.0,Defensive rebound by J. Teague,,67-68,,
8:31.0,Turnover by J. Teague (bad pass; steal by D. Waiters),,67-68,,
8:28.0,,,67-68,,Turnover by D. Waiters (bad pass; steal by J. Butler)
8:26.0,Turnover by J. Butler (step out of bounds),,67-68,,
8:16.0,Personal foul by J. Butler (drawn by G. Dragic),,67-68,,
8:02.0,,,67-68,,J. Richardson misses 2-pt shot from 3 ft
7:57.0,,,67-68,,Offensive rebound by B. Adebayo
7:57.0,,,67-70,2,B. Adebayo makes 2-pt shot at rim
7:43.0,A. Wiggins misses 2-pt shot from 6 ft,,67-70,,
7:39.0,,,67-70,,Defensive rebound by J. Richardson
7:34.0,,,67-70,,Turnover by J. Johnson (lost ball; steal by J. Teague)
7:30.0,J. Teague misses 2-pt shot from 5 ft,,67-70,,
7:23.0,Offensive rebound by A. Wiggins,,67-70,,
7:23.0,A. Wiggins misses 2-pt shot at rim,,67-70,,
7:23.0,Offensive rebound by A. Wiggins,,67-70,,
7:20.0,A. Wiggins makes 2-pt shot at rim,2,69-70,,
7:10.0,Personal foul by K. Towns (drawn by G. Dragic),,69-70,,
7:06.0,Personal foul by J. Teague (drawn by G. Dragic),,69-70,,
6:55.0,,,69-70,,J. Johnson misses 2-pt shot from 10 ft
6:53.0,Defensive rebound by K. Towns,,69-70,,
6:46.0,A. Wiggins misses 3-pt shot from 27 ft,,69-70,,
6:45.0,Offensive rebound by A. Wiggins,,69-70,,
6:45.0,,,69-70,,Personal foul by G. Dragic (drawn by A. Wiggins)
6:45.0,,,69-70,,Miami full timeout
6:33.0,J. Butler makes 3-pt shot from 22 ft (assist by J. Teague),3,72-70,,
6:10.0,,,72-70,,D. Waiters misses 2-pt shot from 21 ft
6:04.0,Defensive rebound by A. Wiggins,,72-70,,
6:03.0,,,72-70,,Personal foul by J. Johnson (drawn by T. Gibson)
6:03.0,,,72-70,,K. Olynyk enters the game for G. Dragic
6:03.0,,,72-70,,T. Johnson enters the game for J. Johnson
5:56.0,J. Butler misses 2-pt shot from 15 ft,,72-70,,
5:52.0,,,72-70,,Defensive rebound by B. Adebayo
5:37.0,,,72-72,2,T. Johnson makes 2-pt shot from 20 ft (assist by D. Waiters)
5:11.0,J. Butler misses 3-pt shot from 25 ft,,72-72,,
5:10.0,,,72-72,,Defensive rebound by Team
4:59.0,Technical foul by J. Teague (drawn by B. Adebayo),,72-72,,
4:59.0,,,72-73,1,B. Adebayo makes free throw 2 of 2
4:59.0,,,72-73,,B. Adebayo misses free throw 1 of 2
4:59.0,,,72-73,,Offensive rebound by Team
4:52.0,,,72-73,,Turnover by T. Johnson (traveling)
4:36.0,K. Towns misses 2-pt shot from 18 ft,,72-73,,
4:34.0,,,72-73,,Defensive rebound by Team
4:22.0,,,72-73,,Turnover by D. Waiters (bad pass; steal by J. Teague)
4:22.0,,,72-73,,Personal block foul by T. Johnson (drawn by J. Teague)
4:22.0,,,72-73,,J. Winslow enters the game for J. Richardson
4:10.0,,,72-73,,Shooting block foul by B. Adebayo (drawn by K. Towns)
4:10.0,K. Towns makes free throw 1 of 2,1,73-73,,
4:10.0,K. Towns makes free throw 2 of 2,1,74-73,,
3:58.0,,,74-73,,D. Waiters misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by J. Butler,,74-73,,
3:50.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Butler),3,77-73,,
3:29.0,,,77-73,,Turnover by D. Waiters (bad pass)
3:29.0,,,77-73,,G. Dragic enters the game for D. Waiters
3:29.0,G. Dieng enters the game for K. Towns,,77-73,,
3:13.0,T. Gibson makes 2-pt shot from 16 ft (assist by J. Teague),2,79-73,,
2:55.0,Minnesota full timeout,,79-73,,
2:55.0,,,79-73,,O. White enters the game for B. Adebayo
2:55.0,T. Jones enters the game for J. Teague,,79-73,,
2:52.0,,,79-73,,K. Olynyk misses 3-pt shot from 23 ft
2:47.0,,,79-73,,Offensive rebound by O. White
2:47.0,,,79-75,2,O. White makes 2-pt shot at rim
2:30.0,J. Butler misses 2-pt shot from 9 ft,,79-75,,
2:26.0,Offensive rebound by G. Dieng,,79-75,,
2:24.0,A. Wiggins misses 3-pt shot from 26 ft,,79-75,,
2:21.0,,,79-75,,Defensive rebound by T. Johnson
2:08.0,,,79-75,,G. Dragic misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by T. Gibson,,79-75,,
1:54.0,Offensive charge foul by J. Butler (drawn by O. White),,79-75,,
1:54.0,Turnover by J. Butler (offensive foul),,79-75,,
1:42.0,,,79-78,3,O. White makes 3-pt shot from 25 ft (assist by G. Dragic)
1:25.0,Turnover by A. Wiggins (traveling),,79-78,,
1:09.0,,,79-78,,Shooting foul by G. Dieng (drawn by T. Johnson)
1:09.0,,,79-79,1,T. Johnson makes free throw 1 of 2
1:09.0,N. Bjelica enters the game for J. Butler,,79-79,,
1:09.0,J. Crawford enters the game for T. Gibson,,79-79,,
1:09.0,,,79-80,1,T. Johnson makes free throw 2 of 2
0:53.0,J. Crawford misses 2-pt shot from 18 ft,,79-80,,
0:50.0,,,79-80,,Defensive rebound by J. Winslow
0:44.0,,,79-82,2,G. Dragic makes 2-pt shot from 20 ft
0:31.0,A. Wiggins misses 2-pt shot from 10 ft,,79-82,,
0:28.0,,,79-82,,Defensive rebound by K. Olynyk
0:11.0,,,79-82,,Turnover by K. Olynyk (out of bounds lost ball)
0:02.0,A. Wiggins misses 2-pt shot from 11 ft,,79-82,,
0:01.0,,,79-82,,Defensive rebound by J. Winslow
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Offensive foul by G. Dieng (drawn by T. Johnson),,79-82,,
11:51.0,Turnover by G. Dieng (offensive foul),,79-82,,
11:41.0,,,79-82,,Turnover by T. Johnson (bad pass; steal by N. Bjelica)
11:32.0,N. Bjelica misses 3-pt shot from 25 ft,,79-82,,
11:29.0,,,79-82,,Defensive rebound by T. Johnson
11:16.0,,,79-84,2,K. Olynyk makes 2-pt shot from 2 ft (assist by G. Dragic)
10:58.0,Shooting foul by K. Olynyk (drawn by G. Dieng),,79-84,,
10:58.0,G. Dieng makes free throw 1 of 2,1,80-84,,
10:58.0,G. Dieng makes free throw 2 of 2,1,81-84,,
10:36.0,,,81-84,,Turnover by G. Dragic (bad pass; steal by G. Dieng)
10:32.0,Turnover by G. Dieng (bad pass; steal by O. White),,81-84,,
10:26.0,,,81-86,2,J. Winslow makes 2-pt shot from 2 ft (assist by G. Dragic)
10:10.0,T. Jones misses 2-pt shot from 6 ft,,81-86,,
10:10.0,,,81-86,,Defensive rebound by Team
9:56.0,,,81-86,,G. Dragic misses 2-pt shot from 11 ft
9:53.0,Defensive rebound by N. Bjelica,,81-86,,
9:47.0,,,81-86,,Personal foul by K. Olynyk (drawn by G. Dieng)
9:31.0,J. Crawford misses 3-pt shot from 26 ft,,81-86,,
9:28.0,,,81-86,,Defensive rebound by K. Olynyk
9:17.0,,,81-86,,Turnover by K. Olynyk (lost ball; steal by N. Bjelica)
9:10.0,J. Crawford makes 2-pt shot from 4 ft,2,83-86,,
9:10.0,Shooting foul by T. Johnson (drawn by J. Crawford),,83-86,,
9:10.0,J. Crawford makes free throw 1 of 1,1,84-86,,
8:52.0,,,84-88,2,K. Olynyk makes 2-pt shot from 19 ft (assist by T. Johnson)
8:39.0,Shooting foul by O. White (drawn by N. Bjelica),,84-88,,
8:39.0,N. Bjelica makes free throw 1 of 2,1,85-88,,
8:39.0,K. Towns enters the game for G. Dieng,,85-88,,
8:39.0,N. Bjelica makes free throw 2 of 2,1,86-88,,
8:26.0,,,86-91,3,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson)
8:11.0,N. Bjelica makes 2-pt shot from 1 ft,2,88-91,,
7:45.0,,,88-91,,G. Dragic misses 3-pt shot from 26 ft
7:42.0,Defensive rebound by K. Towns,,88-91,,
7:33.0,Shooting foul by T. Johnson (drawn by J. Crawford),,88-91,,
7:33.0,J. Crawford makes free throw 1 of 2,1,89-91,,
7:33.0,,,89-91,,D. Waiters enters the game for G. Dragic
7:33.0,J. Butler enters the game for T. Jones,,89-91,,
7:33.0,J. Teague enters the game for S. Muhammad,,89-91,,
7:33.0,J. Crawford makes free throw 2 of 2,1,90-91,,
7:17.0,,,90-91,,Shooting foul by N. Bjelica (drawn by T. Johnson)
7:17.0,,,90-92,1,T. Johnson makes free throw 1 of 2
7:17.0,,,90-93,1,T. Johnson makes free throw 2 of 2
6:54.0,J. Teague makes 3-pt shot from 26 ft,3,93-93,,
6:40.0,,,93-93,,T. Johnson misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by N. Bjelica,,93-93,,
6:25.0,J. Teague misses 3-pt shot from 27 ft,,93-93,,
6:21.0,,,93-93,,Defensive rebound by J. Winslow
6:16.0,,,93-93,,Turnover by D. Waiters (lost ball; steal by J. Teague)
6:15.0,,,93-93,,Personal foul by J. Winslow (drawn by J. Teague)
6:15.0,,,93-93,,Miami full timeout
6:15.0,,,93-93,,J. Richardson enters the game for O. White
6:15.0,,,93-93,,J. Johnson enters the game for J. Winslow
6:15.0,A. Wiggins enters the game for N. Bjelica,,93-93,,
6:15.0,J. Teague makes free throw 1 of 2,1,94-93,,
6:15.0,,,94-93,,J. Winslow enters the game for K. Olynyk
6:15.0,J. Teague makes free throw 2 of 2,1,95-93,,
6:03.0,,,95-93,,T. Johnson misses 2-pt shot from 22 ft
5:59.0,Defensive rebound by J. Crawford,,95-93,,
5:49.0,Shooting foul by J. Johnson (drawn by J. Butler),,95-93,,
5:49.0,J. Butler makes free throw 1 of 2,1,96-93,,
5:49.0,J. Butler makes free throw 2 of 2,1,97-93,,
5:27.0,,,97-93,,D. Waiters misses 3-pt shot from 27 ft
5:23.0,Defensive rebound by J. Butler,,97-93,,
5:12.0,J. Teague makes 2-pt shot from 8 ft,2,99-93,,
5:00.0,,,99-93,,J. Richardson misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by K. Towns,,99-93,,
4:47.0,J. Teague misses 2-pt shot from 5 ft,,99-93,,
4:43.0,,,99-93,,Defensive rebound by J. Winslow
4:42.0,,,99-95,2,D. Waiters makes 2-pt shot from 3 ft
4:42.0,Shooting block foul by A. Wiggins (drawn by D. Waiters),,99-95,,
4:42.0,,,99-95,,G. Dragic enters the game for T. Johnson
4:42.0,,,99-95,,B. Adebayo enters the game for J. Johnson
4:42.0,,,99-96,1,D. Waiters makes free throw 1 of 1
4:29.0,,,99-96,,Personal foul by J. Richardson (drawn by A. Wiggins)
