time,Denver,pts.away,score,pts.home,Detroit
6:17.0,W. Barton enters the game for D. Arthur,,37-33,,
6:17.0,,,37-34,1,A. Drummond makes free throw 2 of 2
6:08.0,T. Lyles makes 3-pt shot from 25 ft (assist by E. Mudiay),3,40-34,,
5:47.0,,,40-34,,Personal foul by A. Drummond (drawn by E. Mudiay)
5:47.0,,,40-34,,Turnover by A. Drummond (turnover)
5:31.0,E. Mudiay misses 3-pt shot from 24 ft,,40-34,,
5:28.0,,,40-34,,Defensive rebound by R. Jackson
5:17.0,,,40-34,,T. Harris misses 2-pt shot from 14 ft
5:13.0,Defensive rebound by M. Plumlee,,40-34,,
5:04.0,M. Beasley makes 2-pt shot from 5 ft (assist by W. Barton),2,42-34,,
4:41.0,,,42-34,,A. Bradley misses 2-pt shot from 20 ft
4:37.0,,,42-34,,Offensive rebound by A. Drummond
4:22.0,,,42-36,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley)
4:12.0,Shooting foul by R. Jackson (drawn by E. Mudiay),,42-36,,
4:12.0,E. Mudiay makes free throw 1 of 2,1,43-36,,
4:12.0,E. Mudiay makes free throw 2 of 2,1,44-36,,
4:12.0,,,44-36,,R. Bullock enters the game for L. Kennard
4:12.0,W. Chandler enters the game for M. Beasley,,44-36,,
3:57.0,,,44-36,,T. Harris misses 2-pt shot from 10 ft
3:55.0,,,44-36,,Offensive rebound by A. Drummond
3:51.0,,,44-36,,A. Drummond misses 2-pt shot at rim
3:50.0,,,44-36,,Offensive rebound by T. Harris
3:44.0,,,44-36,,T. Harris misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by W. Chandler,,44-36,,
3:32.0,E. Mudiay misses 3-pt shot from 24 ft,,44-36,,
3:29.0,,,44-36,,Defensive rebound by T. Harris
3:25.0,,,44-36,,T. Harris misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by M. Plumlee,,44-36,,
3:10.0,Turnover by T. Lyles (traveling),,44-36,,
3:10.0,J. Murray enters the game for E. Mudiay,,44-36,,
2:51.0,,,44-36,,A. Bradley misses 2-pt shot from 11 ft
2:47.0,Defensive rebound by M. Plumlee,,44-36,,
2:37.0,J. Murray misses 3-pt shot from 27 ft,,44-36,,
2:33.0,,,44-36,,Defensive rebound by T. Harris
2:24.0,,,44-36,,R. Jackson misses 2-pt shot from 12 ft
2:24.0,,,44-36,,Offensive rebound by R. Jackson
2:20.0,,,44-36,,R. Bullock misses 2-pt shot from 18 ft
2:16.0,Defensive rebound by M. Plumlee,,44-36,,
1:59.0,W. Barton misses 3-pt shot from 25 ft,,44-36,,
1:57.0,,,44-36,,B. Marjanovic enters the game for A. Drummond
1:57.0,G. Harris enters the game for T. Lyles,,44-36,,
1:57.0,,,44-36,,Defensive rebound by Team
1:45.0,,,44-36,,R. Jackson misses 2-pt shot from 8 ft
1:43.0,Defensive rebound by M. Plumlee,,44-36,,
1:36.0,Turnover by M. Plumlee (lost ball; steal by R. Bullock),,44-36,,
1:33.0,,,44-38,2,R. Bullock makes 2-pt shot at rim
1:33.0,Violation by W. Barton (def goaltending),,44-38,,
1:16.0,G. Harris misses 3-pt shot from 26 ft,,44-38,,
1:12.0,,,44-38,,Defensive rebound by A. Bradley
1:05.0,,,44-38,,B. Marjanovic misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by M. Plumlee,,44-38,,
0:52.0,W. Chandler makes 3-pt shot from 22 ft (assist by G. Harris),3,47-38,,
0:39.0,,,47-38,,Turnover by A. Bradley (bad pass)
0:31.0,Shooting foul by B. Marjanovic (drawn by W. Chandler),,47-38,,
0:31.0,W. Chandler makes free throw 1 of 2,1,48-38,,
0:31.0,D. Arthur enters the game for M. Plumlee,,48-38,,
0:31.0,W. Chandler makes free throw 2 of 2,1,49-38,,
0:11.0,,,49-40,2,B. Marjanovic makes 2-pt shot from 10 ft (assist by R. Jackson)
0:01.0,W. Barton misses 3-pt shot from 26 ft,,49-40,,
0:01.0,Offensive rebound by W. Chandler,,49-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-40,,Shooting foul by W. Chandler (drawn by T. Harris)
11:43.0,,,49-41,1,T. Harris makes free throw 1 of 2
11:43.0,,,49-42,1,T. Harris makes free throw 2 of 2
11:23.0,J. Murray makes 2-pt shot from 4 ft,2,51-42,,
11:08.0,,,51-42,,Turnover by R. Bullock (bad pass; steal by G. Harris)
11:04.0,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris),3,54-42,,
10:41.0,,,54-44,2,A. Bradley makes 2-pt shot from 8 ft (assist by A. Drummond)
10:31.0,J. Murray makes 2-pt shot from 1 ft (assist by M. Plumlee),2,56-44,,
10:29.0,,,56-44,,Detroit full timeout
10:17.0,,,56-44,,Shooting foul by W. Barton (drawn by R. Jackson)
10:17.0,,,56-45,1,R. Jackson makes free throw 1 of 2
10:17.0,,,56-46,1,R. Jackson makes free throw 2 of 2
9:54.0,G. Harris makes 2-pt shot from 17 ft,2,58-46,,
9:38.0,,,58-48,2,R. Jackson makes 2-pt shot from 8 ft
9:19.0,W. Chandler misses 3-pt shot from 26 ft,,58-48,,
9:14.0,Offensive rebound by W. Barton,,58-48,,
9:09.0,W. Chandler makes 2-pt shot from 6 ft (assist by G. Harris),2,60-48,,
8:47.0,,,60-48,,T. Harris misses 3-pt shot from 28 ft
8:45.0,Defensive rebound by M. Plumlee,,60-48,,
8:29.0,G. Harris makes 2-pt shot from 19 ft,2,62-48,,
8:05.0,,,62-48,,R. Jackson misses 3-pt shot from 27 ft
8:03.0,Defensive rebound by G. Harris,,62-48,,
7:52.0,W. Chandler misses 2-pt shot from 8 ft,,62-48,,
7:49.0,,,62-48,,Defensive rebound by A. Drummond
7:40.0,,,62-48,,A. Bradley misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by G. Harris,,62-48,,
7:27.0,J. Murray misses 3-pt shot from 27 ft,,62-48,,
7:24.0,,,62-48,,Defensive rebound by A. Drummond
7:18.0,,,62-48,,Turnover by R. Jackson (bad pass; steal by G. Harris)
7:12.0,W. Chandler misses 2-pt shot from 2 ft,,62-48,,
7:07.0,Offensive rebound by J. Murray,,62-48,,
7:07.0,J. Murray makes 2-pt shot at rim,2,64-48,,
6:44.0,,,64-48,,Turnover by Team (shot clock)
6:44.0,,,64-48,,I. Smith enters the game for R. Jackson
6:38.0,Turnover by M. Plumlee (turnover),,64-48,,
6:32.0,,,64-48,,Personal foul by A. Drummond (drawn by J. Murray)
6:32.0,,,64-48,,Turnover by A. Drummond (turnover)
6:23.0,Turnover by G. Harris (bad pass; steal by A. Drummond),,64-48,,
6:15.0,,,64-48,,I. Smith misses 2-pt shot from 4 ft
6:12.0,Defensive rebound by M. Plumlee,,64-48,,
6:03.0,J. Murray makes 2-pt shot from 3 ft,2,66-48,,
5:41.0,,,66-50,2,I. Smith makes 2-pt shot from 7 ft
5:11.0,W. Chandler makes 2-pt shot from 10 ft (assist by J. Murray),2,68-50,,
4:55.0,,,68-52,2,R. Bullock makes 2-pt shot at rim (assist by A. Drummond)
4:36.0,J. Murray makes 2-pt shot from 18 ft,2,70-52,,
4:19.0,,,70-52,,I. Smith misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by W. Barton,,70-52,,
4:04.0,J. Murray misses 2-pt shot from 19 ft,,70-52,,
4:04.0,,,70-52,,Defensive rebound by T. Harris
3:53.0,,,70-52,,A. Bradley misses 2-pt shot from 11 ft (block by J. Murray)
3:50.0,,,70-52,,Offensive rebound by I. Smith
3:50.0,,,70-52,,I. Smith misses 2-pt shot from 3 ft (block by M. Plumlee)
3:50.0,Defensive rebound by G. Harris,,70-52,,
3:48.0,W. Chandler makes 2-pt shot from 1 ft (assist by G. Harris),2,72-52,,
3:48.0,,,72-52,,Detroit full timeout
3:48.0,,,72-52,,B. Marjanovic enters the game for A. Bradley
3:48.0,,,72-52,,A. Tolliver enters the game for T. Harris
3:48.0,,,72-52,,L. Kennard enters the game for A. Drummond
3:48.0,,,72-52,,L. Galloway enters the game for R. Bullock
3:48.0,M. Beasley enters the game for W. Barton,,72-52,,
3:39.0,,,72-52,,A. Tolliver misses 3-pt shot from 27 ft
3:36.0,Defensive rebound by G. Harris,,72-52,,
3:27.0,G. Harris makes 2-pt shot from 20 ft,2,74-52,,
3:05.0,,,74-52,,L. Kennard misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by M. Beasley,,74-52,,
2:55.0,M. Beasley misses 2-pt shot from 15 ft,,74-52,,
2:51.0,,,74-52,,Defensive rebound by B. Marjanovic
2:47.0,,,74-54,2,I. Smith makes 2-pt shot from 15 ft
2:30.0,,,74-54,,Personal foul by I. Smith (drawn by J. Murray)
2:17.0,Shooting foul by B. Marjanovic (drawn by G. Harris),,74-54,,
2:17.0,G. Harris makes free throw 1 of 2,1,75-54,,
2:17.0,,,75-54,,S. Johnson enters the game for L. Kennard
2:17.0,T. Lyles enters the game for W. Chandler,,75-54,,
2:17.0,G. Harris makes free throw 2 of 2,1,76-54,,
2:07.0,,,76-54,,I. Smith misses 2-pt shot from 9 ft
2:03.0,Defensive rebound by T. Lyles,,76-54,,
1:53.0,M. Beasley misses 2-pt shot from 9 ft,,76-54,,
1:49.0,,,76-54,,Defensive rebound by B. Marjanovic
1:39.0,,,76-57,3,L. Galloway makes 3-pt shot from 25 ft (assist by B. Marjanovic)
1:38.0,Denver full timeout,,76-57,,
1:24.0,M. Plumlee makes 2-pt shot from 4 ft (assist by G. Harris),2,78-57,,
1:04.0,,,78-57,,Shooting foul by G. Harris (drawn by B. Marjanovic)
1:04.0,,,78-57,,B. Marjanovic misses free throw 1 of 2
1:04.0,,,78-57,,Offensive rebound by Team
1:04.0,,,78-58,1,B. Marjanovic makes free throw 2 of 2
0:47.0,J. Murray misses 2-pt shot from 6 ft,,78-58,,
0:46.0,Offensive rebound by Team,,78-58,,
0:46.0,,,78-58,,Personal foul by A. Tolliver (drawn by J. Murray)
0:40.0,M. Beasley misses 2-pt shot from 5 ft,,78-58,,
0:38.0,,,78-58,,Defensive rebound by Team
0:24.0,,,78-58,,L. Galloway misses 2-pt shot from 18 ft
0:22.0,Defensive rebound by T. Lyles,,78-58,,
0:22.0,,,78-58,,Personal foul by A. Tolliver (drawn by T. Lyles)
0:22.0,T. Lyles makes free throw 1 of 2,1,79-58,,
0:22.0,T. Lyles makes free throw 2 of 2,1,80-58,,
0:05.0,Personal foul by M. Beasley (drawn by B. Marjanovic),,80-58,,
0:05.0,,,80-59,1,B. Marjanovic makes free throw 1 of 2
0:05.0,,,80-60,1,B. Marjanovic makes free throw 2 of 2
0:01.0,M. Plumlee misses 2-pt shot from 7 ft,,80-60,,
0:01.0,,,80-60,,Defensive rebound by L. Galloway
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton),2,82-60,,
11:11.0,,,82-60,,T. Harris misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by D. Arthur,,82-60,,
10:48.0,D. Arthur misses 3-pt shot from 26 ft,,82-60,,
10:45.0,,,82-60,,Defensive rebound by T. Harris
10:27.0,,,82-60,,A. Drummond misses 2-pt shot from 5 ft
10:25.0,Defensive rebound by W. Barton,,82-60,,
10:18.0,D. Arthur misses 3-pt shot from 25 ft,,82-60,,
10:13.0,,,82-60,,Defensive rebound by I. Smith
10:08.0,,,82-60,,I. Smith misses 2-pt shot from 8 ft
10:05.0,Defensive rebound by M. Beasley,,82-60,,
9:44.0,M. Beasley misses 3-pt shot from 24 ft,,82-60,,
9:41.0,,,82-60,,Defensive rebound by S. Johnson
9:25.0,,,82-60,,Turnover by A. Drummond (turnover)
9:14.0,Turnover by E. Mudiay (turnover),,82-60,,
9:03.0,,,82-63,3,L. Galloway makes 3-pt shot from 25 ft (assist by T. Harris)
8:46.0,,,82-63,,Personal foul by A. Drummond (drawn by D. Arthur)
8:46.0,,,82-63,,R. Jackson enters the game for I. Smith
8:44.0,Turnover by M. Beasley (lost ball; steal by S. Johnson),,82-63,,
8:39.0,,,82-63,,S. Johnson misses 2-pt shot from 2 ft (block by W. Barton)
8:37.0,,,82-63,,Offensive rebound by A. Drummond
8:33.0,,,82-63,,S. Johnson misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by M. Beasley,,82-63,,
8:18.0,T. Lyles makes 2-pt shot from 2 ft,2,84-63,,
8:17.0,,,84-63,,Detroit full timeout
8:17.0,,,84-63,,H. Ellenson enters the game for A. Drummond
8:00.0,,,84-65,2,H. Ellenson makes 2-pt shot from 9 ft
7:48.0,Turnover by D. Arthur (step out of bounds),,84-65,,
7:39.0,,,84-68,3,L. Galloway makes 3-pt shot from 25 ft (assist by H. Ellenson)
7:18.0,D. Arthur makes 2-pt shot from 15 ft (assist by W. Barton),2,86-68,,
7:05.0,,,86-71,3,L. Galloway makes 3-pt shot from 25 ft (assist by R. Jackson)
7:03.0,Denver full timeout,,86-71,,
7:03.0,W. Chandler enters the game for D. Arthur,,86-71,,
7:03.0,J. Murray enters the game for E. Mudiay,,86-71,,
7:03.0,G. Harris enters the game for M. Beasley,,86-71,,
6:48.0,G. Harris misses 3-pt shot from 23 ft,,86-71,,
6:43.0,,,86-71,,Defensive rebound by T. Harris
6:35.0,,,86-71,,Turnover by R. Jackson (bad pass; steal by G. Harris)
6:22.0,G. Harris misses 3-pt shot from 25 ft,,86-71,,
6:20.0,,,86-71,,Defensive rebound by H. Ellenson
6:15.0,,,86-71,,Turnover by H. Ellenson (bad pass; steal by W. Barton)
6:12.0,J. Murray makes 3-pt shot from 24 ft (assist by W. Barton),3,89-71,,
5:50.0,,,89-71,,H. Ellenson misses 2-pt shot from 9 ft
5:48.0,Defensive rebound by J. Murray,,89-71,,
5:30.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Barton),3,92-71,,
5:13.0,,,92-73,2,R. Jackson makes 2-pt shot from 9 ft
5:13.0,,,92-73,,Shooting foul by W. Chandler (drawn by R. Jackson)
5:13.0,,,92-74,1,R. Jackson makes free throw 1 of 1
4:53.0,Shooting foul by T. Harris (drawn by T. Lyles),,92-74,,
4:53.0,T. Lyles misses free throw 1 of 2,,92-74,,
4:53.0,Offensive rebound by Team,,92-74,,
4:53.0,T. Lyles makes free throw 2 of 2,1,93-74,,
4:37.0,,,93-74,,R. Jackson misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by W. Barton,,93-74,,
4:27.0,Denver full timeout,,93-74,,
4:27.0,,,93-74,,E. Moreland enters the game for R. Jackson
4:27.0,,,93-74,,I. Smith enters the game for T. Harris
4:12.0,T. Lyles makes 2-pt shot from 2 ft (assist by J. Murray),2,95-74,,
4:06.0,Personal foul by J. Murray (drawn by I. Smith),,95-74,,
4:06.0,M. Beasley enters the game for W. Barton,,95-74,,
3:57.0,,,95-77,3,H. Ellenson makes 3-pt shot from 25 ft (assist by I. Smith)
3:34.0,Shooting foul by H. Ellenson (drawn by W. Chandler),,95-77,,
3:34.0,W. Chandler makes free throw 1 of 2,1,96-77,,
3:34.0,W. Chandler makes free throw 2 of 2,1,97-77,,
3:22.0,,,97-77,,I. Smith misses 2-pt shot from 12 ft
3:20.0,Defensive rebound by T. Lyles,,97-77,,
3:15.0,J. Murray misses 3-pt shot from 25 ft,,97-77,,
3:09.0,Offensive rebound by W. Chandler,,97-77,,
3:04.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Harris),3,100-77,,
3:00.0,,,100-77,,Detroit full timeout
3:00.0,J. Hernangomez enters the game for G. Harris,,100-77,,
3:00.0,M. Morris enters the game for W. Chandler,,100-77,,
2:52.0,,,100-77,,Shooting foul by M. Beasley (drawn by L. Galloway)
2:52.0,,,100-78,1,L. Galloway makes free throw 1 of 3
2:52.0,,,100-79,1,L. Galloway makes free throw 2 of 3
2:52.0,,,100-80,1,L. Galloway makes free throw 3 of 3
2:31.0,J. Murray misses 3-pt shot from 26 ft,,100-80,,
2:27.0,,,100-80,,Defensive rebound by L. Galloway
2:20.0,,,100-80,,H. Ellenson misses 2-pt shot from 9 ft
2:18.0,Defensive rebound by J. Hernangomez,,100-80,,
2:14.0,Turnover by J. Hernangomez (bad pass),,100-80,,
2:01.0,,,100-80,,L. Galloway misses 3-pt shot from 26 ft
1:58.0,,,100-80,,Offensive rebound by H. Ellenson
1:56.0,,,100-82,2,H. Ellenson makes 2-pt shot from 1 ft
1:46.0,M. Morris misses 3-pt shot from 25 ft,,100-82,,
1:40.0,,,100-82,,Defensive rebound by E. Moreland
1:34.0,,,100-82,,H. Ellenson misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by J. Murray,,100-82,,
1:21.0,Turnover by J. Hernangomez (bad pass),,100-82,,
1:21.0,D. Arthur enters the game for J. Murray,,100-82,,
1:07.0,,,100-82,,Personal foul by S. Johnson (drawn by M. Morris)
1:07.0,,,100-82,,Turnover by S. Johnson (turnover)
0:51.0,D. Arthur makes 3-pt shot from 28 ft (assist by M. Morris),3,103-82,,
0:42.0,,,103-84,2,I. Smith makes 2-pt shot at rim
