time,Milwaukee,pts.away,score,pts.home,San Antonio
1:43.0,,,23-24,,San Antonio full timeout
1:43.0,,,23-24,,P. Gasol enters the game for L. Aldridge
1:32.0,,,23-24,,D. Murray misses 2-pt shot from 17 ft
1:30.0,,,23-24,,Offensive rebound by P. Gasol
1:29.0,,,23-24,,Shooting foul by G. Antetokounmpo (drawn by P. Gasol)
1:29.0,,,23-25,1,P. Gasol makes free throw 1 of 2
1:29.0,,,23-25,,P. Gasol misses free throw 2 of 2
1:23.0,Defensive rebound by G. Antetokounmpo,,23-25,,
1:05.0,M. Dellavedova makes 2-pt shot from 23 ft,2,25-25,,
0:40.0,,,25-25,,R. Gay misses 2-pt shot from 10 ft
0:38.0,Defensive rebound by M. Brogdon,,25-25,,
0:35.0,Turnover by M. Brogdon (bad pass; steal by B. Paul),,25-25,,
0:26.0,,,25-27,2,P. Gasol makes 2-pt shot from 7 ft (assist by D. Murray)
0:03.0,E. Bledsoe misses 2-pt shot from 21 ft,,25-27,,
0:03.0,Offensive rebound by T. Maker,,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Middleton misses 3-pt shot from 25 ft,,25-27,,
11:45.0,,,25-27,,Defensive rebound by D. Murray
11:34.0,,,25-27,,M. Ginobili misses 3-pt shot from 22 ft
11:32.0,Defensive rebound by K. Middleton,,25-27,,
11:29.0,E. Bledsoe makes 2-pt shot from 2 ft,2,27-27,,
11:29.0,Shooting foul by B. Paul (drawn by E. Bledsoe),,27-27,,
11:29.0,,,27-27,,D. Green enters the game for M. Ginobili
11:29.0,E. Bledsoe misses free throw 1 of 1,,27-27,,
11:26.0,Offensive rebound by T. Maker,,27-27,,
11:13.0,Turnover by K. Middleton (bad pass),,27-27,,
10:56.0,,,27-30,3,D. Green makes 3-pt shot from 25 ft (assist by P. Gasol)
10:32.0,E. Bledsoe misses 3-pt shot from 24 ft,,27-30,,
10:30.0,,,27-30,,Defensive rebound by P. Gasol
10:23.0,,,27-30,,D. Murray misses 2-pt shot from 7 ft
10:21.0,Defensive rebound by M. Brogdon,,27-30,,
10:17.0,T. Maker misses 2-pt shot from 7 ft,,27-30,,
10:15.0,Offensive rebound by T. Maker,,27-30,,
10:13.0,T. Maker misses 2-pt shot from 2 ft,,27-30,,
10:13.0,Offensive rebound by T. Maker,,27-30,,
10:09.0,Turnover by K. Middleton (lost ball; steal by D. Murray),,27-30,,
10:09.0,Personal foul by T. Maker (drawn by D. Murray),,27-30,,
10:09.0,J. Henson enters the game for T. Maker,,27-30,,
9:55.0,,,27-30,,B. Paul misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by M. Brogdon,,27-30,,
9:47.0,E. Bledsoe misses 2-pt shot from 1 ft,,27-30,,
9:43.0,,,27-30,,Defensive rebound by R. Gay
9:37.0,,,27-32,2,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol)
9:36.0,Milwaukee full timeout,,27-32,,
9:36.0,,,27-32,,P. Mills enters the game for B. Paul
9:36.0,,,27-32,,B. Forbes enters the game for D. Murray
9:36.0,D. Liggins enters the game for E. Bledsoe,,27-32,,
9:36.0,M. Dellavedova enters the game for M. Brogdon,,27-32,,
9:22.0,M. Dellavedova misses 2-pt shot from 13 ft,,27-32,,
9:19.0,Offensive rebound by M. Dellavedova,,27-32,,
9:14.0,K. Middleton misses 2-pt shot from 19 ft,,27-32,,
9:11.0,,,27-32,,Defensive rebound by R. Gay
9:00.0,,,27-32,,P. Gasol misses 2-pt shot from 10 ft
8:58.0,Defensive rebound by K. Middleton,,27-32,,
8:49.0,D. Liggins makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,30-32,,
8:24.0,,,30-34,2,R. Gay makes 2-pt shot from 17 ft
8:05.0,K. Middleton makes 2-pt shot from 13 ft (assist by J. Henson),2,32-34,,
7:52.0,,,32-34,,Turnover by P. Mills (lost ball; steal by T. Snell)
7:47.0,T. Snell makes 2-pt shot from 1 ft,2,34-34,,
7:38.0,,,34-34,,Turnover by R. Gay (bad pass; steal by K. Middleton)
7:23.0,M. Dellavedova misses 2-pt shot from 21 ft,,34-34,,
7:20.0,,,34-34,,Defensive rebound by R. Gay
7:01.0,,,34-36,2,D. Green makes 2-pt shot at rim (assist by P. Gasol)
6:46.0,D. Liggins misses 3-pt shot from 23 ft,,34-36,,
6:41.0,Offensive rebound by K. Middleton,,34-36,,
6:38.0,M. Dellavedova makes 3-pt shot from 27 ft (assist by T. Snell),3,37-36,,
6:36.0,,,37-36,,San Antonio full timeout
6:36.0,,,37-36,,L. Aldridge enters the game for P. Gasol
6:36.0,,,37-36,,K. Anderson enters the game for R. Gay
6:36.0,,,37-36,,B. Paul enters the game for B. Forbes
6:36.0,M. Brogdon enters the game for D. Liggins,,37-36,,
6:36.0,G. Antetokounmpo enters the game for M. Dellavedova,,37-36,,
6:36.0,,,37-36,,M. Ginobili enters the game for B. Paul
6:22.0,,,37-36,,Offensive foul by D. Green (drawn by M. Brogdon)
6:22.0,,,37-36,,Turnover by D. Green (offensive foul)
6:06.0,K. Middleton misses 2-pt shot from 8 ft,,37-36,,
6:03.0,,,37-36,,Defensive rebound by L. Aldridge
5:49.0,,,37-38,2,M. Ginobili makes 2-pt shot from 1 ft (assist by D. Green)
5:29.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,37-38,,
5:27.0,,,37-38,,Defensive rebound by L. Aldridge
5:14.0,,,37-38,,D. Green misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by G. Antetokounmpo,,37-38,,
5:12.0,,,37-38,,Personal foul by M. Ginobili (drawn by K. Middleton)
5:00.0,J. Henson makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,39-38,,
4:50.0,,,39-38,,Turnover by P. Mills (bad pass)
4:36.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,39-38,,
4:34.0,,,39-38,,Defensive rebound by D. Green
4:19.0,,,39-40,2,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili)
3:56.0,J. Henson misses 2-pt shot from 4 ft (block by L. Aldridge),,39-40,,
3:52.0,,,39-40,,Defensive rebound by K. Anderson
3:50.0,,,39-43,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
3:48.0,Milwaukee full timeout,,39-43,,
3:48.0,E. Bledsoe enters the game for K. Middleton,,39-43,,
3:26.0,,,39-43,,Personal foul by K. Anderson (drawn by G. Antetokounmpo)
3:17.0,T. Snell misses 3-pt shot from 22 ft,,39-43,,
3:14.0,,,39-43,,Defensive rebound by L. Aldridge
3:00.0,,,39-43,,P. Mills misses 2-pt shot from 12 ft
2:58.0,,,39-43,,Offensive rebound by P. Mills
2:56.0,,,39-43,,P. Mills misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by M. Brogdon,,39-43,,
2:36.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,39-43,,
2:33.0,,,39-43,,Defensive rebound by K. Anderson
2:29.0,,,39-43,,Turnover by D. Green (bad pass; steal by J. Henson)
2:24.0,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe),2,41-43,,
2:03.0,,,41-43,,L. Aldridge misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by M. Brogdon,,41-43,,
1:41.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,43-43,,
1:24.0,,,43-43,,P. Mills misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by G. Antetokounmpo,,43-43,,
1:17.0,,,43-43,,Personal foul by P. Mills (drawn by E. Bledsoe)
1:17.0,,,43-43,,B. Forbes enters the game for D. Green
1:08.0,M. Brogdon misses 2-pt shot from 9 ft,,43-43,,
1:07.0,,,43-43,,Defensive rebound by B. Forbes
1:01.0,,,43-45,2,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili)
0:48.0,J. Henson misses 2-pt shot from 5 ft,,43-45,,
0:47.0,Offensive rebound by Team,,43-45,,
0:36.0,Turnover by Team (shot clock),,43-45,,
0:34.0,E. Bledsoe misses 3-pt shot from 41 ft,,43-45,,
0:34.0,Offensive rebound by Team,,43-45,,
0:30.0,,,43-47,2,M. Ginobili makes 2-pt shot from 2 ft
0:14.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,46-47,,
0:02.0,,,46-47,,Turnover by M. Ginobili (bad pass; steal by T. Snell)
0:00.0,T. Snell misses 2-pt shot from 5 ft (block by M. Ginobili),,46-47,,
0:00.0,Offensive rebound by Team,,46-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,46-47,,
11:40.0,Offensive rebound by J. Henson,,46-47,,
11:37.0,K. Middleton makes 2-pt shot from 1 ft,2,48-47,,
11:22.0,,,48-47,,Turnover by P. Gasol (bad pass; steal by E. Bledsoe)
11:15.0,E. Bledsoe makes 2-pt shot from 4 ft,2,50-47,,
11:13.0,,,50-47,,Turnover by D. Green (bad pass)
11:02.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by P. Gasol),,50-47,,
11:02.0,Offensive rebound by Team,,50-47,,
11:02.0,,,50-47,,M. Ginobili enters the game for P. Gasol
11:02.0,,,50-47,,R. Gay enters the game for D. Green
10:58.0,Jump ball: K. Anderson vs. G. Antetokounmpo (E. Bledsoe gains possession),,,,Jump ball: K. Anderson vs. G. Antetokounmpo (E. Bledsoe gains possession)
10:47.0,E. Bledsoe misses 2-pt shot from 12 ft,,50-47,,
10:47.0,,,50-47,,Defensive rebound by K. Anderson
10:35.0,,,50-47,,Turnover by M. Ginobili (bad pass; steal by G. Antetokounmpo)
10:32.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,52-47,,
10:13.0,,,52-47,,L. Aldridge misses 2-pt shot from 10 ft
10:13.0,Defensive rebound by E. Bledsoe,,52-47,,
10:10.0,,,52-47,,B. Forbes enters the game for M. Ginobili
9:58.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,52-47,,
9:58.0,,,52-47,,Defensive rebound by L. Aldridge
9:50.0,,,52-47,,B. Forbes misses 2-pt shot from 19 ft
9:50.0,Defensive rebound by G. Antetokounmpo,,52-47,,
9:42.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,52-47,,
9:42.0,,,52-47,,Defensive rebound by K. Anderson
9:34.0,,,52-50,3,B. Forbes makes 3-pt shot from 25 ft (assist by K. Anderson)
9:18.0,K. Middleton makes 2-pt shot from 4 ft (assist by J. Henson),2,54-50,,
9:02.0,,,54-50,,P. Mills misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
9:02.0,Defensive rebound by G. Antetokounmpo,,54-50,,
8:59.0,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),,54-50,,
8:59.0,G. Antetokounmpo makes free throw 1 of 2,1,55-50,,
8:59.0,G. Antetokounmpo misses free throw 2 of 2,,55-50,,
8:57.0,,,55-50,,Defensive rebound by K. Anderson
8:39.0,,,55-50,,K. Anderson misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
8:37.0,,,55-50,,Offensive rebound by L. Aldridge
8:33.0,,,55-50,,L. Aldridge misses 2-pt shot from 8 ft (block by G. Antetokounmpo)
8:33.0,Defensive rebound by G. Antetokounmpo,,55-50,,
8:33.0,K. Middleton misses 2-pt shot from 4 ft (block by P. Mills),,55-50,,
8:33.0,Offensive rebound by Team,,55-50,,
8:17.0,J. Henson makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,57-50,,
7:50.0,,,57-50,,R. Gay misses 2-pt shot from 5 ft
7:50.0,,,57-50,,Offensive rebound by L. Aldridge
7:49.0,,,57-50,,Shooting foul by G. Antetokounmpo (drawn by L. Aldridge)
7:49.0,,,57-51,1,L. Aldridge makes free throw 1 of 2
7:49.0,,,57-51,,B. Paul enters the game for B. Forbes
7:49.0,,,57-52,1,L. Aldridge makes free throw 2 of 2
7:41.0,E. Bledsoe misses 2-pt shot from 13 ft,,57-52,,
7:37.0,Offensive rebound by E. Bledsoe,,57-52,,
7:36.0,Offensive charge foul by K. Middleton (drawn by B. Paul),,57-52,,
7:36.0,Turnover by K. Middleton (offensive foul),,57-52,,
7:23.0,,,57-54,2,K. Anderson makes 2-pt shot from 3 ft
7:10.0,,,57-54,,Personal foul by R. Gay (drawn by G. Antetokounmpo)
7:04.0,J. Henson makes 2-pt shot at rim (assist by T. Snell),2,59-54,,
6:53.0,Personal foul by J. Henson (drawn by L. Aldridge),,59-54,,
6:53.0,,,59-54,,San Antonio full timeout
6:53.0,,,59-54,,M. Ginobili enters the game for K. Anderson
6:53.0,M. Dellavedova enters the game for K. Middleton,,59-54,,
6:43.0,,,59-54,,P. Mills misses 3-pt shot from 23 ft
6:40.0,Defensive rebound by G. Antetokounmpo,,59-54,,
6:35.0,E. Bledsoe misses 3-pt shot from 25 ft,,59-54,,
6:32.0,,,59-54,,Defensive rebound by L. Aldridge
6:26.0,,,59-54,,R. Gay misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by J. Henson,,59-54,,
6:12.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by J. Henson),2,61-54,,
5:58.0,Personal foul by M. Dellavedova (drawn by M. Ginobili),,61-54,,
5:58.0,,,61-54,,D. Murray enters the game for P. Mills
5:58.0,,,61-54,,P. Gasol enters the game for L. Aldridge
5:58.0,M. Brogdon enters the game for E. Bledsoe,,61-54,,
5:48.0,,,61-54,,R. Gay misses 3-pt shot from 22 ft
5:44.0,Defensive rebound by G. Antetokounmpo,,61-54,,
5:31.0,M. Dellavedova makes 2-pt shot from 10 ft,2,63-54,,
5:12.0,,,63-56,2,M. Ginobili makes 2-pt shot from 3 ft
4:52.0,Shooting foul by P. Gasol (drawn by G. Antetokounmpo),,63-56,,
4:52.0,G. Antetokounmpo misses free throw 1 of 2,,63-56,,
4:52.0,Offensive rebound by Team,,63-56,,
4:52.0,T. Maker enters the game for J. Henson,,63-56,,
4:52.0,G. Antetokounmpo makes free throw 2 of 2,1,64-56,,
4:35.0,,,64-56,,B. Paul misses 3-pt shot from 23 ft
4:31.0,,,64-56,,Offensive rebound by M. Ginobili
4:22.0,,,64-56,,M. Ginobili misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by T. Snell,,64-56,,
4:15.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by T. Snell),2,66-56,,
4:11.0,,,66-56,,Turnover by D. Murray (bad pass)
4:09.0,T. Maker misses 2-pt shot from 16 ft,,66-56,,
4:05.0,,,66-56,,Defensive rebound by R. Gay
3:54.0,,,66-56,,Turnover by B. Paul (bad pass; steal by M. Dellavedova)
3:49.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,68-56,,
3:33.0,,,68-56,,D. Green enters the game for B. Paul
3:33.0,,,68-56,,B. Forbes enters the game for D. Murray
3:33.0,K. Middleton enters the game for G. Antetokounmpo,,68-56,,
3:25.0,,,68-56,,P. Gasol misses 2-pt shot from 11 ft
3:25.0,Defensive rebound by T. Maker,,68-56,,
3:08.0,K. Middleton makes 2-pt shot from 12 ft (assist by M. Brogdon),2,70-56,,
3:08.0,Shooting foul by M. Ginobili (drawn by K. Middleton),,70-56,,
3:08.0,,,70-56,,K. Anderson enters the game for R. Gay
3:08.0,K. Middleton misses free throw 1 of 1,,70-56,,
3:05.0,,,70-56,,Defensive rebound by K. Anderson
2:54.0,,,70-56,,Shooting foul by K. Middleton (drawn by M. Ginobili)
2:54.0,Milwaukee full timeout,,70-56,,
2:54.0,,,70-56,,L. Aldridge enters the game for B. Forbes
2:54.0,,,70-56,,P. Mills enters the game for P. Gasol
2:54.0,,,70-58,1,M. Ginobili makes free throw 1 of 2
2:54.0,,,70-58,1,M. Ginobili makes free throw 2 of 2
2:47.0,Offensive foul by T. Maker (drawn by M. Ginobili),,70-58,,
2:47.0,Turnover by T. Maker (offensive foul),,70-58,,
2:35.0,,,70-58,,L. Aldridge misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by K. Middleton,,70-58,,
2:29.0,Turnover by K. Middleton (lost ball; steal by K. Anderson),,70-58,,
2:17.0,,,70-60,2,K. Anderson makes 2-pt shot from 2 ft
1:59.0,Turnover by M. Dellavedova (bad pass; steal by M. Ginobili),,70-60,,
1:56.0,,,70-62,2,M. Ginobili makes 2-pt shot from 1 ft
1:42.0,M. Brogdon makes 2-pt shot from 2 ft,2,72-62,,
1:26.0,,,72-65,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
1:15.0,,,72-65,,Personal foul by L. Aldridge (drawn by T. Maker)
1:15.0,T. Maker makes free throw 1 of 2,1,73-65,,
1:15.0,,,73-65,,B. Forbes enters the game for D. Green
1:15.0,T. Maker makes free throw 2 of 2,1,74-65,,
0:59.0,,,74-67,2,L. Aldridge makes 2-pt shot from 3 ft (assist by M. Ginobili)
0:38.0,K. Middleton misses 2-pt shot from 18 ft,,74-67,,
0:35.0,,,74-67,,Defensive rebound by B. Forbes
0:27.0,,,74-67,,L. Aldridge misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by M. Brogdon,,74-67,,
0:09.0,M. Brogdon makes 2-pt shot from 15 ft,2,76-67,,
0:03.0,,,76-70,3,M. Ginobili makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,76-70,,R. Gay misses 2-pt shot from 12 ft
11:45.0,Defensive rebound by K. Middleton,,76-70,,
11:32.0,M. Brogdon makes 2-pt shot from 18 ft (assist by T. Maker),2,78-70,,
11:19.0,,,78-70,,P. Mills misses 3-pt shot from 25 ft
11:11.0,,,78-70,,Offensive rebound by K. Anderson
11:11.0,,,78-72,2,K. Anderson makes 2-pt shot at rim
11:04.0,T. Snell misses 3-pt shot from 25 ft,,78-72,,
11:00.0,,,78-72,,Defensive rebound by L. Aldridge
10:44.0,,,78-72,,Turnover by L. Aldridge (out of bounds lost ball)
10:31.0,,,78-72,,Personal foul by B. Forbes (drawn by K. Middleton)
10:18.0,T. Snell misses 2-pt shot from 3 ft,,78-72,,
10:15.0,,,78-72,,Defensive rebound by R. Gay
10:04.0,,,78-72,,L. Aldridge misses 2-pt shot from 4 ft (block by T. Maker)
10:02.0,Defensive rebound by Team,,78-72,,
9:49.0,M. Brogdon makes 3-pt shot from 25 ft,3,81-72,,
9:27.0,,,81-75,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
9:11.0,Turnover by M. Brogdon (turnover),,81-75,,
8:55.0,,,81-78,3,B. Forbes makes 3-pt shot from 25 ft (assist by L. Aldridge)
8:53.0,Milwaukee full timeout,,81-78,,
8:53.0,,,81-78,,D. Green enters the game for B. Forbes
8:53.0,J. Henson enters the game for T. Maker,,81-78,,
8:53.0,E. Bledsoe enters the game for M. Dellavedova,,81-78,,
8:53.0,G. Antetokounmpo enters the game for T. Snell,,81-78,,
8:32.0,J. Henson makes 2-pt shot from 9 ft (assist by K. Middleton),2,83-78,,
8:10.0,,,83-78,,P. Mills misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by G. Antetokounmpo,,83-78,,
7:56.0,G. Antetokounmpo makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,85-78,,
7:29.0,,,85-80,2,P. Mills makes 2-pt shot from 7 ft (assist by D. Green)
7:11.0,M. Brogdon misses 2-pt shot from 13 ft,,85-80,,
7:08.0,,,85-80,,Defensive rebound by R. Gay
7:01.0,,,85-80,,R. Gay misses 2-pt shot from 11 ft
6:57.0,Defensive rebound by K. Middleton,,85-80,,
6:52.0,E. Bledsoe misses 3-pt shot from 22 ft,,85-80,,
6:49.0,,,85-80,,Defensive rebound by R. Gay
6:32.0,,,85-80,,B. Forbes enters the game for P. Mills
6:32.0,,,85-80,,P. Gasol enters the game for L. Aldridge
6:28.0,,,85-80,,P. Gasol misses 3-pt shot from 26 ft
6:24.0,Defensive rebound by M. Brogdon,,85-80,,
6:13.0,K. Middleton makes 2-pt shot from 20 ft (assist by J. Henson),2,87-80,,
6:12.0,,,87-80,,San Antonio full timeout
6:12.0,,,87-80,,M. Ginobili enters the game for K. Anderson
5:53.0,,,87-82,2,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol)
5:40.0,Turnover by E. Bledsoe (bad pass; steal by R. Gay),,87-82,,
5:31.0,Violation by K. Middleton (kicked ball),,87-82,,
5:25.0,Violation by J. Henson (kicked ball),,87-82,,
5:25.0,,,87-82,,P. Mills enters the game for B. Forbes
5:25.0,,,87-82,,L. Aldridge enters the game for P. Gasol
5:11.0,,,87-82,,P. Mills misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by K. Middleton,,87-82,,
5:06.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by L. Aldridge),,87-82,,
5:06.0,Offensive rebound by Team,,87-82,,
4:55.0,Turnover by E. Bledsoe (bad pass; steal by R. Gay),,87-82,,
4:38.0,,,87-82,,Turnover by D. Green (lost ball; steal by J. Henson)
4:22.0,K. Middleton misses 3-pt shot from 25 ft,,87-82,,
4:19.0,,,87-82,,Defensive rebound by L. Aldridge
4:06.0,,,87-82,,P. Mills misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by J. Henson,,87-82,,
3:51.0,E. Bledsoe misses 2-pt shot from 3 ft,,87-82,,
3:51.0,,,87-82,,Defensive rebound by L. Aldridge
3:36.0,,,87-82,,R. Gay misses 3-pt shot from 23 ft
3:36.0,,,87-82,,Offensive rebound by L. Aldridge
3:28.0,,,87-84,2,L. Aldridge makes 2-pt shot from 14 ft
3:11.0,Shooting foul by R. Gay (drawn by G. Antetokounmpo),,87-84,,
3:11.0,G. Antetokounmpo misses free throw 1 of 2,,87-84,,
3:11.0,Offensive rebound by Team,,87-84,,
3:11.0,,,87-84,,K. Anderson enters the game for R. Gay
