time,Milwaukee,pts.away,score,pts.home,Memphis
8:10.0,,,7-13,3,D. Brooks makes 3-pt shot from 25 ft (assist by K. Simmons)
7:54.0,K. Middleton misses 2-pt shot from 13 ft,,7-13,,
7:51.0,,,7-13,,Defensive rebound by J. Green
7:40.0,,,7-15,2,J. Martin makes 2-pt shot from 22 ft (assist by K. Simmons)
7:33.0,Milwaukee full timeout,,7-15,,
7:15.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by T. Snell),2,9-15,,
6:54.0,,,9-17,2,K. Simmons makes 2-pt shot from 20 ft (assist by J. Martin)
6:41.0,T. Snell makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,12-17,,
6:23.0,,,12-19,2,M. Gasol makes 2-pt shot at rim (assist by K. Simmons)
6:08.0,,,12-19,,Personal foul by M. Gasol (drawn by G. Antetokounmpo)
5:53.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,15-19,,
5:36.0,,,15-19,,K. Simmons misses 2-pt shot from 1 ft (block by J. Henson)
5:34.0,Defensive rebound by J. Henson,,15-19,,
5:27.0,,,15-19,,Personal foul by D. Brooks (drawn by E. Bledsoe)
5:27.0,,,15-19,,B. McLemore enters the game for J. Martin
5:27.0,S. Brown enters the game for T. Snell,,15-19,,
5:25.0,,,15-19,,Personal foul by K. Simmons (drawn by E. Bledsoe)
5:12.0,K. Middleton makes 2-pt shot from 12 ft,2,17-19,,
4:56.0,,,17-21,2,M. Gasol makes 2-pt shot at rim
4:51.0,Turnover by E. Bledsoe (out of bounds lost ball),,17-21,,
4:51.0,,,17-21,,C. Parsons enters the game for D. Brooks
4:51.0,J. Parker enters the game for G. Antetokounmpo,,17-21,,
4:31.0,,,17-21,,M. Gasol misses 2-pt shot at rim
4:27.0,,,17-21,,Offensive rebound by J. Green
4:27.0,,,17-21,,Shooting foul by J. Henson (drawn by J. Green)
4:27.0,,,17-22,1,J. Green makes free throw 1 of 2
4:27.0,,,17-22,,X. Rathan-Mayes enters the game for K. Simmons
4:27.0,T. Zeller enters the game for J. Henson,,17-22,,
4:27.0,,,17-22,,J. Green misses free throw 2 of 2
4:25.0,Defensive rebound by T. Zeller,,17-22,,
4:14.0,K. Middleton makes 2-pt shot from 9 ft,2,19-22,,
4:05.0,,,19-22,,M. Gasol misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by E. Bledsoe,,19-22,,
3:57.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by S. Brown),3,22-22,,
3:37.0,,,22-22,,Turnover by C. Parsons (bad pass; steal by E. Bledsoe)
3:27.0,E. Bledsoe misses 2-pt shot from 8 ft,,22-22,,
3:24.0,,,22-22,,Defensive rebound by M. Gasol
3:16.0,,,22-22,,Turnover by X. Rathan-Mayes (bad pass)
3:16.0,,,22-22,,W. Selden enters the game for J. Green
3:05.0,E. Bledsoe misses 2-pt shot from 1 ft,,22-22,,
3:03.0,Offensive rebound by E. Bledsoe,,22-22,,
3:03.0,E. Bledsoe makes 2-pt shot at rim,2,24-22,,
3:03.0,,,24-22,,Memphis full timeout
3:03.0,B. Jennings enters the game for E. Bledsoe,,24-22,,
2:43.0,,,24-22,,B. McLemore misses 3-pt shot from 22 ft
2:40.0,Defensive rebound by T. Zeller,,24-22,,
2:28.0,J. Parker misses 2-pt shot from 15 ft,,24-22,,
2:28.0,Offensive rebound by B. Jennings,,24-22,,
2:22.0,S. Brown makes 2-pt shot from 8 ft (assist by B. Jennings),2,26-22,,
2:11.0,,,26-22,,M. Gasol misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by K. Middleton,,26-22,,
2:02.0,Turnover by B. Jennings (bad pass),,26-22,,
2:02.0,,,26-22,,D. Davis enters the game for M. Gasol
1:45.0,,,26-24,2,B. McLemore makes 2-pt shot from 13 ft (assist by D. Davis)
1:34.0,K. Middleton makes 2-pt shot from 14 ft (assist by B. Jennings),2,28-24,,
1:22.0,,,28-24,,C. Parsons misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by S. Brown,,28-24,,
1:14.0,K. Middleton misses 2-pt shot from 5 ft (block by X. Rathan-Mayes),,28-24,,
1:14.0,Offensive rebound by K. Middleton,,28-24,,
1:04.0,J. Parker makes 2-pt shot from 19 ft (assist by B. Jennings),2,30-24,,
0:46.0,,,30-24,,W. Selden misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by S. Brown,,30-24,,
0:33.0,B. Jennings misses 2-pt shot from 11 ft (block by C. Parsons),,30-24,,
0:30.0,Offensive rebound by B. Jennings,,30-24,,
0:30.0,K. Middleton misses 3-pt shot from 26 ft,,30-24,,
0:30.0,,,30-24,,Defensive rebound by D. Davis
0:23.0,,,30-24,,Turnover by C. Parsons (bad pass; steal by S. Brown)
0:04.0,S. Brown makes 2-pt shot from 1 ft (assist by B. Jennings),2,32-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,B. Jennings makes 2-pt shot at rim (assist by J. Parker),2,34-24,,
11:27.0,,,34-27,3,C. Parsons makes 3-pt shot from 27 ft (assist by D. Davis)
11:14.0,J. Parker misses 3-pt shot from 25 ft,,34-27,,
11:12.0,,,34-27,,Defensive rebound by D. Davis
11:06.0,,,34-27,,W. Selden misses 2-pt shot from 15 ft
11:03.0,,,34-27,,Offensive rebound by D. Davis
11:03.0,,,34-29,2,D. Davis makes 2-pt shot at rim
10:50.0,Turnover by G. Antetokounmpo (step out of bounds),,34-29,,
10:34.0,,,34-29,,W. Selden misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by S. Brown,,34-29,,
10:25.0,B. Jennings makes 3-pt shot from 23 ft,3,37-29,,
10:07.0,,,37-31,2,B. McLemore makes 2-pt shot from 6 ft
9:54.0,S. Brown misses 2-pt shot from 7 ft (block by C. Parsons),,37-31,,
9:54.0,Offensive rebound by G. Antetokounmpo,,37-31,,
9:51.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by B. McLemore),,37-31,,
9:51.0,Offensive rebound by Team,,37-31,,
9:51.0,,,37-31,,J. Martin enters the game for W. Selden
9:51.0,,,37-31,,D. Brooks enters the game for C. Parsons
9:51.0,J. Terry enters the game for J. Parker,,37-31,,
9:41.0,Turnover by Team (shot clock),,37-31,,
9:26.0,,,37-33,2,K. Simmons makes 2-pt shot from 4 ft
9:12.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by B. Jennings),3,40-33,,
8:59.0,Personal foul by G. Antetokounmpo (drawn by J. Martin),,40-33,,
8:49.0,,,40-33,,J. Martin misses 2-pt shot from 21 ft
8:45.0,Defensive rebound by B. Jennings,,40-33,,
8:40.0,B. Jennings misses 3-pt shot from 25 ft,,40-33,,
8:37.0,,,40-33,,Defensive rebound by J. Martin
8:33.0,,,40-36,3,B. McLemore makes 3-pt shot from 25 ft (assist by J. Martin)
8:16.0,T. Zeller makes 2-pt shot at rim (assist by B. Jennings),2,42-36,,
8:00.0,,,42-36,,J. Martin misses 2-pt shot from 1 ft (block by T. Zeller)
7:57.0,Defensive rebound by T. Zeller,,42-36,,
7:55.0,S. Brown makes 2-pt shot at rim (assist by G. Antetokounmpo),2,44-36,,
7:54.0,,,44-36,,Memphis full timeout
7:54.0,,,44-36,,J. Green enters the game for B. McLemore
7:54.0,T. Snell enters the game for S. Brown,,44-36,,
7:40.0,,,44-36,,D. Brooks misses 2-pt shot from 22 ft
7:38.0,Defensive rebound by B. Jennings,,44-36,,
7:29.0,T. Zeller makes 2-pt shot from 10 ft (assist by B. Jennings),2,46-36,,
7:17.0,,,46-36,,J. Green misses 2-pt shot from 16 ft
7:17.0,Defensive rebound by B. Jennings,,46-36,,
7:11.0,Turnover by G. Antetokounmpo (turnover),,46-36,,
6:53.0,,,46-36,,Shooting foul by T. Zeller (drawn by J. Green)
6:53.0,,,46-37,1,J. Green makes free throw 1 of 2
6:53.0,,,46-37,,M. Gasol enters the game for D. Davis
6:53.0,,,46-37,,J. Green misses free throw 2 of 2
6:51.0,,,46-37,,Offensive rebound by M. Gasol
6:48.0,,,46-37,,J. Martin misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by Team,,46-37,,
6:47.0,,,46-37,,Loose ball foul by J. Green (drawn by T. Zeller)
6:27.0,B. Jennings makes 3-pt shot from 25 ft,3,49-37,,
6:04.0,,,49-37,,D. Brooks misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
6:02.0,Defensive rebound by G. Antetokounmpo,,49-37,,
6:01.0,Offensive charge foul by G. Antetokounmpo (drawn by J. Martin),,49-37,,
6:01.0,Turnover by G. Antetokounmpo (offensive foul),,49-37,,
6:01.0,J. Parker enters the game for G. Antetokounmpo,,49-37,,
5:43.0,,,49-39,2,M. Gasol makes 2-pt shot from 11 ft
5:35.0,Shooting foul by K. Simmons (drawn by B. Jennings),,49-39,,
5:35.0,B. Jennings makes free throw 1 of 3,1,50-39,,
5:35.0,B. Jennings makes free throw 2 of 3,1,51-39,,
5:35.0,B. Jennings makes free throw 3 of 3,1,52-39,,
5:18.0,Personal foul by T. Zeller (drawn by M. Gasol),,52-39,,
5:18.0,K. Middleton enters the game for J. Terry,,52-39,,
5:18.0,J. Henson enters the game for T. Zeller,,52-39,,
5:06.0,,,52-39,,M. Gasol misses 2-pt shot from 7 ft
5:01.0,,,52-39,,Offensive rebound by J. Martin
5:01.0,,,52-41,2,J. Martin makes 2-pt shot at rim
4:59.0,,,52-41,,Personal foul by K. Simmons (drawn by B. Jennings)
4:59.0,,,52-41,,X. Rathan-Mayes enters the game for K. Simmons
4:57.0,Turnover by J. Parker (bad pass; steal by J. Green),,52-41,,
4:54.0,,,52-41,,Turnover by X. Rathan-Mayes (bad pass; steal by K. Middleton)
4:49.0,T. Snell misses 3-pt shot from 23 ft,,52-41,,
4:46.0,,,52-41,,Defensive rebound by X. Rathan-Mayes
4:36.0,,,52-43,2,J. Green makes 2-pt shot from 1 ft (assist by J. Martin)
4:29.0,Milwaukee full timeout,,52-43,,
4:29.0,E. Bledsoe enters the game for B. Jennings,,52-43,,
4:23.0,T. Snell makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,55-43,,
4:00.0,,,55-43,,Turnover by M. Gasol (bad pass; steal by T. Snell)
3:50.0,T. Snell misses 2-pt shot from 13 ft,,55-43,,
3:49.0,,,55-43,,Defensive rebound by J. Green
3:38.0,,,55-46,3,J. Martin makes 3-pt shot from 26 ft (assist by M. Gasol)
3:22.0,,,55-46,,Personal foul by J. Green (drawn by K. Middleton)
3:22.0,,,55-46,,C. Parsons enters the game for J. Green
3:18.0,E. Bledsoe misses 3-pt shot from 23 ft,,55-46,,
3:13.0,,,55-46,,Defensive rebound by J. Martin
3:11.0,Personal foul by E. Bledsoe (drawn by X. Rathan-Mayes),,55-46,,
3:07.0,Personal foul by E. Bledsoe (drawn by X. Rathan-Mayes),,55-46,,
3:07.0,,,55-47,1,X. Rathan-Mayes makes free throw 1 of 2
3:07.0,B. Jennings enters the game for E. Bledsoe,,55-47,,
3:07.0,,,55-47,,X. Rathan-Mayes misses free throw 2 of 2
3:04.0,Defensive rebound by J. Henson,,55-47,,
2:49.0,J. Henson misses 2-pt shot from 2 ft (block by M. Gasol),,55-47,,
2:47.0,,,55-47,,Defensive rebound by C. Parsons
2:43.0,,,55-47,,D. Brooks misses 3-pt shot from 22 ft
2:43.0,Defensive rebound by B. Jennings,,55-47,,
2:34.0,,,55-47,,Violation by M. Gasol (kicked ball)
2:31.0,,,55-47,,Personal foul by J. Martin (drawn by K. Middleton)
2:31.0,K. Middleton makes free throw 1 of 2,1,56-47,,
2:31.0,K. Middleton makes free throw 2 of 2,1,57-47,,
2:17.0,,,57-49,2,J. Martin makes 2-pt shot from 16 ft (assist by X. Rathan-Mayes)
1:58.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,59-49,,
1:36.0,,,59-49,,X. Rathan-Mayes misses 2-pt shot from 9 ft
1:34.0,Defensive rebound by K. Middleton,,59-49,,
1:22.0,Shooting foul by M. Gasol (drawn by J. Henson),,59-49,,
1:22.0,J. Henson misses free throw 1 of 2,,59-49,,
1:22.0,Offensive rebound by Team,,59-49,,
1:22.0,J. Henson makes free throw 2 of 2,1,60-49,,
1:07.0,,,60-49,,C. Parsons misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by J. Parker,,60-49,,
1:01.0,Turnover by B. Jennings (bad pass; steal by M. Gasol),,60-49,,
0:58.0,,,60-49,,Shooting foul by T. Snell (drawn by J. Martin)
0:58.0,,,60-50,1,J. Martin makes free throw 1 of 2
0:58.0,,,60-50,,D. Davis enters the game for M. Gasol
0:58.0,,,60-50,,J. Martin misses free throw 2 of 2
0:56.0,Defensive rebound by K. Middleton,,60-50,,
0:45.0,J. Henson misses 2-pt shot from 4 ft,,60-50,,
0:41.0,,,60-50,,Defensive rebound by D. Davis
0:32.0,,,60-50,,Turnover by J. Martin (lost ball; steal by T. Snell)
0:26.0,K. Middleton makes 2-pt shot from 10 ft (assist by B. Jennings),2,62-50,,
0:06.0,,,62-50,,X. Rathan-Mayes misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by J. Parker,,62-50,,
0:00.0,J. Henson makes 2-pt shot from 1 ft (assist by B. Jennings),2,64-50,,
0:00.0,,,64-50,,Violation by D. Davis (def goaltending)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by K. Middleton),2,66-50,,
11:25.0,,,66-52,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
11:06.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,68-52,,
10:46.0,,,68-52,,J. Green misses 2-pt shot from 20 ft
10:44.0,Defensive rebound by G. Antetokounmpo,,68-52,,
10:27.0,K. Middleton makes 3-pt shot from 25 ft (assist by T. Snell),3,71-52,,
10:07.0,,,71-54,2,D. Brooks makes 2-pt shot at rim (assist by K. Simmons)
9:51.0,Turnover by T. Snell (bad pass; steal by J. Green),,71-54,,
9:48.0,,,71-56,2,J. Martin makes 2-pt shot at rim (assist by J. Green)
9:37.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,71-56,,
9:34.0,,,71-56,,Defensive rebound by M. Gasol
9:28.0,,,71-56,,J. Martin misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by J. Henson,,71-56,,
9:17.0,Turnover by E. Bledsoe (bad pass),,71-56,,
9:02.0,,,71-58,2,M. Gasol makes 2-pt shot from 1 ft
8:47.0,E. Bledsoe misses 2-pt shot from 16 ft,,71-58,,
8:42.0,,,71-58,,Defensive rebound by J. Martin
8:36.0,,,71-58,,K. Simmons misses 2-pt shot from 11 ft
8:34.0,Defensive rebound by G. Antetokounmpo,,71-58,,
8:27.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,71-58,,
8:27.0,,,71-58,,Defensive rebound by Team
8:11.0,,,71-60,2,M. Gasol makes 2-pt shot from 12 ft (assist by J. Martin)
7:55.0,,,71-60,,Personal foul by J. Martin (drawn by G. Antetokounmpo)
7:43.0,T. Snell makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,74-60,,
7:24.0,,,74-60,,Turnover by K. Simmons (step out of bounds)
7:09.0,K. Middleton makes 2-pt shot from 6 ft (assist by T. Snell),2,76-60,,
6:54.0,,,76-60,,M. Gasol misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by E. Bledsoe,,76-60,,
6:49.0,Offensive charge foul by G. Antetokounmpo (drawn by J. Green),,76-60,,
6:49.0,Turnover by G. Antetokounmpo (offensive foul),,76-60,,
6:49.0,,,76-60,,Memphis full timeout
6:49.0,J. Parker enters the game for G. Antetokounmpo,,76-60,,
6:27.0,,,76-62,2,D. Brooks makes 2-pt shot from 5 ft
6:08.0,J. Parker makes 2-pt shot from 21 ft,2,78-62,,
5:50.0,Personal foul by E. Bledsoe (drawn by M. Gasol),,78-62,,
5:50.0,,,78-62,,C. Parsons enters the game for J. Martin
5:50.0,B. Jennings enters the game for E. Bledsoe,,78-62,,
5:34.0,,,78-62,,M. Gasol misses 2-pt shot from 12 ft
5:31.0,Defensive rebound by B. Jennings,,78-62,,
5:29.0,J. Henson makes 2-pt shot at rim (assist by B. Jennings),2,80-62,,
5:13.0,,,80-62,,D. Brooks misses 2-pt shot from 15 ft
5:10.0,,,80-62,,Offensive rebound by M. Gasol
5:09.0,,,80-64,2,M. Gasol makes 2-pt shot at rim
5:00.0,J. Henson misses 2-pt shot from 15 ft,,80-64,,
4:57.0,,,80-64,,Defensive rebound by C. Parsons
4:47.0,,,80-66,2,D. Brooks makes 2-pt shot from 6 ft
4:21.0,K. Middleton misses 2-pt shot from 9 ft,,80-66,,
4:18.0,,,80-66,,Defensive rebound by M. Gasol
4:10.0,,,80-66,,K. Simmons misses 2-pt shot from 17 ft
4:08.0,Defensive rebound by J. Henson,,80-66,,
4:04.0,,,80-66,,Personal foul by C. Parsons (drawn by K. Middleton)
4:04.0,S. Brown enters the game for T. Snell,,80-66,,
4:04.0,T. Zeller enters the game for J. Henson,,80-66,,
4:04.0,,,80-66,,X. Rathan-Mayes enters the game for K. Simmons
4:00.0,Turnover by J. Parker (step out of bounds),,80-66,,
3:46.0,Personal foul by K. Middleton (drawn by M. Gasol),,80-66,,
3:37.0,,,80-69,3,D. Brooks makes 3-pt shot from 23 ft (assist by X. Rathan-Mayes)
3:17.0,Turnover by K. Middleton (lost ball; steal by D. Brooks),,80-69,,
3:09.0,,,80-71,2,D. Brooks makes 2-pt shot at rim (assist by X. Rathan-Mayes)
3:07.0,Milwaukee full timeout,,80-71,,
2:50.0,S. Brown makes 2-pt shot from 10 ft (assist by B. Jennings),2,82-71,,
2:29.0,,,82-71,,C. Parsons misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by T. Zeller,,82-71,,
2:19.0,B. Jennings misses 3-pt shot from 25 ft,,82-71,,
2:16.0,,,82-71,,Defensive rebound by J. Green
2:06.0,,,82-71,,X. Rathan-Mayes misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by J. Parker,,82-71,,
1:52.0,T. Zeller makes 2-pt shot from 1 ft (assist by B. Jennings),2,84-71,,
1:52.0,Shooting foul by X. Rathan-Mayes (drawn by T. Zeller),,84-71,,
1:52.0,,,84-71,,D. Davis enters the game for M. Gasol
1:52.0,T. Zeller misses free throw 1 of 1,,84-71,,
1:50.0,,,84-71,,Defensive rebound by D. Davis
1:35.0,,,84-71,,D. Brooks misses 3-pt shot from 27 ft
1:31.0,,,84-71,,Offensive rebound by J. Green
1:31.0,,,84-71,,J. Green misses 2-pt shot at rim
1:31.0,Defensive rebound by Team,,84-71,,
1:18.0,J. Parker makes 2-pt shot from 15 ft,2,86-71,,
1:03.0,,,86-73,2,J. Green makes 2-pt shot from 16 ft (assist by D. Brooks)
0:51.0,,,86-73,,Personal foul by D. Brooks (drawn by K. Middleton)
0:51.0,K. Middleton makes free throw 1 of 2,1,87-73,,
0:51.0,,,87-73,,B. McLemore enters the game for J. Green
0:51.0,,,87-73,,W. Selden enters the game for D. Brooks
0:51.0,K. Middleton makes free throw 2 of 2,1,88-73,,
0:30.0,,,88-73,,D. Davis misses 2-pt shot from 5 ft
0:25.0,Defensive rebound by S. Brown,,88-73,,
0:04.0,B. Jennings makes 2-pt shot from 17 ft (assist by J. Parker),2,90-73,,
0:00.0,,,90-73,,W. Selden misses 3-pt shot from 26 ft
0:00.0,,,90-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,90-73,,Shooting foul by T. Zeller (drawn by J. Martin)
11:48.0,,,90-74,1,J. Martin makes free throw 1 of 2
11:48.0,,,90-75,1,J. Martin makes free throw 2 of 2
11:39.0,Offensive foul by T. Zeller (drawn by X. Rathan-Mayes),,90-75,,
11:39.0,Turnover by T. Zeller (offensive foul),,90-75,,
11:23.0,,,90-77,2,J. Martin makes 2-pt shot from 10 ft (assist by X. Rathan-Mayes)
11:08.0,Turnover by J. Parker (out of bounds lost ball),,90-77,,
10:55.0,,,90-77,,B. McLemore misses 2-pt shot from 5 ft
10:55.0,Defensive rebound by Team,,90-77,,
10:55.0,,,90-77,,Loose ball foul by D. Davis (drawn by T. Zeller)
10:35.0,J. Parker misses 3-pt shot from 25 ft,,90-77,,
10:33.0,Offensive rebound by B. Jennings,,90-77,,
10:29.0,B. Jennings misses 3-pt shot from 26 ft,,90-77,,
10:27.0,Offensive rebound by T. Zeller,,90-77,,
10:27.0,Shooting foul by X. Rathan-Mayes (drawn by T. Zeller),,90-77,,
10:27.0,T. Zeller makes free throw 1 of 2,1,91-77,,
10:27.0,G. Antetokounmpo enters the game for J. Parker,,91-77,,
10:27.0,T. Zeller makes free throw 2 of 2,1,92-77,,
10:12.0,,,92-77,,X. Rathan-Mayes misses 2-pt shot from 10 ft
10:06.0,Defensive rebound by T. Zeller,,92-77,,
9:54.0,J. Terry misses 3-pt shot from 25 ft,,92-77,,
9:50.0,Offensive rebound by J. Terry,,92-77,,
9:42.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,94-77,,
9:29.0,,,94-79,2,D. Davis makes 2-pt shot from 1 ft (assist by X. Rathan-Mayes)
9:09.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,94-79,,
9:00.0,,,94-81,2,D. Davis makes 2-pt shot from 18 ft (assist by W. Selden)
8:44.0,Turnover by J. Terry (traveling),,94-81,,
8:44.0,E. Bledsoe enters the game for B. Jennings,,94-81,,
8:34.0,,,94-84,2,W. Selden makes 3-pt shot from 25 ft (assist by B. McLemore)
8:18.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Davis),,94-84,,
8:12.0,,,94-84,,Turnover by B. McLemore (bad pass; steal by E. Bledsoe)
8:10.0,G. Antetokounmpo makes 2-pt shot at rim (assist by S. Brown),2,96-84,,
8:10.0,Shooting foul by X. Rathan-Mayes (drawn by G. Antetokounmpo),,96-84,,
8:10.0,T. Snell enters the game for J. Terry,,96-84,,
8:10.0,G. Antetokounmpo makes free throw 1 of 1,1,97-84,,
7:55.0,,,97-84,,J. Martin misses 2-pt shot from 20 ft
7:51.0,Defensive rebound by E. Bledsoe,,97-84,,
7:45.0,E. Bledsoe misses 2-pt shot from 20 ft,,97-84,,
7:43.0,,,97-84,,Defensive rebound by Team
7:35.0,,,97-84,,X. Rathan-Mayes misses 2-pt shot from 9 ft (block by T. Zeller)
7:35.0,,,97-84,,Offensive rebound by D. Davis
7:35.0,,,97-86,2,D. Davis makes 2-pt shot from 3 ft
7:13.0,Turnover by E. Bledsoe (lost ball; steal by X. Rathan-Mayes),,97-86,,
7:09.0,,,97-89,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Davis)
7:08.0,Milwaukee full timeout,,97-89,,
7:08.0,J. Henson enters the game for S. Brown,,97-89,,
7:08.0,K. Middleton enters the game for T. Zeller,,97-89,,
6:58.0,,,97-89,,Personal foul by X. Rathan-Mayes (drawn by E. Bledsoe)
6:47.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,97-89,,
6:46.0,Offensive rebound by J. Henson,,97-89,,
6:46.0,,,97-89,,Personal foul by J. Martin (drawn by J. Henson)
6:46.0,J. Henson misses free throw 1 of 2,,97-89,,
6:46.0,Offensive rebound by Team,,97-89,,
6:46.0,J. Henson misses free throw 2 of 2,,97-89,,
6:46.0,Offensive rebound by E. Bledsoe,,97-89,,
6:46.0,E. Bledsoe misses 2-pt shot from 1 ft (block by J. Martin),,97-89,,
6:46.0,,,97-89,,Defensive rebound by B. McLemore
6:34.0,,,97-89,,D. Davis misses 2-pt shot at rim
6:30.0,,,97-89,,Offensive rebound by D. Davis
6:30.0,,,97-91,2,D. Davis makes 2-pt shot at rim
6:18.0,E. Bledsoe makes 2-pt shot from 3 ft,2,99-91,,
6:18.0,Shooting foul by X. Rathan-Mayes (drawn by E. Bledsoe),,99-91,,
6:18.0,E. Bledsoe misses free throw 1 of 1,,99-91,,
6:12.0,,,99-91,,Defensive rebound by B. McLemore
5:58.0,,,99-91,,B. McLemore misses 2-pt shot from 13 ft
5:53.0,Defensive rebound by K. Middleton,,99-91,,
5:51.0,E. Bledsoe makes 2-pt shot at rim,2,101-91,,
5:38.0,,,101-91,,W. Selden misses 3-pt shot from 27 ft
5:36.0,Defensive rebound by G. Antetokounmpo,,101-91,,
5:30.0,,,101-91,,Personal foul by D. Davis (drawn by G. Antetokounmpo)
5:30.0,G. Antetokounmpo misses free throw 1 of 2,,101-91,,
5:30.0,Offensive rebound by Team,,101-91,,
5:30.0,,,101-91,,K. Simmons enters the game for J. Martin
5:30.0,,,101-91,,M. Gasol enters the game for D. Davis
5:30.0,,,101-91,,J. Green enters the game for X. Rathan-Mayes
5:30.0,G. Antetokounmpo makes free throw 2 of 2,1,102-91,,
5:15.0,,,102-93,2,B. McLemore makes 2-pt shot at rim (assist by K. Simmons)
4:59.0,E. Bledsoe makes 2-pt shot from 1 ft,2,104-93,,
4:41.0,,,104-93,,W. Selden misses 3-pt shot from 26 ft
4:38.0,,,104-93,,Offensive rebound by B. McLemore
4:29.0,Technical foul by G. Antetokounmpo (drawn by B. McLemore),,104-93,,
4:29.0,,,104-93,,B. McLemore misses flagrant free throw 1 of 2
4:29.0,,,104-93,,Offensive rebound by Team
4:29.0,,,104-94,1,B. McLemore makes flagrant free throw 2 of 2
4:16.0,,,104-94,,M. Gasol misses 2-pt shot from 2 ft (block by J. Henson)
4:12.0,Defensive rebound by E. Bledsoe,,104-94,,
