time,Milwaukee,pts.away,score,pts.home,Boston
4:10.0,G. Antetokounmpo makes free throw 1 of 1,1,22-27,,
4:10.0,D. Liggins enters the game for K. Middleton,,22-27,,
3:55.0,Personal foul by D. Liggins (drawn by M. Morris),,22-27,,
3:42.0,,,22-27,,A. Horford misses 2-pt shot from 8 ft
3:39.0,Defensive rebound by G. Antetokounmpo,,22-27,,
3:27.0,T. Maker misses 2-pt shot from 4 ft,,22-27,,
3:24.0,,,22-27,,Defensive rebound by M. Morris
3:08.0,,,22-30,3,J. Tatum makes 3-pt shot from 26 ft (assist by T. Rozier)
3:06.0,Milwaukee full timeout,,22-30,,
2:54.0,T. Maker misses 2-pt shot from 19 ft,,22-30,,
2:51.0,,,22-30,,Defensive rebound by M. Smart
2:30.0,,,22-30,,T. Rozier misses 2-pt shot from 20 ft
2:27.0,Defensive rebound by G. Antetokounmpo,,22-30,,
2:09.0,T. Snell makes 2-pt shot from 19 ft,2,24-30,,
1:54.0,,,24-30,,T. Rozier misses 3-pt shot from 27 ft
1:52.0,Defensive rebound by T. Maker,,24-30,,
1:37.0,T. Snell misses 2-pt shot from 19 ft,,24-30,,
1:34.0,,,24-30,,Defensive rebound by T. Rozier
1:22.0,,,24-30,,A. Horford misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by G. Antetokounmpo,,24-30,,
1:13.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,26-30,,
0:53.0,,,26-33,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Smart)
0:30.0,T. Maker misses 2-pt shot from 1 ft (block by A. Horford),,26-33,,
0:29.0,,,26-33,,Defensive rebound by J. Tatum
0:08.0,,,26-33,,Shooting foul by M. Brogdon (drawn by M. Smart)
0:08.0,,,26-33,,M. Smart misses free throw 1 of 2
0:08.0,,,26-33,,Offensive rebound by Team
0:08.0,,,26-33,,S. Ojeleye enters the game for J. Tatum
0:08.0,,,26-33,,D. Theis enters the game for A. Horford
0:08.0,K. Middleton enters the game for G. Antetokounmpo,,26-33,,
0:08.0,,,26-34,1,M. Smart makes free throw 2 of 2
0:01.0,M. Brogdon misses 2-pt shot from 19 ft,,26-34,,
0:00.0,Offensive rebound by Team,,26-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Brogdon misses 2-pt shot from 2 ft,,26-34,,
11:37.0,,,26-34,,Defensive rebound by D. Theis
11:18.0,,,26-37,3,M. Smart makes 3-pt shot from 25 ft (assist by S. Ojeleye)
11:02.0,D. Liggins misses 2-pt shot from 2 ft,,26-37,,
10:59.0,,,26-37,,Defensive rebound by M. Morris
10:56.0,,,26-39,2,D. Theis makes 2-pt shot from 2 ft (assist by M. Smart)
10:34.0,M. Brogdon misses 2-pt shot from 13 ft,,26-39,,
10:30.0,,,26-39,,Defensive rebound by M. Smart
10:23.0,Personal foul by T. Maker (drawn by D. Theis),,26-39,,
10:11.0,,,26-39,,M. Morris misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by D. Liggins,,26-39,,
9:53.0,K. Middleton makes 2-pt shot from 18 ft,2,28-39,,
9:29.0,,,28-41,2,T. Rozier makes 2-pt shot from 14 ft
9:05.0,,,28-41,,Violation by D. Theis (def goaltending)
9:05.0,M. Brogdon makes 2-pt shot from 1 ft,2,30-41,,
8:55.0,,,30-41,,M. Morris misses 3-pt shot from 27 ft
8:51.0,Defensive rebound by J. Terry,,30-41,,
8:36.0,T. Maker misses 2-pt shot from 20 ft,,30-41,,
8:33.0,,,30-41,,Defensive rebound by T. Rozier
8:25.0,,,30-43,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Morris)
8:24.0,Milwaukee full timeout,,30-43,,
8:24.0,,,30-43,,K. Irving enters the game for M. Smart
8:24.0,J. Henson enters the game for T. Maker,,30-43,,
8:12.0,K. Middleton misses 2-pt shot from 21 ft,,30-43,,
8:09.0,,,30-43,,Defensive rebound by M. Morris
7:58.0,,,30-43,,D. Theis misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by K. Middleton,,30-43,,
7:38.0,J. Terry misses 3-pt shot from 23 ft,,30-43,,
7:33.0,,,30-43,,Defensive rebound by M. Morris
7:28.0,,,30-45,2,T. Rozier makes 2-pt shot from 4 ft
7:08.0,J. Terry makes 2-pt shot from 16 ft,2,32-45,,
6:48.0,,,32-45,,M. Morris misses 2-pt shot from 4 ft
6:48.0,Defensive rebound by J. Henson,,32-45,,
6:43.0,M. Brogdon misses 2-pt shot from 2 ft (block by D. Theis),,32-45,,
6:42.0,Offensive rebound by Team,,32-45,,
6:42.0,E. Bledsoe enters the game for D. Liggins,,32-45,,
6:29.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Henson),3,35-45,,
6:03.0,,,35-45,,K. Irving misses 2-pt shot from 16 ft (block by J. Terry)
6:01.0,Defensive rebound by J. Henson,,35-45,,
5:55.0,Turnover by J. Henson (bad pass; steal by M. Morris),,35-45,,
5:49.0,,,35-45,,K. Irving misses 2-pt shot from 16 ft
5:49.0,,,35-45,,Offensive rebound by Team
5:49.0,,,35-45,,J. Tatum enters the game for M. Morris
5:49.0,G. Antetokounmpo enters the game for J. Terry,,35-45,,
5:49.0,,,35-45,,A. Horford enters the game for D. Theis
5:35.0,,,35-48,3,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving)
5:11.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,35-48,,
5:11.0,Offensive rebound by J. Henson,,35-48,,
5:07.0,J. Henson misses 2-pt shot at rim,,35-48,,
5:05.0,,,35-48,,Defensive rebound by A. Horford
5:02.0,,,35-48,,Turnover by K. Irving (traveling)
4:47.0,K. Middleton makes 2-pt shot from 20 ft,2,37-48,,
4:44.0,Technical foul by Team,,37-48,,
4:44.0,,,37-49,1,K. Irving makes technical free throw
4:44.0,,,37-49,,A. Baynes enters the game for S. Ojeleye
4:21.0,,,37-51,2,K. Irving makes 2-pt shot at rim (assist by A. Horford)
4:04.0,Turnover by M. Brogdon (step out of bounds),,37-51,,
3:44.0,,,37-51,,K. Irving misses 2-pt shot from 4 ft
3:40.0,,,37-51,,Offensive rebound by K. Irving
3:40.0,,,37-53,2,K. Irving makes 2-pt shot at rim
3:23.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Rozier),,37-53,,
3:18.0,,,37-56,3,T. Rozier makes 3-pt shot from 27 ft (assist by A. Horford)
3:18.0,Milwaukee full timeout,,37-56,,
3:18.0,T. Snell enters the game for M. Brogdon,,37-56,,
3:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,39-56,,
2:54.0,Personal foul by E. Bledsoe (drawn by A. Baynes),,39-56,,
2:44.0,,,39-56,,Shooting foul by E. Bledsoe (drawn by K. Irving)
2:44.0,,,39-56,,K. Irving misses free throw 1 of 2
2:44.0,,,39-56,,Offensive rebound by Team
2:44.0,,,39-56,,M. Smart enters the game for T. Rozier
2:44.0,,,39-57,1,K. Irving makes free throw 2 of 2
2:32.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,39-57,,
2:29.0,,,39-57,,Defensive rebound by J. Tatum
2:18.0,,,39-57,,Turnover by J. Tatum (traveling)
2:00.0,T. Snell makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,42-57,,
1:50.0,,,42-57,,Offensive foul by M. Smart (drawn by E. Bledsoe)
1:50.0,,,42-57,,Turnover by M. Smart (offensive foul)
1:36.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,42-57,,
1:36.0,,,42-57,,Technical foul by M. Smart
1:36.0,K. Middleton makes technical free throw,1,43-57,,
1:36.0,G. Antetokounmpo makes free throw 1 of 2,1,44-57,,
1:36.0,,,44-57,,T. Rozier enters the game for M. Smart
1:36.0,G. Antetokounmpo makes free throw 2 of 2,1,45-57,,
1:19.0,,,45-57,,Turnover by K. Irving (lost ball; steal by E. Bledsoe)
1:18.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,45-57,,
1:18.0,G. Antetokounmpo makes free throw 1 of 2,1,46-57,,
1:18.0,,,46-57,,M. Morris enters the game for A. Baynes
1:18.0,G. Antetokounmpo misses free throw 2 of 2,,46-57,,
1:16.0,,,46-57,,Defensive rebound by J. Tatum
0:59.0,,,46-59,2,J. Tatum makes 2-pt shot from 2 ft
0:50.0,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton),3,49-59,,
0:29.0,,,49-62,3,K. Irving makes 3-pt shot from 23 ft (assist by M. Morris)
0:06.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,49-62,,
0:03.0,,,49-62,,Defensive rebound by K. Irving
0:03.0,,,49-62,,Boston full timeout
0:00.0,,,49-62,,J. Tatum misses 3-pt shot from 27 ft
0:00.0,,,49-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Henson misses 2-pt shot from 8 ft,,49-62,,
11:44.0,,,49-62,,Defensive rebound by K. Irving
11:35.0,Personal foul by G. Antetokounmpo (drawn by A. Horford),,49-62,,
11:26.0,,,49-62,,A. Baynes misses 2-pt shot from 3 ft (block by K. Middleton)
11:26.0,,,49-62,,Offensive rebound by J. Brown
11:22.0,,,49-62,,J. Brown misses 2-pt shot from 3 ft
11:21.0,,,49-62,,Offensive rebound by J. Brown
11:20.0,,,49-62,,J. Brown misses 2-pt shot at rim
11:19.0,,,49-62,,Offensive rebound by J. Brown
11:17.0,,,49-64,2,J. Brown makes 2-pt shot at rim
11:01.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Irving),,49-64,,
10:59.0,Personal foul by K. Middleton (drawn by K. Irving),,49-64,,
10:51.0,,,49-64,,J. Brown misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by G. Antetokounmpo,,49-64,,
10:40.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,49-64,,
10:36.0,,,49-64,,Defensive rebound by A. Horford
10:29.0,,,49-66,2,K. Irving makes 2-pt shot from 16 ft
10:10.0,K. Middleton misses 2-pt shot from 9 ft,,49-66,,
10:07.0,,,49-66,,Defensive rebound by A. Horford
10:03.0,,,49-68,2,K. Irving makes 2-pt shot from 2 ft
10:03.0,,,49-68,,Shooting foul by J. Henson (drawn by K. Irving)
10:03.0,,,49-69,1,K. Irving makes free throw 1 of 1
9:48.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,49-69,,
9:48.0,G. Antetokounmpo makes free throw 1 of 2,1,50-69,,
9:48.0,G. Antetokounmpo makes free throw 2 of 2,1,51-69,,
9:28.0,,,51-69,,K. Irving misses 2-pt shot from 2 ft
9:25.0,,,51-69,,Offensive rebound by A. Baynes
9:25.0,,,51-71,2,A. Baynes makes 2-pt shot at rim
9:25.0,Turnover by E. Bledsoe (traveling),,51-71,,
9:00.0,,,51-71,,Turnover by Team (shot clock)
8:53.0,K. Middleton misses 2-pt shot from 14 ft,,51-71,,
8:51.0,,,51-71,,Defensive rebound by J. Tatum
8:39.0,,,51-71,,A. Baynes misses 2-pt shot from 5 ft
8:38.0,Defensive rebound by Team,,51-71,,
8:38.0,,,51-71,,Loose ball foul by A. Baynes (drawn by G. Antetokounmpo)
8:26.0,T. Snell makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,54-71,,
8:07.0,,,54-73,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Baynes)
7:54.0,G. Antetokounmpo makes 2-pt shot at rim,2,56-73,,
7:38.0,,,56-73,,A. Baynes misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by K. Middleton,,56-73,,
7:32.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,56-73,,
7:32.0,G. Antetokounmpo makes free throw 1 of 2,1,57-73,,
7:32.0,,,57-73,,S. Ojeleye enters the game for A. Baynes
7:32.0,G. Antetokounmpo makes free throw 2 of 2,1,58-73,,
7:18.0,,,58-75,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
7:00.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,60-75,,
6:43.0,,,60-75,,K. Irving misses 2-pt shot from 18 ft
6:42.0,,,60-75,,Offensive rebound by A. Horford
6:31.0,,,60-75,,Shooting foul by G. Antetokounmpo (drawn by J. Tatum)
6:31.0,,,60-75,,Boston full timeout
6:31.0,M. Brogdon enters the game for J. Henson,,60-75,,
6:31.0,,,60-76,1,J. Tatum makes free throw 1 of 2
6:31.0,,,60-76,,J. Tatum misses free throw 2 of 2
6:28.0,Defensive rebound by E. Bledsoe,,60-76,,
6:20.0,T. Snell misses 3-pt shot from 23 ft,,60-76,,
6:17.0,,,60-76,,Defensive rebound by J. Brown
6:04.0,,,60-76,,K. Irving misses 2-pt shot from 10 ft
6:01.0,Defensive rebound by G. Antetokounmpo,,60-76,,
5:54.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,62-76,,
5:38.0,Personal foul by E. Bledsoe (drawn by A. Horford),,62-76,,
5:38.0,,,62-76,,A. Horford misses free throw 1 of 2
5:38.0,,,62-76,,Offensive rebound by Team
5:38.0,,,62-76,,M. Smart enters the game for J. Brown
5:38.0,,,62-77,1,A. Horford makes free throw 2 of 2
5:29.0,,,62-77,,Personal foul by S. Ojeleye (drawn by E. Bledsoe)
5:29.0,,,62-77,,M. Morris enters the game for A. Horford
5:18.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,64-77,,
5:18.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,64-77,,
5:18.0,G. Antetokounmpo misses free throw 1 of 1,,64-77,,
5:15.0,,,64-77,,Defensive rebound by M. Morris
5:04.0,,,64-79,2,M. Smart makes 2-pt shot from 20 ft (assist by S. Ojeleye)
4:44.0,M. Brogdon makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,67-79,,
4:29.0,,,67-79,,Turnover by S. Ojeleye (out of bounds lost ball)
4:16.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by E. Bledsoe),2,69-79,,
4:00.0,,,69-79,,M. Morris misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by K. Middleton,,69-79,,
3:53.0,Turnover by G. Antetokounmpo (traveling),,69-79,,
3:53.0,,,69-79,,D. Theis enters the game for S. Ojeleye
3:45.0,,,69-81,2,K. Irving makes 2-pt shot from 1 ft
3:23.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Brogdon),3,72-81,,
3:08.0,,,72-81,,Turnover by D. Theis (out of bounds lost ball)
2:56.0,M. Brogdon makes 2-pt shot from 11 ft,2,74-81,,
2:39.0,,,74-83,2,K. Irving makes 2-pt shot from 2 ft
2:39.0,,,74-83,,Shooting foul by M. Brogdon (drawn by K. Irving)
2:39.0,Milwaukee full timeout,,74-83,,
2:39.0,,,74-84,1,K. Irving makes free throw 1 of 1
2:20.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,74-84,,
2:17.0,,,74-84,,Defensive rebound by M. Morris
2:02.0,Violation by G. Antetokounmpo (def goaltending),,74-84,,
2:02.0,,,74-86,2,K. Irving makes 2-pt shot from 1 ft
1:43.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by K. Middleton),3,77-86,,
1:18.0,,,77-86,,K. Irving misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by K. Middleton,,77-86,,
1:09.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Irving),,77-86,,
1:00.0,,,77-88,2,D. Theis makes 2-pt shot at rim (assist by M. Smart)
0:47.0,E. Bledsoe makes 2-pt shot from 18 ft,2,79-88,,
0:29.0,,,79-88,,M. Smart misses 3-pt shot from 22 ft
0:25.0,Defensive rebound by K. Middleton,,79-88,,
0:23.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,81-88,,
0:05.0,,,81-88,,K. Irving misses 2-pt shot from 20 ft
0:03.0,Defensive rebound by M. Brogdon,,81-88,,
0:00.0,M. Brogdon misses 3-pt shot from 48 ft,,81-88,,
0:00.0,Offensive rebound by Team,,81-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-90,2,M. Smart makes 2-pt shot from 1 ft (assist by A. Horford)
11:28.0,,,81-90,,Personal foul by T. Rozier (drawn by E. Bledsoe)
11:15.0,T. Snell misses 2-pt shot from 15 ft,,81-90,,
11:14.0,Offensive rebound by Team,,81-90,,
11:14.0,Turnover by Team (shot clock),,81-90,,
10:59.0,,,81-92,2,A. Horford makes 2-pt shot from 6 ft (assist by J. Brown)
10:34.0,M. Brogdon misses 2-pt shot from 2 ft,,81-92,,
10:33.0,,,81-92,,Defensive rebound by M. Smart
10:21.0,,,81-92,,M. Morris misses 2-pt shot from 10 ft
10:21.0,Defensive rebound by G. Antetokounmpo,,81-92,,
10:13.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,84-92,,
9:55.0,,,84-94,2,A. Horford makes 2-pt shot from 3 ft
9:40.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,86-94,,
9:16.0,,,86-96,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford)
9:04.0,E. Bledsoe misses 3-pt shot from 25 ft,,86-96,,
9:03.0,,,86-96,,Defensive rebound by Team
9:03.0,K. Middleton enters the game for E. Bledsoe,,86-96,,
8:47.0,,,86-96,,Turnover by A. Horford (bad pass)
8:40.0,,,86-96,,Personal foul by T. Rozier (drawn by M. Brogdon)
8:32.0,K. Middleton makes 2-pt shot from 13 ft,2,88-96,,
8:08.0,,,88-96,,Turnover by M. Morris (bad pass; steal by J. Terry)
8:03.0,Milwaukee full timeout,,88-96,,
7:51.0,Turnover by K. Middleton (bad pass; steal by M. Smart),,88-96,,
7:29.0,,,88-96,,M. Smart misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by G. Antetokounmpo,,88-96,,
7:14.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,88-96,,
7:11.0,,,88-96,,Defensive rebound by T. Rozier
7:01.0,,,88-96,,Turnover by M. Smart (bad pass; steal by K. Middleton)
6:56.0,M. Brogdon misses 3-pt shot from 26 ft,,88-96,,
6:52.0,,,88-96,,Defensive rebound by M. Smart
6:37.0,,,88-96,,M. Smart misses 2-pt shot from 2 ft
6:36.0,,,88-96,,Offensive rebound by A. Horford
6:36.0,,,88-98,2,A. Horford makes 2-pt shot at rim
6:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,90-98,,
5:56.0,,,90-100,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
5:34.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,90-100,,
5:31.0,,,90-100,,Defensive rebound by T. Rozier
5:29.0,Personal take foul by J. Terry (drawn by J. Brown),,90-100,,
5:29.0,,,90-100,,K. Irving enters the game for M. Morris
5:29.0,D. Liggins enters the game for J. Terry,,90-100,,
5:29.0,E. Bledsoe enters the game for G. Antetokounmpo,,90-100,,
5:17.0,,,90-102,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
4:50.0,K. Middleton misses 3-pt shot from 28 ft,,90-102,,
4:48.0,,,90-102,,Defensive rebound by A. Horford
4:27.0,,,90-102,,Turnover by M. Smart (bad pass; steal by D. Liggins)
4:27.0,,,90-102,,Personal take foul by K. Irving (drawn by D. Liggins)
4:27.0,,,90-102,,S. Ojeleye enters the game for A. Horford
4:19.0,E. Bledsoe makes 2-pt shot from 1 ft,2,92-102,,
4:02.0,,,92-102,,M. Smart misses 2-pt shot from 22 ft
4:00.0,Defensive rebound by M. Brogdon,,92-102,,
3:48.0,K. Middleton makes 2-pt shot from 16 ft (assist by D. Liggins),2,94-102,,
3:27.0,,,94-102,,Turnover by K. Irving (step out of bounds)
3:14.0,E. Bledsoe misses 3-pt shot from 25 ft,,94-102,,
3:12.0,,,94-102,,Defensive rebound by J. Brown
3:01.0,,,94-102,,M. Smart misses 2-pt shot from 3 ft
2:58.0,Defensive rebound by E. Bledsoe,,94-102,,
2:55.0,Turnover by E. Bledsoe (bad pass),,94-102,,
2:55.0,,,94-102,,Boston full timeout
2:55.0,,,94-102,,J. Tatum enters the game for T. Rozier
2:55.0,,,94-102,,A. Horford enters the game for S. Ojeleye
2:55.0,G. Antetokounmpo enters the game for D. Liggins,,94-102,,
2:38.0,,,94-104,2,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart)
2:26.0,M. Brogdon misses 3-pt shot from 25 ft,,94-104,,
2:24.0,,,94-104,,Defensive rebound by J. Brown
2:07.0,,,94-104,,J. Brown misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by G. Antetokounmpo,,94-104,,
1:58.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,96-104,,
1:37.0,,,96-104,,K. Irving misses 2-pt shot from 16 ft
1:36.0,Defensive rebound by K. Middleton,,96-104,,
1:31.0,Shooting foul by M. Smart (drawn by E. Bledsoe),,96-104,,
1:31.0,E. Bledsoe makes free throw 1 of 2,1,97-104,,
1:31.0,E. Bledsoe misses free throw 2 of 2,,97-104,,
1:31.0,,,97-104,,Defensive rebound by A. Horford
1:12.0,,,97-106,2,K. Irving makes 2-pt shot from 6 ft
1:03.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,97-106,,
1:01.0,,,97-106,,Defensive rebound by Team
1:01.0,Loose ball foul by G. Antetokounmpo (drawn by A. Horford),,97-106,,
0:44.0,,,97-109,3,K. Irving makes 3-pt shot from 26 ft
0:29.0,E. Bledsoe makes 3-pt shot from 22 ft (assist by M. Brogdon),3,100-109,,
0:22.0,Personal take foul by G. Antetokounmpo (drawn by A. Horford),,100-109,,
0:22.0,,,100-110,1,A. Horford makes free throw 1 of 2
0:22.0,,,100-111,1,A. Horford makes free throw 2 of 2
0:19.0,M. Brogdon misses 3-pt shot from 26 ft,,100-111,,
0:17.0,,,100-111,,Defensive rebound by A. Horford
