time,San Antonio,pts.away,score,pts.home,Miami
6:05.0,D. Green misses 3-pt shot from 34 ft,,18-13,,
6:00.0,Offensive rebound by D. Murray,,18-13,,
5:45.0,L. Aldridge makes 2-pt shot at rim (assist by D. Murray),2,20-13,,
5:28.0,,,20-13,,J. Richardson misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by K. Anderson,,20-13,,
5:21.0,D. Murray misses 2-pt shot from 10 ft,,20-13,,
5:16.0,,,20-13,,Defensive rebound by B. Adebayo
5:11.0,,,20-15,2,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Richardson)
4:47.0,L. Aldridge makes 2-pt shot from 20 ft,2,22-15,,
4:21.0,,,22-15,,D. Waiters misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by D. Green,,22-15,,
4:12.0,Shooting foul by B. Adebayo (drawn by R. Gay),,22-15,,
4:12.0,R. Gay makes free throw 1 of 2,1,23-15,,
4:12.0,,,23-15,,K. Olynyk enters the game for B. Adebayo
4:12.0,,,23-15,,T. Johnson enters the game for J. Johnson
4:12.0,M. Ginobili enters the game for D. Murray,,23-15,,
4:12.0,P. Mills enters the game for D. Green,,23-15,,
4:12.0,R. Gay makes free throw 2 of 2,1,24-15,,
4:12.0,,,24-15,,J. Winslow enters the game for J. Richardson
3:51.0,,,24-17,2,G. Dragic makes 2-pt shot from 18 ft
3:50.0,San Antonio full timeout,,24-17,,
3:50.0,B. Forbes enters the game for K. Anderson,,24-17,,
3:34.0,M. Ginobili makes 2-pt shot from 9 ft (assist by R. Gay),2,26-17,,
3:11.0,,,26-20,3,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters)
2:56.0,L. Aldridge makes 2-pt shot from 1 ft (assist by R. Gay),2,28-20,,
2:47.0,,,28-20,,D. Waiters misses 2-pt shot at rim (block by L. Aldridge)
2:47.0,,,28-20,,Offensive rebound by Team
2:47.0,P. Gasol enters the game for L. Aldridge,,28-20,,
2:40.0,,,28-23,3,K. Olynyk makes 3-pt shot from 22 ft (assist by D. Waiters)
2:18.0,M. Ginobili misses 3-pt shot from 25 ft,,28-23,,
2:15.0,,,28-23,,Defensive rebound by K. Olynyk
2:06.0,,,28-23,,T. Johnson misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by P. Gasol,,28-23,,
1:51.0,P. Gasol misses 3-pt shot from 26 ft,,28-23,,
1:47.0,,,28-23,,Defensive rebound by J. Winslow
1:41.0,,,28-25,2,D. Waiters makes 2-pt shot from 20 ft (assist by J. Winslow)
1:25.0,Offensive charge foul by P. Gasol (drawn by K. Olynyk),,28-25,,
1:25.0,Turnover by P. Gasol (offensive foul),,28-25,,
1:25.0,,,28-25,,J. Richardson enters the game for G. Dragic
1:25.0,,,28-25,,W. Ellington enters the game for D. Waiters
1:08.0,,,28-25,,J. Winslow misses 2-pt shot at rim
1:05.0,Defensive rebound by P. Gasol,,28-25,,
0:55.0,Turnover by R. Gay (bad pass),,28-25,,
0:44.0,,,28-25,,Shooting foul by B. Forbes (drawn by T. Johnson)
0:44.0,,,28-26,1,T. Johnson makes free throw 1 of 2
0:44.0,B. Paul enters the game for B. Forbes,,28-26,,
0:44.0,,,28-27,1,T. Johnson makes free throw 2 of 2
0:31.0,M. Ginobili makes 2-pt shot from 1 ft,2,30-27,,
0:19.0,,,30-29,2,T. Johnson makes 2-pt shot from 1 ft
0:19.0,,,30-29,,Shooting foul by P. Gasol (drawn by T. Johnson)
0:19.0,,,30-30,1,T. Johnson makes free throw 1 of 1
0:02.0,M. Ginobili misses 3-pt shot from 25 ft,,30-30,,
0:02.0,,,30-30,,Defensive rebound by W. Ellington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,30-33,3,T. Johnson makes 3-pt shot from 26 ft (assist by J. Richardson)
11:31.0,B. Paul makes 3-pt shot from 25 ft (assist by R. Gay),3,33-33,,
11:10.0,,,33-33,,K. Olynyk misses 2-pt shot from 16 ft
11:07.0,Defensive rebound by R. Gay,,33-33,,
11:02.0,Turnover by R. Gay (traveling),,33-33,,
11:02.0,K. Anderson enters the game for P. Gasol,,33-33,,
11:02.0,D. Green enters the game for M. Ginobili,,33-33,,
10:53.0,,,33-33,,Loose ball foul by K. Olynyk (drawn by D. Green)
10:53.0,,,33-33,,Turnover by K. Olynyk (turnover)
10:44.0,Turnover by R. Gay (bad pass; steal by T. Johnson),,33-33,,
10:38.0,,,33-35,2,T. Johnson makes 2-pt shot at rim
10:17.0,K. Anderson makes 2-pt shot from 1 ft (assist by R. Gay),2,35-35,,
9:59.0,,,35-37,2,J. Winslow makes 2-pt shot from 2 ft (assist by W. Ellington)
9:43.0,,,35-37,,Personal foul by W. Ellington (drawn by B. Paul)
9:33.0,Shooting foul by W. Ellington (drawn by B. Paul),,35-37,,
9:33.0,B. Paul makes free throw 1 of 2,1,36-37,,
9:33.0,D. Murray enters the game for P. Mills,,36-37,,
9:33.0,L. Aldridge enters the game for R. Gay,,36-37,,
9:33.0,B. Paul misses free throw 2 of 2,,36-37,,
9:31.0,,,36-37,,Defensive rebound by K. Olynyk
9:14.0,,,36-37,,J. Winslow misses 3-pt shot from 22 ft
9:11.0,,,36-37,,Offensive rebound by J. Richardson
9:09.0,,,36-37,,J. Richardson misses 2-pt shot from 11 ft (block by D. Green)
9:09.0,Defensive rebound by Team,,36-37,,
8:51.0,Shooting foul by K. Olynyk (drawn by L. Aldridge),,36-37,,
8:51.0,L. Aldridge makes free throw 1 of 2,1,37-37,,
8:51.0,,,37-37,,J. Johnson enters the game for K. Olynyk
8:51.0,L. Aldridge misses free throw 2 of 2,,37-37,,
8:48.0,,,37-37,,Defensive rebound by J. Johnson
8:33.0,,,37-37,,T. Johnson misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by K. Anderson,,37-37,,
8:19.0,Shooting foul by T. Johnson (drawn by K. Anderson),,37-37,,
8:19.0,K. Anderson misses free throw 1 of 2,,37-37,,
8:19.0,Offensive rebound by Team,,37-37,,
8:19.0,K. Anderson makes free throw 2 of 2,1,38-37,,
8:08.0,,,38-37,,T. Johnson misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by D. Green,,38-37,,
7:57.0,D. Green makes 3-pt shot from 25 ft (assist by K. Anderson),3,41-37,,
7:31.0,,,41-37,,J. Winslow misses 2-pt shot from 12 ft
7:27.0,Defensive rebound by D. Murray,,41-37,,
7:11.0,D. Murray misses 2-pt shot from 16 ft,,41-37,,
7:08.0,,,41-37,,Defensive rebound by J. Johnson
7:07.0,,,41-37,,Miami full timeout
7:07.0,,,41-37,,G. Dragic enters the game for J. Richardson
7:07.0,,,41-37,,D. Waiters enters the game for W. Ellington
6:47.0,,,41-37,,D. Waiters misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by L. Aldridge,,41-37,,
6:30.0,K. Anderson makes 2-pt shot from 9 ft,2,43-37,,
6:14.0,,,43-40,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Waiters)
5:53.0,L. Aldridge makes 2-pt shot from 12 ft (assist by D. Green),2,45-40,,
5:43.0,Personal foul by D. Green (drawn by J. Winslow),,45-40,,
5:35.0,,,45-40,,Shooting foul by L. Aldridge (drawn by D. Waiters)
5:35.0,,,45-41,1,D. Waiters makes free throw 1 of 2
5:35.0,,,45-42,1,D. Waiters makes free throw 2 of 2
5:18.0,L. Aldridge misses 2-pt shot at rim,,45-42,,
5:15.0,,,45-42,,Defensive rebound by J. Johnson
5:04.0,,,45-42,,Turnover by J. Johnson (lost ball; steal by L. Aldridge)
4:51.0,Offensive charge foul by D. Murray (drawn by T. Johnson),,45-42,,
4:51.0,Turnover by D. Murray (offensive foul),,45-42,,
4:51.0,,,45-42,,B. Adebayo enters the game for J. Winslow
4:51.0,M. Ginobili enters the game for D. Green,,45-42,,
4:41.0,Personal block foul by M. Ginobili (drawn by D. Waiters),,45-42,,
4:34.0,,,45-44,2,D. Waiters makes 2-pt shot from 13 ft
4:28.0,San Antonio full timeout,,45-44,,
4:28.0,P. Mills enters the game for K. Anderson,,45-44,,
4:28.0,P. Gasol enters the game for B. Paul,,45-44,,
4:28.0,D. Green enters the game for D. Murray,,45-44,,
4:17.0,M. Ginobili misses 2-pt shot from 9 ft,,45-44,,
4:14.0,,,45-44,,Defensive rebound by J. Johnson
4:08.0,,,45-47,3,D. Waiters makes 3-pt shot from 23 ft (assist by T. Johnson)
3:57.0,P. Gasol makes 2-pt shot from 4 ft (assist by D. Green),2,47-47,,
3:38.0,Personal foul by M. Ginobili (drawn by T. Johnson),,47-47,,
3:38.0,R. Gay enters the game for D. Green,,47-47,,
3:26.0,,,47-47,,G. Dragic misses 2-pt shot from 13 ft
3:22.0,Defensive rebound by L. Aldridge,,47-47,,
3:11.0,P. Gasol makes 2-pt shot from 10 ft,2,49-47,,
2:52.0,,,49-47,,D. Waiters misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by P. Gasol,,49-47,,
2:36.0,L. Aldridge makes 2-pt shot from 10 ft,2,51-47,,
2:36.0,Shooting foul by J. Johnson (drawn by L. Aldridge),,51-47,,
2:36.0,L. Aldridge makes free throw 1 of 1,1,52-47,,
2:14.0,,,52-49,2,D. Waiters makes 2-pt shot from 1 ft
2:01.0,P. Mills misses 3-pt shot from 25 ft,,52-49,,
1:57.0,,,52-49,,Defensive rebound by B. Adebayo
1:47.0,,,52-51,2,B. Adebayo makes 2-pt shot from 1 ft (assist by T. Johnson)
1:47.0,San Antonio full timeout,,52-51,,
1:26.0,P. Mills misses 2-pt shot at rim,,52-51,,
1:24.0,,,52-51,,Defensive rebound by J. Johnson
1:20.0,,,52-51,,D. Waiters misses 2-pt shot at rim
1:20.0,,,52-51,,B. Adebayo misses 2-pt shot from 1 ft
1:20.0,Defensive rebound by L. Aldridge,,52-51,,
1:17.0,,,52-51,,Defensive rebound by B. Adebayo
1:16.0,,,52-51,,B. Adebayo misses 2-pt shot at rim
1:16.0,Defensive rebound by M. Ginobili,,52-51,,
1:12.0,P. Gasol misses 2-pt shot at rim (block by T. Johnson),,52-51,,
1:12.0,Offensive rebound by R. Gay,,52-51,,
1:08.0,R. Gay makes 2-pt shot at rim,2,54-51,,
0:53.0,,,54-51,,Turnover by J. Johnson (bad pass; steal by R. Gay)
0:49.0,,,54-51,,Personal foul by B. Adebayo (drawn by P. Gasol)
0:49.0,P. Gasol makes free throw 1 of 2,1,55-51,,
0:49.0,P. Gasol makes free throw 2 of 2,1,56-51,,
0:39.0,,,56-51,,Offensive foul by J. Johnson (drawn by P. Mills)
0:39.0,,,56-51,,Turnover by J. Johnson (offensive foul)
0:39.0,,,56-51,,J. Winslow enters the game for J. Johnson
0:32.0,L. Aldridge misses 2-pt shot from 20 ft,,56-51,,
0:29.0,,,56-51,,Defensive rebound by B. Adebayo
0:08.0,,,56-51,,D. Waiters misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by P. Gasol,,56-51,,
0:01.0,M. Ginobili misses 2-pt shot from 18 ft,,56-51,,
0:01.0,Offensive rebound by Team,,56-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,56-51,,B. Adebayo misses 2-pt shot from 1 ft (block by P. Gasol)
11:32.0,Defensive rebound by P. Gasol,,56-51,,
11:19.0,Turnover by P. Gasol (lost ball; steal by J. Richardson),,56-51,,
11:19.0,Personal foul by K. Anderson (drawn by J. Richardson),,56-51,,
11:07.0,,,56-51,,G. Dragic misses 2-pt shot from 9 ft
11:03.0,Defensive rebound by P. Gasol,,56-51,,
10:58.0,Turnover by P. Gasol (bad pass; steal by J. Johnson),,56-51,,
10:46.0,,,56-53,2,J. Johnson makes 2-pt shot from 9 ft
10:31.0,Turnover by D. Green (bad pass; steal by J. Richardson),,56-53,,
10:28.0,,,56-53,,Shooting foul by D. Green (drawn by J. Richardson)
10:28.0,,,56-54,1,J. Richardson makes free throw 1 of 2
10:28.0,R. Gay enters the game for P. Gasol,,56-54,,
10:28.0,M. Ginobili enters the game for D. Green,,56-54,,
10:28.0,,,56-55,1,J. Richardson makes free throw 2 of 2
10:12.0,L. Aldridge makes 2-pt shot from 11 ft,2,58-55,,
10:00.0,,,58-55,,J. Johnson misses 2-pt shot from 21 ft
9:56.0,Defensive rebound by K. Anderson,,58-55,,
9:36.0,R. Gay misses 3-pt shot from 25 ft,,58-55,,
9:34.0,,,58-55,,Defensive rebound by B. Adebayo
9:27.0,,,58-55,,B. Adebayo misses 2-pt shot at rim
9:24.0,,,58-55,,Offensive rebound by J. Richardson
9:13.0,,,58-55,,J. Richardson misses 2-pt shot from 15 ft
9:11.0,Defensive rebound by K. Anderson,,58-55,,
9:04.0,Shooting foul by D. Waiters (drawn by K. Anderson),,58-55,,
9:04.0,K. Anderson makes free throw 1 of 2,1,59-55,,
9:04.0,D. Green enters the game for R. Gay,,59-55,,
9:04.0,P. Gasol enters the game for M. Ginobili,,59-55,,
9:04.0,K. Anderson misses free throw 2 of 2,,59-55,,
9:01.0,,,59-55,,Defensive rebound by B. Adebayo
8:53.0,,,59-55,,G. Dragic misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by L. Aldridge,,59-55,,
8:28.0,P. Gasol makes 2-pt shot from 9 ft,2,61-55,,
8:14.0,,,61-57,2,J. Johnson makes 2-pt shot from 1 ft
8:00.0,L. Aldridge misses 2-pt shot from 19 ft,,61-57,,
7:57.0,,,61-57,,Defensive rebound by B. Adebayo
7:49.0,,,61-57,,G. Dragic misses 2-pt shot from 11 ft
7:47.0,,,61-57,,Offensive rebound by G. Dragic
7:45.0,,,61-57,,G. Dragic misses 2-pt shot from 10 ft
7:40.0,Defensive rebound by P. Gasol,,61-57,,
7:25.0,L. Aldridge misses 2-pt shot at rim,,61-57,,
7:23.0,,,61-57,,Defensive rebound by J. Johnson
7:13.0,,,61-60,3,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson)
7:13.0,San Antonio full timeout,,61-60,,
6:52.0,D. Green makes 2-pt shot from 3 ft,2,63-60,,
6:32.0,,,63-60,,Turnover by J. Richardson (bad pass; steal by P. Gasol)
6:15.0,D. Green makes 3-pt shot from 22 ft (assist by D. Murray),3,66-60,,
6:13.0,,,66-60,,Miami full timeout
5:56.0,,,66-60,,J. Johnson misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by K. Anderson,,66-60,,
5:36.0,L. Aldridge misses 2-pt shot from 17 ft,,66-60,,
5:33.0,,,66-60,,Defensive rebound by B. Adebayo
5:19.0,,,66-60,,J. Richardson misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by D. Green,,66-60,,
5:04.0,D. Murray misses 2-pt shot from 11 ft,,66-60,,
5:04.0,Offensive rebound by Team,,66-60,,
5:04.0,,,66-60,,Personal foul by J. Richardson (drawn by P. Gasol)
5:04.0,,,66-60,,K. Olynyk enters the game for J. Richardson
5:04.0,,,66-60,,T. Johnson enters the game for B. Adebayo
5:04.0,P. Mills enters the game for D. Murray,,66-60,,
5:04.0,M. Ginobili enters the game for D. Green,,66-60,,
5:04.0,R. Gay enters the game for P. Gasol,,66-60,,
4:57.0,Shooting foul by J. Johnson (drawn by R. Gay),,66-60,,
4:57.0,R. Gay makes free throw 1 of 2,1,67-60,,
4:57.0,R. Gay misses free throw 2 of 2,,67-60,,
4:54.0,,,67-60,,Defensive rebound by J. Johnson
4:46.0,,,67-62,2,K. Olynyk makes 2-pt shot at rim (assist by J. Johnson)
4:32.0,P. Mills misses 2-pt shot from 17 ft,,67-62,,
4:26.0,Offensive rebound by R. Gay,,67-62,,
4:17.0,Shooting foul by T. Johnson (drawn by R. Gay),,67-62,,
4:17.0,R. Gay makes free throw 1 of 2,1,68-62,,
4:17.0,,,68-62,,J. Winslow enters the game for J. Johnson
4:17.0,B. Paul enters the game for K. Anderson,,68-62,,
4:17.0,R. Gay makes free throw 2 of 2,1,69-62,,
4:06.0,,,69-64,2,J. Winslow makes 2-pt shot from 19 ft (assist by D. Waiters)
3:47.0,M. Ginobili makes 2-pt shot from 1 ft,2,71-64,,
3:38.0,,,71-66,2,G. Dragic makes 2-pt shot from 1 ft
3:19.0,L. Aldridge makes 2-pt shot from 5 ft,2,73-66,,
3:06.0,,,73-66,,G. Dragic misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by P. Mills,,73-66,,
3:01.0,Turnover by P. Mills (bad pass; steal by G. Dragic),,73-66,,
2:57.0,,,73-69,3,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
2:40.0,Shooting foul by J. Winslow (drawn by L. Aldridge),,73-69,,
2:40.0,L. Aldridge makes free throw 1 of 2,1,74-69,,
2:40.0,L. Aldridge makes free throw 2 of 2,1,75-69,,
2:19.0,,,75-69,,T. Johnson misses 2-pt shot at rim
2:19.0,Defensive rebound by Team,,75-69,,
2:19.0,D. Green enters the game for L. Aldridge,,75-69,,
2:04.0,R. Gay makes 2-pt shot from 1 ft,2,77-69,,
2:04.0,Shooting foul by J. Winslow (drawn by R. Gay),,77-69,,
2:04.0,,,77-69,,J. Richardson enters the game for D. Waiters
2:04.0,R. Gay makes free throw 1 of 1,1,78-69,,
1:53.0,,,78-71,2,G. Dragic makes 2-pt shot at rim (assist by K. Olynyk)
1:32.0,M. Ginobili makes 3-pt shot from 27 ft,3,81-71,,
1:19.0,,,81-71,,Offensive foul by G. Dragic (drawn by P. Mills)
1:19.0,,,81-71,,Turnover by G. Dragic (offensive foul)
1:04.0,R. Gay makes 2-pt shot from 6 ft (assist by P. Mills),2,83-71,,
0:42.0,Jump ball: K. Olynyk vs. R. Gay (M. Ginobili gains possession),,,,Jump ball: K. Olynyk vs. R. Gay (M. Ginobili gains possession)
0:42.0,,,83-71,,Turnover by K. Olynyk (lost ball; steal by R. Gay)
0:34.0,M. Ginobili makes 3-pt shot from 25 ft,3,86-71,,
0:21.0,Personal foul by B. Paul (drawn by K. Olynyk),,86-71,,
0:21.0,Turnover by B. Paul (turnover),,86-71,,
0:18.0,Personal foul by B. Paul (drawn by T. Johnson),,86-71,,
0:18.0,Turnover by B. Paul (turnover),,86-71,,
0:18.0,,,86-72,1,T. Johnson makes free throw 2 of 2
0:18.0,,,86-73,1,T. Johnson makes free throw 1 of 2
0:18.0,,,86-73,,O. White enters the game for G. Dragic
0:18.0,,,86-73,,J. Johnson enters the game for K. Olynyk
0:00.0,R. Gay makes 2-pt shot from 6 ft,2,88-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Ginobili misses 3-pt shot from 24 ft,,88-73,,
11:36.0,,,88-73,,Defensive rebound by D. Waiters
11:20.0,,,88-73,,T. Johnson misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by M. Ginobili,,88-73,,
11:06.0,R. Gay makes 3-pt shot from 25 ft (assist by P. Mills),3,91-73,,
10:48.0,,,91-73,,J. Richardson misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by M. Ginobili,,91-73,,
10:30.0,R. Gay misses 2-pt shot from 5 ft,,91-73,,
10:25.0,Offensive rebound by B. Paul,,91-73,,
10:25.0,B. Paul misses 2-pt shot at rim,,91-73,,
10:24.0,Offensive rebound by D. Green,,91-73,,
10:14.0,R. Gay makes 2-pt shot from 19 ft,2,93-73,,
10:00.0,,,93-75,2,J. Johnson makes 2-pt shot at rim
9:44.0,M. Ginobili misses 2-pt shot from 2 ft,,93-75,,
9:42.0,,,93-75,,Defensive rebound by J. Richardson
9:42.0,,,93-75,,Shooting foul by B. Paul (drawn by J. Richardson)
9:42.0,,,93-76,1,J. Richardson makes free throw 1 of 2
9:42.0,K. Anderson enters the game for M. Ginobili,,93-76,,
9:42.0,L. Aldridge enters the game for R. Gay,,93-76,,
9:42.0,,,93-77,1,J. Richardson makes free throw 2 of 2
9:33.0,Turnover by P. Mills (bad pass),,93-77,,
9:23.0,,,93-77,,Shooting foul by L. Aldridge (drawn by J. Johnson)
9:23.0,,,93-78,1,J. Johnson makes free throw 1 of 2
9:23.0,D. Murray enters the game for P. Mills,,93-78,,
9:23.0,,,93-79,1,J. Johnson makes free throw 2 of 2
9:14.0,,,93-79,,Personal foul by J. Winslow (drawn by K. Anderson)
9:07.0,,,93-79,,Personal foul by J. Richardson (drawn by D. Green)
9:01.0,D. Murray misses 2-pt shot from 16 ft,,93-79,,
8:57.0,,,93-79,,Defensive rebound by J. Richardson
8:46.0,,,93-79,,J. Johnson misses 2-pt shot from 18 ft
8:42.0,Defensive rebound by K. Anderson,,93-79,,
8:27.0,Turnover by L. Aldridge (traveling),,93-79,,
8:14.0,,,93-79,,J. Richardson misses 2-pt shot from 12 ft
8:08.0,Defensive rebound by K. Anderson,,93-79,,
8:03.0,B. Paul makes 3-pt shot from 24 ft (assist by K. Anderson),3,96-79,,
7:59.0,,,96-79,,Miami full timeout
7:59.0,,,96-79,,G. Dragic enters the game for J. Winslow
7:42.0,,,96-79,,D. Waiters misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by K. Anderson,,96-79,,
7:26.0,Shooting foul by J. Richardson (drawn by K. Anderson),,96-79,,
7:26.0,K. Anderson makes free throw 1 of 2,1,97-79,,
7:26.0,K. Anderson makes free throw 2 of 2,1,98-79,,
7:18.0,Personal foul by D. Murray (drawn by D. Waiters),,98-79,,
7:07.0,,,98-81,2,T. Johnson makes 2-pt shot at rim (assist by D. Waiters)
7:07.0,,,98-81,,Shooting foul by D. Green (drawn by T. Johnson)
7:07.0,P. Mills enters the game for B. Paul,,98-81,,
7:07.0,,,98-82,1,T. Johnson makes free throw 1 of 1
6:50.0,K. Anderson misses 2-pt shot from 8 ft,,98-82,,
6:47.0,,,98-82,,Defensive rebound by J. Johnson
6:45.0,,,98-84,2,J. Richardson makes 2-pt shot from 1 ft (assist by T. Johnson)
6:45.0,San Antonio full timeout,,98-84,,
6:30.0,Turnover by P. Mills (bad pass; steal by J. Richardson),,98-84,,
6:23.0,,,98-84,,D. Waiters misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by D. Murray,,98-84,,
5:58.0,K. Anderson misses 2-pt shot from 20 ft,,98-84,,
5:54.0,,,98-84,,Defensive rebound by G. Dragic
5:46.0,,,98-84,,Turnover by J. Johnson (lost ball; steal by K. Anderson)
5:38.0,K. Anderson misses 2-pt shot from 1 ft,,98-84,,
5:36.0,,,98-84,,Defensive rebound by J. Johnson
5:33.0,,,98-87,3,G. Dragic makes 3-pt shot from 23 ft (assist by J. Richardson)
5:05.0,D. Murray misses 2-pt shot from 15 ft,,98-87,,
5:03.0,,,98-87,,Defensive rebound by J. Richardson
4:54.0,,,98-87,,Turnover by J. Richardson (lost ball; steal by L. Aldridge)
4:53.0,R. Gay enters the game for K. Anderson,,98-87,,
4:53.0,M. Ginobili enters the game for D. Murray,,98-87,,
4:34.0,L. Aldridge makes 2-pt shot from 14 ft,2,100-87,,
4:26.0,,,100-87,,Miami full timeout
4:16.0,,,100-87,,D. Waiters misses 2-pt shot at rim
4:13.0,Defensive rebound by L. Aldridge,,100-87,,
4:06.0,Shooting foul by J. Johnson (drawn by L. Aldridge),,100-87,,
4:06.0,L. Aldridge makes free throw 1 of 2,1,101-87,,
4:06.0,L. Aldridge makes free throw 2 of 2,1,102-87,,
4:00.0,,,102-89,2,J. Johnson makes 2-pt shot from 1 ft
3:45.0,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili),2,104-89,,
3:35.0,,,104-89,,Shooting foul by L. Aldridge (drawn by J. Johnson)
3:35.0,,,104-90,1,J. Johnson makes free throw 1 of 2
3:35.0,,,104-91,1,J. Johnson makes free throw 2 of 2
3:18.0,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills),2,106-91,,
3:01.0,,,106-93,2,J. Johnson makes 2-pt shot from 1 ft
2:51.0,Offensive foul by L. Aldridge (drawn by J. Johnson),,106-93,,
2:51.0,Turnover by L. Aldridge (offensive foul),,106-93,,
2:41.0,,,106-95,2,J. Johnson makes 2-pt shot from 6 ft
2:28.0,,,106-95,,Personal foul by J. Richardson (drawn by R. Gay)
2:28.0,R. Gay makes free throw 1 of 2,1,107-95,,
2:28.0,R. Gay makes free throw 2 of 2,1,108-95,,
2:18.0,,,108-97,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
2:06.0,,,108-97,,Personal foul by J. Richardson (drawn by R. Gay)
2:06.0,,,108-97,,J. Winslow enters the game for J. Richardson
2:06.0,R. Gay makes free throw 1 of 2,1,109-97,,
2:06.0,R. Gay misses free throw 2 of 2,,109-97,,
2:01.0,Offensive rebound by L. Aldridge,,109-97,,
1:57.0,D. Green makes 3-pt shot from 25 ft (assist by P. Mills),3,112-97,,
1:52.0,Personal foul by P. Mills (drawn by D. Waiters),,112-97,,
1:52.0,,,112-97,,D. Waiters misses free throw 1 of 2
