time,Oklahoma City,pts.away,score,pts.home,Denver
5:27.0,,,41-40,,Defensive rebound by W. Chandler
5:11.0,,,41-42,2,W. Barton makes 2-pt shot from 2 ft
4:57.0,R. Westbrook misses 3-pt shot from 25 ft,,41-42,,
4:55.0,Offensive rebound by A. Roberson,,41-42,,
4:52.0,C. Anthony makes 3-pt shot from 24 ft (assist by A. Roberson),3,44-42,,
4:36.0,,,44-42,,Shooting foul by S. Adams (drawn by W. Barton)
4:36.0,,,44-43,1,W. Barton makes free throw 1 of 2
4:36.0,,,44-44,1,W. Barton makes free throw 2 of 2
4:34.0,,,44-44,,Personal take foul by E. Mudiay (drawn by R. Westbrook)
4:34.0,,,44-44,,N. Jokic enters the game for W. Barton
4:25.0,S. Adams misses 2-pt shot from 3 ft,,44-44,,
4:24.0,Offensive rebound by S. Adams,,44-44,,
4:22.0,Turnover by S. Adams (turnover),,44-44,,
4:09.0,,,44-44,,N. Jokic misses 3-pt shot from 24 ft
4:06.0,,,44-44,,Offensive rebound by E. Mudiay
3:57.0,,,44-44,,Turnover by P. Millsap (lost ball; steal by P. George)
3:54.0,Turnover by A. Roberson (lost ball; steal by N. Jokic),,44-44,,
3:48.0,,,44-46,2,N. Jokic makes 2-pt shot from 5 ft (assist by W. Chandler)
3:46.0,Oklahoma City full timeout,,44-46,,
3:33.0,Shooting foul by N. Jokic (drawn by R. Westbrook),,44-46,,
3:33.0,R. Westbrook misses free throw 1 of 2,,44-46,,
3:33.0,Offensive rebound by Team,,44-46,,
3:33.0,,,44-46,,M. Plumlee enters the game for N. Jokic
3:33.0,R. Westbrook misses free throw 2 of 2,,44-46,,
3:21.0,Offensive rebound by R. Westbrook,,44-46,,
3:21.0,R. Westbrook makes 2-pt shot from 2 ft,2,46-46,,
3:06.0,Personal foul by A. Roberson (drawn by M. Plumlee),,46-46,,
3:06.0,,,46-47,1,M. Plumlee makes free throw 1 of 2
3:06.0,,,46-47,,M. Plumlee misses free throw 2 of 2
3:06.0,Violation by A. Roberson (lane),,46-47,,
3:02.0,Offensive rebound by C. Anthony,,46-47,,
2:50.0,C. Anthony makes 2-pt shot from 18 ft,2,48-47,,
2:22.0,,,48-47,,Turnover by G. Harris (lost ball; steal by C. Anthony)
2:14.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,51-47,,
1:58.0,,,51-47,,G. Harris misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by P. George,,51-47,,
1:42.0,P. George makes 2-pt shot from 2 ft,2,53-47,,
1:36.0,,,53-47,,Denver full timeout
1:36.0,,,53-47,,W. Barton enters the game for G. Harris
1:23.0,,,53-47,,W. Barton misses 2-pt shot from 2 ft (block by S. Adams)
1:18.0,Defensive rebound by S. Adams,,53-47,,
1:16.0,C. Anthony misses 3-pt shot from 26 ft,,53-47,,
1:12.0,,,53-47,,Defensive rebound by W. Barton
1:05.0,,,53-47,,Shooting foul by C. Anthony (drawn by P. Millsap)
1:05.0,,,53-48,1,P. Millsap makes free throw 1 of 2
1:05.0,,,53-49,1,P. Millsap makes free throw 2 of 2
0:42.0,C. Anthony misses 2-pt shot from 22 ft,,53-49,,
0:40.0,,,53-49,,Defensive rebound by P. Millsap
0:33.0,,,53-49,,M. Plumlee misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by A. Roberson,,53-49,,
0:28.0,R. Westbrook misses 3-pt shot from 24 ft,,53-49,,
0:24.0,,,53-49,,Defensive rebound by P. Millsap
0:03.0,,,53-51,2,P. Millsap makes 2-pt shot from 2 ft
0:00.0,Offensive charge foul by R. Westbrook (drawn by W. Barton),,53-51,,
0:00.0,Turnover by R. Westbrook (offensive foul),,53-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,53-51,,P. Millsap misses 2-pt shot from 18 ft
11:39.0,,,53-51,,Offensive rebound by N. Jokic
11:35.0,,,53-51,,P. Millsap misses 2-pt shot from 3 ft
11:35.0,Defensive rebound by P. George,,53-51,,
11:14.0,R. Westbrook misses 2-pt shot from 17 ft,,53-51,,
11:10.0,,,53-51,,Defensive rebound by G. Harris
11:02.0,,,53-51,,P. Millsap misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by S. Adams,,53-51,,
10:54.0,C. Anthony misses 3-pt shot from 24 ft,,53-51,,
10:51.0,,,53-51,,Defensive rebound by N. Jokic
10:36.0,,,53-51,,Turnover by G. Harris (bad pass; steal by R. Westbrook)
10:33.0,R. Westbrook makes 2-pt shot from 2 ft,2,55-51,,
10:09.0,,,55-54,3,G. Harris makes 3-pt shot from 23 ft (assist by P. Millsap)
9:50.0,P. George misses 3-pt shot from 26 ft,,55-54,,
9:47.0,,,55-54,,Defensive rebound by N. Jokic
9:39.0,,,55-54,,Shooting foul by P. George (drawn by W. Chandler)
9:39.0,,,55-54,,W. Chandler misses free throw 1 of 2
9:39.0,,,55-54,,Offensive rebound by Team
9:39.0,,,55-54,,W. Chandler misses free throw 2 of 2
9:36.0,Defensive rebound by C. Anthony,,55-54,,
9:28.0,P. George misses 3-pt shot from 24 ft,,55-54,,
9:25.0,,,55-54,,Defensive rebound by J. Murray
9:13.0,,,55-57,3,J. Murray makes 3-pt shot from 23 ft (assist by G. Harris)
8:49.0,C. Anthony misses 2-pt shot from 17 ft,,55-57,,
8:45.0,,,55-57,,Defensive rebound by N. Jokic
8:42.0,,,55-57,,J. Murray misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by S. Adams,,55-57,,
8:34.0,P. George makes 2-pt shot from 2 ft (assist by R. Westbrook),2,57-57,,
8:16.0,Violation by S. Adams (kicked ball),,57-57,,
8:10.0,,,57-57,,G. Harris misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by S. Adams,,57-57,,
7:51.0,C. Anthony makes 3-pt shot from 26 ft (assist by R. Westbrook),3,60-57,,
7:22.0,,,60-57,,N. Jokic misses 2-pt shot from 6 ft
7:20.0,,,60-57,,Offensive rebound by N. Jokic
7:19.0,,,60-59,2,N. Jokic makes 2-pt shot from 2 ft
7:00.0,C. Anthony makes 3-pt shot from 24 ft (assist by A. Roberson),3,63-59,,
6:40.0,,,63-61,2,P. Millsap makes 2-pt shot from 7 ft (assist by W. Chandler)
6:36.0,Turnover by C. Anthony (bad pass; steal by J. Murray),,63-61,,
6:33.0,,,63-61,,J. Murray misses 3-pt shot from 25 ft
6:30.0,,,63-61,,Offensive rebound by G. Harris
6:20.0,,,63-61,,P. Millsap misses 3-pt shot from 25 ft
6:17.0,,,63-61,,Offensive rebound by G. Harris
6:09.0,,,63-63,2,G. Harris makes 2-pt shot from 2 ft (assist by J. Murray)
6:09.0,Oklahoma City full timeout,,63-63,,
5:57.0,S. Adams misses 2-pt shot from 2 ft,,63-63,,
5:55.0,,,63-63,,Defensive rebound by N. Jokic
5:50.0,,,63-63,,Turnover by J. Murray (bad pass; steal by A. Roberson)
5:39.0,S. Adams makes 2-pt shot from 1 ft (assist by P. George),2,65-63,,
5:17.0,,,65-63,,N. Jokic misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by C. Anthony,,65-63,,
5:10.0,Turnover by R. Westbrook (turnover),,65-63,,
4:57.0,,,65-65,2,J. Murray makes 2-pt shot from 3 ft
4:38.0,Turnover by P. George (bad pass; steal by J. Murray),,65-65,,
4:34.0,,,65-65,,Turnover by N. Jokic (bad pass; steal by P. George)
4:28.0,P. George misses 2-pt shot from 3 ft,,65-65,,
4:25.0,Offensive rebound by P. George,,65-65,,
4:13.0,R. Westbrook misses 3-pt shot from 24 ft,,65-65,,
4:11.0,,,65-65,,Defensive rebound by J. Murray
4:04.0,,,65-68,3,N. Jokic makes 3-pt shot from 26 ft (assist by P. Millsap)
3:50.0,,,65-68,,M. Plumlee enters the game for P. Millsap
3:50.0,,,65-68,,W. Barton enters the game for W. Chandler
3:50.0,J. Grant enters the game for S. Adams,,65-68,,
3:50.0,A. Abrines enters the game for P. George,,65-68,,
3:39.0,R. Westbrook makes 2-pt shot from 19 ft,2,67-68,,
3:15.0,,,67-68,,J. Murray misses 2-pt shot from 4 ft (block by C. Anthony)
3:15.0,,,67-68,,Offensive rebound by Team
3:15.0,P. Patterson enters the game for R. Westbrook,,67-68,,
3:15.0,R. Felton enters the game for C. Anthony,,67-68,,
3:13.0,,,67-68,,N. Jokic misses 3-pt shot from 22 ft
3:10.0,Defensive rebound by R. Felton,,67-68,,
2:59.0,R. Felton makes 2-pt shot from 20 ft,2,69-68,,
2:43.0,,,69-70,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Murray)
2:27.0,,,69-70,,Def 3 sec tech foul by W. Barton
2:27.0,,,69-70,,Denver full timeout
2:27.0,P. George enters the game for A. Roberson,,69-70,,
2:27.0,A. Abrines makes technical free throw,1,70-70,,
2:16.0,J. Grant misses 2-pt shot from 7 ft,,70-70,,
2:14.0,,,70-70,,Defensive rebound by M. Plumlee
2:11.0,Personal foul by P. Patterson (drawn by N. Jokic),,70-70,,
2:06.0,Personal foul by P. George (drawn by N. Jokic),,70-70,,
2:00.0,,,70-70,,Shooting foul by R. Felton (drawn by J. Murray)
2:00.0,,,70-70,,J. Murray misses free throw 1 of 2
2:00.0,,,70-70,,Offensive rebound by Team
2:00.0,,,70-71,1,J. Murray makes free throw 2 of 2
1:53.0,,,70-71,,Personal foul by W. Barton (drawn by P. George)
1:42.0,P. George makes 2-pt shot from 2 ft,2,72-71,,
1:24.0,,,72-71,,N. Jokic misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by Team,,72-71,,
1:07.0,P. Patterson makes 3-pt shot from 25 ft (assist by J. Grant),3,75-71,,
0:46.0,,,75-73,2,N. Jokic makes 2-pt shot from 4 ft (assist by W. Barton)
0:33.0,J. Grant misses 2-pt shot from 4 ft,,75-73,,
0:31.0,,,75-73,,Defensive rebound by N. Jokic
0:08.0,,,75-75,2,W. Barton makes 2-pt shot from 2 ft
0:00.0,P. Patterson misses 3-pt shot from 23 ft,,75-75,,
0:00.0,Offensive rebound by Team,,75-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,R. Felton makes 2-pt shot from 22 ft,2,77-75,,
11:17.0,,,77-75,,W. Barton misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by A. Abrines,,77-75,,
11:08.0,R. Felton makes 2-pt shot from 21 ft,2,79-75,,
11:07.0,,,79-75,,Denver full timeout
10:49.0,,,79-77,2,P. Millsap makes 2-pt shot from 6 ft (assist by W. Barton)
10:34.0,R. Felton makes 2-pt shot from 14 ft,2,81-77,,
10:21.0,,,81-77,,Turnover by P. Millsap (bad pass; steal by P. Patterson)
10:10.0,R. Felton misses 2-pt shot from 2 ft,,81-77,,
10:07.0,,,81-77,,Defensive rebound by M. Plumlee
9:51.0,,,81-80,3,E. Mudiay makes 3-pt shot from 22 ft (assist by M. Plumlee)
9:30.0,,,81-80,,Shooting block foul by P. Millsap (drawn by J. Grant)
9:30.0,J. Grant misses free throw 1 of 2,,81-80,,
9:30.0,Offensive rebound by Team,,81-80,,
9:30.0,J. Grant makes free throw 2 of 2,1,82-80,,
9:13.0,,,82-80,,Turnover by W. Barton (lost ball; steal by R. Felton)
9:00.0,Offensive foul by P. Patterson (drawn by M. Beasley),,82-80,,
9:00.0,Turnover by P. Patterson (offensive foul),,82-80,,
9:00.0,R. Westbrook enters the game for A. Abrines,,82-80,,
9:00.0,,,82-80,,G. Harris enters the game for M. Beasley
8:47.0,,,82-80,,P. Millsap misses 2-pt shot from 10 ft
8:47.0,,,82-80,,Offensive rebound by Team
8:47.0,Personal foul by R. Felton (drawn by M. Plumlee),,82-80,,
8:40.0,,,82-80,,M. Plumlee misses 2-pt shot from 3 ft
8:38.0,Defensive rebound by R. Westbrook,,82-80,,
8:29.0,R. Westbrook misses 2-pt shot from 16 ft (block by M. Plumlee),,82-80,,
8:26.0,,,82-80,,Defensive rebound by P. Millsap
8:24.0,,,82-82,2,W. Barton makes 2-pt shot from 1 ft (assist by P. Millsap)
8:11.0,Turnover by P. George (lost ball; steal by P. Millsap),,82-82,,
8:04.0,,,82-82,,W. Barton misses 3-pt shot from 25 ft
8:00.0,,,82-82,,Offensive rebound by G. Harris
7:59.0,,,82-85,3,E. Mudiay makes 3-pt shot from 24 ft (assist by G. Harris)
7:35.0,,,82-85,,Personal block foul by M. Plumlee (drawn by J. Grant)
7:35.0,C. Anthony enters the game for R. Felton,,82-85,,
7:35.0,A. Roberson enters the game for J. Grant,,82-85,,
7:35.0,S. Adams enters the game for P. Patterson,,82-85,,
7:25.0,C. Anthony misses 3-pt shot from 23 ft,,82-85,,
7:23.0,,,82-85,,Defensive rebound by E. Mudiay
7:02.0,,,82-87,2,P. Millsap makes 2-pt shot from 13 ft
6:45.0,R. Westbrook misses 2-pt shot from 12 ft,,82-87,,
6:43.0,Offensive rebound by R. Westbrook,,82-87,,
6:43.0,R. Westbrook misses 2-pt shot from 2 ft,,82-87,,
6:43.0,,,82-87,,Defensive rebound by E. Mudiay
6:35.0,,,82-89,2,E. Mudiay makes 2-pt shot from 3 ft
6:35.0,Oklahoma City full timeout,,82-89,,
6:11.0,C. Anthony makes 2-pt shot from 14 ft,2,84-89,,
5:48.0,,,84-91,2,M. Plumlee makes 2-pt shot from 2 ft (assist by E. Mudiay)
5:31.0,P. George misses 2-pt shot from 15 ft,,84-91,,
5:27.0,Offensive rebound by P. George,,84-91,,
5:21.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,87-91,,
4:59.0,,,87-91,,P. Millsap misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by S. Adams,,87-91,,
4:34.0,Turnover by Team (shot clock),,87-91,,
4:34.0,,,87-91,,N. Jokic enters the game for M. Plumlee
4:33.0,S. Adams misses 2-pt shot from 7 ft,,87-91,,
4:33.0,,,87-91,,Defensive rebound by Team
4:20.0,,,87-93,2,E. Mudiay makes 2-pt shot from 1 ft (assist by N. Jokic)
3:55.0,A. Roberson misses 3-pt shot from 22 ft,,87-93,,
3:52.0,,,87-93,,Defensive rebound by N. Jokic
3:32.0,,,87-93,,N. Jokic misses 2-pt shot from 5 ft
3:29.0,Defensive rebound by S. Adams,,87-93,,
3:21.0,Offensive charge foul by C. Anthony (drawn by W. Barton),,87-93,,
