time,Indiana,pts.away,score,pts.home,Sacramento
6:17.0,Defensive rebound by M. Turner,,15-17,,
6:08.0,M. Turner makes 3-pt shot from 25 ft (assist by D. Collison),3,18-17,,
5:48.0,,,18-17,,J. Jackson misses 2-pt shot from 18 ft
5:43.0,Defensive rebound by D. Collison,,18-17,,
5:38.0,D. Collison makes 2-pt shot from 2 ft,2,20-17,,
5:31.0,,,20-17,,Sacramento full timeout
5:31.0,,,20-17,,B. Bogdanovic enters the game for J. Jackson
5:15.0,,,20-17,,D. Fox misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by T. Young,,20-17,,
4:55.0,Turnover by T. Young (out of bounds lost ball),,20-17,,
4:31.0,,,20-19,2,S. Labissiere makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
4:18.0,B. Bogdanovic misses 2-pt shot from 2 ft,,20-19,,
4:18.0,,,20-19,,Defensive rebound by W. Cauley-Stein
4:18.0,C. Joseph enters the game for T. Young,,20-19,,
4:18.0,D. Sabonis enters the game for B. Bogdanovic,,20-19,,
4:17.0,,,20-19,,Shooting foul by C. Joseph (drawn by B. Bogdanovic)
4:17.0,,,20-20,1,B. Bogdanovic makes free throw 1 of 2
4:17.0,,,20-20,,B. Bogdanovic misses free throw 2 of 2
4:15.0,,,20-20,,Offensive rebound by W. Cauley-Stein
4:07.0,,,20-20,,B. Hield misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by M. Turner,,20-20,,
3:50.0,D. Sabonis misses 2-pt shot from 4 ft,,20-20,,
3:48.0,,,20-20,,Defensive rebound by B. Hield
3:45.0,,,20-20,,K. Koufos enters the game for W. Cauley-Stein
3:34.0,,,20-20,,S. Labissiere misses 2-pt shot from 2 ft (block by M. Turner)
3:30.0,Defensive rebound by V. Oladipo,,20-20,,
3:25.0,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Sabonis),3,23-20,,
3:10.0,,,23-20,,Turnover by B. Bogdanovic (bad pass; steal by M. Turner)
3:10.0,,,23-20,,Personal foul by K. Koufos (drawn by M. Turner)
3:10.0,G. Robinson enters the game for D. Collison,,23-20,,
3:04.0,,,23-20,,Personal foul by B. Hield (drawn by G. Robinson)
2:59.0,C. Joseph misses 3-pt shot from 25 ft,,23-20,,
2:57.0,,,23-20,,Defensive rebound by Team
2:57.0,Loose ball foul by G. Robinson (drawn by K. Koufos),,23-20,,
2:43.0,,,23-22,2,K. Koufos makes 2-pt shot from 10 ft (assist by B. Hield)
2:43.0,,,23-22,,Shooting foul by D. Sabonis (drawn by K. Koufos)
2:43.0,,,23-22,,F. Mason enters the game for D. Fox
2:43.0,,,23-22,,K. Koufos misses free throw 1 of 1
2:43.0,Defensive rebound by M. Turner,,23-22,,
2:27.0,D. Sabonis misses 2-pt shot from 7 ft,,23-22,,
2:24.0,,,23-22,,Defensive rebound by S. Labissiere
2:14.0,,,23-25,3,B. Bogdanovic makes 3-pt shot from 24 ft
1:56.0,D. Sabonis makes 2-pt shot from 2 ft (assist by M. Turner),2,25-25,,
1:34.0,,,25-25,,S. Labissiere misses 2-pt shot from 15 ft
1:32.0,,,25-25,,Offensive rebound by B. Hield
1:29.0,,,25-25,,Turnover by B. Hield (traveling)
1:29.0,,,25-25,,V. Carter enters the game for S. Labissiere
1:29.0,L. Stephenson enters the game for V. Oladipo,,25-25,,
1:29.0,T. Leaf enters the game for M. Turner,,25-25,,
1:07.0,C. Joseph misses 3-pt shot from 25 ft,,25-25,,
1:02.0,,,25-25,,Defensive rebound by F. Mason
0:56.0,,,25-28,3,V. Carter makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
0:38.0,Turnover by L. Stephenson (traveling),,25-28,,
0:31.0,,,25-28,,B. Bogdanovic misses 2-pt shot from 14 ft
0:26.0,Defensive rebound by T. Leaf,,25-28,,
0:16.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. Sabonis),3,28-28,,
0:00.0,,,28-28,,B. Hield misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by D. Sabonis,,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,L. Stephenson misses 2-pt shot from 18 ft,,28-28,,
11:46.0,,,28-28,,Defensive rebound by Team
11:29.0,,,28-31,3,J. Jackson makes 3-pt shot from 24 ft (assist by K. Koufos)
11:12.0,L. Stephenson misses 2-pt shot from 21 ft,,28-31,,
11:11.0,,,28-31,,Defensive rebound by Team
10:51.0,,,28-33,2,J. Jackson makes 2-pt shot from 5 ft
10:32.0,L. Stephenson makes 3-pt shot from 25 ft (assist by C. Joseph),3,31-33,,
10:11.0,,,31-36,3,V. Carter makes 3-pt shot from 25 ft (assist by J. Jackson)
9:56.0,L. Stephenson misses 3-pt shot from 25 ft,,31-36,,
9:53.0,,,31-36,,Defensive rebound by B. Bogdanovic
9:49.0,,,31-36,,V. Carter misses 3-pt shot from 27 ft
9:45.0,,,31-36,,Offensive rebound by K. Koufos
9:28.0,,,31-36,,Shooting foul by L. Stephenson (drawn by K. Koufos)
9:28.0,,,31-37,1,K. Koufos makes free throw 1 of 2
9:28.0,B. Bogdanovic enters the game for T. Leaf,,31-37,,
9:28.0,,,31-37,,K. Koufos misses free throw 2 of 2
9:26.0,Defensive rebound by D. Sabonis,,31-37,,
9:04.0,C. Joseph misses 3-pt shot from 25 ft,,31-37,,
9:01.0,Offensive rebound by L. Stephenson,,31-37,,
8:46.0,,,31-37,,Personal foul by J. Jackson (drawn by G. Robinson)
8:38.0,D. Sabonis makes 2-pt shot from 21 ft (assist by C. Joseph),2,33-37,,
8:26.0,,,33-37,,B. Bogdanovic misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by D. Sabonis,,33-37,,
8:17.0,,,33-37,,Personal foul by V. Carter (drawn by D. Sabonis)
8:17.0,T. Young enters the game for G. Robinson,,33-37,,
8:01.0,L. Stephenson makes 2-pt shot from 15 ft,2,35-37,,
7:40.0,,,35-40,3,F. Mason makes 3-pt shot from 24 ft (assist by V. Carter)
7:29.0,Turnover by L. Stephenson (bad pass; steal by J. Jackson),,35-40,,
7:24.0,,,35-42,2,B. Bogdanovic makes 2-pt shot from 2 ft
7:14.0,Indiana full timeout,,35-42,,
7:14.0,V. Oladipo enters the game for L. Stephenson,,35-42,,
7:14.0,D. Collison enters the game for C. Joseph,,35-42,,
7:14.0,M. Turner enters the game for D. Sabonis,,35-42,,
6:52.0,Shooting foul by J. Jackson (drawn by B. Bogdanovic),,35-42,,
6:52.0,B. Bogdanovic makes free throw 1 of 3,1,36-42,,
6:52.0,B. Bogdanovic makes free throw 2 of 3,1,37-42,,
6:52.0,B. Bogdanovic makes free throw 3 of 3,1,38-42,,
6:31.0,,,38-42,,F. Mason misses 3-pt shot from 22 ft
6:28.0,Defensive rebound by T. Young,,38-42,,
6:20.0,T. Young makes 2-pt shot from 2 ft (assist by D. Collison),2,40-42,,
6:09.0,,,40-44,2,B. Bogdanovic makes 2-pt shot from 14 ft
5:57.0,B. Bogdanovic makes 2-pt shot from 4 ft (assist by M. Turner),2,42-44,,
5:57.0,Shooting foul by K. Koufos (drawn by B. Bogdanovic),,42-44,,
5:57.0,,,42-44,,W. Cauley-Stein enters the game for J. Jackson
5:57.0,,,42-44,,B. Hield enters the game for K. Koufos
5:57.0,B. Bogdanovic makes free throw 1 of 1,1,43-44,,
5:39.0,,,43-44,,W. Cauley-Stein misses 2-pt shot from 5 ft (block by M. Turner)
5:35.0,Defensive rebound by V. Oladipo,,43-44,,
5:27.0,D. Collison misses 2-pt shot from 1 ft,,43-44,,
5:22.0,,,43-44,,Defensive rebound by B. Hield
5:14.0,,,43-44,,F. Mason misses 2-pt shot from 5 ft
5:11.0,Defensive rebound by D. Collison,,43-44,,
5:07.0,D. Collison misses 2-pt shot from 16 ft,,43-44,,
5:07.0,,,43-44,,Defensive rebound by W. Cauley-Stein
5:00.0,,,43-44,,Sacramento full timeout
5:00.0,,,43-44,,S. Labissiere enters the game for F. Mason
5:00.0,,,43-44,,D. Fox enters the game for V. Carter
4:41.0,,,43-44,,D. Fox misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by T. Young,,43-44,,
4:31.0,V. Oladipo makes 2-pt shot from 1 ft,2,45-44,,
4:18.0,,,45-46,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
3:58.0,T. Young makes 2-pt shot from 3 ft (assist by V. Oladipo),2,47-46,,
3:38.0,,,47-48,2,B. Bogdanovic makes 2-pt shot from 1 ft
3:28.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Collison),3,50-48,,
3:16.0,,,50-50,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
2:54.0,T. Young makes 2-pt shot from 2 ft (assist by M. Turner),2,52-50,,
2:36.0,,,52-50,,Turnover by B. Hield (lost ball; steal by T. Young)
2:31.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,54-50,,
2:31.0,Shooting foul by S. Labissiere (drawn by T. Young),,54-50,,
2:31.0,T. Young makes free throw 1 of 1,1,55-50,,
2:28.0,Personal foul by D. Collison (drawn by D. Fox),,55-50,,
2:28.0,D. Sabonis enters the game for T. Young,,55-50,,
2:10.0,,,55-50,,Turnover by B. Bogdanovic (bad pass)
2:03.0,Shooting foul by B. Bogdanovic (drawn by M. Turner),,55-50,,
2:03.0,M. Turner makes free throw 1 of 2,1,56-50,,
2:03.0,M. Turner makes free throw 2 of 2,1,57-50,,
1:43.0,,,57-50,,B. Hield misses 3-pt shot from 24 ft
1:40.0,Defensive rebound by D. Sabonis,,57-50,,
1:33.0,Offensive foul by D. Sabonis (drawn by D. Fox),,57-50,,
1:33.0,Turnover by D. Sabonis (offensive foul),,57-50,,
1:33.0,T. Young enters the game for D. Sabonis,,57-50,,
1:17.0,,,57-50,,Turnover by D. Fox (bad pass; steal by D. Collison)
1:14.0,D. Collison makes 2-pt shot from 1 ft,2,59-50,,
1:08.0,,,59-52,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Hield)
0:54.0,M. Turner misses 2-pt shot from 20 ft,,59-52,,
0:54.0,,,59-52,,Defensive rebound by D. Fox
0:48.0,,,59-54,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield)
0:29.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by W. Cauley-Stein),,59-54,,
0:27.0,,,59-54,,Defensive rebound by D. Fox
0:27.0,Personal foul by D. Collison (drawn by D. Fox),,59-54,,
0:27.0,C. Joseph enters the game for D. Collison,,59-54,,
0:06.0,,,59-56,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by S. Labissiere)
0:01.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,61-56,,
0:01.0,,,61-56,,Violation by S. Labissiere (def goaltending)
0:00.0,,,61-56,,B. Bogdanovic misses 3-pt shot from 49 ft
0:00.0,,,61-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,M. Turner misses 2-pt shot from 8 ft,,61-56,,
11:35.0,,,61-56,,Defensive rebound by S. Labissiere
11:20.0,,,61-56,,Offensive charge foul by S. Labissiere (drawn by T. Young)
11:20.0,,,61-56,,Turnover by S. Labissiere (offensive foul)
10:56.0,Turnover by D. Collison (turnover),,61-56,,
10:49.0,Personal foul by V. Oladipo (drawn by B. Bogdanovic),,61-56,,
10:39.0,,,61-58,2,D. Fox makes 2-pt shot from 16 ft
10:23.0,Offensive foul by V. Oladipo (drawn by B. Bogdanovic),,61-58,,
10:23.0,Turnover by V. Oladipo (offensive foul),,61-58,,
10:12.0,,,61-60,2,D. Fox makes 2-pt shot from 6 ft
9:55.0,D. Collison makes 2-pt shot from 14 ft (assist by T. Young),2,63-60,,
9:44.0,,,63-60,,Turnover by S. Labissiere (lost ball; steal by D. Collison)
9:36.0,M. Turner misses 3-pt shot from 26 ft,,63-60,,
9:32.0,,,63-60,,Defensive rebound by B. Bogdanovic
9:29.0,,,63-60,,J. Jackson misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by T. Young,,63-60,,
9:26.0,,,63-60,,Personal foul by D. Fox (drawn by V. Oladipo)
9:10.0,T. Young makes 2-pt shot from 3 ft (assist by D. Collison),2,65-60,,
8:50.0,,,65-60,,Turnover by W. Cauley-Stein (bad pass; steal by V. Oladipo)
8:45.0,Turnover by D. Collison (out of bounds lost ball),,65-60,,
8:32.0,,,65-60,,S. Labissiere misses 2-pt shot from 14 ft
8:30.0,,,65-60,,Offensive rebound by W. Cauley-Stein
8:25.0,,,65-60,,S. Labissiere misses 2-pt shot from 9 ft
8:20.0,Defensive rebound by T. Young,,65-60,,
8:12.0,T. Young misses 2-pt shot from 6 ft,,65-60,,
8:09.0,,,65-60,,Defensive rebound by W. Cauley-Stein
7:58.0,,,65-60,,D. Fox misses 2-pt shot from 20 ft
7:54.0,Defensive rebound by V. Oladipo,,65-60,,
7:34.0,V. Oladipo misses 3-pt shot from 22 ft,,65-60,,
7:30.0,,,65-60,,Defensive rebound by W. Cauley-Stein
7:08.0,,,65-60,,B. Bogdanovic misses 2-pt shot from 22 ft
7:06.0,,,65-60,,Offensive rebound by S. Labissiere
7:01.0,,,65-63,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Labissiere)
6:55.0,,,65-63,,Personal foul by B. Bogdanovic (drawn by V. Oladipo)
6:55.0,,,65-63,,Sacramento full timeout
6:55.0,,,65-63,,V. Carter enters the game for S. Labissiere
6:43.0,V. Oladipo misses 3-pt shot from 23 ft,,65-63,,
6:39.0,,,65-63,,Defensive rebound by V. Carter
6:21.0,,,65-63,,Offensive foul by W. Cauley-Stein (drawn by T. Young)
6:21.0,,,65-63,,Turnover by W. Cauley-Stein (offensive foul)
6:01.0,T. Young makes 2-pt shot from 2 ft (assist by M. Turner),2,67-63,,
5:50.0,,,67-65,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
5:34.0,T. Young misses 2-pt shot from 4 ft (block by V. Carter),,67-65,,
5:33.0,,,67-65,,Defensive rebound by Team
5:33.0,,,67-65,,B. Hield enters the game for J. Jackson
5:18.0,,,67-65,,B. Hield misses 2-pt shot from 2 ft
5:14.0,Defensive rebound by D. Collison,,67-65,,
5:13.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison),3,70-65,,
5:13.0,Shooting foul by V. Carter (drawn by B. Bogdanovic),,70-65,,
5:13.0,B. Bogdanovic makes free throw 1 of 1,1,71-65,,
4:54.0,,,71-65,,Turnover by B. Hield (bad pass)
4:32.0,Turnover by B. Bogdanovic (bad pass; steal by D. Fox),,71-65,,
4:28.0,,,71-67,2,D. Fox makes 2-pt shot from 1 ft
4:14.0,Shooting foul by V. Carter (drawn by D. Collison),,71-67,,
4:14.0,D. Collison makes free throw 1 of 2,1,72-67,,
4:14.0,,,72-67,,K. Koufos enters the game for W. Cauley-Stein
4:14.0,C. Joseph enters the game for B. Bogdanovic,,72-67,,
4:14.0,D. Collison makes free throw 2 of 2,1,73-67,,
4:04.0,,,73-70,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Fox)
3:42.0,M. Turner makes 2-pt shot from 19 ft (assist by D. Collison),2,75-70,,
3:22.0,Personal foul by D. Collison (drawn by B. Bogdanovic),,75-70,,
3:17.0,,,75-73,3,B. Hield makes 3-pt shot from 25 ft (assist by K. Koufos)
3:00.0,V. Oladipo misses 3-pt shot from 24 ft,,75-73,,
2:58.0,Offensive rebound by T. Young,,75-73,,
2:58.0,T. Young misses 2-pt shot at rim,,75-73,,
2:58.0,Offensive rebound by Team,,75-73,,
2:58.0,Indiana full timeout,,75-73,,
2:58.0,,,75-73,,F. Mason enters the game for D. Fox
2:58.0,G. Robinson enters the game for D. Collison,,75-73,,
2:58.0,D. Sabonis enters the game for M. Turner,,75-73,,
2:44.0,T. Young makes 2-pt shot from 3 ft (assist by D. Sabonis),2,77-73,,
2:22.0,,,77-73,,K. Koufos misses 2-pt shot from 8 ft
2:20.0,Defensive rebound by D. Sabonis,,77-73,,
2:12.0,C. Joseph misses 2-pt shot from 21 ft,,77-73,,
2:08.0,Offensive rebound by D. Sabonis,,77-73,,
2:06.0,G. Robinson misses 3-pt shot from 23 ft,,77-73,,
2:06.0,Offensive rebound by C. Joseph,,77-73,,
2:00.0,T. Young misses 2-pt shot from 5 ft,,77-73,,
2:00.0,,,77-73,,Defensive rebound by Team
1:51.0,Personal foul by T. Young (drawn by K. Koufos),,77-73,,
1:51.0,L. Stephenson enters the game for V. Oladipo,,77-73,,
1:41.0,,,77-73,,V. Carter misses 3-pt shot from 22 ft
1:38.0,,,77-73,,Offensive rebound by Team
1:18.0,,,77-75,2,B. Hield makes 2-pt shot from 19 ft
0:55.0,T. Young misses 2-pt shot from 10 ft,,77-75,,
0:53.0,,,77-75,,Defensive rebound by K. Koufos
0:40.0,,,77-75,,F. Mason misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by C. Joseph,,77-75,,
0:34.0,G. Robinson misses 2-pt shot from 7 ft,,77-75,,
0:32.0,,,77-75,,Defensive rebound by B. Bogdanovic
0:26.0,,,77-77,2,K. Koufos makes 2-pt shot from 8 ft (assist by B. Bogdanovic)
0:07.0,C. Joseph makes 2-pt shot from 10 ft,2,79-77,,
0:00.0,,,79-79,2,F. Mason makes 2-pt shot from 22 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-79,,K. Koufos misses 2-pt shot from 3 ft
11:42.0,Defensive rebound by C. Joseph,,79-79,,
11:32.0,L. Stephenson makes 2-pt shot from 14 ft,2,81-79,,
11:06.0,,,81-79,,V. Carter misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by D. Sabonis,,81-79,,
10:51.0,D. Sabonis makes 2-pt shot at rim,2,83-79,,
10:40.0,,,83-81,2,K. Koufos makes 2-pt shot from 8 ft (assist by F. Mason)
10:34.0,,,83-81,,Personal block foul by K. Koufos (drawn by C. Joseph)
10:34.0,,,83-81,,J. Sampson enters the game for B. Bogdanovic
10:17.0,B. Bogdanovic misses 3-pt shot from 25 ft,,83-81,,
10:12.0,,,83-81,,Defensive rebound by K. Koufos
10:04.0,,,83-83,2,F. Mason makes 2-pt shot from 7 ft
9:54.0,,,83-83,,Personal foul by F. Mason (drawn by C. Joseph)
9:48.0,C. Joseph makes 2-pt shot from 10 ft,2,85-83,,
9:27.0,,,85-83,,F. Mason misses 2-pt shot from 1 ft
9:25.0,,,85-83,,Offensive rebound by Team
9:25.0,,,85-83,,Turnover by F. Mason (traveling)
9:15.0,L. Stephenson misses 3-pt shot from 24 ft,,85-83,,
9:10.0,,,85-83,,Defensive rebound by K. Koufos
9:03.0,,,85-83,,Turnover by B. Hield (step out of bounds)
8:50.0,B. Bogdanovic makes 2-pt shot from 4 ft (assist by C. Joseph),2,87-83,,
8:50.0,,,87-83,,Sacramento full timeout
8:36.0,,,87-83,,Turnover by V. Carter (bad pass; steal by G. Robinson)
8:31.0,G. Robinson misses 2-pt shot from 3 ft,,87-83,,
8:29.0,Offensive rebound by G. Robinson,,87-83,,
8:14.0,B. Bogdanovic misses 3-pt shot from 25 ft,,87-83,,
8:11.0,Offensive rebound by G. Robinson,,87-83,,
7:52.0,G. Robinson misses 2-pt shot from 3 ft,,87-83,,
7:51.0,,,87-83,,Defensive rebound by V. Carter
7:51.0,,,87-83,,Sacramento full timeout
7:51.0,,,87-83,,B. Bogdanovic enters the game for B. Hield
7:51.0,,,87-83,,J. Jackson enters the game for J. Sampson
7:51.0,V. Oladipo enters the game for G. Robinson,,87-83,,
7:35.0,,,87-86,3,F. Mason makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
7:16.0,V. Oladipo misses 3-pt shot from 22 ft,,87-86,,
7:14.0,,,87-86,,Defensive rebound by V. Carter
6:55.0,,,87-86,,V. Carter misses 3-pt shot from 22 ft
6:53.0,,,87-86,,Offensive rebound by Team
6:53.0,T. Young enters the game for B. Bogdanovic,,87-86,,
6:46.0,,,87-86,,B. Bogdanovic misses 3-pt shot from 23 ft
6:43.0,Defensive rebound by D. Sabonis,,87-86,,
6:35.0,V. Oladipo makes 2-pt shot from 2 ft,2,89-86,,
6:35.0,Shooting foul by K. Koufos (drawn by V. Oladipo),,89-86,,
6:35.0,V. Oladipo makes free throw 1 of 1,1,90-86,,
6:21.0,,,90-88,2,F. Mason makes 2-pt shot from 2 ft (assist by V. Carter)
6:04.0,V. Oladipo makes 2-pt shot from 1 ft,2,92-88,,
5:48.0,,,92-90,2,V. Carter makes 2-pt shot from 1 ft (assist by F. Mason)
5:48.0,,,92-90,,Shooting foul by C. Joseph (drawn by V. Carter)
5:48.0,,,92-91,1,V. Carter makes free throw 1 of 1
5:48.0,Indiana full timeout,,92-91,,
5:48.0,,,92-91,,S. Labissiere enters the game for V. Carter
5:48.0,B. Bogdanovic enters the game for L. Stephenson,,92-91,,
5:48.0,D. Collison enters the game for C. Joseph,,92-91,,
5:23.0,D. Collison misses 3-pt shot from 24 ft,,92-91,,
5:21.0,,,92-91,,Defensive rebound by J. Jackson
4:59.0,,,92-91,,J. Jackson misses 2-pt shot from 18 ft
4:53.0,,,92-91,,Offensive rebound by F. Mason
4:50.0,,,92-91,,F. Mason misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by T. Young,,92-91,,
4:40.0,V. Oladipo makes 2-pt shot at rim,2,94-91,,
4:40.0,Shooting foul by S. Labissiere (drawn by V. Oladipo),,94-91,,
4:40.0,,,94-91,,W. Cauley-Stein enters the game for F. Mason
4:40.0,,,94-91,,D. Fox enters the game for K. Koufos
4:40.0,V. Oladipo makes free throw 1 of 1,1,95-91,,
4:17.0,,,95-91,,D. Fox misses 3-pt shot from 22 ft (block by D. Collison)
4:16.0,,,95-91,,Offensive rebound by Team
4:16.0,Loose ball foul by D. Sabonis (drawn by D. Fox),,95-91,,
4:16.0,,,95-91,,B. Hield enters the game for J. Jackson
4:10.0,,,95-91,,Turnover by B. Bogdanovic (traveling)
3:56.0,V. Oladipo misses 3-pt shot from 25 ft,,95-91,,
3:55.0,Offensive rebound by Team,,95-91,,
3:34.0,D. Sabonis makes 2-pt shot from 21 ft (assist by D. Collison),2,97-91,,
3:05.0,,,97-91,,Turnover by D. Fox (bad pass; steal by V. Oladipo)
3:02.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,99-91,,
3:02.0,,,99-91,,Sacramento full timeout
2:49.0,Personal foul by D. Sabonis (drawn by D. Fox),,99-91,,
2:42.0,,,99-93,2,B. Bogdanovic makes 2-pt shot from 10 ft (assist by W. Cauley-Stein)
2:27.0,B. Bogdanovic misses 3-pt shot from 25 ft,,99-93,,
2:23.0,,,99-93,,Defensive rebound by B. Hield
2:19.0,,,99-93,,Offensive foul by W. Cauley-Stein (drawn by D. Collison)
2:19.0,,,99-93,,Turnover by W. Cauley-Stein (offensive foul)
2:00.0,Shooting foul by S. Labissiere (drawn by T. Young),,99-93,,
2:00.0,T. Young misses free throw 1 of 2,,99-93,,
2:00.0,Offensive rebound by Team,,99-93,,
2:00.0,T. Young misses free throw 2 of 2,,99-93,,
1:57.0,,,99-93,,Defensive rebound by W. Cauley-Stein
1:44.0,,,99-93,,W. Cauley-Stein misses 2-pt shot from 4 ft (block by V. Oladipo)
1:42.0,Defensive rebound by V. Oladipo,,99-93,,
1:25.0,Turnover by V. Oladipo (bad pass; steal by B. Bogdanovic),,99-93,,
1:24.0,Personal foul by D. Collison (drawn by B. Bogdanovic),,99-93,,
1:06.0,,,99-96,3,B. Hield makes 3-pt shot from 23 ft (assist by W. Cauley-Stein)
0:48.0,Turnover by D. Collison (traveling),,99-96,,
0:30.0,Personal foul by B. Bogdanovic (drawn by B. Hield),,99-96,,
0:30.0,,,99-97,1,B. Hield makes free throw 1 of 2
0:30.0,,,99-98,1,B. Hield makes free throw 2 of 2
0:30.0,Indiana full timeout,,99-98,,
0:30.0,M. Turner enters the game for D. Sabonis,,99-98,,
0:17.0,V. Oladipo makes 3-pt shot from 25 ft,3,102-98,,
0:17.0,,,102-98,,Sacramento full timeout
0:13.0,,,102-100,2,B. Hield makes 2-pt shot from 19 ft (assist by B. Bogdanovic)
0:10.0,,,102-100,,Personal foul by W. Cauley-Stein (drawn by B. Bogdanovic)
0:10.0,B. Bogdanovic makes free throw 1 of 2,1,103-100,,
0:10.0,B. Bogdanovic makes free throw 2 of 2,1,104-100,,
0:04.0,,,104-103,3,B. Bogdanovic makes 3-pt shot from 30 ft (assist by D. Fox)
0:02.0,,,104-103,,Personal foul by B. Hield (drawn by V. Oladipo)
0:02.0,V. Oladipo makes free throw 1 of 2,1,105-103,,
0:02.0,,,105-103,,V. Carter enters the game for S. Labissiere
0:02.0,V. Oladipo makes free throw 2 of 2,1,106-103,,
