time,Oklahoma City,pts.away,score,pts.home,Dallas
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by A. Abrines (drawn by Y. Ferrell),,32-21,,
11:38.0,,,32-23,2,D. Powell makes 2-pt shot from 3 ft (assist by J. Barea)
11:25.0,R. Felton misses 3-pt shot from 25 ft,,32-23,,
11:22.0,Offensive rebound by J. Grant,,32-23,,
11:12.0,Turnover by R. Felton (bad pass; steal by D. Nowitzki),,32-23,,
11:05.0,,,32-23,,Y. Ferrell misses 2-pt shot from 4 ft
11:02.0,Defensive rebound by J. Huestis,,32-23,,
10:53.0,P. Patterson misses 3-pt shot from 24 ft,,32-23,,
10:53.0,,,32-23,,Defensive rebound by D. Nowitzki
10:44.0,,,32-23,,D. Powell misses 2-pt shot from 6 ft
10:39.0,Defensive rebound by R. Felton,,32-23,,
10:36.0,A. Abrines makes 3-pt shot from 24 ft (assist by R. Felton),3,35-23,,
10:15.0,,,35-25,2,D. Powell makes 2-pt shot from 3 ft (assist by D. McDermott)
10:15.0,Technical foul by J. Grant (drawn by D. Powell),,35-25,,
10:15.0,,,35-26,1,D. Powell makes flagrant free throw 1 of 1
10:00.0,,,35-26,,Shooting foul by J. Grant (drawn by D. Powell)
10:00.0,,,35-26,,D. Powell misses free throw 1 of 2
10:00.0,,,35-26,,Offensive rebound by Team
10:00.0,,,35-26,,D. Powell misses free throw 2 of 2
9:57.0,Defensive rebound by J. Huestis,,35-26,,
9:44.0,P. Patterson makes 2-pt shot from 8 ft (assist by A. Abrines),2,37-26,,
9:21.0,,,37-28,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea)
9:06.0,J. Grant misses 3-pt shot from 24 ft,,37-28,,
9:04.0,,,37-28,,Defensive rebound by J. Barea
8:56.0,,,37-28,,Turnover by J. Barea (bad pass; steal by P. Patterson)
8:56.0,,,37-28,,Personal take foul by D. Nowitzki (drawn by R. Felton)
8:56.0,R. Westbrook enters the game for R. Felton,,37-28,,
8:46.0,R. Westbrook makes 2-pt shot from 6 ft,2,39-28,,
8:44.0,,,39-28,,Dallas full timeout
8:44.0,,,39-28,,D. Smith enters the game for Y. Ferrell
8:23.0,,,39-28,,D. Nowitzki misses 2-pt shot from 9 ft
8:20.0,Defensive rebound by J. Grant,,39-28,,
8:10.0,J. Huestis misses 3-pt shot from 26 ft,,39-28,,
8:10.0,,,39-28,,Defensive rebound by D. McDermott
7:57.0,,,39-30,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea)
7:44.0,J. Grant makes 2-pt shot from 4 ft (assist by R. Westbrook),2,41-30,,
7:27.0,,,41-30,,Turnover by J. Barea (out of bounds lost ball)
7:21.0,R. Westbrook misses 2-pt shot from 13 ft,,41-30,,
7:16.0,Offensive rebound by R. Westbrook,,41-30,,
7:12.0,R. Westbrook misses 2-pt shot from 5 ft,,41-30,,
7:09.0,,,41-30,,Defensive rebound by D. Powell
6:57.0,,,41-30,,D. Nowitzki misses 2-pt shot from 21 ft
6:54.0,Defensive rebound by R. Westbrook,,41-30,,
6:50.0,,,41-30,,Violation by D. Nowitzki (kicked ball)
6:50.0,,,41-30,,H. Barnes enters the game for J. Barea
6:50.0,,,41-30,,N. Noel enters the game for D. Powell
6:50.0,,,41-30,,W. Matthews enters the game for D. Nowitzki
6:50.0,P. George enters the game for J. Huestis,,41-30,,
6:43.0,R. Westbrook misses 2-pt shot from 5 ft,,41-30,,
6:42.0,Offensive rebound by R. Westbrook,,41-30,,
6:42.0,Shooting foul by N. Noel (drawn by R. Westbrook),,41-30,,
6:42.0,R. Westbrook makes free throw 1 of 2,1,42-30,,
6:42.0,S. Adams enters the game for J. Grant,,42-30,,
6:42.0,R. Westbrook makes free throw 2 of 2,1,43-30,,
6:31.0,,,43-30,,D. Smith misses 3-pt shot from 25 ft
6:29.0,,,43-30,,Offensive rebound by Team
6:16.0,,,43-30,,W. Matthews misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by P. George,,43-30,,
6:07.0,P. George misses 2-pt shot from 3 ft,,43-30,,
6:07.0,,,43-30,,Defensive rebound by Team
5:53.0,,,43-30,,D. Smith misses 2-pt shot from 6 ft (block by S. Adams)
5:49.0,Defensive rebound by P. George,,43-30,,
5:46.0,R. Westbrook makes 2-pt shot from 18 ft,2,45-30,,
5:27.0,,,45-30,,Turnover by W. Matthews (bad pass; steal by R. Westbrook)
5:22.0,R. Westbrook misses 2-pt shot from 15 ft,,45-30,,
5:20.0,,,45-30,,Defensive rebound by N. Noel
5:10.0,,,45-30,,D. Smith misses 2-pt shot from 7 ft (block by R. Westbrook)
5:06.0,,,45-30,,Offensive rebound by W. Matthews
5:01.0,,,45-30,,H. Barnes misses 2-pt shot from 7 ft
5:01.0,Defensive rebound by P. Patterson,,45-30,,
4:43.0,Offensive foul by S. Adams (drawn by N. Noel),,45-30,,
4:43.0,Turnover by S. Adams (offensive foul),,45-30,,
4:43.0,C. Anthony enters the game for P. Patterson,,45-30,,
4:28.0,,,45-33,3,D. Smith makes 3-pt shot from 25 ft (assist by H. Barnes)
4:26.0,Oklahoma City full timeout,,45-33,,
4:17.0,Turnover by P. George (lost ball; steal by D. Smith),,45-33,,
4:17.0,Loose ball foul by P. George (drawn by D. Smith),,45-33,,
3:57.0,,,45-33,,Turnover by H. Barnes (bad pass; steal by A. Abrines)
3:57.0,,,45-33,,Personal take foul by D. McDermott (drawn by P. George)
3:39.0,R. Westbrook misses 2-pt shot from 14 ft,,45-33,,
3:39.0,Offensive rebound by S. Adams,,45-33,,
3:39.0,,,45-33,,Personal foul by N. Noel (drawn by S. Adams)
3:27.0,R. Westbrook makes 2-pt shot from 11 ft,2,47-33,,
3:08.0,,,47-33,,N. Noel misses 2-pt shot from 7 ft
3:04.0,Defensive rebound by C. Anthony,,47-33,,
3:01.0,A. Abrines misses 3-pt shot from 24 ft,,47-33,,
3:01.0,,,47-33,,Defensive rebound by D. Smith
2:52.0,,,47-35,2,D. Smith makes 2-pt shot from 3 ft
2:38.0,P. George misses 2-pt shot from 15 ft,,47-35,,
2:34.0,,,47-35,,Defensive rebound by W. Matthews
2:29.0,,,47-35,,D. Smith misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by C. Anthony,,47-35,,
2:22.0,Turnover by R. Westbrook (lost ball; steal by H. Barnes),,47-35,,
2:14.0,,,47-35,,N. Noel misses 2-pt shot from 2 ft
2:13.0,,,47-35,,Offensive rebound by H. Barnes
2:11.0,,,47-37,2,H. Barnes makes 2-pt shot from 4 ft
2:11.0,Oklahoma City full timeout,,47-37,,
1:59.0,A. Abrines misses 3-pt shot from 26 ft,,47-37,,
1:55.0,,,47-37,,Defensive rebound by W. Matthews
1:46.0,,,47-39,2,D. Smith makes 2-pt shot from 4 ft
1:20.0,S. Adams makes 2-pt shot from 1 ft (assist by P. George),2,49-39,,
1:09.0,Personal foul by C. Anthony (drawn by H. Barnes),,49-39,,
1:09.0,,,49-40,1,H. Barnes makes free throw 1 of 2
1:09.0,,,49-41,1,H. Barnes makes free throw 2 of 2
0:57.0,Shooting foul by N. Noel (drawn by R. Westbrook),,49-41,,
0:57.0,R. Westbrook makes free throw 1 of 2,1,50-41,,
0:57.0,,,50-41,,D. Powell enters the game for N. Noel
0:57.0,R. Westbrook makes free throw 2 of 2,1,51-41,,
0:44.0,Personal foul by C. Anthony (drawn by H. Barnes),,51-41,,
0:44.0,,,51-42,1,H. Barnes makes free throw 1 of 2
0:44.0,J. Grant enters the game for C. Anthony,,51-42,,
0:44.0,,,51-43,1,H. Barnes makes free throw 2 of 2
0:31.0,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook),3,54-43,,
0:24.0,,,54-43,,Turnover by W. Matthews (bad pass)
0:24.0,,,54-43,,Y. Ferrell enters the game for D. McDermott
0:03.0,Turnover by R. Westbrook (bad pass),,54-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-45,2,D. Powell makes 2-pt shot from 2 ft (assist by H. Barnes)
11:26.0,Turnover by R. Westbrook (bad pass; steal by D. Powell),,54-45,,
11:17.0,,,54-48,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Powell)
10:55.0,J. Huestis makes 3-pt shot from 25 ft (assist by R. Westbrook),3,57-48,,
10:43.0,,,57-50,2,H. Barnes makes 2-pt shot from 10 ft
10:31.0,P. George misses 2-pt shot from 19 ft,,57-50,,
10:28.0,,,57-50,,Defensive rebound by D. Nowitzki
10:23.0,,,57-50,,D. Nowitzki misses 3-pt shot from 28 ft
10:23.0,Defensive rebound by R. Westbrook,,57-50,,
10:01.0,P. George misses 3-pt shot from 28 ft,,57-50,,
9:58.0,Offensive rebound by S. Adams,,57-50,,
9:57.0,Turnover by S. Adams (turnover),,57-50,,
9:47.0,,,57-52,2,D. Powell makes 2-pt shot from 3 ft (assist by D. Smith)
9:47.0,Oklahoma City full timeout,,57-52,,
9:29.0,P. George makes 2-pt shot from 3 ft,2,59-52,,
9:15.0,,,59-52,,D. Smith misses 2-pt shot from 22 ft
9:12.0,Defensive rebound by J. Huestis,,59-52,,
9:03.0,Turnover by R. Westbrook (bad pass; steal by D. Powell),,59-52,,
8:56.0,,,59-52,,D. Smith misses 2-pt shot from 2 ft
8:53.0,Defensive rebound by C. Anthony,,59-52,,
8:44.0,Turnover by P. George (bad pass; steal by H. Barnes),,59-52,,
8:32.0,,,59-54,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Nowitzki)
8:11.0,C. Anthony makes 2-pt shot from 3 ft,2,61-54,,
7:50.0,,,61-56,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by H. Barnes)
7:33.0,C. Anthony misses 2-pt shot from 17 ft,,61-56,,
7:27.0,Offensive rebound by P. George,,61-56,,
7:19.0,C. Anthony makes 2-pt shot from 4 ft,2,63-56,,
7:00.0,,,63-58,2,D. Powell makes 2-pt shot from 4 ft (assist by H. Barnes)
6:56.0,Turnover by R. Westbrook (lost ball; steal by W. Matthews),,63-58,,
6:51.0,,,63-61,3,W. Matthews makes 3-pt shot from 23 ft
6:40.0,Shooting foul by D. Powell (drawn by R. Westbrook),,63-61,,
6:40.0,R. Westbrook misses free throw 1 of 2,,63-61,,
6:40.0,Offensive rebound by Team,,63-61,,
6:40.0,,,63-61,,N. Noel enters the game for D. Nowitzki
6:40.0,,,63-61,,Y. Ferrell enters the game for D. Powell
6:40.0,R. Westbrook makes free throw 2 of 2,1,64-61,,
6:26.0,,,64-61,,H. Barnes misses 2-pt shot from 13 ft
6:26.0,Defensive rebound by R. Westbrook,,64-61,,
6:19.0,R. Westbrook misses 3-pt shot from 26 ft,,64-61,,
6:14.0,,,64-61,,Defensive rebound by W. Matthews
5:53.0,,,64-64,3,H. Barnes makes 3-pt shot from 22 ft (assist by N. Noel)
5:30.0,P. George makes 2-pt shot from 13 ft,2,66-64,,
5:21.0,Personal foul by S. Adams (drawn by D. Smith),,66-64,,
5:21.0,T. Ferguson enters the game for J. Huestis,,66-64,,
5:11.0,,,66-66,2,W. Matthews makes 2-pt shot from 17 ft (assist by D. Smith)
4:55.0,Turnover by R. Westbrook (bad pass; steal by Y. Ferrell),,66-66,,
4:51.0,,,66-66,,W. Matthews misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by S. Adams,,66-66,,
4:45.0,R. Westbrook misses 2-pt shot from 5 ft (block by N. Noel),,66-66,,
4:45.0,,,66-66,,Defensive rebound by Team
4:28.0,,,66-66,,Turnover by H. Barnes (lost ball; steal by R. Westbrook)
4:25.0,T. Ferguson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,68-66,,
4:25.0,,,68-66,,Dallas full timeout
4:09.0,,,68-66,,H. Barnes misses 2-pt shot from 5 ft
4:06.0,Defensive rebound by S. Adams,,68-66,,
4:02.0,C. Anthony misses 3-pt shot from 25 ft,,68-66,,
3:56.0,Offensive rebound by P. George,,68-66,,
3:49.0,P. George makes 2-pt shot from 3 ft,2,70-66,,
3:36.0,,,70-68,2,N. Noel makes 2-pt shot from 6 ft
3:22.0,S. Adams makes 2-pt shot from 3 ft (assist by P. George),2,72-68,,
3:00.0,,,72-70,2,H. Barnes makes 2-pt shot from 1 ft
2:48.0,P. George misses 3-pt shot from 26 ft,,72-70,,
2:45.0,,,72-70,,Defensive rebound by N. Noel
2:39.0,,,72-72,2,D. Smith makes 2-pt shot from 2 ft
2:18.0,Offensive foul by S. Adams (drawn by W. Matthews),,72-72,,
2:18.0,Turnover by S. Adams (offensive foul),,72-72,,
2:18.0,J. Grant enters the game for R. Westbrook,,72-72,,
2:18.0,R. Felton enters the game for C. Anthony,,72-72,,
2:04.0,Personal foul by R. Felton (drawn by N. Noel),,72-72,,
2:04.0,P. Patterson enters the game for S. Adams,,72-72,,
1:53.0,,,72-74,2,Y. Ferrell makes 2-pt shot from 21 ft (assist by D. Smith)
1:38.0,,,72-74,,Personal foul by N. Noel (drawn by P. George)
1:38.0,,,72-74,,J. Barea enters the game for D. Smith
1:38.0,,,72-74,,D. Powell enters the game for N. Noel
1:31.0,T. Ferguson misses 3-pt shot from 23 ft,,72-74,,
1:28.0,,,72-74,,Defensive rebound by H. Barnes
1:18.0,,,72-74,,W. Matthews misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by R. Felton,,72-74,,
1:10.0,P. Patterson makes 2-pt shot from 1 ft (assist by R. Felton),2,74-74,,
0:52.0,,,74-74,,J. Barea misses 3-pt shot from 24 ft
0:48.0,,,74-74,,Offensive rebound by W. Matthews
0:44.0,,,74-76,2,D. Powell makes 2-pt shot at rim (assist by Y. Ferrell)
0:36.0,,,74-76,,Personal foul by W. Matthews (drawn by P. George)
0:36.0,P. George misses free throw 1 of 2,,74-76,,
0:36.0,Offensive rebound by Team,,74-76,,
0:36.0,P. George makes free throw 2 of 2,1,75-76,,
0:17.0,,,75-76,,Turnover by D. Powell (bad pass)
0:01.0,P. George makes 2-pt shot from 17 ft,2,77-76,,
0:01.0,Personal foul by P. George (drawn by Y. Ferrell),,77-76,,
0:01.0,,,77-76,,D. McDermott enters the game for J. Barea
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-76,,Personal foul by D. Nowitzki (drawn by P. Patterson)
11:36.0,P. Patterson misses 3-pt shot from 25 ft,,77-76,,
11:32.0,,,77-76,,Defensive rebound by D. Powell
11:25.0,,,77-79,3,D. McDermott makes 3-pt shot from 22 ft (assist by Y. Ferrell)
11:07.0,R. Felton misses 2-pt shot from 9 ft,,77-79,,
11:06.0,Offensive rebound by J. Grant,,77-79,,
11:05.0,J. Grant misses 2-pt shot from 1 ft,,77-79,,
11:05.0,Offensive rebound by R. Felton,,77-79,,
11:02.0,R. Felton misses 2-pt shot from 7 ft,,77-79,,
10:58.0,,,77-79,,Defensive rebound by D. Nowitzki
10:54.0,,,77-79,,D. McDermott misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by A. Abrines,,77-79,,
10:54.0,Oklahoma City full timeout,,77-79,,
10:49.0,Offensive foul by P. Patterson (drawn by D. Powell),,77-79,,
10:49.0,Turnover by P. Patterson (offensive foul),,77-79,,
10:34.0,,,77-79,,D. McDermott misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by J. Grant,,77-79,,
10:21.0,R. Felton misses 2-pt shot from 21 ft,,77-79,,
10:18.0,,,77-79,,Defensive rebound by D. Powell
10:11.0,,,77-81,2,J. Barea makes 2-pt shot from 2 ft
9:59.0,,,77-81,,Personal foul by J. Barea (drawn by A. Abrines)
9:48.0,J. Huestis misses 3-pt shot from 26 ft,,77-81,,
9:45.0,,,77-81,,Defensive rebound by D. Nowitzki
9:38.0,,,77-81,,D. Nowitzki misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by P. Patterson,,77-81,,
9:27.0,J. Grant misses 2-pt shot from 6 ft,,77-81,,
9:27.0,Offensive rebound by Team,,77-81,,
9:27.0,,,77-81,,Personal foul by D. McDermott (drawn by J. Grant)
9:19.0,R. Felton makes 2-pt shot from 19 ft,2,79-81,,
9:04.0,,,79-84,3,J. Barea makes 3-pt shot from 25 ft (assist by D. Powell)
8:49.0,R. Felton misses 2-pt shot from 7 ft,,79-84,,
8:47.0,Offensive rebound by J. Grant,,79-84,,
8:47.0,J. Grant makes 2-pt shot from 2 ft,2,81-84,,
8:47.0,Shooting foul by D. Nowitzki (drawn by J. Grant),,81-84,,
8:47.0,R. Westbrook enters the game for J. Huestis,,81-84,,
8:47.0,J. Grant makes free throw 1 of 1,1,82-84,,
8:34.0,,,82-84,,D. Powell misses 2-pt shot from 7 ft
8:34.0,Defensive rebound by R. Westbrook,,82-84,,
8:28.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,84-84,,
8:09.0,,,84-86,2,J. Barea makes 2-pt shot from 4 ft
7:52.0,R. Westbrook misses 2-pt shot from 18 ft,,84-86,,
7:49.0,,,84-86,,Defensive rebound by D. Powell
7:40.0,,,84-86,,J. Barea misses 3-pt shot from 28 ft
7:40.0,,,84-86,,Offensive rebound by D. Powell
7:40.0,Personal foul by R. Felton (drawn by D. Powell),,84-86,,
7:40.0,,,84-86,,D. Smith enters the game for Y. Ferrell
7:40.0,S. Adams enters the game for J. Grant,,84-86,,
7:29.0,Personal foul by A. Abrines (drawn by D. Nowitzki),,84-86,,
7:15.0,,,84-88,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Smith)
7:02.0,P. Patterson misses 3-pt shot from 23 ft,,84-88,,
6:59.0,Offensive rebound by R. Westbrook,,84-88,,
6:56.0,R. Westbrook misses 3-pt shot from 25 ft,,84-88,,
6:53.0,,,84-88,,Defensive rebound by D. McDermott
6:44.0,,,84-91,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea)
6:27.0,R. Felton makes 3-pt shot from 25 ft (assist by R. Westbrook),3,87-91,,
6:13.0,Personal foul by A. Abrines (drawn by D. Powell),,87-91,,
6:13.0,,,87-91,,W. Matthews enters the game for D. McDermott
6:13.0,C. Anthony enters the game for R. Felton,,87-91,,
6:13.0,P. George enters the game for P. Patterson,,87-91,,
6:01.0,,,87-91,,Turnover by D. Smith (out of bounds lost ball)
5:55.0,A. Abrines misses 3-pt shot from 26 ft,,87-91,,
5:52.0,Offensive rebound by S. Adams,,87-91,,
5:49.0,C. Anthony makes 3-pt shot from 25 ft (assist by S. Adams),3,90-91,,
5:49.0,,,90-91,,Dallas full timeout
5:49.0,,,90-91,,H. Barnes enters the game for D. Nowitzki
5:35.0,,,90-94,3,J. Barea makes 3-pt shot from 25 ft (assist by W. Matthews)
5:20.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,93-94,,
4:59.0,,,93-94,,J. Barea misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by R. Westbrook,,93-94,,
4:41.0,R. Westbrook misses 3-pt shot from 25 ft,,93-94,,
4:40.0,,,93-94,,Defensive rebound by Team
4:22.0,,,93-94,,H. Barnes misses 2-pt shot from 4 ft
4:16.0,,,93-94,,Offensive rebound by H. Barnes
4:15.0,,,93-96,2,H. Barnes makes 2-pt shot at rim
4:11.0,Shooting foul by D. Smith (drawn by R. Westbrook),,93-96,,
4:11.0,R. Westbrook makes free throw 1 of 2,1,94-96,,
4:11.0,R. Felton enters the game for A. Abrines,,94-96,,
4:11.0,R. Westbrook makes free throw 2 of 2,1,95-96,,
4:00.0,,,95-98,2,D. Powell makes 2-pt shot from 1 ft (assist by H. Barnes)
3:46.0,R. Westbrook misses 3-pt shot from 26 ft,,95-98,,
3:40.0,,,95-98,,Defensive rebound by H. Barnes
3:24.0,,,95-98,,W. Matthews misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by R. Westbrook,,95-98,,
3:17.0,R. Felton makes 3-pt shot from 24 ft (assist by P. George),3,98-98,,
2:59.0,,,98-98,,Offensive charge foul by H. Barnes (drawn by R. Westbrook)
2:59.0,,,98-98,,Turnover by H. Barnes (offensive foul)
2:54.0,Offensive foul by S. Adams (drawn by D. Powell),,98-98,,
2:54.0,Turnover by S. Adams (offensive foul),,98-98,,
2:45.0,,,98-98,,D. Smith misses 2-pt shot from 4 ft
2:43.0,Defensive rebound by P. George,,98-98,,
2:38.0,Turnover by P. George (lost ball; steal by W. Matthews),,98-98,,
2:38.0,Personal foul by R. Westbrook (drawn by J. Barea),,98-98,,
2:29.0,,,98-98,,W. Matthews misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by R. Felton,,98-98,,
2:15.0,Turnover by R. Westbrook (out of bounds lost ball),,98-98,,
1:59.0,,,98-98,,Turnover by H. Barnes (out of bounds lost ball)
1:46.0,C. Anthony misses 3-pt shot from 23 ft,,98-98,,
1:43.0,Offensive rebound by S. Adams,,98-98,,
1:41.0,P. George misses 3-pt shot from 25 ft,,98-98,,
1:41.0,Offensive rebound by S. Adams,,98-98,,
1:35.0,C. Anthony misses 3-pt shot from 25 ft,,98-98,,
1:33.0,Offensive rebound by C. Anthony,,98-98,,
