time,Dallas,pts.away,score,pts.home,Denver
9:54.0,,,47-52,,T. Craig misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by W. Matthews,,47-52,,
9:42.0,W. Matthews misses 2-pt shot from 6 ft,,47-52,,
9:39.0,,,47-52,,Defensive rebound by N. Jokic
9:33.0,,,47-52,,W. Barton misses 3-pt shot from 22 ft
9:29.0,Defensive rebound by H. Barnes,,47-52,,
9:16.0,,,47-52,,Personal foul by G. Harris (drawn by H. Barnes)
9:09.0,D. Smith makes 2-pt shot from 3 ft,2,49-52,,
8:46.0,,,49-52,,M. Plumlee misses 2-pt shot from 5 ft
8:43.0,Defensive rebound by D. Nowitzki,,49-52,,
8:41.0,D. Smith misses 2-pt shot from 2 ft (block by M. Plumlee),,49-52,,
8:41.0,Offensive rebound by Team,,49-52,,
8:39.0,D. Nowitzki misses 2-pt shot from 20 ft,,49-52,,
8:36.0,,,49-52,,Defensive rebound by T. Craig
8:24.0,,,49-52,,Turnover by N. Jokic (lost ball; steal by W. Matthews)
8:22.0,Shooting foul by T. Craig (drawn by M. Kleber),,49-52,,
8:22.0,M. Kleber makes free throw 1 of 2,1,50-52,,
8:22.0,M. Kleber makes free throw 2 of 2,1,51-52,,
8:12.0,,,51-52,,Turnover by W. Barton (bad pass)
8:06.0,D. Smith misses 2-pt shot from 3 ft (block by N. Jokic),,51-52,,
8:06.0,Offensive rebound by Team,,51-52,,
8:02.0,H. Barnes misses 2-pt shot from 4 ft,,51-52,,
7:58.0,,,51-52,,Defensive rebound by M. Plumlee
7:54.0,,,51-52,,Turnover by M. Plumlee (bad pass; steal by M. Kleber)
7:48.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Kleber),3,54-52,,
7:47.0,,,54-52,,Denver full timeout
7:47.0,,,54-52,,J. Murray enters the game for T. Craig
7:31.0,,,54-54,2,J. Murray makes 2-pt shot from 14 ft
7:08.0,D. Nowitzki misses 3-pt shot from 22 ft,,54-54,,
7:05.0,,,54-54,,Defensive rebound by N. Jokic
6:55.0,,,54-54,,N. Jokic misses 2-pt shot from 14 ft
6:53.0,Defensive rebound by D. Smith,,54-54,,
6:53.0,,,54-54,,Personal take foul by N. Jokic (drawn by D. Smith)
6:35.0,H. Barnes misses 2-pt shot from 8 ft,,54-54,,
6:32.0,,,54-54,,Defensive rebound by N. Jokic
6:24.0,,,54-56,2,M. Plumlee makes 2-pt shot at rim (assist by J. Murray)
6:02.0,D. Nowitzki misses 2-pt shot from 17 ft,,54-56,,
5:59.0,,,54-56,,Defensive rebound by W. Barton
5:46.0,,,54-56,,W. Barton misses 2-pt shot from 14 ft
5:43.0,Defensive rebound by W. Matthews,,54-56,,
5:31.0,D. Smith makes 2-pt shot from 4 ft,2,56-56,,
5:21.0,,,56-58,2,G. Harris makes 2-pt shot from 1 ft
5:21.0,,,56-58,,Shooting foul by D. Nowitzki (drawn by G. Harris)
5:21.0,S. Mejri enters the game for D. Nowitzki,,56-58,,
5:21.0,,,56-59,1,G. Harris makes free throw 1 of 1
4:57.0,S. Mejri makes 2-pt shot from 18 ft (assist by M. Kleber),2,58-59,,
4:44.0,,,58-59,,N. Jokic misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by D. Smith,,58-59,,
4:31.0,S. Mejri misses 2-pt shot from 2 ft (block by N. Jokic),,58-59,,
4:27.0,,,58-59,,Defensive rebound by J. Murray
4:24.0,,,58-62,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray)
4:23.0,Dallas full timeout,,58-62,,
4:23.0,,,58-62,,T. Lyles enters the game for N. Jokic
4:23.0,Y. Ferrell enters the game for D. Smith,,58-62,,
4:12.0,,,58-62,,Personal foul by W. Barton (drawn by H. Barnes)
4:00.0,H. Barnes misses 2-pt shot from 6 ft,,58-62,,
3:57.0,,,58-62,,Defensive rebound by T. Lyles
3:35.0,,,58-65,3,J. Murray makes 3-pt shot from 26 ft (assist by T. Lyles)
3:19.0,,,58-65,,Personal foul by J. Murray (drawn by H. Barnes)
3:19.0,H. Barnes misses free throw 1 of 2,,58-65,,
3:19.0,Offensive rebound by Team,,58-65,,
3:19.0,,,58-65,,T. Craig enters the game for W. Barton
3:19.0,K. Collinsworth enters the game for W. Matthews,,58-65,,
3:19.0,H. Barnes makes free throw 2 of 2,1,59-65,,
3:04.0,,,59-65,,J. Murray misses 2-pt shot from 11 ft
3:03.0,,,59-65,,Offensive rebound by Team
3:03.0,Personal foul by S. Mejri (drawn by M. Plumlee),,59-65,,
2:51.0,,,59-65,,J. Murray misses 2-pt shot from 7 ft (block by M. Kleber)
2:50.0,,,59-65,,Offensive rebound by J. Murray
2:49.0,,,59-65,,Turnover by Team (shot clock)
2:37.0,H. Barnes makes 2-pt shot from 13 ft,2,61-65,,
2:23.0,,,61-65,,G. Harris misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by H. Barnes,,61-65,,
2:17.0,Y. Ferrell makes 3-pt shot from 25 ft,3,64-65,,
2:17.0,,,64-65,,Denver full timeout
2:17.0,,,64-65,,N. Jokic enters the game for M. Plumlee
1:55.0,,,64-65,,Shooting foul by K. Collinsworth (drawn by T. Lyles)
1:55.0,,,64-66,1,T. Lyles makes free throw 1 of 2
1:55.0,,,64-66,,T. Lyles misses free throw 2 of 2
1:52.0,Defensive rebound by M. Kleber,,64-66,,
1:42.0,H. Barnes makes 2-pt shot from 7 ft,2,66-66,,
1:29.0,,,66-66,,G. Harris misses 2-pt shot from 20 ft
1:27.0,,,66-66,,Offensive rebound by J. Murray
1:14.0,,,66-66,,G. Harris misses 2-pt shot from 4 ft (block by S. Mejri)
1:11.0,Defensive rebound by S. Mejri,,66-66,,
0:59.0,K. Collinsworth makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,69-66,,
0:45.0,,,69-66,,J. Murray misses 2-pt shot from 19 ft
0:40.0,Defensive rebound by H. Barnes,,69-66,,
0:30.0,M. Kleber makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,72-66,,
0:15.0,,,72-66,,Turnover by J. Murray (lost ball; steal by M. Kleber)
0:02.0,Y. Ferrell misses 3-pt shot from 26 ft,,72-66,,
0:00.0,Offensive rebound by H. Barnes,,72-66,,
0:00.0,H. Barnes makes 2-pt shot from 2 ft,2,74-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-66,,Turnover by N. Jokic (traveling)
11:28.0,Y. Ferrell misses 3-pt shot from 23 ft,,74-66,,
11:25.0,,,74-66,,Defensive rebound by T. Lyles
11:15.0,,,74-68,2,T. Lyles makes 2-pt shot at rim (assist by J. Murray)
11:01.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith),3,77-68,,
10:50.0,,,77-68,,Turnover by J. Murray (bad pass)
10:41.0,D. Smith misses 2-pt shot from 2 ft,,77-68,,
10:39.0,Offensive rebound by D. Nowitzki,,77-68,,
10:32.0,D. Nowitzki misses 2-pt shot from 13 ft,,77-68,,
10:28.0,Offensive rebound by D. Powell,,77-68,,
10:26.0,Y. Ferrell misses 3-pt shot from 22 ft,,77-68,,
10:23.0,,,77-68,,Defensive rebound by N. Jokic
10:15.0,,,77-68,,W. Barton misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by D. Smith,,77-68,,
10:00.0,Y. Ferrell misses 2-pt shot from 9 ft,,77-68,,
9:57.0,,,77-68,,Defensive rebound by N. Jokic
9:50.0,Personal foul by K. Collinsworth (drawn by T. Lyles),,77-68,,
9:41.0,,,77-70,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
9:21.0,D. Smith misses 2-pt shot from 16 ft,,77-70,,
9:19.0,,,77-70,,Defensive rebound by T. Lyles
9:13.0,,,77-73,3,J. Murray makes 3-pt shot from 25 ft
9:12.0,Dallas full timeout,,77-73,,
9:12.0,W. Matthews enters the game for K. Collinsworth,,77-73,,
8:59.0,,,77-73,,Personal foul by J. Murray (drawn by D. Smith)
8:50.0,Turnover by D. Powell (bad pass; steal by T. Lyles),,77-73,,
8:50.0,Personal foul by D. Smith (drawn by T. Lyles),,77-73,,
8:50.0,,,77-74,1,T. Craig makes clear path free throw 2 of 2
8:50.0,,,77-74,,T. Craig misses clear path free throw 1 of 2
8:50.0,,,77-74,,Offensive rebound by Team
8:45.0,,,77-74,,J. Murray misses 3-pt shot from 24 ft
8:45.0,,,77-74,,Offensive rebound by T. Lyles
8:45.0,,,77-77,3,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic)
8:27.0,D. Smith makes 2-pt shot from 2 ft,2,79-77,,
8:27.0,,,79-77,,Personal foul by T. Lyles (drawn by D. Smith)
8:27.0,D. Smith makes free throw 1 of 1,1,80-77,,
8:07.0,,,80-77,,J. Murray misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by Y. Ferrell,,80-77,,
8:03.0,D. Nowitzki misses 3-pt shot from 26 ft,,80-77,,
8:03.0,Offensive rebound by Y. Ferrell,,80-77,,
8:03.0,,,80-77,,Personal foul by J. Murray (drawn by Y. Ferrell)
7:56.0,Turnover by D. Smith (bad pass; steal by W. Barton),,80-77,,
7:32.0,,,80-77,,Turnover by Team (shot clock)
7:13.0,W. Matthews makes 2-pt shot from 16 ft (assist by D. Smith),2,82-77,,
6:56.0,,,82-77,,Shooting foul by D. Powell (drawn by T. Craig)
6:56.0,,,82-77,,T. Craig misses free throw 1 of 2
6:56.0,,,82-77,,Offensive rebound by Team
6:56.0,,,82-78,1,T. Craig makes free throw 2 of 2
6:38.0,,,82-78,,Personal foul by T. Craig (drawn by D. Smith)
6:38.0,,,82-78,,G. Harris enters the game for T. Craig
6:31.0,D. Smith misses 2-pt shot from 2 ft (block by T. Lyles),,82-78,,
6:29.0,,,82-78,,Defensive rebound by N. Jokic
6:21.0,,,82-78,,T. Lyles misses 2-pt shot from 1 ft
6:18.0,,,82-78,,Offensive rebound by T. Lyles
6:17.0,,,82-78,,T. Lyles misses 2-pt shot from 1 ft (block by W. Matthews)
6:17.0,Defensive rebound by W. Matthews,,82-78,,
6:01.0,Y. Ferrell misses 2-pt shot from 16 ft,,82-78,,
6:01.0,,,82-78,,Defensive rebound by G. Harris
5:46.0,,,82-80,2,T. Lyles makes 2-pt shot from 1 ft (assist by N. Jokic)
5:46.0,Dallas full timeout,,82-80,,
5:46.0,,,82-80,,M. Plumlee enters the game for T. Lyles
5:46.0,M. Kleber enters the game for Y. Ferrell,,82-80,,
5:46.0,H. Barnes enters the game for D. Nowitzki,,82-80,,
5:25.0,,,82-80,,Personal foul by N. Jokic (drawn by D. Smith)
5:25.0,D. Smith makes free throw 1 of 2,1,83-80,,
5:25.0,D. Smith misses free throw 2 of 2,,83-80,,
5:22.0,,,83-80,,Defensive rebound by N. Jokic
5:11.0,,,83-80,,N. Jokic misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by W. Matthews,,83-80,,
5:05.0,,,83-80,,Personal foul by G. Harris (drawn by D. Powell)
5:05.0,D. Powell misses free throw 1 of 2,,83-80,,
5:05.0,Offensive rebound by Team,,83-80,,
5:05.0,D. Powell misses free throw 2 of 2,,83-80,,
5:01.0,Offensive rebound by M. Kleber,,83-80,,
4:52.0,Turnover by D. Smith (lost ball; steal by M. Plumlee),,83-80,,
4:41.0,,,83-82,2,J. Murray makes 2-pt shot from 15 ft
4:09.0,D. Powell misses 3-pt shot from 23 ft,,83-82,,
4:07.0,,,83-82,,Defensive rebound by M. Plumlee
4:03.0,,,83-84,2,G. Harris makes 2-pt shot from 11 ft
3:42.0,H. Barnes misses 3-pt shot from 25 ft,,83-84,,
3:42.0,,,83-84,,Defensive rebound by N. Jokic
3:20.0,,,83-84,,W. Barton misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by H. Barnes,,83-84,,
3:10.0,D. Smith misses 3-pt shot from 25 ft,,83-84,,
3:08.0,,,83-84,,Defensive rebound by G. Harris
3:08.0,,,83-84,,Denver full timeout
3:08.0,S. Mejri enters the game for D. Smith,,83-84,,
3:08.0,Y. Ferrell enters the game for D. Powell,,83-84,,
3:00.0,,,83-84,,Shooting foul by W. Matthews (drawn by G. Harris)
3:00.0,,,83-85,1,G. Harris makes free throw 1 of 2
3:00.0,,,83-86,1,G. Harris makes free throw 2 of 2
2:46.0,H. Barnes makes 2-pt shot from 9 ft,2,85-86,,
2:23.0,,,85-86,,Offensive charge foul by J. Murray (drawn by Y. Ferrell)
2:23.0,,,85-86,,Turnover by J. Murray (offensive foul)
2:05.0,Shooting foul by M. Plumlee (drawn by H. Barnes),,85-86,,
2:05.0,H. Barnes misses free throw 1 of 2,,85-86,,
2:05.0,Offensive rebound by Team,,85-86,,
2:05.0,H. Barnes makes free throw 2 of 2,1,86-86,,
1:52.0,,,86-89,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
1:52.0,Away from play foul by M. Kleber (drawn by N. Jokic),,86-89,,
1:52.0,,,86-89,,N. Jokic misses free throw 1 of 1
