time,Minnesota,pts.away,score,pts.home,LA Clippers
2:57.0,A. Wiggins misses 2-pt shot from 12 ft,,21-17,,
2:54.0,,,21-17,,Defensive rebound by S. Thornwell
2:54.0,,,21-17,,Turnover by S. Thornwell (bad pass)
2:54.0,Minnesota full timeout,,21-17,,
2:40.0,Shooting foul by T. Wallace (drawn by J. Teague),,21-17,,
2:40.0,J. Teague makes free throw 1 of 2,1,22-17,,
2:40.0,J. Teague makes free throw 2 of 2,1,23-17,,
2:23.0,,,23-19,2,B. Griffin makes 2-pt shot from 8 ft
2:07.0,A. Wiggins makes 2-pt shot from 20 ft,2,25-19,,
1:58.0,,,25-22,3,B. Griffin makes 3-pt shot from 24 ft (assist by T. Wallace)
1:37.0,T. Jones enters the game for J. Teague,,25-22,,
1:32.0,A. Wiggins misses 2-pt shot from 21 ft,,25-22,,
1:27.0,Offensive rebound by M. Georges-Hunt,,25-22,,
1:24.0,A. Wiggins makes 3-pt shot from 23 ft (assist by T. Jones),3,28-22,,
1:07.0,,,28-24,2,M. Harrell makes 2-pt shot from 1 ft (assist by B. Griffin)
0:42.0,M. Georges-Hunt misses 3-pt shot from 25 ft,,28-24,,
0:41.0,Offensive rebound by Team,,28-24,,
0:41.0,Turnover by Team (shot clock),,28-24,,
0:41.0,,,28-24,,S. Dekker enters the game for B. Griffin
0:41.0,N. Bjelica enters the game for T. Gibson,,28-24,,
0:32.0,,,28-24,,L. Williams misses 3-pt shot from 23 ft
0:29.0,,,28-24,,Offensive rebound by M. Harrell
0:29.0,,,28-26,2,M. Harrell makes 2-pt shot at rim
0:06.0,A. Wiggins makes 2-pt shot from 6 ft,2,30-26,,
0:03.0,Personal take foul by T. Jones (drawn by L. Williams),,30-26,,
0:02.0,,,30-26,,M. Harrell misses 3-pt shot from 25 ft
0:00.0,,,30-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-26,,L. Williams misses 3-pt shot from 25 ft
11:43.0,,,30-26,,Offensive rebound by S. Dekker
11:39.0,,,30-26,,S. Dekker misses 2-pt shot from 1 ft (block by G. Dieng)
11:36.0,Defensive rebound by T. Jones,,30-26,,
11:33.0,M. Georges-Hunt misses 2-pt shot from 1 ft,,30-26,,
11:29.0,,,30-26,,Defensive rebound by S. Thornwell
11:25.0,,,30-26,,Shooting foul by G. Dieng (drawn by M. Harrell)
11:25.0,,,30-27,1,M. Harrell makes free throw 1 of 2
11:25.0,,,30-28,1,M. Harrell makes free throw 2 of 2
11:07.0,N. Bjelica makes 3-pt shot from 24 ft (assist by M. Georges-Hunt),3,33-28,,
10:57.0,,,33-28,,Turnover by L. Williams (lost ball; steal by N. Bjelica)
10:52.0,S. Muhammad misses 2-pt shot from 11 ft,,33-28,,
10:46.0,,,33-28,,Defensive rebound by T. Wallace
10:45.0,,,33-30,2,L. Williams makes 2-pt shot from 1 ft (assist by T. Wallace)
10:34.0,Turnover by N. Bjelica (bad pass; steal by S. Thornwell),,33-30,,
10:27.0,,,33-30,,Turnover by T. Wallace (step out of bounds)
10:12.0,S. Muhammad misses 2-pt shot from 10 ft,,33-30,,
10:07.0,,,33-30,,Defensive rebound by S. Thornwell
9:54.0,,,33-30,,M. Harrell misses 2-pt shot from 6 ft
9:52.0,Defensive rebound by N. Bjelica,,33-30,,
9:50.0,Offensive charge foul by M. Georges-Hunt (drawn by L. Williams),,33-30,,
9:50.0,Turnover by M. Georges-Hunt (offensive foul),,33-30,,
9:39.0,,,33-30,,L. Williams misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by S. Muhammad,,33-30,,
9:21.0,T. Jones misses 2-pt shot from 4 ft (block by S. Thornwell),,33-30,,
9:18.0,,,33-30,,Defensive rebound by S. Thornwell
9:18.0,,,33-30,,Offensive charge foul by S. Thornwell (drawn by N. Bjelica)
9:18.0,,,33-30,,Turnover by S. Thornwell (offensive foul)
9:02.0,M. Georges-Hunt makes 2-pt shot at rim (assist by N. Bjelica),2,35-30,,
8:54.0,,,35-32,2,L. Williams makes 2-pt shot at rim
8:46.0,Minnesota full timeout,,35-32,,
8:38.0,N. Bjelica misses 3-pt shot from 25 ft,,35-32,,
8:36.0,,,35-32,,Defensive rebound by T. Wallace
8:26.0,,,35-35,3,L. Williams makes 3-pt shot from 24 ft (assist by S. Dekker)
8:02.0,T. Jones makes 3-pt shot from 24 ft (assist by N. Bjelica),3,38-35,,
7:50.0,,,38-37,2,L. Williams makes 2-pt shot from 1 ft
7:25.0,N. Bjelica misses 3-pt shot from 27 ft,,38-37,,
7:22.0,,,38-37,,Defensive rebound by S. Dekker
7:17.0,,,38-39,2,T. Wallace makes 2-pt shot from 1 ft
7:01.0,S. Muhammad makes 2-pt shot from 6 ft,2,40-39,,
6:40.0,,,40-39,,M. Harrell misses 2-pt shot from 1 ft
6:36.0,,,40-39,,Offensive rebound by S. Dekker
6:36.0,,,40-41,2,S. Dekker makes 2-pt shot at rim
6:31.0,Minnesota full timeout,,40-41,,
6:31.0,,,40-41,,B. Griffin enters the game for S. Dekker
6:31.0,T. Gibson enters the game for G. Dieng,,40-41,,
6:31.0,K. Towns enters the game for N. Bjelica,,40-41,,
6:31.0,A. Wiggins enters the game for S. Muhammad,,40-41,,
6:23.0,A. Wiggins misses 2-pt shot at rim,,40-41,,
6:19.0,Offensive rebound by K. Towns,,40-41,,
6:19.0,K. Towns misses 2-pt shot at rim,,40-41,,
6:19.0,Offensive rebound by K. Towns,,40-41,,
6:19.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,42-41,,
6:19.0,Shooting foul by M. Harrell (drawn by A. Wiggins),,42-41,,
6:19.0,A. Wiggins makes free throw 1 of 1,1,43-41,,
6:04.0,,,43-41,,B. Griffin misses 2-pt shot at rim
5:59.0,,,43-41,,Offensive rebound by M. Harrell
5:59.0,,,43-43,2,M. Harrell makes 2-pt shot at rim
5:38.0,T. Gibson makes 2-pt shot from 11 ft,2,45-43,,
5:26.0,,,45-45,2,M. Harrell makes 2-pt shot from 2 ft (assist by B. Griffin)
5:10.0,T. Jones misses 2-pt shot from 19 ft,,45-45,,
5:06.0,,,45-45,,Defensive rebound by S. Thornwell
5:03.0,Personal foul by M. Georges-Hunt (drawn by L. Williams),,45-45,,
5:03.0,,,45-45,,M. Teodosic enters the game for T. Wallace
5:03.0,J. Teague enters the game for T. Jones,,45-45,,
5:00.0,,,45-45,,Shooting foul by T. Gibson (drawn by L. Williams)
5:00.0,,,45-45,,L. Williams misses free throw 1 of 2
5:00.0,,,45-45,,Offensive rebound by Team
5:00.0,,,45-46,1,L. Williams makes free throw 2 of 2
4:48.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Gibson),2,47-46,,
4:33.0,,,47-46,,Shooting foul by M. Georges-Hunt (drawn by B. Griffin)
4:33.0,,,47-46,,B. Griffin misses free throw 1 of 2
4:33.0,,,47-46,,Offensive rebound by Team
4:33.0,,,47-46,,W. Johnson enters the game for S. Thornwell
4:33.0,N. Bjelica enters the game for M. Georges-Hunt,,47-46,,
4:33.0,,,47-46,,B. Griffin misses free throw 2 of 2
4:30.0,Defensive rebound by K. Towns,,47-46,,
4:19.0,Turnover by N. Bjelica (step out of bounds),,47-46,,
3:58.0,,,47-48,2,W. Johnson makes 2-pt shot from 2 ft (assist by M. Teodosic)
3:42.0,T. Gibson misses 2-pt shot from 13 ft,,47-48,,
3:37.0,,,47-48,,Defensive rebound by B. Griffin
3:34.0,,,47-48,,Turnover by B. Griffin (bad pass)
3:10.0,J. Teague misses 2-pt shot from 18 ft,,47-48,,
3:05.0,Offensive rebound by N. Bjelica,,47-48,,
2:56.0,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Gibson),3,50-48,,
2:45.0,,,50-48,,W. Johnson misses 2-pt shot from 12 ft
2:40.0,Defensive rebound by K. Towns,,50-48,,
2:34.0,J. Teague makes 2-pt shot from 2 ft,2,52-48,,
2:34.0,,,52-48,,LA Clippers full timeout
2:19.0,,,52-51,3,M. Teodosic makes 3-pt shot from 24 ft (assist by L. Williams)
1:58.0,J. Teague misses 2-pt shot from 7 ft,,52-51,,
1:55.0,,,52-51,,Defensive rebound by B. Griffin
1:52.0,,,52-51,,M. Harrell misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by A. Wiggins,,52-51,,
1:46.0,Turnover by A. Wiggins (bad pass; steal by M. Teodosic),,52-51,,
1:39.0,,,52-53,2,M. Harrell makes 2-pt shot at rim (assist by B. Griffin)
1:24.0,T. Gibson makes 2-pt shot from 20 ft (assist by J. Teague),2,54-53,,
1:17.0,,,54-53,,Turnover by L. Williams (bad pass; steal by T. Gibson)
1:09.0,Shooting foul by M. Harrell (drawn by K. Towns),,54-53,,
1:09.0,K. Towns makes free throw 1 of 2,1,55-53,,
1:09.0,K. Towns makes free throw 2 of 2,1,56-53,,
0:58.0,,,56-55,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Williams)
0:54.0,J. Teague makes 2-pt shot from 6 ft,2,58-55,,
0:54.0,Shooting foul by M. Teodosic (drawn by J. Teague),,58-55,,
0:54.0,,,58-55,,T. Wallace enters the game for M. Teodosic
0:54.0,J. Teague makes free throw 1 of 1,1,59-55,,
0:37.0,,,59-55,,Turnover by B. Griffin (bad pass; steal by T. Gibson)
0:34.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,61-55,,
0:28.0,,,61-55,,L. Williams misses 2-pt shot from 5 ft
0:25.0,Defensive rebound by T. Gibson,,61-55,,
0:24.0,Turnover by T. Gibson (lost ball; steal by M. Harrell),,61-55,,
0:20.0,,,61-57,2,M. Harrell makes 2-pt shot at rim
0:04.0,J. Teague misses 3-pt shot from 25 ft,,61-57,,
0:00.0,Offensive rebound by K. Towns,,61-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,61-57,,B. Griffin misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by N. Bjelica,,61-57,,
11:21.0,Shooting foul by W. Reed (drawn by J. Teague),,61-57,,
11:21.0,J. Teague makes free throw 1 of 2,1,62-57,,
11:21.0,J. Teague makes free throw 2 of 2,1,63-57,,
10:57.0,,,63-59,2,W. Reed makes 2-pt shot from 1 ft (assist by T. Wallace)
10:32.0,A. Wiggins makes 2-pt shot from 1 ft,2,65-59,,
10:17.0,,,65-59,,B. Griffin misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by N. Bjelica,,65-59,,
9:58.0,T. Gibson misses 2-pt shot from 2 ft,,65-59,,
9:55.0,,,65-59,,Defensive rebound by W. Johnson
9:52.0,,,65-59,,T. Wallace misses 2-pt shot from 1 ft (block by A. Wiggins)
9:48.0,Defensive rebound by N. Bjelica,,65-59,,
9:45.0,Shooting foul by B. Griffin (drawn by N. Bjelica),,65-59,,
9:45.0,N. Bjelica makes free throw 1 of 2,1,66-59,,
9:45.0,N. Bjelica makes free throw 2 of 2,1,67-59,,
9:28.0,,,67-59,,Turnover by W. Reed (offensive goaltending)
9:11.0,A. Wiggins makes 2-pt shot from 6 ft,2,69-59,,
8:56.0,,,69-61,2,M. Teodosic makes 2-pt shot from 1 ft (assist by B. Griffin)
8:41.0,N. Bjelica misses 3-pt shot from 23 ft,,69-61,,
8:38.0,Offensive rebound by T. Gibson,,69-61,,
8:36.0,N. Bjelica misses 3-pt shot from 24 ft,,69-61,,
8:31.0,,,69-61,,Defensive rebound by W. Reed
8:30.0,,,69-63,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Teodosic)
8:30.0,,,69-63,,Shooting foul by T. Gibson (drawn by B. Griffin)
8:30.0,,,69-64,1,B. Griffin makes free throw 1 of 1
8:16.0,A. Wiggins makes 2-pt shot from 19 ft,2,71-64,,
7:58.0,,,71-66,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Teodosic)
7:57.0,Minnesota full timeout,,71-66,,
7:40.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,74-66,,
7:25.0,,,74-69,3,M. Teodosic makes 3-pt shot from 25 ft (assist by B. Griffin)
7:04.0,N. Bjelica makes 2-pt shot from 7 ft,2,76-69,,
6:58.0,Personal foul by J. Teague (drawn by M. Teodosic),,76-69,,
6:51.0,,,76-72,3,B. Griffin makes 3-pt shot from 23 ft (assist by M. Teodosic)
6:37.0,K. Towns misses 3-pt shot from 28 ft,,76-72,,
6:33.0,Offensive rebound by T. Gibson,,76-72,,
6:28.0,Turnover by T. Gibson (traveling),,76-72,,
6:28.0,,,76-72,,L. Williams enters the game for M. Teodosic
6:17.0,,,76-74,2,W. Reed makes 2-pt shot from 1 ft (assist by B. Griffin)
6:00.0,T. Gibson makes 2-pt shot from 4 ft (assist by N. Bjelica),2,78-74,,
5:55.0,,,78-74,,W. Johnson misses 2-pt shot from 16 ft
5:50.0,Shooting foul by T. Wallace (drawn by J. Teague),,78-74,,
5:50.0,J. Teague misses free throw 1 of 2,,78-74,,
5:50.0,Offensive rebound by Team,,78-74,,
5:50.0,M. Georges-Hunt enters the game for N. Bjelica,,78-74,,
5:50.0,J. Teague makes free throw 2 of 2,1,79-74,,
5:49.0,Offensive rebound by K. Towns,,79-74,,
5:37.0,,,79-77,3,L. Williams makes 3-pt shot from 22 ft (assist by T. Wallace)
5:18.0,A. Wiggins misses 3-pt shot from 26 ft,,79-77,,
5:15.0,,,79-77,,Defensive rebound by L. Williams
5:08.0,,,79-77,,Turnover by W. Johnson (bad pass)
4:54.0,K. Towns misses 2-pt shot from 2 ft,,79-77,,
4:54.0,Offensive rebound by K. Towns,,79-77,,
4:54.0,,,79-77,,Personal foul by B. Griffin (drawn by K. Towns)
4:47.0,Turnover by K. Towns (lost ball; steal by B. Griffin),,79-77,,
4:44.0,,,79-79,2,B. Griffin makes 2-pt shot from 1 ft
4:28.0,A. Wiggins misses 2-pt shot from 21 ft,,79-79,,
4:23.0,,,79-79,,Defensive rebound by W. Reed
4:17.0,,,79-81,2,L. Williams makes 2-pt shot from 1 ft
4:16.0,Minnesota full timeout,,79-81,,
4:16.0,G. Dieng enters the game for K. Towns,,79-81,,
4:05.0,Turnover by G. Dieng (traveling),,79-81,,
3:52.0,,,79-83,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Williams)
3:38.0,,,79-83,,Personal foul by W. Johnson (drawn by A. Wiggins)
3:38.0,A. Wiggins makes free throw 1 of 2,1,80-83,,
3:38.0,A. Wiggins misses free throw 2 of 2,,80-83,,
3:34.0,,,80-83,,Defensive rebound by B. Griffin
3:26.0,,,80-83,,B. Griffin misses 3-pt shot from 22 ft
3:21.0,Defensive rebound by J. Teague,,80-83,,
3:12.0,T. Gibson makes 2-pt shot from 17 ft (assist by J. Teague),2,82-83,,
2:57.0,,,82-85,2,W. Reed makes 2-pt shot from 1 ft (assist by L. Williams)
2:48.0,,,82-85,,Personal foul by B. Griffin (drawn by J. Teague)
2:48.0,J. Teague makes free throw 1 of 2,1,83-85,,
2:48.0,,,83-85,,M. Harrell enters the game for W. Reed
2:48.0,J. Teague makes free throw 2 of 2,1,84-85,,
2:33.0,,,84-85,,Turnover by L. Williams (bad pass; steal by T. Gibson)
2:28.0,M. Georges-Hunt makes 2-pt shot from 1 ft (assist by J. Teague),2,86-85,,
2:18.0,,,86-87,2,W. Johnson makes 2-pt shot from 16 ft (assist by T. Wallace)
2:03.0,,,86-87,,M. Teodosic enters the game for T. Wallace
1:57.0,Shooting foul by M. Harrell (drawn by J. Teague),,86-87,,
1:57.0,J. Teague makes free throw 1 of 2,1,87-87,,
1:57.0,J. Teague makes free throw 2 of 2,1,88-87,,
1:44.0,,,88-87,,Turnover by M. Teodosic (lost ball; steal by T. Gibson)
1:36.0,G. Dieng misses 2-pt shot from 17 ft,,88-87,,
1:33.0,,,88-87,,Defensive rebound by M. Teodosic
1:32.0,,,88-87,,Turnover by M. Teodosic (bad pass)
1:32.0,,,88-87,,LA Clippers full timeout
1:32.0,,,88-87,,S. Dekker enters the game for B. Griffin
1:32.0,T. Jones enters the game for J. Teague,,88-87,,
1:20.0,A. Wiggins misses 2-pt shot from 7 ft,,88-87,,
1:12.0,Offensive rebound by A. Wiggins,,88-87,,
1:12.0,A. Wiggins makes 2-pt shot at rim,2,90-87,,
0:59.0,,,90-87,,W. Johnson misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by T. Gibson,,90-87,,
0:41.0,T. Gibson misses 2-pt shot from 1 ft,,90-87,,
0:38.0,,,90-87,,Defensive rebound by L. Williams
0:33.0,,,90-90,3,W. Johnson makes 3-pt shot from 25 ft (assist by L. Williams)
0:16.0,A. Wiggins makes 2-pt shot from 13 ft,2,92-90,,
0:03.0,Personal foul by M. Georges-Hunt (drawn by L. Williams),,92-90,,
0:03.0,,,92-90,,S. Thornwell enters the game for W. Johnson
0:01.0,,,92-90,,L. Williams misses 3-pt shot from 25 ft
0:01.0,,,92-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Wiggins makes 2-pt shot from 16 ft,2,94-90,,
11:32.0,,,94-90,,Shooting foul by N. Bjelica (drawn by M. Harrell)
11:32.0,,,94-90,,M. Harrell misses free throw 1 of 2
11:32.0,,,94-90,,Offensive rebound by Team
11:32.0,S. Muhammad enters the game for A. Wiggins,,94-90,,
11:32.0,,,94-91,1,M. Harrell makes free throw 2 of 2
11:21.0,G. Dieng misses 2-pt shot from 14 ft,,94-91,,
11:17.0,,,94-91,,Defensive rebound by M. Teodosic
11:13.0,,,94-91,,S. Thornwell misses 2-pt shot from 2 ft
11:09.0,,,94-91,,Offensive rebound by M. Harrell
11:09.0,,,94-91,,M. Harrell misses 2-pt shot from 2 ft (block by G. Dieng)
11:09.0,Defensive rebound by M. Georges-Hunt,,94-91,,
11:05.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,96-91,,
10:58.0,Violation by G. Dieng (kicked ball),,96-91,,
10:58.0,K. Towns enters the game for G. Dieng,,96-91,,
10:52.0,,,96-91,,Shooting foul by M. Georges-Hunt (drawn by M. Harrell)
10:52.0,,,96-92,1,M. Harrell makes free throw 1 of 2
10:52.0,,,96-93,1,M. Harrell makes free throw 2 of 2
10:43.0,T. Jones misses 3-pt shot from 24 ft,,96-93,,
10:39.0,,,96-93,,Defensive rebound by M. Harrell
10:31.0,,,96-93,,S. Dekker misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by K. Towns,,96-93,,
10:25.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones),2,98-93,,
10:10.0,Personal foul by M. Georges-Hunt (drawn by M. Teodosic),,98-93,,
10:10.0,A. Wiggins enters the game for M. Georges-Hunt,,98-93,,
10:02.0,Personal foul by S. Muhammad (drawn by M. Teodosic),,98-93,,
9:54.0,,,98-96,3,L. Williams makes 3-pt shot from 26 ft (assist by M. Teodosic)
9:35.0,Turnover by A. Wiggins (traveling),,98-96,,
9:22.0,,,98-98,2,S. Thornwell makes 2-pt shot from 4 ft (assist by M. Teodosic)
9:10.0,K. Towns misses 2-pt shot from 1 ft,,98-98,,
9:07.0,,,98-98,,Defensive rebound by M. Harrell
9:02.0,,,98-100,2,L. Williams makes 2-pt shot at rim
8:43.0,K. Towns makes 2-pt shot from 5 ft,2,100-100,,
8:24.0,,,100-100,,Turnover by M. Teodosic (turnover)
8:24.0,,,100-100,,B. Griffin enters the game for S. Dekker
8:24.0,J. Teague enters the game for T. Jones,,100-100,,
8:24.0,T. Gibson enters the game for S. Muhammad,,100-100,,
8:10.0,A. Wiggins misses 3-pt shot from 27 ft,,100-100,,
8:06.0,Offensive rebound by K. Towns,,100-100,,
8:01.0,N. Bjelica misses 3-pt shot from 22 ft,,100-100,,
8:01.0,,,100-100,,Defensive rebound by M. Teodosic
8:01.0,Personal foul by T. Gibson (drawn by M. Teodosic),,100-100,,
8:01.0,,,100-101,1,M. Teodosic makes free throw 1 of 2
8:01.0,,,100-102,1,M. Teodosic makes free throw 2 of 2
7:51.0,,,100-102,,Personal foul by B. Griffin (drawn by K. Towns)
7:37.0,J. Teague makes 2-pt shot from 8 ft,2,102-102,,
7:19.0,,,102-104,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Williams)
7:13.0,,,102-104,,Personal block foul by M. Teodosic (drawn by J. Teague)
7:09.0,Shooting foul by M. Harrell (drawn by N. Bjelica),,102-104,,
7:09.0,N. Bjelica makes free throw 1 of 2,1,103-104,,
7:09.0,N. Bjelica misses free throw 2 of 2,,103-104,,
7:06.0,Offensive rebound by K. Towns,,103-104,,
7:03.0,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Towns),3,106-104,,
6:42.0,,,106-106,2,B. Griffin makes 2-pt shot from 1 ft
6:18.0,Offensive charge foul by A. Wiggins (drawn by M. Harrell),,106-106,,
6:18.0,Turnover by A. Wiggins (offensive foul),,106-106,,
6:18.0,,,106-106,,LA Clippers full timeout
6:18.0,,,106-106,,T. Wallace enters the game for M. Teodosic
5:59.0,,,106-106,,S. Thornwell misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by K. Towns,,106-106,,
5:43.0,,,106-106,,Personal foul by T. Wallace (drawn by A. Wiggins)
5:29.0,Turnover by Team (shot clock),,106-106,,
5:19.0,,,106-106,,B. Griffin misses 3-pt shot from 24 ft
5:15.0,,,106-106,,Offensive rebound by M. Harrell
5:14.0,,,106-106,,Offensive foul by M. Harrell (drawn by N. Bjelica)
5:14.0,,,106-106,,Turnover by M. Harrell (offensive foul)
5:14.0,,,106-106,,W. Johnson enters the game for S. Thornwell
