time,LA Clippers,pts.away,score,pts.home,Detroit
5:14.0,,,45-44,,A. Drummond misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by D. Gallinari,,45-44,,
5:09.0,A. Bradley misses 2-pt shot from 1 ft,,45-44,,
5:06.0,,,45-44,,Defensive rebound by B. Griffin
4:54.0,,,45-44,,A. Drummond misses 2-pt shot from 9 ft
4:52.0,Defensive rebound by A. Bradley,,45-44,,
4:46.0,A. Rivers makes 3-pt shot from 25 ft,3,48-44,,
4:23.0,,,48-44,,R. Bullock misses 3-pt shot from 29 ft
4:19.0,Defensive rebound by A. Bradley,,48-44,,
4:06.0,Turnover by L. Williams (bad pass; steal by I. Smith),,48-44,,
4:03.0,,,48-46,2,I. Smith makes 2-pt shot at rim
3:50.0,L. Williams misses 3-pt shot from 29 ft,,48-46,,
3:47.0,,,48-46,,Defensive rebound by S. Johnson
3:43.0,,,48-48,2,S. Johnson makes 2-pt shot from 2 ft
3:43.0,LA Clippers full timeout,,48-48,,
3:43.0,D. Jordan enters the game for M. Harrell,,48-48,,
3:43.0,T. Harris enters the game for L. Williams,,48-48,,
3:24.0,A. Rivers makes 2-pt shot from 3 ft,2,50-48,,
3:06.0,Personal foul by D. Gallinari (drawn by B. Griffin),,50-48,,
2:58.0,,,50-51,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
2:38.0,A. Bradley misses 2-pt shot from 16 ft,,50-51,,
2:36.0,Offensive rebound by D. Jordan,,50-51,,
2:36.0,D. Jordan misses 2-pt shot from 2 ft (block by S. Johnson),,50-51,,
2:35.0,,,50-51,,Defensive rebound by B. Griffin
2:28.0,,,50-51,,R. Bullock misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by T. Harris,,50-51,,
2:19.0,,,50-51,,Personal foul by B. Griffin (drawn by D. Gallinari)
2:19.0,,,50-51,,A. Tolliver enters the game for B. Griffin
2:09.0,Turnover by A. Rivers (out of bounds lost ball),,50-51,,
1:55.0,,,50-51,,Turnover by R. Bullock (bad pass; steal by T. Harris)
1:50.0,T. Harris makes 2-pt shot at rim,2,52-51,,
1:22.0,,,52-51,,I. Smith misses 2-pt shot from 4 ft
1:22.0,,,52-51,,Offensive rebound by A. Drummond
1:22.0,,,52-51,,Shooting foul by T. Harris (drawn by A. Drummond)
1:22.0,,,52-51,,A. Drummond misses free throw 1 of 2
1:22.0,,,52-51,,Offensive rebound by Team
1:22.0,,,52-52,1,A. Drummond makes free throw 2 of 2
1:10.0,A. Rivers misses 3-pt shot from 22 ft,,52-52,,
1:06.0,,,52-52,,Defensive rebound by R. Bullock
1:02.0,,,52-54,2,S. Johnson makes 2-pt shot from 1 ft
0:46.0,Turnover by T. Harris (lost ball; steal by S. Johnson),,52-54,,
0:36.0,,,52-56,2,I. Smith makes 2-pt shot from 15 ft
0:19.0,D. Gallinari misses 3-pt shot from 26 ft,,52-56,,
0:16.0,,,52-56,,Defensive rebound by S. Johnson
0:02.0,,,52-56,,I. Smith misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by D. Jordan,,52-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Technical foul by D. Jordan,,52-56,,
12:00.0,,,52-57,1,A. Tolliver makes technical free throw
11:39.0,,,52-57,,B. Griffin misses 2-pt shot from 5 ft
11:36.0,Defensive rebound by A. Bradley,,52-57,,
11:27.0,T. Harris misses 2-pt shot from 5 ft (block by A. Drummond),,52-57,,
11:26.0,,,52-57,,Defensive rebound by Team
11:04.0,,,52-60,3,S. Johnson makes 3-pt shot from 24 ft (assist by I. Smith)
10:47.0,Turnover by D. Jordan (bad pass),,52-60,,
10:34.0,,,52-60,,B. Griffin misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by D. Jordan,,52-60,,
10:28.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,54-60,,
10:02.0,,,54-60,,B. Griffin misses 2-pt shot from 6 ft
10:01.0,Defensive rebound by D. Jordan,,54-60,,
9:54.0,D. Gallinari makes 2-pt shot from 6 ft,2,56-60,,
9:31.0,Personal foul by D. Jordan (drawn by A. Drummond),,56-60,,
9:21.0,,,56-60,,A. Drummond misses 2-pt shot from 10 ft
9:20.0,Defensive rebound by D. Jordan,,56-60,,
9:11.0,A. Rivers misses 3-pt shot from 24 ft,,56-60,,
9:09.0,,,56-60,,Defensive rebound by Team
8:46.0,,,56-62,2,A. Drummond makes 2-pt shot from 2 ft (assist by S. Johnson)
8:46.0,,,56-62,,Shooting foul by A. Bradley (drawn by A. Drummond)
8:46.0,,,56-63,1,A. Drummond makes free throw 1 of 1
8:35.0,A. Bradley makes 2-pt shot from 2 ft (assist by A. Rivers),2,58-63,,
8:23.0,,,58-63,,Turnover by I. Smith (out of bounds lost ball)
8:05.0,T. Harris misses 3-pt shot from 25 ft,,58-63,,
8:01.0,,,58-63,,Defensive rebound by A. Drummond
7:45.0,,,58-63,,S. Johnson misses 2-pt shot from 19 ft
7:42.0,Defensive rebound by A. Bradley,,58-63,,
7:35.0,A. Rivers makes 2-pt shot from 2 ft,2,60-63,,
7:17.0,,,60-65,2,B. Griffin makes 2-pt shot from 8 ft
7:03.0,D. Gallinari misses 3-pt shot from 26 ft,,60-65,,
7:00.0,,,60-65,,Defensive rebound by R. Bullock
6:52.0,,,60-68,3,R. Bullock makes 3-pt shot from 27 ft (assist by B. Griffin)
6:50.0,LA Clippers full timeout,,60-68,,
6:35.0,D. Gallinari makes 3-pt shot from 26 ft (assist by D. Jordan),3,63-68,,
6:15.0,,,63-68,,B. Griffin misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by A. Rivers,,63-68,,
6:05.0,Turnover by T. Harris (turnover),,63-68,,
5:42.0,,,63-68,,B. Griffin misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by A. Rivers,,63-68,,
5:32.0,A. Rivers misses 2-pt shot from 6 ft,,63-68,,
5:27.0,Offensive rebound by D. Jordan,,63-68,,
5:25.0,D. Gallinari misses 3-pt shot from 25 ft,,63-68,,
5:22.0,,,63-68,,Defensive rebound by A. Drummond
5:15.0,,,63-68,,S. Johnson misses 3-pt shot from 24 ft
5:12.0,,,63-68,,Offensive rebound by A. Drummond
5:09.0,,,63-68,,A. Drummond misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by A. Bradley,,63-68,,
5:02.0,A. Bradley misses 3-pt shot from 26 ft,,63-68,,
4:55.0,Offensive rebound by D. Jordan,,63-68,,
4:55.0,D. Jordan misses 2-pt shot at rim,,63-68,,
4:55.0,,,63-68,,Defensive rebound by B. Griffin
4:51.0,,,63-68,,A. Drummond misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by T. Harris,,63-68,,
4:44.0,A. Bradley misses 3-pt shot from 22 ft,,63-68,,
4:43.0,Offensive rebound by Team,,63-68,,
4:43.0,,,63-68,,Loose ball foul by A. Drummond
4:43.0,,,63-68,,Technical foul by A. Drummond
4:43.0,D. Gallinari makes technical free throw,1,64-68,,
4:43.0,L. Williams enters the game for D. Gallinari,,64-68,,
4:43.0,W. Johnson enters the game for A. Bradley,,64-68,,
4:43.0,,,64-68,,L. Kennard enters the game for S. Johnson
4:25.0,A. Rivers misses 2-pt shot from 7 ft,,64-68,,
4:22.0,Offensive rebound by D. Jordan,,64-68,,
4:21.0,T. Harris makes 3-pt shot from 26 ft (assist by D. Jordan),3,67-68,,
3:52.0,,,67-70,2,I. Smith makes 2-pt shot from 5 ft (assist by L. Kennard)
3:35.0,T. Harris makes 3-pt shot from 26 ft (assist by A. Rivers),3,70-70,,
3:24.0,,,70-70,,Detroit full timeout
3:24.0,,,70-70,,L. Galloway enters the game for A. Drummond
3:24.0,,,70-70,,A. Tolliver enters the game for I. Smith
3:07.0,,,70-72,2,B. Griffin makes 2-pt shot from 15 ft
2:50.0,Offensive charge foul by T. Harris (drawn by B. Griffin),,70-72,,
2:50.0,Turnover by T. Harris (offensive foul),,70-72,,
2:33.0,,,70-72,,Shooting foul by W. Johnson (drawn by A. Tolliver)
2:33.0,,,70-73,1,A. Tolliver makes free throw 1 of 2
2:33.0,T. Wallace enters the game for D. Jordan,,70-73,,
2:33.0,M. Harrell enters the game for A. Rivers,,70-73,,
2:33.0,,,70-73,,A. Tolliver misses free throw 2 of 2
2:31.0,Defensive rebound by M. Harrell,,70-73,,
2:15.0,T. Wallace misses 3-pt shot from 26 ft,,70-73,,
2:11.0,,,70-73,,Defensive rebound by R. Bullock
1:57.0,,,70-73,,Shooting foul by M. Harrell (drawn by B. Griffin)
1:57.0,,,70-73,,B. Griffin misses free throw 1 of 2
1:57.0,,,70-73,,Offensive rebound by Team
1:57.0,,,70-74,1,B. Griffin makes free throw 2 of 2
1:42.0,Shooting foul by L. Kennard (drawn by L. Williams),,70-74,,
1:42.0,L. Williams makes free throw 1 of 2,1,72-74,,
1:42.0,L. Williams makes free throw 2 of 2,1,72-74,,
1:36.0,,,72-74,,L. Galloway misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by T. Harris,,72-74,,
1:29.0,T. Harris misses 2-pt shot from 4 ft,,72-74,,
1:27.0,,,72-74,,Defensive rebound by B. Griffin
1:24.0,,,72-76,2,B. Griffin makes 2-pt shot from 2 ft
1:24.0,,,72-76,,Shooting foul by M. Harrell (drawn by B. Griffin)
1:24.0,S. Dekker enters the game for T. Harris,,72-76,,
1:24.0,,,72-77,1,B. Griffin makes free throw 1 of 1
1:10.0,M. Harrell misses 2-pt shot from 3 ft (block by B. Griffin),,72-77,,
1:09.0,,,72-77,,Defensive rebound by B. Griffin
0:52.0,,,72-77,,L. Galloway misses 3-pt shot from 22 ft
0:50.0,Defensive rebound by W. Johnson,,72-77,,
0:45.0,L. Williams makes 2-pt shot from 21 ft,2,74-77,,
0:31.0,,,74-77,,A. Tolliver misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by T. Wallace,,74-77,,
0:23.0,L. Williams makes 3-pt shot from 25 ft (assist by T. Wallace),3,77-77,,
0:01.0,,,77-80,3,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Bullock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,L. Williams makes 2-pt shot from 9 ft,2,79-80,,
11:33.0,,,79-80,,S. Johnson misses 2-pt shot from 8 ft
11:32.0,,,79-80,,Offensive rebound by A. Drummond
11:32.0,,,79-82,2,A. Drummond makes 2-pt shot at rim
11:15.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,81-82,,
10:58.0,,,81-82,,A. Tolliver misses 3-pt shot from 22 ft
10:56.0,Defensive rebound by W. Johnson,,81-82,,
10:51.0,Shooting foul by L. Kennard (drawn by M. Harrell),,81-82,,
10:51.0,M. Harrell makes free throw 1 of 2,1,82-82,,
10:51.0,D. Gallinari enters the game for S. Dekker,,82-82,,
10:51.0,M. Harrell makes free throw 2 of 2,1,83-82,,
10:37.0,,,83-82,,Turnover by A. Drummond (lost ball; steal by D. Gallinari)
10:29.0,L. Williams makes 3-pt shot from 28 ft (assist by T. Wallace),3,86-82,,
10:15.0,Personal foul by M. Harrell,,86-82,,
10:15.0,Technical foul by M. Harrell,,86-82,,
10:15.0,,,86-83,1,L. Kennard makes technical free throw
10:08.0,,,86-83,,A. Drummond misses 2-pt shot from 5 ft
10:05.0,,,86-83,,Offensive rebound by L. Galloway
9:59.0,Personal foul by W. Johnson (drawn by A. Drummond),,86-83,,
9:50.0,,,86-83,,Turnover by L. Kennard (out of bounds lost ball)
9:38.0,L. Williams misses 2-pt shot from 7 ft,,86-83,,
9:36.0,,,86-83,,Defensive rebound by A. Drummond
9:21.0,,,86-83,,Shooting foul by D. Gallinari (drawn by A. Tolliver)
9:21.0,,,86-84,1,A. Tolliver makes free throw 1 of 2
9:21.0,A. Rivers enters the game for T. Wallace,,86-84,,
9:21.0,,,86-85,1,A. Tolliver makes free throw 2 of 2
9:14.0,,,86-85,,Personal foul by S. Johnson (drawn by L. Williams)
9:03.0,D. Gallinari misses 3-pt shot from 24 ft,,86-85,,
9:01.0,,,86-85,,Defensive rebound by A. Drummond
8:52.0,,,86-85,,S. Johnson misses 2-pt shot from 7 ft
8:50.0,Defensive rebound by L. Williams,,86-85,,
8:35.0,A. Rivers misses 2-pt shot from 3 ft,,86-85,,
8:34.0,,,86-85,,Defensive rebound by A. Drummond
8:28.0,,,86-85,,L. Galloway misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by L. Williams,,86-85,,
8:17.0,D. Gallinari misses 2-pt shot from 7 ft (block by A. Drummond),,86-85,,
8:13.0,Offensive rebound by D. Gallinari,,86-85,,
8:07.0,M. Harrell makes 2-pt shot from 5 ft,2,88-85,,
7:53.0,,,88-85,,A. Tolliver misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by Team,,88-85,,
7:52.0,A. Bradley enters the game for W. Johnson,,88-85,,
7:42.0,A. Rivers makes 2-pt shot from 4 ft (assist by L. Williams),2,90-85,,
7:42.0,,,90-85,,Detroit full timeout
7:42.0,,,90-85,,B. Griffin enters the game for A. Tolliver
7:30.0,,,90-85,,L. Galloway misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by D. Gallinari,,90-85,,
7:12.0,L. Williams misses 2-pt shot from 5 ft (block by A. Drummond),,90-85,,
7:09.0,,,90-85,,Defensive rebound by A. Drummond
7:03.0,,,90-85,,Turnover by S. Johnson (bad pass; steal by L. Williams)
6:58.0,A. Bradley misses 3-pt shot from 23 ft,,90-85,,
6:54.0,,,90-85,,Defensive rebound by B. Griffin
6:49.0,Personal foul by A. Rivers (drawn by B. Griffin),,90-85,,
6:49.0,,,90-85,,I. Smith enters the game for L. Galloway
6:49.0,D. Jordan enters the game for M. Harrell,,90-85,,
6:38.0,,,90-85,,Offensive foul by A. Drummond (drawn by L. Williams)
6:38.0,,,90-85,,Turnover by A. Drummond (offensive foul)
6:17.0,D. Jordan makes 2-pt shot from 3 ft (assist by D. Gallinari),2,92-85,,
6:01.0,,,92-85,,R. Bullock enters the game for L. Kennard
5:55.0,,,92-85,,B. Griffin misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by D. Jordan,,92-85,,
5:42.0,,,92-85,,Personal foul by I. Smith (drawn by L. Williams)
5:42.0,T. Harris enters the game for D. Gallinari,,92-85,,
5:33.0,T. Harris misses 3-pt shot from 24 ft,,92-85,,
5:30.0,,,92-85,,Defensive rebound by A. Drummond
5:22.0,,,92-87,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin)
5:00.0,A. Rivers makes 2-pt shot from 3 ft,2,94-87,,
4:43.0,,,94-87,,B. Griffin misses 2-pt shot from 6 ft
4:41.0,Defensive rebound by A. Bradley,,94-87,,
4:35.0,,,94-87,,Personal foul by B. Griffin (drawn by D. Jordan)
4:22.0,L. Williams makes 2-pt shot from 21 ft,2,96-87,,
3:58.0,,,96-87,,I. Smith misses 2-pt shot from 11 ft
3:52.0,Defensive rebound by D. Jordan,,96-87,,
3:48.0,T. Harris misses 2-pt shot from 2 ft,,96-87,,
3:46.0,,,96-87,,Defensive rebound by A. Drummond
3:45.0,Personal foul by A. Rivers (drawn by S. Johnson),,96-87,,
3:45.0,,,96-88,1,S. Johnson makes free throw 1 of 2
3:45.0,,,96-88,,S. Johnson misses free throw 2 of 2
3:42.0,,,96-88,,Offensive rebound by Team
3:28.0,,,96-88,,B. Griffin misses 2-pt shot from 6 ft
3:26.0,Defensive rebound by T. Harris,,96-88,,
3:07.0,A. Bradley makes 2-pt shot at rim (assist by D. Jordan),2,98-88,,
2:49.0,,,98-90,2,B. Griffin makes 2-pt shot from 3 ft
2:28.0,Shooting foul by A. Drummond (drawn by L. Williams),,98-90,,
2:28.0,LA Clippers full timeout,,98-90,,
2:28.0,,,98-90,,L. Kennard enters the game for A. Drummond
2:28.0,,,98-90,,A. Tolliver enters the game for S. Johnson
2:28.0,L. Williams makes free throw 1 of 3,1,99-90,,
2:28.0,L. Williams makes free throw 2 of 3,1,100-90,,
2:28.0,L. Williams makes free throw 3 of 3,1,101-90,,
2:21.0,,,101-90,,R. Bullock misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by D. Jordan,,101-90,,
