time,Washington,pts.away,score,pts.home,Atlanta
3:09.0,,,24-17,1,T. Waller-Prince makes free throw 1 of 2
3:09.0,,,24-17,,T. Cavanaugh enters the game for E. Ilyasova
3:09.0,K. Oubre enters the game for M. Morris,,24-17,,
3:09.0,I. Mahinmi enters the game for M. Gortat,,24-17,,
3:09.0,M. Scott enters the game for O. Porter,,24-17,,
3:09.0,,,24-18,1,T. Waller-Prince makes free throw 2 of 2
3:09.0,,,24-18,,I. Taylor enters the game for D. Schroder
2:55.0,B. Beal misses 2-pt shot from 20 ft,,24-18,,
2:51.0,Offensive rebound by B. Beal,,24-18,,
2:45.0,Shooting foul by T. Cavanaugh (drawn by J. Wall),,24-18,,
2:45.0,Washington full timeout,,24-18,,
2:45.0,,,24-18,,M. Delaney enters the game for T. Waller-Prince
2:45.0,J. Meeks enters the game for B. Beal,,24-18,,
2:45.0,J. Wall makes free throw 1 of 2,1,25-18,,
2:45.0,J. Wall misses free throw 2 of 2,,25-18,,
2:42.0,,,25-18,,Defensive rebound by J. Collins
2:25.0,,,25-21,3,M. Belinelli makes 3-pt shot from 24 ft (assist by I. Taylor)
2:08.0,M. Scott misses 3-pt shot from 24 ft,,25-21,,
2:05.0,,,25-21,,Defensive rebound by J. Collins
1:57.0,,,25-23,2,M. Belinelli makes 2-pt shot at rim (assist by M. Delaney)
1:43.0,J. Wall misses 2-pt shot from 18 ft,,25-23,,
1:39.0,,,25-23,,Defensive rebound by T. Cavanaugh
1:34.0,Personal foul by K. Oubre (drawn by M. Belinelli),,25-23,,
1:34.0,T. Satoransky enters the game for J. Wall,,25-23,,
1:26.0,,,25-25,2,M. Belinelli makes 2-pt shot from 20 ft (assist by T. Cavanaugh)
1:09.0,J. Meeks misses 2-pt shot from 20 ft,,25-25,,
1:06.0,Offensive rebound by I. Mahinmi,,25-25,,
1:04.0,M. Scott makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,27-25,,
0:51.0,,,27-27,2,I. Taylor makes 2-pt shot from 21 ft (assist by J. Collins)
0:39.0,J. Meeks makes 2-pt shot from 16 ft (assist by M. Scott),2,29-27,,
0:18.0,,,29-29,2,I. Taylor makes 2-pt shot from 7 ft
0:02.0,Turnover by T. Satoransky (lost ball; steal by M. Delaney),,29-29,,
0:00.0,,,29-29,,M. Delaney misses 3-pt shot from 54 ft
0:00.0,,,29-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-29,,M. Belinelli misses 2-pt shot from 23 ft
11:37.0,Defensive rebound by T. Satoransky,,29-29,,
11:26.0,K. Oubre misses 2-pt shot from 12 ft (block by M. Belinelli),,29-29,,
11:25.0,Offensive rebound by T. Satoransky,,29-29,,
11:22.0,K. Oubre misses 3-pt shot from 23 ft,,29-29,,
11:16.0,,,29-29,,Defensive rebound by T. Cavanaugh
11:02.0,,,29-29,,I. Taylor misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by K. Oubre,,29-29,,
10:54.0,T. Satoransky misses 2-pt shot from 22 ft,,29-29,,
10:50.0,,,29-29,,Defensive rebound by M. Belinelli
10:35.0,,,29-29,,J. Collins misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by M. Scott,,29-29,,
10:26.0,M. Scott misses 3-pt shot from 25 ft,,29-29,,
10:24.0,Offensive rebound by I. Mahinmi,,29-29,,
10:23.0,,,29-29,,Personal foul by J. Collins (drawn by M. Scott)
10:18.0,T. Satoransky makes 2-pt shot from 18 ft (assist by I. Mahinmi),2,31-29,,
10:02.0,,,31-31,2,M. Belinelli makes 2-pt shot at rim (assist by I. Taylor)
9:48.0,J. Meeks misses 2-pt shot from 12 ft,,31-31,,
9:44.0,,,31-31,,Defensive rebound by M. Delaney
9:40.0,,,31-31,,T. Cavanaugh misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by J. Meeks,,31-31,,
9:30.0,K. Oubre makes 3-pt shot from 24 ft (assist by T. Satoransky),3,34-31,,
9:14.0,,,34-31,,Shooting foul by J. Meeks (drawn by M. Delaney)
9:14.0,,,34-32,1,M. Delaney makes free throw 1 of 2
9:14.0,,,34-32,,K. Bazemore enters the game for M. Belinelli
9:14.0,,,34-33,1,M. Delaney makes free throw 2 of 2
9:00.0,Offensive foul by I. Mahinmi (drawn by K. Bazemore),,34-33,,
9:00.0,Turnover by I. Mahinmi (offensive foul),,34-33,,
8:43.0,,,34-33,,M. Delaney misses 3-pt shot from 22 ft
8:39.0,Defensive rebound by I. Mahinmi,,34-33,,
8:27.0,,,34-33,,Personal foul by K. Bazemore (drawn by M. Scott)
8:27.0,,,34-33,,M. Plumlee enters the game for M. Delaney
8:27.0,,,34-33,,T. Waller-Prince enters the game for J. Collins
8:23.0,J. Meeks makes 2-pt shot from 19 ft (assist by T. Satoransky),2,36-33,,
8:01.0,,,36-33,,I. Taylor misses 2-pt shot from 5 ft
7:59.0,Defensive rebound by I. Mahinmi,,36-33,,
7:54.0,Shooting foul by I. Taylor (drawn by J. Meeks),,36-33,,
7:54.0,J. Meeks makes free throw 1 of 3,1,37-33,,
7:54.0,J. Meeks makes free throw 2 of 3,1,38-33,,
7:54.0,,,38-33,,D. Schroder enters the game for I. Taylor
7:54.0,,,38-33,,E. Ilyasova enters the game for T. Cavanaugh
7:54.0,J. Meeks makes free throw 3 of 3,1,39-33,,
7:41.0,,,39-35,2,M. Plumlee makes 2-pt shot at rim (assist by K. Bazemore)
7:23.0,K. Oubre makes 2-pt shot from 13 ft (assist by T. Satoransky),2,41-35,,
7:10.0,,,41-35,,T. Waller-Prince misses 2-pt shot from 10 ft (block by K. Oubre)
7:10.0,,,41-35,,Offensive rebound by Team
7:10.0,B. Beal enters the game for T. Satoransky,,41-35,,
7:08.0,,,41-37,2,D. Schroder makes 2-pt shot from 12 ft (assist by K. Bazemore)
6:54.0,Shooting foul by T. Waller-Prince (drawn by J. Meeks),,41-37,,
6:54.0,,,41-37,,Atlanta full timeout
6:54.0,J. Meeks makes free throw 1 of 2,1,42-37,,
6:54.0,J. Meeks makes free throw 2 of 2,1,43-37,,
6:42.0,,,43-40,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by D. Schroder)
6:24.0,B. Beal misses 2-pt shot from 13 ft,,43-40,,
6:20.0,,,43-40,,Defensive rebound by M. Plumlee
6:05.0,,,43-42,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder)
5:46.0,M. Scott makes 2-pt shot from 16 ft (assist by B. Beal),2,45-42,,
5:29.0,,,45-42,,T. Waller-Prince misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by I. Mahinmi,,45-42,,
5:23.0,K. Oubre makes 3-pt shot from 24 ft (assist by J. Meeks),3,48-42,,
5:08.0,Personal foul by I. Mahinmi (drawn by D. Schroder),,48-42,,
5:08.0,J. Wall enters the game for K. Oubre,,48-42,,
5:08.0,M. Morris enters the game for J. Meeks,,48-42,,
5:08.0,O. Porter enters the game for M. Scott,,48-42,,
5:02.0,,,48-42,,E. Ilyasova misses 2-pt shot from 21 ft (block by B. Beal)
4:56.0,Defensive rebound by J. Wall,,48-42,,
4:47.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,51-42,,
4:46.0,,,51-42,,Atlanta full timeout
4:46.0,M. Gortat enters the game for I. Mahinmi,,51-42,,
4:34.0,Violation by M. Gortat (kicked ball),,51-42,,
4:27.0,,,51-44,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
4:11.0,M. Morris misses 2-pt shot from 14 ft,,51-44,,
4:07.0,,,51-44,,Defensive rebound by K. Bazemore
4:00.0,,,51-44,,K. Bazemore misses 2-pt shot from 15 ft
3:58.0,Defensive rebound by M. Gortat,,51-44,,
3:49.0,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall),2,53-44,,
3:29.0,,,53-46,2,E. Ilyasova makes 2-pt shot from 3 ft (assist by K. Bazemore)
3:29.0,,,53-46,,Shooting foul by B. Beal (drawn by E. Ilyasova)
3:29.0,,,53-46,,J. Collins enters the game for T. Waller-Prince
3:29.0,,,53-46,,M. Belinelli enters the game for M. Plumlee
3:29.0,,,53-46,,E. Ilyasova misses free throw 1 of 1
3:27.0,Defensive rebound by M. Gortat,,53-46,,
3:12.0,Turnover by M. Morris (lost ball; steal by E. Ilyasova),,53-46,,
3:08.0,,,53-48,2,J. Collins makes 2-pt shot at rim (assist by K. Bazemore)
2:57.0,,,53-48,,Personal foul by D. Schroder (drawn by J. Wall)
2:57.0,J. Wall misses free throw 1 of 2,,53-48,,
2:57.0,Offensive rebound by Team,,53-48,,
2:57.0,J. Wall makes free throw 2 of 2,1,54-48,,
2:39.0,,,54-51,3,K. Bazemore makes 3-pt shot from 22 ft (assist by M. Belinelli)
2:30.0,B. Beal misses 2-pt shot from 2 ft (block by J. Collins),,54-51,,
2:25.0,Offensive rebound by B. Beal,,54-51,,
2:23.0,J. Wall misses 3-pt shot from 25 ft,,54-51,,
2:21.0,,,54-51,,Defensive rebound by D. Schroder
2:17.0,,,54-51,,K. Bazemore misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by M. Gortat,,54-51,,
2:01.0,B. Beal makes 3-pt shot from 24 ft (assist by O. Porter),3,57-51,,
1:38.0,,,57-51,,E. Ilyasova misses 3-pt shot from 22 ft
1:38.0,,,57-51,,Offensive rebound by Team
1:38.0,Loose ball foul by M. Gortat (drawn by J. Collins),,57-51,,
1:38.0,,,57-51,,T. Waller-Prince enters the game for E. Ilyasova
1:38.0,,,57-51,,T. Cavanaugh enters the game for K. Bazemore
1:32.0,,,57-51,,T. Cavanaugh misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by B. Beal,,57-51,,
1:24.0,J. Wall misses 2-pt shot from 1 ft (block by J. Collins),,57-51,,
1:24.0,,,57-51,,Defensive rebound by T. Waller-Prince
1:18.0,,,57-51,,D. Schroder misses 2-pt shot from 1 ft
1:18.0,,,57-51,,Offensive rebound by T. Waller-Prince
1:18.0,,,57-53,2,T. Waller-Prince makes 2-pt shot at rim
1:03.0,B. Beal misses 3-pt shot from 25 ft,,57-53,,
1:03.0,,,57-53,,Defensive rebound by J. Collins
0:53.0,,,57-53,,Shooting foul by M. Morris (drawn by J. Collins)
0:53.0,,,57-53,,J. Collins misses free throw 1 of 2
0:53.0,,,57-53,,Offensive rebound by Team
0:53.0,,,57-53,,J. Collins misses free throw 2 of 2
0:50.0,,,57-53,,Offensive rebound by Team
0:39.0,,,57-55,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
0:30.0,O. Porter misses 2-pt shot from 13 ft,,57-55,,
0:27.0,,,57-55,,Defensive rebound by D. Schroder
0:05.0,,,57-55,,T. Waller-Prince misses 3-pt shot from 24 ft
0:02.0,,,57-55,,Offensive rebound by T. Cavanaugh
0:01.0,,,57-55,,T. Cavanaugh misses 2-pt shot from 1 ft
0:01.0,,,57-55,,Offensive rebound by T. Cavanaugh
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-55,,E. Ilyasova misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by O. Porter,,57-55,,
11:26.0,J. Wall misses 2-pt shot from 19 ft,,57-55,,
11:20.0,,,57-55,,Defensive rebound by M. Plumlee
11:14.0,,,57-55,,D. Schroder misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by Team,,57-55,,
11:13.0,,,57-55,,Loose ball foul by M. Plumlee (drawn by M. Gortat)
11:01.0,O. Porter misses 3-pt shot from 24 ft,,57-55,,
10:58.0,,,57-55,,Defensive rebound by E. Ilyasova
10:51.0,,,57-55,,K. Bazemore misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by M. Morris,,57-55,,
10:44.0,B. Beal makes 2-pt shot from 12 ft (assist by J. Wall),2,59-55,,
10:31.0,Violation by M. Morris (kicked ball),,59-55,,
10:24.0,,,59-55,,Shooting foul by J. Wall (drawn by M. Plumlee)
10:24.0,,,59-55,,M. Plumlee misses free throw 1 of 2
10:24.0,,,59-55,,Offensive rebound by Team
10:24.0,,,59-55,,M. Plumlee misses free throw 2 of 2
10:21.0,Defensive rebound by M. Morris,,59-55,,
10:11.0,Turnover by M. Morris (step out of bounds),,59-55,,
9:58.0,,,59-55,,E. Ilyasova misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by Team,,59-55,,
9:48.0,Offensive foul by M. Morris (drawn by D. Schroder),,59-55,,
9:48.0,Turnover by M. Morris (offensive foul),,59-55,,
9:35.0,,,59-55,,T. Waller-Prince misses 3-pt shot from 24 ft
9:27.0,,,59-55,,Offensive rebound by E. Ilyasova
9:22.0,,,59-55,,K. Bazemore misses 3-pt shot from 25 ft
9:19.0,,,59-55,,Offensive rebound by T. Waller-Prince
9:17.0,,,59-55,,Turnover by E. Ilyasova (out of bounds lost ball)
9:09.0,M. Gortat misses 2-pt shot from 10 ft,,59-55,,
9:06.0,,,59-55,,Defensive rebound by M. Plumlee
8:57.0,,,59-57,2,D. Schroder makes 2-pt shot from 12 ft
8:40.0,M. Gortat misses 2-pt shot from 12 ft,,59-57,,
8:37.0,,,59-57,,Defensive rebound by K. Bazemore
8:33.0,,,59-57,,Turnover by K. Bazemore (step out of bounds)
8:21.0,Turnover by M. Gortat (step out of bounds),,59-57,,
8:04.0,,,59-57,,Turnover by T. Waller-Prince (bad pass; steal by B. Beal)
8:00.0,B. Beal misses 2-pt shot from 2 ft (block by K. Bazemore),,59-57,,
7:56.0,Offensive rebound by O. Porter,,59-57,,
7:55.0,O. Porter makes 2-pt shot from 1 ft,2,61-57,,
7:37.0,,,61-57,,T. Waller-Prince misses 2-pt shot from 13 ft (block by O. Porter)
7:31.0,Defensive rebound by O. Porter,,61-57,,
7:28.0,O. Porter makes 2-pt shot from 20 ft,2,63-57,,
7:26.0,,,63-57,,Atlanta full timeout
7:15.0,Personal foul by B. Beal (drawn by K. Bazemore),,63-57,,
7:13.0,,,63-59,2,T. Waller-Prince makes 2-pt shot at rim (assist by K. Bazemore)
6:49.0,B. Beal misses 2-pt shot from 12 ft,,63-59,,
6:45.0,,,63-59,,Defensive rebound by M. Plumlee
6:34.0,,,63-59,,Turnover by E. Ilyasova (bad pass; steal by B. Beal)
6:31.0,J. Wall makes 2-pt shot at rim (assist by B. Beal),2,65-59,,
6:31.0,Shooting foul by K. Bazemore (drawn by J. Wall),,65-59,,
6:31.0,J. Wall makes free throw 1 of 1,1,66-59,,
6:14.0,,,66-62,3,D. Schroder makes 3-pt shot from 24 ft
5:50.0,M. Morris misses 2-pt shot from 12 ft,,66-62,,
5:47.0,,,66-62,,Defensive rebound by E. Ilyasova
5:40.0,,,66-62,,Shooting foul by M. Morris (drawn by D. Schroder)
5:40.0,,,66-62,,D. Schroder misses technical free throw
5:40.0,Defensive rebound by Team,,66-62,,
5:40.0,,,66-63,1,D. Schroder makes free throw 1 of 2
5:40.0,,,66-63,,M. Belinelli enters the game for K. Bazemore
5:40.0,,,66-63,,J. Collins enters the game for M. Plumlee
5:40.0,Technical foul by M. Morris,,66-63,,
5:40.0,,,66-63,,D. Schroder misses technical free throw
5:40.0,,,66-63,,Offensive rebound by Team
5:40.0,,,66-64,1,D. Schroder makes free throw 2 of 2
5:22.0,Turnover by J. Wall (bad pass; steal by M. Belinelli),,66-64,,
5:17.0,,,66-64,,J. Collins misses 2-pt shot at rim
5:15.0,,,66-64,,Offensive rebound by T. Waller-Prince
5:14.0,,,66-64,,T. Waller-Prince misses 3-pt shot from 22 ft
5:14.0,,,66-64,,Offensive rebound by T. Waller-Prince
5:09.0,Personal foul by O. Porter (drawn by J. Collins),,66-64,,
5:03.0,Violation by M. Morris (kicked ball),,66-64,,
4:55.0,I. Mahinmi enters the game for M. Gortat,,66-64,,
4:54.0,,,66-64,,Shooting foul by B. Beal (drawn by M. Belinelli)
4:54.0,,,66-65,1,M. Belinelli makes free throw 1 of 3
4:54.0,,,66-66,1,M. Belinelli makes free throw 2 of 3
4:54.0,,,66-67,1,M. Belinelli makes free throw 3 of 3
4:44.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,69-67,,
4:31.0,,,69-69,2,D. Schroder makes 2-pt shot from 10 ft
4:18.0,B. Beal misses 3-pt shot from 24 ft,,69-69,,
4:15.0,,,69-69,,Defensive rebound by T. Waller-Prince
4:07.0,,,69-69,,T. Waller-Prince misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by I. Mahinmi,,69-69,,
3:52.0,J. Wall makes 2-pt shot from 1 ft,2,71-69,,
3:38.0,,,71-69,,D. Schroder misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by O. Porter,,71-69,,
3:31.0,Turnover by J. Wall (bad pass),,71-69,,
3:31.0,,,71-69,,M. Delaney enters the game for T. Waller-Prince
3:18.0,,,71-69,,Turnover by J. Collins (bad pass; steal by I. Mahinmi)
3:17.0,Turnover by I. Mahinmi (bad pass; steal by M. Delaney),,71-69,,
3:13.0,Personal foul by I. Mahinmi (drawn by D. Schroder),,71-69,,
3:13.0,,,71-70,1,D. Schroder makes free throw 1 of 2
3:13.0,,,71-70,,T. Cavanaugh enters the game for E. Ilyasova
3:13.0,,,71-71,1,D. Schroder makes free throw 2 of 2
2:56.0,B. Beal makes 2-pt shot from 1 ft,2,73-71,,
2:38.0,,,73-71,,Turnover by M. Delaney (out of bounds lost ball)
2:38.0,Washington full timeout,,73-71,,
2:38.0,,,73-71,,I. Taylor enters the game for D. Schroder
2:38.0,K. Oubre enters the game for M. Morris,,73-71,,
2:38.0,M. Scott enters the game for O. Porter,,73-71,,
2:26.0,M. Scott misses 2-pt shot from 14 ft,,73-71,,
2:23.0,,,73-71,,Defensive rebound by I. Taylor
2:12.0,,,73-74,3,M. Delaney makes 3-pt shot from 24 ft
1:57.0,Shooting foul by J. Collins (drawn by I. Mahinmi),,73-74,,
1:57.0,I. Mahinmi makes free throw 1 of 2,1,74-74,,
1:57.0,T. Satoransky enters the game for J. Wall,,74-74,,
1:57.0,I. Mahinmi misses free throw 2 of 2,,74-74,,
1:54.0,,,74-74,,Defensive rebound by J. Collins
1:47.0,,,74-74,,Offensive foul by J. Collins (drawn by I. Mahinmi)
1:47.0,,,74-74,,Turnover by J. Collins (offensive foul)
1:33.0,,,74-74,,Personal foul by M. Delaney (drawn by B. Beal)
1:33.0,B. Beal makes free throw 1 of 2,1,75-74,,
1:33.0,B. Beal makes free throw 2 of 2,1,76-74,,
1:15.0,,,76-76,2,M. Belinelli makes 2-pt shot from 10 ft (assist by I. Taylor)
0:56.0,K. Oubre misses 3-pt shot from 25 ft,,76-76,,
0:54.0,,,76-76,,Defensive rebound by Team
0:40.0,,,76-76,,M. Belinelli misses 3-pt shot from 25 ft
0:38.0,,,76-76,,Offensive rebound by Team
0:31.0,,,76-76,,M. Delaney misses 2-pt shot at rim (block by B. Beal)
0:27.0,Defensive rebound by T. Satoransky,,76-76,,
0:08.0,B. Beal misses 2-pt shot from 2 ft (block by J. Collins),,76-76,,
0:03.0,,,76-76,,Defensive rebound by T. Cavanaugh
0:01.0,,,76-76,,I. Taylor misses 2-pt shot from 1 ft
0:01.0,,,76-76,,Offensive rebound by M. Belinelli
0:00.0,,,76-76,,M. Belinelli misses 2-pt shot from 1 ft
0:00.0,,,76-76,,Offensive rebound by J. Collins
0:00.0,,,76-78,2,J. Collins makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Meeks makes 2-pt shot from 11 ft (assist by T. Satoransky),2,78-78,,
11:26.0,,,78-78,,M. Delaney misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by Team,,78-78,,
11:26.0,,,78-78,,Loose ball foul by T. Cavanaugh (drawn by K. Oubre)
11:11.0,Turnover by J. Meeks (lost ball; steal by M. Delaney),,78-78,,
11:08.0,,,78-78,,Shooting foul by T. Satoransky (drawn by I. Taylor)
11:08.0,,,78-78,,I. Taylor misses free throw 1 of 2
11:08.0,,,78-78,,Offensive rebound by Team
11:08.0,,,78-79,1,I. Taylor makes free throw 2 of 2
10:57.0,Turnover by I. Mahinmi (traveling),,78-79,,
10:52.0,Personal foul by K. Oubre (drawn by M. Belinelli),,78-79,,
10:38.0,,,78-82,3,M. Belinelli makes 3-pt shot from 25 ft
10:14.0,I. Mahinmi misses 2-pt shot from 1 ft,,78-82,,
10:12.0,Offensive rebound by Team,,78-82,,
10:10.0,Turnover by Team (shot clock),,78-82,,
9:51.0,,,78-84,2,J. Collins makes 2-pt shot at rim (assist by T. Cavanaugh)
9:51.0,Washington full timeout,,78-84,,
9:51.0,J. Wall enters the game for I. Mahinmi,,78-84,,
9:51.0,M. Morris enters the game for T. Satoransky,,78-84,,
9:36.0,M. Scott makes 2-pt shot from 3 ft (assist by J. Wall),2,80-84,,
9:19.0,,,80-86,2,M. Delaney makes 2-pt shot from 1 ft
9:13.0,,,80-86,,Personal foul by M. Delaney (drawn by K. Oubre)
9:13.0,O. Porter enters the game for K. Oubre,,80-86,,
9:07.0,M. Scott misses 3-pt shot from 24 ft,,80-86,,
9:03.0,,,80-86,,Defensive rebound by T. Cavanaugh
8:57.0,,,80-86,,M. Belinelli misses 2-pt shot from 19 ft
8:54.0,,,80-86,,Offensive rebound by T. Cavanaugh
8:40.0,,,80-86,,M. Delaney misses 2-pt shot from 8 ft
8:36.0,Defensive rebound by M. Morris,,80-86,,
8:32.0,M. Morris misses 3-pt shot from 25 ft,,80-86,,
8:28.0,,,80-86,,Defensive rebound by M. Belinelli
8:12.0,,,80-86,,I. Taylor misses 2-pt shot from 22 ft
8:10.0,Defensive rebound by Team,,80-86,,
8:10.0,,,80-86,,K. Bazemore enters the game for M. Belinelli
8:10.0,B. Beal enters the game for M. Scott,,80-86,,
7:57.0,,,80-86,,Personal block foul by I. Taylor (drawn by J. Wall)
7:57.0,,,80-86,,M. Plumlee enters the game for J. Collins
7:57.0,,,80-86,,D. Schroder enters the game for I. Taylor
7:50.0,M. Morris misses 2-pt shot from 18 ft,,80-86,,
7:47.0,,,80-86,,Defensive rebound by K. Bazemore
7:37.0,,,80-89,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
7:20.0,Shooting foul by K. Bazemore (drawn by J. Wall),,80-89,,
7:20.0,J. Wall makes free throw 1 of 2,1,81-89,,
7:20.0,,,81-89,,E. Ilyasova enters the game for M. Delaney
7:20.0,,,81-89,,T. Waller-Prince enters the game for T. Cavanaugh
7:20.0,J. Wall misses free throw 2 of 2,,81-89,,
