time,Miami,pts.away,score,pts.home,Atlanta
5:11.0,J. Winslow makes 2-pt shot from 20 ft,2,17-13,,
4:57.0,,,17-16,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Magette)
4:53.0,Miami full timeout,,17-16,,
4:53.0,,,17-16,,T. Dorsey enters the game for D. Lee
4:42.0,T. Johnson misses 3-pt shot from 25 ft,,17-16,,
4:37.0,Offensive rebound by L. Babbitt,,17-16,,
4:32.0,J. Winslow misses 2-pt shot from 9 ft,,17-16,,
4:27.0,,,17-16,,Defensive rebound by M. Muscala
4:22.0,,,17-18,2,T. Waller-Prince makes 2-pt shot from 5 ft
4:04.0,T. Johnson makes 2-pt shot from 12 ft,2,19-18,,
3:47.0,,,19-21,3,T. Dorsey makes 3-pt shot from 23 ft (assist by T. Waller-Prince)
3:29.0,T. Johnson misses 2-pt shot from 22 ft,,19-21,,
3:29.0,,,19-21,,Defensive rebound by Team
3:29.0,B. Adebayo enters the game for H. Whiteside,,19-21,,
3:29.0,K. Olynyk enters the game for L. Babbitt,,19-21,,
3:13.0,,,19-23,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:13.0,,,19-23,,Shooting foul by K. Olynyk (drawn by T. Waller-Prince)
3:13.0,,,19-23,,A. Cleveland enters the game for J. Magette
3:13.0,,,19-24,1,T. Waller-Prince makes free throw 1 of 1
3:06.0,J. Winslow misses 2-pt shot from 4 ft,,19-24,,
3:02.0,,,19-24,,Defensive rebound by M. Muscala
3:01.0,,,19-24,,Turnover by M. Muscala (bad pass; steal by W. Ellington)
2:55.0,Turnover by J. Winslow (bad pass; steal by T. Dorsey),,19-24,,
2:55.0,Personal foul by K. Olynyk (drawn by T. Dorsey),,19-24,,
2:55.0,,,19-25,1,T. Dorsey makes free throw 1 of 2
2:55.0,J. Richardson enters the game for T. Johnson,,19-25,,
2:55.0,,,19-25,,J. Magette enters the game for T. Waller-Prince
2:55.0,,,19-26,1,T. Dorsey makes free throw 2 of 2
2:44.0,W. Ellington misses 3-pt shot from 25 ft,,19-26,,
2:40.0,,,19-26,,Defensive rebound by T. Dorsey
2:22.0,,,19-26,,M. Muscala misses 3-pt shot from 23 ft
2:20.0,Defensive rebound by W. Ellington,,19-26,,
2:00.0,K. Olynyk misses 2-pt shot from 21 ft,,19-26,,
1:57.0,,,19-26,,Defensive rebound by M. Muscala
1:41.0,,,19-26,,T. Dorsey misses 2-pt shot from 13 ft (block by J. Richardson)
1:39.0,Jump ball: T. Dorsey vs. J. Richardson (K. Olynyk gains possession),,,,Jump ball: T. Dorsey vs. J. Richardson (K. Olynyk gains possession)
1:39.0,Defensive rebound by Team,,19-26,,
1:32.0,J. Richardson makes 2-pt shot from 12 ft,2,21-26,,
1:19.0,,,21-26,,Turnover by T. Dorsey (bad pass; steal by J. Richardson)
1:17.0,Shooting foul by T. Dorsey (drawn by J. Winslow),,21-26,,
1:17.0,J. Winslow makes free throw 1 of 2,1,22-26,,
1:17.0,J. Winslow makes free throw 2 of 2,1,23-26,,
1:07.0,,,23-26,,Turnover by A. Cleveland (traveling)
0:54.0,W. Ellington misses 3-pt shot from 24 ft,,23-26,,
0:54.0,,,23-26,,Defensive rebound by M. Plumlee
0:45.0,,,23-26,,M. Muscala misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by B. Adebayo,,23-26,,
0:38.0,Offensive charge foul by B. Adebayo (drawn by J. Magette),,23-26,,
0:38.0,Turnover by B. Adebayo (offensive foul),,23-26,,
0:32.0,,,23-26,,M. Muscala misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by Team,,23-26,,
0:08.0,K. Olynyk misses 2-pt shot from 10 ft,,23-26,,
0:03.0,Offensive rebound by B. Adebayo,,23-26,,
0:03.0,B. Adebayo misses 2-pt shot at rim,,23-26,,
0:03.0,,,23-26,,Defensive rebound by A. Cleveland
0:01.0,,,23-29,3,A. Cleveland makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-29,,Turnover by T. Waller-Prince (bad pass; steal by B. Adebayo)
11:34.0,J. Richardson misses 2-pt shot from 18 ft,,23-29,,
11:31.0,,,23-29,,Defensive rebound by J. Magette
11:19.0,,,23-31,2,D. Dedmon makes 2-pt shot from 17 ft (assist by J. Collins)
11:00.0,K. Olynyk makes 3-pt shot from 23 ft (assist by J. Winslow),3,26-31,,
10:40.0,,,26-31,,D. Dedmon misses 3-pt shot from 22 ft
10:36.0,Defensive rebound by B. Adebayo,,26-31,,
10:28.0,Shooting foul by T. Waller-Prince (drawn by B. Adebayo),,26-31,,
10:28.0,B. Adebayo makes free throw 1 of 2,1,27-31,,
10:28.0,B. Adebayo makes free throw 2 of 2,1,28-31,,
10:15.0,,,28-34,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by J. Collins)
10:01.0,Turnover by K. Olynyk (lost ball; steal by J. Magette),,28-34,,
9:54.0,,,28-36,2,D. Dedmon makes 2-pt shot at rim (assist by J. Magette)
9:32.0,B. Adebayo misses 2-pt shot from 3 ft (block by M. Muscala),,28-36,,
9:32.0,Offensive rebound by Team,,28-36,,
9:32.0,,,28-36,,I. Taylor enters the game for J. Magette
9:28.0,J. Winslow misses 3-pt shot from 24 ft,,28-36,,
9:26.0,Offensive rebound by K. Olynyk,,28-36,,
9:26.0,K. Olynyk misses 2-pt shot at rim,,28-36,,
9:26.0,Offensive rebound by K. Olynyk,,28-36,,
9:26.0,Turnover by Team (shot clock),,28-36,,
9:10.0,,,28-36,,Turnover by J. Collins (bad pass; steal by B. Adebayo)
9:02.0,W. Ellington makes 3-pt shot from 22 ft (assist by K. Olynyk),3,31-36,,
8:36.0,,,31-36,,I. Taylor misses 2-pt shot from 12 ft
8:34.0,Defensive rebound by B. Adebayo,,31-36,,
8:27.0,J. Winslow makes 2-pt shot from 1 ft (assist by K. Olynyk),2,33-36,,
8:09.0,,,33-36,,T. Waller-Prince misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by W. Ellington,,33-36,,
7:58.0,J. Winslow misses 2-pt shot from 1 ft,,33-36,,
7:54.0,,,33-36,,Defensive rebound by D. Dedmon
7:53.0,,,33-36,,Turnover by D. Dedmon (bad pass; steal by J. Richardson)
7:44.0,J. Richardson misses 2-pt shot from 3 ft,,33-36,,
7:39.0,,,33-36,,Defensive rebound by D. Dedmon
7:36.0,,,33-36,,Atlanta full timeout
7:36.0,,,33-36,,T. Dorsey enters the game for M. Muscala
7:36.0,R. McGruder enters the game for J. Richardson,,33-36,,
7:25.0,,,33-36,,J. Collins misses 2-pt shot from 12 ft
7:22.0,Defensive rebound by R. McGruder,,33-36,,
7:11.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Winslow),3,36-36,,
6:54.0,,,36-36,,T. Waller-Prince misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by K. Olynyk,,36-36,,
6:33.0,K. Olynyk makes 3-pt shot from 24 ft (assist by B. Adebayo),3,39-36,,
6:22.0,,,39-36,,Turnover by J. Collins (out of bounds lost ball)
6:22.0,,,39-36,,D. Lee enters the game for T. Waller-Prince
6:10.0,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Adebayo),3,42-36,,
5:53.0,,,42-36,,J. Collins misses 2-pt shot from 14 ft
5:51.0,Defensive rebound by R. McGruder,,42-36,,
5:46.0,J. Winslow misses 2-pt shot at rim,,42-36,,
5:43.0,,,42-36,,Defensive rebound by J. Collins
5:35.0,,,42-38,2,D. Lee makes 2-pt shot from 22 ft
5:16.0,W. Ellington misses 3-pt shot from 25 ft,,42-38,,
5:12.0,,,42-38,,Defensive rebound by D. Dedmon
5:08.0,,,42-38,,I. Taylor misses 2-pt shot from 2 ft (block by B. Adebayo)
5:06.0,Defensive rebound by K. Olynyk,,42-38,,
5:02.0,K. Olynyk makes 3-pt shot from 25 ft,3,45-38,,
4:32.0,,,45-40,2,J. Collins makes 2-pt shot from 1 ft (assist by I. Taylor)
4:25.0,Miami full timeout,,45-40,,
4:25.0,,,45-40,,J. Magette enters the game for D. Dedmon
4:25.0,,,45-40,,M. Plumlee enters the game for I. Taylor
4:25.0,J. Richardson enters the game for W. Ellington,,45-40,,
4:25.0,T. Johnson enters the game for B. Adebayo,,45-40,,
4:25.0,H. Whiteside enters the game for J. Winslow,,45-40,,
4:15.0,K. Olynyk makes 3-pt shot from 28 ft (assist by T. Johnson),3,48-40,,
3:56.0,,,48-40,,Shooting foul by R. McGruder (drawn by T. Dorsey)
3:56.0,,,48-41,1,T. Dorsey makes free throw 1 of 2
3:56.0,D. Jones enters the game for R. McGruder,,48-41,,
3:56.0,,,48-42,1,T. Dorsey makes free throw 2 of 2
3:46.0,K. Olynyk misses 3-pt shot from 25 ft,,48-42,,
3:38.0,,,48-42,,Defensive rebound by D. Lee
3:36.0,,,48-42,,D. Lee misses 2-pt shot from 16 ft (block by J. Richardson)
3:32.0,Defensive rebound by K. Olynyk,,48-42,,
3:32.0,Offensive charge foul by D. Jones (drawn by J. Magette),,48-42,,
3:32.0,Turnover by D. Jones (offensive foul),,48-42,,
3:32.0,,,48-42,,M. Muscala enters the game for J. Collins
3:17.0,,,48-42,,D. Lee misses 2-pt shot from 1 ft (block by H. Whiteside)
3:16.0,,,48-42,,Offensive rebound by Team
3:14.0,,,48-42,,M. Muscala misses 2-pt shot from 14 ft
3:10.0,Defensive rebound by D. Jones,,48-42,,
3:04.0,,,48-42,,Personal foul by D. Lee (drawn by J. Richardson)
3:04.0,,,48-42,,A. Cleveland enters the game for T. Dorsey
2:56.0,T. Johnson misses 2-pt shot from 10 ft,,48-42,,
2:51.0,,,48-42,,Defensive rebound by M. Plumlee
2:42.0,,,48-42,,M. Muscala misses 3-pt shot from 23 ft
2:37.0,,,48-42,,Offensive rebound by M. Plumlee
2:36.0,,,48-45,3,J. Magette makes 3-pt shot from 28 ft (assist by D. Lee)
2:19.0,,,48-45,,Personal foul by J. Magette (drawn by T. Johnson)
2:19.0,,,48-45,,T. Dorsey enters the game for D. Lee
2:14.0,T. Johnson misses 2-pt shot from 12 ft,,48-45,,
2:11.0,Offensive rebound by H. Whiteside,,48-45,,
2:09.0,H. Whiteside makes 2-pt shot at rim,2,50-45,,
1:55.0,,,50-45,,T. Dorsey misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by H. Whiteside,,50-45,,
1:43.0,H. Whiteside misses 2-pt shot from 11 ft (block by M. Plumlee),,50-45,,
1:40.0,,,50-45,,Defensive rebound by M. Plumlee
1:22.0,,,50-45,,M. Plumlee misses 2-pt shot from 3 ft
1:18.0,Defensive rebound by K. Olynyk,,50-45,,
1:09.0,L. Babbitt enters the game for K. Olynyk,,50-45,,
1:01.0,L. Babbitt misses 3-pt shot from 24 ft,,50-45,,
0:58.0,,,50-45,,Defensive rebound by A. Cleveland
0:47.0,,,50-45,,A. Cleveland misses 2-pt shot from 19 ft
0:43.0,Defensive rebound by H. Whiteside,,50-45,,
0:28.0,J. Richardson makes 2-pt shot at rim,2,52-45,,
0:28.0,Shooting foul by A. Cleveland (drawn by J. Richardson),,52-45,,
0:28.0,J. Winslow enters the game for L. Babbitt,,52-45,,
0:28.0,J. Richardson makes free throw 1 of 1,1,53-45,,
0:05.0,,,53-47,2,J. Magette makes 2-pt shot from 21 ft
0:00.0,T. Johnson misses 2-pt shot from 4 ft (block by J. Magette),,53-47,,
0:00.0,,,53-47,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-47,,Shooting foul by H. Whiteside (drawn by J. Collins)
11:43.0,,,53-47,,J. Collins misses free throw 1 of 2
11:43.0,,,53-47,,Offensive rebound by Team
11:43.0,,,53-47,,J. Collins misses free throw 2 of 2
11:40.0,Defensive rebound by H. Whiteside,,53-47,,
11:21.0,R. McGruder makes 3-pt shot from 24 ft (assist by H. Whiteside),3,56-47,,
11:04.0,,,56-49,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Collins)
10:51.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Richardson),3,59-49,,
10:36.0,,,59-49,,I. Taylor misses 2-pt shot from 6 ft
10:32.0,Defensive rebound by J. Richardson,,59-49,,
10:21.0,T. Johnson misses 2-pt shot from 10 ft,,59-49,,
10:20.0,Offensive rebound by Team,,59-49,,
10:14.0,H. Whiteside misses 2-pt shot from 4 ft (block by J. Collins),,59-49,,
10:09.0,,,59-49,,Defensive rebound by J. Collins
10:06.0,,,59-51,2,I. Taylor makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
9:45.0,J. Richardson misses 2-pt shot from 13 ft,,59-51,,
9:42.0,,,59-51,,Defensive rebound by D. Dedmon
9:37.0,,,59-51,,D. Lee misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by H. Whiteside,,59-51,,
9:20.0,R. McGruder makes 2-pt shot from 11 ft,2,61-51,,
9:05.0,,,61-53,2,T. Waller-Prince makes 2-pt shot from 16 ft
8:45.0,L. Babbitt misses 3-pt shot from 28 ft,,61-53,,
8:42.0,,,61-53,,Defensive rebound by I. Taylor
8:39.0,,,61-53,,I. Taylor misses 2-pt shot from 1 ft (block by T. Johnson)
8:35.0,Defensive rebound by H. Whiteside,,61-53,,
8:28.0,J. Richardson makes 3-pt shot from 24 ft (assist by L. Babbitt),3,64-53,,
8:00.0,,,64-56,3,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Dedmon)
7:49.0,,,64-56,,Personal foul by D. Dedmon (drawn by H. Whiteside)
7:30.0,J. Richardson misses 2-pt shot from 22 ft,,64-56,,
7:27.0,,,64-56,,Defensive rebound by J. Collins
7:21.0,,,64-58,2,J. Collins makes 2-pt shot at rim (assist by I. Taylor)
7:08.0,,,64-58,,Personal foul by T. Waller-Prince (drawn by L. Babbitt)
7:05.0,Offensive foul by T. Johnson (drawn by I. Taylor),,64-58,,
7:05.0,Turnover by T. Johnson (offensive foul),,64-58,,
6:46.0,,,64-58,,T. Waller-Prince misses 2-pt shot from 20 ft
6:43.0,Defensive rebound by H. Whiteside,,64-58,,
6:40.0,Turnover by T. Johnson (lost ball; steal by T. Waller-Prince),,64-58,,
6:33.0,,,64-60,2,D. Lee makes 2-pt shot from 4 ft (assist by T. Waller-Prince)
6:33.0,Miami full timeout,,64-60,,
6:23.0,J. Winslow enters the game for J. Richardson,,64-60,,
6:10.0,R. McGruder makes 3-pt shot from 26 ft,3,67-60,,
5:57.0,,,67-62,2,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
5:33.0,L. Babbitt misses 3-pt shot from 25 ft,,67-62,,
5:31.0,Offensive rebound by T. Johnson,,67-62,,
5:29.0,J. Winslow misses 3-pt shot from 24 ft,,67-62,,
5:26.0,Offensive rebound by H. Whiteside,,67-62,,
5:22.0,J. Winslow makes 3-pt shot from 24 ft (assist by R. McGruder),3,70-62,,
5:07.0,,,70-62,,T. Waller-Prince misses 2-pt shot from 5 ft (block by H. Whiteside)
5:04.0,Defensive rebound by H. Whiteside,,70-62,,
5:02.0,R. McGruder misses 3-pt shot from 25 ft,,70-62,,
4:58.0,,,70-62,,Defensive rebound by D. Dedmon
4:50.0,,,70-64,2,T. Waller-Prince makes 2-pt shot from 12 ft
4:33.0,,,70-64,,Personal foul by I. Taylor (drawn by T. Johnson)
4:33.0,,,70-64,,T. Dorsey enters the game for D. Lee
4:33.0,,,70-64,,J. Magette enters the game for J. Collins
4:33.0,,,70-64,,M. Muscala enters the game for I. Taylor
4:26.0,J. Winslow makes 2-pt shot from 9 ft,2,72-64,,
4:19.0,,,72-64,,T. Waller-Prince misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by H. Whiteside,,72-64,,
4:04.0,L. Babbitt misses 3-pt shot from 22 ft,,72-64,,
4:02.0,,,72-64,,Defensive rebound by T. Dorsey
3:56.0,,,72-64,,Offensive foul by D. Dedmon (drawn by R. McGruder)
3:56.0,,,72-64,,Turnover by D. Dedmon (offensive foul)
3:56.0,K. Olynyk enters the game for H. Whiteside,,72-64,,
3:56.0,B. Adebayo enters the game for L. Babbitt,,72-64,,
3:46.0,J. Winslow misses 3-pt shot from 22 ft,,72-64,,
3:43.0,,,72-64,,Defensive rebound by T. Waller-Prince
3:36.0,,,72-64,,D. Dedmon misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by J. Winslow,,72-64,,
3:28.0,R. McGruder makes 3-pt shot from 23 ft (assist by J. Winslow),3,75-64,,
3:27.0,,,75-64,,Atlanta full timeout
3:27.0,,,75-64,,A. Cleveland enters the game for D. Dedmon
3:15.0,,,75-64,,T. Waller-Prince misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by B. Adebayo,,75-64,,
2:53.0,B. Adebayo misses 2-pt shot from 2 ft (block by M. Muscala),,75-64,,
2:53.0,Offensive rebound by Team,,75-64,,
2:51.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow),2,77-64,,
2:31.0,,,77-64,,T. Dorsey misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by B. Adebayo,,77-64,,
2:26.0,J. Winslow makes 2-pt shot from 9 ft,2,79-64,,
2:26.0,Shooting foul by A. Cleveland (drawn by J. Winslow),,79-64,,
2:26.0,,,79-64,,J. Collins enters the game for T. Waller-Prince
2:26.0,W. Ellington enters the game for T. Johnson,,79-64,,
2:26.0,J. Winslow makes free throw 1 of 1,1,80-64,,
2:02.0,,,80-64,,J. Magette misses 2-pt shot from 19 ft
2:02.0,,,80-64,,Offensive rebound by Team
2:02.0,,,80-64,,Turnover by Team (shot clock)
1:57.0,K. Olynyk makes 2-pt shot at rim (assist by J. Winslow),2,82-64,,
1:43.0,,,82-64,,M. Muscala misses 3-pt shot from 24 ft
1:40.0,Defensive rebound by B. Adebayo,,82-64,,
1:35.0,K. Olynyk misses 3-pt shot from 25 ft,,82-64,,
1:31.0,,,82-64,,Defensive rebound by T. Dorsey
1:26.0,Personal foul by W. Ellington (drawn by J. Collins),,82-64,,
1:16.0,,,82-64,,Turnover by A. Cleveland (bad pass; steal by B. Adebayo)
1:08.0,B. Adebayo misses 2-pt shot from 5 ft (block by A. Cleveland),,82-64,,
1:04.0,Offensive rebound by B. Adebayo,,82-64,,
1:03.0,B. Adebayo misses 2-pt shot from 3 ft,,82-64,,
1:01.0,,,82-64,,Defensive rebound by T. Dorsey
0:49.0,,,82-64,,Shooting foul by K. Olynyk (drawn by A. Cleveland)
0:49.0,,,82-65,1,A. Cleveland makes free throw 1 of 2
0:49.0,,,82-66,1,A. Cleveland makes free throw 2 of 2
0:33.0,J. Winslow makes 2-pt shot from 1 ft,2,84-66,,
0:26.0,,,84-68,2,T. Dorsey makes 2-pt shot from 14 ft (assist by J. Collins)
0:02.0,W. Ellington misses 3-pt shot from 23 ft,,84-68,,
0:02.0,,,84-68,,Defensive rebound by J. Collins
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,B. Adebayo makes 2-pt shot from 12 ft (assist by K. Olynyk),2,86-68,,
11:22.0,,,86-68,,J. Collins misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by J. Richardson,,86-68,,
11:06.0,J. Richardson makes 2-pt shot from 20 ft,2,88-68,,
10:51.0,,,88-68,,J. Magette misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by K. Olynyk,,88-68,,
10:41.0,W. Ellington makes 3-pt shot from 24 ft (assist by K. Olynyk),3,91-68,,
10:26.0,,,91-68,,M. Muscala misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by K. Olynyk,,91-68,,
10:14.0,Turnover by B. Adebayo (bad pass; steal by T. Dorsey),,91-68,,
10:09.0,,,91-68,,T. Dorsey misses 2-pt shot from 18 ft
10:05.0,,,91-68,,Offensive rebound by J. Collins
10:00.0,,,91-71,3,J. Collins makes 3-pt shot from 24 ft (assist by M. Muscala)
9:45.0,J. Winslow misses 2-pt shot from 22 ft,,91-71,,
9:41.0,,,91-71,,Defensive rebound by M. Muscala
9:37.0,,,91-71,,A. White enters the game for J. Magette
9:37.0,,,91-71,,D. Lee enters the game for J. Collins
9:37.0,,,91-71,,T. Cavanaugh enters the game for M. Muscala
9:33.0,,,91-71,,T. Dorsey misses 2-pt shot from 10 ft (block by J. Richardson)
9:31.0,Defensive rebound by J. Richardson,,91-71,,
9:28.0,W. Ellington misses 3-pt shot from 24 ft,,91-71,,
9:24.0,,,91-71,,Defensive rebound by M. Plumlee
9:09.0,,,91-71,,T. Dorsey misses 2-pt shot from 18 ft (block by W. Ellington)
9:06.0,Defensive rebound by B. Adebayo,,91-71,,
9:00.0,J. Winslow misses 2-pt shot from 1 ft,,91-71,,
8:57.0,Offensive rebound by Team,,91-71,,
8:47.0,J. Richardson makes 3-pt shot from 24 ft (assist by K. Olynyk),3,94-71,,
8:29.0,,,94-71,,A. White misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by B. Adebayo,,94-71,,
8:18.0,J. Winslow makes 2-pt shot from 1 ft,2,96-71,,
8:01.0,,,96-71,,A. White misses 3-pt shot from 22 ft
7:56.0,,,96-71,,Offensive rebound by D. Lee
7:56.0,,,96-71,,Turnover by D. Lee (bad pass; steal by J. Richardson)
7:52.0,W. Ellington makes 2-pt shot from 1 ft (assist by J. Richardson),2,98-71,,
7:52.0,,,98-71,,Atlanta full timeout
7:52.0,,,98-71,,A. Cleveland enters the game for T. Dorsey
7:52.0,D. Jones enters the game for J. Richardson,,98-71,,
7:35.0,,,98-71,,Shooting foul by K. Olynyk (drawn by M. Plumlee)
7:35.0,,,98-71,,M. Plumlee misses free throw 1 of 2
7:35.0,,,98-71,,Offensive rebound by Team
7:35.0,L. Babbitt enters the game for K. Olynyk,,98-71,,
7:35.0,,,98-71,,M. Plumlee misses free throw 2 of 2
7:33.0,Defensive rebound by L. Babbitt,,98-71,,
7:14.0,Turnover by B. Adebayo (bad pass),,98-71,,
7:14.0,J. Mickey enters the game for B. Adebayo,,98-71,,
6:56.0,,,98-74,3,T. Cavanaugh makes 3-pt shot from 24 ft (assist by A. White)
6:37.0,D. Jones misses 2-pt shot from 13 ft,,98-74,,
6:33.0,,,98-74,,Defensive rebound by M. Plumlee
6:28.0,,,98-74,,D. Lee misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by W. Ellington,,98-74,,
6:17.0,Turnover by J. Winslow (bad pass; steal by D. Lee),,98-74,,
6:10.0,,,98-74,,A. White misses 3-pt shot from 25 ft
6:06.0,,,98-74,,Offensive rebound by T. Cavanaugh
6:04.0,,,98-74,,T. Cavanaugh misses 2-pt shot from 3 ft
6:02.0,,,98-74,,Offensive rebound by T. Cavanaugh
6:01.0,,,98-74,,T. Cavanaugh misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by J. Mickey,,98-74,,
5:49.0,D. Jones misses 3-pt shot from 23 ft,,98-74,,
5:45.0,,,98-74,,Defensive rebound by A. White
5:29.0,,,98-74,,A. White misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by D. Jones,,98-74,,
5:21.0,Shooting foul by A. Cleveland (drawn by D. Jones),,98-74,,
5:21.0,D. Jones makes free throw 1 of 2,1,99-74,,
5:21.0,,,99-74,,J. Evans enters the game for A. Cleveland
