time,Milwaukee,pts.away,score,pts.home,Orlando
6:58.0,,,13-9,,Turnover by N. Vucevic (bad pass; steal by T. Snell)
6:52.0,E. Bledsoe misses 3-pt shot from 22 ft,,13-9,,
6:48.0,,,13-9,,Defensive rebound by M. Hezonja
6:34.0,,,13-11,2,N. Vucevic makes 2-pt shot from 8 ft
6:12.0,Turnover by E. Bledsoe (bad pass; steal by N. Vucevic),,13-11,,
6:05.0,,,13-11,,D. Augustin misses 2-pt shot from 3 ft
6:04.0,,,13-11,,Offensive rebound by Team
6:00.0,,,13-14,3,D. Augustin makes 3-pt shot from 26 ft (assist by N. Vucevic)
5:45.0,Turnover by E. Bledsoe (bad pass; steal by D. Augustin),,13-14,,
5:42.0,,,13-14,,Shooting foul by E. Bledsoe (drawn by J. Simmons)
5:42.0,,,13-15,1,J. Simmons makes free throw 1 of 2
5:42.0,,,13-15,,K. Birch enters the game for J. Isaac
5:42.0,S. Brown enters the game for T. Snell,,13-15,,
5:42.0,B. Jennings enters the game for E. Bledsoe,,13-15,,
5:42.0,,,13-16,1,J. Simmons makes free throw 2 of 2
5:30.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,13-16,,
5:30.0,Offensive rebound by Team,,13-16,,
5:30.0,,,13-16,,Loose ball foul by K. Birch (drawn by J. Henson)
5:25.0,J. Henson misses 2-pt shot from 19 ft,,13-16,,
5:21.0,,,13-16,,Defensive rebound by Team
5:03.0,,,13-16,,N. Vucevic misses 2-pt shot from 10 ft
5:03.0,,,13-16,,Offensive rebound by Team
5:03.0,Personal foul by S. Brown (drawn by M. Hezonja),,13-16,,
5:03.0,J. Parker enters the game for G. Antetokounmpo,,13-16,,
4:55.0,,,13-18,2,D. Augustin makes 2-pt shot from 1 ft (assist by N. Vucevic)
4:47.0,J. Henson misses 2-pt shot from 7 ft,,13-18,,
4:44.0,,,13-18,,Defensive rebound by K. Birch
4:43.0,Personal foul by B. Jennings (drawn by D. Augustin),,13-18,,
4:43.0,,,13-19,1,D. Augustin makes free throw 1 of 2
4:43.0,,,13-20,1,D. Augustin makes free throw 2 of 2
4:32.0,K. Middleton misses 2-pt shot from 19 ft,,13-20,,
4:30.0,,,13-20,,Defensive rebound by K. Birch
4:28.0,,,13-22,2,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Augustin)
4:28.0,Milwaukee full timeout,,13-22,,
4:28.0,T. Zeller enters the game for J. Henson,,13-22,,
4:08.0,J. Parker makes 2-pt shot from 15 ft,2,15-22,,
3:53.0,,,15-24,2,N. Vucevic makes 2-pt shot from 4 ft (assist by J. Simmons)
3:53.0,,,15-24,,Shooting foul by T. Zeller (drawn by N. Vucevic)
3:53.0,,,15-25,1,N. Vucevic makes free throw 1 of 1
3:43.0,K. Middleton misses 2-pt shot from 19 ft,,15-25,,
3:40.0,,,15-25,,Defensive rebound by M. Hezonja
3:27.0,Personal foul by B. Jennings (drawn by D. Augustin),,15-25,,
3:27.0,,,15-26,1,D. Augustin makes free throw 1 of 2
3:27.0,,,15-26,,S. Mack enters the game for M. Hezonja
3:27.0,,,15-27,1,D. Augustin makes free throw 2 of 2
3:09.0,K. Middleton makes 2-pt shot from 1 ft (assist by J. Parker),2,17-27,,
2:52.0,,,17-30,3,J. Simmons makes 3-pt shot from 22 ft (assist by N. Vucevic)
2:41.0,J. Parker makes 3-pt shot from 25 ft (assist by K. Middleton),3,20-30,,
2:31.0,,,20-33,3,J. Simmons makes 3-pt shot from 26 ft
2:19.0,G. Antetokounmpo enters the game for B. Jennings,,20-33,,
2:19.0,J. Terry enters the game for K. Middleton,,20-33,,
2:13.0,S. Brown misses 3-pt shot from 22 ft,,20-33,,
2:13.0,Offensive rebound by T. Zeller,,20-33,,
2:09.0,J. Terry misses 3-pt shot from 25 ft,,20-33,,
2:09.0,,,20-33,,Defensive rebound by N. Vucevic
2:01.0,,,20-36,3,D. Augustin makes 3-pt shot from 26 ft
1:39.0,J. Parker misses 2-pt shot from 17 ft,,20-36,,
1:37.0,Offensive rebound by Team,,20-36,,
1:22.0,T. Zeller misses 2-pt shot from 4 ft,,20-36,,
1:19.0,,,20-36,,Defensive rebound by N. Vucevic
1:09.0,,,20-36,,J. Simmons misses 3-pt shot from 27 ft
1:06.0,Defensive rebound by G. Antetokounmpo,,20-36,,
1:02.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by K. Birch),,20-36,,
1:02.0,,,20-36,,Defensive rebound by Team
0:45.0,,,20-36,,S. Mack misses 3-pt shot from 22 ft
0:41.0,Defensive rebound by T. Zeller,,20-36,,
0:35.0,S. Brown misses 2-pt shot from 16 ft,,20-36,,
0:31.0,,,20-36,,Defensive rebound by N. Vucevic
0:15.0,,,20-36,,N. Vucevic misses 3-pt shot from 26 ft
0:10.0,,,20-36,,Offensive rebound by J. Simmons
0:06.0,,,20-36,,D. Augustin misses 3-pt shot from 29 ft
0:02.0,Defensive rebound by G. Antetokounmpo,,20-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Parker misses 2-pt shot from 16 ft,,20-36,,
11:45.0,,,20-36,,Defensive rebound by S. Mack
11:31.0,,,20-36,,Turnover by B. Biyombo (bad pass; steal by T. Zeller)
11:16.0,Turnover by J. Terry (bad pass; steal by W. Iwundu),,20-36,,
11:09.0,,,20-36,,W. Iwundu misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by T. Zeller,,20-36,,
11:00.0,S. Muhammad makes 2-pt shot at rim (assist by G. Antetokounmpo),2,22-36,,
10:41.0,,,22-36,,B. Biyombo misses 2-pt shot from 15 ft
10:41.0,Defensive rebound by J. Parker,,22-36,,
10:33.0,S. Muhammad makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,24-36,,
10:33.0,Shooting foul by W. Iwundu (drawn by S. Muhammad),,24-36,,
10:33.0,,,24-36,,J. Isaac enters the game for K. Birch
10:33.0,S. Muhammad misses free throw 1 of 1,,24-36,,
10:29.0,,,24-36,,Defensive rebound by J. Isaac
10:11.0,,,24-36,,W. Iwundu misses 2-pt shot from 2 ft (block by T. Zeller)
10:11.0,,,24-36,,Offensive rebound by Team
10:11.0,Jump ball: W. Iwundu vs. T. Zeller (R. Purvis gains possession),,,,Jump ball: W. Iwundu vs. T. Zeller (R. Purvis gains possession)
10:10.0,,,24-36,,R. Purvis misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by G. Antetokounmpo,,24-36,,
10:01.0,Shooting foul by J. Isaac (drawn by G. Antetokounmpo),,24-36,,
10:01.0,G. Antetokounmpo makes free throw 1 of 2,1,25-36,,
10:01.0,G. Antetokounmpo makes free throw 2 of 2,1,26-36,,
9:39.0,,,26-36,,S. Mack misses 2-pt shot from 9 ft
9:37.0,,,26-36,,Offensive rebound by B. Biyombo
9:35.0,,,26-36,,S. Mack misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by S. Muhammad,,26-36,,
9:27.0,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by S. Muhammad),2,28-36,,
9:27.0,,,28-36,,Orlando full timeout
9:15.0,,,28-36,,Turnover by J. Isaac (bad pass; steal by J. Terry)
9:11.0,J. Terry makes 2-pt shot from 1 ft,2,30-36,,
8:46.0,,,30-39,3,R. Purvis makes 3-pt shot from 26 ft (assist by W. Iwundu)
8:32.0,S. Muhammad misses 2-pt shot from 11 ft (block by R. Purvis),,30-39,,
8:32.0,,,30-39,,Defensive rebound by S. Mack
8:27.0,,,30-41,2,W. Iwundu makes 2-pt shot at rim (assist by S. Mack)
8:11.0,J. Parker misses 3-pt shot from 25 ft,,30-41,,
8:10.0,Offensive rebound by T. Zeller,,30-41,,
8:10.0,,,30-41,,Personal foul by R. Purvis (drawn by T. Zeller)
7:49.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,32-41,,
7:31.0,,,32-43,2,R. Purvis makes 2-pt shot from 16 ft
7:10.0,J. Terry makes 3-pt shot from 26 ft,3,35-43,,
6:50.0,,,35-43,,Turnover by R. Purvis (bad pass; steal by G. Antetokounmpo)
6:41.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,37-43,,
6:32.0,,,37-43,,J. Isaac misses 2-pt shot from 17 ft
6:32.0,Defensive rebound by J. Parker,,37-43,,
6:22.0,,,37-43,,Personal foul by W. Iwundu (drawn by G. Antetokounmpo)
6:22.0,,,37-43,,M. Hezonja enters the game for S. Mack
6:22.0,,,37-43,,N. Vucevic enters the game for B. Biyombo
6:22.0,,,37-43,,D. Augustin enters the game for W. Iwundu
6:22.0,E. Bledsoe enters the game for J. Terry,,37-43,,
6:19.0,J. Parker makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,39-43,,
6:19.0,,,39-43,,Orlando full timeout
6:19.0,,,39-43,,J. Simmons enters the game for R. Purvis
6:19.0,J. Henson enters the game for T. Zeller,,39-43,,
5:54.0,,,39-43,,D. Augustin misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by J. Henson,,39-43,,
5:36.0,E. Bledsoe misses 2-pt shot from 6 ft,,39-43,,
5:34.0,,,39-43,,Defensive rebound by M. Hezonja
5:26.0,,,39-46,3,D. Augustin makes 3-pt shot from 26 ft (assist by J. Simmons)
5:08.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,39-46,,
5:06.0,Offensive rebound by S. Muhammad,,39-46,,
5:06.0,S. Muhammad misses 2-pt shot from 2 ft (block by J. Isaac),,39-46,,
5:06.0,Offensive rebound by Team,,39-46,,
5:06.0,T. Snell enters the game for J. Parker,,39-46,,
5:06.0,K. Middleton enters the game for S. Muhammad,,39-46,,
4:59.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,39-46,,
4:55.0,Offensive rebound by G. Antetokounmpo,,39-46,,
4:55.0,G. Antetokounmpo misses 2-pt shot at rim,,39-46,,
4:53.0,,,39-46,,Defensive rebound by J. Isaac
4:47.0,,,39-46,,M. Hezonja misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by G. Antetokounmpo,,39-46,,
4:40.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,41-46,,
4:14.0,,,41-46,,Turnover by D. Augustin (bad pass; steal by E. Bledsoe)
4:10.0,E. Bledsoe makes 2-pt shot from 1 ft,2,43-46,,
3:51.0,,,43-46,,N. Vucevic misses 2-pt shot from 10 ft
3:50.0,,,43-46,,Offensive rebound by D. Augustin
3:50.0,Personal foul by K. Middleton (drawn by D. Augustin),,43-46,,
3:50.0,,,43-46,,K. Birch enters the game for J. Isaac
3:50.0,,,43-46,,S. Mack enters the game for M. Hezonja
3:47.0,,,43-48,2,J. Simmons makes 2-pt shot from 1 ft (assist by S. Mack)
3:47.0,,,43-48,,Shooting foul by G. Antetokounmpo (drawn by J. Simmons)
3:47.0,,,43-48,,J. Simmons misses free throw 1 of 1
3:44.0,Defensive rebound by J. Henson,,43-48,,
3:37.0,E. Bledsoe makes 2-pt shot from 2 ft,2,45-48,,
3:30.0,,,45-51,3,N. Vucevic makes 3-pt shot from 26 ft (assist by J. Simmons)
3:23.0,Shooting foul by S. Mack (drawn by E. Bledsoe),,45-51,,
3:23.0,E. Bledsoe makes free throw 1 of 2,1,46-51,,
3:23.0,J. Terry enters the game for G. Antetokounmpo,,46-51,,
3:23.0,E. Bledsoe misses free throw 2 of 2,,46-51,,
3:21.0,,,46-51,,Defensive rebound by N. Vucevic
3:13.0,Violation by J. Henson (kicked ball),,46-51,,
3:00.0,,,46-51,,Turnover by K. Birch (turnover)
2:46.0,J. Henson makes 2-pt shot from 7 ft (assist by K. Middleton),2,48-51,,
2:26.0,,,48-54,3,J. Simmons makes 3-pt shot from 24 ft (assist by N. Vucevic)
2:03.0,K. Middleton misses 2-pt shot from 16 ft,,48-54,,
2:01.0,,,48-54,,Defensive rebound by S. Mack
1:54.0,,,48-56,2,N. Vucevic makes 2-pt shot from 19 ft (assist by S. Mack)
1:53.0,Milwaukee full timeout,,48-56,,
1:40.0,J. Terry misses 3-pt shot from 23 ft,,48-56,,
1:36.0,,,48-56,,Defensive rebound by K. Birch
1:16.0,,,48-56,,S. Mack misses 3-pt shot from 23 ft
1:12.0,Defensive rebound by J. Terry,,48-56,,
1:04.0,Shooting foul by D. Augustin (drawn by K. Middleton),,48-56,,
1:04.0,K. Middleton makes free throw 1 of 2,1,49-56,,
1:04.0,G. Antetokounmpo enters the game for J. Terry,,49-56,,
1:04.0,K. Middleton makes free throw 2 of 2,1,50-56,,
0:50.0,,,50-56,,Turnover by D. Augustin (traveling)
0:39.0,E. Bledsoe misses 3-pt shot from 25 ft,,50-56,,
0:36.0,,,50-56,,Defensive rebound by J. Simmons
0:28.0,,,50-58,2,J. Simmons makes 2-pt shot from 3 ft (assist by S. Mack)
0:09.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,52-58,,
0:01.0,,,52-61,3,J. Simmons makes 3-pt shot from 25 ft (assist by S. Mack)
0:00.0,E. Bledsoe misses 3-pt shot from 35 ft,,52-61,,
0:00.0,Offensive rebound by Team,,52-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Middleton makes 2-pt shot from 18 ft,2,54-61,,
11:33.0,,,54-61,,J. Simmons misses 2-pt shot from 6 ft
11:30.0,,,54-61,,Offensive rebound by J. Simmons
11:29.0,,,54-63,2,J. Simmons makes 2-pt shot from 1 ft
11:19.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,56-63,,
11:04.0,,,56-66,3,J. Simmons makes 3-pt shot from 27 ft (assist by N. Vucevic)
10:50.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,56-66,,
10:47.0,,,56-66,,Defensive rebound by J. Isaac
10:25.0,,,56-66,,J. Isaac misses 2-pt shot from 1 ft
10:22.0,Defensive rebound by E. Bledsoe,,56-66,,
10:20.0,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe),2,58-66,,
10:05.0,,,58-66,,Turnover by J. Simmons (lost ball; steal by E. Bledsoe)
9:59.0,E. Bledsoe makes 3-pt shot from 22 ft (assist by K. Middleton),3,61-66,,
9:33.0,,,61-69,3,J. Simmons makes 3-pt shot from 26 ft (assist by N. Vucevic)
9:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,63-69,,
8:59.0,,,63-69,,Turnover by N. Vucevic (bad pass; steal by G. Antetokounmpo)
8:45.0,E. Bledsoe makes 2-pt shot from 1 ft,2,65-69,,
8:28.0,,,65-69,,Shooting foul by J. Henson (drawn by N. Vucevic)
8:28.0,,,65-70,1,N. Vucevic makes free throw 1 of 2
8:28.0,,,65-70,,K. Birch enters the game for J. Isaac
8:28.0,,,65-71,1,N. Vucevic makes free throw 2 of 2
8:14.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,67-71,,
7:53.0,,,67-73,2,K. Birch makes 2-pt shot from 14 ft (assist by N. Vucevic)
7:42.0,K. Middleton misses 2-pt shot from 6 ft,,67-73,,
7:40.0,,,67-73,,Defensive rebound by N. Vucevic
7:21.0,,,67-75,2,N. Vucevic makes 2-pt shot from 18 ft (assist by K. Birch)
7:21.0,Milwaukee full timeout,,67-75,,
7:03.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,70-75,,
6:45.0,,,70-75,,M. Hezonja misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by G. Antetokounmpo,,70-75,,
6:38.0,,,70-75,,Loose ball foul by D. Augustin (drawn by G. Antetokounmpo)
6:32.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,70-75,,
6:27.0,,,70-75,,Defensive rebound by D. Augustin
6:11.0,,,70-77,2,M. Hezonja makes 2-pt shot from 3 ft (assist by D. Augustin)
6:00.0,K. Middleton makes 3-pt shot from 22 ft (assist by T. Snell),3,73-77,,
5:46.0,,,73-77,,N. Vucevic misses 2-pt shot from 8 ft
5:43.0,Defensive rebound by J. Henson,,73-77,,
5:42.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,75-77,,
5:42.0,Shooting foul by J. Simmons (drawn by G. Antetokounmpo),,75-77,,
5:42.0,,,75-77,,Orlando full timeout
5:42.0,S. Brown enters the game for T. Snell,,75-77,,
5:42.0,G. Antetokounmpo makes free throw 1 of 1,1,76-77,,
5:24.0,,,76-77,,M. Hezonja misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by Team,,76-77,,
5:03.0,E. Bledsoe misses 2-pt shot from 18 ft,,76-77,,
4:59.0,,,76-77,,Defensive rebound by M. Hezonja
4:52.0,,,76-77,,Turnover by N. Vucevic (bad pass; steal by E. Bledsoe)
4:48.0,E. Bledsoe makes 2-pt shot at rim,2,78-77,,
4:23.0,,,78-77,,N. Vucevic misses 2-pt shot from 10 ft (block by J. Henson)
4:22.0,,,78-77,,Offensive rebound by Team
4:22.0,J. Parker enters the game for G. Antetokounmpo,,78-77,,
4:19.0,,,78-77,,D. Augustin misses 2-pt shot from 20 ft (block by E. Bledsoe)
4:15.0,Defensive rebound by J. Henson,,78-77,,
3:57.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,80-77,,
3:45.0,,,80-79,2,K. Birch makes 2-pt shot from 1 ft (assist by M. Hezonja)
3:30.0,J. Henson misses 2-pt shot from 1 ft,,80-79,,
3:28.0,,,80-79,,Defensive rebound by N. Vucevic
3:19.0,,,80-81,2,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin)
3:00.0,Turnover by J. Parker (bad pass; steal by N. Vucevic),,80-81,,
2:56.0,,,80-81,,J. Simmons misses 2-pt shot from 8 ft
2:52.0,,,80-81,,Offensive rebound by K. Birch
2:50.0,,,80-83,2,J. Simmons makes 2-pt shot at rim (assist by K. Birch)
2:33.0,E. Bledsoe misses 2-pt shot from 3 ft,,80-83,,
2:29.0,,,80-83,,Defensive rebound by K. Birch
2:24.0,,,80-83,,M. Hezonja misses 2-pt shot from 2 ft (block by J. Parker)
2:24.0,,,80-83,,Offensive rebound by M. Hezonja
2:24.0,,,80-85,2,M. Hezonja makes 2-pt shot from 2 ft
2:24.0,Milwaukee full timeout,,80-85,,
2:24.0,,,80-85,,S. Mack enters the game for M. Hezonja
2:24.0,,,80-85,,B. Biyombo enters the game for N. Vucevic
2:24.0,,,80-85,,W. Iwundu enters the game for K. Birch
2:24.0,T. Zeller enters the game for E. Bledsoe,,80-85,,
2:24.0,B. Jennings enters the game for J. Henson,,80-85,,
2:12.0,T. Zeller misses 2-pt shot at rim,,80-85,,
2:09.0,,,80-85,,Defensive rebound by Team
1:52.0,,,80-87,2,B. Biyombo makes 2-pt shot from 1 ft (assist by W. Iwundu)
1:52.0,,,80-87,,Shooting foul by S. Brown (drawn by B. Biyombo)
1:52.0,,,80-87,,J. Isaac enters the game for D. Augustin
1:52.0,J. Terry enters the game for K. Middleton,,80-87,,
1:52.0,G. Antetokounmpo enters the game for S. Brown,,80-87,,
1:52.0,,,80-87,,B. Biyombo misses free throw 1 of 1
1:50.0,Defensive rebound by J. Parker,,80-87,,
1:27.0,T. Zeller misses 2-pt shot from 14 ft,,80-87,,
1:27.0,,,80-87,,Defensive rebound by Team
1:27.0,Loose ball foul by J. Parker (drawn by J. Isaac),,80-87,,
1:27.0,,,80-87,,J. Isaac misses free throw 1 of 2
1:27.0,,,80-87,,Offensive rebound by Team
1:27.0,T. Maker enters the game for T. Zeller,,80-87,,
1:27.0,,,80-88,1,J. Isaac makes free throw 2 of 2
1:13.0,Turnover by T. Maker (lost ball; steal by W. Iwundu),,80-88,,
1:03.0,,,80-88,,J. Simmons misses 2-pt shot from 5 ft
1:00.0,Defensive rebound by G. Antetokounmpo,,80-88,,
0:53.0,B. Jennings misses 3-pt shot from 26 ft,,80-88,,
0:51.0,Offensive rebound by T. Maker,,80-88,,
0:45.0,B. Jennings misses 2-pt shot from 2 ft,,80-88,,
0:43.0,,,80-88,,Defensive rebound by W. Iwundu
0:39.0,,,80-91,3,J. Isaac makes 3-pt shot from 25 ft (assist by W. Iwundu)
0:28.0,J. Parker misses 3-pt shot from 25 ft,,80-91,,
0:25.0,,,80-91,,Defensive rebound by J. Isaac
0:07.0,,,80-91,,J. Simmons misses 3-pt shot from 24 ft (block by J. Terry)
0:04.0,Defensive rebound by G. Antetokounmpo,,80-91,,
0:04.0,,,80-91,,Personal foul by S. Mack (drawn by G. Antetokounmpo)
0:04.0,,,80-91,,K. Birch enters the game for J. Isaac
0:00.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by B. Biyombo),,80-91,,
0:00.0,Offensive rebound by Team,,80-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,80-91,,M. Hezonja misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by B. Jennings,,80-91,,
11:33.0,J. Parker makes 2-pt shot from 1 ft (assist by B. Jennings),2,82-91,,
11:09.0,,,82-91,,S. Mack misses 2-pt shot from 16 ft
11:07.0,,,82-91,,Offensive rebound by B. Biyombo
11:04.0,,,82-91,,Turnover by Team (shot clock)
10:59.0,Turnover by B. Jennings (bad pass; steal by W. Iwundu),,82-91,,
10:53.0,,,82-93,2,W. Iwundu makes 2-pt shot from 2 ft
10:32.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,84-93,,
10:13.0,,,84-93,,M. Hezonja misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by G. Antetokounmpo,,84-93,,
10:02.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,84-93,,
9:58.0,,,84-93,,Defensive rebound by W. Iwundu
9:50.0,,,84-95,2,S. Mack makes 2-pt shot from 1 ft
9:38.0,Shooting foul by M. Hezonja (drawn by J. Parker),,84-95,,
9:38.0,J. Parker misses free throw 1 of 2,,84-95,,
9:38.0,Offensive rebound by Team,,84-95,,
9:38.0,J. Henson enters the game for T. Maker,,84-95,,
9:38.0,J. Parker makes free throw 2 of 2,1,85-95,,
9:28.0,,,85-95,,Turnover by M. Hezonja (out of bounds lost ball)
9:28.0,K. Middleton enters the game for J. Parker,,85-95,,
9:17.0,B. Jennings makes 2-pt shot from 16 ft,2,87-95,,
9:16.0,,,87-95,,Orlando full timeout
9:16.0,E. Bledsoe enters the game for B. Jennings,,87-95,,
8:57.0,,,87-95,,Turnover by S. Mack (lost ball; steal by J. Henson)
8:49.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,90-95,,
8:39.0,,,90-98,3,S. Mack makes 3-pt shot from 25 ft (assist by B. Biyombo)
8:24.0,K. Middleton misses 3-pt shot from 26 ft,,90-98,,
8:20.0,,,90-98,,Defensive rebound by K. Birch
8:05.0,,,90-101,3,M. Hezonja makes 3-pt shot from 26 ft
7:39.0,Offensive charge foul by G. Antetokounmpo (drawn by W. Iwundu),,90-101,,
7:39.0,Turnover by G. Antetokounmpo (offensive foul),,90-101,,
7:39.0,,,90-101,,D. Augustin enters the game for M. Hezonja
7:39.0,,,90-101,,J. Simmons enters the game for W. Iwundu
7:17.0,,,90-101,,D. Augustin misses 3-pt shot from 25 ft
7:13.0,,,90-101,,Offensive rebound by B. Biyombo
6:52.0,,,90-104,3,D. Augustin makes 3-pt shot from 26 ft (assist by K. Birch)
6:35.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,92-104,,
6:23.0,,,92-106,2,D. Augustin makes 2-pt shot from 9 ft
6:22.0,Milwaukee full timeout,,92-106,,
6:12.0,Turnover by K. Middleton (bad pass; steal by S. Mack),,92-106,,
6:07.0,,,92-108,2,S. Mack makes 2-pt shot from 1 ft
5:55.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,94-108,,
5:40.0,,,94-108,,Turnover by S. Mack (out of bounds lost ball)
5:28.0,Turnover by K. Middleton (bad pass; steal by D. Augustin),,94-108,,
5:24.0,,,94-108,,J. Simmons misses 3-pt shot from 22 ft
5:23.0,,,94-108,,Offensive rebound by Team
5:23.0,,,94-108,,N. Vucevic enters the game for B. Biyombo
5:17.0,,,94-108,,Turnover by J. Simmons (bad pass; steal by J. Terry)
5:15.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry),2,96-108,,
5:15.0,Shooting foul by K. Birch (drawn by G. Antetokounmpo),,96-108,,
5:15.0,G. Antetokounmpo makes free throw 1 of 1,1,97-108,,
4:58.0,Personal foul by K. Middleton (drawn by K. Birch),,97-108,,
4:50.0,,,97-108,,J. Simmons misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by J. Henson,,97-108,,
4:38.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,99-108,,
