time,LA Clippers,pts.away,score,pts.home,Minnesota
3:00.0,S. Thornwell enters the game for W. Johnson,,20-25,,
2:49.0,,,20-25,,A. Wiggins misses 2-pt shot from 17 ft
2:46.0,Defensive rebound by S. Thornwell,,20-25,,
2:39.0,L. Williams makes 2-pt shot from 1 ft,2,22-25,,
2:39.0,Shooting foul by G. Dieng (drawn by L. Williams),,22-25,,
2:39.0,J. Evans enters the game for A. Rivers,,22-25,,
2:39.0,L. Williams makes free throw 1 of 1,1,23-25,,
2:24.0,,,23-25,,A. Wiggins misses 2-pt shot from 4 ft (block by S. Dekker)
2:22.0,,,23-25,,Offensive rebound by A. Wiggins
2:22.0,Personal foul by J. Evans (drawn by A. Wiggins),,23-25,,
2:22.0,,,23-25,,T. Jones enters the game for J. Teague
2:09.0,,,23-25,,A. Wiggins misses 2-pt shot from 19 ft
2:06.0,Defensive rebound by S. Dekker,,23-25,,
1:48.0,S. Dekker misses 3-pt shot from 25 ft,,23-25,,
1:45.0,,,23-25,,Defensive rebound by T. Jones
1:37.0,,,23-25,,J. Crawford misses 2-pt shot from 16 ft
1:34.0,Defensive rebound by J. Evans,,23-25,,
1:30.0,Shooting foul by J. Crawford (drawn by S. Dekker),,23-25,,
1:30.0,S. Dekker misses free throw 1 of 2,,23-25,,
1:30.0,Offensive rebound by Team,,23-25,,
1:30.0,S. Dekker makes free throw 2 of 2,1,24-25,,
1:15.0,,,24-25,,Shooting foul by S. Thornwell (drawn by A. Wiggins)
1:15.0,,,24-26,1,A. Wiggins makes free throw 1 of 2
1:15.0,,,24-27,1,A. Wiggins makes free throw 2 of 2
1:06.0,L. Williams makes 2-pt shot from 10 ft,2,26-27,,
1:06.0,Shooting foul by G. Dieng (drawn by L. Williams),,26-27,,
1:06.0,L. Williams makes free throw 1 of 1,1,27-27,,
0:50.0,,,27-27,,J. Crawford misses 3-pt shot from 22 ft
0:47.0,Defensive rebound by M. Harrell,,27-27,,
0:43.0,Turnover by L. Williams (bad pass; steal by G. Dieng),,27-27,,
0:36.0,,,27-27,,Shooting foul by M. Harrell (drawn by T. Jones)
0:36.0,,,27-28,1,T. Jones makes free throw 1 of 2
0:36.0,,,27-29,1,T. Jones makes free throw 2 of 2
0:15.0,S. Dekker misses 2-pt shot from 20 ft,,27-29,,
0:12.0,,,27-29,,Defensive rebound by T. Gibson
0:01.0,,,27-31,2,J. Crawford makes 2-pt shot from 7 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,27-31,,Shooting foul by S. Thornwell (drawn by J. Butler)
11:37.0,,,27-32,1,J. Butler makes free throw 1 of 2
11:37.0,,,27-33,1,J. Butler makes free throw 2 of 2
11:28.0,Shooting foul by T. Jones (drawn by J. Evans),,27-33,,
11:28.0,J. Evans makes free throw 1 of 2,1,28-33,,
11:28.0,J. Evans makes free throw 2 of 2,1,29-33,,
11:06.0,,,29-33,,G. Dieng misses 3-pt shot from 22 ft
11:03.0,Defensive rebound by S. Thornwell,,29-33,,
10:58.0,S. Thornwell misses 3-pt shot from 24 ft,,29-33,,
10:55.0,,,29-33,,Defensive rebound by T. Jones
10:49.0,,,29-33,,K. Towns misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by Team,,29-33,,
10:28.0,J. Evans misses 2-pt shot from 5 ft,,29-33,,
10:25.0,Offensive rebound by M. Harrell,,29-33,,
10:24.0,M. Harrell makes 2-pt shot from 1 ft,2,31-33,,
10:18.0,,,31-35,2,J. Crawford makes 2-pt shot from 18 ft
9:56.0,M. Harrell misses 2-pt shot from 7 ft,,31-35,,
9:52.0,,,31-35,,Defensive rebound by G. Dieng
9:43.0,,,31-35,,G. Dieng misses 2-pt shot from 16 ft
9:41.0,Defensive rebound by L. Williams,,31-35,,
9:38.0,Turnover by L. Williams (bad pass),,31-35,,
9:38.0,A. Rivers enters the game for J. Evans,,31-35,,
9:27.0,Personal foul by S. Thornwell (drawn by J. Butler),,31-35,,
9:27.0,W. Johnson enters the game for S. Thornwell,,31-35,,
9:14.0,,,31-35,,J. Butler misses 2-pt shot from 21 ft
9:10.0,Defensive rebound by M. Harrell,,31-35,,
9:03.0,M. Harrell misses 2-pt shot from 7 ft,,31-35,,
8:58.0,,,31-35,,Defensive rebound by J. Butler
8:54.0,,,31-38,3,T. Jones makes 3-pt shot from 22 ft (assist by J. Butler)
8:52.0,LA Clippers full timeout,,31-38,,
8:52.0,J. Wilson enters the game for M. Harrell,,31-38,,
8:38.0,A. Rivers makes 2-pt shot from 12 ft,2,33-38,,
8:38.0,Shooting foul by J. Crawford (drawn by A. Rivers),,33-38,,
8:38.0,D. Jordan enters the game for W. Reed,,33-38,,
8:38.0,A. Rivers makes free throw 1 of 1,1,34-38,,
8:22.0,,,34-38,,J. Butler misses 2-pt shot from 2 ft (block by W. Johnson)
8:18.0,,,34-38,,Offensive rebound by J. Butler
8:15.0,,,34-38,,J. Crawford misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by D. Jordan,,34-38,,
8:06.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,36-38,,
7:46.0,,,36-41,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Crawford)
7:31.0,J. Wilson makes 3-pt shot from 25 ft (assist by A. Rivers),3,39-41,,
7:16.0,,,39-41,,J. Crawford misses 3-pt shot from 23 ft
7:16.0,Defensive rebound by D. Jordan,,39-41,,
7:07.0,Turnover by W. Johnson (bad pass; steal by T. Jones),,39-41,,
7:00.0,,,39-43,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
6:41.0,W. Johnson misses 2-pt shot from 18 ft,,39-43,,
6:40.0,Offensive rebound by L. Williams,,39-43,,
6:37.0,L. Williams misses 2-pt shot at rim,,39-43,,
6:36.0,,,39-43,,Defensive rebound by K. Towns
6:31.0,,,39-45,2,G. Dieng makes 2-pt shot from 1 ft (assist by T. Jones)
6:30.0,LA Clippers full timeout,,39-45,,
6:30.0,,,39-45,,J. Teague enters the game for T. Jones
6:30.0,,,39-45,,T. Gibson enters the game for G. Dieng
6:30.0,,,39-45,,A. Wiggins enters the game for J. Butler
6:13.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,41-45,,
5:57.0,,,41-47,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
5:38.0,J. Wilson misses 3-pt shot from 23 ft,,41-47,,
5:35.0,,,41-47,,Defensive rebound by K. Towns
5:19.0,,,41-47,,T. Gibson misses 2-pt shot from 8 ft
5:17.0,,,41-47,,Offensive rebound by T. Gibson
5:03.0,,,41-47,,K. Towns misses 2-pt shot from 10 ft
5:00.0,,,41-47,,Offensive rebound by T. Gibson
4:58.0,,,41-49,2,T. Gibson makes 2-pt shot at rim
4:39.0,A. Rivers makes 3-pt shot from 25 ft,3,44-49,,
4:28.0,,,44-49,,J. Teague misses 2-pt shot from 1 ft (block by D. Jordan)
4:26.0,Defensive rebound by A. Rivers,,44-49,,
4:18.0,A. Rivers makes 3-pt shot from 24 ft,3,47-49,,
4:01.0,,,47-52,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
3:45.0,Turnover by J. Wilson (traveling),,47-52,,
3:45.0,,,47-52,,J. Butler enters the game for J. Crawford
3:28.0,,,47-52,,J. Butler misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by W. Johnson,,47-52,,
3:20.0,Turnover by A. Rivers (bad pass),,47-52,,
3:07.0,,,47-52,,J. Teague misses 3-pt shot from 26 ft
3:07.0,Defensive rebound by Team,,47-52,,
2:54.0,W. Johnson misses 3-pt shot from 23 ft,,47-52,,
2:50.0,,,47-52,,Defensive rebound by K. Towns
2:46.0,Personal foul by L. Williams (drawn by J. Butler),,47-52,,
2:31.0,,,47-52,,Shooting foul by W. Johnson (drawn by J. Butler)
2:31.0,,,47-53,1,J. Butler makes free throw 1 of 2
2:31.0,,,47-54,1,J. Butler makes free throw 2 of 2
2:17.0,W. Johnson misses 2-pt shot from 18 ft,,47-54,,
2:15.0,Offensive rebound by A. Rivers,,47-54,,
2:09.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,49-54,,
1:46.0,,,49-54,,A. Wiggins misses 3-pt shot from 23 ft
1:42.0,,,49-54,,Offensive rebound by K. Towns
1:41.0,,,49-56,2,T. Gibson makes 2-pt shot at rim (assist by K. Towns)
1:21.0,J. Wilson misses 3-pt shot from 22 ft,,49-56,,
1:17.0,,,49-56,,Defensive rebound by T. Gibson
1:15.0,,,49-56,,Offensive charge foul by K. Towns (drawn by J. Wilson)
1:15.0,,,49-56,,Turnover by K. Towns (offensive foul)
1:15.0,,,49-56,,G. Dieng enters the game for K. Towns
1:00.0,L. Williams makes 3-pt shot from 29 ft (assist by A. Rivers),3,52-56,,
0:38.0,Personal foul by D. Jordan (drawn by J. Teague),,52-56,,
0:38.0,,,52-57,1,J. Teague makes free throw 1 of 2
0:38.0,,,52-58,1,J. Teague makes free throw 2 of 2
0:27.0,A. Rivers makes 3-pt shot from 25 ft,3,55-58,,
0:07.0,,,55-58,,G. Dieng misses 3-pt shot from 22 ft
0:04.0,,,55-58,,Offensive rebound by T. Gibson
0:04.0,,,55-60,2,T. Gibson makes 2-pt shot from 4 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,55-62,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
11:22.0,Turnover by C. Williams (bad pass),,55-62,,
11:09.0,,,55-62,,A. Wiggins misses 2-pt shot from 19 ft
11:05.0,Defensive rebound by D. Jordan,,55-62,,
10:47.0,J. Wilson makes 3-pt shot from 24 ft (assist by A. Rivers),3,58-62,,
10:23.0,,,58-65,3,J. Butler makes 3-pt shot from 22 ft (assist by J. Teague)
10:00.0,Offensive foul by W. Johnson (drawn by K. Towns),,58-65,,
10:00.0,Turnover by W. Johnson (offensive foul),,58-65,,
9:47.0,Personal foul by A. Rivers (drawn by K. Towns),,58-65,,
9:32.0,,,58-65,,Turnover by K. Towns (lost ball; steal by A. Rivers)
9:27.0,Turnover by A. Rivers (lost ball; steal by J. Butler),,58-65,,
9:20.0,,,58-65,,K. Towns misses 2-pt shot from 1 ft
9:17.0,,,58-65,,Offensive rebound by K. Towns
9:16.0,,,58-65,,K. Towns misses 2-pt shot from 1 ft
9:16.0,Defensive rebound by A. Rivers,,58-65,,
9:05.0,C. Williams makes 3-pt shot from 25 ft,3,61-65,,
8:51.0,,,61-65,,A. Wiggins misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by D. Jordan,,61-65,,
8:32.0,Turnover by D. Jordan (bad pass; steal by A. Wiggins),,61-65,,
8:15.0,,,61-65,,Turnover by J. Butler (bad pass; steal by W. Johnson)
8:07.0,Shooting foul by J. Butler (drawn by A. Rivers),,61-65,,
8:07.0,A. Rivers makes free throw 1 of 2,1,62-65,,
8:07.0,A. Rivers makes free throw 2 of 2,1,63-65,,
7:46.0,,,63-65,,J. Teague misses 2-pt shot from 5 ft
7:43.0,Defensive rebound by D. Jordan,,63-65,,
7:42.0,W. Johnson misses 2-pt shot from 2 ft (block by J. Butler),,63-65,,
7:41.0,,,63-65,,Defensive rebound by K. Towns
7:33.0,Personal foul by J. Wilson (drawn by J. Butler),,63-65,,
7:17.0,,,63-65,,A. Wiggins misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by Team,,63-65,,
7:15.0,,,63-65,,Loose ball foul by T. Gibson (drawn by D. Jordan)
6:57.0,C. Williams misses 2-pt shot from 9 ft,,63-65,,
6:54.0,Offensive rebound by C. Williams,,63-65,,
6:51.0,C. Williams misses 2-pt shot from 5 ft,,63-65,,
6:51.0,,,63-65,,Defensive rebound by K. Towns
6:31.0,,,63-65,,J. Butler misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by D. Jordan,,63-65,,
6:23.0,A. Rivers makes 3-pt shot from 24 ft,3,66-65,,
6:05.0,,,66-67,2,A. Wiggins makes 2-pt shot at rim (assist by J. Teague)
5:42.0,Turnover by W. Johnson (lost ball; steal by K. Towns),,66-67,,
5:19.0,,,66-67,,J. Teague misses 2-pt shot from 8 ft
5:18.0,Defensive rebound by D. Jordan,,66-67,,
4:58.0,Turnover by A. Rivers (out of bounds lost ball),,66-67,,
4:58.0,,,66-67,,Minnesota full timeout
4:58.0,L. Williams enters the game for C. Williams,,66-67,,
4:42.0,,,66-67,,Shooting foul by W. Johnson (drawn by K. Towns)
4:42.0,,,66-68,1,K. Towns makes free throw 1 of 2
4:42.0,,,66-68,,K. Towns misses free throw 2 of 2
4:40.0,Defensive rebound by A. Rivers,,66-68,,
4:33.0,W. Johnson misses 2-pt shot from 21 ft,,66-68,,
4:29.0,Offensive rebound by D. Jordan,,66-68,,
4:09.0,Turnover by W. Johnson (bad pass; steal by J. Teague),,66-68,,
4:05.0,,,66-68,,J. Teague misses 2-pt shot from 2 ft (block by W. Johnson)
4:04.0,,,66-68,,Offensive rebound by Team
4:04.0,S. Thornwell enters the game for W. Johnson,,66-68,,
3:55.0,,,66-68,,Shooting foul by J. Wilson (drawn by A. Wiggins)
3:55.0,,,66-69,1,A. Wiggins makes free throw 1 of 2
3:55.0,,,66-69,,G. Dieng enters the game for K. Towns
3:55.0,,,66-70,1,A. Wiggins makes free throw 2 of 2
3:42.0,Shooting foul by J. Teague (drawn by A. Rivers),,66-70,,
3:42.0,A. Rivers makes free throw 1 of 3,1,67-70,,
3:42.0,A. Rivers makes free throw 2 of 3,1,68-70,,
3:42.0,S. Dekker enters the game for J. Wilson,,68-70,,
3:42.0,A. Rivers misses free throw 3 of 3,,68-70,,
3:40.0,,,68-70,,Defensive rebound by T. Gibson
3:22.0,,,68-72,2,J. Butler makes 2-pt shot from 2 ft (assist by G. Dieng)
3:22.0,,,68-72,,Shooting foul by S. Thornwell (drawn by J. Butler)
3:22.0,,,68-72,,J. Butler misses free throw 1 of 1
3:19.0,,,68-72,,Offensive rebound by T. Gibson
3:02.0,,,68-74,2,J. Butler makes 2-pt shot from 12 ft
2:45.0,Turnover by L. Williams (bad pass),,68-74,,
2:45.0,LA Clippers full timeout,,68-74,,
2:45.0,,,68-74,,J. Crawford enters the game for J. Butler
2:45.0,J. Evans enters the game for A. Rivers,,68-74,,
2:33.0,,,68-74,,Turnover by G. Dieng (step out of bounds)
2:24.0,L. Williams makes 2-pt shot from 16 ft,2,70-74,,
2:09.0,,,70-74,,J. Teague misses 2-pt shot from 7 ft (block by J. Evans)
2:09.0,,,70-74,,Offensive rebound by Team
2:04.0,,,70-74,,A. Wiggins misses 2-pt shot from 10 ft
2:02.0,,,70-74,,Offensive rebound by Team
2:02.0,Loose ball foul by D. Jordan (drawn by T. Gibson),,70-74,,
2:02.0,M. Harrell enters the game for D. Jordan,,70-74,,
2:02.0,,,70-75,1,T. Gibson makes free throw 1 of 2
2:02.0,,,70-75,,T. Jones enters the game for J. Teague
2:02.0,,,70-76,1,T. Gibson makes free throw 2 of 2
1:53.0,L. Williams makes 2-pt shot from 13 ft (assist by J. Evans),2,72-76,,
1:36.0,,,72-76,,A. Wiggins misses 2-pt shot from 6 ft (block by S. Dekker)
1:34.0,Defensive rebound by L. Williams,,72-76,,
1:33.0,Turnover by L. Williams (lost ball; steal by G. Dieng),,72-76,,
1:26.0,,,72-78,2,J. Crawford makes 2-pt shot from 1 ft (assist by G. Dieng)
1:23.0,Shooting foul by J. Crawford (drawn by M. Harrell),,72-78,,
1:23.0,M. Harrell makes free throw 1 of 2,1,73-78,,
1:23.0,M. Harrell makes free throw 2 of 2,1,74-78,,
1:04.0,,,74-78,,G. Dieng misses 2-pt shot from 10 ft
1:01.0,,,74-78,,Offensive rebound by T. Gibson
0:52.0,,,74-78,,Turnover by T. Gibson (turnover)
0:43.0,S. Dekker misses 3-pt shot from 24 ft,,74-78,,
0:39.0,Offensive rebound by M. Harrell,,74-78,,
0:37.0,L. Williams misses 3-pt shot from 24 ft,,74-78,,
0:37.0,,,74-78,,Defensive rebound by T. Jones
0:28.0,,,74-78,,J. Crawford misses 2-pt shot from 23 ft
0:25.0,Defensive rebound by J. Evans,,74-78,,
0:03.0,Shooting foul by J. Crawford (drawn by M. Harrell),,74-78,,
0:03.0,M. Harrell makes free throw 1 of 2,1,75-78,,
0:03.0,C. Williams enters the game for L. Williams,,75-78,,
0:03.0,M. Harrell makes free throw 2 of 2,1,76-78,,
0:01.0,,,76-78,,T. Gibson misses 2-pt shot from 21 ft
0:01.0,,,76-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Shooting foul by G. Dieng (drawn by L. Williams),,76-78,,
11:47.0,L. Williams makes free throw 1 of 2,1,77-78,,
11:47.0,L. Williams makes free throw 2 of 2,1,78-78,,
11:33.0,,,78-80,2,G. Dieng makes 2-pt shot from 18 ft (assist by J. Butler)
11:21.0,L. Williams misses 3-pt shot from 25 ft,,78-80,,
11:19.0,,,78-80,,Defensive rebound by G. Dieng
10:58.0,,,78-83,3,J. Crawford makes 3-pt shot from 25 ft (assist by T. Jones)
10:37.0,S. Thornwell misses 2-pt shot from 3 ft,,78-83,,
10:33.0,,,78-83,,Defensive rebound by K. Towns
10:27.0,,,78-83,,J. Butler misses 2-pt shot from 11 ft
10:24.0,,,78-83,,Offensive rebound by G. Dieng
10:16.0,,,78-83,,J. Crawford misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by L. Williams,,78-83,,
10:07.0,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams),2,80-83,,
9:49.0,,,80-83,,Offensive foul by K. Towns (drawn by M. Harrell)
9:49.0,,,80-83,,Turnover by K. Towns (offensive foul)
9:41.0,J. Evans makes 2-pt shot at rim (assist by L. Williams),2,82-83,,
9:24.0,,,82-83,,T. Jones misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by Team,,82-83,,
9:12.0,M. Harrell makes 2-pt shot at rim (assist by L. Williams),2,84-83,,
9:11.0,,,84-83,,Minnesota full timeout
9:11.0,,,84-83,,J. Teague enters the game for T. Jones
9:11.0,,,84-83,,T. Gibson enters the game for G. Dieng
8:49.0,,,84-86,3,J. Crawford makes 3-pt shot from 26 ft (assist by J. Teague)
8:35.0,L. Williams makes 3-pt shot from 24 ft,3,87-86,,
8:14.0,,,87-86,,J. Crawford misses 3-pt shot from 22 ft
8:13.0,Defensive rebound by J. Evans,,87-86,,
7:57.0,M. Harrell makes 2-pt shot from 1 ft (assist by J. Evans),2,89-86,,
7:40.0,,,89-86,,K. Towns misses 2-pt shot from 5 ft
7:40.0,,,89-86,,Offensive rebound by T. Gibson
7:38.0,,,89-86,,Shooting foul by S. Thornwell (drawn by T. Gibson)
7:38.0,,,89-87,1,T. Gibson makes free throw 1 of 2
7:38.0,,,89-87,,A. Wiggins enters the game for J. Crawford
7:38.0,A. Rivers enters the game for S. Thornwell,,89-87,,
7:38.0,D. Jordan enters the game for M. Harrell,,89-87,,
7:38.0,,,89-88,1,T. Gibson makes free throw 2 of 2
7:22.0,S. Dekker misses 3-pt shot from 24 ft,,89-88,,
7:22.0,,,89-88,,Defensive rebound by Team
7:19.0,Loose ball foul by D. Jordan (drawn by T. Gibson),,89-88,,
7:19.0,W. Johnson enters the game for J. Evans,,89-88,,
7:19.0,J. Wilson enters the game for S. Dekker,,89-88,,
7:08.0,,,89-90,2,J. Butler makes 2-pt shot from 1 ft
7:08.0,,,89-90,,Shooting foul by A. Rivers (drawn by J. Butler)
7:08.0,,,89-91,1,J. Butler makes free throw 1 of 1
6:54.0,A. Rivers makes 3-pt shot from 25 ft (assist by W. Johnson),3,92-91,,
6:32.0,,,92-91,,J. Butler misses 2-pt shot from 5 ft
6:31.0,,,92-91,,Offensive rebound by J. Butler
6:31.0,,,92-91,,Shooting foul by L. Williams (drawn by J. Butler)
6:31.0,,,92-92,1,J. Butler makes free throw 1 of 2
6:31.0,,,92-92,,J. Butler misses free throw 2 of 2
6:29.0,Defensive rebound by J. Wilson,,92-92,,
6:21.0,A. Rivers misses 3-pt shot from 25 ft,,92-92,,
6:17.0,,,92-92,,Defensive rebound by T. Gibson
6:02.0,,,92-95,3,J. Butler makes 3-pt shot from 26 ft
6:00.0,LA Clippers full timeout,,92-95,,
5:43.0,L. Williams misses 3-pt shot from 22 ft,,92-95,,
5:41.0,Offensive rebound by D. Jordan,,92-95,,
5:40.0,D. Jordan makes 2-pt shot at rim,2,94-95,,
5:22.0,,,94-95,,A. Wiggins misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by A. Rivers,,94-95,,
5:12.0,A. Rivers misses 2-pt shot from 14 ft,,94-95,,
5:12.0,,,94-95,,Defensive rebound by K. Towns
4:51.0,,,94-97,2,J. Butler makes 2-pt shot from 5 ft
4:35.0,L. Williams makes 2-pt shot at rim (assist by A. Rivers),2,96-97,,
4:12.0,,,96-97,,J. Butler misses 2-pt shot from 10 ft
4:11.0,,,96-97,,Offensive rebound by Team
4:04.0,Jump ball: K. Towns vs. D. Jordan (T. Gibson gains possession),,,,Jump ball: K. Towns vs. D. Jordan (T. Gibson gains possession)
4:01.0,,,96-99,2,J. Butler makes 2-pt shot from 7 ft
4:01.0,,,96-99,,Shooting foul by A. Rivers (drawn by J. Butler)
4:01.0,,,96-100,1,J. Butler makes free throw 1 of 1
3:49.0,J. Wilson misses 3-pt shot from 25 ft,,96-100,,
3:46.0,,,96-100,,Defensive rebound by Team
3:46.0,Loose ball foul by W. Johnson (drawn by T. Gibson),,96-100,,
3:46.0,,,96-101,1,T. Gibson makes free throw 1 of 2
3:46.0,,,96-102,1,T. Gibson makes free throw 2 of 2
3:25.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,98-102,,
2:57.0,,,98-104,2,A. Wiggins makes 2-pt shot from 16 ft (assist by J. Teague)
2:38.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,100-104,,
2:12.0,,,100-104,,Turnover by A. Wiggins (lost ball; steal by W. Johnson)
2:04.0,L. Williams misses 2-pt shot from 6 ft,,100-104,,
2:01.0,,,100-104,,Defensive rebound by J. Butler
1:48.0,,,100-104,,J. Butler misses 2-pt shot from 2 ft (block by D. Jordan)
1:47.0,,,100-104,,Offensive rebound by J. Butler
1:46.0,,,100-106,2,J. Butler makes 2-pt shot from 2 ft
1:46.0,LA Clippers full timeout,,100-106,,
1:44.0,J. Wilson misses 3-pt shot from 24 ft,,100-106,,
1:44.0,,,100-106,,Defensive rebound by J. Butler
1:23.0,,,100-106,,J. Butler misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by L. Williams,,100-106,,
1:16.0,J. Wilson makes 3-pt shot from 23 ft (assist by L. Williams),3,103-106,,
0:57.0,,,103-108,2,J. Butler makes 2-pt shot from 3 ft
