time,Charlotte,pts.away,score,pts.home,Toronto
3:32.0,Turnover by D. Howard (offensive foul),,15-18,,
3:32.0,,,15-18,,Toronto full timeout
3:32.0,,,15-18,,P. Siakam enters the game for S. Ibaka
3:32.0,,,15-18,,J. Poeltl enters the game for J. Valanciunas
3:24.0,,,15-18,,Offensive foul by J. Poeltl (drawn by K. Walker)
3:24.0,,,15-18,,Turnover by J. Poeltl (offensive foul)
3:13.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum),2,17-18,,
2:56.0,,,17-18,,Shooting foul by J. Lamb (drawn by C. Miles)
2:56.0,,,17-19,1,C. Miles makes free throw 1 of 2
2:56.0,C. Zeller enters the game for D. Howard,,17-19,,
2:56.0,,,17-20,1,C. Miles makes free throw 2 of 2
2:42.0,C. Zeller misses 2-pt shot from 8 ft,,17-20,,
2:38.0,,,17-20,,Defensive rebound by K. Lowry
2:34.0,,,17-20,,K. Lowry misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by N. Batum,,17-20,,
2:22.0,K. Walker makes 2-pt shot from 1 ft,2,19-20,,
2:12.0,,,19-20,,C. Miles misses 2-pt shot from 2 ft (block by J. Lamb)
2:12.0,,,19-20,,Offensive rebound by K. Lowry
2:10.0,,,19-20,,Turnover by K. Lowry (bad pass)
2:10.0,,,19-20,,F. VanVleet enters the game for K. Lowry
2:10.0,M. Carter-Williams enters the game for K. Walker,,19-20,,
2:02.0,Turnover by N. Batum (bad pass; steal by D. DeRozan),,19-20,,
1:57.0,,,19-22,2,D. DeRozan makes 2-pt shot from 1 ft
1:40.0,,,19-22,,Personal foul by C. Miles (drawn by F. Kaminsky)
1:40.0,T. Graham enters the game for N. Batum,,19-22,,
1:24.0,F. Kaminsky misses 2-pt shot from 19 ft,,19-22,,
1:22.0,,,19-22,,Defensive rebound by D. DeRozan
1:17.0,,,19-24,2,D. DeRozan makes 2-pt shot from 7 ft
1:04.0,J. Lamb makes 2-pt shot from 17 ft,2,21-24,,
0:38.0,,,21-26,2,C. Miles makes 2-pt shot from 19 ft (assist by F. VanVleet)
0:27.0,J. Lamb misses 2-pt shot from 7 ft,,21-26,,
0:25.0,,,21-26,,Defensive rebound by P. Siakam
0:05.0,,,21-26,,C. Miles misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by Team,,21-26,,
0:00.0,J. Lamb misses 3-pt shot from 31 ft,,21-26,,
0:00.0,Offensive rebound by Team,,21-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,21-26,,F. VanVleet misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by C. Zeller,,21-26,,
11:35.0,J. Lamb misses 2-pt shot from 4 ft (block by J. Poeltl),,21-26,,
11:31.0,,,21-26,,Defensive rebound by J. Poeltl
11:10.0,Jump ball: C. Miles vs. C. Zeller (T. Graham gains possession),,,,Jump ball: C. Miles vs. C. Zeller (T. Graham gains possession)
11:10.0,,,21-26,,Turnover by C. Miles (turnover; steal by C. Zeller)
10:55.0,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lamb),2,23-26,,
10:43.0,,,23-26,,Shooting foul by J. Lamb (drawn by D. Wright)
10:43.0,,,23-27,1,D. Wright makes free throw 1 of 2
10:43.0,,,23-28,1,D. Wright makes free throw 2 of 2
10:25.0,C. Zeller makes 2-pt shot from 11 ft (assist by M. Carter-Williams),2,25-28,,
10:09.0,,,25-28,,C. Miles misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by C. Zeller,,25-28,,
10:01.0,Shooting foul by J. Poeltl (drawn by J. Lamb),,25-28,,
10:01.0,J. Lamb makes free throw 1 of 2,1,26-28,,
10:01.0,J. Lamb makes free throw 2 of 2,1,27-28,,
9:49.0,,,27-31,3,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright)
9:33.0,Shooting foul by J. Poeltl (drawn by F. Kaminsky),,27-31,,
9:33.0,F. Kaminsky makes free throw 1 of 2,1,28-31,,
9:33.0,,,28-31,,L. Nogueira enters the game for J. Poeltl
9:33.0,F. Kaminsky makes free throw 2 of 2,1,29-31,,
9:19.0,,,29-31,,Shooting foul by C. Zeller (drawn by D. Wright)
9:19.0,,,29-32,1,D. Wright makes free throw 1 of 2
9:19.0,,,29-32,,D. Wright misses free throw 2 of 2
9:15.0,Defensive rebound by M. Carter-Williams,,29-32,,
9:08.0,,,29-32,,Personal foul by P. Siakam (drawn by F. Kaminsky)
9:04.0,Turnover by J. Lamb (bad pass; steal by L. Nogueira),,29-32,,
8:56.0,,,29-34,2,C. Miles makes 2-pt shot at rim (assist by D. Wright)
8:36.0,F. Kaminsky misses 2-pt shot from 12 ft,,29-34,,
8:34.0,,,29-34,,Defensive rebound by C. Miles
8:30.0,,,29-36,2,F. VanVleet makes 2-pt shot at rim (assist by C. Miles)
8:21.0,M. Carter-Williams misses 2-pt shot from 2 ft,,29-36,,
8:18.0,,,29-36,,Defensive rebound by P. Siakam
8:16.0,,,29-36,,C. Miles misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by Team,,29-36,,
8:01.0,J. Lamb makes 2-pt shot from 7 ft,2,31-36,,
7:42.0,,,31-36,,F. VanVleet misses 2-pt shot from 3 ft
7:40.0,Defensive rebound by C. Zeller,,31-36,,
7:40.0,,,31-36,,Personal foul by P. Siakam (drawn by J. Lamb)
7:40.0,K. Walker enters the game for T. Graham,,31-36,,
7:21.0,F. Kaminsky misses 2-pt shot from 1 ft (block by P. Siakam),,31-36,,
7:18.0,Offensive rebound by K. Walker,,31-36,,
7:15.0,J. Lamb makes 3-pt shot from 26 ft (assist by K. Walker),3,34-36,,
7:02.0,,,34-39,3,F. VanVleet makes 3-pt shot from 25 ft (assist by D. Wright)
6:55.0,Charlotte full timeout,,34-39,,
6:55.0,,,34-39,,K. Lowry enters the game for C. Miles
6:50.0,J. Lamb misses 2-pt shot from 10 ft,,34-39,,
6:47.0,,,34-39,,Defensive rebound by L. Nogueira
6:38.0,,,34-39,,Turnover by F. VanVleet (lost ball; steal by M. Carter-Williams)
6:26.0,K. Walker makes 2-pt shot from 14 ft,2,36-39,,
6:05.0,,,36-39,,F. VanVleet misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by M. Carter-Williams,,36-39,,
5:56.0,Turnover by M. Carter-Williams (lost ball; steal by P. Siakam),,36-39,,
5:52.0,,,36-41,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
5:36.0,K. Walker makes 2-pt shot from 6 ft,2,38-41,,
5:21.0,,,38-43,2,F. VanVleet makes 2-pt shot from 1 ft (assist by L. Nogueira)
5:06.0,F. Kaminsky misses 2-pt shot from 17 ft,,38-43,,
5:03.0,,,38-43,,Defensive rebound by D. Wright
5:01.0,Personal foul by C. Zeller (drawn by D. Wright),,38-43,,
5:01.0,,,38-43,,J. Valanciunas enters the game for F. VanVleet
5:01.0,,,38-43,,D. DeRozan enters the game for P. Siakam
5:01.0,,,38-43,,S. Ibaka enters the game for L. Nogueira
5:01.0,M. Williams enters the game for J. Lamb,,38-43,,
5:01.0,N. Batum enters the game for C. Zeller,,38-43,,
5:01.0,D. Howard enters the game for F. Kaminsky,,38-43,,
4:52.0,,,38-46,3,S. Ibaka makes 3-pt shot from 27 ft (assist by D. Wright)
4:35.0,K. Walker misses 2-pt shot from 18 ft,,38-46,,
4:33.0,,,38-46,,Defensive rebound by S. Ibaka
4:16.0,,,38-46,,D. DeRozan misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by M. Williams,,38-46,,
4:05.0,Shooting foul by K. Lowry (drawn by M. Carter-Williams),,38-46,,
4:05.0,M. Carter-Williams makes free throw 1 of 2,1,39-46,,
4:05.0,,,39-46,,N. Powell enters the game for D. Wright
4:05.0,M. Carter-Williams makes free throw 2 of 2,1,40-46,,
3:53.0,,,40-46,,K. Lowry misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by M. Williams,,40-46,,
3:43.0,K. Walker misses 2-pt shot from 9 ft,,40-46,,
3:39.0,Offensive rebound by D. Howard,,40-46,,
3:39.0,D. Howard misses 2-pt shot at rim,,40-46,,
3:38.0,,,40-46,,Defensive rebound by D. DeRozan
3:27.0,,,40-46,,N. Powell misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by D. Howard,,40-46,,
3:14.0,N. Batum misses 2-pt shot from 21 ft,,40-46,,
3:12.0,,,40-46,,Defensive rebound by N. Powell
2:54.0,,,40-49,3,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry)
2:40.0,Shooting foul by N. Powell (drawn by K. Walker),,40-49,,
2:40.0,,,40-49,,Toronto full timeout
2:40.0,M. Kidd-Gilchrist enters the game for M. Carter-Williams,,40-49,,
2:40.0,K. Walker makes free throw 1 of 2,1,41-49,,
2:40.0,K. Walker misses free throw 2 of 2,,41-49,,
2:38.0,,,41-49,,Defensive rebound by J. Valanciunas
2:19.0,,,41-49,,D. DeRozan misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by M. Kidd-Gilchrist,,41-49,,
2:02.0,D. Howard misses 2-pt shot from 3 ft,,41-49,,
2:01.0,,,41-49,,Defensive rebound by J. Valanciunas
1:58.0,Personal foul by M. Kidd-Gilchrist (drawn by S. Ibaka),,41-49,,
1:49.0,,,41-49,,N. Powell misses 2-pt shot from 8 ft
1:46.0,,,41-49,,Offensive rebound by J. Valanciunas
1:44.0,,,41-49,,J. Valanciunas misses 2-pt shot from 3 ft (block by N. Batum)
1:44.0,Defensive rebound by Team,,41-49,,
1:32.0,M. Williams misses 3-pt shot from 26 ft,,41-49,,
1:30.0,,,41-49,,Defensive rebound by S. Ibaka
1:24.0,,,41-51,2,K. Lowry makes 2-pt shot from 17 ft
1:08.0,K. Walker misses 3-pt shot from 25 ft,,41-51,,
1:06.0,,,41-51,,Defensive rebound by J. Valanciunas
0:55.0,,,41-51,,Shooting foul by M. Kidd-Gilchrist (drawn by S. Ibaka)
0:55.0,,,41-52,1,S. Ibaka makes free throw 1 of 2
0:55.0,T. Graham enters the game for M. Kidd-Gilchrist,,41-52,,
0:55.0,,,41-52,,S. Ibaka misses free throw 2 of 2
0:53.0,Defensive rebound by D. Howard,,41-52,,
0:42.0,N. Batum makes 2-pt shot from 15 ft (assist by K. Walker),2,43-52,,
0:38.0,,,43-52,,Offensive charge foul by D. DeRozan (drawn by K. Walker)
0:38.0,,,43-52,,Turnover by D. DeRozan (offensive foul)
0:31.0,K. Walker misses 3-pt shot from 26 ft,,43-52,,
0:29.0,,,43-52,,Defensive rebound by N. Powell
0:06.0,,,43-52,,N. Powell misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by N. Batum,,43-52,,
0:00.0,M. Williams misses 3-pt shot from 28 ft,,43-52,,
0:00.0,Offensive rebound by Team,,43-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,43-54,2,D. DeRozan makes 2-pt shot from 9 ft
11:16.0,D. Howard makes 2-pt shot from 14 ft (assist by N. Batum),2,45-54,,
10:53.0,,,45-54,,J. Valanciunas misses 2-pt shot from 5 ft (block by D. Howard)
10:53.0,,,45-54,,Offensive rebound by Team
10:50.0,,,45-54,,D. DeRozan misses 2-pt shot from 13 ft
10:48.0,Defensive rebound by D. Howard,,45-54,,
10:41.0,M. Williams misses 2-pt shot from 12 ft,,45-54,,
10:38.0,,,45-54,,Defensive rebound by D. DeRozan
10:30.0,,,45-54,,J. Valanciunas misses 2-pt shot from 6 ft (block by M. Williams)
10:27.0,,,45-54,,Offensive rebound by J. Valanciunas
10:26.0,,,45-56,2,J. Valanciunas makes 2-pt shot at rim
10:06.0,D. Howard misses 2-pt shot from 21 ft,,45-56,,
10:04.0,,,45-56,,Defensive rebound by K. Lowry
9:53.0,,,45-56,,K. Lowry misses 2-pt shot from 6 ft
9:51.0,Defensive rebound by M. Kidd-Gilchrist,,45-56,,
9:41.0,N. Batum misses 3-pt shot from 26 ft,,45-56,,
9:38.0,,,45-56,,Defensive rebound by S. Ibaka
9:26.0,,,45-58,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
9:08.0,Shooting foul by D. DeRozan (drawn by N. Batum),,45-58,,
9:08.0,N. Batum makes free throw 1 of 2,1,46-58,,
9:08.0,N. Batum makes free throw 2 of 2,1,47-58,,
8:45.0,,,47-58,,D. DeRozan misses 2-pt shot from 7 ft
8:42.0,,,47-58,,Offensive rebound by J. Valanciunas
8:40.0,,,47-58,,K. Lowry misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by M. Williams,,47-58,,
8:24.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by N. Batum),2,49-58,,
8:11.0,,,49-58,,Turnover by J. Valanciunas (lost ball; steal by N. Batum)
8:06.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,51-58,,
7:49.0,,,51-58,,Turnover by J. Valanciunas (bad pass)
7:34.0,K. Walker makes 3-pt shot from 27 ft (assist by N. Batum),3,54-58,,
7:18.0,,,54-58,,Turnover by K. Lowry (bad pass)
7:04.0,K. Walker misses 3-pt shot from 22 ft,,54-58,,
7:01.0,Offensive rebound by M. Kidd-Gilchrist,,54-58,,
7:00.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Valanciunas),,54-58,,
7:00.0,Offensive rebound by D. Howard,,54-58,,
6:58.0,D. Howard makes 2-pt shot at rim,2,56-58,,
6:58.0,,,56-58,,Toronto full timeout
6:37.0,,,56-61,3,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Lowry)
6:13.0,Turnover by M. Williams (bad pass; steal by S. Ibaka),,56-61,,
6:04.0,,,56-64,3,J. Valanciunas makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:42.0,Offensive charge foul by M. Kidd-Gilchrist (drawn by K. Lowry),,56-64,,
5:42.0,Turnover by M. Kidd-Gilchrist (offensive foul),,56-64,,
5:31.0,,,56-64,,D. DeRozan misses 2-pt shot from 15 ft
5:31.0,,,56-64,,Offensive rebound by Team
5:31.0,Loose ball foul by D. Howard (drawn by J. Valanciunas),,56-64,,
5:13.0,,,56-66,2,K. Lowry makes 2-pt shot at rim
4:58.0,Shooting foul by M. Miller (drawn by N. Batum),,56-66,,
4:58.0,N. Batum makes free throw 1 of 2,1,57-66,,
4:58.0,,,57-66,,C. Miles enters the game for M. Miller
4:58.0,N. Batum makes free throw 2 of 2,1,58-66,,
4:41.0,,,58-66,,K. Lowry misses 3-pt shot from 28 ft
4:38.0,Defensive rebound by D. Howard,,58-66,,
4:32.0,Shooting foul by C. Miles (drawn by D. Howard),,58-66,,
4:32.0,D. Howard misses free throw 1 of 2,,58-66,,
4:32.0,Offensive rebound by Team,,58-66,,
4:32.0,D. Howard makes free throw 2 of 2,1,59-66,,
4:19.0,,,59-66,,J. Valanciunas misses 2-pt shot from 6 ft
4:17.0,Defensive rebound by M. Kidd-Gilchrist,,59-66,,
4:11.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Valanciunas),,59-66,,
4:11.0,,,59-66,,Defensive rebound by D. DeRozan
4:06.0,,,59-69,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
3:41.0,,,59-69,,Personal foul by K. Lowry (drawn by D. Howard)
3:41.0,F. Kaminsky enters the game for M. Williams,,59-69,,
3:41.0,J. Lamb enters the game for M. Kidd-Gilchrist,,59-69,,
3:37.0,Shooting foul by J. Valanciunas (drawn by D. Howard),,59-69,,
3:37.0,D. Howard misses free throw 1 of 2,,59-69,,
3:37.0,Offensive rebound by Team,,59-69,,
3:37.0,,,59-69,,J. Poeltl enters the game for J. Valanciunas
3:37.0,D. Howard makes free throw 2 of 2,1,60-69,,
3:27.0,,,60-71,2,K. Lowry makes 2-pt shot from 15 ft
3:10.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,62-71,,
2:55.0,,,62-74,3,C. Miles makes 3-pt shot from 23 ft (assist by D. DeRozan)
2:39.0,K. Walker makes 2-pt shot from 2 ft,2,64-74,,
2:29.0,,,64-74,,K. Lowry misses 2-pt shot from 1 ft
2:29.0,,,64-74,,Offensive rebound by S. Ibaka
2:28.0,,,64-76,2,S. Ibaka makes 2-pt shot from 2 ft
2:28.0,,,64-76,,Shooting foul by F. Kaminsky (drawn by S. Ibaka)
2:28.0,Charlotte full timeout,,64-76,,
2:28.0,,,64-76,,F. VanVleet enters the game for K. Lowry
2:28.0,C. Zeller enters the game for D. Howard,,64-76,,
2:28.0,,,64-77,1,S. Ibaka makes free throw 1 of 1
2:16.0,,,64-77,,Personal foul by S. Ibaka (drawn by F. Kaminsky)
2:16.0,F. Kaminsky makes free throw 1 of 2,1,65-77,,
2:16.0,,,65-77,,P. Siakam enters the game for S. Ibaka
2:16.0,F. Kaminsky makes free throw 2 of 2,1,66-77,,
1:54.0,,,66-77,,D. DeRozan misses 2-pt shot from 4 ft
1:52.0,Defensive rebound by F. Kaminsky,,66-77,,
1:47.0,F. Kaminsky makes 3-pt shot from 28 ft (assist by J. Lamb),3,69-77,,
1:33.0,,,69-79,2,P. Siakam makes 2-pt shot from 2 ft (assist by F. VanVleet)
1:33.0,,,69-79,,Shooting foul by J. Lamb (drawn by P. Siakam)
1:33.0,M. Carter-Williams enters the game for N. Batum,,69-79,,
1:33.0,,,69-80,1,P. Siakam makes free throw 1 of 1
1:19.0,Turnover by K. Walker (bad pass),,69-80,,
1:07.0,,,69-80,,C. Miles misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by K. Walker,,69-80,,
0:52.0,F. Kaminsky misses 2-pt shot from 18 ft,,69-80,,
0:50.0,Offensive rebound by C. Zeller,,69-80,,
0:48.0,K. Walker misses 3-pt shot from 26 ft,,69-80,,
0:45.0,,,69-80,,Defensive rebound by C. Miles
0:33.0,,,69-80,,C. Miles misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by K. Walker,,69-80,,
0:09.0,K. Walker misses 2-pt shot from 3 ft (block by J. Poeltl),,69-80,,
0:06.0,,,69-80,,Defensive rebound by F. VanVleet
0:05.0,Personal foul by C. Zeller (drawn by F. VanVleet),,69-80,,
0:05.0,Technical foul by K. Walker,,69-80,,
0:05.0,,,69-80,,D. DeRozan misses technical free throw
0:05.0,,,69-80,,Offensive rebound by Team
0:05.0,,,69-81,1,F. VanVleet makes free throw 1 of 2
0:05.0,,,69-82,1,F. VanVleet makes free throw 2 of 2
0:00.0,K. Walker misses 3-pt shot from 25 ft,,69-82,,
0:00.0,Offensive rebound by Team,,69-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,F. Kaminsky misses 2-pt shot from 8 ft,,69-82,,
11:42.0,Offensive rebound by F. Kaminsky,,69-82,,
11:42.0,F. Kaminsky makes 2-pt shot from 1 ft,2,71-82,,
11:42.0,Shooting foul by J. Poeltl (drawn by F. Kaminsky),,71-82,,
11:42.0,F. Kaminsky makes free throw 1 of 1,1,72-82,,
11:27.0,,,72-82,,F. VanVleet misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by J. Lamb,,72-82,,
11:19.0,Turnover by J. Lamb (out of bounds lost ball),,72-82,,
11:00.0,,,72-82,,C. Miles misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by F. Kaminsky,,72-82,,
10:43.0,Shooting foul by F. VanVleet (drawn by K. Walker),,72-82,,
10:43.0,K. Walker makes free throw 1 of 2,1,73-82,,
10:43.0,K. Walker makes free throw 2 of 2,1,74-82,,
10:29.0,,,74-82,,C. Miles misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by M. Carter-Williams,,74-82,,
10:17.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by J. Poeltl),,74-82,,
10:17.0,,,74-82,,Defensive rebound by Team
10:09.0,,,74-82,,Shooting foul by F. Kaminsky (drawn by P. Siakam)
10:09.0,,,74-83,1,P. Siakam makes free throw 1 of 2
10:09.0,,,74-84,1,P. Siakam makes free throw 2 of 2
9:48.0,M. Carter-Williams misses 2-pt shot from 2 ft,,74-84,,
9:46.0,,,74-84,,Defensive rebound by J. Poeltl
9:40.0,,,74-84,,Shooting foul by M. Carter-Williams (drawn by D. Wright)
9:40.0,,,74-84,,D. Wright misses free throw 1 of 2
9:40.0,,,74-84,,Offensive rebound by Team
9:40.0,,,74-85,1,D. Wright makes free throw 2 of 2
9:24.0,J. Lamb misses 3-pt shot from 26 ft,,74-85,,
9:22.0,,,74-85,,Defensive rebound by J. Poeltl
9:05.0,,,74-85,,D. Wright misses 2-pt shot from 5 ft
9:03.0,Defensive rebound by C. Zeller,,74-85,,
8:50.0,K. Walker misses 3-pt shot from 26 ft,,74-85,,
8:49.0,,,74-85,,Defensive rebound by Team
8:49.0,N. Batum enters the game for K. Walker,,74-85,,
8:37.0,,,74-85,,F. VanVleet misses 2-pt shot from 14 ft
8:35.0,Defensive rebound by F. Kaminsky,,74-85,,
8:23.0,F. Kaminsky makes 2-pt shot from 3 ft,2,76-85,,
8:23.0,Shooting foul by P. Siakam (drawn by F. Kaminsky),,76-85,,
8:23.0,,,76-85,,K. Lowry enters the game for C. Miles
8:23.0,F. Kaminsky makes free throw 1 of 1,1,77-85,,
8:12.0,,,77-85,,Turnover by K. Lowry (bad pass; steal by F. Kaminsky)
8:04.0,Shooting foul by D. Wright (drawn by F. Kaminsky),,77-85,,
8:04.0,F. Kaminsky makes free throw 1 of 2,1,78-85,,
8:04.0,,,78-85,,J. Valanciunas enters the game for J. Poeltl
8:04.0,F. Kaminsky makes free throw 2 of 2,1,79-85,,
7:47.0,,,79-85,,Turnover by F. VanVleet (bad pass; steal by M. Carter-Williams)
7:31.0,F. Kaminsky misses 2-pt shot from 5 ft,,79-85,,
7:29.0,,,79-85,,Defensive rebound by F. VanVleet
7:18.0,,,79-85,,P. Siakam misses 3-pt shot from 22 ft
7:15.0,Defensive rebound by M. Carter-Williams,,79-85,,
7:09.0,,,79-85,,S. Ibaka enters the game for P. Siakam
7:07.0,Jump ball: D. Wright vs. J. Lamb (M. Carter-Williams gains possession),,,,Jump ball: D. Wright vs. J. Lamb (M. Carter-Williams gains possession)
7:01.0,M. Carter-Williams misses 2-pt shot from 20 ft,,79-85,,
6:56.0,Offensive rebound by C. Zeller,,79-85,,
6:56.0,C. Zeller makes 2-pt shot at rim,2,81-85,,
6:51.0,,,81-85,,Toronto full timeout
6:51.0,,,81-85,,D. DeRozan enters the game for D. Wright
6:41.0,,,81-87,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
6:25.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,83-87,,
6:13.0,,,83-87,,Turnover by F. VanVleet (bad pass)
6:13.0,K. Walker enters the game for M. Carter-Williams,,83-87,,
6:02.0,N. Batum misses 3-pt shot from 25 ft,,83-87,,
6:00.0,,,83-87,,Defensive rebound by J. Valanciunas
5:43.0,,,83-87,,D. DeRozan misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by C. Zeller,,83-87,,
5:30.0,Turnover by J. Lamb (lost ball; steal by J. Valanciunas),,83-87,,
5:25.0,Personal foul by J. Lamb,,83-87,,
